0	Index      	 *	Score 	Summary	Detail	
1	15213 16216	 * 	206.37	DCR|3VULN|3DMG|1AART|3DUR	18aVULN|278DMG|3LWND|4aLIT|5AART|68aDUR|8aBPWR|9RCR
34	11541 11352	   	194.15	DCR|2VULN|2DMG|1AART|2ZMB|1DUR|1ASPD	19VULN|2AART|39ZMB|4ASPD|56CGEN|7RCR|89DMG|9BPWR|aDUR
35	11511 11356	   	193.82	DCR|2VULN|2DMG|1AART|2ZMB|1CDMG	19VULN|2AART|39ZMB|4ERES|56CGEN|7RCR|89DMG|9BPWR|aCDMG
36	11511 21356	   	193.72	DCR|2VULN|2DMG|1AART|2ZMB|1CDMG	19VULN|2AART|39ZMB|46ERES|5CGEN|7RCR|89DMG|9BPWR|aCDMG
37	13423 12322	   	193.59	ACR|4VULN|1AART|1DMG|1CDMG|1DUR	1479VULN|2CDMG|3DMG|5RCR|6AART|8CGEN|aDUR
38	13423 12216	   	193.14	ACR|3VULN|1AART|1DMG|1CDMG|1FLTHEA|1ASPD	147VULN|2CDMG|3DMG|5RCR|6AART|8BELT|9ASPD|aFLTHEA
39	13421 13364	 * 	192.54	DCR|4VULN|1AART|1DMG|2CDMG	149aVULN|29CDMG|3DMG|5BEXP|6AART|79ERES|8RCR|9BPWR
40	11513 21356	   	192.37	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	19VULN|2AART|3ZMB|49ERES|5RMIN|6RCVC|7RCR|89DMG|9BPWR|aCDMG
41	11543 21353	 * 	192.09	DCR|2VULN|1AART|1DMG|2FLTHEA|2ZMB|1ASPD	1aVULN|2AART|3aZMB|4ASPD|5RMIN|6RCVC|7RCR|8DMG|9aFLTHEA|aBPWR
42	11513 51353	   	191.87	DCR|3DMG|2VULN|1AART|1ZMB	19VULN|2AART|3ZMB|49ERES|56RMIN|7RCR|89aDMG|9BPWR
43	13423 12616	   	190.94	ACR|3VULN|2AART|1DMG|1CDMG|1DUR	147VULN|2CDMG|3DMG|5RCR|6aAART|8FEWX|9DUR
44	15213 16211	   	190.52	DCR|3DMG|2VULN|1AART|3DUR	18VULN|278DMG|3LWND|4LIT|5AART|68aDUR|8BPWR|9RCR
45	13423 14336	   	190.34	ACR|3VULN|2DMG|1AART|1CDMG	14aVULN|2CDMG|3aDMG|5RCR|6AART|7LIT|8CGEN|9aLWND|aBPWR
46	15213 36216	   	190.32	DCR|3VULN|3DMG|1AART	18aVULN|278DMG|3LWND|4aLIT|5AART|68aFEWX|8aBPWR|9RCR
47	62423 35332	   	190.24	DCR|2VULN|2DMG|1AART|1CDMG|1DUR|1ASPD	1CDMG|2DUR|38DMG|49VULN|5ASPD|6RCR|7AIRHEA|aAART
48	13423 13136	   	190.24	ACR|3VULN|2DMG|1AART|1CDMG	14aVULN|2CDMG|3aDMG|5RCR|6AART|7ERES|8LIT|9aLWND|aBPWR
49	13423 13146	   	190.24	ACR|3VULN|2DMG|1AART|1CDMG	14aVULN|2CDMG|3aDMG|5RCR|6AART|7ERES|8LIT|9aFEWX|aBPWR
50	13423 13166	   	190.24	ACR|3VULN|2DMG|1AART|1CDMG	14aVULN|2CDMG|3aDMG|5RCR|6AART|7ERES|8LIT|9aLHND|aBPWR
51	13442 32352	   	190.21	DCR|2VULN|2DMG|1AART|1CDMG|2ASPD	19VULN|2CDMG|39DMG|47ASPD|5LHND|6RCR|89FEWX|9BPWR|aAART
52	13442 33152	   	190.21	DCR|2VULN|2DMG|1AART|1CDMG|2ASPD	19VULN|2CDMG|39DMG|48ASPD|5LHND|6RCR|79FEWX|9BPWR|aAART
53	13433 33255	   	190.15	DCR|4VULN|2DMG|1CDMG|1ASPD	189aVULN|2CDMG|39DMG|4LWND|5ASPD|6RCR|79FEWX|9BPWR
54	13423 12221	   	190.14	ACR|3VULN|2DMG|1AART|1CDMG	147VULN|2CDMG|39DMG|5RCR|6AART|8BELT|aBEXP
55	13423 12223	   	190.14	ACR|3VULN|2DMG|1AART|1CDMG	147VULN|2CDMG|39DMG|5RCR|6AART|8BELT|aLWND
56	13423 12226	   	190.14	ACR|3VULN|2DMG|1AART|1CDMG	147VULN|2CDMG|39DMG|5RCR|6AART|8BELT|aCGEN
57	13423 12331	   	190.14	ACR|3VULN|2DMG|1AART|1CDMG	147VULN|2CDMG|39DMG|5RCR|6AART|8aCGEN
58	13423 12333	   	190.14	ACR|3VULN|2DMG|1AART|1CDMG	147VULN|2CDMG|39DMG|5RCR|6AART|8CGEN|aLWND
59	13423 12334	   	190.14	ACR|3VULN|2DMG|1AART|1CDMG	147VULN|2CDMG|39DMG|5RCR|6AART|8CGEN|aMLV
60	15213 36215	   	190.12	DCR|3VULN|3DMG|1AART	18aVULN|278DMG|3LWND|4LIT|5AART|68FEWX|8BPWR|9RCR
61	13423 12225	   	190.04	ACR|3VULN|2DMG|1AART|1CDMG	147VULN|2CDMG|39DMG|5RCR|6AART|8BELT|aMBVNT
62	13423 12335	   	190.04	ACR|3VULN|2DMG|1AART|1CDMG	147VULN|2CDMG|39DMG|5RCR|6AART|8CGEN|aERES
63	13423 12336	   	190.04	ACR|3VULN|2DMG|1AART|1CDMG	147VULN|2CDMG|39DMG|5RCR|6AART|8CGEN|aDUST
64	13423 12531	   	190.04	ACR|3VULN|2DMG|1AART|1CDMG	147VULN|2CDMG|39DMG|5RCR|6AART|8ERES|aCGEN
65	13423 12533	   	190.04	ACR|3VULN|2DMG|1AART|1CDMG	147VULN|2CDMG|39DMG|5RCR|6AART|8ERES|aLHND
66	13423 12534	   	190.04	ACR|3VULN|2DMG|1AART|1CDMG	147VULN|2CDMG|39DMG|5RCR|6AART|8ERES|aMLV
67	13442 32252	   	190.01	DCR|2VULN|2DMG|1AART|2ASPD|1CDMG	19VULN|2CDMG|39DMG|47ASPD|5LHND|6RCR|89DUST|9BPWR|aAART
68	13423 12532	   	189.94	ACR|3VULN|2DMG|1AART|1CDMG	147VULN|2CDMG|39DMG|5RCR|6AART|8aERES
69	15213 26335	 * 	188.98	DCR|3DMG|2AART|1VULN|1CDMG	1VULN|279DMG|3LWND|4LIT|5aAART|6RCR|8CDMG
70	11551 21353	   	188.12	DCR|2VULN|1AART|1DMG|2FLTHEA|2ZMB	1aVULN|2AART|3aZMB|46RCVC|5FEWX|7RCR|8DMG|9aFLTHEA|aBPWR
71	11111 16352	   	188.01	DCR|3VULN|2DMG|1AART|1DUR	149VULN|2AART|3FEWX|569CGEN|7RCR|89DMG|9BPWR|aDUR
72	15213 16212	   	188.00	DCR|3DMG|2VULN|1AART|2DUR	18VULN|278DMG|3LWND|4LIT|5AART|68DUR|8BPWR|9RCR|aRCVC
73	11411 61353	   	187.91	DCR|3DMG|2VULN|1AART|1ASPD	19VULN|2AART|359CGEN|4ERES|6ASPD|7RCR|89aDMG|9BPWR
74	11153 26353	   	187.88	DCR|2VULN|2DMG|1AART|2FLTHEA	1aVULN|2AART|34FEWX|5RMIN|6RCVC|7RCR|8aDMG|9aFLTHEA|aBPWR
75	13423 61352	   	187.84	ACR|3VULN|2DMG|1AART|1CDMG	149VULN|2CDMG|39DMG|5RCR|6RMIN|7LEGI|89FEWX|9BPWR|aAART
76	15111 62612	   	187.77	DCR|4VULN|2DMG|1AART	1367VULN|26DMG|4RMIN|5MBVNT|6BPWR|8RCR|9FEWX|aAART
77	13423 62325	   	187.74	ACR|3VULN|2DMG|1AART|1CDMG	147VULN|2CDMG|39DMG|5RCR|6RMIN|8RPLT|aAART
78	13423 61252	   	187.64	ACR|3VULN|2DMG|1AART|1CDMG	149VULN|2CDMG|39DMG|5RCR|6RMIN|7LEGI|89DUST|9BPWR|aAART
79	16311 16352	   	187.41	DCR|3VULN|2DMG|1AART|1DUR	149VULN|2FEWX|3AART|569CGEN|7RCR|89DMG|9BPWR|aDUR
80	11541 11353	   	187.21	DCR|2VULN|2DMG|1AART|2ZMB|1ASPD	19VULN|2AART|39ZMB|4ASPD|56CGEN|7RCR|89DMG|9BPWR|aMLV
81	15111 62641	 * 	187.16	DCR|4VULN|3DMG|1DUR	1367VULN|269DMG|4RMIN|5MBVNT|6BPWR|8RCR|aDUR
82	11541 11351	   	187.11	DCR|2VULN|2DMG|1AART|2ZMB|1ASPD	19VULN|2AART|39ZMB|4ASPD|56CGEN|7RCR|89DMG|9BPWR|aERES
83	11511 11355	   	187.11	DCR|2VULN|2DMG|1AART|2ZMB|1DUR	19VULN|2AART|39ZMB|4ERES|56CGEN|7RCR|89DMG|9BPWR|aDUR
84	11511 21355	   	187.01	DCR|2VULN|2DMG|1AART|2ZMB|1DUR	19VULN|2AART|39ZMB|46ERES|5CGEN|7RCR|89DMG|9BPWR|aDUR
85	13221 33363	   	186.92	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	19VULN|29CDMG|3LHND|45MLV|69DMG|7AART|8RCR|9BPWR|aDUR
86	13224 33363	   	186.92	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	19VULN|29CDMG|35LHND|4MLV|69DMG|7AART|8RCR|9BPWR|aDUR
87	13214 33363	   	186.82	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	19VULN|29CDMG|35LHND|4TLV|69DMG|7AART|8RCR|9BPWR|aDUR
88	13423 12321	   	186.65	ACR|4VULN|1AART|1DMG|1CDMG	1479VULN|2CDMG|3DMG|5RCR|6AART|8aCGEN
89	13423 12323	   	186.65	ACR|4VULN|1AART|1DMG|1CDMG	1479VULN|2CDMG|3DMG|5RCR|6AART|8CGEN|aLWND
90	13423 12324	   	186.65	ACR|4VULN|1AART|1DMG|1CDMG	1479VULN|2CDMG|3DMG|5RCR|6AART|8CGEN|aMLV
91	14523 12331	   	186.65	ACR|4VULN|1AART|1DMG|1CDMG	147aVULN|2RMIN|3CDMG|5RCR|6AART|8CGEN|9DMG
92	15213 16213	   	186.60	DCR|3DMG|2VULN|1AART|2DUR	18VULN|278DMG|3LWND|4LIT|5AART|68DUR|8BPWR|9RCR|aERES
93	13423 12325	   	186.55	ACR|4VULN|1AART|1DMG|1CDMG	1479VULN|2CDMG|3DMG|5RCR|6AART|8CGEN|aERES
94	13423 12326	   	186.55	ACR|4VULN|1AART|1DMG|1CDMG	1479VULN|2CDMG|3DMG|5RCR|6AART|8CGEN|aDUST
95	13423 12361	   	186.55	ACR|4VULN|1AART|1DMG|1CDMG	147aVULN|2CDMG|3DMG|5RCR|6AART|8CGEN|9TLV
96	13423 12414	   	186.55	ACR|4VULN|1AART|1DMG|1CDMG	147aVULN|2CDMG|3DMG|5RCR|6AART|8CANHEL|9BEXP
97	13423 12436	   	186.55	ACR|4VULN|1AART|1DMG|1CDMG	147aVULN|2CDMG|3DMG|5RCR|6AART|8CANHEL|9RPLT
98	13423 12521	   	186.55	ACR|4VULN|1AART|1DMG|1CDMG	1479VULN|2CDMG|3DMG|5RCR|6AART|8ERES|aCGEN
99	13423 12523	   	186.55	ACR|4VULN|1AART|1DMG|1CDMG	1479VULN|2CDMG|3DMG|5RCR|6AART|8ERES|aLHND
100	13423 12524	   	186.55	ACR|4VULN|1AART|1DMG|1CDMG	1479VULN|2CDMG|3DMG|5RCR|6AART|8ERES|aMLV
101	14523 12531	   	186.55	ACR|4VULN|1AART|1DMG|1CDMG	147aVULN|2RMIN|3CDMG|5RCR|6AART|8ERES|9DMG
102	11313 52254	   	186.51	DCR|4VULN|1AART|1CDMG|1ZMB|1ASPD	145aVULN|2AART|3CDMG|6ASPD|7BEXP|8RCR|9ZMB
103	13423 12424	   	186.45	ACR|4VULN|1AART|1DMG|1CDMG	147aVULN|2CDMG|3DMG|5RCR|6AART|8CANHEL|9DUST
104	13423 12522	   	186.45	ACR|4VULN|1AART|1DMG|1CDMG	1479VULN|2CDMG|3DMG|5RCR|6AART|8aERES
105	13423 12561	   	186.45	ACR|4VULN|1AART|1DMG|1CDMG	147aVULN|2CDMG|3DMG|5RCR|6AART|8ERES|9TLV
106	13423 12112	   	186.43	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	147VULN|2CDMG|3DMG|5RCR|6AART|8BEXP|9DUR|aASPD
107	13423 12612	   	186.43	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	147VULN|2CDMG|3DMG|5RCR|6AART|8FEWX|9DUR|aASPD
108	14523 12226	   	186.20	ACR|3VULN|1AART|1DMG|1CDMG|1FLTHEA	147VULN|2RMIN|3CDMG|5RCR|6AART|8BELT|9DMG|aFLTHEA
109	13423 11422	   	186.18	ACR|2VULN|2AART|1DMG|1CDMG|1ZMB|1DUR	14VULN|2CDMG|3DMG|5RCR|68AART|7ZMB|9ERES|aDUR
110	13423 11432	   	186.18	ACR|2VULN|2AART|1DMG|1CDMG|1ZMB|1DUR	14VULN|2CDMG|3DMG|5RCR|68AART|7ZMB|9TLV|aDUR
111	11123 26353	   	186.05	DCR|3DMG|2VULN|1AART	19VULN|2AART|3FEWX|49ERES|56RCVC|7RCR|89aDMG|9BPWR
112	11123 26354	   	186.05	DCR|3VULN|2DMG|1AART	19aVULN|2AART|3FEWX|49ERES|56RCVC|7RCR|89DMG|9BPWR
113	13421 12212	   	186.01	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	147VULN|2CDMG|3DMG|5BEXP|6AART|8RCR|9DUR|aASPD
114	43113 22136	   	185.98	DCR|2VULN|2DMG|1AART|2CDMG	1aMLV|2FEWX|3aVULN|4LIT|5AART|6RCR|78CDMG|9aDMG|aBPWR
115	13423 13431	 * 	185.83	ACR|2VULN|2DMG|2AART|1CDMG	14VULN|2CDMG|39DMG|5RCR|68AART|7ERES|aCGEN
116	13423 13433	   	185.83	ACR|2VULN|2DMG|2AART|1CDMG	14VULN|2CDMG|39DMG|5RCR|68AART|7ERES|aLHND
117	13423 13434	   	185.83	ACR|2VULN|2DMG|2AART|1CDMG	14VULN|2CDMG|39DMG|5RCR|68AART|7ERES|aMLV
118	13423 13432	   	185.73	ACR|2VULN|2DMG|2AART|1CDMG	14VULN|2CDMG|39DMG|5RCR|68AART|7aERES
119	11513 21355	   	185.66	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	19VULN|2AART|3ZMB|49ERES|5RMIN|6RCVC|7RCR|89DMG|9BPWR|aDUR
120	11521 21356	   	185.57	DCR|2VULN|1AART|1DMG|2ZMB|1FLTHEA|1DUR	1aVULN|2AART|35ZMB|4DUR|6RCVC|7RCR|8DMG|9FLTHEA
121	16323 26353	   	185.45	DCR|3DMG|2VULN|1AART	19VULN|2FEWX|3AART|49ERES|56RCVC|7RCR|89aDMG|9BPWR
122	13423 12151	   	184.86	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	147VULN|2CDMG|3DMG|5RCR|6AART|8BEXP|9ZMB|aRCVC
123	13423 12651	   	184.86	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	147VULN|2CDMG|3DMG|5RCR|6AART|8FEWX|9ZMB|aRCVC
124	11261 23134	   	184.67	DCR|3VULN|2DMG|1AART|1ZMB	146VULN|2AART|3BELT|4BPWR|57DMG|8ZMB|9FEWX|aRCR
125	11261 23152	   	184.67	DCR|3VULN|2DMG|1AART|1ZMB	146VULN|2AART|3BELT|4BPWR|57DMG|8ZMB|9LWND|aRCR
126	15123 21614	   	184.57	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	13aVULN|2DMG|4LWND|5AART|6RCVC|7RCR|8ASPD|9CDMG
127	15223 21614	   	184.57	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	14aVULN|2DMG|3LWND|5AART|6RCVC|7RCR|8ASPD|9CDMG
128	11234 64212	   	184.51	DCR|2DMG|1AART|1VULN|1CDMG|2DUR|1ZMB	1VULN|2AART|3BELT|4CDMG|59DMG|6ZMB|7RCR|8aDUR
129	11234 64232	   	184.51	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	19VULN|2AART|3BELT|4CDMG|5DMG|6ZMB|7RCR|8aDUR
130	13421 12251	   	184.44	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	147VULN|2CDMG|3DMG|5BEXP|6AART|8RCR|9ZMB|aRCVC
131	16631 14121	 * 	184.35	ACR|3VULN|2DMG|2CDMG|1ZMB	17aVULN|2FEWX|3aDMG|4RCR|5ZMB|6LIT|8NUKE|9aCDMG|aBPWR
132	11423 16352	   	184.27	DCR|2VULN|2DMG|1AART|3DUR	19VULN|2AART|36CGEN|49aDUR|5RCVC|7RCR|89DMG|9BPWR
133	11123 26356	   	184.04	DCR|2VULN|2DMG|1AART|1CDMG	19VULN|2AART|3FEWX|49ERES|56RCVC|7RCR|89DMG|9BPWR|aCDMG
134	21116 12426	 * 	184.00	ACR|2VULN|2DMG|1AART|2CDMG	1BELT|2aCDMG|38CGEN|4RCR|5AART|6DMSP|7aVULN|9aDMG|aBPWR
135	13423 12366	   	183.90	ACR|3VULN|2AART|1DMG|1CDMG	147VULN|2CDMG|3DMG|5RCR|6aAART|8CGEN|9TLV
136	13423 13421	   	183.90	ACR|3VULN|2AART|1DMG|1CDMG	149VULN|2CDMG|3DMG|5RCR|68AART|7ERES|aCGEN
137	13423 13423	   	183.90	ACR|3VULN|2AART|1DMG|1CDMG	149VULN|2CDMG|3DMG|5RCR|68AART|7ERES|aLHND
138	13423 13424	   	183.90	ACR|3VULN|2AART|1DMG|1CDMG	149VULN|2CDMG|3DMG|5RCR|68AART|7ERES|aMLV
139	14523 13431	   	183.90	ACR|3VULN|2AART|1DMG|1CDMG	14aVULN|2RMIN|3CDMG|5RCR|68AART|7ERES|9DMG
140	15213 26331	 * 	183.84	DCR|3DMG|1AART|1VULN|2CDMG	1VULN|279DMG|3LWND|4LIT|5AART|6RCR|8aCDMG
141	13423 13422	   	183.80	ACR|3VULN|2AART|1DMG|1CDMG	149VULN|2CDMG|3DMG|5RCR|68AART|7aERES
142	13423 13461	   	183.80	ACR|3VULN|2AART|1DMG|1CDMG	14aVULN|2CDMG|3DMG|5RCR|68AART|7ERES|9TLV
143	13423 11123	   	183.55	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	149VULN|2CDMG|3DMG|5RCR|6AART|7ZMB|8LIT|aLWND
144	13423 11125	   	183.55	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	149VULN|2CDMG|3DMG|5RCR|6AART|7ZMB|8LIT|aCGEN
145	13423 11351	   	183.55	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	14aVULN|2CDMG|3DMG|5RCR|6AART|7ZMB|89RMIN
146	13423 11623	   	183.55	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	14aVULN|2CDMG|3DMG|5RCR|6AART|7ZMB|8LWND|9LHND
147	13423 11653	   	183.55	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	14aVULN|2CDMG|3DMG|5RCR|6AART|7ZMB|8LWND|9BEXP
148	13423 12121	   	183.55	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	147VULN|2CDMG|3DMG|5RCR|6AART|8BEXP|9RPLT|aZMB
149	13423 12152	   	183.55	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	147VULN|2CDMG|3DMG|5RCR|6AART|8BEXP|9ZMB|aLHND
150	13423 12156	   	183.55	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	147VULN|2CDMG|3DMG|5RCR|6AART|8BEXP|9ZMB|aLWND
151	13423 12621	   	183.55	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	147VULN|2CDMG|3DMG|5RCR|6AART|8FEWX|9RPLT|aZMB
152	13423 12652	   	183.55	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	147VULN|2CDMG|3DMG|5RCR|6AART|8FEWX|9ZMB|aLHND
153	13423 11124	   	183.45	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	149VULN|2CDMG|3DMG|5RCR|6AART|7ZMB|8LIT|aTLV
154	13423 11126	   	183.45	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	149VULN|2CDMG|3DMG|5RCR|6AART|7ZMB|8LIT|aDUST
155	13423 11633	   	183.45	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	14aVULN|2CDMG|3DMG|5RCR|6AART|7ZMB|8LWND|9DUST
156	13423 12153	   	183.45	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	147VULN|2CDMG|3DMG|5RCR|6AART|8BEXP|9ZMB|aDUST
157	13423 12653	   	183.45	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	147VULN|2CDMG|3DMG|5RCR|6AART|8FEWX|9ZMB|aDUST
158	13423 13354	   	183.45	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	14aVULN|2CDMG|3DMG|5RCR|6AART|7ERES|8RMIN|9ZMB
159	24211 33623	   	183.42	DCR|2VULN|2DMG|3CDMG|1AART	1BELT|27VULN|3RCVC|4LWND|578CDMG|67DMG|7BPWR|9AART|aRCR
160	13423 62234	 * 	183.40	ACR|3VULN|1AART|1DMG|2CDMG|1ASPD	147VULN|29CDMG|3DMG|5RCR|6RMIN|8ASPD|aAART
161	11125 26351	   	183.27	DCR|3VULN|2DMG|1AART	159VULN|2AART|3FEWX|49aERES|6RCVC|7RCR|89DMG|9BPWR
162	11125 26352	   	183.27	DCR|3VULN|2DMG|1AART	159VULN|2AART|3FEWX|49ERES|6RCVC|7RCR|89DMG|9BPWR|aDUST
163	13421 12221	   	183.13	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	147VULN|2CDMG|3DMG|5BEXP|6AART|8RCR|9RPLT|aZMB
164	13421 12252	   	183.13	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	147VULN|2CDMG|3DMG|5BEXP|6AART|8RCR|9ZMB|aLHND
165	13421 12256	   	183.13	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	147VULN|2CDMG|3DMG|5BEXP|6AART|8RCR|9ZMB|aLWND
166	13421 12253	   	183.03	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	147VULN|2CDMG|3DMG|5BEXP|6AART|8RCR|9ZMB|aDUST
167	13433 33253	   	182.99	DCR|3VULN|2DMG|1CDMG|1DUR|1ASPD	189VULN|2CDMG|39DMG|4LWND|5ASPD|6RCR|79FEWX|9BPWR|aDUR
