0	Index      	 *	Score 	Summary	Detail	
1	41261 33231	 * 	209.44	DCR|5VULN|2DMG|1AART|1DUR	1LHND|2568aVULN|3AART|46DMG|6BPWR|7DUR|9RCR
112	11213 65131	   	183.25	ACR|3VULN|2AART|1DMG|1ZMB	14LWND|24aVULN|37AART|4BPWR|5RCR|6DMG|8MLV|9ZMB
113	41213 65131	   	183.25	ACR|3VULN|2AART|1DMG|1ZMB	14LHND|24aVULN|37AART|4BPWR|5RCR|6DMG|8MLV|9ZMB
114	11213 32543	   	183.22	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	14LWND|24VULN|3AART|4BPWR|5RCR|6DUR|7LSRHEA|8CDMG|9aDMG
115	51624 32312	   	183.22	DCR|4VULN|2DMG|1CDMG	128aVULN|3aDMG|4BELT|5CDMG|6RCR|7LWND|9aFEWX|aBPWR
116	53315 11412	 * 	183.18	ACR|3VULN|2DMG|2CDMG|2DUR	14aVULN|29DUR|3BELT|5RCR|6LEGI|7aCDMG|8aDMG|aBPWR
117	11213 65331	   	183.15	ACR|3VULN|2AART|1DMG|1ZMB	14LWND|24aVULN|37AART|4BPWR|5RCR|6DMG|8ERES|9ZMB
118	41213 65331	   	183.15	ACR|3VULN|2AART|1DMG|1ZMB	14LHND|24aVULN|37AART|4BPWR|5RCR|6DMG|8ERES|9ZMB
119	53533 34711	   	183.05	DCR|3VULN|3DMG|2DUR	18aVULN|23DUR|4MBVNT|5aDUST|6RCR|79aDMG|aBPWR
120	51641 11231	   	183.01	DCR|5VULN|1AART|1DMG	1248aVULN|3DMG|5LWND|6AART|7LHND|9RCR
121	11261 61161	   	182.98	DCR|4VULN|1AART|1DMG|1ZMB	1LWND|257aVULN|3AART|4DMG|6ZMB|8CGEN|9RCR
122	41266 33223	   	182.81	DCR|3VULN|2DMG|1AART|1DUR	1LHND|268VULN|3AART|46DMG|5RCVC|6BPWR|7DUR|9CANHEL|aRCR
123	41261 31332	   	182.51	DCR|3VULN|2DMG|1AART|1DUR	17LHND|256VULN|3AART|46DMG|6BPWR|8DUR|9RCR|aCGEN
124	41261 31333	   	182.51	DCR|3VULN|2DMG|1AART|1DUR	17LHND|256VULN|3AART|46DMG|6BPWR|8DUR|9RCR|aLWND
125	41261 31334	   	182.51	DCR|3VULN|2DMG|1AART|1DUR	17aLHND|256VULN|3AART|46DMG|6BPWR|8DUR|9RCR
126	41261 33161	   	182.51	DCR|3VULN|2DMG|1AART|1DUR	1LHND|256VULN|3AART|46DMG|6BPWR|7DUR|8MLV|9RCR|aLWND
127	41261 33432	   	182.51	DCR|3VULN|2DMG|1AART|1DUR	1LHND|256VULN|3AART|46DMG|6BPWR|7DUR|8FEWX|9RCR|aMLV
128	41261 33632	   	182.51	DCR|3VULN|2DMG|1AART|1DUR	18LHND|256VULN|3AART|46DMG|6BPWR|7DUR|9RCR|aCGEN
129	41261 33633	   	182.51	DCR|3VULN|2DMG|1AART|1DUR	18LHND|256VULN|3AART|46DMG|6BPWR|7DUR|9RCR|aLWND
130	55261 31331	   	182.51	DCR|3VULN|2DMG|1AART|1DUR	15aVULN|267LHND|3AART|46DMG|6BPWR|8DUR|9RCR
131	55261 33232	   	182.51	DCR|3VULN|2DMG|1AART|1DUR	158VULN|26LHND|3AART|46DMG|6BPWR|7DUR|9RCR|aCGEN
132	55261 33233	   	182.51	DCR|3VULN|2DMG|1AART|1DUR	158VULN|26LHND|3AART|46DMG|6BPWR|7DUR|9RCR|aLWND
133	11262 41161	   	182.41	DCR|3VULN|2DMG|1AART|1ASPD	1LWND|27aVULN|3AART|45DMG|6ASPD|8CGEN|9RCR
134	41261 31335	   	182.41	DCR|3VULN|2DMG|1AART|1DUR	17LHND|256VULN|3AART|46DMG|6BPWR|8DUR|9RCR|aMBVNT
135	41261 31336	   	182.41	DCR|3VULN|2DMG|1AART|1DUR	17LHND|256VULN|3AART|46DMG|6BPWR|8DUR|9RCR|aERES
136	41261 33163	   	182.41	DCR|3VULN|2DMG|1AART|1DUR	1LHND|256VULN|3AART|46DMG|6BPWR|7DUR|8MLV|9RCR|aNUKE
137	41261 33361	   	182.41	DCR|3VULN|2DMG|1AART|1DUR	1LHND|256VULN|3AART|46DMG|6BPWR|7DUR|8ERES|9RCR|aLWND
138	41261 33433	   	182.41	DCR|3VULN|2DMG|1AART|1DUR	1LHND|256VULN|3AART|46DMG|6BPWR|7DUR|8FEWX|9RCR|aTLV
139	41261 33363	   	182.31	DCR|3VULN|2DMG|1AART|1DUR	1LHND|256VULN|3AART|46DMG|6BPWR|7DUR|8ERES|9RCR|aNUKE
140	51238 43741	   	182.29	DCR|5VULN|2DMG	1257aVULN|3LHND|4MBVNT|6RCR|8aFEWX|9aDMG|aBPWR
141	11262 63261	   	182.26	DCR|2AART|2VULN|2DMG|1ZMB	1LWND|2aVULN|38AART|45DMG|6ZMB|7MLV|9RCR
142	51233 34781	   	182.09	DCR|5VULN|2DMG	1289aVULN|3LHND|4MBVNT|5aDUST|6RCR|7aDMG|aBPWR
143	21311 61413	   	182.07	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1BEXP|24aVULN|3BELT|5DUR|6RCR|7CDMG|8DMG|9AART
144	11213 63364	   	181.90	ACR|2VULN|2DMG|1AART|2DUR|1ASPD	14LWND|24VULN|3AART|4BPWR|5RCR|6aDMG|79DUR|8ASPD
145	11236 65231	   	181.56	DCR|3VULN|2AART|1DMG|2DUR	1LWND|28aVULN|37AART|45DUR|6DMG|9RCR
146	55213 13321	 * 	181.42	ACR|5VULN|1AART|2ASPD	1489aVULN|24LHND|3AART|48BPWR|5RCR|68LWND|78ASPD
147	11213 32544	   	181.29	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	14LWND|24aVULN|3AART|4BPWR|5RCR|6DUR|7LSRHEA|8CDMG|9DMG
148	11213 62312	   	181.25	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	14LWND|24VULN|39AART|4BPWR|5RCR|6DMG|7CGEN|8CDMG|aZMB
149	11213 66312	   	181.25	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	14LWND|24VULN|39AART|4BPWR|5RCR|6DMG|7MLV|8CDMG|aZMB
150	41213 62312	   	181.25	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	14LHND|24VULN|39AART|4BPWR|5RCR|6DMG|7CGEN|8CDMG|aZMB
151	41213 66312	   	181.25	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	14LHND|24VULN|39AART|4BPWR|5RCR|6DMG|7MLV|8CDMG|aZMB
152	55213 62312	   	181.25	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	14VULN|24LHND|39AART|4BPWR|5RCR|6DMG|7CGEN|8CDMG|aZMB
153	11252 32265	   	181.22	DCR|3VULN|1AART|1DMG|2DUR|1ZMB	17LWND|278VULN|3AART|4TLV|5DMG|67DUR|7BPWR|9RCR|aZMB
154	11213 61312	   	181.15	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	14LWND|24VULN|39AART|4BPWR|5RCR|6DMG|7ERES|8CDMG|aZMB
155	41213 61312	   	181.15	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	14LHND|24VULN|39AART|4BPWR|5RCR|6DMG|7ERES|8CDMG|aZMB
156	55213 61312	   	181.15	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	14VULN|24LHND|39AART|4BPWR|5RCR|6DMG|7ERES|8CDMG|aZMB
157	41213 23134	   	181.12	ACR|2AART|2DMG|2VULN|1ASPD	14LHND|24VULN|38AART|4BPWR|5RCR|6BEXP|7ASPD|9aDMG
158	55213 23134	   	181.12	ACR|2AART|2DMG|2VULN|1ASPD	14VULN|24LHND|38AART|4BPWR|5RCR|6BEXP|7ASPD|9aDMG
159	11213 63154	   	181.02	ACR|2AART|2VULN|2DMG|1DUR	14LWND|24VULN|38AART|4BPWR|5RCR|6aDMG|7DUR|9ERES
160	41213 63152	   	181.02	ACR|2AART|2VULN|2DMG|1DUR	14LHND|24VULN|38AART|4BPWR|5RCR|6aDMG|7DUR|9ERES
161	11215 61126	   	180.82	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	14LWND|246VULN|3AART|46BPWR|56LIT|7RCR|8ZMB|9DMG|aDUR
162	52122 65311	   	180.81	DCR|2VULN|2DMG|2AART|1CDMG	17VULN|2CDMG|379CGEN|4DLOT|57DMG|68AART|7BPWR|aRCR
163	11213 66336	 * 	180.76	ACR|3VULN|1AART|1DMG|2CDMG	14LWND|249VULN|3AART|4BPWR|5RCR|6DMG|7MLV|8aCDMG
164	11215 61163	   	180.75	DCR|5VULN|1AART|1ZMB	14LWND|2469aVULN|3AART|46BPWR|56LIT|7RCR|8ZMB
165	11215 61324	   	180.47	DCR|3VULN|2DMG|1AART	14LWND|246VULN|3AART|46BPWR|56LIT|7RCR|8RMIN|9aDMG
166	11261 63261	   	180.33	DCR|3VULN|2AART|1DMG|1ZMB	1LWND|25aVULN|38AART|4DMG|6ZMB|7MLV|9RCR
167	11263 61161	   	180.33	DCR|3VULN|2AART|1DMG|1ZMB	1LWND|27aVULN|35AART|4DMG|6ZMB|8CGEN|9RCR
168	11213 55623	 * 	180.29	ACR|3DMG|2VULN|1AART	14LWND|24VULN|3AART|4BPWR|5RCR|6RPLT|79aDMG|8RCVC
169	11213 64623	   	180.29	ACR|3DMG|2VULN|1AART	14LWND|24VULN|3AART|4BPWR|5RCR|69aDMG|7RPLT|8RCVC
170	11213 33121	   	180.16	ACR|4VULN|2AART|1ASPD|1DUR	14LWND|249aVULN|38AART|4BPWR|5RCR|6DUR|7ASPD
171	41262 31124	   	180.11	DCR|3DMG|2VULN|1AART|1ASPD	19LHND|26VULN|3AART|456DMG|6BPWR|7ASPD|8CGEN|aRCR
172	11213 35425	   	180.10	ACR|5VULN|1AART|2DUR	14aLWND|2479aVULN|3AART|4aBPWR|5RCR|6aDUR|8RMIN
173	55213 13331	   	180.04	ACR|4VULN|2AART|2ASPD	148aVULN|24LHND|39AART|48BPWR|5RCR|68LWND|78ASPD
174	41261 31323	   	180.01	DCR|3VULN|2DMG|1AART|1DUR	17LHND|256VULN|3AART|46DMG|6BPWR|8DUR|9CANHEL|aRCR
175	41261 33423	   	180.01	DCR|3VULN|2DMG|1AART|1DUR	1LHND|256VULN|3AART|46DMG|6BPWR|7DUR|8FEWX|9CANHEL|aRCR
176	41261 33623	   	180.01	DCR|3VULN|2DMG|1AART|1DUR	18LHND|256VULN|3AART|46DMG|6BPWR|7DUR|9CANHEL|aRCR
177	55261 33223	   	180.01	DCR|3VULN|2DMG|1AART|1DUR	158VULN|26LHND|3AART|46DMG|6BPWR|7DUR|9CANHEL|aRCR
