0	Index      	 *	Score 	Summary	Detail	
1	46332 14212	 * 	222.89	ACR|3VULN|2AART|2DMG|1CDMG|1ZMB	17AART|2RCR|36DMG|46aVULN|5RPLT|6BPWR|8ZMB|9CDMG
12	46332 16232	   	200.52	ACR|2AART|2VULN|2DMG|1ZMB	1aAART|2RCR|36DMG|46VULN|5RPLT|6BPWR|7ZMB|8MLV|9ASPD
13	46332 11312	   	200.44	ACR|3VULN|2DMG|1AART|1CDMG	1AART|2RCR|36DMG|46aVULN|5RPLT|6BPWR|7CGEN|8RCVC|9CDMG
14	46332 11316	   	200.44	ACR|3DMG|2VULN|1AART|1CDMG	1AART|2RCR|36aDMG|46VULN|5RPLT|6BPWR|7CGEN|8RCVC|9CDMG
15	46332 11611	   	200.44	ACR|3VULN|2DMG|1AART|1CDMG	1AART|2RCR|36DMG|468VULN|5RPLT|6BPWR|7CGEN|9CDMG|aMLV
16	46332 11613	   	200.44	ACR|3VULN|2DMG|1AART|1CDMG	1AART|2RCR|36DMG|468VULN|5RPLT|6BPWR|7CGEN|9CDMG|aFEWX
17	46332 14223	   	200.42	ACR|2AART|2VULN|2DMG|1ZMB	17AART|2RCR|36DMG|46VULN|5RPLT|6BPWR|8ZMB|9ERES|aDUR
18	46332 16132	   	200.42	ACR|2AART|2VULN|2DMG|1ZMB	1aAART|2RCR|36DMG|46VULN|5RPLT|6BPWR|7ZMB|8TLV|9ASPD
19	46332 13312	   	200.34	ACR|3VULN|2DMG|1AART|1CDMG	1AART|2RCR|36DMG|46aVULN|5RPLT|6BPWR|7ERES|8RCVC|9CDMG
20	46332 13611	   	200.34	ACR|3VULN|2DMG|1AART|1CDMG	1AART|2RCR|36DMG|468VULN|5RPLT|6BPWR|7ERES|9CDMG|aMLV
21	46332 13613	   	200.34	ACR|3VULN|2DMG|1AART|1CDMG	1AART|2RCR|36DMG|468VULN|5RPLT|6BPWR|7ERES|9CDMG|aFEWX
22	46332 15213	   	200.34	ACR|3DMG|2VULN|1AART|1CDMG	1AART|2RCR|368DMG|46VULN|5RPLT|6BPWR|7DUST|9CDMG|aMLV
23	46332 15212	   	200.24	ACR|3DMG|2VULN|1AART|1CDMG	1AART|2RCR|368DMG|46VULN|5RPLT|6BPWR|7DUST|9CDMG|aTLV
24	46331 35121	   	198.33	ACR|3VULN|2AART|2DMG	16AART|2RCR|37DMG|479VULN|57BEXP|7BPWR|8LHND|aMLV
25	46331 35123	   	198.33	ACR|3VULN|2AART|2DMG	16AART|2RCR|37DMG|479VULN|57BEXP|7BPWR|8LHND|aFEWX
26	46332 11632	   	198.13	ACR|3VULN|2AART|2DMG	1aAART|2RCR|36DMG|468VULN|5RPLT|6BPWR|7CGEN|9DUST
27	46333 41113	 * 	198.03	ACR|3DMG|2AART|2VULN	17AART|2RCR|368DMG|4aVULN|5ERES|9DMSP
28	46332 14232	 * 	197.76	ACR|3AART|2VULN|2DMG|1ZMB	17aAART|2RCR|36DMG|46VULN|5RPLT|6BPWR|8ZMB|9DUST
29	46332 15112	   	197.76	ACR|3AART|2VULN|2DMG|1ZMB	19aAART|2RCR|36DMG|46VULN|5RPLT|6BPWR|7DUST|8ZMB
30	46332 15134	   	197.59	ACR|3VULN|2DMG|1AART|1ZMB	1AART|2RCR|36DMG|46aVULN|5RPLT|6BPWR|7DUST|8ZMB|9MBVNT
31	11233 16622	 * 	196.67	DCR|4VULN|2DMG|1AART	1LEGI|2BEXP|3AART|47DMG|589aVULN|6RCR
32	46331 41232	   	196.48	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	1aAART|2RCR|38DMG|4VULN|5BEXP|6DUR|7CDMG|9ZMB
33	46331 35323	   	196.23	ACR|2AART|2VULN|2DMG|1CDMG	16AART|2RCR|37DMG|47VULN|57BEXP|7BPWR|8RCVC|9ERES|aCDMG
34	11233 16653	   	196.22	DCR|3VULN|2DMG|1AART|1CDMG	1LEGI|2BEXP|3AART|47DMG|58aVULN|6RCR|9CDMG
35	46332 14311	   	196.13	ACR|2AART|2VULN|2DMG|1CDMG	17AART|2RCR|36DMG|46VULN|5RPLT|6BPWR|8TLV|9CDMG|aMLV
36	46332 14313	   	196.13	ACR|2AART|2VULN|2DMG|1CDMG	17AART|2RCR|36DMG|46VULN|5RPLT|6BPWR|8TLV|9CDMG|aFEWX
37	46332 16311	   	195.79	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1AART|2RCR|36DMG|46VULN|5RPLT|6BPWR|7ZMB|8RCVC|9CDMG|aMLV
38	46332 16313	   	195.79	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1AART|2RCR|36DMG|46VULN|5RPLT|6BPWR|7ZMB|8RCVC|9CDMG|aFEWX
39	46332 15121	   	195.59	ACR|2VULN|2DMG|1AART|1FLTHEA|1ZMB	1AART|2RCR|36DMG|46VULN|5RPLT|6BPWR|7DUST|8ZMB|9BASICY|aFLTHEA
40	15251 32261	   	194.69	ACR|4VULN|1AART|1DMG|1CDMG	1LEGI|2569VULN|3DMG|4RCR|7CDMG|8AART|aASPD
41	46333 41132	   	194.10	ACR|3DMG|2AART|1VULN|1FLTHEA	17AART|2RCR|368DMG|4VULN|5ERES|9MLV|aFLTHEA
42	11233 16612	 * 	194.01	DCR|3VULN|2AART|2DMG	1LEGI|2BEXP|39AART|47DMG|58aVULN|6RCR
43	46331 35232	   	193.89	ACR|3AART|2VULN|2DMG	16aAART|2RCR|37DMG|47VULN|57BEXP|7BPWR|8RPLT|9ASPD
44	46332 14132	   	193.79	ACR|3AART|2VULN|2DMG	17aAART|2RCR|36DMG|46VULN|5RPLT|6BPWR|8FEWX|9ASPD
45	46332 11236	   	193.73	ACR|3VULN|2DMG|1AART	1AART|2RCR|36DMG|46aVULN|5RPLT|6BPWR|7CGEN|8MLV|9ASPD
46	46332 11136	   	193.63	ACR|3VULN|2DMG|1AART	1AART|2RCR|36DMG|46aVULN|5RPLT|6BPWR|7CGEN|8TLV|9ASPD
47	46332 11444	   	193.63	ACR|3VULN|2DMG|1AART	1AART|2RCR|36DMG|46aVULN|5RPLT|6BPWR|7CGEN|8MBVNT|9DUR
48	46332 11623	   	193.63	ACR|3VULN|2DMG|1AART	1AART|2RCR|36DMG|468VULN|5RPLT|6BPWR|7CGEN|9ERES|aDUR
49	46332 15232	   	193.63	ACR|3DMG|2VULN|1AART	1AART|2RCR|368DMG|46VULN|5RPLT|6BPWR|7DUST|9ASPD|aCGEN
50	46332 15233	   	193.63	ACR|3DMG|2VULN|1AART	1AART|2RCR|368DMG|46VULN|5RPLT|6BPWR|7DUST|9ASPD|aRCVC
51	46332 13444	   	193.53	ACR|3VULN|2DMG|1AART	1AART|2RCR|36DMG|46aVULN|5RPLT|6BPWR|7ERES|8MBVNT|9DUR
52	46332 15332	   	193.53	ACR|3VULN|2DMG|1AART	1AART|2RCR|36DMG|46aVULN|5RPLT|6BPWR|7DUST|8DUR|9CANSTR
53	46332 13623	   	193.53	ACR|3VULN|2DMG|1AART	1AART|2RCR|36DMG|468VULN|5RPLT|6BPWR|79ERES|aDUR
54	46332 15231	   	193.53	ACR|3DMG|2VULN|1AART	1AART|2RCR|368DMG|46VULN|5RPLT|6BPWR|7DUST|9ASPD|aMBVNT
55	46332 14221	   	193.48	ACR|2AART|2VULN|2DMG|1ZMB	17AART|2RCR|36DMG|46VULN|5RPLT|6BPWR|8ZMB|9ERES|aFEWX
56	46332 14222	   	193.48	ACR|2AART|2VULN|2DMG|1ZMB	17AART|2RCR|36DMG|46VULN|5RPLT|6BPWR|8ZMB|9ERES|aLIT
57	46332 14233	   	193.48	ACR|2AART|2VULN|2DMG|1ZMB	17AART|2RCR|36DMG|46VULN|5RPLT|6BPWR|8ZMB|9DUST|aFEWX
58	46332 15113	   	193.48	ACR|2AART|2VULN|2DMG|1ZMB	19AART|2RCR|36DMG|46VULN|5RPLT|6BPWR|7DUST|8ZMB|aFEWX
59	46332 16332	   	193.48	ACR|2AART|2VULN|2DMG|1ZMB	1aAART|2RCR|36DMG|46VULN|5RPLT|6BPWR|7ZMB|8RCVC|9DUST
60	46331 32512	   	193.38	ACR|2AART|2VULN|2DMG|1ZMB	16AART|2RCR|38DMG|4aVULN|5BEXP|7ZMB|9ERES
61	46332 14231	   	193.38	ACR|2AART|2VULN|2DMG|1ZMB	17AART|2RCR|36DMG|46VULN|5RPLT|6BPWR|8ZMB|9DUST|aERES
62	46332 15111	   	193.38	ACR|2AART|2VULN|2DMG|1ZMB	19AART|2RCR|36DMG|46VULN|5RPLT|6BPWR|7DUST|8ZMB|aERES
