0	Index      	 *	Score 	Summary	Detail	
1	51232 61162	 * 	200.34	ACR|2VULN|2DMG|1AART|1CDMG|2ASPD|1ZMB	1aDMG|2RPLT|3CDMG|4AART|5RCR|6aVULN|7ZMB|8TLV|9aASPD|aBPWR
82	51232 61513	   	175.94	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DMG|2RPLT|3CDMG|4AART|5RCR|6aVULN|7ZMB|8DUST|9DUR
83	51232 45113	   	175.68	ACR|2VULN|2DMG|1AART|1CDMG	1aDMG|2RPLT|3CDMG|4AART|5RCR|68BEXP|79VULN
84	51232 45312	   	175.68	ACR|2VULN|2DMG|1AART|1CDMG	18DMG|2RPLT|3CDMG|4AART|5RCR|6BEXP|79VULN|aLIT
85	51232 45321	   	175.68	ACR|2VULN|2DMG|1AART|1CDMG	18DMG|2RPLT|3CDMG|4AART|5RCR|6BEXP|7aVULN|9LIT
86	51232 55123	   	175.68	ACR|2VULN|2DMG|1AART|1CDMG	1aDMG|2RPLT|3CDMG|4AART|5RCR|6LHND|79VULN|8BEXP
87	51232 55213	   	175.68	ACR|2VULN|2DMG|1AART|1CDMG	1aDMG|2RPLT|3CDMG|4AART|5RCR|68LHND|79VULN
88	51232 55312	   	175.68	ACR|2VULN|2DMG|1AART|1CDMG	18DMG|2RPLT|3CDMG|4AART|5RCR|6LHND|79VULN|aLIT
89	51232 55321	   	175.68	ACR|2VULN|2DMG|1AART|1CDMG	18DMG|2RPLT|3CDMG|4AART|5RCR|6LHND|7aVULN|9LIT
90	51232 66113	   	175.68	ACR|2VULN|2DMG|1AART|1CDMG	1aDMG|2RPLT|3CDMG|4AART|5RCR|69VULN|78BEXP
91	51232 66312	   	175.68	ACR|2VULN|2DMG|1AART|1CDMG	18DMG|2RPLT|3CDMG|4AART|5RCR|69VULN|7BEXP|aLIT
92	51232 66321	   	175.68	ACR|2VULN|2DMG|1AART|1CDMG	18DMG|2RPLT|3CDMG|4AART|5RCR|6aVULN|7BEXP|9LIT
93	51232 61221	   	175.61	ACR|2DMG|1AART|1VULN|2CDMG|1ZMB	19DMG|2RPLT|39CDMG|4AART|5RCR|6VULN|7ZMB|89FEWX|9BPWR|aBEXP
94	51232 61223	   	175.61	ACR|2DMG|1AART|1VULN|2CDMG|1ZMB	19DMG|2RPLT|39CDMG|4AART|5RCR|6VULN|7ZMB|89FEWX|9BPWR|aLIT
95	51232 34113	   	175.58	ACR|2VULN|2DMG|1AART|1CDMG	1aDMG|2RPLT|3CDMG|4AART|5RCR|6CGEN|79VULN|8TLV
96	51232 34313	   	175.58	ACR|2VULN|2DMG|1AART|1CDMG	1aDMG|2RPLT|3CDMG|4AART|5RCR|6CGEN|79VULN|8ERES
97	51232 62113	   	175.58	ACR|2VULN|2DMG|1AART|1CDMG	1aDMG|2RPLT|3CDMG|4AART|5RCR|69VULN|7CGEN|8TLV
98	51232 62313	   	175.58	ACR|2VULN|2DMG|1AART|1CDMG	1aDMG|2RPLT|3CDMG|4AART|5RCR|69VULN|7CGEN|8ERES
99	51232 65313	   	175.58	ACR|2VULN|2DMG|1AART|1CDMG	1aDMG|2RPLT|3CDMG|4AART|5RCR|69VULN|7TLV|8RMIN
100	51232 61222	   	175.51	ACR|2DMG|1AART|1VULN|2CDMG|1ZMB	19DMG|2RPLT|39CDMG|4AART|5RCR|6VULN|7ZMB|89FEWX|9BPWR|aLSRHEA
101	51232 61224	   	175.51	ACR|2DMG|1AART|1VULN|2CDMG|1ZMB	19DMG|2RPLT|39CDMG|4AART|5RCR|6VULN|7ZMB|89FEWX|9BPWR|aERES
102	51232 14142	   	175.41	ACR|2VULN|1AART|1DMG|2CDMG|1ZMB	1DMG|2RPLT|36CDMG|4AART|5RCR|7ZMB|89VULN|aBEXP
103	51232 14143	   	175.41	ACR|2VULN|1AART|1DMG|2CDMG|1ZMB	1DMG|2RPLT|36CDMG|4AART|5RCR|7ZMB|89VULN|aLIT
104	51232 61521	   	175.41	ACR|2DMG|1AART|1VULN|2CDMG|1ZMB	19DMG|2RPLT|39CDMG|4AART|5RCR|6VULN|7ZMB|89DUST|9BPWR|aBEXP
105	51232 61523	   	175.41	ACR|2DMG|1AART|1VULN|2CDMG|1ZMB	19DMG|2RPLT|39CDMG|4AART|5RCR|6VULN|7ZMB|89DUST|9BPWR|aLIT
106	51232 63511	   	175.41	ACR|2VULN|1AART|1DMG|2CDMG|1ZMB	1DMG|2RPLT|37CDMG|4AART|5RCR|69VULN|8BEXP|aZMB
107	51232 63531	   	175.41	ACR|2DMG|1AART|1VULN|2CDMG|1ZMB	19DMG|2RPLT|37CDMG|4AART|5RCR|6VULN|8BEXP|aZMB
108	51232 63611	   	175.41	ACR|2VULN|1AART|1DMG|2CDMG|1ZMB	1DMG|2RPLT|37CDMG|4AART|5RCR|69VULN|8FEWX|aZMB
109	51232 63631	   	175.41	ACR|2DMG|1AART|1VULN|2CDMG|1ZMB	19DMG|2RPLT|37CDMG|4AART|5RCR|6VULN|8FEWX|aZMB
110	51232 14141	   	175.31	ACR|2VULN|1AART|1DMG|2CDMG|1ZMB	1DMG|2RPLT|36CDMG|4AART|5RCR|7ZMB|89VULN|aDUST
111	51232 61522	   	175.31	ACR|2DMG|1AART|1VULN|2CDMG|1ZMB	19DMG|2RPLT|39CDMG|4AART|5RCR|6VULN|7ZMB|89DUST|9BPWR|aLSRHEA
112	51232 63311	   	175.31	ACR|2VULN|1AART|1DMG|2CDMG|1ZMB	1DMG|2RPLT|37CDMG|4AART|5RCR|69VULN|8LEGI|aZMB
113	51232 63331	   	175.31	ACR|2DMG|1AART|1VULN|2CDMG|1ZMB	19DMG|2RPLT|37CDMG|4AART|5RCR|6VULN|8LEGI|aZMB
114	51232 63411	   	175.31	ACR|2VULN|1AART|1DMG|2CDMG|1ZMB	1DMG|2RPLT|37CDMG|4AART|5RCR|69VULN|8DUST|aZMB
115	51232 63431	   	175.31	ACR|2DMG|1AART|1VULN|2CDMG|1ZMB	19DMG|2RPLT|37CDMG|4AART|5RCR|6VULN|8DUST|aZMB
116	52112 42332	 * 	175.27	DCR|3VULN|2DMG|1AART	13DMG|234DUST|3BPWR|5LIT|69aVULN|7AART|8RCR
117	23365 13322	 * 	175.13	DCR|3VULN|2AART|1DMG	1DLOT|29aVULN|3MBVNT|4DMG|58AART|6RCR|7FEWX
118	52633 16122	   	175.06	DCR|2VULN|2DMG|1AART|1CDMG	1aDMG|2DUST|3NUKE|4AART|57VULN|6CDMG|8RCR|9BEXP
119	53225 25313	   	174.77	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1DMG|2CANHEL|3CDMG|468VULN|5AART|7LWND|9ASPD|aRCR
120	53225 21432	   	174.56	DCR|2VULN|2DMG|1AART|1CDMG	1aDMG|2CANHEL|3CDMG|46VULN|5AART|7MLV|8RCR|9BEXP
121	53225 24222	   	174.56	DCR|2VULN|2DMG|1AART|1CDMG	1aDMG|2CANHEL|3CDMG|46VULN|5AART|7LIT|8RCR|9MLV
122	53225 31412	   	174.56	DCR|2VULN|2DMG|1AART|1CDMG	16DMG|2CANHEL|3CDMG|49VULN|5AART|7MLV|8RCR|aLIT
123	53225 24211	   	174.46	DCR|2VULN|2DMG|1AART|1CDMG	1aDMG|2CANHEL|3CDMG|46VULN|5AART|7LIT|8RCR|9DUST
124	53225 31413	   	174.46	DCR|2VULN|2DMG|1AART|1CDMG	16DMG|2CANHEL|3CDMG|49VULN|5AART|7MLV|8RCR|aDUST
125	13135 35136	 * 	174.10	DCR|4VULN|2DMG|1ASPD	18FEWX|2LWND|38DMG|4ASPD|5MLV|689aVULN|7RCR|8BPWR
126	51421 32126	 * 	174.07	ACR|3VULN|2DMG|1CDMG|1DUR	1aDMG|2RPLT|3DUR|4RCR|56aVULN|7CDMG|8CGEN|9aLWND|aBPWR
127	23223 24421	   	173.92	DCR|2AART|2VULN|1DMG|1ZMB|1ASPD	1DLOT|26VULN|39AART|4BELT|5ZMB|7DMG|8RCR|aASPD
128	51421 32423	   	173.87	ACR|3DMG|2VULN|1CDMG|1DUR	18aDMG|2RPLT|3DUR|4RCR|56VULN|7CDMG|9BEXP
129	53321 44122	   	173.81	DCR|3DMG|1AART|1VULN|2DUR	18aDMG|2CANHEL|3RMIN|48FEWX|5AART|68DUR|7RCR|8BPWR|9VULN
130	21312 53632	   	173.77	ACR|3VULN|2DMG|2ASPD|1DUR	1DLOT|2aASPD|3LWND|4RCR|58aVULN|6DUR|7ERES|9aDMG|aBPWR
131	51421 32243	   	173.77	ACR|3VULN|2DMG|1CDMG|1DUR	1aDMG|2RPLT|3DUR|4RCR|569VULN|7CDMG|8DUST
132	51421 32413	   	173.77	ACR|3DMG|2VULN|1CDMG|1DUR	18aDMG|2RPLT|3DUR|4RCR|56VULN|7CDMG|9DUST
133	51232 45133	   	173.75	ACR|3DMG|1AART|1VULN|1CDMG	19aDMG|2RPLT|3CDMG|4AART|5RCR|68BEXP|7VULN
134	51232 45331	   	173.75	ACR|3DMG|1AART|1VULN|1CDMG	189DMG|2RPLT|3CDMG|4AART|5RCR|6aBEXP|7VULN
135	51232 45332	   	173.75	ACR|3DMG|1AART|1VULN|1CDMG	189DMG|2RPLT|3CDMG|4AART|5RCR|6BEXP|7VULN|aLIT
136	51232 55233	   	173.75	ACR|3DMG|1AART|1VULN|1CDMG	19aDMG|2RPLT|3CDMG|4AART|5RCR|68LHND|7VULN
137	51232 55331	   	173.75	ACR|3DMG|1AART|1VULN|1CDMG	189DMG|2RPLT|3CDMG|4AART|5RCR|6LHND|7VULN|aBEXP
138	51232 55332	   	173.75	ACR|3DMG|1AART|1VULN|1CDMG	189DMG|2RPLT|3CDMG|4AART|5RCR|6LHND|7VULN|aRCVC
139	51232 55333	   	173.75	ACR|3DMG|1AART|1VULN|1CDMG	189DMG|2RPLT|3CDMG|4AART|5RCR|6LHND|7VULN|aLIT
140	51232 66133	   	173.75	ACR|3DMG|1AART|1VULN|1CDMG	19aDMG|2RPLT|3CDMG|4AART|5RCR|6VULN|78BEXP
141	51232 66331	   	173.75	ACR|3DMG|1AART|1VULN|1CDMG	189DMG|2RPLT|3CDMG|4AART|5RCR|6VULN|7aBEXP
142	51232 66332	   	173.75	ACR|3DMG|1AART|1VULN|1CDMG	189DMG|2RPLT|3CDMG|4AART|5RCR|6VULN|7BEXP|aLIT
143	51232 34133	   	173.65	ACR|3DMG|1AART|1VULN|1CDMG	19aDMG|2RPLT|3CDMG|4AART|5RCR|6CGEN|7VULN|8TLV
144	51232 34333	   	173.65	ACR|3DMG|1AART|1VULN|1CDMG	19aDMG|2RPLT|3CDMG|4AART|5RCR|6CGEN|7VULN|8ERES
145	51232 45333	   	173.65	ACR|3DMG|1AART|1VULN|1CDMG	189DMG|2RPLT|3CDMG|4AART|5RCR|6BEXP|7VULN|aNUKE
146	51232 62133	   	173.65	ACR|3DMG|1AART|1VULN|1CDMG	19aDMG|2RPLT|3CDMG|4AART|5RCR|6VULN|7CGEN|8TLV
147	51232 62333	   	173.65	ACR|3DMG|1AART|1VULN|1CDMG	19aDMG|2RPLT|3CDMG|4AART|5RCR|6VULN|7CGEN|8ERES
148	51232 65333	   	173.65	ACR|3DMG|1AART|1VULN|1CDMG	19aDMG|2RPLT|3CDMG|4AART|5RCR|6VULN|7TLV|8RMIN
149	51232 66333	   	173.65	ACR|3DMG|1AART|1VULN|1CDMG	189DMG|2RPLT|3CDMG|4AART|5RCR|6VULN|7BEXP|aNUKE
150	21122 15336	 * 	173.45	ACR|2DMG|3CDMG|1AART|3ASPD	1DLOT|25aASPD|3RCR|45LIT|5aBPWR|69aCDMG|7AART|8aDMG
151	23512 63163	   	173.33	ACR|4VULN|1AART|1CDMG|1ASPD	1DLOT|2568VULN|36ERES|4RCR|6BPWR|7CDMG|9ASPD|aAART
152	23365 14472	 * 	173.12	DCR|2VULN|2AART|1DMG|1CDMG	1DLOT|2aVULN|3MBVNT|4DMG|58AART|6RCR|7RCVC|9CDMG
153	23512 12156	 * 	172.90	ACR|3VULN|2DMG|2CDMG|1SELL	17DLOT|25aVULN|3ERES|4RCR|6SELL|8aCDMG|9aDMG|aBPWR
154	51232 61111	 * 	172.85	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG	1DMG|2RPLT|3CDMG|4AART|5RCR|69VULN|7aZMB|8TLV
155	51232 61131	 * 	172.85	ACR|2DMG|1AART|1VULN|2ZMB|1CDMG	19DMG|2RPLT|3CDMG|4AART|5RCR|6VULN|7aZMB|8TLV
156	51232 61311	   	172.85	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG	1DMG|2RPLT|3CDMG|4AART|5RCR|69VULN|7aZMB|8ERES
157	51232 61331	   	172.85	ACR|2DMG|1AART|1VULN|2ZMB|1CDMG	19DMG|2RPLT|3CDMG|4AART|5RCR|6VULN|7aZMB|8ERES
158	23512 64322	   	172.70	ACR|4VULN|1AART|1DMG	1DLOT|2569VULN|36ERES|4RCR|6BPWR|7DMG|8NUKE|aAART
159	23365 14714	   	172.65	DCR|2VULN|2DMG|1AART|1ASPD	1DLOT|28VULN|3MBVNT|48DMG|5AART|6RCR|7RCVC|8BPWR|9BELT|aASPD
160	53225 21412	   	172.63	DCR|3VULN|1AART|1DMG|1CDMG	1DMG|2CANHEL|3CDMG|469VULN|5AART|7MLV|8RCR|aLIT
161	53225 31432	 * 	172.63	DCR|3DMG|1AART|1VULN|1CDMG	16aDMG|2CANHEL|3CDMG|4VULN|5AART|7MLV|8RCR|9BEXP
