0	Index      	 *	Score 	Summary	Detail	
1	13524 43231	 * 	192.99	ACR|4VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2FEWX|3DUR|489aVULN|5RCR|6DMG|7AART
43	12616 13314	   	173.45	DCR|3DMG|2VULN|1CDMG|1DUR	1CDMG|2RPLT|369DMG|48VULN|5CGEN|7RCR|aDUR
44	61333 21146	   	173.42	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1BEXP|2ZMB|348VULN|5MGNLIT|6DMG|7AART|9RCR|aDUR
45	12343 21214	   	173.36	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|2RPLT|34VULN|5MGNLIT|6aDMG|7AART|8RCR|9LEGI
46	14365 32222	 * 	173.25	ACR|3VULN|2DMG|2CDMG	19CDMG|29TLV|3ERES|48DMG|5RCR|6RCVC|79aVULN|9BPWR
47	12615 13326	 * 	173.03	DCR|3VULN|2DMG|2CDMG	1aCDMG|2RPLT|36DMG|48aVULN|5RMIN|7RCR|9aFEWX|aBPWR
48	12615 13336	   	173.03	DCR|3VULN|2DMG|2CDMG	1aCDMG|2RPLT|36DMG|48aVULN|5RMIN|7RCR|9aLWND|aBPWR
49	12616 13325	 * 	173.03	DCR|3DMG|2VULN|2CDMG	1aCDMG|2RPLT|36aDMG|48VULN|5CGEN|7RCR|9aFEWX|aBPWR
50	12616 13335	   	173.03	DCR|3DMG|2VULN|2CDMG	1aCDMG|2RPLT|36aDMG|48VULN|5CGEN|7RCR|9aLWND|aBPWR
51	12626 13335	   	173.03	DCR|3DMG|2VULN|2CDMG	1aCDMG|2RPLT|36aDMG|49BEXP|5CGEN|7RCR|8aVULN|aBPWR
52	13524 33231	   	172.93	ACR|4VULN|1AART|1CDMG|1DUR	1CDMG|2FEWX|3DUR|489aVULN|5RCR|6MLV|7AART
53	13524 63231	   	172.93	ACR|4VULN|1AART|1CDMG|1DUR	1CDMG|2FEWX|3DUR|489aVULN|5RCR|6CGEN|7AART
54	13545 13231	   	172.93	ACR|4VULN|1AART|1CDMG|1DUR	1CDMG|2FEWX|3DUR|4CGEN|5RCR|689aVULN|7AART
55	36316 53231	   	172.93	ACR|4VULN|1AART|1CDMG|1DUR	1CGEN|2DUR|389aVULN|4BEXP|5RCR|6CDMG|7AART
56	33121 14453	   	172.86	DCR|2VULN|2DMG|1AART|1CDMG	18aCGEN|2aTLV|36VULN|4AART|5CDMG|7aDMG|9RCR|aBPWR
57	33121 44153	   	172.86	DCR|2VULN|2DMG|1AART|1CDMG	16aCGEN|2aTLV|38VULN|4AART|5CDMG|7aDMG|9RCR|aBPWR
58	12615 63313	   	172.83	DCR|3DMG|2VULN|2CDMG	16CDMG|2RPLT|39aDMG|48VULN|5RMIN|7RCR
59	11651 22423	   	172.76	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|2VENICY|37DMG|4AART|5aVULN|6BEXP|8LIT|9RCR
60	11651 22351	   	172.66	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|2VENICY|37DMG|4AART|5aVULN|6BEXP|8ERES|9RCR
61	12613 21316	   	172.03	DCR|3VULN|1AART|1DMG|1CDMG	1CDMG|2RPLT|3DMG|489VULN|5BELT|6DLOT|7RCR|aAART
62	12643 21316	   	172.03	DCR|3VULN|1AART|1DMG|1CDMG	1CDMG|2RPLT|3DMG|4BELT|589VULN|6DLOT|7RCR|aAART
63	13158 16214	   	171.98	ACR|2VULN|2DMG|1AART|1CDMG	1CDMG|2FEWX|3MBVNT|4CGEN|5RCR|68VULN|79DMG|aAART
64	11111 32556	   	171.56	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|2VENICY|3LHND|4aVULN|5MLV|6AART|78DMG|9RCR
65	11112 32551	   	171.56	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|2VENICY|3LHND|4aVULN|5CGEN|6AART|78DMG|9RCR
66	13524 43211	   	171.48	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1CDMG|2FEWX|3DUR|48VULN|5RCR|6DMG|7AART|9ASPD|aRCVC
67	63161 13533	   	171.42	DCR|2AART|2VULN|1DMG|1CDMG	12BEXP|36VULN|4aAART|5CDMG|7RCR|8DMG|9ERES
68	13312 46631	   	171.35	ACR|3VULN|1AART|1DMG|1CDMG	1CDMG|2FEWX|3MLV|4CGEN|5RCR|6DMG|79aVULN|8AART
69	36343 13612	   	171.21	DCR|3VULN|1AART|1DMG|2DUR	1CGEN|26DUR|347VULN|5AART|8RCR|9ERES|aDMG
70	63161 13531	   	170.98	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	12BEXP|36VULN|4AART|5CDMG|7RCR|8DMG|9ERES|aZMB
71	33121 14152	   	170.83	DCR|3VULN|1AART|1DMG|1CDMG	1CGEN|2TLV|368VULN|4AART|5CDMG|7DMG|9RCR|aLWND
72	33121 14156	   	170.83	DCR|3VULN|1AART|1DMG|1CDMG	1CGEN|2TLV|368VULN|4AART|5CDMG|7DMG|9RCR|aRPLT
73	16625 22231	   	170.77	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1CDMG|2ASPD|3DUR|4LWND|5RCR|6AART|7LHND|8aVULN|9DMG
74	33121 14151	   	170.73	DCR|3VULN|1AART|1DMG|1CDMG	1CGEN|2TLV|368VULN|4AART|5CDMG|7DMG|9RCR|aDUST
75	13562 42111	   	170.67	DCR|2DMG|1AART|1VULN|2CDMG|1ASPD|1DUR	17CDMG|2FEWX|3DUR|4ASPD|56DMG|8AART|9VULN|aRCR
76	16622 42111	   	170.67	DCR|2DMG|1AART|1VULN|2CDMG|1DUR|1ASPD	17CDMG|2ASPD|3DUR|4LWND|56DMG|8AART|9VULN|aRCR
77	61333 21143	 * 	170.34	DCR|3VULN|1AART|1DMG|2ZMB	1BEXP|2aZMB|348VULN|5MGNLIT|6DMG|7AART|9RCR
78	33121 24514	   	170.26	DCR|2VULN|2DMG|1AART|1CDMG	1CGEN|2TLV|39VULN|4AART|5CDMG|6ERES|78DMG|aRCR
79	13524 33216	   	170.17	ACR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1CDMG|2FEWX|3DUR|48VULN|5RCR|6MLV|7AART|9ASPD|aDMG
80	13524 43213	   	170.17	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1CDMG|2FEWX|3DUR|48VULN|5RCR|6DMG|7AART|9ASPD|aLIT
81	11651 32322	   	169.81	DCR|2DMG|1AART|1VULN|1CDMG|2DUR	1CDMG|2VENICY|37DMG|4AART|5VULN|6aDUR|8RCR|9CGEN
82	12343 11254	   	169.75	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1CDMG|2RPLT|34VULN|5MGNLIT|6ASPD|7AART|8RCR|9DUR|aDMG
83	13524 43222	   	169.55	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	19CDMG|2FEWX|3DUR|48VULN|5RCR|6DMG|7AART|aLHND
84	13524 43223	   	169.55	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	19CDMG|2FEWX|3DUR|48VULN|5RCR|6DMG|7AART|aLWND
85	12343 11223	   	169.41	DCR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1CDMG|2RPLT|34aVULN|5MGNLIT|6ASPD|7AART|8RCR|9ZMB
86	33116 31315	   	169.17	DCR|3VULN|1DMG|1CDMG|1ZMB|1DUR	1CGEN|2TLV|348VULN|5DUR|6RCR|7ZMB|9DMG|aCDMG
87	12615 23313	   	169.02	DCR|3DMG|2VULN|1CDMG	1CDMG|2RPLT|39aDMG|48VULN|5RMIN|6RCVC|7RCR
88	12615 23314	   	169.02	DCR|3VULN|2DMG|1CDMG	1CDMG|2RPLT|39DMG|48aVULN|5RMIN|6RCVC|7RCR
89	12613 12523	   	169.02	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1CDMG|2RPLT|39DMG|4VULN|5BELT|6ZMB|7AART|8DUR|aRCR
90	12643 12523	   	169.02	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1CDMG|2RPLT|39DMG|4BELT|5VULN|6ZMB|7AART|8DUR|aRCR
91	14612 42321	   	168.85	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	19CDMG|2TLV|3DUR|4CGEN|5RCR|6DMG|7aVULN|8AART
92	36316 26313	   	168.73	ACR|3VULN|1AART|1DMG|2DUR	1CGEN|27DUR|368VULN|4BEXP|5RCR|9DMG|aAART
93	33121 33155	   	168.71	DCR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1CGEN|2TLV|378VULN|4AART|5CDMG|6ZMB|9RCR|aASPD
94	12343 21263	   	168.48	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2RPLT|34VULN|5MGNLIT|6DMG|7AART|8RCR|9RCVC|aZMB
95	63111 18313	 * 	168.42	DCR|3VULN|3DMG	12BEXP|348VULN|59aDMG|6MBVNT|7RCR
96	33121 14164	   	168.33	DCR|3VULN|1AART|1DMG|1CDMG	1CGEN|2TLV|368VULN|4AART|5CDMG|7DMG|9ERES|aRCR
97	61333 21243	 * 	168.21	DCR|2VULN|3ZMB|1AART|1DMG	1BEXP|28aZMB|34VULN|5MGNLIT|6DMG|7AART|9RCR
98	12343 21251	   	168.11	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1CDMG|2RPLT|34VULN|5MGNLIT|6DMG|7AART|8RCR|9aDUR
99	61615 11133	   	168.00	ACR|3VULN|1AART|1DMG|1ZMB	1BEXP|2ZMB|3DMG|48aVULN|5RCR|6LWND|7AIRHEA|9AART
100	33213 53214	   	167.83	DCR|3VULN|1AART|1DMG|1CDMG	1CGEN|2TLV|3RMIN|479VULN|5AART|6DMG|8CDMG|aRCR
101	61333 21141	   	167.79	DCR|3VULN|1AART|1DMG|1ZMB	1BEXP|2ZMB|348VULN|5MGNLIT|6DMG|7AART|9RCR|aRCVC
102	11661 15133	 * 	167.54	ACR|2DMG|2AART|1VULN|1CDMG	1CDMG|24VENICY|34DMG|4BPWR|5RCR|6ERES|7aAART|8VULN|9FEWX
103	11661 15123	   	167.44	ACR|2DMG|2AART|1VULN|1CDMG	1CDMG|24VENICY|34DMG|4BPWR|5RCR|6ERES|7aAART|8VULN|9DUST
104	12343 21245	   	167.32	DCR|2VULN|2AART|1DMG|1CDMG	1CDMG|2RPLT|34VULN|5MGNLIT|6DMG|7aAART|8RCR|9RMIN
105	12343 21216	   	167.22	DCR|2VULN|2AART|1DMG|1CDMG	1CDMG|2RPLT|34VULN|5MGNLIT|6DMG|7aAART|8RCR|9LEGI
106	15124 54344	   	167.13	DCR|3VULN|1AART|1DMG|1CDMG	1CDMG|2LEGI|3MBVNT|457VULN|6DMG|8RMIN|9RCR|aAART
107	63161 13341	 * 	167.11	DCR|3VULN|2AART|1CDMG	12BEXP|369VULN|4aAART|5CDMG|7RCR|8LIT
108	36343 11214	   	167.04	DCR|3VULN|1AART|1CDMG|2DUR|1ASPD	1CGEN|26DUR|349VULN|5AART|7ASPD|8CDMG|aRCR
109	63161 13532	   	166.91	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	12BEXP|36VULN|4AART|5CDMG|7RCR|8DMG|9ERES|aDUR
110	12343 21221	   	166.88	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2RPLT|34VULN|5MGNLIT|6DMG|7AART|8RCR|9ZMB|aFEWX
111	12343 21223	   	166.88	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2RPLT|34VULN|5MGNLIT|6DMG|7AART|8RCR|9ZMB|aRMIN
112	12343 21224	   	166.88	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2RPLT|34VULN|5MGNLIT|6DMG|7AART|8RCR|9ZMB|aLHND
113	12343 21226	   	166.88	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2RPLT|34VULN|5MGNLIT|6DMG|7AART|8RCR|9ZMB|aDMSP
114	12343 41242	   	166.88	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2RPLT|34VULN|5MGNLIT|6CGEN|7AART|8RCR|9ZMB|aDMG
115	63111 18315	 * 	166.87	DCR|4VULN|2DMG	12BEXP|348aVULN|59DMG|6MBVNT|7RCR
116	12343 21212	   	166.78	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2RPLT|34VULN|5MGNLIT|6DMG|7AART|8RCR|9LEGI|aZMB
117	16211 26214	 * 	166.71	DCR|2VULN|1AART|2CDMG|2ASPD|2DUR	18CDMG|28ASPD|3RCVC|49VULN|5CGEN|68DUR|7AART|8BPWR|aRCR
118	63161 13343	   	166.67	DCR|3VULN|1AART|1CDMG|1ZMB	12BEXP|369VULN|4AART|5CDMG|7RCR|8LIT|aZMB
119	63161 13631	   	166.67	DCR|3VULN|1AART|1CDMG|1ZMB	12BEXP|369VULN|4AART|5CDMG|7RCR|8LHND|aZMB
120	11611 25151	   	166.63	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	15CDMG|2VENICY|3DMG|4CGEN|6DUR|7AART|8aVULN|9RCR
121	11651 22353	 * 	166.52	DCR|2AART|2DMG|1VULN|1CDMG	1CDMG|2VENICY|37DMG|4aAART|5VULN|6BEXP|8ERES|9RCR
122	12615 13311	   	166.51	DCR|3DMG|2VULN|1CDMG	1CDMG|2aRPLT|369DMG|48VULN|5RMIN|7RCR
123	12615 13312	   	166.51	DCR|3DMG|2VULN|1CDMG	1CDMG|2RPLT|369DMG|48VULN|5RMIN|7RCR|aLHND
124	12615 13313	   	166.51	DCR|3DMG|2VULN|1CDMG	1CDMG|2RPLT|369DMG|48VULN|5RMIN|7RCR|aLWND
125	12615 13316	   	166.51	DCR|3DMG|2VULN|1CDMG	1CDMG|2RPLT|369DMG|48VULN|5RMIN|7RCR|aCGEN
126	12615 43313	   	166.51	DCR|3DMG|2VULN|1CDMG	1CDMG|2RPLT|39aDMG|48VULN|5RMIN|6DMSP|7RCR
127	12616 13311	   	166.51	DCR|3DMG|2VULN|1CDMG	1CDMG|2aRPLT|369DMG|48VULN|5CGEN|7RCR
128	12616 13312	   	166.51	DCR|3DMG|2VULN|1CDMG	1CDMG|2RPLT|369DMG|48VULN|5CGEN|7RCR|aLHND
129	12616 13313	   	166.51	DCR|3DMG|2VULN|1CDMG	1CDMG|2RPLT|369DMG|48VULN|5CGEN|7RCR|aLWND
130	12616 13316	   	166.51	DCR|3DMG|2VULN|1CDMG	1CDMG|2RPLT|369DMG|48VULN|5aCGEN|7RCR
131	61333 21142	   	166.48	DCR|3VULN|1AART|1DMG|1ZMB	1BEXP|2ZMB|348VULN|5MGNLIT|6DMG|7AART|9RCR|aFEWX
132	61333 21145	   	166.48	DCR|3VULN|1AART|1DMG|1ZMB	1BEXP|2ZMB|348VULN|5MGNLIT|6DMG|7AART|9RCR|aRMIN
133	12615 13315	   	166.41	DCR|3DMG|2VULN|1CDMG	1CDMG|2RPLT|369DMG|48VULN|5RMIN|7RCR|aDUST
134	12616 13315	   	166.41	DCR|3DMG|2VULN|1CDMG	1CDMG|2RPLT|369DMG|48VULN|5CGEN|7RCR|aDUST
135	63161 33114	   	166.41	DCR|3VULN|1AART|1CDMG|1ZMB|1ASPD	12BEXP|378VULN|4AART|5CDMG|6ZMB|9ASPD|aRCR
136	16215 21342	   	166.39	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1CDMG|2ASPD|3RCVC|4VULN|5RCR|6LHND|7DUR|8AART|9DMG|aZMB
137	16225 32342	   	166.39	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1CDMG|2ASPD|3RCVC|4LHND|5RCR|6DUR|7VULN|8AART|9DMG|aZMB
138	33121 33114	   	166.31	DCR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1CGEN|2TLV|378VULN|4AART|5CDMG|6ZMB|9ASPD|aRCR
139	12625 23136	 * 	166.12	DCR|2VULN|2DMG|3CDMG	18aCDMG|2RPLT|38DMG|48aBEXP|5RMIN|6RCVC|7RCR|8aBPWR|9aVULN
140	11512 13633	   	166.05	DCR|3VULN|2DMG|1CDMG|1DUR	1CDMG|2VENICY|348VULN|59DMG|6ERES|7DUR|aRCR
141	13124 58431	   	166.03	DCR|3VULN|1AART|1DMG|1CDMG	1CDMG|2FEWX|3MBVNT|459VULN|6DMG|7MLV|8AART|aRCR
142	33121 14614	   	166.03	DCR|2VULN|1AART|1DMG|2CDMG|1ASPD	1CGEN|2TLV|36VULN|4AART|58CDMG|7DMG|9ASPD|aRCR
143	15124 58431	   	165.93	DCR|3VULN|1AART|1DMG|1CDMG	1CDMG|2LEGI|3MBVNT|459VULN|6DMG|7MLV|8AART|aRCR
144	36343 23612	   	165.92	DCR|3VULN|1AART|1DMG|1DUR	16CGEN|2DUR|347VULN|5AART|8RCR|9ERES|aDMG
145	11111 33445	 * 	165.84	DCR|1AART|1VULN|1DMG|1FLTHEA|1CDMG|1ZMB	1CDMG|2VENICY|3LHND|4VULN|5MLV|6AART|7RCR|8DMG|9FLTHEA|aZMB
146	11112 33445	   	165.84	DCR|1AART|1VULN|1DMG|1FLTHEA|1CDMG|1ZMB	1CDMG|2VENICY|3LHND|4VULN|5CGEN|6AART|7RCR|8DMG|9FLTHEA|aZMB
147	11651 32334	   	165.82	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1CDMG|2VENICY|37DMG|4AART|5VULN|6DUR|8RCR|9LWND|aRCVC
148	13524 33235	   	165.76	ACR|3VULN|1AART|1CDMG|1DUR|1ASPD	1CDMG|2FEWX|3DUR|489VULN|5RCR|6MLV|7AART|aASPD
149	33121 33153	 * 	165.72	DCR|3VULN|1AART|2ZMB|1CDMG	1aCGEN|2aTLV|378VULN|4AART|5CDMG|6aZMB|9RCR|aBPWR
150	12343 21541	   	165.71	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1CDMG|2RPLT|34VULN|5MGNLIT|6DMG|7AART|8aDUR|9RCR
151	36316 23313	   	165.64	ACR|3VULN|1AART|1DMG|1DUR	1CGEN|2DUR|368VULN|4BEXP|5RCR|7RCVC|9DMG|aAART
152	12625 23132	   	165.49	DCR|2DMG|1AART|1VULN|2CDMG	18CDMG|2RPLT|38DMG|48BEXP|5RMIN|6RCVC|7RCR|8BPWR|9VULN|aAART
153	13178 33154	 * 	165.40	ACR|2VULN|1AART|2CDMG|2ASPD|1ZMB	19CDMG|29FEWX|3MBVNT|46ASPD|5RCR|7ZMB|89VULN|9BPWR|aAART
154	15121 17251	   	165.33	DCR|3VULN|1AART|1DMG|1CDMG	1CDMG|2LEGI|3MBVNT|467VULN|5CGEN|8DMG|9AART|aRCR
155	63111 18382	   	165.32	DCR|3VULN|1AART|1DMG|1DUR	12BEXP|348VULN|5DMG|6MBVNT|7RCR|9DUR|aAART
156	15424 13331	   	165.29	ACR|4VULN|1AART|1CDMG	1CDMG|2LEGI|3FEWX|469aVULN|5RCR|7CGEN|8AART
157	15124 17251	   	165.23	DCR|3VULN|1AART|1DMG|1CDMG	1CDMG|2LEGI|3MBVNT|457VULN|6ERES|8DMG|9AART|aRCR
158	15124 24251	   	165.23	DCR|3VULN|1AART|1DMG|1CDMG	1CDMG|2LEGI|3MBVNT|457VULN|6TLV|8DMG|9AART|aRCR
159	15124 54451	   	165.23	DCR|3VULN|1AART|1DMG|1CDMG	1CDMG|2LEGI|3MBVNT|457VULN|6DMG|8TLV|9AART|aRCR
160	12343 11225	   	165.20	DCR|2VULN|2AART|1CDMG|1ZMB|1ASPD	1CDMG|2RPLT|34VULN|5MGNLIT|6ASPD|7aAART|8RCR|9ZMB
161	15424 11331	   	165.19	ACR|4VULN|1AART|1CDMG	1CDMG|2LEGI|3FEWX|469aVULN|5RCR|7ERES|8AART
162	13524 33221	   	165.14	ACR|3VULN|1AART|2CDMG|1DUR	19CDMG|2FEWX|3DUR|48aVULN|5RCR|6MLV|7AART
163	13524 63221	   	165.14	ACR|3VULN|1AART|2CDMG|1DUR	19CDMG|2FEWX|3DUR|48aVULN|5RCR|6CGEN|7AART
164	13545 13221	   	165.14	ACR|3VULN|1AART|2CDMG|1DUR	19CDMG|2FEWX|3DUR|4CGEN|5RCR|68aVULN|7AART
165	36316 53221	   	165.14	ACR|3VULN|1AART|2CDMG|1DUR	1CGEN|2DUR|38aVULN|4BEXP|5RCR|69CDMG|7AART
166	12613 11133	   	165.08	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2RPLT|3DMG|49VULN|5BELT|6ZMB|7LHND|8RCR|aAART
