0	Index      	 *	Score 	Summary	Detail	
1	14132 63325	 * 	197.69	DCR|2AART|2DMG|2CDMG|1VULN|3DUR	189DUR|23AART|4LWND|58DMG|6RCR|78CDMG|8BPWR|aVULN
18	13116 63362	   	184.44	DCR|2DMG|1AART|1VULN|2CDMG|3DUR	128DUR|3FEWX|48DMG|5AART|6RCR|78CDMG|8BPWR|9VULN|aLIT
19	24334 23234	 * 	184.39	ACR|3VULN|2DMG|1AART	178CANHEL|2RCR|3CGEN|478VULN|5AART|678LWND|78BPWR|9aDMG
20	14111 31536	 * 	184.07	DCR|3VULN|2AART|1DMG|1DUR	1DUR|23AART|47aVULN|5DMSP|6RCR|8DMG|9CGEN
21	14111 31625	   	184.07	DCR|3VULN|2AART|1DMG|1DUR	1DUR|23AART|47aVULN|58DMSP|6RCR|9DMG
22	14112 63421	   	182.42	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1DUR|23AART|4VULN|5DMG|6RCR|7CDMG|8ASPD|9RCVC|aZMB
23	14422 63331	   	182.32	DCR|2DMG|1AART|1VULN|2CDMG|2DUR	18DUR|2AART|34LWND|58DMG|6RCR|78CDMG|8BPWR|9DUST|aVULN
24	14112 62212	   	182.06	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	1DUR|23AART|49VULN|5DMG|6RCR|7LHND|8MLV|aCDMG
25	14112 62242	   	182.06	DCR|2AART|2DMG|1VULN|1CDMG|1DUR	1DUR|23AART|4VULN|59DMG|6RCR|7LHND|8MLV|aCDMG
26	14112 63111	   	182.06	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	1DUR|23AART|4aVULN|5DMG|6RCR|7CDMG|8BELT|9LWND
27	14112 63121	   	182.06	DCR|2AART|2DMG|1VULN|1CDMG|1DUR	1DUR|23AART|4VULN|5aDMG|6RCR|7CDMG|8BELT|9RPLT
28	14112 63131	   	182.06	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	1DUR|23AART|4aVULN|5DMG|6RCR|7CDMG|8BELT|9FEWX
29	14112 63136	   	182.06	DCR|2AART|2DMG|1VULN|1CDMG|1DUR	1DUR|23AART|4VULN|5aDMG|6RCR|7CDMG|8BELT|9FEWX
30	14112 63316	   	182.06	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	1DUR|23AART|4aVULN|5DMG|6RCR|7CDMG|8LWND|9FEWX
31	14112 63341	   	182.06	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	1DUR|23AART|4aVULN|5DMG|6RCR|7CDMG|8LWND|9BELT
32	14112 66212	   	182.06	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	1DUR|23AART|49VULN|5DMG|6RCR|7FEWX|8MLV|aCDMG
33	14111 31622	   	182.06	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	1DUR|23AART|47VULN|58DMSP|6RCR|9DMG|aCDMG
34	14112 63141	   	181.96	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	1DUR|23AART|4aVULN|5DMG|6RCR|7CDMG|8BELT|9DUST
35	14112 63225	   	181.96	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	1DUR|23AART|4aVULN|5DMG|6RCR|7CDMG|8ERES|9RCVC
36	14112 63236	   	181.96	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	1DUR|23AART|4aVULN|5DMG|6RCR|7CDMG|8ERES|9MLV
37	14112 63611	   	181.79	DCR|2AART|1VULN|1DMG|2CDMG|1ZMB|1DUR	1DUR|23AART|4VULN|5DMG|6RCR|78CDMG|9MLV|aZMB
38	34211 16611	 * 	180.98	DCR|2VULN|2DMG|1AART|2CDMG	18ERES|26VULN|3RMIN|48DMG|58CDMG|7RCR|8BPWR|9AART|aRPLT
39	34211 16612	   	180.98	DCR|2VULN|2DMG|1AART|2CDMG	18ERES|26VULN|3RMIN|48DMG|58CDMG|7RCR|8BPWR|9AART|aMLV
40	34211 16613	   	180.98	DCR|2VULN|2DMG|1AART|2CDMG	18ERES|26VULN|3RMIN|48DMG|58CDMG|7RCR|8BPWR|9AART|aCGEN
41	14112 63335	   	180.77	DCR|2AART|1VULN|1DMG|1CDMG|2DUR|1ZMB	1aDUR|23AART|4VULN|5DMG|6RCR|7CDMG|8LWND|9ZMB
42	14132 63313	   	180.74	DCR|2AART|2DMG|2CDMG|2DUR|1ASPD	18DUR|23AART|4LWND|58DMG|6RCR|78CDMG|8BPWR|9MLV|aASPD
43	24334 23232	 * 	180.45	ACR|3VULN|1AART|1DMG|1FLTHEA	178CANHEL|2RCR|3CGEN|478VULN|5AART|678LWND|78BPWR|9DMG|aFLTHEA
44	24334 52222	 * 	180.08	ACR|2AART|2VULN|2DMG	18CANHEL|2RCR|3CGEN|48VULN|5aAART|68DMG|7RMIN|8BPWR|9BEXP
45	24334 52212	   	179.64	ACR|2VULN|2DMG|1AART|1ZMB	18CANHEL|2RCR|3CGEN|48VULN|5AART|68DMG|7RMIN|8BPWR|9DMSP|aZMB
46	14112 32631	   	179.56	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	1DUR|23AART|4aVULN|5DMG|6DMSP|7RCR|8DUST|9CDMG
47	24153 35132	   	179.51	ACR|2VULN|2DMG|1AART|1DUR|1ASPD	17CANHEL|2RCR|3RMIN|4ASPD|57DMG|67VULN|7BPWR|8MGNSTR|9DUR|aAART
48	24533 12252	   	179.18	ACR|2VULN|2DMG|1AART|2ASPD	1CANHEL|2RCR|39ASPD|4LSRREG|5CGEN|69DMG|7BEXP|89VULN|9BPWR|aAART
49	14116 31632	   	178.30	DCR|2AART|2VULN|1CDMG|2DUR|1ZMB	15DUR|23AART|47VULN|6RCR|8DMSP|9ZMB|aCDMG
50	14132 63121	 * 	178.12	DCR|2AART|1DMG|1VULN|1CDMG|1FLTHEA|1DUR	1DUR|23AART|4LWND|5DMG|6RCR|7CDMG|8BELT|9FLTHEA|aVULN
51	14112 63423	 * 	178.02	DCR|2AART|1VULN|1DMG|2ASPD|1CDMG|1DUR	1DUR|23AART|4VULN|5DMG|6RCR|7CDMG|8aASPD|9RCVC
52	14112 63613	   	177.73	DCR|2AART|1VULN|1DMG|2CDMG|1DUR|1ASPD	1DUR|23AART|4VULN|5DMG|6RCR|78CDMG|9MLV|aASPD
53	14132 63312	   	177.62	DCR|2AART|2DMG|2CDMG|3DUR	18aDUR|23AART|4LWND|58DMG|6RCR|78CDMG|8BPWR|9MLV
54	14132 63322	   	177.62	DCR|2AART|2DMG|2CDMG|3DUR	189DUR|23AART|4LWND|58DMG|6RCR|78CDMG|8BPWR|aFEWX
55	14132 63323	   	177.62	DCR|2AART|2DMG|2CDMG|3DUR	189DUR|23AART|4LWND|58DMG|6RCR|78CDMG|8BPWR|aBEXP
56	14132 63326	   	177.52	DCR|2AART|2DMG|2CDMG|3DUR	189DUR|23AART|4LWND|58DMG|6RCR|78CDMG|8BPWR|aDUST
57	24334 12263	 * 	177.35	ACR|2AART|2VULN|1DMG|2ZMB	18CANHEL|2RCR|3CGEN|48VULN|5aAART|68ZMB|7RMIN|8BPWR|9DMG
58	32526 31315	 * 	177.23	DCR|3VULN|1AART|3ASPD|1CDMG	13ERES|238ASPD|3BPWR|479VULN|5AART|6RCR|aCDMG
59	14112 63422	   	176.71	DCR|2AART|1VULN|1DMG|1CDMG|2DUR|1ASPD	1aDUR|23AART|4VULN|5DMG|6RCR|7CDMG|8ASPD|9RCVC
60	32546 12312	 * 	176.59	DCR|2DMG|1AART|1VULN|3ASPD|1ZMB	13ERES|238ASPD|3BPWR|4aDMG|5AART|6ZMB|7RCR|9VULN
61	14116 31336	   	176.24	DCR|3VULN|2AART|2DUR|1ASPD	15DUR|23AART|47aVULN|6RCR|8ASPD|9CGEN
62	14112 63612	   	176.08	DCR|2AART|1VULN|1DMG|2CDMG|2DUR	1aDUR|23AART|4VULN|5DMG|6RCR|78CDMG|9MLV
63	14112 63621	   	176.08	DCR|2AART|1VULN|1DMG|2CDMG|2DUR	19DUR|23AART|4VULN|5DMG|6RCR|78CDMG|aRPLT
64	14112 63622	   	176.08	DCR|2AART|1VULN|1DMG|2CDMG|2DUR	19DUR|23AART|4VULN|5DMG|6RCR|78CDMG|aMLV
65	14112 63623	   	176.08	DCR|2AART|1VULN|1DMG|2CDMG|2DUR	19DUR|23AART|4VULN|5DMG|6RCR|78CDMG|aCGEN
66	13116 63341	   	175.72	DCR|2AART|2DMG|2CDMG|3DUR	128DUR|3FEWX|48DMG|5aAART|6RCR|78CDMG|8BPWR|9ERES
67	14112 63433	 * 	175.69	DCR|3AART|1VULN|1DMG|1CDMG|1DUR|1ASPD	1DUR|23aAART|4VULN|5DMG|6RCR|7CDMG|8ASPD|9MLV
68	24512 41211	 * 	175.67	ACR|2VULN|3ASPD|1DMG|2CDMG|1ZMB	1CANHEL|2RCR|357ASPD|45CDMG|5BPWR|6ZMB|8DMG|9aVULN
69	24334 52211	   	175.57	ACR|2VULN|2DMG|1AART|1DUR	18CANHEL|2RCR|3CGEN|48VULN|5AART|68DMG|7RMIN|8BPWR|9DMSP|aDUR
70	14112 63116	   	175.48	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DUR|23AART|4VULN|5DMG|6RCR|7CDMG|8BELT|9LWND|aZMB
71	14112 63331	   	175.48	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DUR|23AART|4VULN|5DMG|6RCR|7CDMG|8LWND|9ZMB|aFEWX
72	14112 63332	   	175.48	DCR|2AART|1DMG|1VULN|1CDMG|1ZMB|1DUR	1DUR|23AART|4VULN|5DMG|6RCR|7CDMG|8LWND|9ZMB|aCGEN
73	14112 63333	   	175.48	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DUR|23AART|4VULN|5DMG|6RCR|7CDMG|8LWND|9ZMB|aBEXP
74	14113 63431	 * 	175.45	DCR|2AART|2VULN|2ASPD|1CDMG|1DUR	1DUR|23AART|4aVULN|58ASPD|6RCR|7CDMG|9DUST
75	13116 63325	   	175.38	DCR|2DMG|1AART|2CDMG|3DUR|1ZMB	128DUR|3FEWX|48DMG|5AART|6RCR|78CDMG|8BPWR|9LHND|aZMB
76	13116 63335	   	175.38	DCR|2DMG|1AART|2CDMG|3DUR|1ZMB	128DUR|3FEWX|48DMG|5AART|6RCR|78CDMG|8BPWR|9LWND|aZMB
77	14112 63221	   	175.38	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DUR|23AART|4VULN|5DMG|6RCR|7CDMG|8ERES|9RCVC|aZMB
78	14112 63336	   	175.38	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DUR|23AART|4VULN|5DMG|6RCR|7CDMG|8LWND|9ZMB|aDUST
79	14112 63531	   	175.38	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DUR|23AART|4VULN|5DMG|6RCR|7CDMG|8LEGI|9ZMB|aFEWX
80	14112 63532	   	175.38	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DUR|23AART|4VULN|5DMG|6RCR|7CDMG|8LEGI|9ZMB|aCGEN
81	14112 63533	   	175.38	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DUR|23AART|4VULN|5DMG|6RCR|7CDMG|8LEGI|9ZMB|aBEXP
82	11216 42311	 * 	175.35	DCR|3DMG|2VULN|2ZMB|2DUR	17DUR|2aVULN|3RCVC|457DMG|67ZMB|7BPWR|8LHND|9RCR
83	14112 62611	   	175.35	DCR|2AART|2VULN|1DMG|1DUR|1ASPD	1DUR|23AART|49VULN|5DMG|6RCR|7LHND|8ASPD|aMLV
84	14112 62612	   	175.35	DCR|2AART|2VULN|1DMG|1ASPD|1DUR	1DUR|23AART|49VULN|5DMG|6RCR|7LHND|8ASPD|aFEWX
85	14112 62613	   	175.35	DCR|2AART|2VULN|1DMG|1ASPD|1DUR	1DUR|23AART|49VULN|5DMG|6RCR|7LHND|8ASPD|aRPLT
86	14112 62633	   	175.35	DCR|2AART|2DMG|1VULN|1ASPD|1DUR	1DUR|23AART|4VULN|5aDMG|6RCR|7LHND|8ASPD|9FEWX
87	14113 62411	   	175.35	DCR|2AART|2VULN|1DMG|1DUR|1ASPD	1DUR|23AART|49VULN|5ASPD|6RCR|7LHND|8DMG|aMLV
88	14113 62412	   	175.35	DCR|2AART|2VULN|1DMG|1ASPD|1DUR	1DUR|23AART|49VULN|5ASPD|6RCR|7LHND|8DMG|aFEWX
89	14113 62413	   	175.35	DCR|2AART|2VULN|1DMG|1ASPD|1DUR	1DUR|23AART|49VULN|5ASPD|6RCR|7LHND|8DMG|aRPLT
90	14113 62433	   	175.35	DCR|2AART|2DMG|1VULN|1ASPD|1DUR	1DUR|23AART|4VULN|5ASPD|6RCR|7LHND|8aDMG|9FEWX
91	14112 66323	   	175.25	DCR|2AART|2VULN|1DMG|1ASPD|1DUR	1DUR|23AART|48VULN|5DMG|6RCR|7FEWX|9DUST|aASPD
92	14111 31635	   	175.01	DCR|3VULN|2AART|1ZMB|1DUR	1DUR|23AART|47aVULN|58DMSP|6RCR|9ZMB
93	14112 63633	 * 	174.96	DCR|3AART|1VULN|1DMG|2CDMG|1DUR	1DUR|23aAART|4VULN|5DMG|6RCR|78CDMG|9DUST
94	32526 31352	 * 	174.93	DCR|2VULN|1AART|3ASPD|1DMG|1DUR	13ERES|238ASPD|3BPWR|47VULN|5AART|6RCR|9DMG|aDUR
95	13116 62326	   	174.11	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	12DUR|3FEWX|4DMG|5AART|6RCR|7LHND|8aVULN|9CDMG
96	14132 63343	   	173.81	DCR|2AART|2DMG|2CDMG|2DUR	18DUR|23AART|4LWND|58DMG|6RCR|78CDMG|8BPWR|9LHND|aCGEN
97	14132 63351	   	173.81	DCR|2AART|2DMG|2CDMG|2DUR	18DUR|23AART|4LWND|58DMG|6RCR|78CDMG|8BPWR|9BELT|aCGEN
98	14132 63353	   	173.81	DCR|2AART|2DMG|2CDMG|2DUR	18DUR|23AART|4LWND|58DMG|6RCR|78CDMG|8BPWR|9BELT|aRMIN
99	14132 63361	   	173.81	DCR|2AART|2DMG|2CDMG|2DUR	18DUR|23AART|49LWND|58DMG|6RCR|78CDMG|8BPWR|aRPLT
100	14132 63362	   	173.81	DCR|2AART|2DMG|2CDMG|2DUR	18DUR|23AART|49LWND|58DMG|6RCR|78CDMG|8BPWR|aMLV
101	14132 63363	   	173.81	DCR|2AART|2DMG|2CDMG|2DUR	18DUR|23AART|49LWND|58DMG|6RCR|78CDMG|8BPWR|aCGEN
102	24334 23233	   	173.74	ACR|3VULN|1AART|1DMG|1ASPD	178CANHEL|2RCR|3CGEN|478VULN|5AART|678LWND|78BPWR|9DMG|aASPD
103	24334 63233	   	173.74	ACR|3VULN|1AART|1DMG|1DUR	178CANHEL|2RCR|3CGEN|478VULN|5AART|678BEXP|78BPWR|9DMG|aDUR
104	14112 62311	   	173.71	DCR|2AART|2VULN|1DMG|2DUR	19DUR|23AART|48VULN|5DMG|6RCR|7aLHND
105	14112 62316	   	173.71	DCR|2AART|2VULN|1DMG|2DUR	19DUR|23AART|48VULN|5DMG|6RCR|7LHND|aBEXP
106	14112 62411	   	173.71	DCR|2AART|2DMG|1VULN|2DUR	19DUR|23AART|4VULN|58DMG|6RCR|7aLHND
107	14112 66311	   	173.71	DCR|2AART|2VULN|1DMG|2DUR	19DUR|23AART|48VULN|5DMG|6RCR|7FEWX|aLHND
108	14111 31626	   	173.71	DCR|2AART|2VULN|1DMG|2DUR	1aDUR|23AART|47VULN|58DMSP|6RCR|9DMG
109	14116 31531	   	173.71	DCR|2AART|2VULN|1DMG|2DUR	15DUR|23AART|47VULN|6RCR|8DMG|9CGEN|aLHND
110	14116 31532	   	173.71	DCR|2AART|2VULN|1DMG|2DUR	15DUR|23AART|47VULN|6RCR|8DMG|9CGEN|aBELT
111	14116 31533	   	173.71	DCR|2AART|2VULN|1DMG|2DUR	15DUR|23AART|47VULN|6RCR|8DMG|9CGEN|aLIT
112	14116 31621	   	173.71	DCR|2AART|2VULN|1DMG|2DUR	15DUR|23AART|47VULN|6RCR|8aDMSP|9DMG
113	14116 31623	   	173.71	DCR|2AART|2VULN|1DMG|2DUR	15DUR|23AART|47VULN|6RCR|8DMSP|9DMG|aLHND
114	14132 63316	   	173.71	DCR|2AART|2DMG|2CDMG|2DUR	18DUR|23AART|4LWND|58DMG|6RCR|78CDMG|8BPWR|9MLV|aDUST
115	14132 63333	   	173.71	DCR|2AART|2DMG|2CDMG|2DUR	18DUR|23AART|4LWND|58DMG|6RCR|78CDMG|8BPWR|9DUST|aCGEN
116	14132 63334	   	173.71	DCR|2AART|2DMG|2CDMG|2DUR	18DUR|23AART|4LWND|58DMG|6RCR|78CDMG|8BPWR|9DUST|aLIT
117	14132 63335	   	173.71	DCR|2AART|2DMG|2CDMG|2DUR	18DUR|23AART|4aLWND|58DMG|6RCR|78CDMG|8BPWR|9DUST
118	14132 63352	   	173.71	DCR|2AART|2DMG|2CDMG|2DUR	18DUR|23AART|4LWND|58DMG|6RCR|78CDMG|8BPWR|9BELT|aLSRREG
119	14112 62312	   	173.61	DCR|2AART|2VULN|1DMG|2DUR	19DUR|23AART|48VULN|5DMG|6RCR|7LHND|aTLV
120	14112 62314	   	173.61	DCR|2AART|2VULN|1DMG|2DUR	19DUR|23AART|48VULN|5DMG|6RCR|7LHND|aDUST
121	14112 62412	   	173.61	DCR|2AART|2DMG|1VULN|2DUR	19DUR|23AART|4VULN|58DMG|6RCR|7LHND|aTLV
122	14112 66322	   	173.61	DCR|2AART|2VULN|1DMG|2DUR	1aDUR|23AART|48VULN|5DMG|6RCR|7FEWX|9DUST
123	14116 31511	   	173.61	DCR|2AART|2VULN|1DMG|2DUR	15DUR|23AART|47VULN|6RCR|8DMG|9DUST|aLHND
124	14132 63336	   	173.61	DCR|2AART|2DMG|2CDMG|2DUR	18DUR|23AART|4LWND|58DMG|6RCR|78CDMG|8BPWR|9DUST|aCANSTR
125	14133 63325	 * 	173.59	DCR|2AART|2CDMG|1VULN|3DUR|2ASPD	189DUR|23AART|4LWND|58ASPD|6RCR|78CDMG|8BPWR|aVULN
126	14112 62315	   	173.46	DCR|2AART|2VULN|1DMG|2DUR|1SELL	19DUR|23AART|48VULN|5DMG|6RCR|7LHND|aSELL
127	14112 66313	   	173.46	DCR|2AART|2VULN|1DMG|2DUR|1SELL	19DUR|23AART|48VULN|5DMG|6RCR|7FEWX|aSELL
128	14116 31513	   	173.36	DCR|2AART|2VULN|1DMG|2DUR|1SELL	15DUR|23AART|47VULN|6RCR|8DMG|9DUST|aSELL
129	14422 63311	   	173.36	DCR|2DMG|1AART|2CDMG|2DUR|1ZMB	18DUR|2AART|34LWND|58DMG|6RCR|78CDMG|8BPWR|9MLV|aZMB
130	14422 63332	   	173.26	DCR|2DMG|1AART|2CDMG|2DUR|1ZMB	18DUR|2AART|34LWND|58DMG|6RCR|78CDMG|8BPWR|9DUST|aZMB
131	24153 35121	   	173.17	ACR|2VULN|2DMG|1AART|1ASPD	17CANHEL|2RCR|3RMIN|4ASPD|57DMG|67VULN|7BPWR|8MGNSTR|9AART|aLWND
132	24153 35122	   	173.17	ACR|2VULN|2DMG|1AART|1ASPD	17CANHEL|2RCR|3RMIN|4ASPD|57DMG|67VULN|7BPWR|8MGNSTR|9AART|aMLV
133	24153 35123	   	173.17	ACR|2VULN|2DMG|1AART|1ASPD	17CANHEL|2RCR|3RMIN|4ASPD|57DMG|67VULN|7BPWR|8MGNSTR|9AART|aRPLT
134	14111 31632	   	173.00	DCR|2AART|2VULN|1CDMG|1ZMB|1DUR	1DUR|23AART|47VULN|58DMSP|6RCR|9ZMB|aCDMG
135	14121 78112	   	172.90	DCR|2AART|2VULN|1CDMG|1ZMB|1DUR	1DUR|23AART|4MLV|5MBVNT|6RCR|79VULN|8ZMB|aCDMG
136	14132 63241	   	172.90	DCR|2AART|2DMG|1CDMG|1ZMB|1DUR	1DUR|23AART|4LWND|59DMG|6RCR|7CDMG|8ERES|aZMB
137	34211 16631	 * 	172.83	DCR|3VULN|2DMG|2CDMG	18ERES|26aVULN|3RMIN|48DMG|58CDMG|7RCR|8BPWR|9LWND
138	14112 62341	 * 	172.68	DCR|3AART|2VULN|1DMG|1DUR	1DUR|239AART|48VULN|5DMG|6RCR|7LHND|aLWND
139	14112 62342	   	172.68	DCR|3AART|2VULN|1DMG|1DUR	1DUR|239AART|48VULN|5DMG|6RCR|7LHND|aBELT
140	14112 62343	   	172.68	DCR|3AART|2VULN|1DMG|1DUR	1DUR|239AART|48VULN|5DMG|6RCR|7LHND|aLIT
141	24153 35112	   	172.47	ACR|2VULN|2DMG|1AART|1ASPD	17CANHEL|2RCR|3RMIN|4ASPD|57DMG|67VULN|7BPWR|8MGNSTR|9MBVNT|aAART
142	14325 32141	   	172.41	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1DUR|2AART|3LIT|4CGEN|5CDMG|679VULN|8RCR|aZMB
143	14215 63333	   	172.41	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	1DUR|2AART|3DUST|48VULN|5ASPD|6ZMB|7RCR|9FEWX|aDMG
144	24512 26122	 * 	172.40	ACR|2VULN|1AART|2CDMG|2ASPD|1ZMB	1CANHEL|2RCR|35ASPD|45CDMG|5BPWR|68VULN|7MBVNT|9ZMB|aAART
145	11216 11366	   	171.89	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1DUR|26VULN|3RCVC|45DMG|7BEXP|8RCR|9ASPD|aAART
146	13163 43243	 * 	171.41	DCR|3VULN|2DMG|3DUR	129DUR|3FEWX|49aVULN|5TLV|6RCR|7MGNSTR|89DMG|9BPWR
147	14112 63163	   	171.41	DCR|2AART|1VULN|1DMG|1CDMG|1DUR|1ASPD	1DUR|23AART|4VULN|5DMG|6RCR|7CDMG|8BELT|9MLV|aASPD
148	14113 63121	   	171.41	DCR|2AART|1VULN|1DMG|1CDMG|1ASPD|1DUR	1DUR|23AART|4VULN|5ASPD|6RCR|7CDMG|8BELT|9RPLT|aDMG
149	14113 63136	   	171.41	DCR|2AART|1VULN|1DMG|1CDMG|1ASPD|1DUR	1DUR|23AART|4VULN|5ASPD|6RCR|7CDMG|8BELT|9FEWX|aDMG
150	14132 63431	   	171.41	DCR|2AART|1VULN|1DMG|1CDMG|1DUR|1ASPD	1DUR|23AART|4LWND|5DMG|6RCR|7CDMG|8ASPD|9MLV|aVULN
151	24331 33414	 * 	171.39	ACR|4VULN|1AART|1CDMG	18CANHEL|2RCR|38CGEN|4678VULN|5RPLT|8BPWR|9CDMG|aAART
152	13116 63311	   	171.31	DCR|2DMG|1AART|2CDMG|3DUR|1ASPD	128DUR|3FEWX|48DMG|5AART|6RCR|78CDMG|8BPWR|9RPLT|aASPD
153	13116 63323	   	171.31	DCR|2DMG|1AART|2CDMG|3DUR|1ASPD	128DUR|3FEWX|48DMG|5AART|6RCR|78CDMG|8BPWR|9LHND|aASPD
154	13116 63333	   	171.31	DCR|2DMG|1AART|2CDMG|3DUR|1ASPD	128DUR|3FEWX|48DMG|5AART|6RCR|78CDMG|8BPWR|9LWND|aASPD
155	14112 63223	   	171.31	DCR|2AART|1VULN|1DMG|1CDMG|1DUR|1ASPD	1DUR|23AART|4VULN|5DMG|6RCR|7CDMG|8ERES|9RCVC|aASPD
156	14112 63432	   	171.31	DCR|2AART|1VULN|1DMG|1CDMG|1DUR|1ASPD	1DUR|23AART|4VULN|5DMG|6RCR|7CDMG|8ASPD|9MLV|aMBVNT
157	14113 63242	   	171.31	DCR|2AART|1VULN|1DMG|1CDMG|1DUR|1ASPD	1DUR|23AART|4VULN|5ASPD|6RCR|7CDMG|8ERES|9DMG|aCGEN
158	14133 63241	   	171.31	DCR|2AART|1VULN|1DMG|1CDMG|1DUR|1ASPD	1DUR|23AART|4LWND|5ASPD|6RCR|7CDMG|8ERES|9DMG|aVULN
159	24331 33114	   	171.29	ACR|4VULN|1AART|1CDMG	1CANHEL|2RCR|3CGEN|4678VULN|5RPLT|9CDMG|aAART
160	14113 63241	   	171.21	DCR|2AART|1VULN|1DMG|1CDMG|1DUR|1ASPD	1DUR|23AART|4VULN|5ASPD|6RCR|7CDMG|8ERES|9DMG|aTLV
161	14113 63243	   	171.21	DCR|2AART|1VULN|1DMG|1CDMG|1DUR|1ASPD	1DUR|23AART|4VULN|5ASPD|6RCR|7CDMG|8aERES|9DMG
162	14111 31336	   	170.94	DCR|3VULN|2AART|1ASPD|1DUR	1DUR|23AART|47aVULN|5DMSP|6RCR|8ASPD|9CGEN
