0	Index      	 *	Score 	Summary	Detail	
1	13163 24521	 * 	202.87	ACR|3VULN|3DMG|1AART|2DUR	18aVULN|24DUR|348FEWX|48BPWR|5RCR|678DMG|9AART
15	11523 24631	   	186.92	ACR|3VULN|2DMG|1AART|2DUR	18aVULN|2BEXP|34DUR|5RCR|67DMG|9AART
16	13123 24514	   	186.52	ACR|3DMG|2VULN|1AART|2DUR	18VULN|24DUR|38FEWX|5RCR|678DMG|8BPWR|9LWND|aAART
17	13123 24535	   	186.52	ACR|3DMG|2VULN|1AART|2DUR	18VULN|24DUR|38FEWX|5RCR|678DMG|8BPWR|9CGEN|aAART
18	16212 21653	 * 	185.00	DCR|2VULN|2DMG|2AART|1ZMB|1DUR	15VULN|2ZMB|3LIT|4DUR|68AART|79DMG|aRCR
19	13623 22621	   	184.73	ACR|3VULN|2DMG|1AART|1DUR	13aVULN|2DUR|4LWND|5RCR|69DMG|7AART|8RCVC
20	13643 22621	   	184.73	ACR|3VULN|2DMG|1AART|1DUR	13aVULN|2DUR|4LHND|5RCR|69DMG|7AART|8RCVC
21	13623 24513	   	184.68	ACR|3VULN|3DMG|1ZMB|1DUR	138VULN|2DUR|489LWND|5RCR|678DMG|8BPWR|aZMB
22	13623 22551	   	184.63	ACR|4VULN|1AART|1DMG|2DUR	138aVULN|29DUR|4LWND|5RCR|6DMG|7AART
23	16212 21633	 * 	183.07	DCR|3VULN|2AART|1DMG|1ZMB|1DUR	159VULN|2ZMB|3LIT|4DUR|68AART|7DMG|aRCR
24	12523 24521	 * 	183.04	ACR|3VULN|3DMG|1AART|3DUR|1MSE	18aVULN|2MSE|348DUR|5RCR|678DMG|8BPWR|9AART
25	16212 23433	 * 	182.89	DCR|4VULN|1AART|2DUR|1ZMB|1ASPD	1579VULN|2ZMB|37LIT|47DUR|6AART|7BPWR|8RCR|aASPD
26	13623 22511	   	182.83	ACR|3VULN|2DMG|1AART|1DUR	138VULN|2DUR|4LWND|5RCR|6aDMG|7AART|9BELT
27	13623 22523	   	182.83	ACR|3VULN|2DMG|1AART|1DUR	138VULN|2DUR|4aLWND|5RCR|69DMG|7AART
28	13623 22525	   	182.83	ACR|3VULN|2DMG|1AART|1DUR	138VULN|2DUR|4LWND|5RCR|69DMG|7AART|aFEWX
29	13643 22511	   	182.83	ACR|3VULN|2DMG|1AART|1DUR	138VULN|2DUR|4LHND|5RCR|6aDMG|7AART|9BELT
30	13643 22523	   	182.83	ACR|3VULN|2DMG|1AART|1DUR	138VULN|2DUR|4LHND|5RCR|69DMG|7AART|aLWND
31	13623 22522	   	182.73	ACR|3VULN|2DMG|1AART|1DUR	138VULN|2DUR|4LWND|5RCR|69DMG|7AART|aERES
32	13623 22526	   	182.73	ACR|3VULN|2DMG|1AART|1DUR	138VULN|2DUR|4LWND|5RCR|69DMG|7AART|aTLV
33	13643 22522	   	182.73	ACR|3VULN|2DMG|1AART|1DUR	138VULN|2DUR|4LHND|5RCR|69DMG|7AART|aERES
34	13343 23254	 * 	182.71	DCR|2VULN|3CDMG|1AART|1DMG|1DUR|1ASPD	15VULN|2DUR|3ASPD|459CDMG|5BPWR|6AART|7DUST|8RCR|aDMG
35	11343 22263	   	182.06	DCR|2VULN|1AART|1DMG|2CDMG|2DUR|1ASPD	15VULN|2BEXP|3ASPD|45CDMG|5BPWR|6AART|79DUR|8RCR|aDMG
36	25663 22132	   	181.63	ACR|3VULN|1AART|1DMG|2DUR|1ZMB	1BEXP|24DUR|349VULN|4BPWR|5RCR|6DMG|7AART|8RPLT|aZMB
37	21433 24631	   	181.63	ACR|3VULN|2DMG|1AART|1DUR	12BEXP|38aVULN|4DUR|5RCR|67DMG|9AART
38	23433 24631	   	181.63	ACR|3VULN|2DMG|1AART|1DUR	1BEXP|2DMSP|38aVULN|4DUR|5RCR|67DMG|9AART
39	53663 22132	   	181.53	ACR|3VULN|1AART|1DMG|2DUR|1ZMB	1DUST|24DUR|349VULN|4BPWR|5RCR|6DMG|7AART|8RPLT|aZMB
40	13612 11255	   	181.36	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1DUR	13VULN|2DUR|4ZMB|5FEWX|6AART|7CDMG|8RCR|9DMG|aASPD
41	13623 22413	 * 	180.82	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	13VULN|2DUR|4LWND|5RCR|6aDMG|7AART|8CGEN|9CDMG
42	13643 22413	   	180.82	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	13VULN|2DUR|4LHND|5RCR|6aDMG|7AART|8CGEN|9CDMG
43	13612 11256	   	180.73	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB|1DUR	13VULN|2DUR|4ZMB|5FEWX|6AART|7aCDMG|8RCR|9DMG
44	25662 11222	   	179.81	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	1BEXP|24DUR|34VULN|4BPWR|5DMG|6AART|7CDMG|8RCR|9LHND|aZMB
45	13512 11253	   	179.71	DCR|2DMG|1AART|1VULN|1CDMG|2DUR|1ZMB	1VULN|23DUR|4ZMB|5FEWX|6AART|7CDMG|8RCR|9aDMG
46	13516 11253	   	179.71	DCR|2DMG|1AART|1VULN|1CDMG|2DUR|1ZMB	1VULN|23DUR|4ZMB|5BEXP|6AART|7CDMG|8RCR|9aDMG
47	53662 11222	   	179.71	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	1DUST|24DUR|34VULN|4BPWR|5DMG|6AART|7CDMG|8RCR|9LHND|aZMB
48	13523 22524	   	179.40	ACR|2VULN|2DMG|1AART|2DUR|1ASPD	18VULN|23DUR|4LWND|5RCR|69DMG|7AART|aASPD
49	13623 22324	   	179.40	ACR|2VULN|2DMG|1AART|2DUR|1ASPD	13VULN|28DUR|4LWND|5RCR|69DMG|7AART|aASPD
50	13643 22324	   	179.40	ACR|2VULN|2DMG|1AART|2DUR|1ASPD	13VULN|28DUR|4LHND|5RCR|69DMG|7AART|aASPD
51	13123 24513	   	178.97	ACR|3VULN|3DMG|2DUR	18aVULN|24DUR|38FEWX|5RCR|678DMG|8BPWR|9LWND
52	13123 24551	   	178.97	ACR|3VULN|3DMG|2DUR	189VULN|24DUR|38FEWX|5RCR|678DMG|8BPWR|aLIT
53	13123 24553	   	178.97	ACR|3VULN|3DMG|2DUR	189VULN|24DUR|38FEWX|5RCR|678DMG|8BPWR|aRPLT
54	13123 24552	   	178.87	ACR|3VULN|3DMG|2DUR	189VULN|24DUR|38FEWX|5RCR|678DMG|8BPWR|aCANSTR
55	13523 24523	   	178.87	ACR|3VULN|3DMG|2DUR	18aVULN|23DUR|48LWND|5RCR|678DMG|8BPWR|9LEGI
56	13343 23251	 * 	178.30	DCR|3VULN|3CDMG|1AART|1DUR|1ASPD	15aVULN|2DUR|3ASPD|459CDMG|5BPWR|6AART|7DUST|8RCR
57	16132 11253	   	177.52	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1VULN|2ZMB|3DUR|4RCVC|5FEWX|6AART|7CDMG|8RCR|9aDMG
58	16136 11253	   	177.52	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1VULN|2ZMB|3DUR|4RCVC|5BEXP|6AART|7CDMG|8RCR|9aDMG
59	26135 11253	   	177.52	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1BEXP|2ZMB|3DUR|4RCVC|5VULN|6AART|7CDMG|8RCR|9aDMG
60	13623 14351	   	177.32	ACR|4VULN|2DMG|2DUR	139aVULN|2aDUR|48LWND|5RCR|6ERES|7aDMG|aBPWR
61	13623 24251	   	177.22	ACR|4VULN|2DMG|2DUR	139aVULN|2aDUR|4LWND|5RCR|67DMG|8aERES|aBPWR
62	13123 23553	 * 	176.97	ACR|3VULN|2DMG|1CDMG|2DUR	18aVULN|24DUR|378FEWX|5RCR|68DMG|8BPWR|9CDMG
63	13343 22133	 * 	176.67	DCR|3VULN|1AART|2CDMG|3DUR|1ASPD	159VULN|278DUR|3ASPD|45CDMG|5BPWR|6AART|aRCR
64	11343 22253	   	176.67	DCR|2VULN|1AART|1DMG|2CDMG|1DUR|1ASPD	15VULN|2BEXP|3ASPD|45CDMG|5BPWR|6AART|7DUR|8RCR|9NUKE|aDMG
65	13343 23243	   	176.57	DCR|2VULN|1AART|1DMG|2CDMG|1DUR|1ASPD	15VULN|2DUR|3ASPD|45CDMG|5BPWR|6AART|79DUST|8RCR|aDMG
66	13343 23263	   	176.57	DCR|2VULN|1AART|1DMG|2CDMG|1DUR|1ASPD	15VULN|2DUR|3ASPD|45CDMG|5BPWR|6AART|7DUST|8RCR|9ERES|aDMG
67	13623 22624	   	176.01	ACR|2VULN|2DMG|1AART|1DUR|1ASPD	13VULN|2DUR|4LWND|5RCR|69DMG|7AART|8RCVC|aASPD
68	16212 23431	   	175.95	DCR|4VULN|1AART|2DUR|1ZMB	1579VULN|2ZMB|37aLIT|47DUR|6AART|7BPWR|8RCR
69	16212 23432	   	175.95	DCR|4VULN|1AART|2DUR|1ZMB	1579VULN|2ZMB|37LIT|47DUR|6AART|7BPWR|8RCR|aBEXP
70	16212 23436	   	175.95	DCR|4VULN|1AART|2DUR|1ZMB	1579VULN|2ZMB|37LIT|47DUR|6AART|7BPWR|8RCR|aMLV
71	13123 24525	   	175.92	ACR|3DMG|2VULN|2DUR|1ZMB	18VULN|24DUR|38FEWX|5RCR|678DMG|8BPWR|9RCVC|aZMB
72	16212 23434	   	175.85	DCR|4VULN|1AART|2DUR|1ZMB	1579VULN|2ZMB|37LIT|47DUR|6AART|7BPWR|8RCR|aBASICY
73	25662 11212	   	175.75	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ASPD	1BEXP|24DUR|34VULN|4BPWR|5DMG|6AART|7CDMG|8RCR|9LIT|aASPD
74	13662 11263	   	175.65	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ASPD	13VULN|29DUR|4ASPD|5FEWX|6AART|7CDMG|8RCR|aDMG
75	13636 32133	 * 	175.25	DCR|3VULN|2DMG|2ZMB|2DUR	13aVULN|24DUR|5RPLT|6MBVNT|7aZMB|8aDMG|9RCR|aBPWR
76	11163 24631	   	174.79	ACR|3VULN|2DMG|1AART	18aVULN|24BEXP|34FEWX|4BPWR|5RCR|67DMG|9AART
77	25663 22313	 * 	174.45	ACR|3VULN|1AART|1DMG|3DUR	1BEXP|248DUR|34aVULN|4BPWR|5RCR|6DMG|7AART|9MLV
78	13612 11215	   	174.42	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	13VULN|2DUR|4ZMB|5FEWX|6AART|7CDMG|8RCR|9LIT|aDMG
79	13523 22621	   	174.37	ACR|2VULN|2DMG|1AART|2DUR	1aVULN|23DUR|4LWND|5RCR|69DMG|7AART|8RCVC
80	13543 22621	   	174.37	ACR|2VULN|2DMG|1AART|2DUR	1aVULN|23DUR|4LHND|5RCR|69DMG|7AART|8RCVC
81	63623 22621	   	174.37	ACR|2VULN|2DMG|1AART|2DUR	1LHND|24DUR|3aVULN|5RCR|69DMG|7AART|8RCVC
82	13623 26532	   	174.33	ACR|4VULN|2DMG|1DUR	138aVULN|2DUR|48LWND|5RCR|68DMG|7RCVC|8BPWR|9RMIN
83	13523 24513	   	174.32	ACR|3DMG|2VULN|2DUR|1ZMB	18VULN|23DUR|489LWND|5RCR|678DMG|8BPWR|aZMB
84	13612 11251	   	174.32	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	13VULN|2DUR|4ZMB|5FEWX|6AART|7CDMG|8RCR|9DMG|aERES
85	13612 11254	   	174.32	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	13VULN|2DUR|4ZMB|5FEWX|6AART|7CDMG|8RCR|9DMG|aBASHEA
86	13616 11251	   	174.32	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	13VULN|2DUR|4ZMB|5BEXP|6AART|7CDMG|8RCR|9DMG|aERES
87	13623 24511	   	173.68	ACR|3VULN|3DMG|1DUR	138VULN|2DUR|489LWND|5RCR|678DMG|8BPWR|aBEXP
88	13623 24531	   	173.68	ACR|3VULN|3DMG|1DUR	138VULN|2DUR|48LWND|5RCR|678DMG|8BPWR|9RPLT|aBEXP
89	13623 24533	   	173.68	ACR|3VULN|3DMG|1DUR	138VULN|2DUR|48LWND|5RCR|678DMG|8BPWR|9RPLT|aFEWX
90	11523 24532	   	173.67	ACR|2DMG|1AART|1VULN|1CDMG|2DUR|1ASPD	1VULN|2BEXP|34DUR|5RCR|67DMG|8CDMG|9ASPD|aAART
91	13623 24512	   	173.58	ACR|3VULN|3DMG|1DUR	138VULN|2DUR|489LWND|5RCR|678DMG|8BPWR|aDUST
92	13623 24532	   	173.58	ACR|3VULN|3DMG|1DUR	138VULN|2DUR|48LWND|5RCR|678DMG|8BPWR|9RPLT|aERES
93	13425 21633	   	173.56	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	19VULN|2DUR|34LIT|57DMG|6AART|8ZMB|aRCR
94	16212 21153	   	173.56	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	15VULN|2ZMB|38LIT|4DUR|6AART|79DMG|aRCR
95	13623 24521	   	173.48	ACR|3DMG|3VULN|1DUR	138VULN|2DUR|48LWND|5RCR|678DMG|8BPWR|9LEGI|aERES
96	13623 24522	   	173.48	ACR|3VULN|3DMG|1DUR	138VULN|2DUR|48LWND|5RCR|678DMG|8BPWR|9LEGI|aDUST
97	13335 13451	 * 	173.25	DCR|2VULN|2AART|2ASPD|1CDMG|2DUR	15VULN|26DUR|36ASPD|4RCVC|6BPWR|7CDMG|8aAART|9RCR
98	13232 24165	 * 	173.17	DCR|2DMG|2AART|1VULN|1FLTHEA|1DUR	1VULN|2DUR|3CGEN|4RCVC|57DMG|68AART|9FLTHEA|aRCR
