0	Index      	 *	Score 	Summary	Detail	
1	21432 51162	 * 	221.15	DCR|5VULN|3DMG|1AART	1LWND|2AART|35679VULN|45aDMG|5BPWR|8RCR
20	21432 34262	   	199.35	DCR|3VULN|2AART|2DMG	1LWND|28AART|359VULN|45DMG|5BPWR|6RCVC|7RCR|aDUR
21	21432 54223	   	199.25	DCR|3VULN|2AART|2DMG	1LWND|28AART|356VULN|45DMG|5BPWR|7RCR|9ERES|aASPD
22	21432 54231	   	199.25	DCR|3VULN|2AART|2DMG	1LWND|28AART|356VULN|45DMG|5BPWR|7RCR|9AIRHEA|aDUR
23	21432 13183	   	199.06	DCR|3VULN|2DMG|1AART|1CDMG	1LWND|2AART|35aVULN|45DMG|5BPWR|6CDMG|7MBVNT|8RCR|9ASPD
24	21432 61252	   	198.76	DCR|3VULN|3DMG|1AART	1LWND|2AART|35aVULN|458DMG|5BPWR|6CGEN|7DUR|9RCR
25	32351 14262	 * 	198.64	ACR|3VULN|2DMG|1AART|3DUR	189ERES|29aVULN|3RCR|4AART|5LWND|6aDMG|79aDUR|9aBPWR
26	21432 13128	 * 	198.63	DCR|3DMG|2VULN|1AART|2CDMG	19aLWND|2AART|35VULN|45aDMG|5aBPWR|6aCDMG|7MBVNT|8RCR
27	51433 22421	 * 	197.92	ACR|2AART|2VULN|2DMG|2DUR|1ZMB	19DUST|27AART|38VULN|49DMG|5RCR|69DUR|9BPWR|aZMB
28	21234 22321	   	197.70	DCR|2AART|2DMG|2VULN|2DUR|1ZMB	19LWND|27AART|36DUR|49DMG|59VULN|8RCR|9BPWR|aZMB
29	21432 22322	 * 	197.15	DCR|3DMG|2AART|2VULN	19LWND|27AART|35VULN|459DMG|59BPWR|69LHND|8RCR|aDUR
30	21231 52323	   	197.05	DCR|3VULN|2AART|2DMG	159LWND|27AART|3DUR|49DMG|69aVULN|8RCR|9BPWR
31	21231 61323	   	197.05	DCR|3VULN|2AART|2DMG	159LWND|26AART|3DUR|49DMG|79aVULN|8RCR|9BPWR
32	21234 62323	   	197.05	DCR|3VULN|2AART|2DMG	169LWND|27AART|3DUR|49DMG|59aVULN|8RCR|9BPWR
33	21432 22332	   	196.95	DCR|3DMG|2AART|2VULN	1LWND|27AART|35VULN|459DMG|5BPWR|6LHND|8RCR|aDUR
34	16512 48141	 * 	196.95	ACR|2VULN|2DMG|1AART|2CDMG|2ZMB	1aCDMG|2MBVNT|3RCVC|4AART|5RCR|68DMG|7aZMB|9aVULN|aBPWR
35	51233 33562	 * 	196.83	ACR|3DMG|2VULN|1AART|1ZMB	19DUST|2AART|3DUR|49aDMG|5RCR|6ZMB|7LIT|89VULN|9BPWR
36	21432 34142	 * 	196.69	DCR|3DMG|3AART|2VULN	1LWND|29aAART|35VULN|458DMG|5BPWR|6RCVC|7RCR
37	21432 54111	   	196.62	DCR|3VULN|3DMG|1AART	1LWND|2AART|356VULN|458DMG|5BPWR|7RCR|9RPLT|aBEXP
38	21432 54113	   	196.52	DCR|3VULN|3DMG|1AART	1LWND|2AART|356VULN|458DMG|5BPWR|7RCR|9RPLT|aTLV
39	21432 54121	   	196.52	DCR|3VULN|3DMG|1AART	1LWND|2AART|356VULN|458DMG|5BPWR|7RCR|9NUKE|aMLV
40	21432 54122	   	196.52	DCR|3VULN|3DMG|1AART	1LWND|2AART|356VULN|458DMG|5BPWR|7RCR|9NUKE|aLHND
41	21432 54123	   	196.52	DCR|3VULN|3DMG|1AART	1LWND|2AART|356VULN|458DMG|5BPWR|7RCR|9NUKE|aLIT
42	21432 34126	   	196.52	DCR|3VULN|3DMG|1AART	1LWND|2AART|35aVULN|458DMG|5BPWR|6RCVC|7RCR|9NUKE
43	52333 33562	   	196.23	ACR|3DMG|2VULN|1AART|1ZMB	19DUST|2DUR|3AART|49aDMG|5RCR|6ZMB|7LIT|89VULN|9BPWR
44	21432 34132	   	194.62	DCR|3DMG|2VULN|1AART|1CDMG	1LWND|2AART|35VULN|458DMG|5BPWR|6RCVC|7RCR|9CDMG|aLHND
45	21432 34134	   	194.62	DCR|3DMG|2VULN|1AART|1CDMG	1LWND|2AART|35VULN|458DMG|5BPWR|6RCVC|7RCR|9CDMG|aRMIN
46	21432 34623	   	194.62	DCR|3VULN|2DMG|1AART|1CDMG	1LWND|2AART|35aVULN|45DMG|5BPWR|69RCVC|7RCR|8CDMG
47	21433 54132	   	194.52	DCR|3DMG|2VULN|1AART|1CDMG	1LWND|2AART|36VULN|458DMG|7RCR|9CDMG|aLHND
48	21432 34133	   	194.52	DCR|3DMG|2VULN|1AART|1CDMG	1LWND|2AART|35VULN|458DMG|5BPWR|6RCVC|7RCR|9CDMG|aLEGI
49	21432 56321	   	194.42	DCR|3VULN|3DMG|1AART	19LWND|2AART|356VULN|459DMG|59BPWR|79aLHND|8RCR
50	21433 54133	   	194.42	DCR|3DMG|2VULN|1AART|1CDMG	1LWND|2AART|36VULN|458DMG|7RCR|9CDMG|aLEGI
51	21432 56323	   	194.32	DCR|3VULN|3DMG|1AART	19LWND|2AART|356VULN|459DMG|59BPWR|79LHND|8RCR|aDUST
52	21432 56331	   	194.22	DCR|3VULN|3DMG|1AART	1LWND|2AART|356VULN|459DMG|5BPWR|7aLHND|8RCR
53	32353 41522	 * 	194.19	ACR|3VULN|2AART|1DMG|1ZMB	1ERES|268VULN|3RCR|47AART|5ZMB|9DMG|aDUR
54	21432 56333	   	194.12	DCR|3VULN|3DMG|1AART	1LWND|2AART|356VULN|459DMG|5BPWR|7LHND|8RCR|aDUST
55	21432 61251	   	194.11	DCR|3DMG|2VULN|1AART|1ZMB	1LWND|2AART|35VULN|458DMG|5BPWR|6CGEN|7DUR|9RCR|aZMB
56	21432 31163	   	192.67	DCR|4VULN|2DMG|1AART	1LWND|2AART|3579VULN|45DMG|5BPWR|6RCVC|8RCR|aCGEN
57	21432 31166	   	192.67	DCR|4VULN|2DMG|1AART	1LWND|2AART|3579VULN|45DMG|5BPWR|6RCVC|8RCR|aBEXP
58	21432 51113	   	192.67	DCR|4VULN|2DMG|1AART	1LWND|2AART|3567VULN|45DMG|5BPWR|8RCR|9BEXP|aLIT
59	21432 51116	   	192.67	DCR|4VULN|2DMG|1AART	1LWND|2AART|3567VULN|45DMG|5BPWR|8RCR|9BEXP|aMLV
60	21432 51151	   	192.67	DCR|4VULN|2DMG|1AART	1LWND|2AART|3567VULN|45DMG|5BPWR|8RCR|9CGEN|aRMIN
61	21433 34611	   	192.61	DCR|2VULN|2DMG|1AART|1CDMG|2ASPD	1aLWND|2AART|3aVULN|45DMG|6RCVC|7RCR|8CDMG|9aASPD|aBPWR
62	21432 31161	   	192.57	DCR|4VULN|2DMG|1AART	1LWND|2AART|3579VULN|45DMG|5BPWR|6RCVC|8RCR|aTLV
63	21432 31164	   	192.57	DCR|4VULN|2DMG|1AART	1LWND|2AART|3579VULN|45DMG|5BPWR|6RCVC|8RCR|aMBVNT
64	21432 51112	   	192.57	DCR|4VULN|2DMG|1AART	1LWND|2AART|3567VULN|45DMG|5BPWR|8RCR|9BEXP|aDUST
65	21432 51115	   	192.57	DCR|4VULN|2DMG|1AART	1LWND|2AART|3567VULN|45DMG|5BPWR|8RCR|9BEXP|aERES
66	21432 51121	   	192.57	DCR|4VULN|2DMG|1AART	1LWND|2AART|3567VULN|45DMG|5BPWR|8RCR|9ERES|aRMIN
67	21432 51125	   	192.57	DCR|4VULN|2DMG|1AART	1LWND|2AART|3567VULN|45DMG|5BPWR|8RCR|9ERES|aCGEN
68	21432 51126	   	192.57	DCR|4VULN|2DMG|1AART	1LWND|2AART|3567VULN|45DMG|5BPWR|8RCR|9ERES|aRPLT
69	21432 51133	   	192.57	DCR|4VULN|2DMG|1AART	1LWND|2AART|3567VULN|45DMG|5BPWR|8RCR|9AIRHEA|aFEWX
70	21432 51134	   	192.57	DCR|4VULN|2DMG|1AART	1LWND|2AART|3567VULN|45DMG|5BPWR|8RCR|9AIRHEA|aLIT
71	21432 51136	   	192.57	DCR|4VULN|2DMG|1AART	1LWND|2AART|3567VULN|45DMG|5BPWR|8RCR|9AIRHEA|aBEXP
72	21432 51141	   	192.57	DCR|4VULN|2DMG|1AART	1LWND|2AART|3567VULN|45DMG|5BPWR|8RCR|9TLV|aRMIN
73	21433 51163	   	192.57	DCR|4VULN|2DMG|1AART	1LWND|2AART|3679VULN|45DMG|8RCR|aCGEN
74	51433 22431	   	192.52	ACR|2AART|2VULN|2DMG|1ZMB	1DUST|27AART|38VULN|49DMG|5RCR|6DUR|aZMB
75	21426 53212	   	192.51	DCR|2VULN|2DMG|1AART|1CDMG|1FLTHEA	1LWND|2AART|36VULN|4LIT|5FLTHEA|7RCR|8CDMG|9aDMG
76	21432 51132	   	192.47	DCR|4VULN|2DMG|1AART	1LWND|2AART|3567VULN|45DMG|5BPWR|8RCR|9AIRHEA|aBASICY
77	21433 51161	   	192.47	DCR|4VULN|2DMG|1AART	1LWND|2AART|3679VULN|45DMG|8RCR|aTLV
78	21432 51152	   	192.42	DCR|4VULN|2DMG|1AART|1SELL	1LWND|2AART|3567VULN|45DMG|5BPWR|8RCR|9CGEN|aSELL
79	21432 54213	   	192.41	DCR|3VULN|2AART|2DMG	1LWND|28AART|356VULN|45DMG|5BPWR|7RCR|9BEXP|aLIT
80	21432 34263	   	192.41	DCR|3VULN|2AART|2DMG	1LWND|28AART|359VULN|45DMG|5BPWR|6RCVC|7RCR|aCGEN
81	21231 52321	   	192.40	DCR|2AART|2DMG|2VULN|1ZMB	159LWND|27AART|3DUR|49DMG|69VULN|8RCR|9BPWR|aZMB
82	21231 61321	   	192.40	DCR|2AART|2DMG|2VULN|1ZMB	159LWND|26AART|3DUR|49DMG|79VULN|8RCR|9BPWR|aZMB
83	21234 62321	   	192.40	DCR|2AART|2DMG|2VULN|1ZMB	169LWND|27AART|3DUR|49DMG|59VULN|8RCR|9BPWR|aZMB
84	21432 51122	   	192.32	DCR|4VULN|2DMG|1AART|1SELL	1LWND|2AART|3567VULN|45DMG|5BPWR|8RCR|9ERES|aSELL
85	21432 51142	   	192.32	DCR|4VULN|2DMG|1AART|1SELL	1LWND|2AART|3567VULN|45DMG|5BPWR|8RCR|9TLV|aSELL
86	21432 54212	   	192.31	DCR|3VULN|2AART|2DMG	1LWND|28AART|356VULN|45DMG|5BPWR|7RCR|9BEXP|aDUST
87	21432 54221	   	192.31	DCR|3VULN|2AART|2DMG	1LWND|28AART|356VULN|45DMG|5BPWR|7RCR|9ERES|aRMIN
88	21432 54233	   	192.31	DCR|3VULN|2AART|2DMG	1LWND|28AART|356VULN|45DMG|5BPWR|7RCR|9AIRHEA|aFEWX
89	21432 34141	   	192.31	DCR|3DMG|2AART|2VULN	1LWND|29AART|35VULN|458DMG|5BPWR|6RCVC|7RCR|aDUST
90	21432 34143	   	192.31	DCR|3DMG|2AART|2VULN	1LWND|29AART|35VULN|458DMG|5BPWR|6RCVC|7RCR|aLEGI
91	21432 34261	   	192.31	DCR|3VULN|2AART|2DMG	1LWND|28AART|359VULN|45DMG|5BPWR|6RCVC|7RCR|aTLV
92	21432 34613	   	192.22	DCR|2VULN|2DMG|1AART|2CDMG	1LWND|2AART|35VULN|45DMG|5BPWR|6RCVC|7RCR|8aCDMG|9ASPD
93	21432 54232	   	192.21	DCR|3VULN|2AART|2DMG	1LWND|28AART|356VULN|45DMG|5BPWR|7RCR|9AIRHEA|aBASICY
94	21432 31135	   	192.12	DCR|3VULN|2DMG|1AART|1CDMG	1LWND|2AART|357VULN|45DMG|5BPWR|6RCVC|8RCR|9AIRHEA|aCDMG
95	21432 13113	   	192.12	DCR|3VULN|2DMG|1AART|1CDMG	1LWND|2AART|35aVULN|45DMG|5BPWR|6CDMG|7MBVNT|8RCR|9MLV
96	21432 54222	   	192.07	DCR|3VULN|2AART|2DMG|1SELL	1LWND|28AART|356VULN|45DMG|5BPWR|7RCR|9ERES|aSELL
97	21433 51135	   	192.02	DCR|3VULN|2DMG|1AART|1CDMG	1LWND|2AART|367VULN|45DMG|8RCR|9AIRHEA|aCDMG
98	21432 13143	   	192.02	DCR|3VULN|2DMG|1AART|1CDMG	1LWND|2AART|35aVULN|45DMG|5BPWR|6CDMG|7MBVNT|8RCR|9ERES
99	21432 54311	   	191.87	DCR|3VULN|2DMG|1AART|1ZMB	1LWND|2AART|356VULN|45DMG|5BPWR|7RCR|8RMIN|9ERES|aZMB
100	21432 34125	   	191.87	DCR|3DMG|2VULN|1AART|1ZMB	1LWND|2AART|35VULN|458DMG|5BPWR|6RCVC|7RCR|9NUKE|aZMB
101	12562 23123	   	191.48	DCR|3DMG|1AART|1VULN|2CDMG|2DUR	19CDMG|24LHND|349DMG|49BPWR|5AART|69DUR|7MBVNT|8RCR|aVULN
