0	Index      	 *	Score 	Summary	Detail	
1	34453 31333	 * 	204.32	DCR|4VULN|3DMG|1AART	1AART|2RMIN|379FEWX|478DMG|5679VULN|79BPWR|aRCR
24	21213 62326	   	186.33	DCR|3DMG|2AART|1VULN|1ZMB	1VULN|23LHND|4ZMB|59AART|6RCR|78aDMG
25	34123 36225	   	186.06	DCR|2AART|2VULN|2DMG|1ZMB	13AART|2RMIN|4aVULN|5ZMB|6BELT|7aDMG|8RCR|9aBEXP|aBPWR
26	31252 61334	   	185.91	DCR|3DMG|2VULN|1AART|1DUR	1AART|2LIT|3DUR|4aVULN|5MBVNT|679DMG|8RCR
27	21413 62332	   	185.06	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	13VULN|2LHND|4ZMB|5AART|6RCR|78DMG|9ASPD|aRCVC
28	32263 31163	 * 	184.40	DCR|5VULN|1AART|3DUR	1AART|2LEGI|347DUR|479BPWR|5679aVULN|8RCR
29	36362 22326	 * 	184.29	ACR|3DMG|2VULN|1AART	1AART|29VULN|3ERES|4RCR|5LHND|6RCVC|78aDMG
30	31252 61317	 * 	183.90	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|2LIT|3DUR|4aVULN|5MBVNT|67DMG|8RCR|9CDMG
31	36121 72352	   	183.87	DCR|3VULN|2DMG|1AART	1AART|259VULN|3MBVNT|4TLV|6RCR|79DMG|89LIT|9BPWR|aBELT
32	36121 72353	   	183.87	DCR|3VULN|2DMG|1AART	1AART|259VULN|3MBVNT|4TLV|6RCR|79DMG|89LIT|9BPWR|aBEXP
33	36121 72433	   	183.87	DCR|3VULN|2DMG|1AART	1AART|25aVULN|3MBVNT|4TLV|6RCR|7aDMG|8aCGEN|9RPLT|aBPWR
34	36121 72713	   	183.87	DCR|3VULN|2DMG|1AART	1AART|25aVULN|3MBVNT|4TLV|6RCR|7aDMG|8RMIN|9aLIT|aBPWR
35	22161 61341	 * 	183.86	DCR|4VULN|1DMG|2ASPD|2DUR|1ZMB	147aVULN|27DUR|3TLV|5DMG|67ASPD|7BPWR|8RCR|9ZMB
36	36121 42717	   	183.80	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|25VULN|3MBVNT|4TLV|6DUR|79DMG|8RCR|aCDMG
37	36121 72354	   	183.77	DCR|3VULN|2DMG|1AART	1AART|259VULN|3MBVNT|4TLV|6RCR|79DMG|89LIT|9BPWR|aDUST
38	21413 62331	   	183.76	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	13VULN|2LHND|4ZMB|5AART|6RCR|78DMG|9ASPD|aLWND
39	21413 62334	   	183.76	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	13VULN|2LHND|4ZMB|5AART|6RCR|78DMG|9ASPD|aLIT
40	21413 62353	   	183.76	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	13VULN|2LHND|4ZMB|5AART|6RCR|78DMG|9LWND|aDUR
41	21413 61116	   	183.76	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	13VULN|2LHND|4ZMB|5AART|6RCR|7LWND|8ASPD|9aDMG
42	21413 62333	   	183.66	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	13VULN|2LHND|4ZMB|5AART|6RCR|78DMG|9ASPD|aDUST
43	21413 62336	   	183.66	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	13VULN|2LHND|4ZMB|5AART|6RCR|78DMG|9ASPD|aERES
44	22313 31161	 * 	183.12	DCR|4VULN|1AART|3DUR|1CDMG	1679VULN|279DUR|347BEXP|5AART|79BPWR|8RCR|aCDMG
45	22323 41161	   	183.12	DCR|4VULN|1AART|3DUR|1CDMG	1479VULN|279DUR|367BEXP|5AART|79BPWR|8RCR|aCDMG
46	42113 31161	   	183.12	DCR|4VULN|1AART|3DUR|1CDMG	147BEXP|279DUR|3679VULN|5AART|79BPWR|8RCR|aCDMG
47	42123 41161	   	183.12	DCR|4VULN|1AART|3DUR|1CDMG	167BEXP|279DUR|3479VULN|5AART|79BPWR|8RCR|aCDMG
48	34323 32156	   	182.77	DCR|2VULN|2DMG|1AART|2ZMB	1AART|2RMIN|3DMSP|4aVULN|5aZMB|6BELT|7RCR|8RCVC|9aDMG|aBPWR
49	32515 31153	   	182.62	DCR|4VULN|1AART|1DMG|1DUR	1AART|2LEGI|3567VULN|457LWND|57BPWR|8RCR|9DMG|aDUR
50	36366 31223	 * 	182.51	ACR|5VULN|2AART	18AART|2579aVULN|3aERES|4RCR|6RPLT|aBPWR
51	36131 23734	 * 	181.97	DCR|3VULN|1AART|2FLTHEA|2ASPD|1DUR	1AART|25aVULN|3MBVNT|4aASPD|6CGEN|7DUR|8RCR|9aFLTHEA|aBPWR
52	36131 45734	   	181.97	DCR|3VULN|1AART|2FLTHEA|2ASPD|1DUR	1AART|25aVULN|3MBVNT|4aASPD|6DUR|7CGEN|8RCR|9aFLTHEA|aBPWR
53	34316 52131	   	181.89	ACR|3VULN|2DMG|1AART	1AART|2RMIN|3DMSP|4RCR|59LSRREG|69DMG|789VULN|9BPWR|aLHND
54	34316 52133	   	181.89	ACR|3VULN|2DMG|1AART	1AART|2RMIN|3DMSP|4RCR|59LSRREG|69DMG|789VULN|9BPWR|aFEWX
55	32616 62213	   	181.86	DCR|2VULN|2DMG|1AART|2ASPD	1AART|2LEGI|3aASPD|4aCGEN|58DMG|6RCR|7LIT|9aVULN|aBPWR
56	36121 72117	   	181.66	DCR|2VULN|2DMG|1AART|1CDMG	1AART|25VULN|3MBVNT|4TLV|6RCR|79DMG|8LHND|aCDMG
57	36121 72217	   	181.66	DCR|2VULN|2DMG|1AART|1CDMG	1AART|25VULN|3MBVNT|4TLV|6RCR|79DMG|8LWND|aCDMG
58	36121 42713	   	181.60	DCR|2AART|2VULN|2DMG|1DUR	1aAART|25VULN|3MBVNT|4TLV|6DUR|79DMG|8RCR
59	36147 42713	   	181.60	DCR|2AART|2VULN|2DMG|1DUR	1aAART|25VULN|3MBVNT|4ERES|6DUR|79DMG|8RCR
60	21413 55312	 * 	181.40	DCR|3AART|2VULN|1DMG|1CDMG|1ZMB	13VULN|2LHND|4ZMB|58aAART|6CDMG|7DMG|9RCR
61	31252 65334	   	181.26	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1AART|2LIT|3DUR|47VULN|5MBVNT|69DMG|8RCR|aZMB
62	34323 32256	   	180.87	DCR|2VULN|2DMG|1AART|2ZMB	1AART|28RMIN|3DMSP|4aVULN|5aZMB|6BELT|7RCR|9aDMG|aBPWR
63	22323 31316	   	180.81	DCR|4VULN|1AART|1DMG|2DUR	1467VULN|27DUR|37BEXP|5AART|7BPWR|8DMG|9RPLT|aRCR
64	42123 31316	   	180.81	DCR|4VULN|1AART|1DMG|2DUR	17BEXP|27DUR|3467VULN|5AART|7BPWR|8DMG|9RPLT|aRCR
65	36231 63521	 * 	180.38	DCR|4VULN|1AART|3ASPD	1AART|2589VULN|38LHND|478ASPD|6RCR|8BPWR|aBEXP
66	36231 63522	   	180.38	DCR|4VULN|1AART|3ASPD	1AART|2589VULN|38LHND|478ASPD|6RCR|8BPWR|aBELT
67	36231 63523	   	180.38	DCR|4VULN|1AART|3ASPD	1AART|2589VULN|38LHND|478ASPD|6RCR|8BPWR|aFEWX
68	32531 63521	   	180.18	DCR|4VULN|1AART|3ASPD	1AART|2LEGI|3589VULN|478ASPD|6RCR|8BPWR|aBEXP
69	32531 63522	   	180.18	DCR|4VULN|1AART|3ASPD	1AART|2LEGI|3589VULN|478ASPD|6RCR|8BPWR|aBELT
70	32531 63523	   	180.18	DCR|4VULN|1AART|3ASPD	1AART|2LEGI|3589VULN|478ASPD|6RCR|8BPWR|aFEWX
71	32616 61322	   	179.93	DCR|3DMG|1AART|1VULN|2ASPD	1AART|2LEGI|37ASPD|47CGEN|578DMG|6RCR|7BPWR|9VULN|aFEWX
72	32515 31161	 * 	179.89	DCR|5VULN|2AART	1aAART|2LEGI|35679VULN|457LWND|579BPWR|8RCR
73	21413 61113	   	179.82	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	13VULN|2LHND|4ZMB|5AART|6RCR|7LWND|8ASPD|9DMG|aCDMG
74	31252 61325	   	179.77	DCR|3DMG|2AART|1VULN|1DUR	19AART|2LIT|3DUR|4VULN|5MBVNT|67aDMG|8RCR
75	36231 55312	   	179.73	DCR|3AART|2VULN|1DMG|1CDMG|1ASPD	18aAART|25VULN|3LHND|4ASPD|6CDMG|7DMG|9RCR
76	36121 72327	 * 	179.73	DCR|3VULN|1AART|1DMG|1CDMG	1AART|25aVULN|3MBVNT|4TLV|6RCR|7DMG|8LIT|9CDMG
77	36147 72343	 * 	179.73	DCR|3VULN|1AART|1DMG|2ASPD	1AART|25aVULN|3MBVNT|4aERES|6RCR|7DMG|8LIT|9aASPD|aBPWR
78	36121 42783	 * 	179.67	DCR|3VULN|2AART|1DMG|1DUR	1aAART|259VULN|3MBVNT|4TLV|6DUR|7DMG|8RCR
79	31331 55115	   	179.66	DCR|2AART|2VULN|2DMG	17AART|2LIT|3RMIN|4aDMG|5LHND|6RCR|89VULN
80	36121 72113	   	179.46	DCR|2AART|2VULN|2DMG	1aAART|25VULN|3MBVNT|4TLV|6RCR|79DMG|8LHND
81	36121 72213	   	179.46	DCR|2AART|2VULN|2DMG	1aAART|25VULN|3MBVNT|4TLV|6RCR|79DMG|8LWND
82	36121 72613	   	179.46	DCR|2AART|2VULN|2DMG	1aAART|25VULN|3MBVNT|4TLV|6RCR|79DMG|8FEWX
83	36147 72113	   	179.46	DCR|2AART|2VULN|2DMG	1aAART|25VULN|3MBVNT|4ERES|6RCR|79DMG|8LHND
84	36147 72213	   	179.46	DCR|2AART|2VULN|2DMG	1aAART|25VULN|3MBVNT|4ERES|6RCR|79DMG|8LWND
85	31632 52213	   	179.42	DCR|2VULN|2DMG|1AART|1ZMB	1AART|2aLIT|37FEWX|4aDMG|5CGEN|6RCR|8ZMB|9aVULN|aBPWR
86	31252 61333	   	179.32	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	1AART|2LIT|3DUR|4VULN|5MBVNT|679DMG|8RCR|aZMB
87	36153 31314	   	179.13	DCR|3VULN|2AART|1DMG|1ZMB	15AART|267VULN|3MBVNT|47BEXP|7BPWR|8DMG|9ZMB|aRCR
88	36341 24122	   	179.10	DCR|4VULN|2AART|2DUR	15AART|247aVULN|347ERES|47BPWR|67DUR|8RCR|9CANSTR
89	36341 24131	   	179.10	DCR|4VULN|2AART|2DUR	15AART|2479VULN|347ERES|47BPWR|67DUR|8RCR|aDUST
90	36341 24133	   	179.10	DCR|4VULN|2AART|2DUR	15AART|2479VULN|347ERES|47BPWR|67DUR|8RCR|aDLOT
91	26221 62324	   	178.87	DCR|3VULN|2DMG|1AART	15aVULN|2DLOT|3LHND|4TLV|6RCR|78DMG|9AART
92	26341 52323	   	178.73	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	146VULN|2DLOT|34ERES|4BPWR|5AART|7CDMG|8DMG|9ZMB|aRCR
93	21413 62361	   	178.42	DCR|2VULN|2DMG|1AART|1ZMB	13VULN|2LHND|4ZMB|5AART|6RCR|78DMG|9RCVC|aBEXP
94	21413 63115	   	178.40	DCR|2VULN|1AART|1DMG|2DUR|1ZMB|1ASPD	13VULN|2LHND|4ZMB|5AART|6RCR|7aDUR|8ASPD|9DMG
95	21413 62362	   	178.32	DCR|2VULN|2DMG|1AART|1ZMB	13VULN|2LHND|4ZMB|5AART|6RCR|78DMG|9RCVC|aTLV
96	21413 62363	   	178.32	DCR|2VULN|2DMG|1AART|1ZMB	13VULN|2LHND|4ZMB|5AART|6RCR|78DMG|9RCVC|aDUST
97	36231 64333	   	178.15	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1AART|25VULN|3LHND|4ASPD|6RCR|7CGEN|8DMG|9DUR|aCDMG
98	21413 62312	   	178.02	DCR|2VULN|2DMG|1AART|1ZMB	13VULN|2LHND|4ZMB|5AART|6RCR|78DMG|9ERES|aRCVC
99	36361 23523	   	177.90	ACR|5VULN|1AART|1DUR	1AART|2689aVULN|3ERES|4RCR|5TLV|7DUR
100	22161 61122	 * 	177.86	DCR|3VULN|2DMG|3ASPD|2DUR	147VULN|27DUR|3TLV|58DMG|679ASPD|7BPWR|aRCR
101	22411 11345	   	177.75	DCR|3VULN|2DMG|2ZMB|2DUR	137VULN|27DUR|49ZMB|5aDMG|67MLV|7BPWR|8RCR
102	22411 11362	   	177.75	DCR|3VULN|2DMG|2ZMB|2DUR	137VULN|27DUR|4aZMB|59DMG|67MLV|7BPWR|8RCR
103	31333 62211	   	177.73	DCR|3DMG|1AART|1VULN|1CDMG	1AART|25LIT|3RMIN|457DMG|5BPWR|6RCVC|8RCR|9VULN|aCDMG
104	31331 55116	   	177.73	DCR|3VULN|2AART|1DMG	17AART|2LIT|3RMIN|4DMG|5LHND|6RCR|89aVULN
105	34112 61262	   	177.58	ACR|2AART|2VULN|2DMG	13AART|25RMIN|4RCR|67VULN|8ERES|9aDMG
106	22411 31345	   	177.55	DCR|3VULN|2DMG|2ZMB|2DUR	137VULN|27DUR|49ZMB|5aDMG|67TLV|7BPWR|8RCR
107	22411 31362	   	177.55	DCR|3VULN|2DMG|2ZMB|2DUR	137VULN|27DUR|4aZMB|59DMG|67TLV|7BPWR|8RCR
108	32263 31151	 * 	177.53	DCR|3VULN|1AART|1DMG|3DUR	1AART|2LEGI|347DUR|47BPWR|567VULN|8RCR|9DMG|aLIT
109	32263 31153	   	177.53	DCR|3VULN|1AART|1DMG|3DUR	1AART|2LEGI|347DUR|47BPWR|567VULN|8RCR|9DMG|aDMSP
110	32263 31154	   	177.53	DCR|3VULN|1AART|1DMG|3DUR	1AART|2LEGI|347DUR|47BPWR|567VULN|8RCR|9DMG|aLHND
111	32263 31155	   	177.53	DCR|3VULN|1AART|1DMG|3DUR	1AART|2LEGI|347DUR|47BPWR|567VULN|8RCR|9DMG|aMLV
112	36121 72183	   	177.53	DCR|3VULN|2AART|1DMG	1aAART|259VULN|3MBVNT|4TLV|6RCR|7DMG|8LHND
113	36366 12113	   	177.48	ACR|2AART|2VULN|2DMG	1aAART|25VULN|3ERES|4RCR|6DUST|79DMG|8LHND
114	36366 12213	   	177.48	ACR|2AART|2VULN|2DMG	1aAART|25VULN|3ERES|4RCR|6DUST|79DMG|8LWND
115	21411 11365	   	177.32	DCR|3VULN|3DMG|1ZMB	137VULN|27LHND|4ZMB|59aDMG|67MLV|7BPWR|8RCR
116	22611 11365	   	177.30	DCR|3DMG|2VULN|2DUR|1ZMB	17VULN|27DUR|3RCVC|4ZMB|59aDMG|67MLV|7BPWR|8RCR
117	36363 14231	   	177.14	ACR|2VULN|2DMG|1AART|1ZMB	1AART|27VULN|3ERES|4RCR|5CGEN|6RPLT|89DMG|aZMB
118	36363 25231	   	177.14	ACR|2VULN|2DMG|1AART|1ZMB	1AART|26VULN|3ERES|4RCR|5CGEN|7RPLT|89DMG|aZMB
119	21413 55212	   	177.13	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	13VULN|28LHND|4ZMB|5aAART|6CDMG|7DMG|9RCR
120	21413 55311	   	177.13	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	13VULN|2LHND|4ZMB|58AART|6CDMG|7DMG|9RCR|aBEXP
121	21413 55313	   	177.13	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	13VULN|2LHND|4ZMB|58AART|6CDMG|7DMG|9RCR|aMLV
122	21411 31365	   	177.12	DCR|3VULN|3DMG|1ZMB	137VULN|27LHND|4ZMB|59aDMG|67TLV|7BPWR|8RCR
123	22611 31365	   	177.10	DCR|3DMG|2VULN|2DUR|1ZMB	17VULN|27DUR|3RCVC|4ZMB|59aDMG|67TLV|7BPWR|8RCR
124	22323 14524	   	177.02	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	147VULN|2DUR|3BEXP|5AART|6RPLT|8RCR|9ZMB|aDMG
125	22323 35524	   	177.02	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	146VULN|2DUR|3BEXP|5AART|7RPLT|8RCR|9ZMB|aDMG
126	21413 62342	   	176.82	DCR|2VULN|2DMG|1AART|1ZMB	13VULN|2LHND|4ZMB|5AART|6RCR|78DMG|9FEWX|aBEXP
127	21413 62352	   	176.82	DCR|2VULN|2DMG|1AART|1ZMB	13VULN|2LHND|4ZMB|5AART|6RCR|78DMG|9LWND|aBEXP
128	21413 62512	   	176.82	DCR|2VULN|2DMG|1AART|1ZMB	13VULN|2LHND|4ZMB|5AART|6RCR|79DMG|8FEWX|aBEXP
129	36121 12717	   	176.76	DCR|2VULN|2DMG|1AART|1CDMG	1AART|25VULN|3MBVNT|4TLV|6DUST|79DMG|8RCR|aCDMG
130	21413 62311	   	176.72	DCR|2VULN|2DMG|1AART|1ZMB	13VULN|2LHND|4ZMB|5AART|6RCR|78DMG|9ERES|aLWND
131	21413 62314	   	176.72	DCR|2VULN|2DMG|1AART|1ZMB	13VULN|2LHND|4ZMB|5AART|6RCR|78DMG|9ERES|aLIT
132	21413 62315	   	176.72	DCR|2VULN|2DMG|1AART|1ZMB	13VULN|2LHND|4ZMB|5AART|6RCR|78DMG|9ERES|aBELT
133	62122 66311	   	176.65	DCR|3VULN|2DMG|3ZMB	1RPLT|247ZMB|3LIT|578VULN|67DMG|7BPWR|9RCR|aLHND
134	62132 66313	   	176.65	DCR|3VULN|2DMG|3ZMB	1RPLT|278ZMB|3LIT|4DMSP|57aVULN|67DMG|7BPWR|9RCR
135	21413 62313	   	176.62	DCR|2VULN|2DMG|1AART|1ZMB	13VULN|2LHND|4ZMB|5AART|6RCR|78DMG|9ERES|aDUST
136	62122 66312	   	176.55	DCR|3VULN|2DMG|3ZMB	1RPLT|247ZMB|3LIT|578VULN|67DMG|7BPWR|9RCR|aNUKE
137	21213 62366	   	176.49	DCR|3DMG|1AART|1VULN|1ZMB	1VULN|23LHND|4ZMB|5AART|6RCR|78aDMG|9RCVC
138	34112 31522	 * 	176.24	ACR|2AART|2VULN|1DMG|3DUR	13AART|25RMIN|4RCR|689DUR|78VULN|8BPWR|aDMG
139	34313 51225	 * 	175.85	ACR|3VULN|2AART|2CDMG	18AART|2RMIN|3DMSP|4RCR|5aBEXP|6aCDMG|79aVULN|aBPWR
140	34333 62316	   	175.82	DCR|2DMG|1AART|1VULN|2CDMG|2DUR	1AART|2RMIN|3DMSP|47CDMG|57DUR|67DMG|7BPWR|8LHND|9RCR|aVULN
141	31331 55126	   	175.72	DCR|2AART|2VULN|1DMG|1CDMG	17AART|2LIT|3RMIN|4DMG|5LHND|6RCR|8aVULN|9CDMG
142	32515 31151	   	175.68	DCR|4VULN|1AART|1DMG	1AART|2LEGI|3567VULN|457LWND|57BPWR|8RCR|9DMG|aLIT
143	36366 31131	   	175.65	ACR|3VULN|2AART|1DMG	19AART|257VULN|3ERES|4RCR|6RPLT|8DMG|aFEWX
144	36366 31132	   	175.65	ACR|3VULN|2AART|1DMG	19AART|257VULN|3ERES|4RCR|6RPLT|8DMG|aDMSP
145	36366 31133	   	175.65	ACR|3VULN|2AART|1DMG	19AART|257VULN|3ERES|4RCR|6RPLT|8DMG|aLWND
146	34112 61412	   	175.65	ACR|3VULN|2AART|1DMG	13AART|25RMIN|4RCR|678VULN|9DUST|aDMG
147	34112 62426	   	175.65	ACR|3VULN|2AART|2CDMG	13AART|25RMIN|4RCR|69aVULN|7MBVNT|8aCDMG|aBPWR
148	34116 52123	   	175.65	ACR|3VULN|2AART|1DMG	13AART|2RMIN|4RCR|5LSRREG|6DMG|78aVULN|9BEXP
149	36231 63126	 * 	175.62	DCR|2AART|2VULN|1DMG|2ASPD	19AART|25VULN|3LHND|47ASPD|6RCR|8CGEN|aDMG
150	24423 12343	 * 	175.59	DCR|3DMG|2VULN|1CDMG|1ASPD|1DUR	13VULN|2CDMG|4FEWX|568DMG|7DUR|9RCR|aASPD
151	24423 22342	 * 	175.59	DCR|3VULN|2DMG|1CDMG|1ASPD|1DUR	136VULN|2CDMG|4FEWX|58DMG|7DUR|9RCR|aASPD
152	34116 52113	   	175.55	ACR|3VULN|2AART|1DMG	13AART|2RMIN|4RCR|5LSRREG|6DMG|78aVULN|9DUST
153	32531 63126	   	175.52	DCR|2AART|2VULN|1DMG|2ASPD	19AART|2LEGI|35VULN|47ASPD|6RCR|8CGEN|aDMG
154	32531 63326	   	175.52	DCR|2AART|2VULN|1DMG|2ASPD	19AART|2LEGI|35VULN|47ASPD|6RCR|8RMIN|aDMG
155	21413 61163	   	175.51	DCR|3VULN|1AART|2ASPD|1ZMB|1DUR	139VULN|29LHND|4ZMB|5AART|6RCR|7LWND|89ASPD|9BPWR|aDUR
156	22161 62342	   	175.49	DCR|3DMG|2VULN|1CDMG|1DUR|1ASPD	14VULN|2DUR|3TLV|58aDMG|6ASPD|7CDMG|9RCR
157	36231 55311	   	175.46	DCR|2AART|2VULN|1DMG|1CDMG|1ASPD	18AART|25VULN|3LHND|4ASPD|6CDMG|7DMG|9RCR|aBEXP
158	36231 55313	   	175.46	DCR|2AART|2VULN|1DMG|1CDMG|1ASPD	18AART|25VULN|3LHND|4ASPD|6CDMG|7DMG|9RCR|aMLV
159	36231 55212	   	175.46	DCR|2AART|2VULN|1DMG|1CDMG|1ASPD	1aAART|25VULN|38LHND|4ASPD|6CDMG|7DMG|9RCR
160	36122 72351	   	175.15	DCR|2VULN|2DMG|1AART|1ASPD	1AART|29VULN|3MBVNT|4TLV|5DMSP|6RCR|79DMG|89LIT|9BPWR|aASPD
161	31252 61324	   	175.12	DCR|2AART|2DMG|1VULN|1ZMB|1DUR	19AART|2LIT|3DUR|4VULN|5MBVNT|67DMG|8RCR|aZMB
162	31252 65324	   	175.12	DCR|2AART|2VULN|1DMG|1ZMB|1DUR	19AART|2LIT|3DUR|47VULN|5MBVNT|6DMG|8RCR|aZMB
163	36221 55322	   	175.10	DCR|3AART|2VULN|1DMG|1CDMG	19aAART|25VULN|3LHND|4TLV|6CDMG|7DMG|8RCR
164	31333 62213	   	175.09	DCR|3DMG|1AART|1VULN|1ZMB	1AART|25LIT|3RMIN|457DMG|5BPWR|6RCVC|8RCR|9VULN|aZMB
165	36231 62314	   	175.05	DCR|2VULN|2DMG|1AART|1ASPD	1AART|25VULN|3LHND|4ASPD|6RCR|7NUKE|8aDMG|9LIT
166	36131 21734	   	175.03	DCR|3VULN|1AART|2FLTHEA|2ASPD	1AART|25aVULN|3MBVNT|4aASPD|6CGEN|7LWND|8RCR|9aFLTHEA|aBPWR
167	36131 25734	   	175.03	DCR|3VULN|1AART|2FLTHEA|2ASPD	1AART|25aVULN|3MBVNT|4aASPD|6CGEN|7LHND|8RCR|9aFLTHEA|aBPWR
168	32531 62116	   	174.95	DCR|2VULN|2DMG|1AART|1ASPD	1AART|2LEGI|35VULN|4ASPD|6RCR|7NUKE|8LHND|9aDMG
169	32531 62216	   	174.95	DCR|2VULN|2DMG|1AART|1ASPD	1AART|2LEGI|35VULN|4ASPD|6RCR|7NUKE|8LWND|9aDMG
170	36121 71117	   	174.95	DCR|2VULN|2DMG|1AART|1ASPD	1AART|25VULN|3MBVNT|4TLV|6RCR|7LWND|8ASPD|9aDMG
171	36121 72812	   	174.95	DCR|2VULN|2DMG|1AART|1DUR	1AART|25VULN|3MBVNT|4TLV|6RCR|79DMG|8DUR|aBEXP
172	36121 72814	   	174.95	DCR|2VULN|2DMG|1AART|1DUR	1AART|25VULN|3MBVNT|4TLV|6RCR|79DMG|8DUR|aLHND
173	26341 53132	   	174.93	DCR|3VULN|1AART|1DMG|1CDMG	146VULN|2DLOT|34ERES|4BPWR|5AART|7RCR|8LWND|9CDMG|aDMG
174	26341 53332	   	174.93	DCR|3VULN|1AART|1DMG|1CDMG	146VULN|2DLOT|34ERES|4BPWR|5AART|7RCR|8BEXP|9CDMG|aDMG
175	36131 24734	   	174.93	DCR|3VULN|1AART|2FLTHEA|2ASPD	1AART|25aVULN|3MBVNT|4aASPD|6CGEN|7DUST|8RCR|9aFLTHEA|aBPWR
