0	Index      	 *	Score 	Summary	Detail	
1	22631 11414	 * 	183.33	ACR|3VULN|2DMG|1AART|1ASPD	1LWND|278VULN|3ASPD|4RCR|59DMG|6ERES|aAART
24	11446 11322	 * 	175.02	DCR|2DMG|1AART|1VULN|2CDMG|2DUR	1LSRREG|25DMG|3RMIN|45CDMG|5BPWR|6AART|79DUR|8RCR|aVULN
25	64316 32332	   	174.68	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RPLT|2AART|3FEWX|4aVULN|5CDMG|6RCR|7ZMB|8MLV|9DMG
26	42233 13524	 * 	174.60	ACR|4VULN|1AART|1DMG	1ERES|2689VULN|3FEWX|4RCR|5DUST|7AART|aDMG
27	22531 11416	   	174.42	ACR|4VULN|2DMG|1ASPD	1aLWND|278aVULN|3RMIN|4RCR|5ASPD|6ERES|9aDMG|aBPWR
28	11443 24332	   	174.39	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB	17LSRREG|2DMG|3aRMIN|47CDMG|5AART|67VULN|7BPWR|8RCR|9ZMB
29	11443 24333	   	174.39	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB	17LSRREG|2DMG|3RMIN|47CDMG|5AART|67VULN|7BPWR|8RCR|9ZMB|aLWND
30	11312 26154	 * 	174.38	ACR|2VULN|2DMG|1AART|1CDMG	1LSRREG|27DMG|3CDMG|4LWND|5RCR|6AART|8aVULN|9CGEN
31	11322 26154	   	174.38	ACR|2VULN|2DMG|1AART|1CDMG	1LSRREG|27DMG|3CDMG|4FEWX|5RCR|6AART|8aVULN|9CGEN
32	11322 26162	   	174.38	ACR|2VULN|2DMG|1AART|1CDMG	1LSRREG|27DMG|3CDMG|4FEWX|5RCR|6AART|8aVULN|9BELT
33	11443 24331	   	174.29	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB	17LSRREG|2DMG|3RMIN|47CDMG|5AART|67VULN|7BPWR|8RCR|9ZMB|aDUST
34	11312 26114	   	174.28	ACR|2VULN|2DMG|1AART|1CDMG	1LSRREG|27DMG|3CDMG|4LWND|5RCR|6AART|8aVULN|9ERES
35	11322 26114	   	174.28	ACR|2VULN|2DMG|1AART|1CDMG	1LSRREG|27DMG|3CDMG|4FEWX|5RCR|6AART|8aVULN|9ERES
36	24631 32142	   	173.98	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	1LWND|2DUR|3ASPD|4RCR|5DMG|6LHND|79aVULN|8AART
37	42131 61326	   	173.67	ACR|3VULN|2DMG|1CDMG|1DUR	138ERES|28aVULN|4RCR|5CDMG|6TLV|78DMG|8BPWR|9DUR
38	62162 12374	 * 	173.42	DCR|4VULN|2DMG|1CDMG	1RPLT|2LHND|3469VULN|56DMG|6BPWR|7CDMG|8MBVNT|aRCR
39	42131 41352	 * 	173.15	ACR|3VULN|2DMG|2CDMG	138ERES|28aVULN|4RCR|5aCDMG|6CGEN|78DMG|8aBPWR|9aLSRREG
40	31131 41311	   	173.13	ACR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	18MLV|2RCVC|38VULN|4RCR|5CDMG|6CGEN|78DMG|8BPWR|9ZMB|aASPD
41	31131 41313	   	173.13	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR	18MLV|2RCVC|38VULN|4RCR|5CDMG|6CGEN|78DMG|8BPWR|9ZMB|aDUR
42	42131 61352	   	173.05	ACR|3VULN|2DMG|2CDMG	138ERES|28aVULN|4RCR|5aCDMG|6TLV|78DMG|8aBPWR|9aLSRREG
43	31131 61311	   	173.03	ACR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	18MLV|2RCVC|38VULN|4RCR|5CDMG|6TLV|78DMG|8BPWR|9ZMB|aASPD
44	31131 61313	   	173.03	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR	18MLV|2RCVC|38VULN|4RCR|5CDMG|6TLV|78DMG|8BPWR|9ZMB|aDUR
45	22335 11414	   	173.00	ACR|4VULN|1AART|1DMG	1LWND|2678VULN|3MLV|4RCR|5BEXP|9DMG|aAART
46	32335 11414	   	173.00	ACR|4VULN|1AART|1DMG	1MLV|2678VULN|3LWND|4RCR|5BEXP|9DMG|aAART
47	41131 41311	   	172.93	ACR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	18ERES|2RCVC|38VULN|4RCR|5CDMG|6CGEN|78DMG|8BPWR|9ZMB|aASPD
48	41131 41313	   	172.93	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR	18ERES|2RCVC|38VULN|4RCR|5CDMG|6CGEN|78DMG|8BPWR|9ZMB|aDUR
49	22333 11414	   	172.90	ACR|4VULN|1AART|1DMG	1LWND|2678VULN|3MLV|4RCR|5DUST|9DMG|aAART
50	32333 11414	   	172.90	ACR|4VULN|1AART|1DMG	1MLV|2678VULN|3LWND|4RCR|5DUST|9DMG|aAART
51	32431 41311	   	172.83	ACR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	18MLV|28VULN|3RCVC|4RCR|5CDMG|6CGEN|78DMG|8BPWR|9ZMB|aASPD
52	32431 41313	   	172.83	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR	18MLV|28VULN|3RCVC|4RCR|5CDMG|6CGEN|78DMG|8BPWR|9ZMB|aDUR
53	41131 61311	   	172.83	ACR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	18ERES|2RCVC|38VULN|4RCR|5CDMG|6TLV|78DMG|8BPWR|9ZMB|aASPD
54	41131 61313	   	172.83	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR	18ERES|2RCVC|38VULN|4RCR|5CDMG|6TLV|78DMG|8BPWR|9ZMB|aDUR
55	32431 61311	   	172.73	ACR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	18MLV|28VULN|3RCVC|4RCR|5CDMG|6TLV|78DMG|8BPWR|9ZMB|aASPD
56	32431 61313	   	172.73	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR	18MLV|28VULN|3RCVC|4RCR|5CDMG|6TLV|78DMG|8BPWR|9ZMB|aDUR
57	42431 41311	   	172.63	ACR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	18ERES|28VULN|3RCVC|4RCR|5CDMG|6CGEN|78DMG|8BPWR|9ZMB|aASPD
58	42431 41313	   	172.63	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR	18ERES|28VULN|3RCVC|4RCR|5CDMG|6CGEN|78DMG|8BPWR|9ZMB|aDUR
59	31261 33254	   	172.59	DCR|3DMG|1AART|1VULN|1ZMB	1MLV|2RCVC|3AART|4ZMB|5VULN|67aDMG|8LWND|9RCR
60	42431 61311	   	172.53	ACR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	18ERES|28VULN|3RCVC|4RCR|5CDMG|6TLV|78DMG|8BPWR|9ZMB|aASPD
61	42431 61313	   	172.53	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR	18ERES|28VULN|3RCVC|4RCR|5CDMG|6TLV|78DMG|8BPWR|9ZMB|aDUR
62	31131 41314	   	172.50	ACR|2VULN|2DMG|2CDMG|1ZMB	18MLV|2RCVC|38VULN|4RCR|5aCDMG|6CGEN|78DMG|8BPWR|9ZMB
63	11322 26164	 * 	172.45	ACR|3DMG|1AART|1VULN|1CDMG	1LSRREG|27aDMG|3CDMG|4FEWX|5RCR|6AART|8VULN|9BELT
64	31131 61314	   	172.40	ACR|2VULN|2DMG|2CDMG|1ZMB	18MLV|2RCVC|38VULN|4RCR|5aCDMG|6TLV|78DMG|8BPWR|9ZMB
65	41131 41314	   	172.30	ACR|2VULN|2DMG|2CDMG|1ZMB	18ERES|2RCVC|38VULN|4RCR|5aCDMG|6CGEN|78DMG|8BPWR|9ZMB
66	32431 41314	   	172.20	ACR|2VULN|2DMG|2CDMG|1ZMB	18MLV|28VULN|3RCVC|4RCR|5aCDMG|6CGEN|78DMG|8BPWR|9ZMB
67	41131 61314	   	172.20	ACR|2VULN|2DMG|2CDMG|1ZMB	18ERES|2RCVC|38VULN|4RCR|5aCDMG|6TLV|78DMG|8BPWR|9ZMB
68	32431 61314	   	172.10	ACR|2VULN|2DMG|2CDMG|1ZMB	18MLV|28VULN|3RCVC|4RCR|5aCDMG|6TLV|78DMG|8BPWR|9ZMB
69	11416 21316	 * 	171.86	DCR|2VULN|2DMG|2AART	1aLSRREG|2aDMG|3RMIN|4LWND|5FEWX|69AART|7aVULN|8RCR|aBPWR
70	11461 21316	   	171.86	DCR|2VULN|2DMG|2AART	1aLSRREG|2aDMG|3RMIN|4FEWX|5LWND|69AART|7aVULN|8RCR|aBPWR
71	24631 11161	 * 	171.77	ACR|2VULN|2DMG|2ASPD|1CDMG|1DUR	1LWND|2DUR|3aASPD|4RCR|5aDMG|6ERES|7aVULN|8CDMG|9AIRHEA|aBPWR
72	11421 21316	   	171.76	DCR|2VULN|2DMG|2AART	1aLSRREG|2aDMG|3RMIN|4DUST|5LWND|69AART|7aVULN|8RCR|aBPWR
73	21362 26332	 * 	171.65	ACR|2DMG|1AART|1VULN|2ZMB|1CDMG	1LWND|2BASHEA|39ZMB|4CDMG|5RCR|6AART|78DMG|aVULN
74	62112 14533	   	171.60	DCR|4VULN|2DMG|1DUR	1RPLT|24LHND|369aVULN|56DMG|6BPWR|7DUR|8RCR
75	62122 14533	   	171.60	DCR|4VULN|2DMG|1DUR	14RPLT|2LHND|369aVULN|56DMG|6BPWR|7DUR|8RCR
76	42235 13224	   	171.60	ACR|3VULN|1AART|1DMG|1ZMB	1ERES|26aVULN|3FEWX|4RCR|5BEXP|7AART|8ZMB|9DMG
77	16362 26332	   	171.55	ACR|2DMG|1AART|1VULN|2ZMB|1CDMG	1LSRREG|2LEGI|39ZMB|4CDMG|5RCR|6AART|78DMG|aVULN
78	42233 13224	   	171.50	ACR|3VULN|1AART|1DMG|1ZMB	1ERES|26aVULN|3FEWX|4RCR|5DUST|7AART|8ZMB|9DMG
79	31133 51416	   	171.29	ACR|4VULN|2DMG	1aMLV|2RCVC|378aVULN|4RCR|5LWND|6FEWX|9aDMG|aBPWR
80	42322 23512	 * 	171.20	DCR|3VULN|3AART|1DMG	1ERES|268VULN|359AART|46LHND|6BPWR|7DMG|aRCR
81	31133 11416	   	171.19	ACR|4VULN|2DMG	1aMLV|2RCVC|378aVULN|4RCR|5LWND|6DUST|9aDMG|aBPWR
82	51133 11416	   	171.19	ACR|4VULN|2DMG	1aCGEN|2RCVC|378aVULN|4RCR|5LWND|6DUST|9aDMG|aBPWR
83	41133 11416	   	170.99	ACR|4VULN|2DMG	1aERES|2RCVC|378aVULN|4RCR|5LWND|6DUST|9aDMG|aBPWR
84	32433 11416	   	170.89	ACR|4VULN|2DMG	1aMLV|278aVULN|3RCVC|4RCR|5LWND|6DUST|9aDMG|aBPWR
85	31131 41325	   	170.84	ACR|3DMG|2VULN|1CDMG	18MLV|2RCVC|38VULN|4RCR|5CDMG|6CGEN|78aDMG|8BPWR|9LWND
86	31131 41355	   	170.84	ACR|3DMG|2VULN|1CDMG	18MLV|2RCVC|38VULN|4RCR|5CDMG|6CGEN|78aDMG|8BPWR|9BEXP
87	31131 41365	   	170.84	ACR|3DMG|2VULN|1CDMG	18MLV|2RCVC|38VULN|4RCR|5CDMG|6CGEN|78aDMG|8BPWR|9FEWX
88	31131 61325	   	170.74	ACR|3DMG|2VULN|1CDMG	18MLV|2RCVC|38VULN|4RCR|5CDMG|6TLV|78aDMG|8BPWR|9LWND
89	31131 61355	   	170.74	ACR|3DMG|2VULN|1CDMG	18MLV|2RCVC|38VULN|4RCR|5CDMG|6TLV|78aDMG|8BPWR|9BEXP
90	31131 61365	   	170.74	ACR|3DMG|2VULN|1CDMG	18MLV|2RCVC|38VULN|4RCR|5CDMG|6TLV|78aDMG|8BPWR|9FEWX
91	31131 41342	   	170.74	ACR|3DMG|2VULN|1CDMG	18MLV|2RCVC|38VULN|4RCR|5CDMG|6CGEN|78aDMG|8BPWR|9ERES
92	31131 61342	   	170.64	ACR|3DMG|2VULN|1CDMG	18MLV|2RCVC|38VULN|4RCR|5CDMG|6TLV|78aDMG|8BPWR|9ERES
93	41131 41325	   	170.64	ACR|3DMG|2VULN|1CDMG	18ERES|2RCVC|38VULN|4RCR|5CDMG|6CGEN|78aDMG|8BPWR|9LWND
94	11353 25336	 * 	170.63	DCR|2AART|2VULN|1DMG|1CDMG	1LSRREG|2DMG|3CDMG|4CGEN|5aAART|69VULN|7RCVC|8RCR
95	11446 11321	 * 	170.61	DCR|3DMG|1AART|2CDMG|2DUR	1LSRREG|25aDMG|3RMIN|45CDMG|5BPWR|6AART|79DUR|8RCR
96	32431 41325	   	170.54	ACR|3DMG|2VULN|1CDMG	18MLV|28VULN|3RCVC|4RCR|5CDMG|6CGEN|78aDMG|8BPWR|9LWND
97	41131 61325	   	170.54	ACR|3DMG|2VULN|1CDMG	18ERES|2RCVC|38VULN|4RCR|5CDMG|6TLV|78aDMG|8BPWR|9LWND
98	32431 41342	   	170.44	ACR|3DMG|2VULN|1CDMG	18MLV|28VULN|3RCVC|4RCR|5CDMG|6CGEN|78aDMG|8BPWR|9ERES
99	32431 61325	   	170.44	ACR|3DMG|2VULN|1CDMG	18MLV|28VULN|3RCVC|4RCR|5CDMG|6TLV|78aDMG|8BPWR|9LWND
100	32431 61342	   	170.34	ACR|3DMG|2VULN|1CDMG	18MLV|28VULN|3RCVC|4RCR|5CDMG|6TLV|78aDMG|8BPWR|9ERES
101	11443 24323	   	170.33	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	17LSRREG|2DMG|3RMIN|47CDMG|5AART|67VULN|7BPWR|8RCR|9DUR|aBEXP
102	11614 21334	   	170.25	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1LSRREG|2DMG|3ASPD|4LWND|5DUR|6AART|7aVULN|8RCR|9CDMG
103	11312 26316	 * 	170.25	ACR|3DMG|2AART|2CDMG	18LSRREG|27aDMG|38CDMG|48LWND|5RCR|69AART|8BPWR
104	11443 24322	   	170.23	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	17LSRREG|2DMG|3RMIN|47CDMG|5AART|67VULN|7BPWR|8RCR|9DUR|aDUST
105	11353 25333	   	170.18	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LSRREG|2DMG|3CDMG|4CGEN|5AART|69VULN|7RCVC|8RCR|aZMB
106	11312 26326	 * 	170.15	ACR|2DMG|1AART|1VULN|2CDMG|1DUR	18LSRREG|27DMG|38CDMG|48LWND|5RCR|6AART|8BPWR|9VULN|aDUR
107	11322 26346	   	170.15	ACR|2DMG|1AART|1VULN|2CDMG|1DUR	18LSRREG|27DMG|38CDMG|48FEWX|5RCR|6AART|8BPWR|9VULN|aDUR
108	34216 16321	 * 	170.12	DCR|3DMG|2VULN|1CDMG	19MLV|2CGEN|3RCVC|49VULN|5MGNSTR|6CDMG|7RCR|89aDMG|9BPWR
109	22333 26326	   	170.07	ACR|2VULN|2DMG|1AART|1DUR	1LWND|28VULN|3MLV|4RCR|5DUST|6AART|79DMG|aDUR
110	32333 26326	   	170.07	ACR|2VULN|2DMG|1AART|1DUR	1MLV|28VULN|3LWND|4RCR|5DUST|6AART|79DMG|aDUR
111	42361 63133	   	169.81	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	15ERES|24VULN|3AART|6RCR|7DMG|8LIT|9CDMG|aDUR
112	64212 11232	   	169.78	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RPLT|2AART|3ZMB|4DUST|5aVULN|6CDMG|7MLV|8RCR|9DMG
113	24631 32143	 * 	169.77	ACR|2VULN|2AART|1DMG|1ASPD|1DUR	1LWND|2DUR|3ASPD|4RCR|5DMG|6LHND|79VULN|8aAART
114	62162 32223	   	169.62	DCR|2VULN|2DMG|1AART|1ZMB	1RPLT|2LHND|34VULN|5aDMG|6CGEN|7ZMB|8RCR|9AART
115	31133 41414	   	169.54	ACR|3VULN|1AART|1DMG|1DUR	1MLV|2RCVC|378VULN|4RCR|5LWND|6DUR|9DMG|aAART
116	21362 26352	   	169.40	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1LWND|2BASHEA|3ZMB|4CDMG|5RCR|6AART|78DMG|9RCVC|aVULN
117	22631 32265	   	169.22	ACR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	1LWND|27VULN|3ASPD|4RCR|5aDMG|6LHND|8ZMB|9CDMG
118	11443 26321	   	169.21	DCR|2DMG|1AART|1VULN|1CDMG|2DUR	1LSRREG|27DMG|3RMIN|4CDMG|5AART|6VULN|8RCR|9aDUR
119	31223 66324	   	168.78	DCR|3VULN|1AART|1DMG	1MLV|2RCVC|3AART|4FEWX|5LWND|6RCR|789VULN|aDMG
120	22631 41531	 * 	168.70	ACR|2VULN|2DMG|3ASPD|1ZMB	18LWND|28VULN|367ASPD|4RCR|58DMG|8BPWR|9LIT|aZMB
121	11312 26156	 * 	168.24	ACR|2DMG|2AART|1VULN|1CDMG	1LSRREG|27DMG|3CDMG|4LWND|5RCR|6aAART|8VULN|9CGEN
122	11312 26116	   	168.14	ACR|2DMG|2AART|1VULN|1CDMG	1LSRREG|27DMG|3CDMG|4LWND|5RCR|6aAART|8VULN|9ERES
123	22333 26312	   	168.14	ACR|3VULN|1AART|1DMG|1DUR	1LWND|28aVULN|3MLV|4RCR|5DUST|6AART|7DMG|9DUR
124	32333 26312	   	168.14	ACR|3VULN|1AART|1DMG|1DUR	1MLV|28aVULN|3LWND|4RCR|5DUST|6AART|7DMG|9DUR
125	42234 23324	   	168.14	ACR|3VULN|1AART|1DMG|1ASPD	1ERES|289VULN|3FEWX|4RCR|5CGEN|6AART|7ASPD|aDMG
126	11614 21314	   	168.05	DCR|2DMG|2AART|1VULN|1ASPD|1DUR	1LSRREG|2aDMG|3ASPD|4LWND|5DUR|69AART|7VULN|8RCR
127	11443 26332	   	167.98	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1LSRREG|27DMG|3aRMIN|4CDMG|5AART|6VULN|8RCR|9ZMB
128	11443 26333	   	167.98	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1LSRREG|27DMG|3RMIN|4CDMG|5AART|6VULN|8RCR|9ZMB|aLWND
129	11362 32335	   	167.93	ACR|3DMG|1AART|1CDMG|1ZMB|1ASPD	1LSRREG|268DMG|3CDMG|4BEXP|5RCR|7ZMB|9ASPD|aAART
130	11443 26331	   	167.88	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1LSRREG|27DMG|3RMIN|4CDMG|5AART|6VULN|8RCR|9ZMB|aDUST
131	11616 21316	 * 	167.82	DCR|2VULN|2AART|1DMG|2ASPD	1aLSRREG|2DMG|3aASPD|4LWND|5FEWX|69AART|7aVULN|8RCR|aBPWR
132	11322 26526	   	167.80	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1LSRREG|27DMG|3CDMG|4FEWX|5RCR|6AART|8BELT|9ZMB|aVULN
133	11621 21316	   	167.72	DCR|2VULN|2AART|1DMG|2ASPD	1aLSRREG|2DMG|3aASPD|4DUST|5LWND|69AART|7aVULN|8RCR|aBPWR
134	22335 11616	   	167.58	ACR|4VULN|2DMG	1aLWND|267aVULN|3MLV|4RCR|58BEXP|9aDMG|aBPWR
135	22335 13416	   	167.58	ACR|4VULN|2DMG	1aLWND|268aVULN|3MLV|4RCR|57BEXP|9aDMG|aBPWR
136	32335 11616	   	167.58	ACR|4VULN|2DMG	1aMLV|267aVULN|3LWND|4RCR|58BEXP|9aDMG|aBPWR
137	32335 13416	   	167.58	ACR|4VULN|2DMG	1aMLV|268aVULN|3LWND|4RCR|57BEXP|9aDMG|aBPWR
138	22633 63324	   	167.54	ACR|3VULN|1AART|1DMG|1ASPD	1LWND|28aVULN|3ASPD|4RCR|5DUST|6CGEN|7AART|9DMG
139	42231 53324	   	167.54	ACR|3VULN|1AART|1DMG|1ASPD	1ERES|289VULN|3FEWX|4RCR|5ASPD|6CGEN|7AART|aDMG
140	42235 13312	   	167.54	ACR|3VULN|1AART|1DMG|1DUR	1ERES|26aVULN|3FEWX|4RCR|5BEXP|7AART|8DMG|9DUR
141	22333 41416	   	167.48	ACR|4VULN|2DMG	16aLWND|278aVULN|3MLV|4RCR|5DUST|9aDMG|aBPWR
142	32333 41416	   	167.48	ACR|4VULN|2DMG	1aMLV|278aVULN|36LWND|4RCR|5DUST|9aDMG|aBPWR
143	42233 13312	   	167.44	ACR|3VULN|1AART|1DMG|1DUR	1ERES|26aVULN|3FEWX|4RCR|5DUST|7AART|8DMG|9DUR
144	11322 26523	 * 	167.34	ACR|3DMG|1AART|2ZMB|1CDMG	1aLSRREG|27aDMG|3CDMG|4FEWX|5RCR|6AART|8BELT|9aZMB|aBPWR
145	22631 32264	   	167.29	ACR|3VULN|1DMG|1CDMG|1ZMB|1ASPD	1LWND|27aVULN|3ASPD|4RCR|5DMG|6LHND|8ZMB|9CDMG
146	21362 26331	   	167.24	ACR|3DMG|1AART|2ZMB|1CDMG	1LWND|2BASHEA|39ZMB|4CDMG|5RCR|6AART|78aDMG
147	42133 11416	   	167.18	ACR|4VULN|2DMG	13aERES|278aVULN|4RCR|5LWND|6DUST|9aDMG|aBPWR
148	16362 26331	   	167.14	ACR|3DMG|1AART|2ZMB|1CDMG	1LSRREG|2LEGI|39ZMB|4CDMG|5RCR|6AART|78aDMG
149	22631 31142	   	167.04	ACR|3VULN|1AART|1DMG|1ASPD	1LWND|29aVULN|3ASPD|4RCR|5DMG|6LHND|7BEXP|8AART
150	42131 41332	   	166.83	ACR|3VULN|2DMG|1CDMG	138ERES|28aVULN|4RCR|5CDMG|6CGEN|78DMG|8BPWR|9MLV
151	42131 41343	   	166.83	ACR|3VULN|2DMG|1CDMG	138ERES|289VULN|4RCR|5CDMG|6CGEN|78DMG|8BPWR|aLIT
152	21423 21543	   	166.73	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1LWND|2BASHEA|3LIT|4RCR|5AART|6DMG|78VULN|9CDMG|aDUR
153	42131 61316	   	166.73	ACR|3DMG|2VULN|1CDMG	138ERES|28VULN|4RCR|5CDMG|6TLV|78aDMG|8BPWR|9RMIN
154	42131 61332	   	166.73	ACR|3VULN|2DMG|1CDMG	138ERES|28aVULN|4RCR|5CDMG|6TLV|78DMG|8BPWR|9MLV
155	42131 61336	   	166.73	ACR|3DMG|2VULN|1CDMG	138ERES|28VULN|4RCR|5CDMG|6TLV|78aDMG|8BPWR|9MLV
156	42131 61343	   	166.73	ACR|3VULN|2DMG|1CDMG	138ERES|289VULN|4RCR|5CDMG|6TLV|78DMG|8BPWR|aLIT
157	42131 41341	   	166.73	ACR|3VULN|2DMG|1CDMG	138ERES|289VULN|4RCR|5CDMG|6CGEN|78DMG|8BPWR|aDUST
158	11362 32225	   	166.72	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR	1LSRREG|26DMG|3CDMG|4BEXP|5RCR|7ZMB|8DUR|9aVULN
159	42131 61341	   	166.63	ACR|3VULN|2DMG|1CDMG	138ERES|289VULN|4RCR|5CDMG|6TLV|78DMG|8BPWR|aDUST
160	62115 63113	   	166.61	DCR|2AART|2DMG|1VULN|1DUR	1RPLT|24LHND|3VULN|57AART|6RCR|8aDMG|9DUR
161	62125 63113	   	166.61	DCR|2AART|2DMG|1VULN|1DUR	14RPLT|2LHND|3VULN|57AART|6RCR|8aDMG|9DUR
162	11231 53355	   	166.55	DCR|2VULN|2DMG|1AART|1ASPD	1LSRREG|26DMG|3CANSTR|4ASPD|5LWND|7AART|8RCR|9aVULN
163	21422 43243	 * 	166.49	ACR|4VULN|1AART|1CDMG	1LWND|2BASHEA|3LIT|4RCR|5679VULN|8CDMG|aAART
164	31235 23221	   	166.22	DCR|3DMG|1AART|2CDMG|1ASPD	18MLV|2RCVC|3AART|4RPLT|578DMG|68CDMG|8BPWR|9ASPD|aRCR
165	51235 23221	   	166.22	DCR|3DMG|1AART|2CDMG|1ASPD	18CGEN|2RCVC|3AART|4RPLT|578DMG|68CDMG|8BPWR|9ASPD|aRCR
