0	Index      	 *	Score 	Summary	Detail	
1	12122 44351	 * 	206.07	ACR|3VULN|2DMG|1AART|2ASPD|2DUR	16aVULN|2aDMG|3RCR|49DUR|5LWND|7aASPD|8AART|aBPWR
53	26112 26262	   	195.24	ACR|3VULN|2DMG|2AART	16DMG|2LEGI|3RCR|4RCVC|56aVULN|6BPWR|78AART|9MLV
54	52112 23621	   	195.16	ACR|2VULN|2DMG|1AART|1CDMG|1DUR|1ASPD	1DUR|26DMG|3RCR|4RCVC|56VULN|6BPWR|7CDMG|8AART|9LIT|aASPD
55	26112 26212	   	195.14	ACR|3VULN|2DMG|2AART	16DMG|2LEGI|3RCR|4RCVC|56aVULN|6BPWR|78AART|9ERES
56	26112 26251	   	195.14	ACR|3VULN|2DMG|2AART	16DMG|2LEGI|3RCR|4RCVC|56aVULN|6BPWR|78AART|9DUST
57	52112 22525	   	194.32	ACR|3DMG|2VULN|1AART|2DUR	19DUR|268DMG|3RCR|4RCVC|56VULN|6BPWR|7MLV|aAART
58	52122 23632	   	194.23	ACR|2VULN|2DMG|1AART|3DUR|1CDMG	14aDUR|26DMG|3RCR|56VULN|6BPWR|7CDMG|8AART|9LWND
59	52122 23642	   	194.23	ACR|2VULN|2DMG|1AART|3DUR|1CDMG	14aDUR|26DMG|3RCR|56VULN|6BPWR|7CDMG|8AART|9FEWX
60	12112 25434	   	193.86	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD|1DUR	15VULN|29DMG|3RCR|4RCVC|6ASPD|7DUR|8CDMG|aAART
61	12112 35434	   	193.86	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD|1DUR	15VULN|29DMG|3RCR|4RCVC|6DUR|7ASPD|8CDMG|aAART
62	12132 44331	   	193.84	ACR|3VULN|2DMG|1AART|2ASPD	16aVULN|2aDMG|3RCR|49LHND|5LWND|7aASPD|8AART|aBPWR
63	12132 44341	   	193.84	ACR|3VULN|2DMG|1AART|2ASPD	16aVULN|2aDMG|3RCR|4LHND|5LWND|7aASPD|8AART|9DMSP|aBPWR
64	24132 44331	   	193.84	ACR|3VULN|2DMG|1AART|2ASPD	1aDMG|26aVULN|3RCR|49LHND|5LWND|7aASPD|8AART|aBPWR
65	12135 11652	   	193.74	ACR|3DMG|2VULN|1AART|1CDMG	1aVULN|279DMG|3RCR|4LHND|5CDMG|6CGEN|8AART
66	12112 12524	   	193.58	ACR|4VULN|2DMG|2ASPD|1DUR	1589VULN|28DMG|3RCR|4RCVC|6DMSP|78ASPD|8BPWR|aDUR
67	24112 12524	   	193.58	ACR|4VULN|2DMG|2ASPD|1DUR	18DMG|2589VULN|3RCR|4RCVC|6DMSP|78ASPD|8BPWR|aDUR
68	52112 23632	   	193.52	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	1aDUR|26DMG|3RCR|4RCVC|56VULN|6BPWR|7CDMG|8AART|9LWND
69	52112 23642	   	193.52	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	1aDUR|26DMG|3RCR|4RCVC|56VULN|6BPWR|7CDMG|8AART|9FEWX
70	26112 23611	   	193.48	ACR|4VULN|2DMG|1CDMG|1DUR	16DMG|2LEGI|3RCR|4RCVC|569aVULN|6BPWR|7CDMG|8DUR
71	52112 23411	   	193.48	ACR|4VULN|2DMG|1CDMG|1DUR	1DUR|26DMG|3RCR|4RCVC|569aVULN|6BPWR|7CDMG|8DUST
72	52112 23334	   	193.34	ACR|2VULN|2DMG|1AART|2CDMG|1DUR	1DUR|26DMG|3RCR|4RCVC|56VULN|6BPWR|78CDMG|9RMIN|aAART
73	52113 13241	   	193.22	ACR|2AART|2DMG|2VULN|2DUR	17DUR|27DMG|3RCR|4RCVC|58AART|67LWND|7BPWR|9aVULN
74	26112 25433	   	193.03	ACR|3DMG|2VULN|1CDMG|1FLTHEA|1ASPD	169DMG|2LEGI|3RCR|4RCVC|56VULN|6BPWR|7ASPD|8CDMG|aFLTHEA
75	12115 32535	   	192.99	ACR|3DMG|2VULN|1AART|1ZMB	16VULN|289DMG|3RCR|4RCVC|5ZMB|7FEWX|aAART
76	21213 52413	   	192.82	DCR|3VULN|2DMG|1AART|2ASPD	17DMG|2LWND|3RPLT|47aVULN|57ASPD|6RCR|7BPWR|8FEWX|9AART
77	21213 52613	   	192.82	DCR|3VULN|2DMG|1AART|2ASPD	17DMG|2LWND|3RPLT|47aVULN|57ASPD|6RCR|7BPWR|8BEXP|9AART
78	12253 52413	   	192.72	DCR|3VULN|2DMG|1AART|2ASPD	17aVULN|27DMG|3RPLT|4LEGI|57ASPD|6RCR|7BPWR|8FEWX|9AART
79	12253 52613	   	192.72	DCR|3VULN|2DMG|1AART|2ASPD	17aVULN|27DMG|3RPLT|4LEGI|57ASPD|6RCR|7BPWR|8BEXP|9AART
80	26213 52413	   	192.72	DCR|3VULN|2DMG|1AART|2ASPD	17DMG|2LEGI|3RPLT|47aVULN|57ASPD|6RCR|7BPWR|8FEWX|9AART
81	26213 52613	   	192.72	DCR|3VULN|2DMG|1AART|2ASPD	17DMG|2LEGI|3RPLT|47aVULN|57ASPD|6RCR|7BPWR|8BEXP|9AART
82	12135 34432	 * 	192.71	ACR|2VULN|2AART|1DMG|2FLTHEA|1CDMG	19VULN|2DMG|3RCR|49LHND|5CDMG|6LIT|7aAART|89FLTHEA|9BPWR
83	12312 61653	 * 	192.56	DCR|3DMG|2VULN|1AART|2ASPD|1DUR	17VULN|278DMG|3CGEN|4LIT|5AART|67ASPD|7BPWR|9DUR|aRCR
84	24116 23234	   	192.32	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	19DMG|26VULN|3RCR|4RCVC|56DUR|6BPWR|7CDMG|8CGEN|aAART
85	52123 63314	   	192.10	ACR|2VULN|1AART|1DMG|3DUR|2ASPD|1CDMG	14aDUR|2DMG|3RCR|5AART|6aASPD|7CDMG|8CGEN|9aVULN|aBPWR
86	12126 21126	 * 	191.43	ACR|2VULN|2DMG|2AART|3DUR	18VULN|26DMG|3RCR|456DUR|6BPWR|7FEWX|9aAART
87	52113 63314	   	191.38	ACR|2VULN|1AART|1DMG|2ASPD|1CDMG|2DUR	1aDUR|2DMG|3RCR|4RCVC|5AART|6aASPD|7CDMG|8CGEN|9aVULN|aBPWR
88	52123 61141	   	191.33	ACR|2VULN|2DMG|1AART|3DUR|1ASPD	14aDUR|2aDMG|3RCR|5AART|6ASPD|7BEXP|8RCVC|9aVULN|aBPWR
89	12125 21231	   	191.12	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	1aVULN|2aDMG|3RCR|46DUR|5CDMG|7AART|8RPLT|9aLHND|aBPWR
90	12125 21261	   	191.12	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	1aVULN|2aDMG|3RCR|46DUR|5CDMG|7AART|8RPLT|9aLWND|aBPWR
91	24125 21231	   	191.12	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	1aDMG|2aVULN|3RCR|46DUR|5CDMG|7AART|8RPLT|9aLHND|aBPWR
92	24125 21261	   	191.12	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	1aDMG|2aVULN|3RCR|46DUR|5CDMG|7AART|8RPLT|9aLWND|aBPWR
93	32125 21261	   	191.12	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	1aFEWX|2aDMG|3RCR|46DUR|5CDMG|7AART|8RPLT|9aVULN|aBPWR
94	12115 33526	   	191.07	ACR|4VULN|2DMG|2ZMB	1689VULN|28DMG|3RCR|47aRCVC|58ZMB|8BPWR
95	12126 22425	   	190.99	ACR|2VULN|2DMG|1AART|3DUR|1ZMB	1aVULN|26DMG|3RCR|456DUR|6BPWR|7CGEN|8ZMB|9AART
96	12312 13352	 * 	190.97	DCR|4VULN|2DMG|1AART	167aVULN|2aDMG|3CGEN|4LIT|5AART|8RCR|9aLWND|aBPWR
97	12312 13362	   	190.97	DCR|4VULN|2DMG|1AART	167aVULN|2aDMG|3CGEN|4LIT|5AART|8RCR|9aBEXP|aBPWR
98	24312 13352	   	190.97	DCR|4VULN|2DMG|1AART	1aDMG|267aVULN|3CGEN|4LIT|5AART|8RCR|9aLWND|aBPWR
99	24312 13362	   	190.97	DCR|4VULN|2DMG|1AART	1aDMG|267aVULN|3CGEN|4LIT|5AART|8RCR|9aBEXP|aBPWR
100	23125 21261	   	190.92	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	1aDMG|2aDUST|3RCR|46DUR|5CDMG|7AART|8RPLT|9aVULN|aBPWR
101	26112 26231	 * 	190.80	ACR|3AART|2DMG|2VULN|1ASPD	16DMG|2LEGI|3RCR|4RCVC|56VULN|6BPWR|789AART|aASPD
102	26112 26234	   	190.80	ACR|3AART|2DMG|2VULN|1DUR	16DMG|2LEGI|3RCR|4RCVC|56VULN|6BPWR|789AART|aDUR
103	12166 33132	   	190.49	ACR|3VULN|2DMG|1AART|1ZMB	18aVULN|26DMG|3RCR|4LIT|5MLV|7ZMB|9AART
104	24166 33132	   	190.49	ACR|3VULN|2DMG|1AART|1ZMB	16DMG|28aVULN|3RCR|4LIT|5MLV|7ZMB|9AART
105	52113 61141	   	190.48	ACR|2VULN|2DMG|1AART|2DUR|1ASPD	1aDUR|2aDMG|3RCR|48RCVC|5AART|6ASPD|7BEXP|9aVULN|aBPWR
106	21112 22261	   	190.43	ACR|3VULN|2DMG|1AART|1DUR	19DMG|26LWND|3RCR|4RCVC|569VULN|69BPWR|79MLV|8AART|aDUR
107	52122 23622	   	190.42	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	14DUR|26DMG|3RCR|56VULN|6BPWR|7CDMG|8AART|9LIT|aMLV
108	52122 23623	   	190.42	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	14DUR|26DMG|3RCR|56VULN|6BPWR|7CDMG|8AART|9LIT|aLWND
109	52122 23631	   	190.42	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	14DUR|26DMG|3RCR|56VULN|6BPWR|7CDMG|8AART|9LWND|aRMIN
110	52122 23635	   	190.42	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	14DUR|26DMG|3RCR|56VULN|6BPWR|7CDMG|8AART|9LWND|aLHND
111	52122 23636	   	190.42	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	14DUR|26DMG|3RCR|56VULN|6BPWR|7CDMG|8AART|9LWND|aFEWX
112	52122 23641	   	190.42	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	14DUR|26DMG|3RCR|56VULN|6BPWR|7CDMG|8AART|9FEWX|aRMIN
113	12122 24341	   	190.42	ACR|2VULN|2DMG|1AART|2ASPD|2DUR	1aVULN|2aDMG|3RCR|47DUR|5LWND|6aASPD|8AART|9DMSP|aBPWR
114	12126 54331	   	190.42	ACR|2VULN|2DMG|1AART|2ASPD|2DUR	1aVULN|2aDMG|3RCR|45DUR|69LHND|7aASPD|8AART|aBPWR
115	12136 24331	   	190.42	ACR|2VULN|2DMG|1AART|2ASPD|2DUR	1aVULN|2aDMG|3RCR|49LHND|57DUR|6aASPD|8AART|aBPWR
116	12136 24341	   	190.42	ACR|2VULN|2DMG|1AART|2ASPD|2DUR	1aVULN|2aDMG|3RCR|4LHND|57DUR|6aASPD|8AART|9DMSP|aBPWR
117	24122 24341	   	190.42	ACR|2VULN|2DMG|1AART|2ASPD|2DUR	1aDMG|2aVULN|3RCR|47DUR|5LWND|6aASPD|8AART|9DMSP|aBPWR
118	24136 24331	   	190.42	ACR|2VULN|2DMG|1AART|2ASPD|2DUR	1aDMG|2aVULN|3RCR|49LHND|57DUR|6aASPD|8AART|aBPWR
119	24126 22413	   	190.39	ACR|2VULN|2DMG|1AART|3DUR|1ZMB	19DMG|26VULN|3RCR|456DUR|6BPWR|7CGEN|8ZMB|aAART
120	52122 23611	   	190.32	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	14DUR|26DMG|3RCR|56VULN|6BPWR|7CDMG|8AART|9ERES|aBEXP
121	52122 23613	   	190.32	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	14DUR|26DMG|3RCR|56VULN|6BPWR|7CDMG|8AART|9ERES|aCGEN
122	52122 23614	   	190.32	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	14DUR|26DMG|3RCR|56VULN|6BPWR|7CDMG|8AART|9ERES|aLWND
123	52122 23625	   	190.32	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	14DUR|26DMG|3RCR|56VULN|6BPWR|7CDMG|8AART|9LIT|aERES
124	52122 23633	   	190.32	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	14DUR|26DMG|3RCR|56VULN|6BPWR|7CDMG|8AART|9LWND|aTLV
125	52122 23634	   	190.32	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	14DUR|26DMG|3RCR|56VULN|6BPWR|7CDMG|8AART|9LWND|aLSRREG
126	52122 23643	   	190.32	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	14DUR|26DMG|3RCR|56VULN|6BPWR|7CDMG|8AART|9FEWX|aTLV
127	52122 23615	   	190.22	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	14DUR|26DMG|3RCR|56VULN|6BPWR|7CDMG|8AART|9ERES|aDUST
128	13412 61115	   	190.01	DCR|3VULN|2DMG|1AART|1ZMB|1ASPD	179VULN|27CGEN|3ASPD|4LIT|5AART|67DMG|7BPWR|8ZMB|aRCR
129	12115 33522	   	189.92	ACR|4VULN|2DMG|2ZMB	1689VULN|28DMG|3RCR|47RCVC|58ZMB|8BPWR|aTLV
130	24115 33522	   	189.92	ACR|4VULN|2DMG|2ZMB	18DMG|2689VULN|3RCR|47RCVC|58ZMB|8BPWR|aTLV
131	12112 23526	   	189.76	ACR|4VULN|2DMG|2ASPD	1589VULN|28DMG|3RCR|47aRCVC|68ASPD|8BPWR
132	24112 23526	   	189.76	ACR|4VULN|2DMG|2ASPD	18DMG|2589VULN|3RCR|47aRCVC|68ASPD|8BPWR
133	24126 21126	 * 	189.50	ACR|3VULN|2AART|1DMG|3DUR	1DMG|268VULN|3RCR|456DUR|6BPWR|7FEWX|9aAART
134	12112 23534	   	189.47	ACR|3VULN|2DMG|2ZMB|2ASPD	158VULN|28DMG|3RCR|47RCVC|68ASPD|8BPWR|9aZMB
135	24112 23534	   	189.47	ACR|3VULN|2DMG|2ZMB|2ASPD	18DMG|258VULN|3RCR|47RCVC|68ASPD|8BPWR|9aZMB
136	12115 33531	   	189.45	ACR|3VULN|2DMG|3ZMB	168VULN|28DMG|3RCR|47RCVC|589ZMB|8BPWR|aBEXP
137	12115 33532	   	189.45	ACR|3VULN|2DMG|3ZMB	168VULN|28DMG|3RCR|47RCVC|589ZMB|8BPWR|aRMIN
138	12115 33535	   	189.45	ACR|3VULN|2DMG|3ZMB	168VULN|28DMG|3RCR|47RCVC|589ZMB|8BPWR|aCGEN
139	24115 33531	   	189.45	ACR|3VULN|2DMG|3ZMB	18DMG|268VULN|3RCR|47RCVC|589ZMB|8BPWR|aBEXP
140	24115 33532	   	189.45	ACR|3VULN|2DMG|3ZMB	18DMG|268VULN|3RCR|47RCVC|589ZMB|8BPWR|aRMIN
141	52213 52213	   	189.40	DCR|2VULN|2DMG|1AART|2ASPD|2DUR	17DUR|2aDMG|3RPLT|47VULN|57ASPD|6RCR|7BPWR|8LHND|9AART
142	12115 33534	   	189.35	ACR|3VULN|2DMG|3ZMB	168VULN|28DMG|3RCR|47RCVC|589ZMB|8BPWR|aERES
143	52213 52113	   	189.30	DCR|2VULN|2DMG|1AART|2ASPD|2DUR	17DUR|2aDMG|3RPLT|47VULN|57ASPD|6RCR|7BPWR|8LEGI|9AART
144	24165 22132	   	189.23	ACR|3VULN|2DMG|1AART|1DUR	1aDMG|28aVULN|3RCR|4LIT|5DUR|6aERES|7AART|9RCVC|aBPWR
145	12165 22132	   	189.23	ACR|3VULN|2DMG|1AART|1DUR	18aVULN|2aDMG|3RCR|4LIT|5DUR|6aERES|7AART|9RCVC|aBPWR
146	52122 23264	   	189.22	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	14DUR|26DMG|3RCR|56VULN|6BPWR|7CDMG|8CGEN|9LWND|aAART
147	52122 26134	   	189.22	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	14DUR|26DMG|3RCR|56VULN|6BPWR|7DMSP|8CDMG|9RMIN|aAART
148	52112 25521	   	189.06	ACR|3DMG|2VULN|2DUR|1ZMB|1ASPD	19DUR|268DMG|3RCR|4RCVC|56VULN|6BPWR|7ASPD|aZMB
149	12142 11535	   	188.93	ACR|3VULN|2DMG|1AART|1DUR	17aVULN|2aDMG|3RCR|4ERES|5AART|6DUR|8RMIN|9aCGEN|aBPWR
150	12112 23522	   	188.61	ACR|4VULN|2DMG|2ASPD	1589VULN|28DMG|3RCR|47RCVC|68ASPD|8BPWR|aTLV
151	24112 23522	   	188.61	ACR|4VULN|2DMG|2ASPD	18DMG|2589VULN|3RCR|47RCVC|68ASPD|8BPWR|aTLV
152	52122 25153	   	188.61	ACR|3VULN|2DMG|1FLTHEA|2DUR|1ASPD	14DUR|26DMG|3RCR|569VULN|6BPWR|7ASPD|8LWND|aFLTHEA
153	12116 25531	   	188.59	ACR|3DMG|2VULN|3DUR|2ASPD	1aVULN|268DMG|3RCR|4RCVC|56aDUR|6aBPWR|7aASPD|9DLOT
154	52122 25253	   	188.51	ACR|3VULN|2DMG|1FLTHEA|2DUR|1ASPD	14DUR|26DMG|3RCR|569VULN|6BPWR|7ASPD|8DUST|aFLTHEA
155	52122 25421	   	188.51	ACR|3VULN|2DMG|1CDMG|2DUR|1ASPD	14DUR|26DMG|3RCR|56aVULN|6BPWR|7ASPD|8CDMG|9TLV
156	52122 25431	   	188.51	ACR|3DMG|2VULN|1CDMG|2DUR|1ASPD	14DUR|269DMG|3RCR|56VULN|6BPWR|7ASPD|8CDMG|aDUST
157	12166 33133	   	188.49	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	18VULN|26DMG|3RCR|4LIT|5MLV|7ZMB|9AART|aCDMG
158	24166 33133	   	188.49	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	16DMG|28VULN|3RCR|4LIT|5MLV|7ZMB|9AART|aCDMG
159	52122 25432	   	188.36	ACR|3DMG|2VULN|1CDMG|2DUR|1ASPD|1SELL	14DUR|269DMG|3RCR|56VULN|6BPWR|7ASPD|8CDMG|aSELL
160	12125 21334	   	188.35	ACR|2VULN|1AART|1DMG|3DUR|1CDMG|1ZMB	1aVULN|2DMG|3RCR|46aDUR|5CDMG|7AART|8ZMB|9aCGEN|aBPWR
161	24125 21334	   	188.35	ACR|2DMG|1AART|1VULN|3DUR|1CDMG|1ZMB	1aDMG|2VULN|3RCR|46aDUR|5CDMG|7AART|8ZMB|9aCGEN|aBPWR
162	52112 23622	   	188.23	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUR|26DMG|3RCR|4RCVC|56VULN|6BPWR|7CDMG|8AART|9LIT|aMLV
163	52112 23623	   	188.23	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUR|26DMG|3RCR|4RCVC|56VULN|6BPWR|7CDMG|8AART|9LIT|aLWND
