0	Index      	 *	Score 	Summary	Detail	
1	51521 11422	 * 	201.28	DCR|3VULN|2AART|1DMG|1FLTHEA|1ZMB	145VULN|24LWND|37AART|4BPWR|6RCR|8ZMB|9FLTHEA|aDMG
85	52121 55313	   	178.07	DCR|4VULN|2DMG|1ZMB	125aVULN|2aBPWR|3DUST|4aBEXP|6ZMB|7RCR|8LWND|9aDMG
86	52421 64213	   	178.07	DCR|4VULN|2DMG|1ZMB	125aVULN|2aBPWR|3MBVNT|4aBEXP|6ZMB|7RCR|8FEWX|9aDMG
87	52421 64313	   	178.07	DCR|4VULN|2DMG|1ZMB	125aVULN|2aBPWR|3MBVNT|4aBEXP|6ZMB|7RCR|8LWND|9aDMG
88	35352 15311	   	178.03	ACR|2VULN|2DMG|2CDMG|1ZMB|1DUR	18DMG|2ERES|3RCR|48VULN|5DUR|6FEWX|78CDMG|8BPWR|9ZMB|aMLV
89	35352 35311	   	178.03	ACR|2VULN|2DMG|2CDMG|1ZMB|1DUR	18DMG|2ERES|3RCR|48VULN|5DUR|6LHND|78CDMG|8BPWR|9ZMB|aMLV
90	35352 15313	   	177.93	ACR|2VULN|2DMG|2CDMG|1ZMB|1DUR	18DMG|2aERES|3RCR|48VULN|5DUR|6FEWX|78CDMG|8BPWR|9ZMB
91	35352 25311	   	177.93	ACR|2VULN|2DMG|2CDMG|1ZMB|1DUR	18DMG|2ERES|3RCR|48VULN|5DUR|6DUST|78CDMG|8BPWR|9ZMB|aMLV
92	35352 35313	   	177.93	ACR|2VULN|2DMG|2CDMG|1ZMB|1DUR	18DMG|2aERES|3RCR|48VULN|5DUR|6LHND|78CDMG|8BPWR|9ZMB
93	32223 52141	   	177.86	DCR|3VULN|3DMG|1DUR	135DMG|279VULN|4DMSP|6RCR|8DUR|aRPLT
94	32223 52142	   	177.86	DCR|3VULN|3DMG|1DUR	135DMG|279VULN|4DMSP|6RCR|8DUR|aLIT
95	32223 52143	   	177.86	DCR|3VULN|3DMG|1DUR	135DMG|279VULN|4DMSP|6RCR|8DUR|aBEXP
96	32223 52146	   	177.86	DCR|3VULN|3DMG|1DUR	135DMG|279VULN|4DMSP|6RCR|8DUR|aLWND
97	35352 25313	   	177.83	ACR|2VULN|2DMG|2CDMG|1ZMB|1DUR	18DMG|2aERES|3RCR|48VULN|5DUR|6DUST|78CDMG|8BPWR|9ZMB
98	35633 22322	   	177.72	DCR|2VULN|2DMG|1AART|1ZMB	15DMG|2ERES|3RCVC|4ZMB|6RCR|78VULN|9AART|aCGEN
99	35633 22324	   	177.72	DCR|2VULN|2DMG|1AART|1ZMB	15DMG|2ERES|3RCVC|4ZMB|6RCR|78VULN|9AART|aBEXP
100	35633 22326	   	177.72	DCR|2VULN|2DMG|1AART|1ZMB	15DMG|2ERES|3RCVC|4ZMB|6RCR|78VULN|9AART|aDMSP
101	13331 66633	   	177.64	ACR|3VULN|3DMG|1ZMB	1aLIT|2ZMB|37aDMG|4FEWX|5RCR|6ERES|89aVULN|aBPWR
102	35633 22521	 * 	177.64	DCR|2DMG|1AART|1VULN|2ZMB|1CDMG	15DMG|2ERES|3RCVC|48ZMB|6RCR|7VULN|9AART|aCDMG
103	35633 22325	   	177.62	DCR|2DMG|2VULN|1AART|1ZMB	15DMG|2ERES|3RCVC|4ZMB|6RCR|78VULN|9AART|aLEGI
104	51521 11224	 * 	177.60	DCR|4VULN|2AART|1DUR	1459VULN|24LWND|37AART|4BPWR|6RCR|8RPLT|aDUR
105	51521 11263	   	177.60	DCR|4VULN|2AART|1DUR	145aVULN|24LWND|37AART|4BPWR|6RCR|8RPLT|9DUR
106	51521 16112	   	177.60	DCR|4VULN|2AART|1DUR	1458VULN|24LWND|39AART|4BPWR|6RCR|7LHND|aDUR
107	32223 21333	   	177.47	DCR|3VULN|3DMG|2ASPD	135DMG|27aVULN|4DMSP|6aASPD|8aLHND|9RCR|aBPWR
108	32223 21533	   	177.47	DCR|3VULN|3DMG|2ASPD	135DMG|27aVULN|4DMSP|6aASPD|8aLWND|9RCR|aBPWR
109	55233 14222	 * 	177.37	DCR|5VULN|1DMG|2CDMG	1456aVULN|27CDMG|3LHND|8DMG|9RCR
110	32243 35312	   	177.37	DCR|3DMG|2VULN|1AART	139DMG|29VULN|4CGEN|5SNIHEL|69LIT|7RCR|8AART|9BPWR|aRPLT
111	32243 35313	   	177.37	DCR|3DMG|2VULN|1AART	139DMG|29VULN|4CGEN|5SNIHEL|69LIT|7RCR|8AART|9BPWR|aLHND
112	32243 35314	   	177.37	DCR|3DMG|2VULN|1AART	139DMG|29VULN|4CGEN|5SNIHEL|69LIT|7RCR|8AART|9BPWR|aLWND
113	32243 35316	   	177.37	DCR|3DMG|2VULN|1AART	139DMG|29VULN|4CGEN|5SNIHEL|69LIT|7RCR|8AART|9BPWR|aMLV
114	32244 35312	   	177.37	DCR|3DMG|2VULN|1AART	139DMG|29VULN|4CGEN|5AIRHEA|69LIT|7RCR|8AART|9BPWR|aRPLT
115	32244 35313	   	177.37	DCR|3DMG|2VULN|1AART	139DMG|29VULN|4CGEN|5AIRHEA|69LIT|7RCR|8AART|9BPWR|aLHND
116	51521 12341	   	177.16	DCR|4VULN|1AART|1ZMB|1DUR	1459VULN|24LWND|3AART|4BPWR|6RCR|7CGEN|8DUR|aZMB
117	51521 11125	   	177.15	DCR|3VULN|2AART|1FLTHEA|1DUR	145VULN|24LWND|37AART|4BPWR|6RCR|8RMIN|9FLTHEA|aDUR
118	32413 23536	   	177.13	DCR|2VULN|2DMG|2CDMG|3DUR	19DMG|25VULN|3BELT|489DUR|6RCR|79CDMG|9BPWR|aRCVC
119	32246 33343	   	177.11	DCR|3VULN|2DMG|1AART|1ASPD	13DMG|259VULN|45CGEN|5BPWR|6ASPD|7LIT|8AART|aRCR
120	36221 21623	 * 	177.06	DCR|3DMG|2VULN|3ZMB	139DMG|2LHND|4DMSP|5RCVC|679ZMB|89VULN|9BPWR|aRCR
121	32152 56123	   	177.02	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	14aDMG|2VULN|3FEWX|5LHND|6ZMB|7RCR|8DUR|9AART
122	32233 56123	   	177.02	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	13aDMG|2VULN|4LHND|5BEXP|6ZMB|7RCR|8DUR|9AART
123	32211 36343	   	177.01	DCR|3VULN|2DMG|1AART|1ASPD	13DMG|279VULN|4LIT|5ASPD|6RMIN|8AART|aRCR
124	32211 65343	   	177.01	DCR|3VULN|2DMG|1AART|1ASPD	13DMG|279VULN|4LIT|5ASPD|6CGEN|8AART|aRCR
125	32262 56123	   	176.92	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	13aDMG|2VULN|4DUST|5LHND|6ZMB|7RCR|8DUR|9AART
126	32443 23313	   	176.86	DCR|2VULN|2DMG|1AART|1CDMG	1aDMG|25VULN|3BELT|4LEGI|6RCR|7CDMG|8DUST|9AART
127	31462 25112	   	176.82	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	14DMG|2DUR|3BELT|5VULN|6RCR|7ZMB|8CDMG|9CGEN|aAART
128	31462 25133	   	176.82	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	14DMG|2DUR|3BELT|5VULN|6RCR|7ZMB|8CDMG|9BEXP|aAART
129	32413 25112	   	176.82	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DMG|25VULN|3BELT|4DUR|6RCR|7ZMB|8CDMG|9CGEN|aAART
130	32413 25133	   	176.82	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DMG|25VULN|3BELT|4DUR|6RCR|7ZMB|8CDMG|9BEXP|aAART
131	35362 52122	   	176.72	ACR|4VULN|2DMG|1DUR	16DMG|2ERES|3RCR|4LIT|568aVULN|6BPWR|7FEWX|9DUR
132	32413 25142	   	176.72	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DMG|25VULN|3BELT|4DUR|6RCR|7ZMB|8CDMG|9ERES|aAART
133	51521 11522	   	176.63	DCR|3VULN|2AART|1DMG	145VULN|24LWND|37AART|4BPWR|6RCR|8CGEN|9LSRICY|aDMG
134	51521 22341	 * 	176.62	DCR|4VULN|1AART|1DMG|1DUR	1459VULN|24LWND|3AART|4BPWR|6DMG|7BEXP|8DUR|aRCR
135	31231 61516	 * 	176.60	DCR|3DMG|1AART|2ZMB|1CDMG|1ASPD|1DUR	136DMG|2DUR|47ZMB|5AART|8CDMG|9ASPD|aRCR
136	51521 13222	   	176.53	DCR|3VULN|2AART|1DMG	145VULN|24LWND|38AART|4BPWR|6RCR|7TLV|9LSRICY|aDMG
137	31231 35435	 * 	176.49	DCR|2AART|2DMG|1VULN|1ZMB|1DUR	13DMG|2DUR|4ZMB|59AART|6aRCVC|7VULN|8RCR
138	35631 22321	   	176.46	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DMG|2ERES|35RCVC|4ZMB|6RCR|78VULN|9AART|aCDMG
139	31231 26643	   	176.27	DCR|3DMG|1AART|1VULN|2ZMB|1DUR	138DMG|2DUR|48ZMB|5AART|678CGEN|8BPWR|9VULN|aRCR
140	52221 15216	   	176.20	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	12VULN|2BPWR|34BEXP|5DUR|6CDMG|78DMG|9RCR|aAART
141	35351 12215	   	176.17	ACR|3VULN|2DMG|1CDMG|1DUR	1aDMG|2ERES|3RCR|459VULN|6CDMG|7DUR|8MLV
142	35352 52133	   	176.17	ACR|3VULN|2DMG|2ASPD|1DUR	1aDMG|27ERES|3RCR|48aVULN|5DUR|6LIT|9aASPD|aBPWR
143	31241 13166	   	176.11	DCR|3DMG|1AART|1VULN|2DUR	139DMG|2aDUR|4CGEN|5AART|6RCR|7LWND|8VULN
144	51521 13163	   	176.08	DCR|3VULN|1AART|1DMG|1ZMB	145VULN|24LWND|3AART|4BPWR|6RCR|7TLV|8CGEN|9DMG|aZMB
145	31432 61123	   	176.05	DCR|3DMG|2VULN|1CDMG|1DUR	18aDMG|2DUR|3BELT|4aLHND|5CDMG|6RCR|7LIT|9aVULN|aBPWR
146	31463 22623	   	176.05	DCR|3DMG|2VULN|1CDMG|1DUR	14aDMG|2DUR|3BELT|5aLHND|6RCR|7LIT|8CDMG|9aVULN|aBPWR
147	31231 61163	   	175.97	DCR|3DMG|1AART|1VULN|2ZMB|1DUR	136DMG|2DUR|47ZMB|5AART|8VULN|9ERES|aRCR
148	31112 11566	   	175.95	DCR|2VULN|2DMG|1AART|2DUR	1aDMG|2aDUR|3FEWX|4LHND|5RPLT|6RCVC|7RCR|8aVULN|9AART|aBPWR
149	32223 52111	   	175.85	DCR|3DMG|2VULN|1CDMG|1DUR	135DMG|27VULN|4DMSP|6RCR|8DUR|9CDMG|aMLV
150	32223 52116	   	175.85	DCR|3DMG|2VULN|1CDMG|1DUR	135DMG|27VULN|4DMSP|6RCR|8DUR|9CDMG|aLIT
151	31462 23253	   	175.85	DCR|3DMG|2VULN|1CDMG|1DUR	14aDMG|2DUR|3BELT|59VULN|6RCR|7CDMG|8BEXP
152	32413 21553	   	175.85	DCR|3VULN|2DMG|1CDMG|1DUR	1aDMG|259VULN|3BELT|4DUR|6RCR|7FEWX|8CDMG
153	32413 23253	   	175.85	DCR|3VULN|2DMG|1CDMG|1DUR	1aDMG|259VULN|3BELT|4DUR|6RCR|7CDMG|8BEXP
154	32413 23316	   	175.85	DCR|3VULN|2DMG|1CDMG|1DUR	1aDMG|25aVULN|3BELT|4DUR|6RCR|7CDMG|8aDUST|9DMSP|aBPWR
155	31533 36315	 * 	175.84	DCR|3DMG|1VULN|2CDMG|2ZMB|1DUR	18aDMG|2DUR|3RCVC|48ZMB|5CGEN|6VULN|78CDMG|8BPWR|9RCR
156	31415 33431	   	175.82	DCR|2VULN|2DMG|2CDMG|3DUR	19DMG|24aDUR|35BELT|6RCR|79VULN|89CDMG|9BPWR
157	32413 23532	   	175.82	DCR|2VULN|2DMG|2CDMG|3DUR	19DMG|25VULN|3BELT|489DUR|6RCR|79CDMG|9BPWR|aLHND
158	32223 52113	   	175.75	DCR|3DMG|2VULN|1CDMG|1DUR	135DMG|27VULN|4DMSP|6RCR|8DUR|9CDMG|aERES
159	31462 23126	   	175.75	DCR|3DMG|2VULN|1CDMG|1DUR	149DMG|2DUR|3BELT|5aVULN|6RCR|7CDMG|8BASICY
160	32413 23336	   	175.75	DCR|3VULN|2DMG|1CDMG|1DUR	1aDMG|25aVULN|3BELT|4DUR|6RCR|7CDMG|89aDUST|aBPWR
161	32413 23453	   	175.75	DCR|3VULN|2DMG|1CDMG|1DUR	1aDMG|259VULN|3BELT|4DUR|6RCR|7CDMG|8LEGI
162	35321 46312	   	175.75	ACR|3VULN|2DMG|2CDMG	19DMG|2ERES|3RCR|468BEXP|59aVULN|79CDMG|9BPWR
163	35321 46313	 * 	175.75	ACR|3DMG|2VULN|2CDMG	19aDMG|2ERES|3RCR|468BEXP|59VULN|79CDMG|9BPWR
164	32413 23531	   	175.72	DCR|2VULN|2DMG|2CDMG|3DUR	19DMG|25VULN|3BELT|489DUR|6RCR|79CDMG|9BPWR|aTLV
165	32413 23535	   	175.72	DCR|2VULN|2DMG|2CDMG|3DUR	19DMG|25VULN|3BELT|489DUR|6RCR|79CDMG|9BPWR|aDUST
166	52231 51513	   	175.67	DCR|4VULN|2DMG|1ZMB	125aVULN|2aBPWR|3aBEXP|4FEWX|6ZMB|7MBVNT|8RCR|9aDMG
167	52121 51513	   	175.47	DCR|4VULN|2DMG|1ZMB	125aVULN|2aBPWR|3aDUST|4BEXP|6ZMB|7MBVNT|8RCR|9aDMG
168	52131 51513	   	175.47	DCR|4VULN|2DMG|1ZMB	125aVULN|2aBPWR|3aDUST|4FEWX|6ZMB|7MBVNT|8RCR|9aDMG
169	51521 25321	   	175.47	DCR|3VULN|2DMG|1AART	145VULN|24LWND|3AART|4BPWR|67DMG|8ERES|9RCR|aDMSP
170	32123 21432	   	175.43	DCR|3VULN|2DMG|2CDMG	19DMG|25aVULN|39FEWX|47BELT|6RCR|89CDMG|9BPWR
171	32423 23442	   	175.43	DCR|3VULN|2DMG|2CDMG	19DMG|29aVULN|3BELT|4MLV|5CGEN|6RCR|79CDMG|8DMSP|9BPWR
