0	Index      	 *	Score 	Summary	Detail	
1	26213 53622	 * 	203.72	DCR|3VULN|2DMG|1AART|1CDMG|1ZMB	18aVULN|2CDMG|3RMIN|48DMG|5AART|68CANHEL|7RCR|8BPWR|9ZMB
131	25333 56313	   	176.07	DCR|3VULN|2DMG|1AART	189VULN|25DMG|3FEWX|4LIT|6RMIN|7RCR|aAART
132	25144 61513	   	175.78	DCR|3VULN|1DMG|2ASPD|1CDMG|1ZMB	15aVULN|2DMG|3MBVNT|49ASPD|6RCR|7ZMB|8CDMG
133	25144 66213	   	175.75	DCR|3VULN|2DMG|1CDMG|1ASPD	15aVULN|28DMG|3MBVNT|4ASPD|6RCR|7RPLT|9CDMG
134	25142 63112	   	175.65	DCR|3VULN|2DMG|2ASPD|1DUR	189VULN|2aDMG|3MBVNT|45ASPD|6RCR|7DUR
135	25142 63132	   	175.65	DCR|3DMG|2VULN|2ASPD|1DUR	18VULN|29aDMG|3MBVNT|45ASPD|6RCR|7DUR
136	16422 21247	 * 	175.58	DCR|2VULN|2DMG|1AART|2CDMG	1LHND|26CDMG|3LWND|47VULN|56DMG|6BPWR|8MBVNT|9RCR|aAART
137	26624 22312	   	175.13	DCR|3VULN|1AART|1DMG|1CDMG	158VULN|2CDMG|3LIT|4CGEN|6RCR|7FEWX|9AART|aDMG
138	25136 32313	   	175.03	DCR|3VULN|1AART|1DMG|1CDMG	178VULN|2DMG|3MBVNT|4LIT|5CDMG|6RCR|9AART|aFEWX
139	25136 32316	   	175.03	DCR|3VULN|1AART|1DMG|1CDMG	178VULN|2DMG|3MBVNT|4LIT|5CDMG|6RCR|9AART|aRCVC
140	25136 32317	   	175.03	DCR|3VULN|1AART|1DMG|1CDMG	178VULN|2DMG|3MBVNT|4LIT|5CDMG|6RCR|9AART|aBEXP
141	25136 32318	   	175.03	DCR|3VULN|1AART|1DMG|1CDMG	178VULN|2DMG|3MBVNT|4LIT|5CDMG|6RCR|9AART|aRPLT
142	26624 23312	   	175.03	DCR|3VULN|1AART|1DMG|1CDMG	158VULN|2CDMG|3LIT|4CGEN|6RCR|7DUST|9AART|aDMG
143	23312 13454	   	175.02	DCR|2VULN|2DMG|1AART|1ZMB	12VULN|3MLV|4ZMB|5LHND|6RCR|7RCVC|8AART|9aDMG
144	23313 13454	   	175.02	DCR|2VULN|2DMG|1AART|1ZMB	12VULN|3MLV|4ZMB|5LWND|6RCR|7RCVC|8AART|9aDMG
145	25136 32311	   	174.93	DCR|3VULN|1AART|1DMG|1CDMG	178VULN|2DMG|3MBVNT|4LIT|5CDMG|6RCR|9AART|aERES
146	25136 32314	   	174.93	DCR|3VULN|1AART|1DMG|1CDMG	178VULN|2DMG|3MBVNT|4LIT|5CDMG|6RCR|9AART|aDUST
147	23212 24164	   	174.72	DCR|4VULN|1AART|1DMG|1DUR	1256VULN|3LIT|4DMG|7LWND|8DUR|9RCR|aAART
148	25144 64147	   	174.66	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	158VULN|2DMG|3MBVNT|4ASPD|6RCR|7BEXP|9DUR|aAART
149	25144 63127	   	174.66	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	158VULN|2DMG|3MBVNT|4ASPD|6RCR|7DUR|9BEXP|aAART
150	25136 32326	   	174.43	DCR|3VULN|1AART|1DMG|1CDMG	178VULN|2DMG|3MBVNT|4LIT|5CDMG|6RCR|9BEXP|aAART
151	23136 25122	   	174.34	DCR|5VULN|1DMG|2DUR	1268aVULN|3DUST|4DMG|59DUR|7RCR
152	25144 63133	   	174.34	DCR|3VULN|2DMG|2DUR|1ASPD	158VULN|29DMG|3MBVNT|4ASPD|6RCR|7aDUR
153	25144 63172	   	174.34	DCR|3VULN|2DMG|2DUR|1ASPD	158VULN|2aDMG|3MBVNT|4ASPD|6RCR|79DUR
154	23326 36523	   	174.15	DCR|3VULN|2AART|2ASPD|1DUR	128VULN|3MLV|49AART|58BEXP|68ASPD|7RCR|8BPWR|aDUR
155	31142 22658	   	174.09	ACR|3VULN|2DMG|1AART	179ERES|27LIT|3MBVNT|4BELT|5RCR|679VULN|79BPWR|89DMG|aAART
156	23212 13412	   	174.03	DCR|4VULN|1DMG|1CDMG|1ZMB	1259VULN|3LIT|4DMG|6ZMB|7RCR|8LWND|aCDMG
157	23212 13612	   	174.03	DCR|4VULN|1DMG|1CDMG|1ZMB	1259VULN|3LIT|4DMG|6ZMB|7RCR|8LHND|aCDMG
158	13362 25162	   	173.80	DCR|4VULN|2DMG|1ASPD	1LHND|2468VULN|3DUST|5ASPD|7RCR|9aDMG
159	23136 25142	   	173.80	DCR|4VULN|2DMG|1DUR	1268VULN|3DUST|4aDMG|5DUR|7RCR|9CGEN
160	23136 25161	   	173.80	DCR|4VULN|2DMG|1DUR	1268VULN|3DUST|49DMG|5DUR|7RCR|aLWND
161	23136 25163	   	173.80	DCR|4VULN|2DMG|1DUR	1268VULN|3DUST|49DMG|5DUR|7RCR|aFEWX
162	23632 15162	   	173.80	DCR|4VULN|2DMG|1DUR	128aVULN|3RCVC|49DMG|5DUST|6DUR|7RCR
163	25232 15162	   	173.80	DCR|4VULN|2DMG|1DUR	148aVULN|29DMG|3DMSP|5DUST|6DUR|7RCR
