0	Index      	 *	Score 	Summary	Detail	
1	32812 66334	 * 	206.87	ACR|3VULN|3DMG|1AART|2DUR	1MBVNT|289VULN|3RCR|4BEXP|59DUR|679DMG|9BPWR|aAART
85	11126 13414	   	188.98	DCR|4VULN|1AART|1DMG|1ZMB	1AART|2369VULN|4LIT|5DMG|7RCR|8CGEN|aZMB
86	11131 13414	   	188.98	DCR|4VULN|1AART|1DMG|1ZMB	1AART|2369VULN|4DMG|5LIT|7RCR|8CGEN|aZMB
87	11431 13414	   	188.98	DCR|4VULN|1AART|1DMG|1ZMB	1AART|2369VULN|3BPWR|4DMG|5LIT|7RCR|8CGEN|aZMB
88	11144 32533	   	188.93	ACR|5VULN|1AART|2CDMG	1AART|2389aVULN|4LHND|5RCR|68CGEN|78CDMG|8BPWR
89	11126 13114	   	188.88	DCR|4VULN|1AART|1DMG|1ZMB	1AART|2369VULN|4LIT|5DMG|7RCR|8ERES|aZMB
90	11131 13114	   	188.88	DCR|4VULN|1AART|1DMG|1ZMB	1AART|2369VULN|4DMG|5LIT|7RCR|8ERES|aZMB
91	11426 13114	   	188.88	DCR|4VULN|1AART|1DMG|1ZMB	1AART|2369VULN|3BPWR|4LIT|5DMG|7RCR|8ERES|aZMB
92	11431 13114	   	188.88	DCR|4VULN|1AART|1DMG|1ZMB	1AART|2369VULN|3BPWR|4DMG|5LIT|7RCR|8ERES|aZMB
93	11126 13346	   	188.76	DCR|3VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1AART|236VULN|4LIT|5DMG|7RCR|8DUR|9ASPD|aZMB
94	11131 13346	   	188.76	DCR|3VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1AART|236VULN|4DMG|5LIT|7RCR|8DUR|9ASPD|aZMB
95	11431 13346	   	188.76	DCR|3VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1AART|236VULN|3BPWR|4DMG|5LIT|7RCR|8DUR|9ASPD|aZMB
96	32852 24115	   	188.73	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1MBVNT|246VULN|3RCR|5CDMG|7DMG|8ASPD|9DUR|aAART
97	11126 13636	   	188.53	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1AART|236VULN|4LIT|5DMG|7RCR|8CDMG|9RPLT|aZMB
98	11126 13661	   	188.53	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1AART|236VULN|4LIT|5DMG|7RCR|8CDMG|9MLV|aZMB
99	11131 13636	   	188.53	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1AART|236VULN|4DMG|5LIT|7RCR|8CDMG|9RPLT|aZMB
100	11131 13661	   	188.53	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1AART|236VULN|4DMG|5LIT|7RCR|8CDMG|9MLV|aZMB
101	11431 13636	   	188.53	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1AART|236VULN|3BPWR|4DMG|5LIT|7RCR|8CDMG|9RPLT|aZMB
102	11431 13661	   	188.53	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1AART|236VULN|3BPWR|4DMG|5LIT|7RCR|8CDMG|9MLV|aZMB
103	11126 13234	   	188.41	DCR|3VULN|2DMG|1AART|1DUR	1AART|236VULN|4LIT|58DMG|7RCR|9DUR|aCGEN
104	11126 13562	   	188.41	DCR|3VULN|2DMG|1AART|1DUR	1AART|236VULN|4LIT|59DMG|7RCR|8LHND|aDUR
105	11131 13234	   	188.41	DCR|3VULN|2DMG|1AART|1DUR	1AART|236VULN|48DMG|5LIT|7RCR|9DUR|aCGEN
106	11131 13562	   	188.41	DCR|3VULN|2DMG|1AART|1DUR	1AART|236VULN|49DMG|5LIT|7RCR|8LHND|aDUR
107	11426 13234	   	188.41	DCR|3VULN|2DMG|1AART|1DUR	1AART|236VULN|3BPWR|4LIT|58DMG|7RCR|9DUR|aCGEN
108	11431 13234	   	188.41	DCR|3VULN|2DMG|1AART|1DUR	1AART|236VULN|3BPWR|48DMG|5LIT|7RCR|9DUR|aCGEN
109	11431 13562	   	188.41	DCR|3VULN|2DMG|1AART|1DUR	1AART|236VULN|3BPWR|49DMG|5LIT|7RCR|8LHND|aDUR
110	11123 43235	   	188.41	DCR|3DMG|2VULN|1AART|1DUR	1AART|23VULN|45LIT|68aDMG|7RCR|9DUR
111	11126 13315	   	188.41	DCR|3VULN|2DMG|1AART|1DUR	1AART|236VULN|4LIT|5aDMG|7RCR|8DUR|9BEXP
112	11126 13325	   	188.41	DCR|3VULN|2DMG|1AART|1DUR	1AART|236VULN|4LIT|5aDMG|7RCR|8DUR|9FEWX
113	11126 13364	   	188.41	DCR|3VULN|2DMG|1AART|1DUR	1AART|236VULN|4LIT|59DMG|7RCR|8DUR|aCGEN
114	11131 13315	   	188.41	DCR|3VULN|2DMG|1AART|1DUR	1AART|236VULN|4aDMG|5LIT|7RCR|8DUR|9BEXP
115	11131 13325	   	188.41	DCR|3VULN|2DMG|1AART|1DUR	1AART|236VULN|4aDMG|5LIT|7RCR|8DUR|9FEWX
116	11131 13364	   	188.41	DCR|3VULN|2DMG|1AART|1DUR	1AART|236VULN|49DMG|5LIT|7RCR|8DUR|aCGEN
117	11136 46231	   	188.41	DCR|3VULN|2DMG|1AART|1ASPD	1AART|23aVULN|4aDMG|5LSRICY|6ASPD|7RCR|8BELT|9aERES|aBPWR
118	11423 43235	   	188.41	DCR|3DMG|2VULN|1AART|1DUR	1AART|23VULN|3BPWR|45LIT|68aDMG|7RCR|9DUR
119	11426 13315	   	188.41	DCR|3VULN|2DMG|1AART|1DUR	1AART|236VULN|3BPWR|4LIT|5aDMG|7RCR|8DUR|9BEXP
120	11426 13325	   	188.41	DCR|3VULN|2DMG|1AART|1DUR	1AART|236VULN|3BPWR|4LIT|5aDMG|7RCR|8DUR|9FEWX
121	11431 13315	   	188.41	DCR|3VULN|2DMG|1AART|1DUR	1AART|236VULN|3BPWR|4aDMG|5LIT|7RCR|8DUR|9BEXP
122	11431 13325	   	188.41	DCR|3VULN|2DMG|1AART|1DUR	1AART|236VULN|3BPWR|4aDMG|5LIT|7RCR|8DUR|9FEWX
123	11431 13364	   	188.41	DCR|3VULN|2DMG|1AART|1DUR	1AART|236VULN|3BPWR|49DMG|5LIT|7RCR|8DUR|aCGEN
124	11123 43365	   	188.41	DCR|3DMG|2VULN|1AART|1DUR	1AART|23VULN|45LIT|69aDMG|7RCR|8DUR
125	11126 13233	   	188.31	DCR|3VULN|2DMG|1AART|1DUR	1AART|236VULN|4LIT|58DMG|7RCR|9DUR|aBASHEA
126	11131 13233	   	188.31	DCR|3VULN|2DMG|1AART|1DUR	1AART|236VULN|48DMG|5LIT|7RCR|9DUR|aBASHEA
127	11426 13233	   	188.31	DCR|3VULN|2DMG|1AART|1DUR	1AART|236VULN|3BPWR|4LIT|58DMG|7RCR|9DUR|aBASHEA
128	11431 13233	   	188.31	DCR|3VULN|2DMG|1AART|1DUR	1AART|236VULN|3BPWR|48DMG|5LIT|7RCR|9DUR|aBASHEA
129	11126 13355	   	188.31	DCR|3VULN|2DMG|1AART|1DUR	1AART|236VULN|4LIT|5aDMG|7RCR|8DUR|9DUST
130	11126 13363	   	188.31	DCR|3VULN|2DMG|1AART|1DUR	1AART|236VULN|4LIT|59DMG|7RCR|8DUR|aBASHEA
131	11131 13355	   	188.31	DCR|3VULN|2DMG|1AART|1DUR	1AART|236VULN|4aDMG|5LIT|7RCR|8DUR|9DUST
132	11131 13363	   	188.31	DCR|3VULN|2DMG|1AART|1DUR	1AART|236VULN|49DMG|5LIT|7RCR|8DUR|aBASHEA
133	11426 13363	   	188.31	DCR|3VULN|2DMG|1AART|1DUR	1AART|236VULN|3BPWR|4LIT|59DMG|7RCR|8DUR|aBASHEA
134	11431 13355	   	188.31	DCR|3VULN|2DMG|1AART|1DUR	1AART|236VULN|3BPWR|4aDMG|5LIT|7RCR|8DUR|9DUST
135	11431 13363	   	188.31	DCR|3VULN|2DMG|1AART|1DUR	1AART|236VULN|3BPWR|49DMG|5LIT|7RCR|8DUR|aBASHEA
136	32851 46341	   	187.75	ACR|3VULN|1AART|1DMG|2ASPD|1ZMB	1MBVNT|249VULN|3RCR|5ZMB|69LHND|7AART|89ASPD|9BPWR|aDMG
137	32433 63817	   	187.60	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	1MBVNT|29VULN|39DUR|4LWND|5BEXP|69DMG|7RCR|8AART|9BPWR|aCDMG
138	32452 24715	   	187.57	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1MBVNT|246VULN|3DUR|5CDMG|7DMG|8RCR|9ZMB|aAART
139	32812 66433	 * 	187.49	ACR|3VULN|3DMG|3DUR	1MBVNT|29aVULN|3RCR|4BEXP|589DUR|679DMG|9BPWR
140	32263 16722	 * 	187.45	ACR|4VULN|2AART|2CDMG	1MBVNT|2789VULN|39CDMG|4RCR|5aAART|69LWND|9BPWR
141	32263 26412	   	187.45	ACR|4VULN|2AART|2CDMG	1MBVNT|2789VULN|38CDMG|4RCR|5aAART|68FEWX|8BPWR
142	32263 61722	   	187.45	ACR|4VULN|2AART|2CDMG	1MBVNT|2689VULN|39CDMG|4RCR|5aAART|79LWND|9BPWR
143	32172 41713	   	187.28	DCR|3VULN|1AART|2FLTHEA|2ZMB|1ASPD	1MBVNT|28aVULN|3RCVC|4AART|58FLTHEA|68ZMB|7RCR|8BPWR|9ASPD
144	32852 24814	   	187.18	ACR|3VULN|2DMG|1CDMG|1ZMB|1DUR	1MBVNT|246VULN|3RCR|5CDMG|7aDMG|8DUR|9ZMB
145	32812 71814	   	187.03	ACR|3VULN|2DMG|1AART|1DUR	1MBVNT|29aVULN|3RCR|49BEXP|5DUR|6DUST|79DMG|8AART|9BPWR
146	11125 43362	   	187.00	DCR|2AART|2VULN|2DMG|1DUR	1aAART|23VULN|4LIT|5RCVC|69DMG|7RCR|8DUR
147	11125 43232	   	187.00	DCR|2AART|2VULN|2DMG|1DUR	1aAART|23VULN|4LIT|5RCVC|68DMG|7RCR|9DUR
148	11425 43232	   	187.00	DCR|2AART|2VULN|2DMG|1DUR	1aAART|23VULN|3BPWR|4LIT|5RCVC|68DMG|7RCR|9DUR
149	11152 62136	   	186.77	DCR|3VULN|2DMG|1AART	1AART|23aVULN|4AIRHEL|5RCVC|6RCR|7RPLT|8aBEXP|9aDMG|aBPWR
150	15232 63141	   	186.77	DCR|3AART|2VULN|2DMG|2DUR	137AART|28DUR|48DMG|5RMIN|68VULN|8BPWR|9LIT|aRCR
151	32233 51554	   	186.20	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1MBVNT|28VULN|3CDMG|4DUST|5AART|6RCR|7aDMG|9ASPD
152	32233 52564	   	186.20	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1MBVNT|28VULN|3CDMG|4DUST|5AART|6RCR|7ASPD|9aDMG
153	32233 56454	   	186.20	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1MBVNT|27VULN|3CDMG|4DUST|5AART|6RCR|8aDMG|9ASPD
154	11142 11412	   	186.13	DCR|3VULN|1AART|1DMG|1FLTHEA|1ZMB	1AART|239VULN|4LHND|5FLTHEA|6LIT|7ZMB|8RCR|aDMG
155	11162 11416	   	186.13	DCR|3VULN|1AART|1DMG|1FLTHEA|1ZMB	1AART|239VULN|4LWND|5FLTHEA|6LIT|7ZMB|8RCR|aDMG
156	11442 11412	   	186.13	DCR|3VULN|1AART|1DMG|1FLTHEA|1ZMB	1AART|239VULN|3BPWR|4LHND|5FLTHEA|6LIT|7ZMB|8RCR|aDMG
157	32262 33257	 * 	186.08	ACR|2VULN|2DMG|3ZMB|2CDMG	1MBVNT|2aVULN|3aCDMG|4RCR|579ZMB|6aDMG|8RPLT|aBPWR
158	11124 35411	   	185.91	DCR|3VULN|2AART|2DMG	18AART|239VULN|4LIT|5RPLT|69DMG|79MLV|9BPWR|aRCR
159	11116 62423	 * 	185.88	DCR|3VULN|1AART|1DMG|2CDMG|1ASPD	1AART|235VULN|45ERES|5BPWR|68CDMG|7ASPD|9RCR|aDMG
160	32223 56124	   	185.85	DCR|3VULN|1AART|1DMG|2CDMG	1MBVNT|279VULN|39CDMG|49LHND|5AART|6RCR|8RCVC|9BPWR|aDMG
161	36243 56124	   	185.85	DCR|3VULN|1AART|1DMG|2CDMG	1MBVNT|29LHND|39CDMG|479VULN|5AART|6RCR|8RCVC|9BPWR|aDMG
162	32262 33425	 * 	185.78	ACR|2DMG|3ZMB|1AART|1VULN|1CDMG	1MBVNT|2VULN|3CDMG|4RCR|578ZMB|6aDMG|9AART
163	32233 54523	 * 	185.78	DCR|2VULN|2DMG|1AART|2CDMG	1MBVNT|2aVULN|3aCDMG|4DUST|5AART|6RCR|7BELT|8LIT|9aDMG|aBPWR
164	11126 13335	   	185.77	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|236VULN|4LIT|5DMG|7RCR|8DUR|9CDMG|aRCVC
165	11126 13625	   	185.77	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|236VULN|4LIT|5DMG|7RCR|8CDMG|9DUR|aRCVC
166	11131 13335	   	185.77	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|236VULN|4DMG|5LIT|7RCR|8DUR|9CDMG|aRCVC
167	11131 13625	   	185.77	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|236VULN|4DMG|5LIT|7RCR|8CDMG|9DUR|aRCVC
168	11426 13335	   	185.77	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|236VULN|3BPWR|4LIT|5DMG|7RCR|8DUR|9CDMG|aRCVC
169	11431 13335	   	185.77	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|236VULN|3BPWR|4DMG|5LIT|7RCR|8DUR|9CDMG|aRCVC
170	11431 13625	   	185.77	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|236VULN|3BPWR|4DMG|5LIT|7RCR|8CDMG|9DUR|aRCVC
171	32852 24415	   	185.75	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	1MBVNT|246VULN|3RCR|5CDMG|7DMG|8DUST|9ZMB|aAART
172	32813 68334	 * 	185.74	ACR|4VULN|3DMG	1MBVNT|289aVULN|3RCR|4aBEXP|579LWND|69aDMG|9aBPWR
173	32233 56124	   	185.65	DCR|3VULN|1AART|1DMG|2CDMG	1MBVNT|279VULN|39CDMG|49DUST|5AART|6RCR|8RCVC|9BPWR|aDMG
174	37864 33334	   	185.54	ACR|4VULN|3DMG	1MBVNT|259DUST|3RCR|45aDMG|59aBPWR|69aLWND|789aVULN
175	32831 68334	   	185.54	ACR|4VULN|3DMG	1MBVNT|289aVULN|3RCR|479LWND|5LEGI|69aDMG|9aBPWR
176	32812 66434	   	185.48	ACR|3DMG|2VULN|3DUR|1CDMG	1MBVNT|29VULN|3RCR|4BEXP|589DUR|679DMG|9BPWR|aCDMG
