0	Index      	 *	Score 	Summary	Detail	
1	32243 31563	 * 	200.65	ACR|3VULN|2DMG|1AART|2CDMG	19aVULN|2LEGI|3AART|4RCR|5aDMG|6TLV|7CGEN|8aCDMG|aBPWR
26	32242 31144	   	189.69	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	18VULN|2LEGI|3AART|4RCR|5MBVNT|68LIT|78DMG|8BPWR|9ZMB|aCDMG
27	32242 31851	 * 	189.59	ACR|2VULN|2DMG|1AART|2ASPD|1ZMB	19VULN|2LEGI|3AART|4RCR|5MBVNT|6LIT|79DMG|89ASPD|9BPWR|aZMB
28	32243 66122	   	189.59	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1aVULN|2LEGI|3AART|4RCR|58DMG|6FEWX|7CDMG|9ZMB
29	41263 11623	   	189.37	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	14LHND|24VULN|3AART|4BPWR|5aDMG|6BEXP|7RCR|8CDMG|9ZMB
30	31222 36534	 * 	189.23	DCR|4VULN|1AART|1DMG|1CDMG	1248VULN|3CDMG|5LIT|6RCR|7RPLT|9AART|aDMG
31	32263 21523	   	189.17	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	14VULN|2LEGI|3AART|4BPWR|5aDMG|6LWND|7RCR|8CDMG|9ZMB
32	41313 43232	   	188.94	ACR|3VULN|2DMG|1AART|1CDMG	1LHND|23aVULN|4CGEN|5RCR|67DMG|8AART|9CDMG
33	32243 23442	   	188.81	ACR|2AART|2DMG|2VULN|2DUR	19VULN|2LEGI|3aAART|4RCR|58DMG|69CGEN|79DUR|9BPWR
34	31611 54312	   	188.69	ACR|4VULN|2DMG|1AART	126aVULN|38DMG|4ERES|5RCR|7RPLT|9AART
35	31621 51623	   	188.07	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	12VULN|3aDMG|4BEXP|5AART|6LWND|7RCR|8CDMG|9ZMB
36	32243 15445	   	188.00	ACR|4VULN|1AART|1DMG|1ZMB	179aVULN|2LEGI|3AART|4RCR|5DMG|6MBVNT|8ZMB
37	32243 15127	 * 	188.00	ACR|3VULN|2AART|1DMG|1CDMG	178VULN|2LEGI|39AART|4RCR|5DMG|6MBVNT|aCDMG
38	32243 15136	   	188.00	ACR|3VULN|2AART|1DMG|1CDMG	178VULN|2LEGI|3aAART|4RCR|5DMG|6MBVNT|9CDMG
39	31254 11413	 * 	187.93	5VULN|2DMG|3ZMB|1AART|1CDMG	1278aVULN|3CDMG|4AART|59aZMB|6aDMG|aBPWR
40	41263 11126	 * 	187.88	DCR|3VULN|2AART|1DMG|1CDMG	14LHND|248VULN|39AART|4BPWR|5DMG|6BEXP|7RCR|aCDMG
41	41263 11135	   	187.88	DCR|3VULN|2AART|1DMG|1CDMG	14LHND|248VULN|3aAART|4BPWR|5DMG|6BEXP|7RCR|9CDMG
42	32263 11154	   	187.68	DCR|4VULN|1AART|1DMG|1ZMB	148aVULN|2LEGI|3AART|4BPWR|5DMG|6BEXP|7RCR|9ZMB
43	32263 21154	   	187.68	DCR|4VULN|1AART|1DMG|1ZMB	148aVULN|2LEGI|3AART|4BPWR|5DMG|6LWND|7RCR|9ZMB
44	32263 11126	   	187.68	DCR|3VULN|2AART|1DMG|1CDMG	148VULN|2LEGI|39AART|4BPWR|5DMG|6BEXP|7RCR|aCDMG
45	32263 11135	   	187.68	DCR|3VULN|2AART|1DMG|1CDMG	148VULN|2LEGI|3aAART|4BPWR|5DMG|6BEXP|7RCR|9CDMG
46	32263 41126	   	187.68	DCR|3VULN|2AART|1DMG|1CDMG	148VULN|2LEGI|39AART|4BPWR|5DMG|6FEWX|7RCR|aCDMG
47	32263 41135	   	187.68	DCR|3VULN|2AART|1DMG|1CDMG	148VULN|2LEGI|3aAART|4BPWR|5DMG|6FEWX|7RCR|9CDMG
48	32243 46123	 * 	187.65	ACR|3DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|2LEGI|3AART|4RCR|58aDMG|6LWND|7CDMG|9ZMB
49	32242 14153	   	187.55	ACR|3DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|2LEGI|3AART|4RCR|5MBVNT|6CDMG|78aDMG|9ZMB
50	32243 17153	   	187.55	ACR|3DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|2LEGI|3AART|4RCR|58aDMG|6MBVNT|7CDMG|9ZMB
51	31631 32342	   	187.53	ACR|3VULN|2DMG|2AART	129VULN|39DMG|4CGEN|5RCR|6LWND|7aAART|89LHND|9BPWR
52	31631 32542	   	187.53	ACR|3VULN|2DMG|2AART	129VULN|39DMG|4CGEN|5RCR|6LWND|7aAART|89BEXP|9BPWR
53	32313 42342	   	187.43	ACR|3VULN|2DMG|2AART	139VULN|2LEGI|4CGEN|5RCR|69DMG|7aAART|89LHND|9BPWR
54	32313 42442	   	187.43	ACR|3VULN|2DMG|2AART	139VULN|2LEGI|4CGEN|5RCR|69DMG|7aAART|89LWND|9BPWR
55	34131 61242	 * 	187.42	DCR|3VULN|2DMG|1AART|2ASPD	179VULN|29ASPD|3CGEN|4ERES|5AART|69DMG|8RCVC|9BPWR|aRCR
56	31631 32142	   	187.33	ACR|3VULN|2DMG|2AART	129VULN|39DMG|4CGEN|5RCR|6LWND|7aAART|89DUST|9BPWR
57	32313 42142	   	187.23	ACR|3VULN|2DMG|2AART	139VULN|2LEGI|4CGEN|5RCR|69DMG|7aAART|89DUST|9BPWR
58	31222 31126	   	187.11	DCR|4VULN|1AART|1CDMG|1ZMB|1ASPD	1248VULN|3CDMG|5LIT|6RCR|7ZMB|9AART|aASPD
59	31621 51135	   	186.58	DCR|3VULN|2AART|1DMG|1CDMG	128VULN|3DMG|4BEXP|5aAART|6LWND|7RCR|9CDMG
60	31641 11126	   	186.58	DCR|3VULN|2AART|1DMG|1CDMG	128VULN|3DMG|4FEWX|59AART|6BEXP|7RCR|aCDMG
61	31641 21135	   	186.58	DCR|3VULN|2AART|1DMG|1CDMG	128VULN|3DMG|4FEWX|5aAART|6LWND|7RCR|9CDMG
62	31222 31123	 * 	186.48	DCR|4VULN|1AART|2CDMG|1ZMB	1248VULN|3aCDMG|5LIT|6RCR|7ZMB|9AART
63	31254 11361	   	186.37	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	127VULN|3CDMG|4AART|5ZMB|6DMG|8ERES|9ASPD|aRCR
64	31641 21622	   	186.13	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	12aVULN|3DMG|4FEWX|5AART|6LWND|7RCR|8CDMG|9ZMB
65	12566 21113	 * 	186.08	DCR|3VULN|1AART|1DMG|2CDMG|1DUR	15CDMG|2LWND|3BEXP|458VULN|5BPWR|6DUR|7RCR|9AART|aDMG
66	23623 32243	   	185.90	DCR|3VULN|2DMG|1AART|2DUR	18DUR|2LHND|38DMG|4DUST|5AIRHEA|6AART|78aVULN|8BPWR|9RCR
67	32242 31854	   	185.52	ACR|2VULN|2DMG|1AART|2ASPD|1DUR	19VULN|2LEGI|3AART|4RCR|5MBVNT|6LIT|79DMG|89ASPD|9BPWR|aDUR
68	41313 45232	 * 	185.45	ACR|4VULN|1AART|1DMG|1CDMG	1LHND|237aVULN|4CGEN|5RCR|6DMG|8AART|9CDMG
69	32242 14162	   	185.42	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1aVULN|2LEGI|3AART|4RCR|5MBVNT|6CDMG|78DMG|9DUR
70	32243 17162	   	185.42	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1aVULN|2LEGI|3AART|4RCR|58DMG|6MBVNT|7CDMG|9DUR
71	32242 16243	   	184.90	ACR|2VULN|2DMG|1AART|2CDMG	17VULN|2LEGI|3AART|4RCR|5MBVNT|67CDMG|7BPWR|8CGEN|9aDMG
72	32242 14177	   	184.80	ACR|2VULN|2DMG|1AART|2CDMG	19VULN|2LEGI|3AART|4RCR|5MBVNT|6aCDMG|78DMG
73	32242 16327	   	184.80	ACR|2VULN|2DMG|1AART|2CDMG	17VULN|2LEGI|3AART|4RCR|5MBVNT|67CDMG|7BPWR|8DUST|9aDMG
74	32242 16743	   	184.80	ACR|2VULN|2DMG|1AART|2CDMG	17VULN|2LEGI|3AART|4RCR|5MBVNT|67CDMG|7BPWR|8TLV|9aDMG
75	21611 11155	   	184.46	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUR|28VULN|3aDMG|4RCVC|5AART|6BEXP|7RCR|9ZMB
76	21611 21155	   	184.46	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUR|28VULN|3aDMG|4RCVC|5AART|6LWND|7RCR|9ZMB
77	41263 21134	   	183.82	DCR|4VULN|1AART|1DMG|1ASPD	14LHND|248aVULN|3AART|4BPWR|5DMG|6LWND|7RCR|9ASPD
78	21432 33146	   	183.70	DCR|3VULN|2DMG|1AART|2DUR	17DUR|278VULN|3MLV|4LIT|5RPLT|67DMG|7BPWR|9RCR|aAART
79	41243 23433	   	183.69	ACR|3DMG|1AART|1VULN|1CDMG|1DUR	1LHND|2VULN|3AART|4RCR|58aDMG|6CGEN|7DUR|9CDMG
80	32263 21134	   	183.62	DCR|4VULN|1AART|1DMG|1ASPD	148aVULN|2LEGI|3AART|4BPWR|5DMG|6LWND|7RCR|9ASPD
81	32243 23433	   	183.59	ACR|3DMG|1AART|1VULN|1CDMG|1DUR	1VULN|2LEGI|3AART|4RCR|58aDMG|6CGEN|7DUR|9CDMG
82	41243 15133	   	183.59	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1LHND|278VULN|3AART|4RCR|5DMG|6MBVNT|9CDMG|aDUR
83	31624 43322	 * 	183.57	DCR|4VULN|2DMG|1AART	1258VULN|37DMG|4BEXP|6LIT|9AART|aRCR
84	23623 32224	   	183.50	DCR|3VULN|2DMG|1AART|2DUR	18DUR|2LHND|38DMG|4DUST|5AIRHEA|6AART|789VULN|8BPWR|aRCR
85	32242 14167	   	183.49	ACR|3DMG|1AART|1VULN|1CDMG|1DUR	1VULN|2LEGI|3AART|4RCR|5MBVNT|6CDMG|78aDMG|9DUR
86	32242 31156	   	183.42	ACR|2AART|2VULN|2DMG|1DUR	18VULN|2LEGI|39AART|4RCR|5MBVNT|68LIT|78DMG|8BPWR|aDUR
87	31222 31165	   	183.37	DCR|4VULN|1DMG|1CDMG|1ZMB|1ASPD	1248VULN|3CDMG|5LIT|6RCR|7ZMB|9ASPD|aDMG
88	31222 31543	   	183.37	DCR|4VULN|1DMG|1CDMG|1ZMB|1DUR	1249VULN|3CDMG|5LIT|6RCR|7ZMB|8DUR|aDMG
89	41263 11133	   	183.37	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	14LHND|248VULN|3AART|4BPWR|5DMG|6BEXP|7RCR|9CDMG|aDUR
90	41263 41133	   	183.37	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	14LHND|248VULN|3AART|4BPWR|5DMG|6FEWX|7RCR|9CDMG|aDUR
91	32242 13683	   	183.35	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	1VULN|2LEGI|37AART|4RCR|5MBVNT|6CDMG|8ZMB|9aDMG
92	32242 14158	   	183.35	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	1VULN|2LEGI|3aAART|4RCR|5MBVNT|6CDMG|78DMG|9ZMB
93	32263 21552	   	183.17	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	14aVULN|2LEGI|3AART|4BPWR|5DMG|6LWND|7RCR|8CDMG|9DUR
94	32263 11133	   	183.17	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	148VULN|2LEGI|3AART|4BPWR|5DMG|6BEXP|7RCR|9CDMG|aDUR
95	63421 32123	 * 	183.17	DCR|3DMG|1AART|1VULN|1CDMG|1DUR	1MLV|2DUST|3AART|4CDMG|5VULN|6DUR|7RCR|89aDMG
96	32246 15322	   	183.06	ACR|3VULN|1AART|1DMG|2CDMG	17aVULN|2LEGI|3AART|4RCR|57LWND|67CDMG|7BPWR|8DUST|9DMG
97	41242 16322	   	183.06	ACR|3VULN|1AART|1DMG|2CDMG	17LHND|27aVULN|3AART|4RCR|5MBVNT|67CDMG|7BPWR|8DUST|9DMG
98	31222 32145	   	183.02	DCR|4VULN|2DMG|1CDMG	1247VULN|3CDMG|5LIT|6RCR|8aDMG|9RPLT
99	34433 21132	   	183.00	DCR|2AART|2DMG|2VULN|1ASPD	18VULN|2ASPD|3aAART|4CGEN|59DMG|6LWND|7RCR
100	34463 21132	   	183.00	DCR|2AART|2VULN|2DMG|1ASPD	18VULN|2ASPD|3aAART|4MLV|59DMG|6LWND|7RCR
101	32242 31145	   	182.97	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	18VULN|2LEGI|3AART|4RCR|5MBVNT|68LIT|78DMG|8BPWR|9ZMB|aDUR
102	31611 32342	   	182.93	ACR|3VULN|2DMG|1AART|1ASPD	129VULN|39DMG|4ERES|5RCR|6LWND|7AART|89LHND|9BPWR|aASPD
103	31611 32542	   	182.93	ACR|3VULN|2DMG|1AART|1ASPD	129VULN|39DMG|4ERES|5RCR|6LWND|7AART|89BEXP|9BPWR|aASPD
104	34453 21132	   	182.90	DCR|2AART|2VULN|2DMG|1ASPD	18VULN|2ASPD|3aAART|4TLV|59DMG|6LWND|7RCR
105	32243 11255	   	182.89	ACR|3VULN|2DMG|1AART	19aVULN|2LEGI|3AART|4RCR|59DMG|6MBVNT|7RCVC|89CGEN|9BPWR
106	32243 11256	   	182.89	ACR|3DMG|2VULN|1AART	19VULN|2LEGI|3AART|4RCR|59aDMG|6MBVNT|7RCVC|89CGEN|9BPWR
107	32242 16322	   	182.86	ACR|3VULN|1AART|1DMG|2CDMG	17aVULN|2LEGI|3AART|4RCR|5MBVNT|67CDMG|7BPWR|8DUST|9DMG
108	32243 15137	   	182.86	ACR|3VULN|1AART|1DMG|2CDMG	178VULN|2LEGI|3AART|4RCR|5DMG|6MBVNT|9aCDMG
109	32243 15411	   	182.77	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	17VULN|2LEGI|3AART|4RCR|5aDMG|6MBVNT|8ZMB|9DUR
110	31113 42365	 * 	182.75	DCR|4VULN|2DMG|1FLTHEA|1ASPD	124aVULN|3CGEN|5aERES|6FLTHEA|7ASPD|8aDMG|9RCR|aBPWR
111	41263 11136	   	182.74	DCR|3VULN|1AART|1DMG|2CDMG	14LHND|248VULN|3AART|4BPWR|5DMG|6BEXP|7RCR|9aCDMG
112	31611 32142	   	182.73	ACR|3VULN|2DMG|1AART|1ASPD	129VULN|39DMG|4ERES|5RCR|6LWND|7AART|89DUST|9BPWR|aASPD
113	32263 11136	   	182.54	DCR|3VULN|1AART|1DMG|2CDMG	148VULN|2LEGI|3AART|4BPWR|5DMG|6BEXP|7RCR|9aCDMG
114	32263 41136	   	182.54	DCR|3VULN|1AART|1DMG|2CDMG	148VULN|2LEGI|3AART|4BPWR|5DMG|6FEWX|7RCR|9aCDMG
115	21611 11154	   	182.53	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1DUR|28aVULN|3DMG|4RCVC|5AART|6BEXP|7RCR|9ZMB
116	21611 21154	   	182.53	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1DUR|28aVULN|3DMG|4RCVC|5AART|6LWND|7RCR|9ZMB
117	24321 63433	   	182.46	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1DUR|2ASPD|36VULN|4DUST|5ZMB|7RCR|8AART|9CDMG|aDMG
118	41313 43253	   	182.23	ACR|3DMG|2VULN|1AART|1DUR	1LHND|23VULN|4CGEN|5RCR|679DMG|8AART|aDUR
119	31621 51133	   	182.07	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	128VULN|3DMG|4BEXP|5AART|6LWND|7RCR|9CDMG|aDUR
120	31641 11133	   	182.07	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	128VULN|3DMG|4FEWX|5AART|6BEXP|7RCR|9CDMG|aDUR
121	31641 21133	   	182.07	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	128VULN|3DMG|4FEWX|5AART|6LWND|7RCR|9CDMG|aDUR
122	32263 63222	   	181.81	DCR|3VULN|2DMG|1AART|1ASPD	149VULN|2LEGI|3AART|4BPWR|56DMG|7ASPD|8RCVC|aRCR
123	34611 21132	   	181.80	DCR|2AART|2DMG|2VULN|1ASPD	18VULN|2ASPD|39DMG|4CGEN|5aAART|6LWND|7RCR
124	34621 31132	   	181.80	DCR|2AART|2DMG|2VULN|1ASPD	18VULN|2ASPD|39DMG|4LWND|5aAART|6CGEN|7RCR
125	23623 32246	   	181.69	DCR|2VULN|2DMG|2AART|2DUR	18DUR|2LHND|38DMG|4DUST|5AIRHEA|6aAART|78VULN|8BPWR|9RCR
126	31631 33643	   	181.63	ACR|3DMG|2VULN|1AART|1DUR	12VULN|378DMG|4CGEN|5RCR|6LWND|9AART|aDUR
127	31611 33643	   	181.53	ACR|3DMG|2VULN|1AART|1DUR	12VULN|378DMG|4ERES|5RCR|6LWND|9AART|aDUR
128	31222 36634	   	181.44	DCR|3VULN|1AART|1DMG|2CDMG	124VULN|38CDMG|5LIT|6RCR|7RPLT|9AART|aDMG
129	31621 51136	   	181.44	DCR|3VULN|1AART|1DMG|2CDMG	128VULN|3DMG|4BEXP|5AART|6LWND|7RCR|9aCDMG
130	31641 11136	   	181.44	DCR|3VULN|1AART|1DMG|2CDMG	128VULN|3DMG|4FEWX|5AART|6BEXP|7RCR|9aCDMG
131	31641 21136	   	181.44	DCR|3VULN|1AART|1DMG|2CDMG	128VULN|3DMG|4FEWX|5AART|6LWND|7RCR|9aCDMG
132	31254 11613	 * 	181.41	4VULN|2DMG|3ZMB|1AART|2CDMG	127aVULN|38CDMG|4AART|59aZMB|6aDMG|aBPWR
133	32242 16128	 * 	181.37	ACR|3VULN|1AART|3CDMG|2DUR	17aVULN|2LEGI|3AART|4RCR|5MBVNT|67aCDMG|7aBPWR|8aDUR|9RPLT
134	21234 22123	   	181.37	DCR|3DMG|1AART|1VULN|1CDMG|1DUR	1DUR|2VULN|3CDMG|4MLV|5DUST|6AART|7RCR|89aDMG
135	21244 22123	   	181.37	DCR|3DMG|1AART|1VULN|1CDMG|1DUR	1DUR|2VULN|3CDMG|4DUST|5MLV|6AART|7RCR|89aDMG
136	21241 22123	   	181.27	DCR|3DMG|1AART|1VULN|1CDMG|1DUR	1DUR|2VULN|3CDMG|4DUST|5ERES|6AART|7RCR|89aDMG
137	34415 32123	 * 	181.15	ACR|2AART|2VULN|1DMG|2ASPD|1ZMB	16VULN|26ASPD|38AART|4RPLT|5RCR|6BPWR|7RMIN|9DMG|aZMB
138	21611 11126	   	180.97	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1DUR|28VULN|3DMG|4RCVC|59AART|6BEXP|7RCR|aCDMG
139	21611 41126	   	180.97	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1DUR|28VULN|3DMG|4RCVC|59AART|6FEWX|7RCR|aCDMG
140	32243 15415	   	180.84	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	17aVULN|2LEGI|3AART|4RCR|5DMG|6MBVNT|8ZMB|9DUR
141	32243 15162	   	180.84	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	178VULN|2LEGI|3AART|4RCR|5DMG|6MBVNT|9ZMB|aASPD
142	32243 15164	   	180.84	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	178VULN|2LEGI|3AART|4RCR|5DMG|6MBVNT|9ZMB|aDUR
143	32243 15442	   	180.84	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	179VULN|2LEGI|3AART|4RCR|5DMG|6MBVNT|8ZMB|aASPD
144	32243 15444	   	180.84	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	179VULN|2LEGI|3AART|4RCR|5DMG|6MBVNT|8ZMB|aDUR
145	41313 42633	   	180.82	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1LHND|23VULN|4CGEN|5RCR|6aDMG|7AART|8DUR|9CDMG
146	41263 11152	   	180.72	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	14LHND|248VULN|3AART|4BPWR|5DMG|6BEXP|7RCR|9ZMB|aASPD
147	41263 21152	   	180.72	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	14LHND|248VULN|3AART|4BPWR|5DMG|6LWND|7RCR|9ZMB|aASPD
148	32242 31183	   	180.69	ACR|3VULN|2DMG|1AART	18aVULN|2LEGI|3AART|4RCR|5MBVNT|68LIT|78DMG|8BPWR|9BEXP
149	32243 15251	   	180.69	ACR|3VULN|2DMG|1AART	179VULN|2LEGI|3AART|4RCR|59DMG|6MBVNT|89aCGEN|9BPWR
150	32243 15254	   	180.69	ACR|3VULN|2DMG|1AART	179VULN|2LEGI|3AART|4RCR|59DMG|6MBVNT|89CGEN|9BPWR|aFEWX
151	32243 15253	   	180.59	ACR|3VULN|2DMG|1AART	179VULN|2LEGI|3AART|4RCR|59DMG|6MBVNT|89CGEN|9BPWR|aDUST
152	31641 11243	   	180.57	DCR|3VULN|2DMG|1AART	129VULN|39DMG|4FEWX|5AART|6BEXP|7RCR|89CGEN|9BPWR|aRCVC
153	21611 21623	   	180.52	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1DUR|2VULN|3aDMG|4RCVC|5AART|6LWND|7RCR|8CDMG|9ZMB
154	32263 11152	   	180.52	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	148VULN|2LEGI|3AART|4BPWR|5DMG|6BEXP|7RCR|9ZMB|aASPD
155	32263 21152	   	180.52	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	148VULN|2LEGI|3AART|4BPWR|5DMG|6LWND|7RCR|9ZMB|aASPD
156	32263 41152	   	180.52	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	148VULN|2LEGI|3AART|4BPWR|5DMG|6FEWX|7RCR|9ZMB|aASPD
157	32223 61244	   	180.37	DCR|3VULN|2DMG|1AART	19aVULN|2LEGI|3AART|46FEWX|59DMG|7RCR|89CGEN|9BPWR
158	32223 61245	 * 	180.37	DCR|3DMG|2VULN|1AART	19VULN|2LEGI|3AART|46FEWX|59aDMG|7RCR|89CGEN|9BPWR
159	32263 11245	   	180.37	DCR|3VULN|2DMG|1AART	149VULN|2LEGI|3AART|49BPWR|5aDMG|69BEXP|7RCR|89CGEN
160	32263 21245	   	180.37	DCR|3VULN|2DMG|1AART	149VULN|2LEGI|3AART|49BPWR|5aDMG|69LWND|7RCR|89CGEN
161	41313 43236	   	180.22	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	1LHND|23VULN|4CGEN|5RCR|67DMG|8AART|9CDMG|aASPD
162	33447 52112	   	180.20	ACR|4VULN|1AART|1DMG|1ASPD|1SELL	157aVULN|2SELL|3MBVNT|4RCR|5BPWR|6DMG|8ASPD|9AART
163	33448 52112	   	180.20	ACR|4VULN|1AART|1DMG|1ASPD|1SELL	157aVULN|2SELL|3MBVNT|4RCR|6DMG|8ASPD|9AART
164	31222 31125	   	180.17	DCR|4VULN|1AART|1CDMG|1ZMB	1248VULN|3CDMG|5LIT|6RCR|7ZMB|9AART|aBEXP
165	32263 11145	   	180.17	DCR|3VULN|2DMG|1AART	148VULN|2LEGI|3AART|4BPWR|5aDMG|6BEXP|7RCR|9MLV
166	32263 21145	   	180.17	DCR|3VULN|2DMG|1AART	148VULN|2LEGI|3AART|4BPWR|5aDMG|6LWND|7RCR|9MLV
167	31222 31121	   	180.07	DCR|4VULN|1AART|1CDMG|1ZMB	1248VULN|3CDMG|5LIT|6RCR|7ZMB|9AART|aTLV
168	31222 31122	   	180.07	DCR|4VULN|1AART|1CDMG|1ZMB	1248VULN|3CDMG|5LIT|6RCR|7ZMB|9AART|aVENICY
