0	Index      	 *	Score 	Summary	Detail	
1	12211 65115	 * 	199.75	DCR|3VULN|2AART|2DMG|1DUR	18DMG|2LSRHEA|389VULN|48TLV|57AART|6RCR|8BPWR|aDUR
63	35512 33352	   	182.18	DCR|3DMG|3CDMG|1AART|1VULN	1LHND|249CDMG|345DMG|4BPWR|6LIT|7VULN|8RCR|aAART
64	13122 25338	   	181.96	DCR|3DMG|2VULN|1CDMG|1ZMB|1ASPD	156DMG|23VULN|4CDMG|7MBVNT|8RCR|9ASPD|aZMB
65	13122 26422	   	181.91	DCR|3VULN|3DMG|1CDMG|1DUR	156DMG|237VULN|4CDMG|8DUR|9BEXP|aRCR
66	13122 26462	   	181.91	DCR|3VULN|3DMG|1CDMG|1DUR	156DMG|237VULN|4CDMG|8DUR|9LHND|aRCR
67	13242 53514	   	181.81	DCR|3VULN|2DMG|1AART|1ASPD	16DMG|268VULN|3RPLT|4AART|5MBVNT|6BPWR|7ASPD|9RCR|aMLV
68	13242 53612	   	181.81	DCR|3VULN|2DMG|1AART|1ASPD	16DMG|26aVULN|3RPLT|4AART|5MBVNT|6BPWR|7ASPD|8LWND|9RCR
69	13242 53712	   	181.81	DCR|3VULN|2DMG|1AART|1ASPD	16DMG|26aVULN|3RPLT|4AART|5MBVNT|6BPWR|7ASPD|8FEWX|9RCR
70	13242 53412	   	181.71	DCR|3VULN|2DMG|1AART|1ASPD	16DMG|26aVULN|3RPLT|4AART|5MBVNT|6BPWR|7ASPD|8DUST|9RCR
71	13242 53512	   	181.71	DCR|3VULN|2DMG|1AART|1ASPD	16DMG|268VULN|3RPLT|4AART|5MBVNT|6BPWR|7ASPD|9RCR|aDUST
72	13242 53513	   	181.71	DCR|3VULN|2DMG|1AART|1ASPD	16DMG|268VULN|3RPLT|4AART|5MBVNT|6BPWR|7ASPD|9RCR|aERES
73	13242 54812	   	181.71	DCR|3VULN|2DMG|1AART|1DUR	16DMG|26aVULN|3RPLT|4AART|5MBVNT|6BPWR|7ERES|8DUR|9RCR
74	13242 56314	   	181.66	DCR|2AART|2VULN|2DMG|1ZMB	16DMG|26VULN|3RPLT|48AART|5MBVNT|6BPWR|7ZMB|9RCR|aMLV
75	13242 56312	   	181.56	DCR|2AART|2VULN|2DMG|1ZMB	16DMG|26VULN|3RPLT|48AART|5MBVNT|6BPWR|7ZMB|9RCR|aDUST
76	13242 56313	   	181.56	DCR|2AART|2VULN|2DMG|1ZMB	16DMG|26VULN|3RPLT|48AART|5MBVNT|6BPWR|7ZMB|9RCR|aERES
77	12211 65151	   	181.43	DCR|3AART|2VULN|2DMG	18DMG|2LSRHEA|38VULN|48TLV|579AART|6RCR|8BPWR|aCGEN
78	12211 65152	   	181.33	DCR|3AART|2VULN|2DMG	18DMG|2LSRHEA|38VULN|48TLV|579AART|6RCR|8BPWR|aDUST
79	13123 26131	   	181.32	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	17DMG|23VULN|47CDMG|5RMIN|67TLV|7BPWR|8AART|9DUR|aRCR
80	13161 23425	 * 	181.18	DCR|3VULN|3DMG|2CDMG	168DMG|234VULN|58CDMG|789ERES|8BPWR|aRCR
81	15114 22422	 * 	180.77	ACR|2DMG|1AART|1VULN|3ASPD|2CDMG	18DMG|2RPLT|3ERES|48CDMG|5RCR|678ASPD|8BPWR|9VULN|aAART
82	13121 21441	   	180.71	DCR|2VULN|2DMG|2AART|1CDMG	17DMG|23VULN|4CDMG|5BEXP|69AART|8FEWX|aRCR
83	13121 21541	   	180.71	DCR|2VULN|2DMG|2AART|1CDMG	17DMG|23VULN|4CDMG|5BEXP|69AART|8LHND|aRCR
84	13121 21641	   	180.71	DCR|2VULN|2DMG|2AART|1CDMG	17DMG|23VULN|4CDMG|5BEXP|69AART|8LWND|aRCR
85	13124 21441	   	180.61	DCR|2VULN|2DMG|2AART|1CDMG	17DMG|23VULN|4CDMG|5DUST|69AART|8FEWX|aRCR
86	13124 21541	   	180.61	DCR|2VULN|2DMG|2AART|1CDMG	17DMG|23VULN|4CDMG|5DUST|69AART|8LHND|aRCR
87	13124 21641	   	180.61	DCR|2VULN|2DMG|2AART|1CDMG	17DMG|23VULN|4CDMG|5DUST|69AART|8LWND|aRCR
88	13121 21241	   	180.61	DCR|2VULN|2DMG|2AART|1CDMG	17DMG|23VULN|4CDMG|5BEXP|69AART|8DUST|aRCR
89	13125 53223	   	180.40	DCR|5VULN|1DMG|1CDMG|1DUR	1DMG|2367aVULN|4CDMG|5LHND|8RCR|9DUR
90	13121 53111	   	180.23	DCR|4VULN|1AART|1DMG|1CDMG	1DMG|2367VULN|4CDMG|5BEXP|8AART|9FEWX|aRCR
91	13161 33111	   	180.23	DCR|4VULN|1AART|1DMG|1CDMG	1DMG|2347VULN|5CDMG|6BEXP|8AART|9FEWX|aRCR
92	13166 23111	   	180.23	DCR|4VULN|1AART|1DMG|1CDMG	1DMG|2347VULN|5FEWX|6CDMG|8AART|9BEXP|aRCR
93	13124 53111	   	180.13	DCR|4VULN|1AART|1DMG|1CDMG	1DMG|2367VULN|4CDMG|5DUST|8AART|9FEWX|aRCR
94	16422 16332	   	179.97	DCR|3DMG|2VULN|1AART	139DMG|235LIT|39BPWR|4AART|69VULN|7RCR|89LHND|aLWND
95	16422 16333	   	179.97	DCR|3DMG|2VULN|1AART	139DMG|235LIT|39BPWR|4AART|69VULN|7RCR|89LHND|aBEXP
96	23422 16332	   	179.97	DCR|3DMG|2VULN|1AART	135LIT|239DMG|39BPWR|4AART|69VULN|7RCR|89LHND|aLWND
97	23422 16333	   	179.97	DCR|3DMG|2VULN|1AART	135LIT|239DMG|39BPWR|4AART|69VULN|7RCR|89LHND|aBEXP
98	23422 16334	   	179.97	DCR|3DMG|2VULN|1AART	135LIT|239DMG|39BPWR|4AART|69VULN|7RCR|89LHND|aFEWX
99	23422 16336	   	179.97	DCR|3DMG|2VULN|1AART	135LIT|239DMG|39BPWR|4AART|69VULN|7RCR|89LHND|aRMIN
100	23422 16432	   	179.97	DCR|3DMG|2VULN|1AART	135LIT|239DMG|39BPWR|4AART|69VULN|7RCR|89BEXP|aLWND
101	23422 16433	   	179.97	DCR|3DMG|2VULN|1AART	135LIT|239DMG|39BPWR|4AART|69VULN|7RCR|89BEXP|aFEWX
102	23422 16532	   	179.97	DCR|3DMG|2VULN|1AART	135LIT|239DMG|39BPWR|4AART|69VULN|7RCR|89FEWX|aLWND
103	23422 16533	   	179.97	DCR|3DMG|2VULN|1AART	135LIT|239DMG|39BPWR|4AART|69VULN|7RCR|89FEWX|aBEXP
104	16422 16132	   	179.77	DCR|3DMG|2VULN|1AART	139DMG|235LIT|39BPWR|4AART|69VULN|7RCR|89DUST|aLWND
105	16422 16133	   	179.77	DCR|3DMG|2VULN|1AART	139DMG|235LIT|39BPWR|4AART|69VULN|7RCR|89DUST|aFEWX
106	23422 16132	   	179.77	DCR|3DMG|2VULN|1AART	135LIT|239DMG|39BPWR|4AART|69VULN|7RCR|89DUST|aLWND
107	23422 16133	   	179.77	DCR|3DMG|2VULN|1AART	135LIT|239DMG|39BPWR|4AART|69VULN|7RCR|89DUST|aFEWX
108	23422 16135	   	179.77	DCR|3DMG|2VULN|1AART	135LIT|239DMG|39BPWR|4AART|69VULN|7RCR|89DUST|aBEXP
109	23422 16136	   	179.77	DCR|3DMG|2VULN|1AART	135LIT|239DMG|39BPWR|4AART|69VULN|7RCR|89DUST|aRMIN
110	13122 25317	   	179.67	DCR|3VULN|3DMG|1CDMG	156DMG|23aVULN|4CDMG|7MBVNT|8RCR|9LHND
111	13122 25357	   	179.67	DCR|3VULN|3DMG|1CDMG	156DMG|23aVULN|4CDMG|7MBVNT|8RCR|9FEWX
112	13122 25372	   	179.67	DCR|3VULN|3DMG|1CDMG	156DMG|239VULN|4CDMG|7MBVNT|8RCR|aRMIN
113	13122 25374	   	179.67	DCR|3VULN|3DMG|1CDMG	156DMG|239VULN|4CDMG|7MBVNT|8RCR|aLWND
114	13122 25376	   	179.67	DCR|3VULN|3DMG|1CDMG	156DMG|239VULN|4CDMG|7MBVNT|8RCR|aRPLT
115	13122 25377	   	179.67	DCR|3VULN|3DMG|1CDMG	156DMG|239VULN|4CDMG|7MBVNT|8RCR|aFEWX
116	13122 25378	   	179.67	DCR|3VULN|3DMG|1CDMG	156DMG|239VULN|4CDMG|7MBVNT|8RCR|aCGEN
117	13122 15653	   	179.66	DCR|3VULN|2DMG|1CDMG|1ZMB|1DUR	15DMG|23aVULN|4CDMG|6LWND|7ZMB|8DUR|9RCR
118	13244 32162	   	179.64	DCR|3DMG|1AART|1VULN|2CDMG	19aDMG|2VULN|3RPLT|4AART|5BELT|6aCDMG|7aDUST|8RCR|aBPWR
119	13122 25343	   	179.57	DCR|3VULN|3DMG|1CDMG	156DMG|23aVULN|4CDMG|7MBVNT|8RCR|9NUKE
120	13524 53111	 * 	179.38	DCR|3VULN|1AART|1DMG|2CDMG|1DUR	1DMG|267VULN|3DUR|45CDMG|8AART|9BEXP|aRCR
121	13624 53131	   	179.38	DCR|3VULN|1AART|1DMG|2CDMG|1DUR	1DMG|267VULN|3FEWX|45CDMG|8AART|9DUR|aRCR
122	13324 53131	   	179.28	DCR|3VULN|1AART|1DMG|2CDMG|1DUR	1DMG|267VULN|3DUST|45CDMG|8AART|9DUR|aRCR
123	12211 62112	   	179.26	DCR|2VULN|2DMG|1AART|1CDMG	1aDMG|2LSRHEA|38VULN|4TLV|5AART|6RCR|7CDMG|9DMSP
124	12211 62153	   	179.26	DCR|2VULN|2DMG|1AART|1CDMG	19DMG|2LSRHEA|38VULN|4TLV|5AART|6RCR|7CDMG|aCGEN
125	12211 62154	   	179.26	DCR|2VULN|2DMG|1AART|1CDMG	19DMG|2LSRHEA|38VULN|4TLV|5AART|6RCR|7CDMG|aLIT
126	12211 62155	   	179.26	DCR|2VULN|2DMG|1AART|1CDMG	19DMG|2LSRHEA|38VULN|4TLV|5AART|6RCR|7CDMG|aLWND
127	12211 62352	   	179.23	DCR|3DMG|1AART|1VULN|1CDMG	19aDMG|2LSRHEA|3VULN|4TLV|5AART|6RCR|7CDMG|8RCVC
128	12211 62552	   	179.16	DCR|2VULN|2DMG|1AART|1CDMG	19DMG|2LSRHEA|3aVULN|4TLV|5AART|6RCR|7CDMG|8ERES
129	55513 31332	   	179.14	DCR|3DMG|1AART|1VULN|2CDMG	1BEXP|24CDMG|347DMG|4BPWR|5AART|6LHND|8RCR|9CGEN|aVULN
130	15334 33216	 * 	179.13	ACR|3DMG|2VULN|3ZMB|1SELL	178DMG|2RPLT|3SELL|468ZMB|5RCR|8BPWR|9aVULN
131	55513 31322	   	179.04	DCR|3DMG|1AART|1VULN|2CDMG	1BEXP|24CDMG|347DMG|4BPWR|5AART|6LHND|8RCR|9ERES|aVULN
132	13242 51347	   	178.87	DCR|3VULN|2DMG|1AART	16DMG|26aVULN|3RPLT|4AART|5MBVNT|6BPWR|7BEXP|8RCR|9RCVC
133	55513 11211	   	178.85	DCR|3DMG|1AART|1VULN|2CDMG	1BEXP|24CDMG|348DMG|4BPWR|5AART|6ERES|7RCVC|9RCR|aVULN
134	13324 53421	   	178.68	DCR|3VULN|1AART|1DMG|2CDMG|1DUR	1DMG|267VULN|3DUST|45CDMG|8DUR|9AART|aRCR
135	35511 21316	   	178.54	DCR|3DMG|1AART|1VULN|2CDMG	1LHND|24CDMG|347DMG|4BPWR|59BEXP|6AART|8RCR|aVULN
136	35511 21332	   	178.54	DCR|3DMG|1AART|1VULN|2CDMG	1LHND|24CDMG|347DMG|4BPWR|5BEXP|6AART|8RCR|9CGEN|aVULN
137	13124 21314	   	178.50	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	17DMG|23VULN|4CDMG|5DUST|6AART|8DUR|9RCR|aCGEN
138	13124 21316	   	178.50	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	17DMG|23VULN|4CDMG|5DUST|6AART|8DUR|9RCR|aLHND
139	63123 15411	   	178.47	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|23aVULN|4CDMG|5LIT|6DMG|7AART|8RCR|9MLV
140	63123 15423	   	178.47	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|239VULN|4CDMG|5LIT|6DMG|7AART|8RCR|aLWND
141	63123 15432	   	178.47	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|23aVULN|4CDMG|5LIT|6DMG|7AART|8RCR|9LWND
142	12211 65126	   	178.47	DCR|2AART|2VULN|2DMG	18DMG|2LSRHEA|38VULN|48TLV|57AART|6RCR|8BPWR|9CGEN|aRCVC
143	12211 65135	   	178.47	DCR|2AART|2VULN|2DMG	18DMG|2LSRHEA|38VULN|48TLV|57AART|6RCR|8BPWR|9RPLT|aRCVC
144	12211 65162	   	178.47	DCR|2AART|2VULN|2DMG	18DMG|2LSRHEA|38VULN|48TLV|57AART|6RCR|8BPWR|9LHND|aRCVC
145	35514 21311	   	178.44	DCR|3DMG|1AART|1VULN|2CDMG	1LHND|24CDMG|347DMG|4BPWR|5DUST|6AART|8RCR|9BEXP|aVULN
146	35514 21332	   	178.44	DCR|3DMG|1AART|1VULN|2CDMG	1LHND|24CDMG|347DMG|4BPWR|5DUST|6AART|8RCR|9CGEN|aVULN
147	35511 21322	   	178.44	DCR|3DMG|1AART|1VULN|2CDMG	1LHND|24CDMG|347DMG|4BPWR|5BEXP|6AART|8RCR|9ERES|aVULN
148	35511 21361	   	178.44	DCR|3DMG|1AART|1VULN|2CDMG	1LHND|24CDMG|347DMG|4BPWR|5BEXP|6AART|8RCR|9MBVNT|aVULN
149	13124 21311	   	178.40	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	17DMG|23VULN|4CDMG|5DUST|6AART|8DUR|9RCR|aMBVNT
150	13124 21312	   	178.40	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	17DMG|23VULN|4CDMG|5DUST|6AART|8DUR|9RCR|aTLV
151	63123 15422	   	178.37	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|239VULN|4CDMG|5LIT|6DMG|7AART|8RCR|aDUST
152	13242 18511	   	178.22	DCR|4VULN|1AART|1DMG|1ASPD	1DMG|278aVULN|3RPLT|4AART|5MBVNT|6ASPD|9RCR
153	13161 24623	   	178.22	DCR|4VULN|2DMG|1CDMG	16DMG|234aVULN|5CDMG|79CGEN|8RCR
154	13161 26213	   	178.22	DCR|4VULN|2DMG|1CDMG	16DMG|234aVULN|5CDMG|7LHND|8RCR|9BEXP
155	13161 26252	   	178.22	DCR|4VULN|2DMG|1CDMG	16DMG|2349VULN|5CDMG|7LHND|8RCR|aLIT
156	13161 26261	   	178.22	DCR|4VULN|2DMG|1CDMG	16DMG|234aVULN|5CDMG|7LHND|8RCR|9LIT
157	21263 44322	 * 	178.18	ACR|2VULN|2AART|1DMG|1CDMG|1DUR	1LIT|2DUR|3NUKE|4RCR|56AART|7CDMG|8DMG|9aVULN
158	13121 21331	   	178.11	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	17DMG|23VULN|4CDMG|5BEXP|6AART|8RCVC|9DUR|aRCR
159	13121 21413	   	177.98	DCR|2VULN|2DMG|1AART|2CDMG	17DMG|23VULN|4aCDMG|5BEXP|6AART|8FEWX|9RCR
160	13121 21513	   	177.98	DCR|2VULN|2DMG|1AART|2CDMG	17DMG|23VULN|4aCDMG|5BEXP|6AART|8LHND|9RCR
161	13121 21613	   	177.98	DCR|2VULN|2DMG|1AART|2CDMG	17DMG|23VULN|4aCDMG|5BEXP|6AART|8LWND|9RCR
162	13161 26251	   	177.97	DCR|4VULN|2DMG|1CDMG|1SELL	16DMG|2349VULN|5CDMG|7LHND|8RCR|aSELL
163	14111 63151	   	177.88	DCR|2VULN|2DMG|1AART|2CDMG	19DMG|2LHND|39VULN|4DMSP|5RCVC|6LEGI|7AART|89CDMG|9BPWR|aRCR
164	13121 21213	   	177.88	DCR|2VULN|2DMG|1AART|2CDMG	17DMG|23VULN|4aCDMG|5BEXP|6AART|8DUST|9RCR
165	13124 21413	   	177.88	DCR|2VULN|2DMG|1AART|2CDMG	17DMG|23VULN|4aCDMG|5DUST|6AART|8FEWX|9RCR
166	13124 21513	   	177.88	DCR|2VULN|2DMG|1AART|2CDMG	17DMG|23VULN|4aCDMG|5DUST|6AART|8LHND|9RCR
167	13124 21613	   	177.88	DCR|2VULN|2DMG|1AART|2CDMG	17DMG|23VULN|4aCDMG|5DUST|6AART|8LWND|9RCR
168	13125 33441	   	177.83	DCR|2VULN|2DMG|1AART|2CDMG|1SELL	17DMG|23VULN|47CDMG|57LHND|6SELL|7BPWR|8RCR|9VENICY|aAART
169	23412 63433	   	177.82	DCR|2VULN|2DMG|2CDMG|1ZMB|1ASPD	139LIT|23DMG|39BPWR|49VULN|5MLV|6RCR|7ZMB|89CDMG|aASPD
170	13242 53314	   	177.60	DCR|2AART|2VULN|2DMG|1ASPD	16DMG|26VULN|3RPLT|48AART|5MBVNT|6BPWR|7ASPD|9RCR|aMLV
171	13242 53316	   	177.60	DCR|2AART|2VULN|2DMG|1ASPD	16DMG|26VULN|3RPLT|48AART|5MBVNT|6BPWR|7ASPD|9RCR|aBEXP
172	13242 53318	   	177.60	DCR|2AART|2DMG|2VULN|1ASPD	16DMG|26VULN|3RPLT|48AART|5MBVNT|6BPWR|7ASPD|9RCR|aLHND
173	41353 53231	 * 	177.58	DCR|2AART|2VULN|1DMG|2CDMG|1DUR	13VULN|2BEXP|45AART|67CDMG|8DMG|9DUR|aRCR
