0	Index      	 *	Score 	Summary	Detail	
1	23222 42526	 * 	180.39	DCR|3VULN|2DMG|1CDMG|1DUR|1ASPD	1MLV|26DMG|3ASPD|4DUR|59aVULN|7RCR|8CDMG
95	14423 52321	   	163.47	ACR|2VULN|2DMG|1CDMG|2DUR|1SELL	1SELL|29VULN|3DMSP|4RCR|56CGEN|79DMG|89DUR|9BPWR|aCDMG
96	21132 52362	   	163.45	DCR|2VULN|2DMG|1AART|1ASPD	169MLV|29VULN|3ASPD|46LHND|5AART|69BPWR|79DMG|8RPLT|aRCR
97	23233 42524	   	163.41	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1MLV|26DMG|3ASPD|4LHND|5FEWX|7RCR|8CDMG|9VULN|aAART
98	32336 14236	   	163.41	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1DUR|2CDMG|3ZMB|478VULN|5LWND|6FEWX|9AART|aRCR
99	32532 24236	   	163.41	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1DUR|2CDMG|378VULN|4LWND|5FEWX|6ZMB|9AART|aRCR
100	32533 14236	   	163.41	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1DUR|2CDMG|378VULN|4LWND|5ZMB|6FEWX|9AART|aRCR
101	23212 42534	   	163.31	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1MLV|26DMG|3ASPD|4DUST|5VULN|7RCR|8CDMG|9BEXP|aAART
102	23212 62534	   	163.31	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1MLV|2DMG|3ASPD|4DUST|56VULN|7RCR|8CDMG|9BEXP|aAART
103	23213 42524	   	163.31	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1MLV|26DMG|3ASPD|4DUST|5FEWX|7RCR|8CDMG|9VULN|aAART
104	31623 41242	   	163.22	ACR|3DMG|1VULN|1CDMG|1DUR|1ASPD	1DUR|2BEXP|389DMG|4RCR|5CDMG|6ASPD|7VULN|aLWND
105	31623 41243	   	163.22	ACR|3DMG|1VULN|1CDMG|1ASPD|1DUR	1DUR|2BEXP|389DMG|4RCR|5CDMG|6ASPD|7VULN|aFEWX
106	31623 41241	   	163.12	ACR|3DMG|1VULN|1CDMG|1DUR|1ASPD	1DUR|2BEXP|389DMG|4RCR|5CDMG|6ASPD|7VULN|aAIRHEA
107	31626 43122	   	163.09	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	1DUR|2BEXP|37DMG|4RCR|5CGEN|6ZMB|8VULN|9AART|aRCVC
108	21623 52242	   	162.95	DCR|4VULN|1AART|2DUR	1MLV|268aVULN|3DMSP|46DUR|5AART|6BPWR|7DUST|9RCR
109	21114 62153	   	162.80	DCR|3VULN|1DMG|1CDMG|1ASPD|1DUR	1MLV|268VULN|3ASPD|4DUR|5DMG|7RCR|9CGEN|aCDMG
110	23222 62153	   	162.80	DCR|3VULN|1DMG|1CDMG|1ASPD|1DUR	1MLV|2DMG|3ASPD|4DUR|568VULN|7RCR|9CGEN|aCDMG
111	23222 62525	   	162.80	DCR|3VULN|1DMG|1CDMG|1DUR|1ASPD	1MLV|2DMG|3ASPD|4DUR|569VULN|7RCR|8CDMG|aLSRICY
112	35331 35241	   	162.79	ACR|2DMG|1AART|2CDMG|1ZMB|1DUR	1DUR|2AIRHEL|35CDMG|4RCR|6CGEN|7AART|89DMG|aZMB
113	32333 16526	 * 	162.72	DCR|1AART|1VULN|1DMG|1CDMG|2DUR|1ZMB	18DUR|2CDMG|3ZMB|4VULN|5RPLT|6CGEN|7RCR|9AART|aDMG
114	21114 62521	   	162.70	DCR|3VULN|1DMG|1CDMG|1DUR|1ASPD	1MLV|269VULN|3ASPD|4DUR|5DMG|7RCR|8CDMG|aERES
115	21114 62522	   	162.70	DCR|3VULN|1DMG|1CDMG|1DUR|1ASPD	1MLV|269VULN|3ASPD|4DUR|5DMG|7RCR|8CDMG|aTLV
116	21114 62523	   	162.70	DCR|3VULN|1DMG|1CDMG|1DUR|1ASPD	1MLV|269VULN|3ASPD|4DUR|5DMG|7RCR|8CDMG|aDUST
117	23222 62521	   	162.70	DCR|3VULN|1DMG|1CDMG|1DUR|1ASPD	1MLV|2DMG|3ASPD|4DUR|569VULN|7RCR|8CDMG|aERES
118	23222 62522	   	162.70	DCR|3VULN|1DMG|1CDMG|1DUR|1ASPD	1MLV|2DMG|3ASPD|4DUR|569VULN|7RCR|8CDMG|aTLV
119	23222 62523	   	162.70	DCR|3VULN|1DMG|1CDMG|1DUR|1ASPD	1MLV|2DMG|3ASPD|4DUR|569VULN|7RCR|8CDMG|aDUST
120	23232 62516	   	162.48	DCR|3VULN|1DMG|2ASPD|1CDMG	1MLV|2DMG|39ASPD|4LHND|56aVULN|7RCR|8CDMG
121	21164 63232	   	162.42	DCR|3VULN|1AART|1DMG|1ASPD	1MLV|268VULN|3ASPD|4BEXP|5DMG|7AART|9RCR|aCGEN
122	31623 32354	   	162.42	ACR|2DMG|1AART|2CDMG|2DUR|1ASPD	17DUR|2BEXP|37DMG|4RCR|57CDMG|6LEGI|7BPWR|8ASPD|9CGEN|aAART
123	23212 62516	   	162.38	DCR|3VULN|1DMG|2ASPD|1CDMG	1MLV|2DMG|39ASPD|4DUST|56aVULN|7RCR|8CDMG
124	21164 63231	   	162.32	DCR|3VULN|1AART|1DMG|1ASPD	1MLV|268VULN|3ASPD|4BEXP|5DMG|7AART|9RCR|aDUST
125	21164 63233	   	162.32	DCR|3VULN|1AART|1DMG|1ASPD	1MLV|268VULN|3ASPD|4BEXP|5DMG|7AART|9RCR|aLEGI
126	62111 33166	   	161.94	DCR|3VULN|2DMG|1ASPD|1DUR	1RMIN|28aVULN|3ASPD|4DUR|5FEWX|67DMG|9RCR
127	23221 52245	   	161.90	DCR|2DMG|1AART|1VULN|2DUR|1ASPD	1MLV|29DMG|3ASPD|46DUR|5ERES|7RCR|8VULN|aAART
128	21324 12536	   	161.86	DCR|2VULN|2DMG|1CDMG|1ZMB	1MLV|2aVULN|36LHND|4ZMB|59DMG|7RCR|8CDMG
129	21324 32536	   	161.86	DCR|2VULN|2DMG|1CDMG|1ZMB	16MLV|2aVULN|3LHND|4ZMB|59DMG|7RCR|8CDMG
130	31626 43121	   	161.79	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	1DUR|2BEXP|37DMG|4RCR|5CGEN|6ZMB|8VULN|9AART|aLIT
131	14522 23122	   	161.75	ACR|2VULN|1AART|1DMG|1CDMG|1SELL	1SELL|2aVULN|3RCVC|4RCR|5DUST|6CDMG|7AART|8RMIN|9DMG
132	14522 23422	   	161.75	ACR|2VULN|1AART|1DMG|1CDMG|1SELL	1SELL|2aVULN|3RCVC|4RCR|5DUST|6CDMG|7AART|8MLV|9DMG
133	16632 11142	   	161.75	ACR|2VULN|1AART|1DMG|1CDMG|1SELL	1SELL|2AIRHEL|3LWND|4RCR|5AART|6aVULN|7RCVC|8CDMG|9DMG
134	14522 23522	   	161.65	ACR|2VULN|1AART|1DMG|1CDMG|1SELL	1SELL|2aVULN|3RCVC|4RCR|5DUST|6CDMG|7AART|8TLV|9DMG
135	16432 11142	   	161.65	ACR|2VULN|1AART|1DMG|1CDMG|1SELL	1SELL|2AIRHEL|3LEGI|4RCR|5AART|6aVULN|7RCVC|8CDMG|9DMG
136	43311 33661	 * 	161.52	DCR|3VULN|3DMG	123LWND|39BPWR|489VULN|59CGEN|679DMG|aRCR
137	35333 61632	   	161.48	ACR|3VULN|1DMG|1CDMG|2DUR	17DUR|2AIRHEL|3CDMG|4RCR|5DMG|69aVULN|8RPLT
138	14213 11436	   	161.37	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1SELL	1SELL|26VULN|3BEXP|4CDMG|5AART|7DMG|8CGEN|9RCR|aDUR
139	11226 63234	   	161.31	DCR|2VULN|2DMG|1AART|1DUR|1SELL	1SELL|257LWND|3BEXP|47DMG|67VULN|7BPWR|8AART|9DUR|aRCR
140	32333 16426	 * 	161.28	DCR|1AART|1VULN|1DMG|2ZMB|1CDMG|1DUR	1DUR|2CDMG|38ZMB|4VULN|5RPLT|6CGEN|7RCR|9AART|aDMG
141	31523 46183	   	161.27	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2BEXP|3LWND|48VULN|5MBVNT|6DMG|7RCR|9AART|aZMB
142	51621 23216	 * 	161.22	ACR|3DMG|1AART|1CDMG|1DUR	1FEWX|2BEXP|39aDMG|4RCR|5LIT|6CDMG|7AART|8DUR
143	21213 15242	   	161.06	DCR|4VULN|1AART|1DUR	17MLV|267aVULN|3RCVC|47DUST|5AART|7BPWR|8DUR|9RCR
144	35331 35236	 * 	160.99	ACR|2DMG|1AART|2CDMG|3DUR	19aDUR|2aAIRHEL|35CDMG|4RCR|6CGEN|7AART|8aDMG|aBPWR
145	31621 25141	 * 	160.98	ACR|2DMG|1VULN|2ZMB|1CDMG|2DUR	19DUR|2BEXP|39DMG|4RCR|58LIT|6CDMG|79ZMB|9BPWR|aVULN
146	21223 12242	   	160.96	DCR|4VULN|1AART|1DUR	1MLV|268aVULN|3RCVC|4DUR|5AART|7DUST|9RCR
147	31623 32344	 * 	160.91	ACR|3DMG|3CDMG|2DUR|1ASPD	17DUR|2BEXP|379DMG|4RCR|57aCDMG|6LEGI|7BPWR|8ASPD
148	22262 63632	   	160.76	DCR|2DMG|1AART|1VULN|2DUR	1MLV|2DUST|3RCVC|49DUR|5VULN|6RCR|78DMG|aAART
149	32215 61136	 * 	160.68	DCR|3CDMG|1AART|1VULN|1DMG|1DUR	1DUR|245CDMG|35BEXP|5BPWR|6RCR|7DMG|8RPLT|9VULN|aAART
150	21533 43322	   	160.58	DCR|2VULN|1AART|1DMG|2ZMB	14MLV|2aVULN|3DUST|5AART|68ZMB|7RCR|9DMG
151	21613 43322	   	160.58	DCR|2VULN|1AART|1DMG|2ZMB	1MLV|2aVULN|3DMSP|4DUST|5AART|68ZMB|7RCR|9DMG
152	62613 43322	   	160.58	DCR|2VULN|1AART|1DMG|2ZMB	1RMIN|2aVULN|3DMSP|4DUST|5AART|68ZMB|7RCR|9DMG
153	23215 23224	 * 	160.39	DCR|2VULN|1AART|3ASPD|1DMG	1aMLV|2DMG|37aASPD|4DUST|5LIT|6AART|8aVULN|9RCR|aBPWR
154	31622 63135	   	160.22	ACR|3DMG|2VULN|1DUR	1DUR|2BEXP|367DMG|4RCR|59LHND|8aVULN
155	23222 42144	 * 	160.20	DCR|2VULN|2DMG|3DUR|1ASPD	1MLV|26DMG|3ASPD|49aDUR|58VULN|7RCR
156	31212 25136	   	160.17	DCR|2DMG|1AART|1VULN|1CDMG|1DUR|1SELL	1DUR|2BEXP|3SELL|4CDMG|5VULN|6CGEN|7AART|8aDMG|9RCR
157	33212 65136	   	160.17	DCR|2DMG|1AART|1VULN|1CDMG|1DUR|1SELL	1DUR|2LWND|3SELL|4CDMG|5VULN|6RMIN|7AART|8aDMG|9RCR
158	21213 43113	   	160.13	DCR|2DMG|1AART|1VULN|1ZMB	1MLV|2VULN|3RCVC|4DUST|5AART|6ZMB|7RCR|89DMG|aMGNSTR
159	21213 43114	   	160.13	DCR|2DMG|1AART|1VULN|1ZMB	1MLV|2VULN|3RCVC|4DUST|5AART|6ZMB|7RCR|89DMG|aCGEN
160	21213 43115	   	160.13	DCR|2DMG|1AART|1VULN|1ZMB	1MLV|2VULN|3RCVC|4DUST|5AART|6ZMB|7RCR|89DMG|aLWND
161	62213 43114	   	160.13	DCR|2DMG|1AART|1VULN|1ZMB	1RMIN|2VULN|3RCVC|4DUST|5AART|6ZMB|7RCR|89DMG|aCGEN
