0	Index      	 *	Score 	Summary	Detail	
1	13233 13464	 * 	207.52	ACR|3DMG|3ZMB|3CDMG|1VULN|2DUR	179CDMG|2RCR|3RMIN|467DMG|579ZMB|79BPWR|89DUR|aVULN
31	15331 25313	   	189.74	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD|1DUR	1CDMG|2RPLT|3AART|47VULN|5ASPD|69DMG|8RCR|aDUR
32	35253 33336	 * 	189.64	ACR|3VULN|3DMG|1AART	178DMG|246VULN|3LHND|5RCR|9ERES|aAART
33	13233 13416	   	189.39	ACR|3DMG|1VULN|2CDMG|2ZMB|1DUR|1ASPD	17CDMG|2RCR|3RMIN|467DMG|57ZMB|7BPWR|8DUR|9ASPD|aVULN
34	63232 25236	   	189.28	ACR|2AART|2VULN|1DMG|1FLTHEA|1ZMB|1DUR	18AART|2aVULN|3FLTHEA|4MLV|5RCR|6DUR|7DMG|9ZMB
35	22253 33533	   	189.02	ACR|5VULN|2DMG|1ZMB	14689VULN|2MLV|39LHND|5RCR|79DMG|9BPWR|aZMB
36	13233 13461	   	188.76	ACR|3DMG|3ZMB|3CDMG|2DUR	179CDMG|2RCR|3RMIN|467DMG|579ZMB|79BPWR|89DUR|aRCVC
37	11123 11246	   	188.70	ACR|2DMG|1AART|1VULN|2CDMG|2ZMB|1DUR	17CDMG|2ERES|3RCR|4RMIN|57ZMB|67DMG|7BPWR|8AART|9DUR|aVULN
38	25611 21422	 * 	188.50	ACR|3VULN|3CDMG|1AART|1DMG	17aVULN|249CDMG|3RCR|5FEWX|6DMG|8AART
39	13232 61633	   	188.35	ACR|3DMG|1AART|1VULN|1CDMG|1ZMB	1CDMG|2RCR|3RMIN|489DMG|5BEXP|6ZMB|7VULN|aAART
40	62114 73422	 * 	188.02	DCR|3VULN|2DMG|1AART|1CDMG	1AART|2RMIN|38DMG|4CDMG|5MBVNT|68LIT|789VULN|8BPWR|aRCR
41	25621 33251	   	187.90	ACR|2VULN|2DMG|1AART|2CDMG	18VULN|28CDMG|3RCR|4LHND|5AART|6LIT|78DMG|8BPWR|9RCVC|aTLV
42	25621 33253	   	187.90	ACR|2VULN|2DMG|1AART|2CDMG	18VULN|28CDMG|3RCR|4LHND|5AART|6LIT|78DMG|8BPWR|9RCVC|aERES
43	15332 25352	 * 	187.67	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB|1ASPD	1CDMG|2RPLT|3aAART|47VULN|5ZMB|6DMG|8RCR|9ASPD
44	35253 33161	 * 	187.58	ACR|4VULN|3DMG|1DUR	17aDMG|2469VULN|3LHND|5RCR|8DUR
45	35351 36312	 * 	187.55	DCR|4VULN|2DMG|1CDMG|1DUR	18DMG|246aVULN|3DUR|5LWND|7RCR|9CDMG
46	35353 33121	   	187.52	ACR|3VULN|2DMG|1AART|2DUR	17DMG|246VULN|39DUR|5RCR|8AART|aLHND
47	35353 33124	   	187.52	ACR|3VULN|2DMG|1AART|2DUR	17DMG|246VULN|39DUR|5RCR|8AART|aLWND
48	35353 33261	   	187.48	ACR|4VULN|3DMG|1DUR	17aDMG|2469VULN|3DUR|5RCR|8DUST
49	13233 13462	   	187.46	ACR|3DMG|3ZMB|3CDMG|2DUR	179CDMG|2RCR|3RMIN|467DMG|579ZMB|79BPWR|89DUR|aRPLT
50	13233 13463	   	187.46	ACR|3DMG|3ZMB|3CDMG|2DUR	179CDMG|2RCR|3RMIN|467DMG|579ZMB|79BPWR|89DUR|aLHND
51	13233 13465	   	187.36	ACR|3DMG|3ZMB|3CDMG|2DUR	179CDMG|2RCR|3RMIN|467DMG|579ZMB|79BPWR|89DUR|aERES
52	13233 13466	   	187.36	ACR|3DMG|3ZMB|3CDMG|2DUR	179CDMG|2RCR|3RMIN|467DMG|579ZMB|79BPWR|89DUR|aDUST
53	13143 11231	   	187.25	ACR|2DMG|1AART|1VULN|2CDMG|1ZMB|1ASPD	17CDMG|2RCR|37MLV|4ASPD|5ZMB|67DMG|7BPWR|8AART|9ERES|aVULN
54	36214 73422	   	187.22	DCR|3VULN|2DMG|1AART|1CDMG	18DMG|2AART|38TLV|4CDMG|5MBVNT|6LIT|789VULN|8BPWR|aRCR
55	13233 14451	   	187.15	ACR|2DMG|1AART|1VULN|2CDMG|1ZMB|1DUR	19CDMG|2RCR|3RMIN|46DMG|5ZMB|7DUR|8AART|aVULN
56	13543 11226	   	187.15	ACR|2DMG|1AART|1VULN|2CDMG|1ZMB|1ASPD	17CDMG|2RCR|37ERES|4ASPD|5ZMB|67DMG|7BPWR|8AART|9FEWX|aVULN
57	13543 11251	   	187.15	ACR|2DMG|1AART|1VULN|2CDMG|1ZMB|1ASPD	17CDMG|2RCR|37ERES|4ASPD|5ZMB|67DMG|7BPWR|8AART|9MLV|aVULN
58	13543 11216	   	187.05	ACR|2DMG|1AART|1VULN|2CDMG|1ZMB|1ASPD	17CDMG|2RCR|37ERES|4ASPD|5ZMB|67DMG|7BPWR|8AART|9DUST|aVULN
59	13543 11232	   	187.05	ACR|2DMG|1AART|1VULN|2CDMG|1ZMB|1ASPD	17CDMG|2RCR|379ERES|4ASPD|5ZMB|67DMG|7BPWR|8AART|aVULN
60	15332 25312	   	186.87	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1CDMG|2RPLT|3AART|47VULN|5ZMB|69DMG|8RCR|aMLV
61	15332 25314	   	186.87	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1CDMG|2RPLT|3AART|47VULN|5ZMB|69DMG|8RCR|aDMSP
62	15332 25315	   	186.87	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1CDMG|2RPLT|3AART|47VULN|5ZMB|69DMG|8RCR|aLWND
63	15332 25311	   	186.77	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1CDMG|2RPLT|3AART|47VULN|5ZMB|69DMG|8RCR|aERES
64	15332 25316	   	186.77	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1CDMG|2RPLT|3AART|47VULN|5ZMB|69DMG|8RCR|aDUST
65	25663 12332	   	186.75	ACR|3VULN|2DMG|2CDMG|1ZMB	14aVULN|24CDMG|3RCR|4BPWR|5ZMB|69DMG|7MLV|8LHND
66	25661 23132	   	186.65	ACR|3VULN|2DMG|2CDMG|1ZMB	14aVULN|24CDMG|3RCR|4BPWR|5FEWX|69DMG|7ERES|8ZMB
67	14123 11365	   	186.55	ACR|3DMG|3ZMB|1VULN|2CDMG	17CDMG|2TLV|3RCR|4RMIN|57aZMB|679DMG|7BPWR|8VULN
68	25621 33225	   	186.40	ACR|2VULN|2DMG|1AART|2CDMG	18VULN|28CDMG|3RCR|49LHND|5AART|6LIT|78DMG|8BPWR|aBEXP
69	25621 33226	   	186.40	ACR|2VULN|2DMG|1AART|2CDMG	18VULN|28CDMG|3RCR|49LHND|5AART|6LIT|78DMG|8BPWR|aRMIN
70	25621 33231	   	186.40	ACR|2VULN|2DMG|1AART|2CDMG	18VULN|28CDMG|3RCR|4LHND|5AART|6LIT|78DMG|8BPWR|9CGEN|aFEWX
71	25621 33232	   	186.40	ACR|2VULN|2DMG|1AART|2CDMG	18VULN|28CDMG|3RCR|4LHND|5AART|6LIT|78DMG|8BPWR|9CGEN|aBEXP
72	25621 33233	   	186.40	ACR|2VULN|2DMG|1AART|2CDMG	18VULN|28CDMG|3RCR|4aLHND|5AART|6LIT|78DMG|8BPWR|9CGEN
73	25621 33235	   	186.40	ACR|2VULN|2DMG|1AART|2CDMG	18VULN|28CDMG|3RCR|4LHND|5AART|6LIT|78DMG|8BPWR|9CGEN|aLWND
74	25621 33261	   	186.40	ACR|2VULN|2DMG|1AART|2CDMG	18VULN|28CDMG|3RCR|4LHND|5AART|6LIT|78DMG|8BPWR|9RPLT|aCGEN
75	25621 33262	   	186.40	ACR|2VULN|2DMG|1AART|2CDMG	18VULN|28CDMG|3RCR|4LHND|5AART|6LIT|78DMG|8BPWR|9RPLT|aBEXP
76	25621 33263	   	186.40	ACR|2VULN|2DMG|1AART|2CDMG	18VULN|28CDMG|3RCR|4aLHND|5AART|6LIT|78DMG|8BPWR|9RPLT
77	25621 33221	   	186.30	ACR|2VULN|2DMG|1AART|2CDMG	18VULN|28CDMG|3RCR|49LHND|5AART|6LIT|78DMG|8BPWR|aTLV
78	25621 33223	   	186.30	ACR|2VULN|2DMG|1AART|2CDMG	18VULN|28CDMG|3RCR|49LHND|5AART|6LIT|78DMG|8BPWR|aERES
79	25621 33224	   	186.30	ACR|2VULN|2DMG|1AART|2CDMG	18VULN|28CDMG|3RCR|49LHND|5AART|6LIT|78DMG|8BPWR|aDUST
80	25621 33236	   	186.30	ACR|2VULN|2DMG|1AART|2CDMG	18VULN|28CDMG|3RCR|4LHND|5AART|6LIT|78DMG|8BPWR|9CGEN|aNUKE
81	35353 33633	   	185.91	ACR|3VULN|3DMG|2DUR|1ASPD	179DMG|246VULN|39DUR|5RCR|89CGEN|9BPWR|aASPD
82	35641 31131	 * 	185.80	ACR|3DMG|2VULN|2CDMG|2ZMB	139DMG|2aVULN|4aCDMG|5RCR|6TLV|7LWND|8aZMB|aBPWR
83	35353 33333	   	185.71	ACR|3VULN|3DMG|2DUR|1ASPD	179DMG|246VULN|39DUR|5RCR|89TLV|9BPWR|aASPD
84	35353 33433	   	185.71	ACR|3VULN|3DMG|2DUR|1ASPD	179DMG|246VULN|39DUR|5RCR|89ERES|9BPWR|aASPD
85	13145 21332	   	185.61	ACR|3VULN|2DMG|1CDMG|1DUR|1ASPD	1CDMG|2RCR|3MLV|4ASPD|5DUR|69DMG|78aVULN
86	35253 33112	   	185.57	ACR|4VULN|2DMG|1CDMG|1DUR	17DMG|246aVULN|3LHND|5RCR|8DUR|9CDMG
87	33641 61312	   	185.57	ACR|4VULN|2DMG|1CDMG|1DUR	13DMG|2LHND|4CDMG|5RCR|6DUR|789aVULN
88	13213 23243	 * 	185.57	ACR|3DMG|1AART|3CDMG|2DUR	15aCDMG|2RCR|3RMIN|4AART|68aDMG|7LEGI|9aDUR|aBPWR
89	13233 13311	   	185.49	ACR|3DMG|1AART|2CDMG|2ZMB|1ASPD	17CDMG|2RCR|3RMIN|467DMG|57ZMB|7BPWR|8DUST|9ASPD|aAART
90	13233 13421	   	185.49	ACR|3DMG|1AART|2CDMG|2ZMB|1DUR	17CDMG|2RCR|3RMIN|467DMG|57ZMB|7BPWR|8DUR|9ERES|aAART
91	35353 33212	   	185.47	ACR|4VULN|2DMG|1CDMG|1DUR	17DMG|246aVULN|3DUR|5RCR|8DUST|9CDMG
92	35323 33114	   	185.33	ACR|3VULN|2DMG|1AART|1DUR	17DMG|26aVULN|3DUR|4RCVC|5RCR|8AART|9RMIN
93	35323 33134	   	185.33	ACR|3VULN|2DMG|1AART|1DUR	17DMG|26aVULN|3DUR|4RCVC|5RCR|8AART|9MLV
94	13141 21631	   	185.19	ACR|3DMG|2VULN|2CDMG|1ASPD	1aCDMG|2RCR|3aMLV|4ASPD|5FEWX|689DMG|7aVULN|aBPWR
95	35351 33512	   	185.15	DCR|4VULN|2DMG|1CDMG|1DUR	17DMG|246aVULN|3DUR|5LWND|8RCR|9CDMG
96	13463 21631	   	185.09	ACR|3DMG|2VULN|2CDMG|1ASPD	1aCDMG|2RCR|3aBEXP|4ASPD|5ERES|689DMG|7aVULN|aBPWR
97	25233 11235	   	185.04	DCR|3DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|2CDMG|3RMIN|469DMG|5ZMB|7RCR|8RCVC|aAART
98	25661 21312	 * 	184.99	ACR|5VULN|1DMG|2CDMG	1479aVULN|24CDMG|3RCR|4BPWR|5FEWX|6DMG|8LEGI
99	13541 21631	   	184.99	ACR|3DMG|2VULN|2CDMG|1ASPD	1aCDMG|2RCR|3aERES|4ASPD|5FEWX|689DMG|7aVULN|aBPWR
100	23453 33533	   	184.85	ACR|5VULN|2DMG|1ASPD	14689VULN|2DUST|39CGEN|5RCR|79DMG|9BPWR|aASPD
101	35633 24741	   	184.82	DCR|3DMG|2VULN|1AART|1CDMG	136DMG|28VULN|4MBVNT|5RMIN|7CDMG|9RCR|aAART
102	11143 11226	   	184.75	ACR|2DMG|1AART|1VULN|2CDMG|1ZMB|1ASPD	17CDMG|27ERES|3RCR|4ASPD|5ZMB|67DMG|7BPWR|8AART|9FEWX|aVULN
103	11143 11251	   	184.75	ACR|2DMG|1AART|1VULN|2CDMG|1ZMB|1ASPD	17CDMG|27ERES|3RCR|4ASPD|5ZMB|67DMG|7BPWR|8AART|9MLV|aVULN
104	11143 11216	   	184.65	ACR|2DMG|1AART|1VULN|2CDMG|1ZMB|1ASPD	17CDMG|27ERES|3RCR|4ASPD|5ZMB|67DMG|7BPWR|8AART|9DUST|aVULN
105	11143 11232	   	184.65	ACR|2DMG|1AART|1VULN|2CDMG|1ZMB|1ASPD	17CDMG|279ERES|3RCR|4ASPD|5ZMB|67DMG|7BPWR|8AART|aVULN
106	25661 21233	   	184.59	ACR|3VULN|2DMG|2CDMG|1ASPD	147VULN|24CDMG|3RCR|4BPWR|5FEWX|69DMG|8RCVC|aASPD
107	13213 22322	   	184.59	ACR|2VULN|1AART|3CDMG|1DMG|1ASPD	157CDMG|2RCR|3RMIN|4AART|6DMG|8ASPD|9aVULN
108	35253 33313	   	184.48	ACR|3VULN|3DMG|1ZMB|1ASPD	178DMG|246VULN|3LHND|5RCR|9ZMB|aASPD
109	35253 33315	   	184.48	ACR|3VULN|3DMG|1ZMB|1DUR	178DMG|246VULN|3LHND|5RCR|9ZMB|aDUR
110	25233 11411	   	184.33	DCR|3DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|2CDMG|3RMIN|46aDMG|5ZMB|7RCR|8AART|9FEWX
111	25233 11421	   	184.33	DCR|3DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|2CDMG|3RMIN|46aDMG|5ZMB|7RCR|8AART|9BEXP
112	13242 21633	   	184.29	ACR|3DMG|1AART|1VULN|1CDMG|1ASPD	1CDMG|2RCR|3RMIN|4ASPD|5BEXP|689DMG|7VULN|aAART
113	13462 21633	   	184.29	ACR|3DMG|1AART|1VULN|1CDMG|1ASPD	1CDMG|2RCR|3BEXP|4ASPD|5RMIN|689DMG|7VULN|aAART
114	13123 11252	   	184.26	ACR|2DMG|1AART|1VULN|2CDMG|2ZMB	17CDMG|2RCR|39MLV|4RMIN|57ZMB|67DMG|7BPWR|8AART|aVULN
115	13523 11226	   	184.16	ACR|2DMG|1AART|1VULN|2CDMG|2ZMB	17CDMG|2RCR|3ERES|4RMIN|57ZMB|67DMG|7BPWR|8AART|9FEWX|aVULN
116	13523 11251	   	184.16	ACR|2DMG|1AART|1VULN|2CDMG|2ZMB	17CDMG|2RCR|3ERES|4RMIN|57ZMB|67DMG|7BPWR|8AART|9MLV|aVULN
117	13123 11231	   	184.16	ACR|2DMG|1AART|1VULN|2CDMG|2ZMB	17CDMG|2RCR|3MLV|4RMIN|57ZMB|67DMG|7BPWR|8AART|9ERES|aVULN
118	13523 11216	   	184.06	ACR|2DMG|1AART|1VULN|2CDMG|2ZMB	17CDMG|2RCR|3ERES|4RMIN|57ZMB|67DMG|7BPWR|8AART|9DUST|aVULN
119	13523 11232	   	184.06	ACR|2DMG|1AART|1VULN|2CDMG|2ZMB	17CDMG|2RCR|39ERES|4RMIN|57ZMB|67DMG|7BPWR|8AART|aVULN
120	13216 31121	   	184.04	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1CDMG|2RCR|3RMIN|49AART|5ASPD|6VULN|7DUR|8ZMB|aDMG
121	13411 21633	   	183.66	ACR|3DMG|1AART|1VULN|2CDMG	14CDMG|2RCR|3BEXP|5FEWX|689DMG|7VULN|aAART
122	13424 21633	   	183.66	ACR|3DMG|1AART|1VULN|2CDMG	15CDMG|2RCR|3BEXP|4LWND|689DMG|7VULN|aAART
123	32254 41122	   	183.63	ACR|3VULN|2DMG|1AART|1DUR	17DMG|2FEWX|37LHND|479VULN|5RCR|6AART|7BPWR|8CGEN|aDUR
124	14143 11351	   	183.55	ACR|2DMG|1AART|1VULN|2CDMG|1ZMB|1ASPD	17CDMG|27TLV|3RCR|4ASPD|5ZMB|67DMG|7BPWR|8VULN|9LIT|aAART
125	35353 33153	   	183.53	ACR|3VULN|2DMG|1AART|1DUR	17DMG|246VULN|3DUR|5RCR|8AART|9FEWX|aRCVC
126	35323 33164	   	183.33	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	17DMG|26VULN|3DUR|4RCVC|5RCR|8AART|9BELT|aCDMG
127	25663 12312	   	183.26	ACR|4VULN|1DMG|2CDMG|1ZMB	149aVULN|24CDMG|3RCR|4BPWR|5ZMB|6DMG|7MLV|8LHND
128	25661 23112	   	183.16	ACR|4VULN|1DMG|2CDMG|1ZMB	149aVULN|24CDMG|3RCR|4BPWR|5FEWX|6DMG|7ERES|8ZMB
129	14145 21332	   	183.11	ACR|3VULN|2DMG|1CDMG|1DUR|1ASPD	1CDMG|2TLV|3RCR|4ASPD|5DUR|69DMG|78aVULN
130	13143 11256	   	182.94	ACR|3DMG|1AART|2CDMG|1ZMB|1ASPD	17CDMG|2RCR|379MLV|4ASPD|5ZMB|67aDMG|7BPWR|8AART
131	14143 11361	   	182.94	ACR|3DMG|1VULN|2CDMG|1ZMB|1DUR|1ASPD	17CDMG|27TLV|3RCR|4ASPD|5ZMB|679DMG|7BPWR|8VULN|aDUR
132	13233 13415	   	182.86	ACR|3DMG|3ZMB|2CDMG|1ASPD|1DUR	17CDMG|2RCR|3RMIN|467DMG|57aZMB|7BPWR|8DUR|9ASPD
133	15331 25312	   	182.80	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1CDMG|2RPLT|3AART|47VULN|5ASPD|69DMG|8RCR|aMLV
134	15331 25314	   	182.80	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1CDMG|2RPLT|3AART|47VULN|5ASPD|69DMG|8RCR|aDMSP
135	15331 25315	   	182.80	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1CDMG|2RPLT|3AART|47VULN|5ASPD|69DMG|8RCR|aLWND
136	13512 23416	   	182.78	ACR|2VULN|2DMG|1AART|1CDMG	1CDMG|2RCR|3ERES|4AART|5LWND|6FEWX|7aDMG|89VULN
137	15331 25311	   	182.70	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1CDMG|2RPLT|3AART|47VULN|5ASPD|69DMG|8RCR|aERES
138	15331 25316	   	182.70	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1CDMG|2RPLT|3AART|47VULN|5ASPD|69DMG|8RCR|aDUST
139	25613 21512	 * 	182.68	ACR|2VULN|3ZMB|3CDMG|1AART	18VULN|248CDMG|3RCR|578ZMB|6RCVC|8BPWR|9BELT|aAART
140	13215 53226	   	182.61	ACR|2DMG|1AART|1VULN|2CDMG|1ZMB	18CDMG|2RCR|3RMIN|4AART|5LHND|68BASICY|78DMG|8BPWR|9ZMB|aVULN
141	35353 33335	 * 	182.59	ACR|3VULN|3DMG|3DUR	179DMG|246VULN|39aDUR|5RCR|89TLV|9BPWR
142	25615 21332	   	182.59	ACR|3VULN|2DMG|2CDMG|1DUR	17aVULN|24CDMG|3RCR|5DUR|69DMG|8LWND
143	11141 21631	   	182.59	ACR|3DMG|2VULN|2CDMG|1ASPD	1aCDMG|2aERES|3RCR|4ASPD|5FEWX|689DMG|7aVULN|aBPWR
144	12615 21332	   	182.59	ACR|3VULN|2DMG|2CDMG|1DUR	14CDMG|2LHND|3RCR|5DUR|69DMG|78aVULN
145	14141 21631	   	182.59	ACR|3DMG|2VULN|2CDMG|1ASPD	1aCDMG|2aTLV|3RCR|4ASPD|5FEWX|689DMG|7aVULN|aBPWR
146	25611 21411	   	182.46	ACR|3VULN|1AART|1DMG|2CDMG	17aVULN|24CDMG|3RCR|59FEWX|6DMG|8AART
147	13233 13316	   	182.35	ACR|3DMG|1VULN|2CDMG|2ZMB|1ASPD	17CDMG|2RCR|3RMIN|467DMG|57ZMB|7BPWR|8DUST|9ASPD|aVULN
148	13233 13426	   	182.35	ACR|3DMG|1VULN|2CDMG|2ZMB|1DUR	17CDMG|2RCR|3RMIN|467DMG|57ZMB|7BPWR|8DUR|9ERES|aVULN
149	22613 63362	   	182.33	ACR|3DMG|2VULN|1AART|1ASPD	1aVULN|26MLV|367DMG|4RMIN|5RCR|6BPWR|8AART|9ASPD
150	35342 36212	   	182.31	DCR|3VULN|2DMG|1AART|1DUR	19DMG|26aVULN|3DUR|4ERES|5CGEN|7AART|8RCR
151	23553 31361	   	182.25	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	146VULN|2DUST|3ZMB|5RCR|7BEXP|8AART|9CDMG|aDMG
152	63232 35236	   	182.25	ACR|2AART|2VULN|1DMG|1FLTHEA|1ZMB	18AART|2aVULN|3FLTHEA|4MLV|5RCR|6DUST|7DMG|9ZMB
153	35353 33113	   	182.23	ACR|3VULN|2DMG|1AART|1DUR	17DMG|246VULN|3DUR|5RCR|8AART|9RMIN|aFEWX
154	35353 33115	   	182.23	ACR|3VULN|2DMG|1AART|1DUR	17DMG|246VULN|3DUR|5RCR|8AART|9RMIN|aRPLT
155	35353 33116	   	182.23	ACR|3VULN|2DMG|1AART|1DUR	17DMG|246VULN|3DUR|5RCR|8AART|9RMIN|aLHND
156	35353 33133	   	182.23	ACR|3VULN|2DMG|1AART|1DUR	17DMG|246VULN|3DUR|5RCR|8AART|9MLV|aFEWX
157	35353 33135	   	182.23	ACR|3VULN|2DMG|1AART|1DUR	17DMG|246VULN|3DUR|5RCR|8AART|9MLV|aRPLT
158	35353 33152	   	182.23	ACR|3VULN|2DMG|1AART|1DUR	17DMG|246VULN|3DUR|5RCR|8AART|9FEWX|aMLV
159	35353 33111	   	182.13	ACR|3VULN|2DMG|1AART|1DUR	17DMG|246VULN|3DUR|5RCR|8AART|9RMIN|aDUST
160	35353 33112	   	182.13	ACR|3VULN|2DMG|1AART|1DUR	17DMG|246VULN|3DUR|5RCR|8AART|9RMIN|aERES
161	35353 33131	   	182.13	ACR|3VULN|2DMG|1AART|1DUR	17DMG|246VULN|3DUR|5RCR|8AART|9MLV|aDUST
162	35353 33132	   	182.13	ACR|3VULN|2DMG|1AART|1DUR	17DMG|246VULN|3DUR|5RCR|8AART|9MLV|aERES
163	35353 33136	   	182.13	ACR|3VULN|2DMG|1AART|1DUR	17DMG|246VULN|3DUR|5RCR|8AART|9MLV|aLEGI
164	35353 33151	   	182.13	ACR|3VULN|2DMG|1AART|1DUR	17DMG|246VULN|3DUR|5RCR|8AART|9FEWX|aERES
165	35353 33161	   	182.13	ACR|3VULN|2DMG|1AART|1DUR	17DMG|246VULN|3DUR|5RCR|8AART|9BELT|aERES
166	35353 33162	   	182.13	ACR|3VULN|2DMG|1AART|1DUR	17DMG|246VULN|3DUR|5RCR|8AART|9BELT|aNUKE
