0	Index      	 *	Score 	Summary	Detail	
1	54623 22222	 * 	221.40	紫4易伤3伤害1全技能1暴击	136伤害2346易伤36序列升级5核7全技能8立即金币9随机矿a暴击
40	54211 25333	   	199.93	紫4易伤2伤害1全技能	1a伤害278a易伤3敌人爆炸4核5时间6全技能9a掉矿a序列升级
41	54623 23231	   	198.78	紫4易伤3伤害1策反	136伤害2346易伤36序列升级5核7策反8攻速9矿等a低血量敌人
42	54623 23233	   	198.78	紫4易伤3伤害1策反	136伤害2346易伤36序列升级5核7策反8攻速9矿等a基地爆炸
43	54623 23313	   	198.78	紫4易伤3伤害1策反	136伤害2346易伤36序列升级5核7策反8额外掉落9平台a攻速
44	54623 23123	   	198.68	紫4易伤3伤害1策反	136伤害2346易伤36序列升级5核7策反8掉矿9时间a随机矿
45	54623 23212	   	198.68	紫4易伤3伤害1策反	136伤害2346易伤36序列升级5核7策反8攻速9双倍物品a激光对冰
46	54623 23322	   	198.68	紫4易伤3伤害1策反	136伤害2346易伤36序列升级5核7策反8额外掉落9掉矿a攻速
47	54623 23121	   	198.58	紫4易伤3伤害1策反	136伤害2346易伤36序列升级5核7策反8掉矿9时间a挖青
48	54623 23122	   	198.58	紫4易伤3伤害1策反	136伤害2346易伤36序列升级5核7策反8a掉矿9时间
49	54623 23211	   	198.58	紫4易伤3伤害1策反	136伤害2346易伤36序列升级5核7策反8攻速9双倍物品a挖尘
50	55311 52323	   	197.33	紫3易伤2伤害1全技能1策反	17伤害2时间3挖尘4核5全技能68a易伤9策反
51	54211 22325	 * 	197.27	紫3易伤2伤害2全技能	17伤害28a易伤3敌人爆炸4核5时间69全技能
52	54311 22323	   	196.73	紫3易伤2伤害1全技能1策反	17伤害28a易伤3挖尘4核5时间6全技能9策反
53	54311 22325	   	196.73	紫3伤害2易伤1全技能1策反	17a伤害28易伤3挖尘4核5时间6全技能9策反
54	54523 21131	   	196.43	紫4易伤2伤害1全技能	16伤害2346易伤5核6序列升级7攻速8全技能9敌人爆炸a低血量敌人
55	54523 21121	   	196.33	紫4易伤2伤害1全技能	16伤害2346易伤5核6序列升级7攻速8全技能9等级a平台
56	54523 21122	   	196.33	紫4易伤2伤害1全技能	16伤害2346易伤5核6序列升级7攻速8全技能9等级a基地爆炸
57	54523 21123	   	196.33	紫4易伤2伤害1全技能	16伤害2346易伤5核6序列升级7攻速8全技能9等级a额外掉落
58	54523 21132	   	196.33	紫4易伤2伤害1全技能	16伤害2346易伤5核6序列升级7攻速8全技能9敌人爆炸a挖尘
59	54623 13223	   	195.83	紫4易伤2伤害1全技能	13伤害234a易伤3序列升级5核6最后敌人7双倍矿8攻速9全技能
60	54623 22113	   	195.12	紫5易伤3伤害1全技能1挖怪	136伤害2346a易伤36序列升级5核7全技能8基地爆炸9挖怪
61	54623 22313	   	195.02	紫5易伤3伤害1全技能1挖怪	136伤害2346a易伤36序列升级5核7全技能8挖尘9挖怪
62	54111 15232	   	194.74	紫4易伤2伤害1全技能2喷火对愈1挖怪	17伤害278a易伤3挖怪4核5时间67喷火对愈7序列升级9全技能
63	53511 22223	 * 	194.54	紫3易伤2伤害1全技能3时间	1a伤害2低血量敌人39a易伤4核56a时间7全技能8额外掉落a序列升级
64	55513 22223	   	194.44	紫3易伤2伤害1全技能3时间	1a伤害26a时间39a易伤4核5挖青7全技能8额外掉落a序列升级
65	56511 22223	   	194.44	紫3易伤2伤害1全技能3时间	1a伤害2挖青39a易伤4核56a时间7全技能8额外掉落a序列升级
66	54211 15133	   	193.83	紫2易伤2伤害1全技能2喷火对愈2时间	17伤害27易伤3a敌人爆炸4核58时间67喷火对愈7序列升级9全技能
67	54211 15131	   	193.73	紫2易伤2伤害1全技能2喷火对愈2时间	17伤害27易伤3敌人爆炸4核58时间67喷火对愈7序列升级9全技能a加一
68	54311 15133	   	193.73	紫2易伤2伤害1全技能2喷火对愈2时间	17伤害27易伤3挖尘4核58时间67喷火对愈7序列升级9全技能a敌人爆炸
69	54311 15131	   	193.63	紫2易伤2伤害1全技能2喷火对愈2时间	17伤害27易伤3挖尘4核58时间67喷火对愈7序列升级9全技能a加一
70	54623 21313	   	193.32	紫5易伤3伤害1全技能1挖怪	136伤害23469易伤36序列升级5核7挖怪8矿等a全技能
71	54311 25323	   	193.24	紫4易伤1全技能1伤害1策反	1伤害278a易伤3挖尘4核5时间6全技能9策反
72	54623 23132	   	193.05	紫4易伤3伤害1策反	136伤害2346易伤36序列升级5核7策反8掉矿9矿等a立即金币
73	55215 22231	 * 	192.23	紫3易伤3伤害3时间	19a伤害29a时间3敌人爆炸4核5攻速6额外掉落79a易伤8加一9a序列升级
74	55315 22231	   	192.13	紫3易伤3伤害3时间	19a伤害29a时间3挖尘4核5攻速6额外掉落79a易伤8加一9a序列升级
75	55211 11223	   	192.02	紫3易伤2伤害1全技能2时间	1a伤害26时间36a敌人爆炸4核5全技能6a序列升级79a易伤8额外掉落
76	54623 23311	   	191.84	紫4易伤3伤害1策反	136伤害2346易伤36序列升级5核7策反8额外掉落9平台a敌人爆炸
77	54623 23312	   	191.84	紫4易伤3伤害1策反	136伤害2346易伤36序列升级5核7策反8额外掉落9平台a雷电
78	54623 23332	   	191.84	紫4易伤3伤害1策反	136伤害2346易伤36序列升级5核7策反8额外掉落9敌人爆炸a基地爆炸
79	54623 23333	   	191.84	紫4易伤3伤害1策反	136伤害2346易伤36序列升级5核7策反8额外掉落9敌人爆炸a双倍矿
80	54523 21322	   	191.79	紫5易伤2伤害	16伤害2346a易伤5核6序列升级7攻速8矿等9时间
81	54623 23131	   	191.74	紫4易伤3伤害1策反	136伤害2346易伤36序列升级5核7策反8掉矿9矿等a低血量敌人
82	54623 23133	   	191.74	紫4易伤3伤害1策反	136伤害2346易伤36序列升级5核7策反8掉矿9矿等a基地爆炸
83	54623 23323	   	191.74	紫4易伤3伤害1策反	136伤害2346易伤36序列升级5核7策反8额外掉落9掉矿a敌人爆炸
84	55211 52333	   	191.72	紫3伤害2易伤1全技能2时间	17a伤害2a时间3敌人爆炸4核5全技能68易伤9a掉矿a序列升级
85	55311 11223	   	191.72	紫3易伤2伤害1全技能2时间	1a伤害26时间36a挖尘4核5全技能6a序列升级79a易伤8额外掉落
86	54523 21222	   	191.69	紫5易伤2伤害	16伤害2346a易伤5核6序列升级7攻速8等级9时间
87	54623 23113	   	191.64	紫4易伤3伤害1策反	136伤害2346易伤36序列升级5核7策反8掉矿9双倍物品a敌人爆炸
88	54623 23321	   	191.64	紫4易伤3伤害1策反	136伤害2346易伤36序列升级5核7策反8额外掉落9a掉矿
89	54623 23111	   	191.54	紫4易伤3伤害1策反	136伤害2346易伤36序列升级5核7策反8掉矿9双倍物品a挖尘
90	53512 33352	   	191.44	紫3易伤2伤害1全技能2攻速	1a伤害2低血量敌人39a易伤4核5最后敌人6金币生成7a攻速8全技能a序列升级
