0	Index      	 *	Score 	Summary	Detail	
1	32512 41633	 * 	296.53	DCR|DCR|2MLV|2ASPD|1DMG|1CDMG	16ASPD|2DUR|3AART|4aMLV|5CDMG|79RCR|8DMG
19	62222 21631	   	277.47	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1CDMG|2DMSP|3CGEN|4DMG|5VULN|6AART|79RCR|8ASPD|aERES
20	62222 21633	   	277.47	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1CDMG|2DMSP|3CGEN|4DMG|5VULN|6AART|79RCR|8ASPD|aSNIFST
21	62433 21631	   	277.47	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1CDMG|2DMSP|3VULN|4DMG|5TLV|6AART|79RCR|8ASPD|aERES
22	62433 21633	   	277.47	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1CDMG|2DMSP|3VULN|4DMG|5TLV|6AART|79RCR|8ASPD|aSNIFST
23	66222 21631	   	277.47	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1CDMG|2RCVC|3CGEN|4DMG|5VULN|6AART|79RCR|8ASPD|aERES
24	66222 21633	   	277.47	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1CDMG|2RCVC|3CGEN|4DMG|5VULN|6AART|79RCR|8ASPD|aSNIFST
25	33511 15261	 * 	276.57	DCR|3VULN|3MLV|2ASPD	18ASPD|2LWND|3AART|458MLV|6RCR|789VULN|8BPWR|aRPLT
26	32232 42144	   	276.12	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1ASPD|2DUR|3CGEN|4DUST|5CDMG|6VULN|7LWND|89RCR|aDMG
27	32332 42144	   	276.02	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1ASPD|2DUR|3ERES|4DUST|5CDMG|6VULN|7LWND|89RCR|aDMG
28	32621 21144	   	276.02	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1ASPD|2DUR|3RCVC|4VULN|5MDPS|6AME|7CDMG|89RCR|aDMG
29	35221 11441	   	273.59	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1ASPD|2MDPS|3DMSP|4CDMG|5DUR|69RCR|7MLV|8VULN|aFEWX
30	35221 11443	   	273.59	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1ASPD|2MDPS|3DMSP|4CDMG|5DUR|69RCR|7MLV|8VULN|aAAC
31	35221 11442	   	273.49	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG|1ZMB	1ASPD|2MDPS|3DMSP|4CDMG|5DUR|69RCR|7MLV|8VULN|aZMB
32	13177 74442	   	272.04	DCR|DCR|2VULN|1CDMG	19LWND|2MBVNT|3BBNT|49LHND|59VULN|6AART|78RCR|9BPWR|aCDMG
33	23131 74442	   	272.04	DCR|DCR|2VULN|1CDMG	19LHND|2MBVNT|3BBNT|49VULN|59LWND|6AART|78RCR|9BPWR|aCDMG
34	13177 74422	   	271.84	DCR|DCR|2VULN|1CDMG	1LWND|2MBVNT|3BBNT|4LHND|59VULN|6AART|78RCR|aCDMG
35	23131 74422	   	271.84	DCR|DCR|2VULN|1CDMG	1LHND|2MBVNT|3BBNT|49VULN|5LWND|6AART|78RCR|aCDMG
36	13133 27713	   	270.24	DCR|DCR|2VULN|1CDMG|1ZMB	1LWND|2MBVNT|3BBNT|47VULN|5CDMG|6aRCR|8DUR|9ZMB
37	36333 52233	   	269.02	DCR|DCR|1VULN|2CDMG|2RPLT|1ASPD	1ASPD|27RPLT|3TBNT|4LIT|5aCDMG|6VULN|89RCR
38	64133 62233	   	269.02	DCR|DCR|1VULN|2CDMG|2RPLT|1ASPD	1aCDMG|2LIT|3VULN|4ASPD|57RPLT|6BBNT|89RCR
39	62212 33146	 * 	268.59	DCR|DCR|2VULN|2CDMG	1aCDMG|2DMSP|3CGEN|4AAC|56VULN|7BBNT|89RCR
40	32512 31632	   	268.46	DCR|DCR|1DMG|1MLV|1ASPD|1CDMG	1ASPD|2DUR|3AART|4MLV|5CDMG|6DMSP|79RCR|8DMG|aFEWX
41	32512 31635	   	268.46	DCR|DCR|1DMG|1MLV|1ASPD|1CDMG	1ASPD|2DUR|3AART|4MLV|5CDMG|6DMSP|79RCR|8DMG|aLIT
42	32512 31636	   	268.46	DCR|DCR|1DMG|1MLV|1ASPD|1CDMG	1ASPD|2DUR|3AART|4MLV|5CDMG|6DMSP|79RCR|8DMG|aBBNT
43	32512 31631	   	268.36	DCR|DCR|1DMG|1MLV|1ASPD|1CDMG	1ASPD|2DUR|3AART|4MLV|5CDMG|6DMSP|79RCR|8DMG|aERES
44	31226 64133	   	267.81	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1ASPD|2BBNT|3FEWX|4DMG|5LIT|6aRCR|7VULN|8CDMG|9ERES
45	33621 21144	   	267.71	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1ASPD|2LWND|3RCVC|4VULN|5MDPS|6AME|7CDMG|89RCR|aDMG
46	33511 15262	   	266.91	DCR|3VULN|3MLV|2ASPD	18ASPD|2LWND|3AART|458MLV|6RCR|789VULN|8BPWR|aLHND
47	33511 15263	   	266.81	DCR|3VULN|3MLV|2ASPD	18ASPD|2LWND|3AART|458MLV|6RCR|789VULN|8BPWR|aSPLREG
