0	Index      	 *	Score 	Summary	Detail	
1	64123 22215	 * 	256.99	DCR|3VULN|3DMG|2ASPD	1TSLARM|258VULN|345DMG|5BPWR|67ASPD|9MDPS|aRCR
33	63153 32322	 * 	239.60	ACR|DCR|2MLV|1VULN|1AART	1TSLARM|2aRCR|3MDPS|4DUR|58MLV|6MSLREG|7VULN|9AART
34	63153 33622	   	239.60	ACR|DCR|2MLV|1VULN|1AART	1TSLARM|2aRCR|3MDPS|4DUR|57MLV|6MSLREG|8VULN|9AART
35	35326 32443	   	239.13	DCR|DCR|2ASPD|1AART|1RPLT	1RPLT|2MBVNT|3DUR|45ASPD|6AAC|7AME|8aRCR|9AART
36	35484 33436	   	238.65	DCR|3VULN|2DMG|1ASPD|1RPLT	1RPLT|2MBVNT|3DMSP|479VULN|57DMG|6AAC|7BPWR|8ASPD|aRCR
37	35314 26343	 * 	237.78	DCR|2VULN|2DMG|2CDMG|2DUR|1RPLT	1RPLT|2MBVNT|37DUR|48CDMG|57VULN|67DMG|7BPWR|9BEXP|aRCR
38	35314 26543	   	237.78	DCR|2VULN|2DMG|2CDMG|2DUR|1RPLT	1RPLT|2MBVNT|37DUR|49CDMG|57VULN|67DMG|7BPWR|8LWND|aRCR
39	35314 26643	   	237.68	DCR|2VULN|2DMG|2CDMG|2DUR|1RPLT	1RPLT|2MBVNT|37DUR|49CDMG|57VULN|67DMG|7BPWR|8DUST|aRCR
40	21621 52141	   	237.59	ACR|DCR|1VULN|1MLV|1ASPD|1RPLT|1SELL	1RCVC|2SPLJET|39RCR|4SELL|5ASPD|6RPLT|7DUR|8VULN|aMLV
41	65344 12317	   	237.56	DCR|DCR|1VULN|1DMG	1TSLARM|2TLV|3MBVNT|4TBNT|5BELT|6AAC|79RCR|8VULN|aDMG
42	61344 12317	   	237.46	DCR|DCR|1VULN|1DMG	1TSLARM|2AME|3MBVNT|4TBNT|5BELT|6AAC|79RCR|8VULN|aDMG
43	61331 42371	   	237.36	DCR|DCR|1VULN|1DMG	1TSLARM|2AME|3MBVNT|4ERES|5TBNT|6CGEN|79RCR|8DMG|aVULN
44	61343 42371	   	237.36	DCR|DCR|1VULN|1DMG	1TSLARM|2AME|3MBVNT|4TBNT|5ERES|6CGEN|79RCR|8DMG|aVULN
45	35314 66433	   	237.35	DCR|2VULN|2ASPD|1MLV|2DUR|1CDMG|1RPLT	1RPLT|2MBVNT|37DUR|4CDMG|57VULN|67ASPD|7BPWR|8MLV|9AME|aRCR
46	22335 21552	 * 	236.69	ACR|DCR|3VULN|1ZMB	1RCVC|2DUST|39aVULN|4ZMB|58RCR|6MDPS|7DMSP
47	35613 48314	   	236.00	DCR|DCR|1MLV|1CDMG|1AART|1RPLT	1RPLT|2MBVNT|3LWND|4CDMG|5TBNT|6AART|7aRCR|8BBNT|9MLV
48	65344 12315	   	235.02	DCR|DCR|1VULN|1MLV	1TSLARM|2TLV|3MBVNT|4TBNT|5BELT|6AAC|79RCR|8VULN|aMLV
49	61344 12315	   	234.92	DCR|DCR|1VULN|1MLV	1TSLARM|2AME|3MBVNT|4TBNT|5BELT|6AAC|79RCR|8VULN|aMLV
50	24362 16432	   	234.92	DCR|DCR|1VULN|1MLV	1RCVC|2FEWX|3VULN|4LHND|5MLV|6ERES|7MBVNT|8aRCR|9DUST
51	11211 45633	   	234.61	DCR|3VULN|1DMG|1ASPD|1CDMG|1RPLT	1DUST|2RPLT|367VULN|4CDMG|5BEXP|8ASPD|9RCR|aDMG
52	11213 45141	   	234.61	DCR|3VULN|1DMG|1ASPD|1CDMG|1RPLT	1DUST|2RPLT|378VULN|4CDMG|5TBNT|6DMG|9ASPD|aRCR
53	11225 54233	   	234.61	DCR|3VULN|1DMG|1ASPD|1CDMG|1RPLT	1DUST|2RPLT|357VULN|4ASPD|6CDMG|8FEWX|9RCR|aDMG
54	35327 11274	   	234.55	DCR|DCR|1MLV|1ASPD|1RPLT	1RPLT|2MBVNT|3DUR|4ASPD|5DUST|6TBNT|7aRCR|8MLV|9RMIN
55	35327 41274	   	234.55	DCR|DCR|1MLV|1ASPD|1RPLT	1RPLT|2MBVNT|3DUR|4ASPD|5DUST|6BBNT|7aRCR|8MLV|9RMIN
56	12654 34634	   	234.45	DCR|DCR|1MLV|1ASPD|1RPLT	1DUST|2MLV|3BBNT|4MBVNT|5DUR|6ASPD|7ERES|8aRCR|9RPLT
57	35614 26433	   	234.14	DCR|2VULN|2DMG|1MLV|1CDMG|1RPLT	1RPLT|2MBVNT|37LWND|4CDMG|57VULN|67DMG|7BPWR|8MLV|9RMIN|aRCR
58	35148 41471	   	234.07	DCR|DCR|1DMG|2RPLT|1ASPD	16RPLT|2MBVNT|3BELT|4DMG|5ASPD|7TBNT|8FEWX|9aRCR
59	35148 42171	   	234.07	DCR|DCR|1DMG|2RPLT|1ASPD	16RPLT|2MBVNT|3BELT|4DMG|5ASPD|7LWND|8TBNT|9aRCR
60	35148 43171	   	234.07	DCR|DCR|1DMG|2RPLT|1ASPD	16RPLT|2MBVNT|3BELT|4DMG|5ASPD|7BEXP|8TBNT|9aRCR
61	55323 32225	   	234.04	DCR|3VULN|2MLV|1ASPD|1AART	1aMLV|2RMIN|39aVULN|4DUST|5ASPD|6AART|7RCR|8aAME|aBPWR
62	35514 26433	   	233.84	DCR|2VULN|2DMG|1MLV|1CDMG|1RPLT	1RPLT|2MBVNT|37DUST|4CDMG|57VULN|67DMG|7BPWR|8MLV|9AME|aRCR
63	11215 25333	   	233.74	DCR|2VULN|1DMG|2CDMG|2DUR|1ASPD|1RPLT	17DUST|2RPLT|37VULN|48CDMG|5ASPD|67DUR|7BPWR|9RCR|aDMG
64	34215 25333	   	233.74	DCR|2VULN|1DMG|2CDMG|2DUR|1ASPD|1RPLT	1RPLT|27DUST|37VULN|48CDMG|5ASPD|67DUR|7BPWR|9RCR|aDMG
65	35141 31171	   	232.81	DCR|DCR|2DMG|1RPLT	1RPLT|2MBVNT|3BELT|47DMG|5BEXP|6AAC|8TBNT|9aRCR
66	35217 61234	   	232.76	DCR|DCR|1DMG|1MLV|1RPLT	1RPLT|2MBVNT|3TLV|4LWND|5BBNT|6LHND|7aRCR|8MLV|9DMG
67	35647 41234	   	232.76	DCR|DCR|1DMG|1MLV|1RPLT	1RPLT|2MBVNT|3LWND|4DMG|5BBNT|6FEWX|7aRCR|8MLV|9TLV
68	35674 41234	   	232.76	DCR|DCR|1DMG|1MLV|1RPLT	1RPLT|2MBVNT|3LWND|4BEXP|5TBNT|6DMG|7aRCR|8MLV|9TLV
69	31523 36171	   	232.76	DCR|DCR|1DMG|1MLV|1RPLT	1RPLT|2AAC|3MLV|4DMG|5TLV|6MBVNT|7BELT|8TBNT|9aRCR
70	35684 41234	   	232.66	DCR|DCR|1DMG|1MLV|1RPLT	1RPLT|2MBVNT|3LWND|4DUST|5TBNT|6DMG|7aRCR|8MLV|9TLV
71	35147 21171	   	232.61	DCR|DCR|2DMG|1RPLT	1RPLT|2MBVNT|3BELT|47DMG|5NUKE|6DUST|8TBNT|9aRCR
72	35144 76131	   	232.57	DCR|DCR|2DMG|1RPLT|1ZMB	1RPLT|2MBVNT|3BELT|48DMG|5BBNT|6ZMB|7aRCR|9BEXP
73	35144 73471	   	232.57	DCR|DCR|2DMG|1RPLT|1ZMB	1RPLT|2MBVNT|3BELT|47DMG|5BBNT|6ZMB|8FEWX|9aRCR
74	63423 21162	   	232.56	ACR|DCR|2VULN|1RPLT	1TSLARM|29RCR|3aVULN|4ERES|5RPLT|6MDPS|7DUR|8NUKE
75	61346 22373	   	232.56	DCR|DCR|1DMG|1MLV|1RPLT	1TSLARM|2AME|3MBVNT|4TBNT|5CGEN|6MLV|79RCR|8DMG|aRPLT
76	61331 22373	   	232.46	DCR|DCR|1DMG|1MLV|1RPLT	1TSLARM|2AME|3MBVNT|4ERES|5TBNT|6MLV|79RCR|8DMG|aRPLT
77	61343 22373	   	232.46	DCR|DCR|1DMG|1MLV|1RPLT	1TSLARM|2AME|3MBVNT|4TBNT|5ERES|6MLV|79RCR|8DMG|aRPLT
78	35144 85421	   	232.41	DCR|DCR|1DMG|1MLV|1RPLT|1ZMB	1RPLT|2MBVNT|3BELT|4DMG|5BBNT|6aRCR|7MLV|8ZMB|9ERES
79	11225 33122	   	232.37	DCR|4VULN|2ASPD|1RPLT|1SELL	17DUST|2RPLT|3578VULN|47ASPD|6AAC|7BPWR|9SELL|aRCR
80	34225 33122	   	232.37	DCR|4VULN|2ASPD|1RPLT|1SELL	1RPLT|27DUST|3578VULN|47ASPD|6AAC|7BPWR|9SELL|aRCR
81	52235 32532	   	232.28	ACR|DCR|2VULN|1MLV|1ZMB	1MLV|29LHND|3TLV|4ZMB|58RCR|6aVULN|7LWND
82	66313 52211	   	232.08	DCR|3VULN|1MLV|1ASPD|1CDMG|1RPLT	1TSLARM|2ASPD|3RPLT|4CDMG|5MLV|6CGEN|78aVULN|9RCR
83	52235 32512	   	232.04	ACR|DCR|2VULN|1MLV|1SELL|1ZMB	1MLV|2LHND|3TLV|4ZMB|58RCR|6aVULN|7LWND|9SELL
84	53235 32512	   	232.04	ACR|DCR|2VULN|1MLV|1SELL|1ZMB	1MLV|2BEXP|3TLV|4ZMB|58RCR|6aVULN|7LWND|9SELL
85	11221 32216	   	231.98	DCR|3VULN|1MLV|1ASPD|1CDMG|1RPLT	1DUST|2RPLT|368VULN|4ASPD|5MSLFST|7CDMG|9RCR|aMLV
86	11223 32216	   	231.98	DCR|3VULN|1MLV|1ASPD|1CDMG|1RPLT	1DUST|2RPLT|368VULN|4ASPD|5FRZFST|7CDMG|9RCR|aMLV
87	34221 32216	   	231.98	DCR|3VULN|1MLV|1ASPD|1CDMG|1RPLT	1RPLT|2DUST|368VULN|4ASPD|5MSLFST|7CDMG|9RCR|aMLV
88	34223 32216	   	231.98	DCR|3VULN|1MLV|1ASPD|1CDMG|1RPLT	1RPLT|2DUST|368VULN|4ASPD|5FRZFST|7CDMG|9RCR|aMLV
89	66313 22211	   	231.98	DCR|3VULN|1MLV|1ASPD|1CDMG|1RPLT	1TSLARM|2ASPD|3RPLT|4CDMG|5MLV|6ERES|78aVULN|9RCR
90	64123 23623	   	231.96	DCR|2VULN|3DMG|1ASPD|1RPLT	1TSLARM|25VULN|345DMG|5BPWR|6ASPD|7MULARM|8MDPS|9RCR|aRPLT
91	35314 26513	   	231.46	DCR|2VULN|2DMG|2DUR|1CDMG|1RPLT	1RPLT|2MBVNT|37DUR|4CDMG|57VULN|67DMG|7BPWR|8LWND|9RCVC|aRCR
92	35314 26613	   	231.36	DCR|2VULN|2DMG|2DUR|1CDMG|1RPLT	1RPLT|2MBVNT|37DUR|4CDMG|57VULN|67DMG|7BPWR|8DUST|9RCVC|aRCR
93	11211 55333	 * 	231.34	DCR|2VULN|2ASPD|1DMG|2CDMG|1RPLT	17DUST|2RPLT|37VULN|48CDMG|5BEXP|67ASPD|7BPWR|9RCR|aDMG
94	34211 55333	   	231.34	DCR|2VULN|2ASPD|1DMG|2CDMG|1RPLT	1RPLT|27DUST|37VULN|48CDMG|5BEXP|67ASPD|7BPWR|9RCR|aDMG
95	61346 22372	   	231.20	DCR|DCR|1DMG|1MLV	1TSLARM|2AME|3MBVNT|4TBNT|5CGEN|6MLV|79RCR|8DMG|aDUR
96	11314 52241	   	231.19	DCR|DCR|1MLV|2RPLT|1CDMG|1ZMB	1DUST|25RPLT|3BEXP|4CDMG|69RCR|7MSLFST|8ZMB|aMLV
97	24231 35432	   	231.14	DCR|DCR|1VULN|1ASPD	1RCVC|2FEWX|3ASPD|4ERES|5CGEN|6MDPS|7VULN|8aRCR|9AAC
98	41321 35432	   	231.14	DCR|DCR|1VULN|1ASPD	1RMIN|2ASPD|3ERES|4TLV|5CGEN|6MDPS|7VULN|8aRCR|9AAC
99	61331 22372	   	231.10	DCR|DCR|1DMG|1MLV	1TSLARM|2AME|3MBVNT|4ERES|5TBNT|6MLV|79RCR|8DMG|aDUR
100	61343 22372	   	231.10	DCR|DCR|1DMG|1MLV	1TSLARM|2AME|3MBVNT|4TBNT|5ERES|6MLV|79RCR|8DMG|aDUR
101	22231 35432	   	231.04	DCR|DCR|1VULN|1ASPD	1RCVC|2DUST|3ASPD|4ERES|5CGEN|6MDPS|7VULN|8aRCR|9AAC
102	65331 12471	   	230.94	DCR|DCR|1VULN|1ASPD	1TSLARM|2TLV|3MBVNT|4ERES|5TBNT|6AME|79RCR|8ASPD|aVULN
103	65343 12471	   	230.94	DCR|DCR|1VULN|1ASPD	1TSLARM|2TLV|3MBVNT|4TBNT|5ERES|6AME|79RCR|8ASPD|aVULN
104	22231 35462	   	230.80	DCR|DCR|1VULN|1ASPD|1ZMB	1RCVC|2DUST|3ASPD|4ERES|5CGEN|6MDPS|7VULN|8aRCR|9ZMB
105	35344 11454	   	230.08	DCR|DCR|1DMG|2DUR|1RPLT	1RPLT|2MBVNT|38DUR|4DMG|5LWND|6TBNT|7aRCR|9LHND
106	35344 11484	   	230.08	DCR|DCR|1DMG|2DUR|1RPLT	1RPLT|2MBVNT|38DUR|4DMG|5LWND|6TBNT|7aRCR|9BEXP
107	35344 11684	   	230.08	DCR|DCR|1DMG|2DUR|1RPLT	1RPLT|2MBVNT|39DUR|4DMG|5LWND|6TBNT|7aRCR|8FEWX
108	35344 41454	   	230.08	DCR|DCR|1DMG|2DUR|1RPLT	1RPLT|2MBVNT|38DUR|4DMG|5LWND|6BBNT|7aRCR|9LHND
109	35344 41484	   	230.08	DCR|DCR|1DMG|2DUR|1RPLT	1RPLT|2MBVNT|38DUR|4DMG|5LWND|6BBNT|7aRCR|9BEXP
110	35344 41684	   	230.08	DCR|DCR|1DMG|2DUR|1RPLT	1RPLT|2MBVNT|39DUR|4DMG|5LWND|6BBNT|7aRCR|8FEWX
111	35347 41454	   	230.08	DCR|DCR|1DMG|2DUR|1RPLT	1RPLT|2MBVNT|38DUR|4DMG|5BBNT|6FEWX|7aRCR|9LHND
112	35347 41484	   	230.08	DCR|DCR|1DMG|2DUR|1RPLT	1RPLT|2MBVNT|38DUR|4DMG|5BBNT|6FEWX|7aRCR|9BEXP
113	11213 43141	   	230.06	DCR|2VULN|2DMG|1ASPD|1CDMG|1RPLT	1DUST|2RPLT|38VULN|4CDMG|5TBNT|67DMG|9ASPD|aRCR
114	11216 43141	   	230.06	DCR|2VULN|2DMG|1ASPD|1CDMG|1RPLT	1DUST|2RPLT|38VULN|4CDMG|5BBNT|67DMG|9ASPD|aRCR
115	34213 43141	   	230.06	DCR|2VULN|2DMG|1ASPD|1CDMG|1RPLT	1RPLT|2DUST|38VULN|4CDMG|5TBNT|67DMG|9ASPD|aRCR
116	22265 23532	   	229.65	ACR|DCR|1VULN|2ASPD|2DUR	1RCVC|27DUST|37ASPD|47DUR|58RCR|6MDPS|7BPWR|9DMSP|aVULN
117	63433 33336	   	229.43	ACR|DCR|1VULN|1MLV|1ASPD|1RPLT	1TSLARM|28RCR|3VULN|4MLV|5RPLT|6DUST|7LIT|9RMIN|aASPD
118	63213 24262	   	229.43	ACR|DCR|1VULN|1MLV|1CDMG|1RPLT	1TSLARM|29RCR|3CGEN|4MLV|5NUKE|6BEXP|7VULN|8RPLT|aCDMG
119	35344 24663	   	229.26	DCR|3VULN|1DMG|1CDMG|1RPLT	1RPLT|2MBVNT|3DUR|4DMG|5LWND|678VULN|9CDMG|aRCR
120	21621 53141	   	229.19	ACR|DCR|1VULN|1MLV|1ASPD|1RPLT|1SELL	1RCVC|2SPLJET|39RCR|4SELL|5ASPD|6RPLT|7DUST|8VULN|aMLV
121	32531 34122	   	229.16	DCR|2VULN|2DMG|2ASPD|1RPLT	1RPLT|27LIT|3FEWX|47ASPD|57DMG|6RCR|7BPWR|8TBNT|9aVULN
122	32531 34222	   	229.16	DCR|2VULN|2DMG|2ASPD|1RPLT	1RPLT|27LIT|3FEWX|47ASPD|57DMG|6RCR|7BPWR|8BBNT|9aVULN
123	23416 43231	 * 	228.91	DCR|2VULN|2MLV|1DMG|2CDMG	1RCVC|2BBNT|3aMLV|4aCDMG|5TBNT|6TLV|7DMG|8aVULN|9RCR|aBPWR
124	35114 83161	   	228.87	DCR|DCR|1DMG|1ASPD|1RPLT	1RPLT|2MBVNT|3BELT|4TLV|5BBNT|6aRCR|7ASPD|8DMG|9CGEN
125	35144 31271	   	228.87	DCR|DCR|1DMG|1ASPD|1RPLT	1RPLT|2MBVNT|3BELT|4DMG|5BBNT|6CGEN|7RMIN|8ASPD|9aRCR
126	35114 83121	   	228.77	DCR|DCR|1DMG|1ASPD|1RPLT	1RPLT|2MBVNT|3BELT|4TLV|5BBNT|6aRCR|7ASPD|8DMG|9ERES
127	35114 83471	   	228.77	DCR|DCR|1DMG|1ASPD|1RPLT	1RPLT|2MBVNT|3BELT|4TLV|5BBNT|6aRCR|7ASPD|8ERES|9DMG
128	35164 83121	   	228.67	DCR|DCR|1DMG|1ASPD|1RPLT	1RPLT|2MBVNT|3BELT|4AME|5BBNT|6aRCR|7ASPD|8DMG|9ERES
129	22215 52522	   	228.54	ACR|DCR|2VULN|1ASPD	1RCVC|2DUST|3ASPD|4LHND|58RCR|6aVULN|7LWND|9DMSP
130	41335 32522	   	228.54	ACR|DCR|2VULN|1ASPD	1RMIN|2ASPD|3ERES|4BEXP|58RCR|6aVULN|7LWND|9DMSP
131	35144 82481	   	228.48	DCR|DCR|1DMG|2RPLT|1ZMB	17RPLT|2MBVNT|3BELT|4DMG|5BBNT|6aRCR|8ZMB|9DUR
132	63411 33523	   	228.44	ACR|DCR|2VULN|1CDMG	1TSLARM|29RCR|37VULN|4MDPS|5BELT|6BBNT|8CDMG|aLIT
133	35314 56121	   	228.37	DCR|4VULN|1CDMG|1RPLT	1RPLT|2MBVNT|3DUR|4CDMG|5679VULN|8TBNT|aRCR
134	63411 33521	   	228.34	ACR|DCR|2VULN|1CDMG	1TSLARM|29RCR|37VULN|4MDPS|5BELT|6BBNT|8CDMG|aBLASTR
135	63411 33522	   	228.34	ACR|DCR|2VULN|1CDMG	1TSLARM|29RCR|37VULN|4MDPS|5BELT|6BBNT|8CDMG|aAELOIC
136	63122 25263	   	228.24	ACR|DCR|1VULN|2ASPD|1CDMG	1TSLARM|29RCR|3MDPS|4CDMG|57ASPD|6AAC|8DUST|aVULN
137	13661 12351	 * 	227.27	DCR|3VULN|3DUR|1DMG|1AART	19DUST|2LHND|389VULN|459DUR|6AART|7RCR|9BPWR|aDMG
138	26652 12332	   	227.15	DCR|DCR|1VULN|1AART	1RCVC|2LEGI|3AART|4LWND|5LIT|6aRCR|7VULN|8MDPS|9CGEN
139	26622 12332	   	227.05	DCR|DCR|1VULN|1AART	1RCVC|2LEGI|3AART|4DUST|5LIT|6aRCR|7VULN|8MDPS|9CGEN
