0	Index      	 *	Score 	Summary	Detail	
1	32221 21114	 * 	287.70	DCR|DCR|2MLV|1VULN|1ASPD|1CDMG|1RPLT	12MLV|3BELT|4VULN|5ERES|6RPLT|7aRCR|8CDMG|9ASPD
39	32521 21536	   	269.52	ACR|DCR|2MLV|1VULN|1DMG|1AART|1RPLT	12MLV|37RCR|4VULN|5DMG|6RPLT|8AART|9DUR|aERES
40	32521 21153	   	269.14	ACR|DCR|2DMG|2MLV|1VULN|1RPLT	12MLV|37RCR|4VULN|59DMG|6RPLT|8ERES|aBBNT
41	32521 21155	   	269.14	ACR|DCR|2DMG|2MLV|1VULN|1RPLT	12MLV|37RCR|4VULN|59DMG|6RPLT|8ERES|aFEWX
42	32521 21151	   	269.04	ACR|DCR|2DMG|2MLV|1VULN|1RPLT	12MLV|37RCR|4VULN|59DMG|6RPLT|8ERES|aMBVNT
43	32521 21152	   	269.04	ACR|DCR|2DMG|2MLV|1VULN|1RPLT	12MLV|37RCR|4VULN|59DMG|6RPLT|8ERES|aMDPS
44	32522 21551	   	268.97	ACR|DCR|3MLV|1VULN|1ASPD|1AART|1RPLT	12aMLV|37RCR|4VULN|5ASPD|6RPLT|8AART|9BBNT
45	32522 21561	   	268.55	ACR|DCR|2MLV|1VULN|1ASPD|1CDMG|1AART|1RPLT	12MLV|37RCR|4VULN|5ASPD|6RPLT|8AART|9RCVC|aCDMG
46	32522 21351	   	268.45	ACR|DCR|2MLV|1VULN|1ASPD|1CDMG|1AART|1RPLT	12MLV|37RCR|4VULN|5ASPD|6RPLT|8AELOIC|9AART|aCDMG
47	32522 21535	   	268.40	ACR|DCR|2MLV|1VULN|2RPLT|1ASPD|1AART	12MLV|37RCR|4VULN|5ASPD|6aRPLT|8AART|9DUR
48	32521 32615	   	268.10	ACR|DCR|2VULN|2MLV|1DMG	12MLV|39RCR|4aVULN|5DMG|6BELT|7BEXP|8MDPS
49	32521 33615	   	268.10	ACR|DCR|2VULN|2MLV|1DMG	12MLV|39RCR|4aVULN|5DMG|6BELT|7LHND|8MDPS
50	32522 21422	   	267.20	ACR|DCR|2MLV|1VULN|1ASPD|1CDMG|1RPLT	12MLV|37RCR|4VULN|5ASPD|6RPLT|8DUR|9CDMG|aBBNT
51	32522 21424	   	267.20	ACR|DCR|2MLV|1VULN|1ASPD|1CDMG|1RPLT	12MLV|37RCR|4VULN|5ASPD|6RPLT|8DUR|9CDMG|aTLV
52	32522 21162	   	267.10	ACR|DCR|2MLV|1VULN|1ASPD|1CDMG|1RPLT	12MLV|37RCR|4VULN|5ASPD|6RPLT|8ERES|9CDMG|aDUR
53	32522 21421	   	267.10	ACR|DCR|2MLV|1VULN|1ASPD|1CDMG|1RPLT|1MSE	12MLV|37RCR|4VULN|5ASPD|6RPLT|8DUR|9CDMG|aMSE
54	32522 21425	   	267.10	ACR|DCR|2MLV|1VULN|1ASPD|1CDMG|1RPLT	12MLV|37RCR|4VULN|5ASPD|6RPLT|8DUR|9CDMG|aAIRHEA
55	32522 21426	   	267.10	ACR|DCR|2MLV|1VULN|1ASPD|1CDMG|1RPLT	12MLV|37RCR|4VULN|5ASPD|6RPLT|8DUR|9CDMG|aERES
56	32522 21435	   	267.10	ACR|DCR|2MLV|1VULN|1ASPD|1CDMG|1RPLT	12MLV|37RCR|4VULN|5ASPD|6RPLT|8DUR|9DUST|aCDMG
57	32522 21443	 * 	266.00	ACR|DCR|2MLV|1VULN|2ASPD|1RPLT	12MLV|37RCR|4VULN|5aASPD|6RPLT|8DUR|9BELT
58	32552 21323	   	265.83	ACR|DCR|2MLV|1VULN|1ASPD|1CDMG|1RPLT	12MLV|37RCR|4LWND|5ASPD|6RPLT|8VULN|9CDMG|aNUKE
59	32522 21223	   	265.73	ACR|DCR|2MLV|1VULN|1ASPD|1CDMG|1RPLT	12MLV|37RCR|4VULN|5ASPD|6RPLT|8LEGI|9CDMG|aNUKE
60	32522 21623	   	265.73	ACR|DCR|2MLV|1VULN|1ASPD|1CDMG|1RPLT	12MLV|37RCR|4VULN|5ASPD|6RPLT|8DUST|9CDMG|aNUKE
61	32531 21323	   	265.72	ACR|DCR|3MLV|1VULN|1DMG|1RPLT	128MLV|37RCR|4FEWX|5DMG|6RPLT|9LHND|aVULN
62	32531 21353	   	265.72	ACR|DCR|3MLV|1VULN|1DMG|1RPLT	128MLV|37RCR|4FEWX|5DMG|6RPLT|9BEXP|aVULN
63	32531 21365	   	265.72	ACR|DCR|3MLV|1VULN|1DMG|1RPLT	128MLV|37RCR|4FEWX|5DMG|6RPLT|9TBNT|aVULN
64	32521 21115	   	265.62	ACR|DCR|3MLV|1VULN|1DMG|1RPLT	12aMLV|37RCR|4VULN|5DMG|6RPLT|8ERES|9LHND
65	32521 21145	   	265.62	ACR|DCR|3MLV|1VULN|1DMG|1RPLT	12aMLV|37RCR|4VULN|5DMG|6RPLT|8ERES|9LWND
66	32521 21324	   	265.62	ACR|DCR|3MLV|1VULN|1DMG|1RPLT	12aMLV|37RCR|4VULN|5DMG|6RPLT|8AELOIC|9RCVC
67	32551 21322	   	265.31	ACR|DCR|2MLV|1VULN|1DMG|1CDMG|1RPLT	12MLV|37RCR|4LWND|5DMG|6RPLT|8VULN|9CDMG|aBBNT
68	32551 21324	   	265.31	ACR|DCR|2MLV|1VULN|1DMG|1CDMG|1RPLT	12MLV|37RCR|4LWND|5DMG|6RPLT|8VULN|9CDMG|aTLV
69	32551 21343	   	265.31	ACR|DCR|2MLV|1VULN|1DMG|1ASPD|1RPLT	12MLV|37RCR|4LWND|5DMG|6RPLT|8VULN|9BELT|aASPD
70	32521 21222	   	265.21	ACR|DCR|2MLV|1VULN|1DMG|1CDMG|1RPLT	12MLV|37RCR|4VULN|5DMG|6RPLT|8LEGI|9CDMG|aBBNT
71	32521 21224	   	265.21	ACR|DCR|2MLV|1VULN|1DMG|1CDMG|1RPLT	12MLV|37RCR|4VULN|5DMG|6RPLT|8LEGI|9CDMG|aTLV
72	32521 21243	   	265.21	ACR|DCR|2MLV|1VULN|1DMG|1ASPD|1RPLT	12MLV|37RCR|4VULN|5DMG|6RPLT|8LEGI|9BELT|aASPD
73	32521 21255	   	265.21	ACR|DCR|2MLV|1VULN|1DMG|1CDMG|1RPLT	12MLV|37RCR|4VULN|5DMG|6RPLT|8LEGI|9FEWX|aCDMG
74	32521 21265	   	265.21	ACR|DCR|2MLV|1VULN|1DMG|1CDMG|1RPLT	12MLV|37RCR|4VULN|5DMG|6RPLT|8LEGI|9LHND|aCDMG
75	32521 21621	   	265.21	ACR|DCR|2MLV|1VULN|1DMG|1CDMG|1RPLT	12MLV|37RCR|4VULN|5DMG|6RPLT|8DUST|9CDMG|aBEXP
76	32521 21622	   	265.21	ACR|DCR|2MLV|1VULN|1DMG|1CDMG|1RPLT	12MLV|37RCR|4VULN|5DMG|6RPLT|8DUST|9CDMG|aBBNT
77	32521 21624	   	265.21	ACR|DCR|2MLV|1VULN|1DMG|1CDMG|1RPLT	12MLV|37RCR|4VULN|5DMG|6RPLT|8DUST|9CDMG|aTLV
78	32522 21151	   	265.21	ACR|DCR|2MLV|1VULN|1DMG|1ASPD|1RPLT	12MLV|37RCR|4VULN|5ASPD|6RPLT|8ERES|9DMG|aFRZARM
79	32522 21152	   	265.21	ACR|DCR|2MLV|1VULN|1DMG|1ASPD|1RPLT	12MLV|37RCR|4VULN|5ASPD|6RPLT|8ERES|9DMG|aCGEN
80	32522 21154	   	265.21	ACR|DCR|2MLV|1VULN|1DMG|1ASPD|1RPLT	12MLV|37RCR|4VULN|5ASPD|6RPLT|8ERES|9DMG|aAAC
81	32522 21155	   	265.21	ACR|DCR|2MLV|1VULN|1DMG|1ASPD|1RPLT	12MLV|37RCR|4VULN|5ASPD|6RPLT|8ERES|9DMG|aLIT
82	32551 21321	   	265.21	ACR|DCR|2MLV|1VULN|1DMG|1CDMG|1RPLT|1MSE	12MLV|37RCR|4LWND|5DMG|6RPLT|8VULN|9CDMG|aMSE
83	32551 21325	   	265.21	ACR|DCR|2MLV|1VULN|1DMG|1CDMG|1RPLT	12MLV|37RCR|4LWND|5DMG|6RPLT|8VULN|9CDMG|aAIRHEA
84	32551 21326	   	265.21	ACR|DCR|2MLV|1VULN|1DMG|1CDMG|1RPLT	12MLV|37RCR|4LWND|5DMG|6RPLT|8VULN|9CDMG|aERES
85	32551 21335	   	265.21	ACR|DCR|2MLV|1VULN|1DMG|1CDMG|1RPLT	12MLV|37RCR|4LWND|5DMG|6RPLT|8VULN|9DUST|aCDMG
86	32521 21221	   	265.11	ACR|DCR|2MLV|1VULN|1DMG|1CDMG|1RPLT|1MSE	12MLV|37RCR|4VULN|5DMG|6RPLT|8LEGI|9CDMG|aMSE
87	32521 21225	   	265.11	ACR|DCR|2MLV|1VULN|1DMG|1CDMG|1RPLT	12MLV|37RCR|4VULN|5DMG|6RPLT|8LEGI|9CDMG|aAIRHEA
88	32521 21226	   	265.11	ACR|DCR|2MLV|1VULN|1DMG|1CDMG|1RPLT	12MLV|37RCR|4VULN|5DMG|6RPLT|8LEGI|9CDMG|aERES
89	32521 21235	   	265.11	ACR|DCR|2MLV|1VULN|1DMG|1CDMG|1RPLT	12MLV|37RCR|4VULN|5DMG|6RPLT|8LEGI|9DUST|aCDMG
90	32521 21625	   	265.11	ACR|DCR|2MLV|1VULN|1DMG|1CDMG|1RPLT	12MLV|37RCR|4VULN|5DMG|6RPLT|8DUST|9CDMG|aAIRHEA
91	32521 21626	   	265.11	ACR|DCR|2MLV|1VULN|1DMG|1CDMG|1RPLT	12MLV|37RCR|4VULN|5DMG|6RPLT|8DUST|9CDMG|aERES
92	32522 21153	   	265.11	ACR|DCR|2MLV|1VULN|1DMG|1ASPD|1RPLT|1MSE	12MLV|37RCR|4VULN|5ASPD|6RPLT|8ERES|9DMG|aMSE
93	32522 21165	 * 	265.11	ACR|DCR|2MLV|1VULN|2CDMG|1ASPD|1RPLT	12MLV|37RCR|4VULN|5ASPD|6RPLT|8ERES|9aCDMG
94	32521 21346	   	264.96	ACR|DCR|2MLV|1VULN|1DMG|1ASPD|1RPLT|1ZMB	12MLV|37RCR|4VULN|5DMG|6RPLT|8AELOIC|9ZMB|aASPD
95	32213 36615	   	264.39	DCR|DCR|2MLV|1VULN|1ASPD	12MLV|3BELT|4ASPD|5TLV|6TBNT|79RCR|8ERES|aVULN
96	32121 32256	   	263.91	DCR|2VULN|3MLV|2DMG|1ASPD|1RPLT	127MLV|3RPLT|47DMG|57VULN|6RMIN|7BPWR|8BEXP|9RCR|aASPD
97	32111 42256	   	263.67	DCR|2VULN|3MLV|2DMG|1ASPD|1RPLT|1ZMB	127MLV|3RPLT|4ZMB|57VULN|67DMG|7BPWR|8BEXP|9RCR|aASPD
98	32522 21531	   	263.21	ACR|DCR|2MLV|1VULN|1ASPD|1AART|1RPLT	12MLV|37RCR|4VULN|5ASPD|6RPLT|8AART|9DUR|aLIT
99	32522 21534	   	263.21	ACR|DCR|2MLV|1VULN|1ASPD|1AART|1RPLT	12MLV|37RCR|4VULN|5ASPD|6RPLT|8AART|9DUR|aBBNT
100	32522 21532	   	263.11	ACR|DCR|2MLV|1VULN|1ASPD|1AART|1RPLT	12MLV|37RCR|4VULN|5ASPD|6RPLT|8AART|9DUR|aTSLARM
101	32522 21533	   	263.11	ACR|DCR|2MLV|1VULN|1ASPD|1AART|1RPLT	12MLV|37RCR|4VULN|5ASPD|6RPLT|8AART|9DUR|aDUST
102	32522 21536	   	263.11	ACR|DCR|2MLV|1VULN|1ASPD|1AART|1RPLT	12MLV|37RCR|4VULN|5ASPD|6RPLT|8AART|9DUR|aERES
103	32522 21126	   	262.79	ACR|DCR|2MLV|1VULN|2ASPD|2RPLT	12MLV|37RCR|4VULN|5aASPD|69RPLT|8ERES
104	22221 15142	   	262.12	DCR|DCR|2MLV|1DMG|1ASPD|1RPLT	1DMG|23MLV|4BEXP|5RPLT|6LIT|7ASPD|8aRCR|9AAC
105	34221 53335	   	262.08	DCR|3VULN|2DMG|2MLV|1CDMG|1SELL	17MLV|257VULN|3SELL|47DMG|6RCVC|7BPWR|8CDMG|9AAC|aRCR
106	32522 32615	   	261.68	ACR|DCR|2VULN|2MLV|1ASPD	12MLV|39RCR|4aVULN|5ASPD|6BELT|7BEXP|8MDPS
107	32522 33615	   	261.68	ACR|DCR|2VULN|2MLV|1ASPD	12MLV|39RCR|4aVULN|5ASPD|6BELT|7LHND|8MDPS
108	32521 21541	   	261.32	ACR|DCR|2MLV|1VULN|1DMG|1AART|1RPLT	12MLV|37RCR|4VULN|5DMG|6RPLT|8AART|9BEXP|aLIT
109	32521 21553	   	261.32	ACR|DCR|2MLV|1VULN|1DMG|1AART|1RPLT	12MLV|37RCR|4VULN|5DMG|6RPLT|8AART|9BBNT|aLHND
110	32521 21332	   	261.22	ACR|DCR|2MLV|1VULN|1DMG|1AART|1RPLT	12MLV|37RCR|4VULN|5DMG|6RPLT|8AELOIC|9TBNT|aAART
111	32521 21511	   	261.22	ACR|DCR|2MLV|1VULN|1DMG|1AART|1RPLT	12MLV|37RCR|4VULN|5DMG|6RPLT|8AART|9MSLREG|aLHND
112	32521 21512	   	261.22	ACR|DCR|2MLV|1VULN|1DMG|1AART|1RPLT	12MLV|37RCR|4VULN|5DMG|6RPLT|8AART|9MSLREG|aBEXP
113	32521 21515	   	261.22	ACR|DCR|2MLV|1VULN|1DMG|1AART|1RPLT	12MLV|37RCR|4VULN|5DMG|6RPLT|8AART|9MSLREG|aBBNT
114	32521 21521	   	261.22	ACR|DCR|2MLV|1VULN|1DMG|1AART|1RPLT	12MLV|37RCR|4VULN|5DMG|6RPLT|8AART|9SPLREG|aLHND
115	32521 21522	   	261.22	ACR|DCR|2MLV|1VULN|1DMG|1AART|1RPLT	12MLV|37RCR|4VULN|5DMG|6RPLT|8AART|9SPLREG|aBEXP
116	32521 21525	   	261.22	ACR|DCR|2MLV|1VULN|1DMG|1AART|1RPLT	12MLV|37RCR|4VULN|5DMG|6RPLT|8AART|9SPLREG|aBBNT
117	32521 21542	   	261.22	ACR|DCR|2MLV|1VULN|1DMG|1AART|1RPLT	12MLV|37RCR|4VULN|5DMG|6RPLT|8AART|9BEXP|aTSLARM
118	32521 21543	   	261.22	ACR|DCR|2MLV|1VULN|1DMG|1AART|1RPLT	12MLV|37RCR|4VULN|5DMG|6RPLT|8AART|9BEXP|aDUST
119	32521 21552	   	261.22	ACR|DCR|2MLV|1VULN|1DMG|1AART|1RPLT	12MLV|37RCR|4VULN|5DMG|6RPLT|8AART|9BBNT|aDUST
120	32521 21562	   	261.22	ACR|DCR|2MLV|1VULN|1DMG|1AART|1RPLT	12MLV|37RCR|4VULN|5DMG|6RPLT|8AART|9RCVC|aMDPS
121	32521 21563	   	261.22	ACR|DCR|2MLV|1VULN|1DMG|1AART|1RPLT	12MLV|37RCR|4VULN|5DMG|6RPLT|8AART|9RCVC|aBLASTR
122	32521 21352	   	261.12	ACR|DCR|2MLV|1VULN|1DMG|1AART|1RPLT	12MLV|37RCR|4VULN|5DMG|6RPLT|8AELOIC|9AART|aMDPS
123	32521 21353	   	261.12	ACR|DCR|2MLV|1VULN|1DMG|1AART|1RPLT	12MLV|37RCR|4VULN|5DMG|6RPLT|8AELOIC|9AART|aBLASTR
124	32521 21354	   	261.12	ACR|DCR|2MLV|1VULN|1DMG|1AART|1RPLT	12MLV|37RCR|4VULN|5DMG|6RPLT|8AELOIC|9AART|aERES
125	32521 21355	   	261.12	ACR|DCR|2MLV|1VULN|1DMG|1AART|1RPLT	12MLV|37RCR|4VULN|5DMG|6RPLT|8AELOIC|9AART|aDUST
126	32521 21513	   	261.12	ACR|DCR|2MLV|1VULN|1DMG|1AART|1RPLT|1SELL	12MLV|37RCR|4VULN|5DMG|6RPLT|8AART|9MSLREG|aSELL
127	32521 21516	   	261.12	ACR|DCR|2MLV|1VULN|1DMG|1AART|1RPLT	12MLV|37RCR|4VULN|5DMG|6RPLT|8AART|9MSLREG|aAELOIC
128	32521 21523	   	261.12	ACR|DCR|2MLV|1VULN|1DMG|1AART|1RPLT|1SELL	12MLV|37RCR|4VULN|5DMG|6RPLT|8AART|9SPLREG|aSELL
129	32521 21526	   	261.12	ACR|DCR|2MLV|1VULN|1DMG|1AART|1RPLT	12MLV|37RCR|4VULN|5DMG|6RPLT|8AART|9SPLREG|aAELOIC
130	32521 21442	   	259.96	ACR|DCR|2MLV|1VULN|1DMG|1RPLT	12MLV|37RCR|4VULN|5DMG|6RPLT|8DUR|9BELT|aFEWX
131	32521 21451	   	259.96	ACR|DCR|2MLV|1VULN|1DMG|1RPLT	12MLV|37RCR|4VULN|5DMG|6RPLT|8DUR|9FEWX|aBBNT
132	32521 21461	   	259.96	ACR|DCR|2MLV|1VULN|1DMG|1RPLT	12MLV|37RCR|4VULN|5DMG|6RPLT|8DUR|9LHND|aBBNT
133	32531 21443	   	259.96	ACR|DCR|2MLV|1VULN|1DMG|1RPLT	12MLV|37RCR|4FEWX|5DMG|6RPLT|8DUR|9RCVC|aVULN
134	32531 21463	   	259.96	ACR|DCR|2MLV|1VULN|1DMG|1RPLT	12MLV|37RCR|49FEWX|5DMG|6RPLT|8DUR|aVULN
135	32531 21523	   	259.96	ACR|DCR|2MLV|1VULN|1DMG|1RPLT	12MLV|37RCR|4FEWX|5DMG|6RPLT|8DMSP|9DUR|aVULN
136	32531 21623	   	259.96	ACR|DCR|2MLV|1VULN|1DMG|1RPLT	12MLV|37RCR|48FEWX|5DMG|6RPLT|9DUR|aVULN
137	32121 32253	   	259.93	DCR|2VULN|3MLV|2DMG|1AART|1RPLT	127MLV|3RPLT|47DMG|57VULN|6RMIN|7BPWR|8BEXP|9RCR|aAART
138	32141 42253	   	259.93	DCR|2VULN|3MLV|2DMG|1AART|1RPLT	127MLV|3RPLT|4RMIN|57VULN|67DMG|7BPWR|8BEXP|9RCR|aAART
139	32521 21431	   	259.86	ACR|DCR|2MLV|1VULN|1DMG|1RPLT	12MLV|37RCR|4VULN|5DMG|6RPLT|8DUR|9DUST|aBBNT
140	32521 21433	   	259.86	ACR|DCR|2MLV|1VULN|1DMG|1RPLT	12MLV|37RCR|4VULN|5DMG|6RPLT|8DUR|9DUST|aBEXP
141	32521 21436	   	259.86	ACR|DCR|2MLV|1VULN|1DMG|1RPLT	12MLV|37RCR|4VULN|5DMG|6RPLT|8DUR|9DUST|aRCVC
142	32521 21441	   	259.86	ACR|DCR|2MLV|1VULN|1DMG|1RPLT|1ZMB	12MLV|37RCR|4VULN|5DMG|6RPLT|8DUR|9BELT|aZMB
143	32521 21452	   	259.86	ACR|DCR|2MLV|1VULN|1DMG|1RPLT	12MLV|37RCR|4VULN|5DMG|6RPLT|8DUR|9FEWX|aAME
144	32521 21453	   	259.86	ACR|DCR|2MLV|1VULN|1DMG|1RPLT|1MSE	12MLV|37RCR|4VULN|5DMG|6RPLT|8DUR|9FEWX|aMSE
145	32521 21462	   	259.86	ACR|DCR|2MLV|1VULN|1DMG|1RPLT	12MLV|37RCR|4VULN|5DMG|6RPLT|8DUR|9LHND|aAME
146	32521 21463	   	259.86	ACR|DCR|2MLV|1VULN|1DMG|1RPLT|1MSE	12MLV|37RCR|4VULN|5DMG|6RPLT|8DUR|9LHND|aMSE
147	32521 21133	   	259.86	ACR|DCR|2MLV|1VULN|1DMG|1RPLT	12MLV|37RCR|4VULN|5DMG|6RPLT|8ERES|9CGEN|aDUR
148	32521 21653	   	259.86	ACR|DCR|2MLV|1VULN|1DMG|1RPLT	12MLV|37RCR|4VULN|5DMG|6RPLT|8DUST|9LIT|aDUR
149	32121 32153	   	259.83	DCR|2VULN|3MLV|2DMG|1AART|1RPLT	127MLV|3RPLT|47DMG|57VULN|6RMIN|7BPWR|8DUST|9RCR|aAART
150	32141 42153	   	259.83	DCR|2VULN|3MLV|2DMG|1AART|1RPLT	127MLV|3RPLT|4RMIN|57VULN|67DMG|7BPWR|8DUST|9RCR|aAART
151	32521 21411	   	259.76	ACR|DCR|2MLV|1VULN|1DMG|1RPLT|1MSE	12MLV|37RCR|4VULN|5DMG|6RPLT|8DUR|9MSE|aBBNT
152	32521 21412	   	259.76	ACR|DCR|2MLV|1VULN|1DMG|1RPLT|1MSE	12MLV|37RCR|4VULN|5DMG|6RPLT|8DUR|9MSE|aAME
153	32521 21413	   	259.76	ACR|DCR|2MLV|1VULN|1DMG|1RPLT|1MSE	12MLV|37RCR|4VULN|5DMG|6RPLT|8DUR|9MSE|aBEXP
154	32521 21414	   	259.76	ACR|DCR|2MLV|1VULN|1DMG|1RPLT|1MSE	12MLV|37RCR|4VULN|5DMG|6RPLT|8DUR|9MSE|aFRZFST
155	32521 21415	   	259.76	ACR|DCR|2MLV|1VULN|1DMG|1CDMG|1RPLT|1MSE	12MLV|37RCR|4VULN|5DMG|6RPLT|8DUR|9MSE|aCDMG
