0	Index      	 *	Score 	Summary	Detail	
1	32212 54828	 * 	278.82	DCR|DCR|2VULN|1DMG|2DUR	14LWND|24DUR|3MBVNT|4BPWR|56VULN|7aRCR|8DMG|9BELT
32	32354 31353	   	252.00	DCR|DCR|2VULN|1MSE	1LWND|2DUR|3LIT|47VULN|5FEWX|69RCR|8AELOIC|aMSE
33	63352 31351	   	251.90	DCR|DCR|2VULN	1LEGI|2DUST|3LIT|47VULN|5LWND|69RCR|8AELOIC|aDUR
34	63353 31351	   	251.90	DCR|DCR|2VULN	1LEGI|2DUST|3LIT|47VULN|5BEXP|69RCR|8AELOIC|aDUR
35	62261 34843	 * 	251.90	DCR|DCR|1VULN|2ASPD	1LEGI|2MBVNT|35ASPD|4FEWX|6DUR|79RCR|8LHND|aVULN
36	63336 31352	   	251.80	DCR|DCR|2VULN	1LEGI|2DUST|3LIT|4DUR|57VULN|69RCR|8AELOIC|aERES
37	63336 31353	   	251.80	DCR|DCR|2VULN|1MSE	1LEGI|2DUST|3LIT|4DUR|57VULN|69RCR|8AELOIC|aMSE
38	63351 31352	   	251.80	DCR|DCR|2VULN	1LEGI|2DUST|3LIT|47VULN|5DUR|69RCR|8AELOIC|aERES
39	63351 31353	   	251.80	DCR|DCR|2VULN|1MSE	1LEGI|2DUST|3LIT|47VULN|5DUR|69RCR|8AELOIC|aMSE
40	62241 34242	   	251.80	DCR|DCR|1VULN|2ASPD	1LEGI|2MBVNT|35ASPD|4VULN|6DUR|79RCR|8DUST|aTBNT
41	62241 34244	   	251.80	DCR|DCR|1VULN|2ASPD	1LEGI|2MBVNT|35ASPD|4VULN|6DUR|79RCR|8DUST|aFEWX
42	62241 34245	   	251.80	DCR|DCR|1VULN|2ASPD	1LEGI|2MBVNT|35ASPD|4VULN|6DUR|79RCR|8DUST|aLWND
43	62241 34248	   	251.80	DCR|DCR|1VULN|2ASPD	1LEGI|2MBVNT|35ASPD|4VULN|6DUR|79RCR|8DUST|aRCVC
44	62241 34241	   	251.70	DCR|DCR|1VULN|2ASPD|1SELL	1LEGI|2MBVNT|35ASPD|4VULN|6DUR|79RCR|8DUST|aSELL
45	62241 34243	   	251.70	DCR|DCR|1VULN|2ASPD	1LEGI|2MBVNT|35ASPD|4VULN|6DUR|79RCR|8DUST|aAELOIC
46	62241 34246	   	251.70	DCR|DCR|1VULN|2ASPD	1LEGI|2MBVNT|35ASPD|4VULN|6DUR|79RCR|8aDUST
47	62241 34247	   	251.70	DCR|DCR|1VULN|2ASPD	1LEGI|2MBVNT|35ASPD|4VULN|6DUR|79RCR|8DUST|aERES
48	13232 66126	   	250.79	DCR|3VULN|1DMG|1MLV|1ASPD|1CDMG	1ERES|2CDMG|3DUR|4DMG|5ASPD|6MLV|78aVULN|9RCR
