0	Index      	 *	Score 	Summary	Detail	
1	45311 12343	 * 	261.83	DCR|DCR|2VULN|1ASPD|1SELL	17VULN|2ASPD|3SELL|4DUST|5LIT|6aRCR|8BELT|9ERES
16	43131 14133	   	238.32	DCR|DCR|1VULN|1RPLT	1VULN|2RPLT|3MDPS|4CGEN|5DUR|6BEXP|7aRCR|8RMIN|9DUST
17	43133 64133	   	238.32	DCR|DCR|1VULN|1RPLT	1VULN|2RPLT|3MDPS|4CGEN|5BEXP|6DUR|7aRCR|8RMIN|9DUST
18	43134 13363	   	238.32	DCR|DCR|1VULN|1RPLT	1VULN|2RPLT|3MDPS|4CGEN|5DUST|6BEXP|7TLV|8aRCR|9DUR
19	43141 14133	   	238.32	DCR|DCR|1VULN|1RPLT	1VULN|2RPLT|3MDPS|4TLV|5DUR|6BEXP|7aRCR|8RMIN|9DUST
20	43222 14133	   	238.32	DCR|DCR|1VULN|1RPLT	1VULN|2RPLT|3CGEN|4FEWX|5DUR|6MDPS|7aRCR|8RMIN|9DUST
21	43226 13363	   	238.32	DCR|DCR|1VULN|1RPLT	1VULN|2RPLT|3CGEN|4FEWX|5DUST|6MDPS|7TLV|8aRCR|9DUR
22	43232 14133	   	238.32	DCR|DCR|1VULN|1RPLT	1VULN|2RPLT|3CGEN|4BEXP|5DUR|6MDPS|7aRCR|8RMIN|9DUST
23	43236 13363	   	238.32	DCR|DCR|1VULN|1RPLT	1VULN|2RPLT|3CGEN|4BEXP|5DUST|6MDPS|7TLV|8aRCR|9DUR
24	61151 24133	   	238.32	DCR|DCR|1VULN|1RPLT	1CGEN|2BEXP|3MDPS|4RPLT|5DUR|6VULN|7aRCR|8RMIN|9DUST
25	43222 13333	   	238.32	DCR|DCR|1VULN|1RPLT	1VULN|2RPLT|3CGEN|4FEWX|5DUR|6MDPS|7TLV|8aRCR|9DUST
26	43225 13333	   	238.32	DCR|DCR|1VULN|1RPLT	1VULN|2RPLT|3CGEN|4FEWX|5RMIN|6MDPS|7DUR|8aRCR|9DUST
27	43235 13333	   	238.32	DCR|DCR|1VULN|1RPLT	1VULN|2RPLT|3CGEN|4BEXP|5RMIN|6MDPS|7DUR|8aRCR|9DUST
28	31151 24133	   	238.22	DCR|DCR|1VULN|1RPLT	1ERES|2BEXP|3MDPS|4RPLT|5DUR|6VULN|7aRCR|8RMIN|9DUST
29	31151 24433	   	238.22	DCR|DCR|1VULN|1RPLT	1ERES|2BEXP|3MDPS|4RPLT|5DUR|6VULN|7aRCR|8CGEN|9DUST
30	43622 14133	   	238.22	DCR|DCR|1VULN|1RPLT	1VULN|2RPLT|3ERES|4FEWX|5DUR|6MDPS|7aRCR|8RMIN|9DUST
31	43632 14133	   	238.22	DCR|DCR|1VULN|1RPLT	1VULN|2RPLT|3ERES|4BEXP|5DUR|6MDPS|7aRCR|8RMIN|9DUST
32	43131 14333	   	238.22	DCR|DCR|1VULN|1RPLT	1VULN|2RPLT|3MDPS|4CGEN|5DUR|6BEXP|7aRCR|8AME|9DUST
33	43133 64333	   	238.22	DCR|DCR|1VULN|1RPLT	1VULN|2RPLT|3MDPS|4CGEN|5BEXP|6DUR|7aRCR|8AME|9DUST
34	43141 14333	   	238.22	DCR|DCR|1VULN|1RPLT	1VULN|2RPLT|3MDPS|4TLV|5DUR|6BEXP|7aRCR|8AME|9DUST
35	43213 15333	   	238.22	DCR|DCR|1VULN|1RPLT	1VULN|2RPLT|3CGEN|4AME|5FEWX|6MDPS|7DUR|8aRCR|9DUST
36	43222 14333	   	238.22	DCR|DCR|1VULN|1RPLT	1VULN|2RPLT|3CGEN|4FEWX|5DUR|6MDPS|7aRCR|8AME|9DUST
37	43222 16333	   	238.22	DCR|DCR|1VULN|1RPLT	1VULN|2RPLT|3CGEN|4FEWX|5DUR|6MDPS|7ERES|8aRCR|9DUST
38	43223 15333	   	238.22	DCR|DCR|1VULN|1RPLT	1VULN|2RPLT|3CGEN|4FEWX|5AME|6MDPS|7DUR|8aRCR|9DUST
39	43232 14333	   	238.22	DCR|DCR|1VULN|1RPLT	1VULN|2RPLT|3CGEN|4BEXP|5DUR|6MDPS|7aRCR|8AME|9DUST
40	43243 12363	   	238.22	DCR|DCR|1VULN|1RPLT	1VULN|2RPLT|3CGEN|4ERES|5FEWX|6MDPS|7DUST|8aRCR|9DUR
41	43243 15333	   	238.22	DCR|DCR|1VULN|1RPLT	1VULN|2RPLT|3CGEN|4ERES|5FEWX|6MDPS|7DUR|8aRCR|9DUST
42	43622 13333	   	238.22	DCR|DCR|1VULN|1RPLT	1VULN|2RPLT|3ERES|4FEWX|5DUR|6MDPS|7TLV|8aRCR|9DUST
43	61151 24333	   	238.22	DCR|DCR|1VULN|1RPLT	1CGEN|2BEXP|3MDPS|4RPLT|5DUR|6VULN|7aRCR|8AME|9DUST
44	31151 24333	   	238.12	DCR|DCR|1VULN|1RPLT	1ERES|2BEXP|3MDPS|4RPLT|5DUR|6VULN|7aRCR|8AME|9DUST
45	43613 15333	   	238.12	DCR|DCR|1VULN|1RPLT	1VULN|2RPLT|3ERES|4AME|5FEWX|6MDPS|7DUR|8aRCR|9DUST
46	43622 14333	   	238.12	DCR|DCR|1VULN|1RPLT	1VULN|2RPLT|3ERES|4FEWX|5DUR|6MDPS|7aRCR|8AME|9DUST
47	43623 15333	   	238.12	DCR|DCR|1VULN|1RPLT	1VULN|2RPLT|3ERES|4FEWX|5AME|6MDPS|7DUR|8aRCR|9DUST
48	43632 14333	   	238.12	DCR|DCR|1VULN|1RPLT	1VULN|2RPLT|3ERES|4BEXP|5DUR|6MDPS|7aRCR|8AME|9DUST
49	16241 41427	   	237.98	DCR|DCR|1VULN|1MLV	1LIT|2BELT|36RCVC|4MBVNT|5MLV|7aRCR|8VULN|9BEXP
50	44333 23232	   	237.50	DCR|4VULN|1DMG|1ASPD	149aVULN|2BEXP|3BLAICY|5DMG|6LWND|7ASPD|8RCR
51	42334 63221	 * 	236.84	DCR|3VULN|2MLV|1DMG	147VULN|2aFEWX|37BLAICY|5MDPS|67MLV|7BPWR|8DMG|9RCR
52	42334 63222	   	236.84	DCR|3VULN|2MLV|1DMG	147VULN|2FEWX|37BLAICY|5MDPS|67MLV|7BPWR|8DMG|9RCR|aLWND
53	42334 63223	   	236.84	DCR|3VULN|2MLV|1DMG	147VULN|2FEWX|37BLAICY|5MDPS|67MLV|7BPWR|8DMG|9RCR|aBEXP
54	43311 22513	 * 	236.07	DCR|2VULN|2ASPD|3DUR|1DMG|1RPLT	19VULN|2RPLT|39ASPD|4AME|5TLV|6RCR|789DUR|9BPWR|aDMG
55	43341 22513	   	236.07	DCR|2VULN|2ASPD|3DUR|1DMG|1RPLT	19VULN|2RPLT|39ASPD|4ERES|5TLV|6RCR|789DUR|9BPWR|aDMG
56	42261 23215	   	235.34	DCR|3VULN|2DMG|1ASPD	137VULN|239FEWX|37BPWR|47DMG|5BELT|67LIT|8ASPD|aRCR
57	45262 23232	   	234.94	DCR|3VULN|2DMG|1ASPD	19aVULN|2ASPD|3LHND|4AIRARM|57DMG|6LWND|8RCR
58	44333 26231	   	234.88	DCR|3VULN|1DMG|1MLV|1CDMG	149VULN|2BEXP|3BLAICY|5DMG|6LWND|7MLV|8RCR|aCDMG
59	43311 22416	 * 	234.46	DCR|3VULN|2ASPD|2DUR|1RPLT	19aVULN|2RPLT|39ASPD|4AME|5TLV|6RCR|79DUR|8RCVC|9BPWR
60	11622 12226	   	234.10	DCR|DCR|1VULN|1ASPD	12LIT|3ASPD|4LWND|5RMIN|6NUKE|7VULN|8aRCR|9BELT
61	11643 12226	   	234.10	DCR|DCR|1VULN|1ASPD	12LIT|3ASPD|4TLV|5BEXP|6NUKE|7VULN|8aRCR|9BELT
62	11612 11226	   	234.00	DCR|DCR|1VULN|1ASPD	12LIT|3ASPD|4VULN|5RMIN|6NUKE|7LEGI|8aRCR|9BELT
63	43115 53313	 * 	233.22	DCR|3VULN|3DUR|1DMG|1RPLT	156VULN|2RPLT|3MDPS|458DUR|5BPWR|7DMG|9ERES|aRCR
64	43363 31533	   	232.89	DCR|3VULN|1MLV|1ASPD|1RPLT	168VULN|2RPLT|3ASPD|4DMSP|5BELT|7DUR|9MLV|aRCR
65	43312 62361	   	232.64	DCR|2VULN|1MLV|1ASPD|1CDMG|1AART|1RPLT	19VULN|2RPLT|3ASPD|4AME|5CDMG|6DUR|7MLV|8RCR|aAART
