0	Index      	 *	Score 	Summary	Detail	
1	21651 32333	 * 	308.84	DCR|DCR|2VULN|2DMG|1MLV	16CGEN|2RPLT|38DMG|4MLV|56VULN|6BPWR|7aRCR|9FEWX
27	34223 82513	   	284.45	DCR|DCR|2MLV|1VULN|1DMG|1CDMG	1MBVNT|29MLV|3VULN|4CGEN|5DMG|6CDMG|7aRCR|8FEWX
28	34223 82713	   	284.45	DCR|DCR|2MLV|1VULN|1DMG|1CDMG	1MBVNT|29MLV|3VULN|4CGEN|5DMG|6CDMG|7aRCR|8LWND
29	34223 82813	   	284.45	DCR|DCR|2MLV|1VULN|1DMG|1CDMG	1MBVNT|29MLV|3VULN|4CGEN|5DMG|6CDMG|7aRCR|8LHND
30	34238 58343	   	284.45	DCR|DCR|2MLV|1VULN|1DMG|1CDMG	1MBVNT|2aMLV|3VULN|4LWND|5AAC|68RCR|7CDMG|9DMG
31	36161 24343	   	284.20	DCR|DCR|2MLV|1VULN|1DMG|1ASPD|1SELL	1MBVNT|2SELL|3FEWX|4aMLV|5VULN|68RCR|7ASPD|9DMG
32	53213 22123	   	284.00	DCR|DCR|3VULN	1RPLT|268VULN|3DUR|4TBNT|5RCVC|7aRCR|9AAC
33	36161 24383	   	282.24	DCR|DCR|1VULN|1DMG|1MLV|1ASPD|1CDMG|1SELL	1MBVNT|2SELL|3FEWX|4MLV|5VULN|68RCR|7ASPD|9CDMG|aDMG
34	32328 34534	   	281.83	DCR|DCR|2VULN|1DMG	1MBVNT|2BBNT|3DMG|4DUR|5LIT|68RCR|7aVULN|9AART
35	34214 42173	   	281.05	DCR|DCR|2VULN|1DMG|1MLV|1SELL	1MBVNT|2MLV|38VULN|4BBNT|5SELL|6ERES|7aRCR|9DMG
36	34264 42173	   	281.05	DCR|DCR|2VULN|1DMG|1MLV|1SELL	1MBVNT|2MLV|38VULN|4TBNT|5SELL|6ERES|7aRCR|9DMG
37	34735 62343	   	280.84	DCR|DCR|2DMG|1VULN|1MLV|1SELL	1MBVNT|2MLV|38DMG|4CGEN|5DUR|6SELL|7aRCR|9VULN
38	36682 22343	   	280.84	DCR|DCR|2DMG|1VULN|1MLV|1SELL	1MBVNT|2SELL|3DUR|48DMG|5CGEN|6MLV|7aRCR|9VULN
39	36121 24354	 * 	279.52	DCR|DCR|2VULN|2ASPD|1SELL	1MBVNT|2SELL|3aFEWX|4CGEN|5aVULN|68RCR|7aASPD|9AART|aBPWR
40	35432 74123	   	279.24	DCR|DCR|3VULN|1ASPD|1SELL	1MBVNT|24DUST|345VULN|4BPWR|6aRCR|7LWND|8SELL|9ASPD
