0	Index      	 *	Score 	Summary	Detail	
1	23661 52133	 * 	249.93	橙橙1易伤1矿等1暴击1雷电	1雷电减费2雷电3暴击4易伤5矿等6时间7双倍秒伤8敌人爆炸9a核
16	21221 17345	 * 	234.30	橙橙2伤害1等级	1雷电减费2技能点3加一4基地爆炸5喷火对愈6a核79伤害8等级
17	23421 26223	 * 	233.70	橙橙1易伤2暴击1雷电	1雷电减费2雷电3易伤4立即金币59暴击6挖尘7金币生成8a核
18	23421 53223	   	233.70	橙橙1易伤2暴击1雷电	1雷电减费2雷电3易伤4立即金币59暴击6随机矿7挖尘8a核
19	53421 53223	   	233.70	橙橙1易伤2暴击1雷电	1挖青2雷电3易伤4立即金币59暴击6随机矿7挖尘8a核
20	11421 26223	   	233.60	橙橙1易伤2暴击1雷电	1毒气减费2易伤3雷电减费4雷电59暴击6挖尘7金币生成8a核
21	11421 53223	   	233.60	橙橙1易伤2暴击1雷电	1毒气减费2易伤3雷电减费4雷电59暴击6随机矿7挖尘8a核
22	53212 63234	 * 	233.25	橙3易伤3攻速3雷电	1挖青234雷电38序列升级58a易伤6核789攻速
23	11324 31143	 * 	232.40	橙2易伤2伤害1等级1暴击1雷电	1毒气减费24易伤3暴击5随机矿67伤害8核9雷电a等级
24	11326 31143	   	232.30	橙2易伤2伤害1等级1暴击1雷电	1毒气减费24易伤3暴击5掉矿67伤害8核9雷电a等级
25	23212 62163	 * 	232.06	橙橙1易伤3雷电1卖塔	1雷电减费234雷电3序列升级5易伤6a核7卖塔8赏金塔9随机矿
26	23512 62163	 * 	232.06	橙橙1易伤3雷电1卖塔	1雷电减费234雷电5易伤6a核7卖塔8赏金塔9随机矿
27	53212 62163	 * 	232.06	橙橙1易伤3雷电1卖塔	1挖青234雷电3序列升级5易伤6a核7卖塔8赏金塔9随机矿
28	11325 62521	 * 	231.99	橙3易伤1喷火对甲2攻速1暴击	1毒气减费247易伤3暴击5低血量敌人6喷火对甲8a攻速9核
29	23212 62133	 * 	231.96	橙橙1易伤3雷电1卖塔	1雷电减费234雷电3序列升级5易伤6a核7卖塔8赏金塔9技能点
30	23512 62133	 * 	231.96	橙橙1易伤3雷电1卖塔	1雷电减费234雷电5易伤6a核7卖塔8赏金塔9技能点
31	53212 62123	 * 	231.96	橙橙1易伤3雷电1卖塔	1挖青234雷电3序列升级5易伤6a核7卖塔8赏金塔9技能点
32	53512 62123	 * 	231.96	橙橙1易伤3雷电1卖塔	1挖青234雷电5易伤6a核7卖塔8赏金塔9技能点
33	12622 11136	   	230.46	橙橙1等级1伤害1全技能1技能	1毒气减费2全技能3伤害4等级5核弹6挖尘7技能8随机技能9a核
34	11326 62363	 * 	229.29	橙5易伤1技能1暴击	1毒气减费24789易伤3暴击5掉矿6核a技能
35	32235 15221	 * 	228.94	橙橙2易伤	128挖尘3双倍秒伤4最后敌人58易伤68敌人爆炸79核8序列升级a随机技能
36	32235 15222	   	228.94	橙橙2易伤	128挖尘3双倍秒伤4最后敌人58易伤68a敌人爆炸79核8序列升级
37	32235 15224	   	228.94	橙橙2易伤	128挖尘3双倍秒伤4最后敌人58易伤68敌人爆炸79核8序列升级a基地爆炸
38	36235 15221	   	228.94	橙橙2易伤	128挖尘28序列升级3双倍秒伤4最后敌人58易伤68敌人爆炸79核a随机技能
39	36235 15222	   	228.94	橙橙2易伤	128挖尘28序列升级3双倍秒伤4最后敌人58易伤68a敌人爆炸79核
40	32235 15223	   	228.84	橙橙2易伤	128挖尘3双倍秒伤4最后敌人58易伤68敌人爆炸79核8序列升级a暴雪减费
41	32235 15225	   	228.84	橙橙2易伤	128挖尘3双倍秒伤4最后敌人58易伤68敌人爆炸79核8序列升级a风暴减费
42	32235 15226	   	228.84	橙橙2易伤	128挖尘3双倍秒伤4最后敌人58易伤68敌人爆炸79核8序列升级a掉矿
43	36235 15223	   	228.84	橙橙2易伤	128挖尘28序列升级3双倍秒伤4最后敌人58易伤68敌人爆炸79核a暴雪减费
44	51264 33354	   	228.64	橙橙2易伤	1挖青2技能点3加一4暴雪减费5平台6赏金塔7a易伤89核
45	42216 32143	   	227.59	橙橙1易伤1暴击1雷电	12随机矿3头目4暴击5随机技能6额外掉落7易伤89核a雷电
46	15122 51138	   	227.19	橙橙1易伤1全技能1雷电	1毒气减费2立即金币3加一4雷电5全技能6易伤7毒液对黄8掉矿9a核
47	11325 62523	   	226.48	橙3易伤1喷火对甲1暴击1攻速	1毒气减费247易伤3暴击5低血量敌人6喷火对甲8攻速9核a时间
48	44231 52123	 * 	226.09	紫橙1易伤1等级2暴击1雷电	1随机矿29暴击3a核4易伤5雷电6等级7挖尘8金币生成
49	16223 54137	   	226.00	橙橙1等级1矿等1全技能1技能	1毒气减费2掉矿3矿等4加一5全技能6技能7等级8随机技能9a核
50	11326 24126	   	225.85	橙3易伤1等级1伤害1暴击	1毒气减费246易伤3暴击5掉矿7伤害8核9随机技能a等级
51	11325 32522	   	225.19	橙3易伤1导弹对毒1矿等1暴击1攻速	1毒气减费247易伤3暴击5低血量敌人6导弹对毒8攻速9核a矿等
52	11326 24162	 * 	225.13	橙4易伤2暴击1伤害	1毒气减费2469易伤3a暴击5掉矿7伤害8核
53	11322 14424	 * 	224.85	橙4易伤1等级1暴击	1毒气减费2457易伤3暴击6基础对甲8等级9掉矿a核
54	11326 31162	 * 	223.55	橙3易伤2伤害2暴击	1毒气减费249易伤3a暴击5掉矿67伤害8核
55	42214 32233	   	222.80	橙橙1易伤2暴击	12随机矿3头目45暴击6挖尘7敌人爆炸8a核9易伤
56	11314 53223	   	222.70	橙橙1易伤2暴击	1毒气减费2易伤39暴击4低血量敌人5头目6随机矿7挖尘8a核
57	11325 32521	   	222.04	橙3易伤2攻速1导弹对毒1暴击	1毒气减费247易伤3暴击5低血量敌人6导弹对毒8a攻速9核
58	11324 31116	   	221.40	橙2易伤2伤害1等级1暴击	1毒气减费24易伤3暴击5随机矿67伤害8核9低血量敌人a等级
59	11326 31126	   	221.30	橙2易伤2伤害1等级1暴击	1毒气减费24易伤3暴击5掉矿67伤害8核9随机技能a等级
60	11326 24141	 * 	220.86	橙3易伤2雷电1伤害1暴击	1毒气减费246易伤3暴击5掉矿7伤害8核9a雷电
