0	Index      	 *	Score 	Summary	Detail	
1	31121 33633	 * 	275.21	橙橙2易伤1等级1伤害	14易伤2毒气减费3随机技能5伤害6赏金塔79核8头目a等级
26	32412 43423	   	249.40	橙2易伤2伤害2矿等1等级1全技能	1a易伤2烈焰减费3a矿等4赏金塔5最后敌人6全技能7等级8a伤害9核a序列升级
27	32413 13423	   	249.40	橙2易伤2伤害2矿等1等级1全技能	1a易伤2烈焰减费3a矿等4赏金塔5全技能6低血量敌人7等级8a伤害9核a序列升级
28	32453 13423	   	249.40	橙2易伤2伤害2矿等1等级1全技能	1a易伤2烈焰减费3a矿等4全技能5赏金塔6低血量敌人7等级8a伤害9核a序列升级
29	31141 33633	   	249.00	橙橙1易伤1等级1伤害	1易伤2毒气减费34随机技能5伤害6赏金塔79核8头目a等级
30	32141 33633	   	249.00	橙橙1易伤1等级1伤害	1易伤2烈焰减费34随机技能5伤害6赏金塔79核8头目a等级
31	31121 33632	   	248.90	橙橙2易伤1伤害	14易伤2毒气减费3随机技能5伤害6赏金塔79核8头目a挖青
32	31121 33634	   	248.90	橙橙2易伤1伤害	14易伤2a毒气减费3随机技能5伤害6赏金塔79核8头目
33	31121 33635	   	248.90	橙橙2易伤1伤害1卖塔	14易伤2毒气减费3随机技能5伤害6赏金塔79核8头目a卖塔
34	31121 33636	   	248.90	橙橙2易伤1伤害	14易伤2毒气减费3随机技能5伤害6赏金塔79核8头目a散射对喷气
35	32121 33632	   	248.90	橙橙2易伤1伤害	14易伤2烈焰减费3随机技能5伤害6赏金塔79核8头目a挖青
36	32121 33634	   	248.90	橙橙2易伤1伤害	14易伤2烈焰减费3随机技能5伤害6赏金塔79核8头目a毒气减费
37	32121 33635	   	248.90	橙橙2易伤1伤害1卖塔	14易伤2烈焰减费3随机技能5伤害6赏金塔79核8头目a卖塔
38	32121 33636	   	248.90	橙橙2易伤1伤害	14易伤2烈焰减费3随机技能5伤害6赏金塔79核8头目a散射对喷气
39	36162 43322	 * 	247.26	橙3易伤1等级2雷电1伤害2时间	189易伤2头目38雷电4伤害5双倍秒伤6等级78时间8序列升级a核
40	34523 12351	 * 	247.18	橙橙2伤害1易伤1卖塔	1易伤2基地爆炸3时间4随机技能5卖塔6a核79伤害8风暴减费
41	21336 22636	   	246.27	橙橙1等级1伤害1矿等1全技能	1最后敌人2雷电减费3随机技能4等级5伤害6a核7矿等8平台9全技能
