0	Index      	 *	Score 	Summary	Detail	
1	33345 45422	 * 	279.71	橙橙2易伤1矿等1暴击	1赏金塔2金币生成3最后敌人4加一5暴击68核79易伤a矿等
31	24212 21152	   	257.22	紫橙2易伤1伤害1矿等	16核2随机矿3低血量敌人48易伤5双倍矿7矿等9伤害a狙击对黄
32	24212 21154	   	257.22	紫橙2易伤1伤害1矿等1挖怪	16核2随机矿3低血量敌人48易伤5双倍矿7矿等9伤害a挖怪
33	24212 21155	   	257.22	紫橙2易伤1伤害1矿等1策反	16核2随机矿3低血量敌人48易伤5双倍矿7矿等9伤害a策反
34	24215 21152	   	257.22	紫橙2易伤1伤害1矿等	16核25随机矿3低血量敌人48易伤7矿等9伤害a狙击对黄
35	12164 21151	   	257.12	紫橙2易伤1伤害1矿等	12挖尘36核4随机矿58易伤7矿等9伤害a立即金币
36	12164 21152	   	257.12	紫橙2易伤1伤害1矿等	12挖尘36核4随机矿58易伤7矿等9伤害a赏金邻近
37	12164 21153	   	257.12	紫橙2易伤1伤害1矿等	12挖尘36核4随机矿58易伤7矿等9伤害a激光对冰
38	61115 21151	   	257.12	紫橙2易伤1伤害1矿等	1激光减费28易伤36核4挖尘5随机矿7矿等9伤害a立即金币
39	61115 21152	   	257.12	紫橙2易伤1伤害1矿等	1激光减费28易伤36核4挖尘5随机矿7矿等9伤害a赏金邻近
40	61115 21153	   	257.12	紫橙2易伤1伤害1矿等	1激光减费28易伤36核4挖尘5随机矿7矿等9伤害a激光对冰
41	61162 21152	   	257.12	紫橙2易伤1伤害1矿等	1激光减费28易伤36核4随机矿5低血量敌人7矿等9伤害a狙击对黄
42	21312 26525	   	256.84	紫橙3易伤1暴击	16核2金币生成35低血量敌人48a易伤7最后敌人9暴击
43	61523 22433	   	256.83	橙橙2易伤	13激光减费23易伤3序列升级4赏金邻近5等级6雷电7最后敌人8a核9时间
44	61523 23433	   	256.83	橙橙2易伤	13激光减费23易伤3序列升级4赏金邻近5等级6雷电7敌人爆炸8a核9时间
45	61523 35323	   	256.83	橙橙2易伤	13激光减费23易伤3序列升级4赏金邻近5等级6a核7时间8雷电9基地爆炸
46	61532 26333	   	256.73	橙橙2易伤	13激光减费23易伤3序列升级4挖尘5金币生成6赏金邻近7a核8雷电9时间
47	13322 25643	   	256.63	橙橙2易伤	1挖尘2机枪对壮3a易伤4掉矿5双倍矿69核7时间8赏金塔
48	24434 12313	   	256.44	紫橙1易伤1伤害1矿等1攻速1暴击	1a核2随机矿3矿等4伤害5易伤6激光减费7额外掉落8攻速9暴击
49	61133 12313	   	256.44	紫橙1易伤1伤害1矿等1攻速1暴击	1激光减费2易伤3a核4伤害5随机矿6矿等7额外掉落8攻速9暴击
50	33145 45421	   	256.06	橙橙1易伤1攻速1暴击	1赏金塔2金币生成3时间4加一5暴击68核7易伤9攻速a随机矿
51	33145 45424	   	256.06	橙橙1易伤1攻速1暴击	1赏金塔2金币生成3时间4加一5暴击68核7易伤9攻速a技能
52	33145 45422	   	255.96	橙橙1易伤1攻速1暴击1策反	1赏金塔2金币生成3时间4加一5暴击68核7易伤9攻速a策反
53	33145 45423	   	255.96	橙橙1易伤1攻速1暴击	1赏金塔2金币生成3时间4加一5暴击68核7易伤9攻速a掉矿
54	36423 22421	   	255.95	橙橙1易伤1矿等1平台	1赏金塔2挖尘3易伤4矿等5赏金邻近6时间78核9平台a随机矿
55	36423 22422	   	255.95	橙橙1易伤1矿等1平台	1赏金塔2挖尘3易伤4矿等5赏金邻近6时间78核9平台a敌人爆炸
56	36423 22412	   	255.85	橙橙1易伤1矿等1全技能	1赏金塔2挖尘3易伤4矿等5赏金邻近6时间78核9激光对愈a全技能
57	36423 22423	   	255.85	橙橙1易伤1矿等1平台1策反	1赏金塔2挖尘3易伤4矿等5赏金邻近6时间78核9平台a策反
58	26622 12243	   	254.64	紫橙2易伤1伤害2时间	19核2赏金邻近3毒液对毒46时间56易伤6序列升级7敌人爆炸8金币生成a伤害
59	25634 12313	   	253.77	紫橙1易伤1伤害2时间1攻速1暴击	1a核23时间4伤害5易伤6激光减费7额外掉落8攻速9暴击
60	24212 21563	 * 	253.06	紫橙2易伤2矿等	16核2随机矿39低血量敌人4a易伤5双倍矿79矿等89敌人爆炸9序列升级
61	26223 14642	   	252.85	紫橙3易伤1平台	19核2赏金邻近3平台4加一5额外掉落68a易伤78雷电8序列升级
62	36423 22411	   	252.74	橙橙1易伤1矿等2时间	1赏金塔2挖尘3易伤4矿等5赏金邻近6a时间78核9激光对愈
63	23263 53212	   	252.21	紫橙2易伤1矿等2时间	19核28雷电3挖尘48易伤5低血量敌人6矿等78时间8序列升级a立即金币
64	23263 53213	   	252.21	紫橙2易伤1矿等2时间	19核28雷电3挖尘48易伤5低血量敌人6矿等78时间8序列升级a基地爆炸
65	23263 53215	   	252.21	紫橙2易伤1矿等2时间	19核28雷电3挖尘48易伤5低血量敌人6矿等78时间8序列升级a随机矿
66	23263 53216	   	252.21	紫橙2易伤1矿等2时间	19核28雷电3挖尘48易伤5低血量敌人6矿等78时间8序列升级a额外掉落
67	23264 53212	   	252.21	紫橙2易伤1矿等2时间	19核28雷电3挖尘48易伤5最后敌人6矿等78时间8序列升级a立即金币
68	23264 53213	   	252.21	紫橙2易伤1矿等2时间	19核28雷电3挖尘48易伤5最后敌人6矿等78时间8序列升级a基地爆炸
69	23265 53212	   	252.21	紫橙2易伤1矿等2时间	19核28雷电3挖尘48易伤5基地爆炸6矿等78时间8序列升级a立即金币
70	23265 53213	   	252.21	紫橙2易伤1矿等2时间	19核28雷电3挖尘48易伤5a基地爆炸6矿等78时间8序列升级
71	23523 55212	   	252.21	紫橙2易伤1矿等2时间	19核28雷电38易伤4最后敌人5挖青6矿等78时间8序列升级a额外掉落
72	23263 53211	   	252.11	紫橙2易伤1矿等2时间1挖怪	19核28雷电3挖尘48易伤5低血量敌人6矿等78时间8序列升级a挖怪
73	23263 53214	   	252.11	紫橙2易伤1矿等2时间	19核28雷电3挖尘48易伤5低血量敌人6矿等78时间8序列升级a激光减费
74	23264 53211	   	252.11	紫橙2易伤1矿等2时间1挖怪	19核28雷电3挖尘48易伤5最后敌人6矿等78时间8序列升级a挖怪
75	23265 53211	   	252.11	紫橙2易伤1矿等2时间1挖怪	19核28雷电3挖尘48易伤5基地爆炸6矿等78时间8序列升级a挖怪
76	23523 55211	   	252.11	紫橙2易伤1矿等2时间	19核28雷电38易伤4最后敌人5挖青6矿等78时间8序列升级a挖尘
77	33145 45414	   	252.07	橙橙1易伤1暴击1全技能	1赏金塔2金币生成3时间4加一5暴击68核7易伤9最后敌人a全技能
78	33145 45444	   	252.07	橙橙1易伤1暴击1平台	1赏金塔2金币生成3时间4加一5暴击68核7易伤9随机矿a平台
79	33145 43424	   	252.07	橙橙1易伤1暴击1全技能	1赏金塔2金币生成3时间4加一5暴击68核7最后敌人9易伤a全技能
80	33345 44423	   	251.63	橙橙1易伤1矿等1暴击	1赏金塔2金币生成3最后敌人4加一5暴击68核7低血量敌人9易伤a矿等
81	33345 45412	   	251.63	橙橙1易伤1矿等1暴击	1赏金塔2金币生成39最后敌人4加一5暴击68核7易伤a矿等
82	25313 32643	   	251.59	紫橙3易伤	19核2时间36金币生成46a易伤5赏金邻近6序列升级7寒冰对甲8最后敌人
83	23512 61633	   	251.39	紫橙3易伤	1a核2雷电368易伤4赏金邻近5掉矿7低血量敌人9时间
84	23512 63633	   	251.39	紫橙3易伤	1a核2雷电368易伤4赏金邻近5掉矿7最后敌人9时间
85	25114 21447	   	251.14	紫橙2易伤1攻速1平台	1a核2时间3加一4平台5攻速69易伤7掉矿8额外掉落
86	25114 23477	   	251.14	紫橙2易伤1攻速1平台	1a核2时间3加一4平台5攻速69易伤7技能点8额外掉落
87	25133 41447	   	251.14	紫橙2易伤1攻速1平台	1a核2时间3加一4攻速59易伤6平台7掉矿8额外掉落
88	25133 43477	   	251.14	紫橙2易伤1攻速1平台	1a核2时间3加一4攻速59易伤6平台7技能点8额外掉落
89	25173 41447	   	251.14	紫橙2易伤1攻速1平台	1a核2时间3加一49易伤5攻速6平台7掉矿8额外掉落
90	21116 21251	   	250.80	紫橙2易伤1矿等1攻速	16核2金币生成3挖尘4a易伤5立即金币7矿等8攻速9喷火对愈
91	21114 21251	   	250.70	紫橙2易伤1矿等1攻速	16核2金币生成35挖尘4a易伤7矿等8攻速9喷火对愈
92	21116 21231	   	250.70	紫橙2易伤1矿等1攻速	16核2金币生成3挖尘4a易伤5立即金币7矿等8攻速9加农对壮
93	21114 21231	   	250.60	紫橙2易伤1矿等1攻速	16核2金币生成35挖尘4a易伤7矿等8攻速9加农对壮
