0	Index      	 *	Score 	Summary	Detail	
1	11661 31322	 * 	280.14	DCR|DCR|2VULN|1CDMG|1AART	14VULN|2CDMG|3LWND|5DUR|6AART|7BELT|8MDPS|9aRCR
32	13431 61211	   	256.83	DCR|DCR|2VULN	18VULN|2LHND|3DUR|4BEXP|5CGEN|6aRCR|7MSLREG|9LIT
33	14253 61211	   	256.83	DCR|DCR|2VULN	18VULN|2TLV|3BEXP|4DUR|5LHND|6aRCR|7MSLREG|9LIT
34	15253 61211	   	256.83	DCR|DCR|2VULN	18VULN|2CGEN|3BEXP|4DUR|5LHND|6aRCR|7MSLREG|9LIT
35	13251 61211	   	256.73	DCR|DCR|2VULN	18VULN|2LHND|3DUST|4DUR|5CGEN|6aRCR|7MSLREG|9LIT
36	21212 53215	 * 	256.56	DCR|5VULN|1DMG|2DUR	1AAC|2DMG|36DUR|4DMSP|5679aVULN|6BPWR|8RCR
37	21252 53215	   	256.56	DCR|5VULN|1DMG|2DUR	14AAC|2DMG|36DUR|5679aVULN|6BPWR|8RCR
38	21233 33215	 * 	256.39	DCR|4VULN|2DMG|2DUR	1AAC|25DMG|34DUR|679aVULN|8RCR
39	11626 15322	   	252.17	DCR|DCR|1VULN|1CDMG|1AART	1VULN|2CDMG|3LWND|4FEWX|5LHND|6aRCR|7BELT|8DUR|9AART
40	11631 31322	   	252.07	DCR|DCR|1VULN|1CDMG|1AART	1VULN|2CDMG|3LWND|4DMSP|5DUR|6AART|7BELT|8MDPS|9aRCR
41	63235 31322	   	252.07	DCR|DCR|1VULN|1CDMG|1AART	1CGEN|2TLV|3DUR|4CDMG|5VULN|6AART|7BELT|8MDPS|9aRCR
42	11341 48344	   	251.87	DCR|DCR|1VULN|1CDMG|1RPLT	1VULN|2CDMG|3TSLARM|4MBVNT|5DUR|69RCR|7ERES|8CGEN|aRPLT
43	11521 16326	 * 	251.21	DCR|3VULN|2DMG|2CDMG|1AART	17aVULN|2aCDMG|3BELT|4RCVC|5TBNT|6aDMG|8RCR|9AART|aBPWR
44	11314 56242	   	250.70	ACR|DCR|2VULN|1MLV|1CDMG	1aVULN|2CDMG|3TSLARM|4RCVC|59RCR|6MBVNT|7MLV|8CGEN
45	21613 42316	   	250.17	DCR|DCR|1VULN|1DMG|1AART	1AAC|2DMG|37LHND|4AART|5VULN|6BLAICY|8aRCR|9BEXP
46	21614 32316	   	250.17	DCR|DCR|1VULN|1DMG|1AART	1AAC|2DMG|37LHND|4AART|5MSLREG|6VULN|8aRCR|9BEXP
47	21615 42211	   	250.17	DCR|DCR|1VULN|1DMG|1AART	1AAC|2DMG|3LHND|4AART|5BBNT|69RCR|7VULN|8DUST|aBEXP
48	21615 42212	   	250.17	DCR|DCR|1VULN|1DMG|1AART	1AAC|2DMG|3LHND|4AART|5BBNT|69RCR|7VULN|8DUST|aRMIN
49	21615 42213	   	250.17	DCR|DCR|1VULN|1DMG|1AART	1AAC|2DMG|3LHND|4AART|5BBNT|69RCR|7VULN|8DUST|aLIT
