0	Index      	 *	Score 	Summary	Detail	
1	13214 23441	 * 	283.82	DCR|DCR|2VULN|1DMG|2CDMG	1FEWX|26VULN|3DMG|4LHND|56CDMG|6BPWR|7ERES|8aRCR|9AME
12	13434 22421	   	271.10	DCR|DCR|2VULN|1ASPD|1CDMG	1FEWX|27VULN|3CDMG|4RMIN|5LWND|6ERES|8aRCR|9ASPD
13	25432 23421	   	271.10	DCR|DCR|2VULN|1ASPD|1CDMG	16LHND|2DUST|3CDMG|4RMIN|56VULN|6BPWR|7ERES|8aRCR|9ASPD
14	53432 22421	   	271.10	DCR|DCR|2VULN|1ASPD|1CDMG	1BEXP|2LWND|3CDMG|4RMIN|57VULN|6ERES|8aRCR|9ASPD
15	22631 42421	   	271.00	DCR|DCR|2VULN|1ASPD|1CDMG	1LHND|2AME|3CGEN|4CDMG|5DUST|67VULN|8aRCR|9ASPD
16	22632 42421	   	271.00	DCR|DCR|2VULN|1ASPD|1CDMG	1LHND|2AME|3CGEN|4CDMG|5LEGI|67VULN|8aRCR|9ASPD
17	13446 13111	   	270.84	ACR|DCR|3VULN|1DMG|1CDMG	1FEWX|279VULN|3CDMG|4aRCR|5LHND|6DMG|8BEXP
18	13446 13211	   	270.84	ACR|DCR|3VULN|1DMG|1CDMG	1FEWX|279VULN|3CDMG|4aRCR|5LHND|6DMG|8LWND
19	21441 13111	   	270.84	ACR|DCR|3VULN|1DMG|1CDMG	1LHND|2FEWX|3CDMG|4aRCR|5DMG|679VULN|8BEXP
20	21441 13211	   	270.84	ACR|DCR|3VULN|1DMG|1CDMG	1LHND|2FEWX|3CDMG|4aRCR|5DMG|679VULN|8LWND
21	23441 13111	   	270.84	ACR|DCR|3VULN|1DMG|1CDMG	1LHND|2LWND|3CDMG|4aRCR|5DMG|679VULN|8BEXP
22	13441 14311	   	270.74	ACR|DCR|3VULN|1DMG|1CDMG	1FEWX|267VULN|3CDMG|4aRCR|5DMG|8DUST|9LHND
23	13441 43311	   	270.74	ACR|DCR|3VULN|1DMG|1CDMG	1FEWX|279VULN|3CDMG|4aRCR|5DMG|6BEXP|8DUST
24	23441 13311	   	270.74	ACR|DCR|3VULN|1DMG|1CDMG	1LHND|2LWND|3CDMG|4aRCR|5DMG|679VULN|8DUST
25	51441 13311	   	270.74	ACR|DCR|3VULN|1DMG|1CDMG	1BEXP|2FEWX|3CDMG|4aRCR|5DMG|679VULN|8DUST
26	53441 13311	   	270.74	ACR|DCR|3VULN|1DMG|1CDMG	1BEXP|2LWND|3CDMG|4aRCR|5DMG|679VULN|8DUST
27	13423 23441	 * 	268.79	DCR|DCR|2DMG|1VULN|1CDMG	16FEWX|2VULN|3CDMG|46DMG|5LEGI|6BPWR|7ERES|8aRCR|9AME
28	52532 61121	   	268.74	DCR|DCR|1VULN|2CDMG|1MLV|1ASPD	1BEXP|2AME|3MLV|47CDMG|5LHND|6aRCR|8VULN|9ASPD
29	52531 61121	   	268.64	DCR|DCR|1VULN|2CDMG|1MLV|1ASPD	1BEXP|2AME|3MLV|47CDMG|5DUST|6aRCR|8VULN|9ASPD
30	12325 12613	   	267.11	DCR|DCR|2VULN|1CDMG|1AART	1FEWX|2MDPS|3CDMG|4AART|5CGEN|6aVULN|7BBNT|89RCR
31	12326 62613	   	267.11	DCR|DCR|2VULN|1CDMG|1AART	1FEWX|2MDPS|3CDMG|4AART|5aVULN|6CGEN|7BBNT|89RCR
32	13443 63321	   	259.82	ACR|DCR|2VULN|1MLV|1ASPD|1CDMG	1FEWX|27VULN|3CDMG|4aRCR|5MLV|6BEXP|8RMIN|9ASPD
33	31411 23615	   	258.44	DCR|DCR|1VULN|1MLV|1CDMG|1AART	1BBNT|2MLV|3CDMG|4TBNT|5ERES|6RMIN|7AART|89RCR|aVULN
34	16314 23421	   	257.30	DCR|DCR|2VULN|1ASPD|1SELL	1FEWX|2RMIN|36VULN|46LHND|5SELL|6BPWR|7ERES|8aRCR|9ASPD
35	26334 23421	   	257.20	DCR|DCR|2VULN|1ASPD|1SELL	16LHND|2RMIN|36VULN|4LEGI|5SELL|6BPWR|7ERES|8aRCR|9ASPD
36	23441 11211	   	257.01	ACR|DCR|2VULN|1DMG|1CDMG	1LHND|28LWND|3CDMG|4aRCR|5DMG|69VULN|7DUR
37	53441 11211	   	257.01	ACR|DCR|2VULN|1DMG|1CDMG	1BEXP|28LWND|3CDMG|4aRCR|5DMG|69VULN|7DUR
38	22334 23421	   	257.00	DCR|DCR|2VULN|1ASPD|1SELL	1LHND|26AME|36VULN|4LEGI|5SELL|6BPWR|7ERES|8aRCR|9ASPD
39	13231 32522	 * 	255.71	DCR|3VULN|3DMG|2DUR|1RPLT	18FEWX|247VULN|348DMG|48BPWR|58DUR|6RPLT|9ERES|aRCR
40	23441 13631	 * 	255.02	ACR|DCR|2VULN|1DMG|2CDMG	1LHND|2LWND|38CDMG|4aRCR|5DMG|67VULN|9BEXP
41	21441 13611	   	254.92	ACR|DCR|2VULN|1DMG|2CDMG	1LHND|2FEWX|38CDMG|4aRCR|5DMG|67VULN|9LEGI
42	13233 26424	 * 	253.92	DCR|4VULN|2DMG|1AART|1RPLT	1FEWX|2467VULN|34DMG|4BPWR|5LHND|8RPLT|9AART|aRCR
43	31124 32543	 * 	253.91	DCR|2VULN|3MLV|2DMG|1ASPD|1ZMB	1BBNT|257MLV|37DMG|47VULN|6DLOT|7BPWR|8ASPD|9ZMB|aRCR
