0	Index      	 *	Score 	Summary	Detail	
1	62212 31625	 * 	282.14	DCR|DCR|2VULN|1DMG|1CDMG	15TLV|27VULN|3CDMG|4DMG|6MDPS|8FRZFST|9aRCR
18	26113 24113	   	265.81	DCR|DCR|2VULN|1MLV|1ZMB	1ZMB|2MLV|3TSLFST|4FEWX|5BBNT|69VULN|7BEXP|8aRCR
19	26113 24513	   	265.81	DCR|DCR|2VULN|1MLV|1ZMB	1ZMB|2MLV|3TSLFST|4FEWX|5BBNT|68VULN|7BEXP|9aRCR
20	22315 36213	   	265.71	DCR|DCR|2VULN|1MLV|1ZMB	1ZMB|23VULN|4LWND|5DUST|6MLV|7BASARM|8BBNT|9aRCR
21	22345 36213	   	265.71	DCR|DCR|2VULN|1MLV|1ZMB	1ZMB|23VULN|4LHND|5DUST|6MLV|7BASARM|8BBNT|9aRCR
22	22315 33225	   	265.57	DCR|DCR|2VULN|1MLV|1SELL|1ZMB	1ZMB|23VULN|4LWND|5DUST|6MLV|7SELL|8FRZARM|9aRCR
23	22345 33225	   	265.57	DCR|DCR|2VULN|1MLV|1SELL|1ZMB	1ZMB|23VULN|4LHND|5DUST|6MLV|7SELL|8FRZARM|9aRCR
24	34216 33643	 * 	264.14	DCR|3VULN|3DMG|1MLV|1RPLT	18LSRREG|268VULN|3MBVNT|458DMG|7RPLT|8BPWR|9MLV|aRCR
25	62214 61113	   	263.82	DCR|DCR|1VULN|1DMG|1CDMG|1RPLT	1TLV|2VULN|3CDMG|4DMG|59BEXP|6AME|7aRCR|8RPLT
26	62214 61123	   	263.72	DCR|DCR|1VULN|1DMG|1CDMG|1RPLT	1TLV|2VULN|3CDMG|4DMG|5BEXP|6AME|7aRCR|8RPLT|9AELOIC
27	33423 16613	   	263.28	DCR|DCR|2VULN|2DUR	1LSRREG|2BEXP|3DLOT|4LHND|58DUR|6aVULN|79RCR
28	33411 53226	   	261.98	DCR|DCR|2VULN|1CDMG	1LSRREG|2BEXP|3DLOT|4CDMG|5FEWX|6aRCR|78VULN|9ERES
29	22232 61225	   	261.83	DCR|DCR|2VULN|1CDMG|1ZMB	1ZMB|27VULN|3CDMG|4DUST|5ERES|6LWND|8FRZARM|9aRCR
30	22235 21225	   	261.83	DCR|DCR|2VULN|1CDMG|1ZMB	1ZMB|27VULN|3CDMG|4DUST|5LHND|6AME|8FRZARM|9aRCR
31	22235 61225	   	261.83	DCR|DCR|2VULN|1CDMG|1ZMB	1ZMB|27VULN|3CDMG|4DUST|5LHND|6ERES|8FRZARM|9aRCR
32	22234 61225	   	261.73	DCR|DCR|2VULN|1CDMG|1ZMB	1ZMB|27VULN|3CDMG|4DUST|5LEGI|6ERES|8FRZARM|9aRCR
33	22152 65213	 * 	261.55	DCR|DCR|1VULN|2MLV|1ZMB	1ZMB|2VULN|3DUR|4BASARM|5LEGI|67MLV|8BBNT|9aRCR
34	62153 11213	   	256.83	DCR|DCR|2VULN	1TLV|26VULN|3DUR|4CANTOX|5AAC|7LHND|8BBNT|9aRCR
35	33423 16512	   	256.73	DCR|DCR|2VULN	1LSRREG|2BEXP|3DLOT|4LHND|5DUR|68VULN|79RCR|aFEWX
36	62153 12213	   	256.73	DCR|DCR|2VULN	1TLV|26VULN|3DUR|4CANTOX|5AAC|7LEGI|8BBNT|9aRCR
37	62153 13213	   	256.73	DCR|DCR|2VULN	1TLV|26VULN|3DUR|4CANTOX|5AAC|7DUST|8BBNT|9aRCR
38	22516 11113	   	256.69	DCR|DCR|2VULN|1ZMB	1ZMB|29VULN|3TBNT|4CGEN|5LSRICY|6DUR|7LHND|8aRCR
39	22516 14113	   	256.69	DCR|DCR|2VULN|1ZMB	1ZMB|29VULN|3TBNT|4CGEN|5LSRICY|6DUR|7BEXP|8aRCR
40	33423 16511	   	256.63	DCR|DCR|2VULN|1ZMB	1LSRREG|2BEXP|3DLOT|4LHND|5DUR|68VULN|79RCR|aZMB
41	22153 11213	   	256.59	DCR|DCR|2VULN|1ZMB	1ZMB|26VULN|3DUR|4BASARM|5CGEN|7LHND|8BBNT|9aRCR
42	22154 11213	   	256.59	DCR|DCR|2VULN|1ZMB	1ZMB|26VULN|3DUR|4BASARM|5TLV|7LHND|8BBNT|9aRCR
43	22314 32333	   	256.59	DCR|DCR|2VULN|1ZMB	1ZMB|23VULN|4LWND|5CGEN|6aRCR|7BBNT|8MSLREG|9DUR
44	22344 32333	   	256.59	DCR|DCR|2VULN|1ZMB	1ZMB|23VULN|4LHND|5CGEN|6aRCR|7BBNT|8MSLREG|9DUR
45	23133 21113	   	256.59	DCR|DCR|2VULN|1ZMB	1ZMB|2RMIN|3MGNSTR|4DUR|5BBNT|69VULN|7LHND|8aRCR
46	23133 24113	   	256.59	DCR|DCR|2VULN|1ZMB	1ZMB|2RMIN|3MGNSTR|4DUR|5BBNT|69VULN|7BEXP|8aRCR
47	23142 11113	   	256.59	DCR|DCR|2VULN|1ZMB	1ZMB|2RMIN|3MGNSTR|4BBNT|59VULN|6DUR|7LHND|8aRCR
48	23142 14113	   	256.59	DCR|DCR|2VULN|1ZMB	1ZMB|2RMIN|3MGNSTR|4BBNT|59VULN|6DUR|7BEXP|8aRCR
49	23516 21113	   	256.59	DCR|DCR|2VULN|1ZMB	1ZMB|2RMIN|3BBNT|4DUR|5TSLFST|69VULN|7LHND|8aRCR
50	23516 24113	   	256.59	DCR|DCR|2VULN|1ZMB	1ZMB|2RMIN|3BBNT|4DUR|5TSLFST|69VULN|7BEXP|8aRCR
51	23566 11113	   	256.59	DCR|DCR|2VULN|1ZMB	1ZMB|2RMIN|3BBNT|49VULN|5FLTFST|6DUR|7LHND|8aRCR
52	33126 31113	   	256.59	DCR|DCR|2VULN|1ZMB	1LSRREG|2BEXP|3CGEN|4TBNT|5DUR|69VULN|7ZMB|8aRCR
53	22153 12213	   	256.49	DCR|DCR|2VULN|1ZMB	1ZMB|26VULN|3DUR|4BASARM|5CGEN|7LEGI|8BBNT|9aRCR
54	22153 13213	   	256.49	DCR|DCR|2VULN|1ZMB	1ZMB|26VULN|3DUR|4BASARM|5CGEN|7DUST|8BBNT|9aRCR
55	22154 12213	   	256.49	DCR|DCR|2VULN|1ZMB	1ZMB|26VULN|3DUR|4BASARM|5TLV|7LEGI|8BBNT|9aRCR
56	22154 13213	   	256.49	DCR|DCR|2VULN|1ZMB	1ZMB|26VULN|3DUR|4BASARM|5TLV|7DUST|8BBNT|9aRCR
57	36231 11525	   	255.96	DCR|DCR|1VULN|1ASPD|1CDMG	1LSRREG|2CDMG|3ASPD|4DUST|5RCVC|6VULN|7CGEN|8DUR|9aRCR
58	36221 12425	   	255.86	DCR|DCR|1VULN|1ASPD|1CDMG	1LSRREG|2CDMG|3ASPD|4CGEN|5ERES|6VULN|7DUR|8AME|9aRCR
59	62214 11325	   	254.06	DCR|DCR|1VULN|1DMG|1CDMG	1TLV|2VULN|3CDMG|4DMG|5BEXP|6SPLREG|7LEGI|8RCVC|9aRCR
60	62232 13525	   	253.86	DCR|DCR|1VULN|1DMG|1CDMG	1TLV|2VULN|3CDMG|4DUST|5ERES|6BLASTR|7AME|8DMG|9aRCR
61	26111 15213	 * 	253.35	DCR|DCR|1VULN|2MLV|1ZMB	1ZMB|27MLV|3TSLFST|4FEWX|5LHND|6VULN|8BBNT|9aRCR
62	34513 62222	   	253.34	ACR|DCR|2VULN|1DMG|1CDMG	1LSRREG|26VULN|3LHND|4DMG|58RCR|7BBNT|9LIT|aCDMG
63	42341 15213	 * 	253.25	DCR|DCR|1VULN|2MLV|1ZMB	1RCVC|2ZMB|3BLASTR|47MLV|5MDPS|6VULN|8BBNT|9aRCR
64	26151 15213	 * 	253.00	DCR|DCR|1VULN|2MLV|2ZMB	14ZMB|27MLV|3TSLFST|5MDPS|6VULN|8BBNT|9aRCR
