0	Index      	 *	Score 	Summary	Detail	
1	12262 15121	 * 	291.96	ACR|3LIT|3VULN|2DMG|3CDMG	1DMSP|27aVULN|3RCR|4CGEN|57aLIT|678CDMG|7aBPWR|9aDMG
39	12126 23153	   	273.48	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1DMSP|2aVULN|34LIT|5ASPD|6BEXP|7DMG|8MLV|9RCR
40	31232 55411	 * 	273.46	DCR|2MLV|1LIT|2DMG|1VULN|2ASPD	1ZMB|2aMLV|3RMIN|4DUST|5LIT|6aDMG|7RCR|8VULN|9aASPD|aBPWR
41	12126 13153	   	273.38	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1DMSP|2aVULN|34LIT|5ASPD|6DUST|7DMG|8MLV|9RCR
42	31126 13615	   	273.21	DCR|3LIT|1VULN|1MLV|1DMG|1ASPD	1ZMB|2MLV|346LIT|5DUST|7ASPD|8RCR|9VULN|aDMG
43	33113 24156	 * 	272.81	DCR|2LIT|2VULN|1MLV|2ASPD	1ZMB|2BEXP|36VULN|45LIT|7aASPD|8MLV|9RCR
44	12262 33461	 * 	272.07	ACR|2LIT|2VULN|2DMG|1MLV|1CDMG	1DMSP|29VULN|3RCR|4CGEN|59LIT|6LHND|7CDMG|89DMG|9BPWR|aMLV
45	56113 15311	   	272.01	DCR|3LIT|2DMG|1VULN|1MLV	1NUKE|2MLV|36aLIT|4RMIN|59DMG|7RCR|8VULN
46	53133 15311	   	272.01	DCR|3LIT|2DMG|1VULN|1MLV	1NUKE|2TLV|36aLIT|4MLV|59DMG|7RCR|8VULN
47	12262 11461	   	271.97	ACR|2LIT|2VULN|2DMG|1MLV|1CDMG	1DMSP|29VULN|3RCR|4CGEN|59LIT|6CDMG|7DUST|89DMG|9BPWR|aMLV
48	12262 12461	   	271.97	ACR|2LIT|2VULN|2DMG|1MLV|1CDMG|1DUR	1DMSP|29VULN|3RCR|4CGEN|59LIT|6CDMG|7DUR|89DMG|9BPWR|aMLV
49	31143 23311	 * 	271.68	DCR|2LIT|2VULN|1MLV|3ZMB|1CDMG	168ZMB|2MLV|38LIT|4LHND|5CDMG|78VULN|8BPWR|9LWND|aRCR
50	31143 23351	   	271.58	DCR|2LIT|2VULN|1MLV|3ZMB|1CDMG	168ZMB|2MLV|38LIT|4LHND|5CDMG|78VULN|8BPWR|9DUST|aRCR
51	11163 15126	   	270.37	DCR|2LIT|2VULN|1MLV|1DMG	1DMSP|2LWND|36LIT|4ZMB|5DMG|7RCR|8MLV|9aVULN
52	31113 15523	   	270.37	DCR|2LIT|2VULN|1MLV|1DMG	1ZMB|2MLV|36LIT|4RMIN|5DMG|7RCR|8TLV|9aVULN
53	35113 15523	   	270.37	DCR|2LIT|2VULN|1MLV|1DMG	1ZMB|26LIT|3MLV|4RMIN|5DMG|7RCR|8TLV|9aVULN
54	56113 15312	   	270.37	DCR|2LIT|3DMG|1VULN|1MLV	1NUKE|2MLV|36LIT|4RMIN|59aDMG|7RCR|8VULN
55	53133 15312	   	270.37	DCR|2LIT|3DMG|1VULN|1MLV	1NUKE|2TLV|36LIT|4MLV|59aDMG|7RCR|8VULN
56	31252 24336	 * 	270.27	DCR|3VULN|1LIT|1MLV|2ASPD	1ZMB|2MLV|3RMIN|468VULN|5LIT|79ASPD|aRCR
57	12163 15113	   	270.27	DCR|2LIT|2VULN|1MLV|1DMG	1DMSP|2aVULN|36LIT|4ZMB|5DMG|7RCR|8MLV|9DUST
58	12163 15143	   	270.27	DCR|2LIT|2VULN|1MLV|1DMG|1DUR	1DMSP|2aVULN|36LIT|4ZMB|5DMG|7RCR|8MLV|9DUR
59	15163 15123	   	270.27	DCR|2LIT|2VULN|1MLV|1DMG	1DMSP|2LEGI|36LIT|4ZMB|5DMG|7RCR|8MLV|9aVULN
60	35243 15113	   	270.27	DCR|2LIT|2VULN|1MLV|1DMG	1ZMB|26LIT|3DMSP|4aVULN|5DMG|7RCR|8MLV|9DUST
61	53123 35313	   	270.27	DCR|2LIT|2VULN|1MLV|1DMG	1NUKE|2TLV|34LIT|5MLV|6ZMB|7RCR|8aVULN|9DMG
62	53134 15313	   	270.27	DCR|2LIT|2VULN|1MLV|1DMG	1NUKE|2TLV|36LIT|4MLV|5ZMB|7RCR|8aVULN|9DMG
63	53163 15123	   	270.27	DCR|2LIT|2VULN|1MLV|1DMG	1NUKE|2TLV|36LIT|4ZMB|5DMG|7RCR|8MLV|9aVULN
64	56122 35313	   	270.27	DCR|2LIT|2VULN|1MLV|1DMG	1NUKE|2MLV|34LIT|5RMIN|6ZMB|7RCR|8aVULN|9DMG
65	31113 15326	 * 	270.27	DCR|2LIT|1VULN|1MLV|2ASPD|1DMG	1ZMB|2MLV|36LIT|4RMIN|5DMG|7RCR|8VULN|9aASPD
66	35113 15326	   	270.27	DCR|2LIT|1VULN|1MLV|2ASPD|1DMG	1ZMB|26LIT|3MLV|4RMIN|5DMG|7RCR|8VULN|9aASPD
67	35113 35411	   	270.27	DCR|2LIT|1VULN|1MLV|2ASPD|1DMG	1ZMB|2aLIT|3MLV|4RMIN|5DMG|6aDUST|7RCR|8VULN|9aASPD|aBPWR
68	11133 61331	   	270.26	DCR|2LIT|2VULN|1MLV|1DMG|2ZMB	1DMSP|2LWND|3aLIT|4MLV|5DMG|6aZMB|7BEXP|8aVULN|9RCR|aBPWR
69	11133 62331	   	270.16	DCR|2LIT|2VULN|1MLV|1DMG|2ZMB	1DMSP|2LWND|3aLIT|4MLV|5DMG|6aZMB|7DUST|8aVULN|9RCR|aBPWR
70	11133 63331	   	270.16	DCR|2LIT|2VULN|1MLV|1DMG|2ZMB|1DUR	1DMSP|2LWND|3aLIT|4MLV|5DMG|6aZMB|7DUR|8aVULN|9RCR|aBPWR
71	12113 35651	   	270.16	DCR|2LIT|2VULN|1MLV|1DMG|2ZMB	1DMSP|28VULN|38LIT|4RMIN|5DMG|6DUST|78ZMB|8BPWR|9RCR|aMLV
72	31252 21653	   	268.84	DCR|2LIT|3VULN|1MLV	1ZMB|2MLV|3RMIN|46aVULN|58LIT|7BEXP|9RCR
73	32152 21651	   	268.84	DCR|2LIT|3VULN|1MLV	1ZMB|2LHND|346VULN|58LIT|7BEXP|9RCR|aMLV
74	31113 15133	   	268.83	DCR|2LIT|2MLV|1VULN|1DMG|1ASPD	1ZMB|28MLV|36LIT|4RMIN|5DMG|7RCR|9ASPD|aVULN
75	35113 15133	   	268.83	DCR|2LIT|2MLV|1VULN|1DMG|1ASPD	1ZMB|26LIT|38MLV|4RMIN|5DMG|7RCR|9ASPD|aVULN
76	31252 22653	   	268.74	DCR|2LIT|3VULN|1MLV	1ZMB|2MLV|3RMIN|46aVULN|58LIT|7DUST|9RCR
77	32152 22651	   	268.74	DCR|2LIT|3VULN|1MLV	1ZMB|2LHND|346VULN|58LIT|7DUST|9RCR|aMLV
78	33152 22651	   	268.74	DCR|2LIT|3VULN|1MLV	1ZMB|2BEXP|346VULN|58LIT|7DUST|9RCR|aMLV
79	12262 15411	   	268.63	ACR|2LIT|3VULN|2DMG|2CDMG	1DMSP|27aVULN|3RCR|49aCGEN|57LIT|67CDMG|7aBPWR|8aDMG
80	53133 15316	   	268.36	DCR|2LIT|2DMG|1VULN|1MLV|1ASPD	1NUKE|2TLV|36LIT|4MLV|59DMG|7RCR|8VULN|aASPD
81	31155 32335	 * 	267.65	DCR|2LIT|3MLV|1FLTARM|1VULN|2ZMB	18ZMB|256MLV|3aLIT|4FLTARM|7VULN|9RCR
82	35126 63322	 * 	267.15	DCR|3LIT|2VULN|1MLV|2ZMB|1SELL	18ZMB|248LIT|3MLV|5DUST|6SELL|78VULN|8BPWR|9RCR|aFEWX
83	35126 63323	 * 	267.15	DCR|3LIT|2VULN|1MLV|2ZMB|1SELL	18ZMB|248LIT|3MLV|5DUST|6SELL|78VULN|8BPWR|9RCR|aTLV
84	35126 63321	 * 	267.05	DCR|3LIT|2VULN|1MLV|2ZMB|1SELL	18ZMB|248LIT|3MLV|5aDUST|6SELL|78VULN|8BPWR|9RCR
85	12262 15422	 * 	266.83	ACR|2LIT|2VULN|1MLV|3CDMG|1DMG	1DMSP|27VULN|3RCR|4CGEN|57LIT|67aCDMG|7BPWR|8DMG|9MLV
86	32114 21525	   	266.78	DCR|1LIT|2VULN|2DMG|1MLV	1ZMB|2LHND|37VULN|4LIT|5DUST|6RCR|89DMG|aMLV
87	32315 21525	   	266.78	DCR|1LIT|2VULN|2DMG|1MLV	1ZMB|2LHND|3DUST|4LIT|57VULN|6RCR|89DMG|aMLV
88	11133 35331	   	266.77	DCR|2LIT|2VULN|1MLV|1DMG	1DMSP|2LWND|3aLIT|4MLV|5DMG|6aDUST|7ZMB|8aVULN|9RCR|aBPWR
89	32113 61153	   	266.77	DCR|2LIT|2VULN|1MLV|1DMG	1ZMB|2LHND|3aVULN|45LIT|6DMG|7RCVC|8MLV|9RCR
90	33113 61153	   	266.77	DCR|2LIT|2VULN|1MLV|1DMG	1ZMB|2BEXP|3aVULN|45LIT|6DMG|7RCVC|8MLV|9RCR
91	35243 11153	   	266.77	DCR|2LIT|2VULN|1MLV|1DMG	1ZMB|26LIT|3DMSP|4aVULN|5DMG|7LHND|8MLV|9RCR
92	12163 11153	   	266.77	DCR|2LIT|2VULN|1MLV|1DMG	1DMSP|2aVULN|36LIT|4ZMB|5DMG|7LHND|8MLV|9RCR
93	12163 14153	   	266.77	DCR|2LIT|2VULN|1MLV|1DMG	1DMSP|2aVULN|36LIT|4ZMB|5DMG|7BEXP|8MLV|9RCR
94	33113 23152	   	266.77	DCR|2LIT|2VULN|1MLV|1DMG	1ZMB|2BEXP|36VULN|45LIT|7DMG|8MLV|9RCR|aLWND
95	35243 12153	   	266.67	DCR|2LIT|2VULN|1MLV|1DMG	1ZMB|26LIT|3DMSP|4aVULN|5DMG|7DUST|8MLV|9RCR
96	35613 13153	   	266.67	DCR|2LIT|2VULN|1MLV|1DMG	1ZMB|26LIT|3DUST|4RCVC|5DMG|7aVULN|8MLV|9RCR
97	12163 12153	   	266.67	DCR|2LIT|2VULN|1MLV|1DMG	1DMSP|2aVULN|36LIT|4ZMB|5DMG|7DUST|8MLV|9RCR
98	33113 23151	   	266.67	DCR|2LIT|2VULN|1MLV|1DMG	1ZMB|2BEXP|36VULN|45LIT|7DMG|8MLV|9RCR|aBASHEA
99	33113 23154	   	266.67	DCR|2LIT|2VULN|1MLV|1DMG	1ZMB|2BEXP|36VULN|45LIT|7DMG|8MLV|9RCR|aERES
100	32152 61153	   	266.03	DCR|3VULN|1LIT|1MLV|1DMG	1ZMB|2LHND|34aVULN|5LIT|6DMG|7RCVC|8MLV|9RCR
101	33152 23152	   	266.03	DCR|3VULN|1LIT|1MLV|1DMG	1ZMB|2BEXP|346VULN|5LIT|7DMG|8MLV|9RCR|aLWND
102	33152 61153	   	266.03	DCR|3VULN|1LIT|1MLV|1DMG	1ZMB|2BEXP|34aVULN|5LIT|6DMG|7RCVC|8MLV|9RCR
103	33252 23153	   	266.03	DCR|3VULN|1LIT|1MLV|1DMG	1ZMB|23BEXP|46aVULN|5LIT|7DMG|8MLV|9RCR
104	33152 23151	   	265.93	DCR|3VULN|1LIT|1MLV|1DMG	1ZMB|2BEXP|346VULN|5LIT|7DMG|8MLV|9RCR|aBASHEA
105	33152 23154	   	265.93	DCR|3VULN|1LIT|1MLV|1DMG	1ZMB|2BEXP|346VULN|5LIT|7DMG|8MLV|9RCR|aERES
106	32114 21255	 * 	265.90	DCR|2MLV|3VULN|1LIT	1ZMB|2LHND|378VULN|4LIT|5DUST|6RCR|9aMLV
107	32315 21255	   	265.90	DCR|2MLV|3VULN|1LIT	1ZMB|2LHND|3DUST|4LIT|578VULN|6RCR|9aMLV
108	32132 35421	   	265.82	DCR|3VULN|1LIT|1MLV|1AART	1ZMB|2LHND|356VULN|4RPLT|7RCR|8LIT|9MLV|aAART
109	33132 35421	   	265.82	DCR|3VULN|1LIT|1MLV|1AART	1ZMB|2BEXP|356VULN|4RPLT|7RCR|8LIT|9MLV|aAART
110	33332 35421	   	265.82	DCR|3VULN|1LIT|1MLV|1AART	1ZMB|2BEXP|3RPLT|456VULN|7RCR|8LIT|9MLV|aAART
111	53133 35422	 * 	265.54	DCR|1LIT|2DMG|1FLTARM|1VULN|1MLV	1NUKE|2TLV|3LIT|4MLV|59DMG|6DUST|7RCR|8VULN|aFLTARM
112	33111 53531	 * 	265.54	DCR|2MLV|1LIT|3DMG|1VULN|1DUR	1ZMB|2aBEXP|3VULN|4LIT|5aMLV|6DUR|78aDMG|9RCR|aBPWR
113	35124 63322	 * 	265.45	DCR|3LIT|2VULN|1MLV|2ZMB|1SELL	18ZMB|248LIT|3MLV|5BEXP|6SELL|78VULN|8BPWR|9TLV|aRCR
114	35521 23322	 * 	265.45	DCR|3LIT|2VULN|1MLV|2ZMB|1SELL	18ZMB|238LIT|4BEXP|5SELL|6MLV|78VULN|8BPWR|9TLV|aRCR
115	41146 31211	   	265.40	DCR|2LIT|3VULN|1MLV|1DUR	15BELT|2MLV|3DUR|4aLIT|689VULN|7RCR
116	31156 44143	   	264.98	DCR|1LIT|2VULN|1FLTARM|1MLV|1DUR	1ZMB|2MLV|3LIT|4FLTARM|5DUR|6MBVNT|7RCR|8LWND|9aVULN
117	31151 45243	   	264.98	DCR|1LIT|2VULN|1FLTARM|1MLV|1DUR	1ZMB|2MLV|3LIT|4FLTARM|5BEXP|6MBVNT|7RCR|8DUR|9aVULN
118	31151 45433	   	264.98	DCR|1LIT|2VULN|1FLTARM|1MLV|1DUR	1ZMB|2MLV|3LIT|4FLTARM|5BEXP|6MBVNT|7RCR|8aVULN|9DUR
119	31152 44243	   	264.98	DCR|1LIT|2VULN|1FLTARM|1MLV|1DUR	1ZMB|2MLV|3LIT|4FLTARM|5LWND|6MBVNT|7RCR|8DUR|9aVULN
120	31153 45243	   	264.98	DCR|1LIT|2VULN|1FLTARM|1MLV|1DUR	1ZMB|2MLV|3LIT|4FLTARM|5FEWX|6MBVNT|7RCR|8DUR|9aVULN
121	31153 45433	   	264.98	DCR|1LIT|2VULN|1FLTARM|1MLV|1DUR	1ZMB|2MLV|3LIT|4FLTARM|5FEWX|6MBVNT|7RCR|8aVULN|9DUR
122	31154 44243	   	264.98	DCR|1LIT|2VULN|1FLTARM|1MLV|1DUR	1ZMB|2MLV|3LIT|4FLTARM|5LHND|6MBVNT|7RCR|8DUR|9aVULN
123	31154 44433	   	264.98	DCR|1LIT|2VULN|1FLTARM|1MLV|1DUR	1ZMB|2MLV|3LIT|4FLTARM|5LHND|6MBVNT|7RCR|8aVULN|9DUR
124	35152 44243	   	264.98	DCR|1LIT|2VULN|1FLTARM|1MLV|1DUR	1ZMB|2LIT|3MLV|4FLTARM|5LWND|6MBVNT|7RCR|8DUR|9aVULN
125	32114 21254	   	264.92	DCR|3VULN|1LIT|1MLV|1ASPD	1ZMB|2LHND|378VULN|4LIT|5DUST|6RCR|9MLV|aASPD
126	32315 21254	   	264.92	DCR|3VULN|1LIT|1MLV|1ASPD	1ZMB|2LHND|3DUST|4LIT|578VULN|6RCR|9MLV|aASPD
127	35332 64322	 * 	264.90	DCR|2MLV|1LIT|2VULN|3ZMB|1CDMG	158ZMB|2LIT|3RPLT|48VULN|6RCVC|78MLV|8BPWR|9RCR|aCDMG
128	31252 23266	   	264.87	DCR|2LIT|2VULN|1MLV|1DMG|1DUR	1ZMB|2MLV|3RMIN|46VULN|59LIT|7DUR|8DMG|aRCR
129	31113 15451	 * 	264.66	DCR|3LIT|2MLV|2DMG|2ZMB	19ZMB|29MLV|368LIT|4RMIN|59DMG|7RCR|9BPWR|aLHND
130	31113 15452	   	264.51	DCR|3LIT|2MLV|2DMG|2ZMB	19ZMB|29MLV|368LIT|4RMIN|59DMG|7RCR|9BPWR|aDUST
131	31251 33271	   	263.99	DCR|2LIT|2MLV|2VULN|2ZMB|1DUR	1aZMB|2aMLV|3RMIN|48VULN|5DUR|6MBVNT|7aLIT|9RCR|aBPWR
132	12126 42336	   	263.97	DCR|2LIT|2VULN|1MLV|2ASPD	1DMSP|28VULN|34LIT|59ASPD|6MLV|7DUST|aRCR
133	11126 35126	   	263.95	DCR|2LIT|2VULN|1MLV|1ASPD	1DMSP|2LWND|34LIT|5ASPD|6ZMB|7RCR|8MLV|9aVULN
134	12126 35123	   	263.95	DCR|2LIT|2VULN|1MLV|1ASPD	1DMSP|2aVULN|34LIT|5ASPD|6ZMB|7RCR|8MLV|9TLV
135	12126 35153	   	263.95	DCR|2LIT|2VULN|1MLV|1ASPD	1DMSP|2aVULN|34LIT|5ASPD|6ZMB|7RCR|8MLV|9RMIN
136	41143 25233	   	263.88	DCR|2LIT|2MLV|1VULN|1DMG|1AART|1DUR	1BELT|27MLV|3DUR|47LIT|57FEWX|6RCR|7BPWR|8VULN|9DMG|aAART
137	12126 35113	   	263.85	DCR|2LIT|2VULN|1MLV|1ASPD	1DMSP|2aVULN|34LIT|5ASPD|6ZMB|7RCR|8MLV|9DUST
138	12126 35143	   	263.85	DCR|2LIT|2VULN|1MLV|1ASPD|1DUR	1DMSP|2aVULN|34LIT|5ASPD|6ZMB|7RCR|8MLV|9DUR
139	31111 15363	   	263.71	DCR|2LIT|2VULN|1MLV|1CDMG|1SELL	1ZMB|2MLV|39LIT|4RMIN|5SELL|6CDMG|7RCR|8aVULN
140	35111 15363	   	263.71	DCR|2LIT|2VULN|1MLV|1CDMG|1SELL	1ZMB|29LIT|3MLV|4RMIN|5SELL|6CDMG|7RCR|8aVULN
141	12126 23155	   	263.52	DCR|2LIT|1VULN|1MLV|1DMG|1AART|1ASPD	1DMSP|2VULN|34LIT|5ASPD|6BEXP|7DMG|8MLV|9RCR|aAART
142	12126 13155	   	263.42	DCR|2LIT|1VULN|1MLV|1DMG|1AART|1ASPD	1DMSP|2VULN|34LIT|5ASPD|6DUST|7DMG|8MLV|9RCR|aAART
143	35632 41231	   	263.35	ACR|2LIT|2VULN|2DMG|1MLV	1ZMB|2aLIT|39DUST|4RCR|5MLV|6aDMG|7FEWX|8aVULN|aBPWR
144	53113 15123	   	263.33	DCR|2LIT|2VULN|1MLV|1DMG	1NUKE|2TLV|36LIT|4RMIN|5DMG|7RCR|8MLV|9aVULN
145	53133 35252	   	263.33	DCR|2LIT|2VULN|1MLV|1DMG	1NUKE|2TLV|3aLIT|4MLV|5DMG|6aDUST|7RCR|8BEXP|9aVULN|aBPWR
146	33113 13642	   	263.30	DCR|3LIT|1VULN|1MLV|1CDMG|1ASPD	1ZMB|2BEXP|3VULN|458LIT|6CDMG|7ASPD|9MLV|aRCR
147	31253 63112	   	263.04	DCR|1LIT|2VULN|1FLTARM|1MLV	1ZMB|2MLV|3RMIN|48VULN|5CGEN|6RCR|7LHND|9LIT|aFLTARM
148	12241 35141	   	262.92	ACR|2LIT|3VULN|2ASPD|3CDMG	1DMSP|27aVULN|3RCR|48aCDMG|57ERES|67LIT|7aBPWR|9aASPD
149	42211 15523	 * 	262.62	DCR|3LIT|2VULN|2DMG	1BELT|267LIT|3NUKE|4aVULN|5aDMG|8RMIN|9RCR|aBPWR
150	31155 32622	   	262.56	DCR|2LIT|3MLV|1FLTARM|1VULN	1ZMB|256MLV|3aLIT|4FLTARM|7VULN|8MBVNT|9RCR
151	31156 15332	 * 	262.44	DCR|2MLV|1LIT|2VULN|1FLTARM|2DUR	1ZMB|2aMLV|3LIT|4FLTARM|5aDUR|6TLV|7aVULN|8RMIN|9RCR|aBPWR
152	35143 23311	   	262.20	DCR|2MLV|1LIT|2VULN|3ZMB|1CDMG	168ZMB|2LIT|38MLV|4LHND|5CDMG|78VULN|8BPWR|9LWND|aRCR
153	35143 23351	   	262.05	DCR|2MLV|1LIT|2VULN|3ZMB|1CDMG	168ZMB|2LIT|38MLV|4LHND|5CDMG|78VULN|8BPWR|9DUST|aRCR
