0	Index      	 *	Score 	Summary	Detail	
1	26211 51512	 * 	313.76	DCR|3MLV|4VULN|1LIT|1DMG	149aVULN|257MLV|3DMG|6LIT|8RCR
30	11232 21335	   	296.47	DCR|2LIT|2VULN|1FLTARM|1MLV|1CDMG	15LIT|2BEXP|38VULN|4MLV|6RCR|7DUST|9FLTARM|aCDMG
31	13232 23335	   	296.47	DCR|2LIT|2VULN|1FLTARM|1MLV|1CDMG	15LIT|2DUST|38VULN|4MLV|6RCR|7BEXP|9FLTARM|aCDMG
32	14432 23335	   	296.47	DCR|2LIT|2VULN|1FLTARM|1MLV|1CDMG	15LIT|28VULN|3DUST|4MLV|6RCR|7BEXP|9FLTARM|aCDMG
33	14212 35235	 * 	296.17	DCR|3LIT|4VULN|2ASPD	18aLIT|2369VULN|48FEWX|58ASPD|7RCR|8BPWR
34	11222 35246	   	296.17	DCR|3LIT|4VULN|2ASPD	158LIT|2BEXP|368aVULN|48ASPD|7RCR|8BPWR|9LWND
35	12222 35662	   	296.17	DCR|3LIT|4VULN|2ASPD	15aLIT|2LHND|369aVULN|4aASPD|7RCR|8AART|aBPWR
36	15363 35232	 * 	296.12	DCR|3LIT|2VULN|2DMG|2DUR|1AART|1CDMG	128LIT|36VULN|48DUR|58DMG|7RCR|8BPWR|9CDMG|aAART
37	13222 35246	   	296.07	DCR|3LIT|4VULN|2ASPD	158LIT|2DUST|368aVULN|48ASPD|7RCR|8BPWR|9LWND
38	13222 35662	   	296.07	DCR|3LIT|4VULN|2ASPD	15aLIT|2DUST|369aVULN|4aASPD|7RCR|8AART|aBPWR
39	42312 35235	   	296.07	DCR|3LIT|4VULN|2ASPD	1LEGI|2RCVC|3489VULN|58aLIT|68ASPD|7RCR|8BPWR
40	11222 35216	   	296.07	DCR|3LIT|4VULN|2ASPD	158LIT|2BEXP|368aVULN|48ASPD|7RCR|8BPWR|9DUR
41	11222 35256	   	296.07	DCR|3LIT|4VULN|2ASPD	158LIT|2BEXP|368aVULN|48ASPD|7RCR|8BPWR|9DUST
42	13222 35216	   	295.97	DCR|3LIT|4VULN|2ASPD	158LIT|2DUST|368aVULN|48ASPD|7RCR|8BPWR|9DUR
43	14212 35232	 * 	295.77	DCR|5VULN|2LIT|2ASPD	18LIT|2369aVULN|48FEWX|58ASPD|7RCR|8BPWR
44	42312 35232	   	295.67	DCR|5VULN|2LIT|2ASPD	1LEGI|2RCVC|3489aVULN|58LIT|68ASPD|7RCR|8BPWR
45	11232 22336	 * 	294.44	DCR|2LIT|2MLV|2VULN|1FLTARM	15LIT|2BEXP|38VULN|4aMLV|6RCR|7FEWX|9FLTARM
46	13232 23336	   	294.29	DCR|2LIT|2MLV|2VULN|1FLTARM	15LIT|2DUST|38VULN|4aMLV|6RCR|7BEXP|9FLTARM
47	14432 23336	   	294.29	DCR|2LIT|2MLV|2VULN|1FLTARM	15LIT|28VULN|3DUST|4aMLV|6RCR|7BEXP|9FLTARM
48	11232 21336	   	294.29	DCR|2LIT|2MLV|2VULN|1FLTARM	15LIT|2BEXP|38VULN|4aMLV|6RCR|7DUST|9FLTARM
49	11253 33242	   	294.27	DCR|2LIT|2FLTARM|2VULN|2CDMG	1aLIT|267BEXP|3aVULN|4DUR|56CDMG|6aBPWR|8aFLTARM|9RCR
50	22212 15331	 * 	293.46	DCR|4VULN|1LIT|2DMG|2ASPD	149aVULN|2aASPD|38DMG|5LIT|6aERES|7RCR|aBPWR
51	12232 33166	   	293.01	DCR|3LIT|2VULN|1FLTARM|1MLV	158LIT|2LHND|36VULN|4MLV|7FEWX|9FLTARM|aRCR
52	11235 26335	   	291.89	DCR|3VULN|1LIT|1FLTARM|1MLV|1CDMG	1LIT|2BEXP|378VULN|4MLV|5FEWX|6RCR|9FLTARM|aCDMG
53	14213 12153	   	291.74	DCR|2LIT|2VULN|1MLV|2CDMG|1DMG|1ASPD	16LIT|23VULN|4FEWX|56CDMG|6BPWR|7DMG|8ASPD|9MLV|aRCR
54	14612 23533	   	290.43	DCR|2LIT|1FLTARM|1VULN|1MLV|1DMG|1ASPD	13LIT|2VULN|4FEWX|5ASPD|6RCR|7MLV|8RMIN|9FLTARM|aDMG
55	15312 23533	   	290.43	DCR|2LIT|1FLTARM|1VULN|1MLV|1DMG|1ASPD	12LIT|3VULN|4FEWX|5ASPD|6RCR|7MLV|8RMIN|9FLTARM|aDMG
56	14212 35233	 * 	290.33	DCR|2LIT|4VULN|3ASPD	18LIT|2369VULN|48FEWX|58aASPD|7RCR|8BPWR
57	24212 15331	 * 	290.23	DCR|2LIT|4VULN|2DMG	149aVULN|2RMIN|38DMG|5aLIT|6aERES|7RCR|aBPWR
58	42312 35233	   	290.23	DCR|2LIT|4VULN|3ASPD	1LEGI|2RCVC|3489VULN|58LIT|68aASPD|7RCR|8BPWR
59	24212 15131	   	289.93	DCR|3LIT|4VULN|1DMG	149aVULN|2RMIN|3DMG|58aLIT|6aERES|7RCR|aBPWR
60	21243 32335	 * 	289.91	DCR|2LIT|3VULN|1MLV|3CDMG	137VULN|237CDMG|37BPWR|49LHND|5LSRHEA|67LIT|8RCR|aMLV
61	14121 43413	   	289.32	DCR|2MLV|3VULN|1LIT|1CDMG|1ASPD	1LIT|269VULN|3CDMG|4DUST|56MLV|6BPWR|7ZMB|8ASPD|aRCR
62	11222 35262	 * 	288.46	DCR|3LIT|3VULN|3ASPD	158LIT|2BEXP|368VULN|48aASPD|7RCR|8BPWR|9MGNSTR
63	12222 35262	   	288.46	DCR|3LIT|3VULN|3ASPD	158LIT|2LHND|368VULN|48aASPD|7RCR|8BPWR|9MGNSTR
64	12222 45226	   	288.46	DCR|3LIT|3VULN|3ASPD	158LIT|2LHND|38aVULN|468ASPD|7RCR|8BPWR|9CGEN
65	11222 35222	   	288.36	DCR|3LIT|3VULN|3ASPD	158LIT|2BEXP|368VULN|48aASPD|7RCR|8BPWR|9LSRHEA
66	12222 35222	   	288.36	DCR|3LIT|3VULN|3ASPD	158LIT|2LHND|368VULN|48aASPD|7RCR|8BPWR|9LSRHEA
67	13222 45226	   	288.36	DCR|3LIT|3VULN|3ASPD	158LIT|2DUST|38aVULN|468ASPD|7RCR|8BPWR|9CGEN
68	13222 35222	   	288.26	DCR|3LIT|3VULN|3ASPD	158LIT|2DUST|368VULN|48aASPD|7RCR|8BPWR|9LSRHEA
69	46222 35222	   	288.26	DCR|3LIT|3VULN|3ASPD	1LEGI|258LIT|368VULN|48aASPD|7RCR|8BPWR|9LSRHEA
70	11253 53242	   	287.86	DCR|2LIT|2FLTARM|2VULN|1CDMG	1aLIT|267BEXP|3aVULN|4DUR|5CDMG|8aFLTARM|9RCR|aBPWR
71	11232 23162	   	287.66	DCR|3LIT|1FLTARM|1MLV|1VULN|1ASPD	158LIT|27BEXP|3VULN|4MLV|6RCR|9FLTARM|aASPD
72	14612 23532	   	287.66	DCR|3LIT|1FLTARM|1MLV|1VULN|1ASPD	13aLIT|2VULN|4FEWX|5ASPD|6RCR|7MLV|8RMIN|9FLTARM
73	15312 23532	   	287.66	DCR|3LIT|1FLTARM|1MLV|1VULN|1ASPD	12aLIT|3VULN|4FEWX|5ASPD|6RCR|7MLV|8RMIN|9FLTARM
74	12222 55232	   	286.96	DCR|3LIT|2VULN|1MLV|2ASPD	158LIT|26LHND|38VULN|48ASPD|7RCR|8BPWR|9RCVC|aMLV
75	14612 35232	   	286.96	DCR|3LIT|2VULN|1MLV|2ASPD	138LIT|26VULN|48FEWX|58ASPD|7RCR|8BPWR|9RCVC|aMLV
76	15312 35232	   	286.96	DCR|3LIT|2VULN|1MLV|2ASPD	128LIT|36VULN|48FEWX|58ASPD|7RCR|8BPWR|9RCVC|aMLV
77	14422 35232	   	286.76	DCR|3LIT|2VULN|1MLV|2ASPD	158LIT|26VULN|38DUST|48ASPD|7RCR|8BPWR|9RCVC|aMLV
78	14212 22461	   	286.71	DCR|2LIT|3VULN|2DMG|1ASPD	19LIT|239VULN|47FEWX|5ASPD|6RCR|89DMG|9BPWR|aLWND
79	14212 22462	   	286.61	DCR|2LIT|3VULN|2DMG|1ASPD	19LIT|239VULN|47FEWX|5ASPD|6RCR|89DMG|9BPWR|aMBVNT
80	14212 22463	   	286.61	DCR|2LIT|3VULN|2DMG|1ASPD	19LIT|239VULN|47FEWX|5ASPD|6RCR|89DMG|9BPWR|aBASARM
81	11222 45253	   	286.38	DCR|3LIT|2VULN|3ASPD|1DMG	158LIT|2BEXP|38VULN|468ASPD|7RCR|8BPWR|9LWND|aDMG
82	12222 45253	   	286.38	DCR|3LIT|2VULN|3ASPD|1DMG	158LIT|2LHND|38VULN|468ASPD|7RCR|8BPWR|9LWND|aDMG
83	13222 45253	   	286.28	DCR|3LIT|2VULN|3ASPD|1DMG	158LIT|2DUST|38VULN|468ASPD|7RCR|8BPWR|9LWND|aDMG
84	26211 51511	   	285.60	DCR|3MLV|3VULN|1LIT|1DMG	149VULN|257MLV|3DMG|6LIT|8RCR|aBELT
85	25212 15136	   	285.47	DCR|2LIT|3VULN|1MLV|1DMG	149VULN|2CGEN|3DMG|58LIT|6ERES|7RCR|aMLV
86	26211 51513	   	285.45	DCR|3MLV|3VULN|1LIT|1DMG	149VULN|257MLV|3DMG|6LIT|8RCR|aDUR
87	13122 12153	   	285.23	DCR|2LIT|2VULN|1MLV|1DMG|1CDMG|1ASPD	16LIT|24DUST|3CDMG|56VULN|6BPWR|7DMG|8ASPD|9MLV|aRCR
88	11232 22462	   	285.00	DCR|3LIT|3VULN|1MLV	159LIT|2aBEXP|39aVULN|4MLV|6RCR|7FEWX|89aCGEN|9aBPWR
89	11232 25162	   	285.00	DCR|3LIT|3VULN|1MLV	159LIT|2aBEXP|39aVULN|4MLV|6RCR|7CGEN|89aLWND|9aBPWR
90	12232 22462	   	285.00	DCR|3LIT|3VULN|1MLV	159LIT|2aLHND|39aVULN|4MLV|6RCR|7BEXP|89aCGEN|9aBPWR
91	12232 23462	   	285.00	DCR|3LIT|3VULN|1MLV	159LIT|2aLHND|39aVULN|4MLV|6RCR|7FEWX|89aCGEN|9aBPWR
92	12232 25162	   	285.00	DCR|3LIT|3VULN|1MLV	159LIT|2aLHND|39aVULN|4MLV|6RCR|7CGEN|89aLWND|9aBPWR
93	22312 36242	 * 	284.93	DCR|2LIT|2VULN|2DMG|2ASPD|1CDMG|1SELL	1aVULN|2aASPD|3AART|48DMG|5CDMG|6SELL|7aLIT|9RCR|aBPWR
94	11232 21462	   	284.90	DCR|3LIT|3VULN|1MLV	159LIT|2aBEXP|39aVULN|4MLV|6RCR|7DUST|89aCGEN|9aBPWR
95	12232 21462	   	284.90	DCR|3LIT|3VULN|1MLV	159LIT|2aLHND|39aVULN|4MLV|6RCR|7DUST|89aCGEN|9aBPWR
96	11232 22461	   	284.80	DCR|3LIT|3VULN|1MLV	159LIT|2BEXP|39aVULN|4MLV|6RCR|7FEWX|89CGEN|9BPWR
97	11232 25161	   	284.80	DCR|3LIT|3VULN|1MLV	159LIT|2BEXP|39aVULN|4MLV|6RCR|7CGEN|89LWND|9BPWR
98	12232 22461	   	284.80	DCR|3LIT|3VULN|1MLV	159LIT|2LHND|39aVULN|4MLV|6RCR|7BEXP|89CGEN|9BPWR
99	12232 23461	   	284.80	DCR|3LIT|3VULN|1MLV	159LIT|2LHND|39aVULN|4MLV|6RCR|7FEWX|89CGEN|9BPWR
100	12232 25161	   	284.80	DCR|3LIT|3VULN|1MLV	159LIT|2LHND|39aVULN|4MLV|6RCR|7CGEN|89LWND|9BPWR
101	13232 22462	   	284.80	DCR|3LIT|3VULN|1MLV	159LIT|2aDUST|39aVULN|4MLV|6RCR|7FEWX|89aCGEN|9aBPWR
102	13232 23462	   	284.80	DCR|3LIT|3VULN|1MLV	159LIT|2aDUST|39aVULN|4MLV|6RCR|7BEXP|89aCGEN|9aBPWR
103	13232 25162	   	284.80	DCR|3LIT|3VULN|1MLV	159LIT|2aDUST|39aVULN|4MLV|6RCR|7CGEN|89aLWND|9aBPWR
104	13232 25662	   	284.80	DCR|3LIT|3VULN|1MLV	159LIT|2aDUST|39aVULN|4MLV|6RCR|7CGEN|89aLHND|9aBPWR
105	16311 32622	 * 	284.72	DCR|2LIT|3MLV|3VULN	18LIT|245MLV|3RCVC|689VULN|78BEXP|8BPWR|aRCR
106	13232 22461	   	284.70	DCR|3LIT|3VULN|1MLV	159LIT|2DUST|39aVULN|4MLV|6RCR|7FEWX|89CGEN|9BPWR
107	13232 23461	   	284.70	DCR|3LIT|3VULN|1MLV	159LIT|2DUST|39aVULN|4MLV|6RCR|7BEXP|89CGEN|9BPWR
108	13232 25161	   	284.70	DCR|3LIT|3VULN|1MLV	159LIT|2DUST|39aVULN|4MLV|6RCR|7CGEN|89LWND|9BPWR
109	13232 25661	   	284.70	DCR|3LIT|3VULN|1MLV	159LIT|2DUST|39aVULN|4MLV|6RCR|7CGEN|89LHND|9BPWR
110	11232 21461	   	284.70	DCR|3LIT|3VULN|1MLV	159LIT|2BEXP|39aVULN|4MLV|6RCR|7DUST|89CGEN|9BPWR
111	11232 25462	   	284.70	DCR|3LIT|3VULN|1MLV	159LIT|2aBEXP|39aVULN|4MLV|6RCR|7CGEN|89aDUST|9aBPWR
112	12232 21461	   	284.70	DCR|3LIT|3VULN|1MLV	159LIT|2LHND|39aVULN|4MLV|6RCR|7DUST|89CGEN|9BPWR
113	12232 25462	   	284.70	DCR|3LIT|3VULN|1MLV	159LIT|2aLHND|39aVULN|4MLV|6RCR|7CGEN|89aDUST|9aBPWR
114	22212 15335	   	284.61	DCR|2LIT|3VULN|2DMG|1ASPD	149VULN|2ASPD|38DMG|5aLIT|6ERES|7RCR
115	11232 25461	   	284.60	DCR|3LIT|3VULN|1MLV	159LIT|2BEXP|39aVULN|4MLV|6RCR|7CGEN|89DUST|9BPWR
116	12232 25461	   	284.60	DCR|3LIT|3VULN|1MLV	159LIT|2LHND|39aVULN|4MLV|6RCR|7CGEN|89DUST|9BPWR
117	16311 31622	   	284.42	DCR|2LIT|3MLV|3VULN	18LIT|245MLV|3RCVC|689VULN|78DUST|8BPWR|aRCR
118	22211 36245	 * 	284.36	DCR|2MLV|1LIT|2VULN|2DMG|1ASPD	14VULN|2ASPD|38DMG|5aMLV|6AART|7LIT|9RCR
119	22212 15135	   	284.32	DCR|3LIT|3VULN|1DMG|1ASPD	149VULN|2ASPD|3DMG|58aLIT|6ERES|7RCR
120	15312 23535	   	284.01	DCR|2LIT|1FLTARM|1VULN|1MLV|1CDMG|1ASPD	12LIT|3VULN|4FEWX|5ASPD|6RCR|7MLV|8RMIN|9FLTARM|aCDMG
121	11235 26336	 * 	283.76	DCR|2MLV|3VULN|1LIT|1FLTARM	1LIT|2BEXP|378VULN|4aMLV|5FEWX|6RCR|9FLTARM
