0	Index      	 *	Score 	Summary	Detail	
1	42254 23232	 * 	358.34	DCR|2VULN|1MDPS|1CDMG|1DUR	1SPLJET|2LHND|35VULN|4DUR|6TBNT|7AEBURN|8RCR|9CDMG|aMDPS
34	41632 22512	   	331.14	DCR|2VULN|1MDPS|1DUR	1SPLJET|25VULN|3ZMB|4FRZICY|6RCR|7DUR|8BELT|9LHND|aMDPS
35	11881 47131	   	331.04	DCR|2VULN|1MDPS|1DUR	19LIT|2MBVNT|3BOSS|4DUR|59ERES|69VULN|7RCR|8TBNT|9BPWR|aMDPS
36	41325 22242	   	330.98	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR	1SPLJET|2VULN|3TLV|4DUR|57CGEN|6TBNT|8RCR|9CDMG|aMDPS
37	41213 16321	   	330.94	DCR|2VULN|1MDPS|1DUR	1SPLJET|23VULN|4LWND|5BOSS|6RCR|7TBNT|8DUR|9MDPS|aAEWIND
38	41213 16322	   	330.94	DCR|2VULN|1MDPS|1DUR	1SPLJET|23VULN|4LWND|5BOSS|6RCR|7TBNT|8DUR|9MDPS|aBEXP
39	41213 16323	   	330.94	DCR|2VULN|1MDPS|1DUR	1SPLJET|23VULN|4LWND|5BOSS|6RCR|7TBNT|8DUR|9MDPS|aRAT
40	41213 16324	   	330.94	DCR|2VULN|1MDPS|1TLV|1DUR	1SPLJET|23VULN|4LWND|5BOSS|6RCR|7TBNT|8DUR|9MDPS|aTLV
41	41213 16325	   	330.94	DCR|2VULN|1MDPS|1DUR	1SPLJET|23VULN|4LWND|5BOSS|6RCR|7TBNT|8DUR|9MDPS|aERES
42	41213 16326	   	330.94	DCR|2VULN|1MDPS|1DUR	1SPLJET|23VULN|4aLWND|5BOSS|6RCR|7TBNT|8DUR|9MDPS
43	41632 26112	   	330.94	DCR|2VULN|1MDPS|1DUR	1SPLJET|25VULN|3ZMB|4FRZICY|6RCR|7TBNT|8DUR|9ERES|aMDPS
44	56313 32242	   	330.88	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR	1TLV|2BBNT|3VULN|4AEFRZ|5DUR|6ERES|7FRZICY|8RCR|9CDMG|aMDPS
45	42254 23211	   	330.84	DCR|2VULN|1MDPS|1DUR	1SPLJET|2LHND|35VULN|4DUR|6TBNT|7AEBURN|8RCR|9BBNT|aMDPS
46	16213 23364	 * 	330.78	3VULN|1MDPS|2TLV|2DUR	1LIT|29TLV|3MLV|4DUST|569VULN|7CGEN|89DUR|9BPWR|aMDPS
47	41246 12122	   	330.70	DCR|2VULN|1MDPS|1DUR|1SELL	1SPLJET|23VULN|4SELL|5TBNT|6DUR|7FEWX|8AEPOI|9RCR|aMDPS
48	16113 22364	   	330.58	3VULN|1MDPS|2TLV|2DUR	1LIT|29TLV|3ERES|4DUST|569VULN|7AME|89DUR|9BPWR|aMDPS
49	41222 52261	 * 	328.54	DCR|3VULN|1MDPS|1CDMG|1TLV|1DUR	1SPLJET|235VULN|4RMIN|6RCR|7CDMG|8MDPS|9DUR|aTLV
50	41222 55231	   	328.54	DCR|3VULN|1CDMG|1TLV|1DUR	1SPLJET|235VULN|4RMIN|6RCR|7SNITOX|8TLV|9DUR|aCDMG
