0	Index      	 *	Score 	Summary	Detail	
1	21311 22633	 * 	384.65	DCR|2VULN|1MDPS|1CDMG|1TLV|1DUR	1DUR|2BBNT|37VULN|4FRZARM|5CDMG|6RCR|8TLV|9ASPD|aMDPS
30	21311 22454	   	358.34	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2BBNT|37VULN|4FRZARM|5CDMG|6RCR|8DUST|9MDPS|aERES
31	21311 22455	   	358.34	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2BBNT|37VULN|4FRZARM|5CDMG|6RCR|8DUST|9MDPS|aRAT
32	21311 22456	   	358.34	DCR|2VULN|1MDPS|2CDMG|1DUR	1DUR|2BBNT|37VULN|4FRZARM|5aCDMG|6RCR|8DUST|9MDPS
33	21311 22462	   	358.34	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2BBNT|37VULN|4FRZARM|5CDMG|6RCR|8DUST|9TBNT|aMDPS
34	21311 36543	   	358.34	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2BBNT|38VULN|4FRZARM|5CDMG|6ASPD|7RCR|9ERES|aMDPS
35	21323 65326	   	358.24	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2BBNT|38VULN|4ERES|5LEGI|6CDMG|7RCR|9MBVNT|aMDPS
36	26313 42348	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1DUR|2CGEN|3MBVNT|49VULN|5TLV|6RCR|7RAT|8BBNT|aMDPS
37	26313 43248	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1DUR|2CGEN|3MBVNT|49VULN|5TLV|6RCR|7TBNT|8RAT|aMDPS
38	62313 43248	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1MLV|2DUR|3MBVNT|49VULN|5TLV|6RCR|7TBNT|8RAT|aMDPS
39	21312 15631	 * 	355.67	2MDPS|3VULN|1DUR	1DUR|2BBNT|368VULN|4FRZARM|5BEXP|7LIT|9aMDPS
40	61353 23335	   	355.67	2MDPS|3VULN|1DUR	1MLV|2RAT|3DUST|478VULN|5DUR|6FEWX|9aMDPS
41	21362 25631	   	355.57	2MDPS|3VULN|1DUR	1DUR|2BBNT|348VULN|5FEWX|6AIRHEA|7LIT|9aMDPS
42	21315 15631	   	355.57	2MDPS|3VULN|1DUR	1DUR|2BBNT|368VULN|4FRZARM|5DUST|7LIT|9aMDPS
43	21361 25631	   	355.47	2MDPS|3VULN|1DUR	1DUR|2BBNT|348VULN|5LEGI|6AIRHEA|7LIT|9aMDPS
44	21333 26261	 * 	355.00	4VULN|1MDPS|1CDMG|1DUR|1AART	1DUR|2BBNT|3678VULN|4TBNT|5AART|9CDMG|aMDPS
