0	Index      	 *	Score 	Summary	Detail	
1	11565 22133	 * 	225.77	ACR|1BASARM|2DMG|1ASPD|1BASICY|1BEXP	1FEWX|27LWND|3BEXP|4RCR|5BASARM|6ASPD|8aDMG|9BASICY
29	21565 11131	   	198.46	ACR|1BASARM|2BEXP|1DMG|1VULN	1DUST|2LWND|39BEXP|4RCR|5BASARM|6TLV|7DMG|8FEWX|aVULN
30	11565 31323	   	198.46	ACR|1BASARM|2BEXP|1VULN|1ASPD	1FEWX|2LWND|3aBEXP|4RCR|5BASARM|6DLOT|7LSRICY|8VULN|9ASPD
31	21565 11232	 * 	198.46	ACR|1BASARM|2BEXP|1VULN|1DMG	1DUST|2LWND|39BEXP|4RCR|5BASARM|6TLV|7DMG|8VULN|aLHND
32	21565 11233	   	198.46	ACR|1BASARM|2BEXP|1VULN|1DMG	1DUST|2LWND|39BEXP|4RCR|5BASARM|6TLV|7DMG|8VULN|aZMB
33	11565 21123	   	198.44	ACR|1BASARM|2BEXP|1ASPD|1AART	18FEWX|2LWND|3aBEXP|4RCR|5BASARM|6ASPD|7NUKE|9AART
34	21565 11231	   	198.36	ACR|1BASARM|2BEXP|1VULN|1DMG	1DUST|2LWND|39BEXP|4RCR|5BASARM|6TLV|7DMG|8VULN|aAEFBLL
35	21565 31323	   	198.36	ACR|1BASARM|2BEXP|1VULN|1ASPD	1DUST|2LWND|3aBEXP|4RCR|5BASARM|6DLOT|7LSRICY|8VULN|9ASPD
36	21561 13353	 * 	198.31	ACR|2BASARM|1VULN|1ASPD|1BEXP	1DUST|2LWND|3BEXP|4RCR|5LIT|6VULN|78BASARM|9FEWX|aASPD
37	21561 13362	 * 	198.31	ACR|2BASARM|1VULN|1DMG|1BEXP	1DUST|2LWND|3BEXP|4RCR|5LIT|6VULN|78BASARM|9CGEN|aDMG
38	21565 11313	   	197.76	ACR|1BASARM|1DMG|1AART|1BEXP|1CDMG	1DUST|2LWND|3BEXP|4RCR|5BASARM|6TLV|7DMG|8CDMG|9RCVC|aAART
39	21565 21313	   	197.76	ACR|1BASARM|1ASPD|1AART|1BEXP|1CDMG	1DUST|2LWND|3BEXP|4RCR|5BASARM|6ASPD|7NUKE|8CDMG|9RCVC|aAART
40	11562 53211	   	197.36	ACR|1BASARM|1DMG|1AART|1CDMG|1BEXP	157FEWX|2LWND|3BEXP|4RCR|6DMG|8BASARM|9AART|aCDMG
41	21565 11323	   	196.16	ACR|1BASARM|1DMG|1AART|1BEXP|1CDMG	1DUST|29LWND|3BEXP|4RCR|5BASARM|6TLV|7DMG|8CDMG|aAART
42	21565 21323	   	196.16	ACR|1BASARM|1ASPD|1AART|1BEXP|1CDMG	1DUST|29LWND|3BEXP|4RCR|5BASARM|6ASPD|7NUKE|8CDMG|aAART
43	21565 11333	   	196.06	ACR|1BASARM|1DMG|1AART|1BEXP|1CDMG	1DUST|2LWND|3BEXP|4RCR|5BASARM|69TLV|7DMG|8CDMG|aAART
