0	Index      	 *	Score 	Summary	Detail	
1	24752 44713	 * 	264.70	ACR|2BASARM|3BEXP|2ASPD|2CDMG	1MBVNT|2RCR|3aASPD|4AAC|5aCDMG|6aBASARM|789BEXP|aBPWR
30	24714 42364	   	239.71	ACR|1BASARM|2ASPD|2DMG|2VULN	1MBVNT|2RCR|38ASPD|4RPLT|5RMIN|68DMG|78VULN|8BPWR|9MLV|aBASARM
31	24714 88324	   	239.71	ACR|1BASARM|2ASPD|2DMG|2VULN	1MBVNT|2RCR|38ASPD|4RPLT|5RMIN|68VULN|78DMG|8BPWR|9CGEN|aBASARM
32	24713 48324	   	239.61	ACR|1BASARM|2ASPD|2DMG|2VULN	1MBVNT|2RCR|38ASPD|4RPLT|58VULN|6NUKE|78DMG|8BPWR|9CGEN|aBASARM
33	24713 48364	   	239.61	ACR|1BASARM|2ASPD|2DMG|2VULN	1MBVNT|2RCR|38ASPD|4RPLT|58VULN|6NUKE|78DMG|8BPWR|9MLV|aBASARM
34	24731 41132	   	239.47	ACR|3ASPD|1BASARM|2CDMG|1AART	1MBVNT|2RCR|348ASPD|58AME|6AAC|78CDMG|8BPWR|9BASARM|aAART
35	24752 42642	   	238.99	ACR|1BASARM|2ASPD|2AAC|1BEXP|1AART|1CDMG	1MBVNT|2RCR|38ASPD|4aAAC|5CDMG|6BASARM|7AART|9BEXP
36	24752 44812	   	238.65	ACR|1BASARM|2ASPD|2BEXP|2CDMG	1MBVNT|2RCR|3aASPD|4AAC|58CDMG|6BASARM|79BEXP
37	24164 14351	   	238.60	ACR|2BASARM|2ASPD|2CDMG|1AART	1MBVNT|2RCR|3AAC|49CDMG|5AART|6DUR|79BASARM|89ASPD|9BPWR|aMLV
38	24164 14353	   	238.60	ACR|2BASARM|2ASPD|2CDMG|1AART	1MBVNT|2RCR|3AAC|49CDMG|5AART|6DUR|79BASARM|89ASPD|9BPWR|aRPLT
39	24164 14357	   	238.60	ACR|2BASARM|2ASPD|2CDMG|1AART	1MBVNT|2RCR|3AAC|49CDMG|5AART|6DUR|79BASARM|89ASPD|9BPWR|aLWND
40	24164 14358	   	238.60	ACR|2BASARM|2ASPD|2CDMG|1AART	1MBVNT|2RCR|3AAC|49CDMG|5AART|6DUR|79BASARM|89ASPD|9BPWR|aFEWX
41	24164 54351	   	238.60	ACR|2BASARM|2ASPD|2CDMG|1AART	1MBVNT|2RCR|3AAC|49CDMG|5AART|6LWND|79BASARM|89ASPD|9BPWR|aMLV
42	24164 54353	   	238.60	ACR|2BASARM|2ASPD|2CDMG|1AART	1MBVNT|2RCR|3AAC|49CDMG|5AART|6LWND|79BASARM|89ASPD|9BPWR|aRPLT
43	24164 74351	   	238.60	ACR|2BASARM|2ASPD|2CDMG|1AART	1MBVNT|2RCR|3AAC|49CDMG|5AART|6FEWX|79BASARM|89ASPD|9BPWR|aMLV
44	24164 74353	   	238.60	ACR|2BASARM|2ASPD|2CDMG|1AART	1MBVNT|2RCR|3AAC|49CDMG|5AART|6FEWX|79BASARM|89ASPD|9BPWR|aRPLT
45	24752 42442	   	238.60	ACR|2BASARM|2ASPD|2CDMG|1AART	1MBVNT|2RCR|3aASPD|4AAC|59CDMG|6aBASARM|7AART|8aCGEN|aBPWR
46	24752 42242	   	238.40	ACR|2BASARM|2ASPD|2CDMG|1AART	1MBVNT|2RCR|3aASPD|4AAC|59CDMG|6aBASARM|7AART|8aTLV|aBPWR
47	24752 42644	   	238.09	ACR|1BASARM|2ASPD|1BEXP|1CDMG|1AART	1MBVNT|2RCR|38ASPD|4AAC|5CDMG|6BASARM|7AART|9BEXP|aVULN
48	24433 16231	 * 	237.78	ACR|3ASPD|2BEXP|2VULN|1DMG|1BASICY	1MBVNT|2RCR|38VULN|4SNITOX|58BEXP|678ASPD|8BPWR|9BASICY|aDMG
49	24736 11124	   	237.67	ACR|3ASPD|1BASARM|2VULN|2CDMG	1MBVNT|2RCR|348ASPD|58VULN|6RCVC|78CDMG|8BPWR|9CGEN|aBASARM
50	24736 11164	   	237.67	ACR|3ASPD|1BASARM|2VULN|2CDMG	1MBVNT|2RCR|348ASPD|58VULN|6RCVC|78CDMG|8BPWR|9MLV|aBASARM
51	24456 16411	 * 	236.50	ACR|2BASARM|2ASPD|2VULN|1DMG	1MBVNT|2RCR|38VULN|4LEGI|5ERES|68BASARM|78ASPD|8BPWR|9DMG|aLIT
52	24456 16412	   	236.50	ACR|2BASARM|2ASPD|2VULN|1DMG	1MBVNT|2RCR|38VULN|4LEGI|5ERES|68BASARM|78ASPD|8BPWR|9DMG|aLHND
53	24456 16413	   	236.50	ACR|2BASARM|2ASPD|2VULN|1DMG	1MBVNT|2RCR|38VULN|4LEGI|5ERES|68BASARM|78ASPD|8BPWR|9DMG|aRCVC
54	24456 16414	   	236.40	ACR|2BASARM|2ASPD|2VULN|1DMG	1MBVNT|2RCR|38VULN|4LEGI|5ERES|68BASARM|78ASPD|8BPWR|9DMG|aLSRREG
55	24463 67421	 * 	236.20	ACR|1BASARM|2DMG|1BASICY|1BEXP|1CDMG	1MBVNT|2RCR|3VULN|4BELT|5aDMG|6BASICY|7BEXP|8BASARM|9CDMG
56	24224 26562	   	235.57	ACR|1BASARM|2ASPD|2VULN|2CDMG|1AART	1MBVNT|2RCR|3AART|4LEGI|59VULN|6DUR|79ASPD|89CDMG|9BPWR|aBASARM
57	24332 18332	 * 	235.47	ACR|1BASARM|2DMG|1ASPD|2CDMG|1AART	1MBVNT|2RCR|38TLV|4ASPD|58CDMG|6MDPS|78DMG|8BPWR|9BASARM|aAART
58	24164 84313	   	234.91	ACR|1BASARM|2BEXP|1ASPD|2CDMG|1AART	1MBVNT|2RCR|3AAC|4aCDMG|5AART|6aBEXP|7BASARM|8ASPD|9aLIT|aBPWR
59	24164 12462	 * 	234.81	ACR|1BASARM|2BEXP|2VULN|2CDMG|1AART	1MBVNT|2RCR|3AAC|49CDMG|5AART|6DUR|79BEXP|89VULN|9BPWR|aBASARM
60	24114 21762	   	234.71	ACR|1BASARM|2BEXP|1ASPD|1DMG|1CDMG	1MBVNT|2RCR|3AAC|4ERES|5DMG|6CDMG|7BASARM|89BEXP|aASPD
61	24354 21762	   	234.71	ACR|1BASARM|2BEXP|1ASPD|1DMG|1CDMG	1MBVNT|2RCR|3TLV|4AAC|5DMG|6CDMG|7BASARM|89BEXP|aASPD
