0	Index      	 *	Score 	Summary	Detail	
1	15143 68411	 * 	249.80	ACR|2BASARM|3DMG|1ASPD|1AART|1BEXP	1MBVNT|257DMG|357MLV|4RCR|57BPWR|67BASARM|8ASPD|9AART|aBEXP
18	15143 68431	   	229.43	ACR|2BASARM|3DMG|1ASPD	1MBVNT|257DMG|357MLV|4RCR|57BPWR|67BASARM|8ASPD|9FEWX|aVULN
19	23632 23415	   	225.57	ACR|1BASARM|2ASPD|2VULN|1DMG|1BEXP	17VULN|2DUST|3BEXP|4RCR|5FEWX|69ASPD|8DMG|aBASARM
20	23232 23415	   	225.57	ACR|1BASARM|2ASPD|2VULN|1DMG|1BEXP	17VULN|2DUST|3LWND|4RCR|5BEXP|69ASPD|8DMG|aBASARM
21	23332 23415	   	225.57	ACR|1BASARM|2ASPD|2VULN|1DMG|1BEXP	17VULN|2DUST|3FEWX|4RCR|5BEXP|69ASPD|8DMG|aBASARM
22	33632 23415	   	225.57	ACR|1BASARM|2ASPD|2VULN|1DMG|1BEXP	1FEWX|2DUST|37VULN|4RCR|5BEXP|69ASPD|8DMG|aBASARM
23	15142 11325	 * 	225.41	ACR|3ASPD|2DMG|2BEXP|2VULN	1MBVNT|27DMG|3MLV|4RCR|57VULN|678ASPD|7BPWR|9aBEXP
24	15143 63174	   	225.40	ACR|3DMG|1BASARM|2ASPD	1MBVNT|25aDMG|35aMLV|4RCR|5aBPWR|6BASARM|7DUST|8aASPD|9RMIN
25	15242 11323	   	225.31	ACR|3ASPD|2DMG|2BEXP|2VULN	1MBVNT|27DMG|3TLV|4RCR|57VULN|678ASPD|7BPWR|9aBEXP
26	15243 63174	   	225.10	ACR|3DMG|1BASARM|2ASPD	1MBVNT|25aDMG|35aTLV|4RCR|5aBPWR|6BASARM|7DUST|8aASPD|9RMIN
27	15142 11324	   	224.22	ACR|3ASPD|2DMG|2VULN|1AART|1BEXP	1MBVNT|27DMG|3MLV|4RCR|57VULN|678ASPD|7BPWR|9BEXP|aAART
28	15143 64463	   	223.26	ACR|3DMG|1BASARM|1BEXP|1CDMG|1AAC	1MBVNT|25aDMG|35MLV|4RCR|5BPWR|6BASARM|7AAC|8BEXP|9CDMG
29	23631 51511	 * 	223.09	ACR|1BASARM|3VULN|2BEXP|2CDMG|1AAC	178VULN|2DUST|38BEXP|4RCR|5AAC|68CDMG|8BPWR|9LWND|aBASARM
30	15243 64463	   	223.06	ACR|3DMG|1BASARM|1BEXP|1CDMG|1AAC	1MBVNT|25aDMG|35TLV|4RCR|5BPWR|6BASARM|7AAC|8BEXP|9CDMG
31	15143 68112	   	222.50	ACR|2BASARM|3DMG|1ASPD	1MBVNT|257DMG|357MLV|4RCR|57BPWR|67BASARM|8LIT|9LHND|aASPD
32	15143 68132	   	222.50	ACR|2BASARM|3DMG|1ASPD	1MBVNT|257DMG|357MLV|4RCR|57BPWR|67BASARM|8LIT|9DUR|aASPD
33	15143 68423	   	222.40	ACR|2BASARM|3DMG|1ASPD	1MBVNT|257DMG|357MLV|4RCR|57BPWR|67BASARM|8ASPD|9LIT|aSPLARM
34	15143 68424	   	222.40	ACR|2BASARM|3DMG|1ASPD	1MBVNT|257DMG|357MLV|4RCR|57BPWR|67BASARM|8ASPD|9LIT|aDUST
35	15143 68432	   	222.40	ACR|2BASARM|3DMG|1ASPD	1MBVNT|257DMG|357MLV|4RCR|57BPWR|67BASARM|8ASPD|9FEWX|aTLV
36	15143 68433	   	222.40	ACR|2BASARM|3DMG|1ASPD	1MBVNT|257DMG|357MLV|4RCR|57BPWR|67BASARM|8ASPD|9FEWX|aERES
37	15143 68444	   	222.40	ACR|2BASARM|3DMG|1ASPD	1MBVNT|257DMG|357MLV|4RCR|57BPWR|67BASARM|8ASPD|9ERES|aRCVC
38	15143 68441	   	222.30	ACR|2BASARM|3DMG|1ASPD	1MBVNT|257DMG|357MLV|4RCR|57BPWR|67BASARM|8ASPD|9ERES|aDUST
39	15143 68442	   	222.30	ACR|2BASARM|3DMG|1ASPD	1MBVNT|257DMG|357MLV|4RCR|57BPWR|67BASARM|8ASPD|9ERES|aLSRREG
40	15143 68443	   	222.30	ACR|2BASARM|3DMG|1ASPD	1MBVNT|257DMG|357MLV|4RCR|57BPWR|67BASARM|8ASPD|9ERES|aDLOT
41	15243 61822	 * 	222.00	ACR|2BASARM|3DMG|2VULN	1MBVNT|25aDMG|359TLV|4RCR|5aBPWR|6aBASARM|7MDPS|8aVULN
42	15143 63163	   	221.26	ACR|3DMG|1BASARM|1ASPD|1CDMG	1MBVNT|25aDMG|35MLV|4RCR|5BPWR|6BASARM|7DUST|8ASPD|9CDMG
43	15243 63163	   	221.06	ACR|3DMG|1BASARM|1ASPD|1CDMG	1MBVNT|25aDMG|35TLV|4RCR|5BPWR|6BASARM|7DUST|8ASPD|9CDMG
44	15243 67114	   	221.06	ACR|3DMG|1BASARM|1ASPD|1CDMG	1MBVNT|259DMG|35TLV|4RCR|5BPWR|6BASARM|7SNIFST|8CDMG|aASPD
45	15243 68114	   	221.06	ACR|3DMG|1BASARM|1ASPD|1CDMG	1MBVNT|259DMG|35TLV|4RCR|5BPWR|6BASARM|7VENFST|8CDMG|aASPD
46	15143 63181	 * 	220.45	ACR|1BASARM|2DMG|2BEXP|1ASPD	1MBVNT|25DMG|35MLV|4RCR|5BPWR|6BASARM|7DUST|8ASPD|9aBEXP
47	23132 23345	 * 	220.45	ACR|1BASARM|2ASPD|2BEXP|2VULN	17VULN|27DUST|3DUR|4RCR|58BEXP|67ASPD|7BPWR|9ZMB|aBASARM
48	15144 61613	   	220.35	ACR|1BASARM|2DMG|2BEXP|1ASPD	1MBVNT|28DMG|3MLV|4RCR|56BEXP|7MDPS|9ASPD|aBASARM
49	15243 63181	   	220.25	ACR|1BASARM|2DMG|2BEXP|1ASPD	1MBVNT|25DMG|35TLV|4RCR|5BPWR|6BASARM|7DUST|8ASPD|9aBEXP
50	23632 23435	   	219.91	ACR|1BASARM|3VULN|1ASPD|1DMG|1BEXP	179VULN|2DUST|3BEXP|4RCR|5FEWX|6ASPD|8DMG|aBASARM
51	23232 23435	   	219.91	ACR|1BASARM|3VULN|1ASPD|1DMG|1BEXP	179VULN|2DUST|3LWND|4RCR|5BEXP|6ASPD|8DMG|aBASARM
52	23332 23435	   	219.91	ACR|1BASARM|3VULN|1ASPD|1DMG|1BEXP	179VULN|2DUST|3FEWX|4RCR|5BEXP|6ASPD|8DMG|aBASARM
53	33632 23435	   	219.91	ACR|1BASARM|3VULN|1ASPD|1DMG|1BEXP	1FEWX|2DUST|379VULN|4RCR|5BEXP|6ASPD|8DMG|aBASARM
