0	Index      	 *	Score 	Summary	Detail	
1	41354 33313	 * 	204.90	ACR|3ASPD|2DMG|3CDMG|1VULN	1RPLT|27aASPD|3MDPS|4VULN|5RCR|69aCDMG|8aDMG|aBPWR
46	16423 33268	   	184.71	ACR|1BASARM|1DMG|1BEXP|1CDMG|1AAC	1LIT|2MBVNT|3AEMAG|4DMG|5RCR|6BEXP|7AAC|8CDMG|9BASARM|aTLV
47	12111 51553	   	184.67	ACR|2ASPD|2DMG|2VULN|1AAC	126LIT|3aDMG|4AAC|5RCR|7LWND|8aVULN|9aASPD|aBPWR
48	13111 51553	   	184.67	ACR|2ASPD|2DMG|2VULN|1AAC	126LIT|2aBPWR|3aDMG|4AAC|5RCR|7LWND|8aVULN|9aASPD
49	34111 26233	 * 	184.49	ACR|1BASARM|2BEXP|1BASICY|1VULN|1SELL	1LHND|2RPLT|3SELL|4SNIHEL|5RCR|6BASICY|78BEXP|9VULN|aBASARM
50	15241 34112	   	182.79	ACR|1BASARM|2BEXP|1ASPD	1LIT|2DUST|36LWND|4RCR|59BEXP|7BASARM|8ASPD|aLHND
51	15142 41112	   	182.69	ACR|1BASARM|2BEXP|1ASPD	1LIT|27DUST|3DUR|4RCR|5BASARM|69BEXP|8ASPD|aLHND
52	15242 41112	   	182.69	ACR|1BASARM|2BEXP|1ASPD	1LIT|27DUST|3LWND|4RCR|5BASARM|69BEXP|8ASPD|aLHND
53	15241 34111	   	182.69	ACR|1BASARM|2BEXP|1ASPD	1LIT|2DUST|36LWND|4RCR|59BEXP|7BASARM|8ASPD|aAME
54	15241 34123	   	182.69	ACR|1BASARM|2BEXP|1ASPD	1LIT|2DUST|36LWND|4RCR|5aBEXP|7BASARM|8ASPD|9AEFBLL
55	15142 41111	   	182.59	ACR|1BASARM|2BEXP|1ASPD	1LIT|27DUST|3DUR|4RCR|5BASARM|69BEXP|8ASPD|aAME
56	15142 41123	   	182.59	ACR|1BASARM|2BEXP|1ASPD	1LIT|27DUST|3DUR|4RCR|5BASARM|6aBEXP|8ASPD|9AEFBLL
57	15242 41111	   	182.59	ACR|1BASARM|2BEXP|1ASPD	1LIT|27DUST|3LWND|4RCR|5BASARM|69BEXP|8ASPD|aAME
58	15242 41123	   	182.59	ACR|1BASARM|2BEXP|1ASPD	1LIT|27DUST|3LWND|4RCR|5BASARM|6aBEXP|8ASPD|9AEFBLL
59	15141 31162	 * 	181.36	ACR|1BASARM|1ASPD|1BEXP|1CDMG|1SELL	1LIT|2DUST|3DUR|4RCR|5BEXP|6LWND|7ASPD|8CDMG|9SELL|aBASARM
60	12111 22245	   	180.63	ACR|2ASPD|1BASICY|1DMG|1BEXP|1AAC	12LIT|3DMG|4AAC|5RCR|6aASPD|7BASICY|8BEXP|9LHND
61	13111 22245	   	180.63	ACR|2ASPD|1DMG|1BASICY|1BEXP|1AAC	12LIT|2BPWR|3DMG|4AAC|5RCR|6aASPD|7BASICY|8BEXP|9LHND
62	14111 22245	   	180.63	ACR|2ASPD|1BASICY|1DMG|1BEXP|1AAC	1LIT|2DMSP|3DMG|4AAC|5RCR|6aASPD|7BASICY|8BEXP|9LHND
63	15242 22152	 * 	180.41	ACR|1BASARM|2AART|1DMG	1LIT|2DUST|3LWND|4RCR|5BASARM|6RPLT|7ZMB|89AART|aDMG
64	15245 21212	   	180.20	ACR|1BASARM|2DMG|1AAC	1LIT|2DUST|3LWND|4RCR|56DMG|7AAC|8LHND|9DUR|aBASARM
65	11323 13154	   	179.21	ACR|1BASARM|1DMG|2AAC|1BEXP	1LIT|2MLV|39AAC|4DMG|5RCR|6DUR|7CGEN|8BEXP|aBASARM
66	11323 61154	   	179.11	ACR|1BASARM|1DMG|2AAC|1BEXP	1LIT|2MLV|39AAC|4DMG|5RCR|6ERES|7DUR|8BEXP|aBASARM
67	31121 53253	 * 	179.01	DCR|1BASARM|2ASPD|1DMG|1AART|1AAC	1LHND|2AAC|38ASPD|4BELT|5BASARM|6AART|7DUR|9DMG|aRCR
68	16423 13361	   	179.01	ACR|1BASARM|1DMG|2AAC|1CDMG	1LIT|2MBVNT|3AEMAG|4DMG|5RCR|6DUR|7aAAC|8CDMG|9BASARM
69	12111 23542	   	178.16	ACR|2ASPD|2DMG|1BEXP|1AAC	12LIT|39DMG|4AAC|5RCR|68ASPD|7DUR|aBEXP
70	12111 26164	   	178.16	ACR|2ASPD|2DMG|1BEXP|1AAC	12LIT|3aDMG|4AAC|5RCR|69ASPD|7BEXP|8RPLT
71	12111 26541	   	178.16	ACR|2ASPD|2DMG|1BEXP|1AAC	12LIT|39DMG|4AAC|5RCR|68ASPD|7BEXP|aZMB
72	12111 26543	   	178.16	ACR|2ASPD|2DMG|1BEXP|1AAC	12LIT|39DMG|4AAC|5RCR|68ASPD|7BEXP|aLWND
73	13111 23542	   	178.16	ACR|2ASPD|2DMG|1BEXP|1AAC	12LIT|2BPWR|39DMG|4AAC|5RCR|68ASPD|7DUR|aBEXP
74	13111 26164	   	178.16	ACR|2ASPD|2DMG|1BEXP|1AAC	12LIT|2BPWR|3aDMG|4AAC|5RCR|69ASPD|7BEXP|8RPLT
75	13111 26541	   	178.16	ACR|2ASPD|2DMG|1BEXP|1AAC	12LIT|2BPWR|39DMG|4AAC|5RCR|68ASPD|7BEXP|aZMB
76	13111 26543	   	178.16	ACR|2ASPD|2DMG|1BEXP|1AAC	12LIT|2BPWR|39DMG|4AAC|5RCR|68ASPD|7BEXP|aLWND
77	14111 23542	   	178.16	ACR|2ASPD|2DMG|1BEXP|1AAC	1LIT|2DMSP|39DMG|4AAC|5RCR|68ASPD|7DUR|aBEXP
78	11323 23643	   	178.10	ACR|1BASARM|1DMG|1AART|1AAC|1VULN	1LIT|2MLV|3AAC|4DMG|5RCR|6AART|7MSLTOX|8AME|9BASARM|aVULN
79	16423 13368	   	178.10	ACR|1BASARM|1DMG|1CDMG|1AAC|1VULN	1LIT|2MBVNT|3AEMAG|4DMG|5RCR|6DUR|7AAC|8CDMG|9BASARM|aVULN
80	12111 22212	   	177.88	ACR|2BEXP|1ASPD|1DMG|1BASICY|1AAC	12LIT|3DMG|4AAC|5RCR|6ASPD|7BASICY|8aBEXP|9MLV
81	13111 22212	   	177.88	ACR|2BEXP|1ASPD|1DMG|1BASICY|1AAC	12LIT|2BPWR|3DMG|4AAC|5RCR|6ASPD|7BASICY|8aBEXP|9MLV
82	14111 22212	   	177.88	ACR|2BEXP|1ASPD|1DMG|1BASICY|1AAC	1LIT|2DMSP|3DMG|4AAC|5RCR|6ASPD|7BASICY|8aBEXP|9MLV
83	12111 22222	   	177.78	ACR|2BEXP|1ASPD|1DMG|1BASICY|1AAC	12LIT|3DMG|4AAC|5RCR|6ASPD|7BASICY|8aBEXP|9AME
84	12111 22343	   	177.78	ACR|2BEXP|1ASPD|1DMG|1BASICY|1AAC	12LIT|3DMG|4AAC|5RCR|6ASPD|7BASICY|8MDPS|9aBEXP
85	12111 22612	   	177.78	ACR|2BEXP|1ASPD|1DMG|1BASICY|1AAC	12LIT|3DMG|4AAC|5RCR|6ASPD|7BASICY|8ERES|9aBEXP
86	13111 22222	   	177.78	ACR|2BEXP|1ASPD|1DMG|1BASICY|1AAC	12LIT|2BPWR|3DMG|4AAC|5RCR|6ASPD|7BASICY|8aBEXP|9AME
87	13111 22343	   	177.78	ACR|2BEXP|1ASPD|1DMG|1BASICY|1AAC	12LIT|2BPWR|3DMG|4AAC|5RCR|6ASPD|7BASICY|8MDPS|9aBEXP
88	13111 22612	   	177.78	ACR|2BEXP|1ASPD|1DMG|1BASICY|1AAC	12LIT|2BPWR|3DMG|4AAC|5RCR|6ASPD|7BASICY|8ERES|9aBEXP
89	14111 22222	   	177.78	ACR|2BEXP|1ASPD|1DMG|1BASICY|1AAC	1LIT|2DMSP|3DMG|4AAC|5RCR|6ASPD|7BASICY|8aBEXP|9AME
90	14111 22343	   	177.78	ACR|2BEXP|1ASPD|1DMG|1BASICY|1AAC	1LIT|2DMSP|3DMG|4AAC|5RCR|6ASPD|7BASICY|8MDPS|9aBEXP
91	14111 22612	   	177.78	ACR|2BEXP|1ASPD|1DMG|1BASICY|1AAC	1LIT|2DMSP|3DMG|4AAC|5RCR|6ASPD|7BASICY|8ERES|9aBEXP
92	12111 23652	   	177.68	ACR|1BASARM|1ASPD|1DMG|1AAC	12LIT|3DMG|4AAC|5RCR|6ASPD|7DUR|8MDPS|9ZMB|aBASARM
93	13111 23652	   	177.68	ACR|1BASARM|1ASPD|1DMG|1AAC	12LIT|2BPWR|3DMG|4AAC|5RCR|6ASPD|7DUR|8MDPS|9ZMB|aBASARM
94	14111 23652	   	177.68	ACR|1BASARM|1ASPD|1DMG|1AAC	1LIT|2DMSP|3DMG|4AAC|5RCR|6ASPD|7DUR|8MDPS|9ZMB|aBASARM
95	11323 52244	   	177.68	ACR|1BASARM|1ASPD|1DMG|1AAC	1LIT|2MLV|3AAC|4DMG|5RCR|6ZMB|7TLV|8LWND|9ASPD|aBASARM
96	16423 31762	   	177.59	ACR|1BASARM|2BEXP|1DMG	1LIT|2MBVNT|3AEMAG|4DMG|5RCR|68BEXP|7MDPS|9ZMB|aBASARM
97	16423 47532	   	176.51	ACR|1BASARM|1DMG|1BEXP|1CDMG	1LIT|2MBVNT|3AEMAG|4DMG|5RCR|6RPLT|7BEXP|8CDMG|9DUR|aBASARM
98	16423 48447	   	176.51	ACR|1BASARM|1DMG|1AART|1CDMG	1LIT|2MBVNT|3AEMAG|4DMG|5RCR|6RPLT|7AART|8BELT|9BASARM|aCDMG
99	23335 51362	 * 	176.46	ACR|1BASARM|1ASPD|1BEXP|1CDMG|1SELL	1DUR|2LWND|3LHND|4CDMG|5RCR|6BEXP|7LIT|8ASPD|9SELL|aBASARM
100	23335 52222	 * 	176.34	ACR|3ASPD|2BEXP|1CDMG	1DUR|2LWND|3LHND|4CDMG|5RCR|69BEXP|78aASPD
101	23335 52332	   	176.34	ACR|3ASPD|2BEXP|1CDMG	1DUR|2LWND|3LHND|4CDMG|5RCR|68BEXP|79aASPD
102	23435 52222	   	176.34	ACR|3ASPD|2BEXP|1CDMG	1DUR|2LWND|3FEWX|4CDMG|5RCR|69BEXP|78aASPD
103	23435 52332	   	176.34	ACR|3ASPD|2BEXP|1CDMG	1DUR|2LWND|3FEWX|4CDMG|5RCR|68BEXP|79aASPD
104	33435 52222	   	176.34	ACR|3ASPD|2BEXP|1CDMG	1LHND|2LWND|3FEWX|4CDMG|5RCR|69BEXP|78aASPD
105	33435 52332	   	176.34	ACR|3ASPD|2BEXP|1CDMG	1LHND|2LWND|3FEWX|4CDMG|5RCR|68BEXP|79aASPD
106	15142 43332	 * 	176.28	ACR|1BASARM|2BEXP|1AART	1LIT|2DUST|3DUR|4RCR|5BASARM|6aBEXP|7ERES|8RMIN|9AART
107	15242 23141	 * 	176.26	ACR|1BASARM|1BASICY|1AART|1AAC	1aLIT|2DUST|3LWND|4RCR|5BASARM|6RPLT|7AAC|8AART|9BASICY
108	15242 23142	   	176.26	ACR|1BASARM|1BASICY|1AART|1AAC	1LIT|2DUST|3LWND|4RCR|5BASARM|6RPLT|7AAC|8AART|9BASICY|aRMIN
109	15145 31222	   	176.26	ACR|1BASARM|1DMG|1BEXP|1AAC	1LIT|2DUST|36DUR|4RCR|5DMG|7AAC|8LHND|9BEXP|aBASARM
110	15145 32222	   	176.26	ACR|1BASARM|1DMG|1BEXP|1AAC	1LIT|2DUST|36DUR|4RCR|5DMG|7LWND|8AAC|9BEXP|aBASARM
111	12111 26166	 * 	176.23	ACR|3ASPD|1DMG|1BEXP|1AAC	12LIT|3DMG|4AAC|5RCR|69aASPD|7BEXP|8RPLT
112	13111 26166	   	176.23	ACR|3ASPD|1DMG|1BEXP|1AAC	12LIT|2BPWR|3DMG|4AAC|5RCR|69aASPD|7BEXP|8RPLT
113	15142 23611	 * 	176.16	ACR|1BASARM|1ASPD|1CDMG|1AAC	1LIT|2aDUST|3DUR|4RCR|5BASARM|6RPLT|7AAC|8ASPD|9CDMG
114	15142 23612	   	176.16	ACR|1BASARM|1ASPD|1CDMG|1AAC	1LIT|2DUST|3DUR|4RCR|5BASARM|6RPLT|7AAC|8ASPD|9CDMG|aAEFBLL
115	15142 23631	   	176.16	ACR|1BASARM|1ASPD|1BEXP|1AAC	1LIT|2DUST|3DUR|4RCR|5BASARM|6RPLT|7AAC|8ASPD|9TLV|aBEXP
116	15242 23143	   	176.16	ACR|1BASARM|1BASICY|1AART|1AAC	1LIT|2DUST|3LWND|4RCR|5BASARM|6RPLT|7AAC|8AART|9BASICY|aNUKE
117	15242 23261	   	176.16	ACR|1BASARM|1ASPD|1BEXP|1AAC	1LIT|2DUST|3LWND|4RCR|5BASARM|6RPLT|7AAC|8AME|9ASPD|aBEXP
118	15242 23611	   	176.16	ACR|1BASARM|1ASPD|1CDMG|1AAC	1LIT|2aDUST|3LWND|4RCR|5BASARM|6RPLT|7AAC|8ASPD|9CDMG
119	15242 23612	   	176.16	ACR|1BASARM|1ASPD|1CDMG|1AAC	1LIT|2DUST|3LWND|4RCR|5BASARM|6RPLT|7AAC|8ASPD|9CDMG|aAEFBLL
120	15245 31222	   	176.16	ACR|1BASARM|1DMG|1BEXP|1AAC	1LIT|27DUST|3LWND|4RCR|5DMG|6DUR|8AAC|9BEXP|aBASARM
121	16423 31172	   	176.16	ACR|1BASARM|1DMG|1BEXP|1CDMG|1SELL	1LIT|2MBVNT|3AEMAG|4DMG|5RCR|6BEXP|7MDPS|8CDMG|9SELL|aBASARM
122	54111 22142	   	175.86	ACR|1BASARM|1ASPD|1DMG|1VULN|1SELL	1VULN|2RPLT|3SELL|4MULARM|5RCR|6VENFST|7MDPS|8BASARM|9ASPD|aDMG
123	12111 24342	   	175.41	ACR|2DMG|2BEXP|1ASPD|1AAC	12LIT|39DMG|4AAC|5RCR|6ASPD|7RCVC|8aBEXP
124	12111 26531	   	175.41	ACR|2ASPD|2BEXP|1DMG|1AAC	12LIT|3DMG|4AAC|5RCR|68ASPD|7aBEXP|9ZMB
125	12111 26561	   	175.41	ACR|2ASPD|2BEXP|1DMG|1AAC	12LIT|3DMG|4AAC|5RCR|68ASPD|7aBEXP|9RMIN
126	13111 24342	   	175.41	ACR|2DMG|2BEXP|1ASPD|1AAC	12LIT|2BPWR|39DMG|4AAC|5RCR|6ASPD|7RCVC|8aBEXP
127	13111 26531	   	175.41	ACR|2ASPD|2BEXP|1DMG|1AAC	12LIT|2BPWR|3DMG|4AAC|5RCR|68ASPD|7aBEXP|9ZMB
128	13111 26561	   	175.41	ACR|2ASPD|2BEXP|1DMG|1AAC	12LIT|2BPWR|3DMG|4AAC|5RCR|68ASPD|7aBEXP|9RMIN
129	14111 24342	   	175.41	ACR|2DMG|2BEXP|1ASPD|1AAC	1LIT|2DMSP|39DMG|4AAC|5RCR|6ASPD|7RCVC|8aBEXP
130	14111 26531	   	175.41	ACR|2ASPD|2BEXP|1DMG|1AAC	1LIT|2DMSP|3DMG|4AAC|5RCR|68ASPD|7aBEXP|9ZMB
131	21333 52256	 * 	175.39	1BASARM|2ASPD|2DMG|2BEXP|1AART|1AAC	17DUR|2AAC|3AART|4CGEN|57DMG|67ASPD|7BPWR|8BASARM|9aBEXP
132	12111 26552	   	175.31	ACR|2ASPD|2BEXP|1DMG|1AAC	12LIT|3DMG|4AAC|5RCR|68ASPD|7aBEXP|9TLV
133	13111 26552	   	175.31	ACR|2ASPD|2BEXP|1DMG|1AAC	12LIT|2BPWR|3DMG|4AAC|5RCR|68ASPD|7aBEXP|9TLV
134	24111 23414	   	175.07	ACR|1BASARM|2AART|1DMG|1SELL	1DUR|2RPLT|3SELL|4SNIHEL|5RCR|6DUST|7DMG|89AART|aBASARM
