0	Index      	 *	Score 	Summary	Detail	
1	26451 22134	 * 	220.25	ACR|1BASARM|2ASPD|2BEXP|1DMG	1ERES|28BEXP|3BASARM|4RCR|5MBVNT|6AAC|7DMG|9aASPD
31	26453 12331	   	202.88	ACR|1BASARM|1VULN|1ASPD|2CDMG|1BEXP	1ERES|2BEXP|3BASARM|4RCR|5aCDMG|6DUR|7VULN|8LWND|9ASPD
32	26451 13331	   	202.78	ACR|1BASARM|1VULN|2CDMG|1ASPD|1BEXP	1ERES|2BEXP|3BASARM|4RCR|5MBVNT|6VULN|7aCDMG|8LWND|9ASPD
33	26453 32322	 * 	202.78	ACR|1BASARM|1VULN|1DMG|2CDMG|1BEXP	1ERES|2BEXP|3BASARM|4RCR|5aCDMG|6RPLT|7DMG|8VULN|9LSRREG
34	26451 22131	   	202.66	ACR|1BASARM|2BEXP|1ASPD|1DMG	1ERES|28BEXP|3BASARM|4RCR|5MBVNT|6AAC|7DMG|9ASPD|aFEWX
35	26451 22132	   	202.66	ACR|1BASARM|2BEXP|1ASPD|1DMG	1ERES|28BEXP|3BASARM|4RCR|5MBVNT|6AAC|7DMG|9ASPD|aLIT
36	26451 22133	   	202.66	ACR|1BASARM|2BEXP|1ASPD|1DMG	1ERES|28BEXP|3BASARM|4RCR|5MBVNT|6AAC|7DMG|9ASPD|aLHND
37	26451 22144	   	202.56	ACR|1BASARM|2BEXP|1ASPD|1DMG	19ERES|28BEXP|3BASARM|4RCR|5MBVNT|6AAC|7DMG|aASPD
38	11116 23651	   	202.51	ACR|3ASPD|1BASARM|1DMG	134ASPD|2AAC|4BPWR|5RCR|6RMIN|7ERES|8BASARM|9LWND|aDMG
39	11116 24631	   	202.51	ACR|3ASPD|1BASARM|1DMG	134ASPD|2AAC|4BPWR|5RCR|6RMIN|7CGEN|8BASARM|9DUST|aDMG
40	11126 23651	   	202.51	ACR|3ASPD|1BASARM|1DMG	134ASPD|2AAC|5RCR|6RMIN|7ERES|8BASARM|9LWND|aDMG
41	11126 24631	   	202.51	ACR|3ASPD|1BASARM|1DMG	134ASPD|2AAC|5RCR|6RMIN|7CGEN|8BASARM|9DUST|aDMG
42	11116 23631	   	202.41	ACR|3ASPD|1BASARM|1DMG	134ASPD|2AAC|4BPWR|5RCR|6RMIN|7ERES|8BASARM|9DUST|aDMG
43	11116 26631	   	202.41	ACR|3ASPD|1BASARM|1DMG	134ASPD|2AAC|4BPWR|5RCR|6RMIN|7AME|8BASARM|9DUST|aDMG
44	11126 23631	   	202.41	ACR|3ASPD|1BASARM|1DMG	134ASPD|2AAC|5RCR|6RMIN|7ERES|8BASARM|9DUST|aDMG
45	11126 26631	   	202.41	ACR|3ASPD|1BASARM|1DMG	134ASPD|2AAC|5RCR|6RMIN|7AME|8BASARM|9DUST|aDMG
46	11363 44213	 * 	202.33	ACR|3DMG|2ASPD|1VULN|2AAC	17ASPD|2aAAC|37LHND|4RCR|567DMG|7BPWR|8VULN|9CGEN
47	11363 44233	   	202.33	ACR|3DMG|2ASPD|1VULN|2AAC	17ASPD|2aAAC|37LHND|4RCR|567DMG|7BPWR|8VULN|9MLV
48	12461 33214	 * 	202.23	ACR|2BASARM|3ASPD	19aASPD|279LHND|3MLV|4RCR|5DLOT|6AME|89BASARM|9BPWR
49	12561 33214	   	202.13	ACR|2BASARM|3ASPD	19aASPD|279LHND|3ERES|4RCR|5DLOT|6AME|89BASARM|9BPWR
50	33164 12242	 * 	201.80	ACR|3BEXP|1VULN|2AART|1BASICY|1CDMG	19AART|2VULN|3MLV|4RCR|56aBEXP|7CDMG|8BASICY
51	22235 13335	 * 	201.79	ACR|1BASARM|2ASPD|1VULN|1AART	1ERES|2LHND|3BELT|4RCR|5BASARM|6AART|7LWND|8VULN|9aASPD
52	12462 42113	   	201.77	ACR|1BASARM|1ASPD|1DMG|1VULN|1BEXP	1ASPD|2LHND|3MLV|4RCR|5LWND|6BASARM|7DMG|8BEXP|9RMIN|aVULN
53	26453 32211	   	201.67	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1ERES|2BEXP|3BASARM|4RCR|5CDMG|6RPLT|7DMG|8LWND|9RMIN|aASPD
54	12462 42123	   	201.67	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1ASPD|2LHND|3MLV|4RCR|5LWND|6BASARM|7DMG|8BEXP|9AIRHEL|aCDMG
55	12562 42113	   	201.67	ACR|1BASARM|1ASPD|1DMG|1VULN|1BEXP	1ASPD|2LHND|3ERES|4RCR|5LWND|6BASARM|7DMG|8BEXP|9RMIN|aVULN
56	33531 34522	 * 	201.66	ACR|3VULN|2BEXP|2AART|1DMG	17AART|238VULN|48LHND|5RCR|68BEXP|8BPWR|9DUST|aDMG
57	25451 11432	   	201.59	ACR|1BASARM|2ASPD|1VULN|1AART	1ERES|2LWND|3BASARM|4RCR|5MBVNT|6VULN|7DUST|8AART|9aASPD
58	26451 33333	   	201.57	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1ERES|2BEXP|3BASARM|4RCR|5MBVNT|6FEWX|7CDMG|8LWND|9ASPD|aDMG
59	12562 42123	   	201.57	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1ASPD|2LHND|3ERES|4RCR|5LWND|6BASARM|7DMG|8BEXP|9AIRHEL|aCDMG
60	26451 22311	   	201.47	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1ERES|2BEXP|3BASARM|4RCR|5MBVNT|6AAC|7DMG|8VULN|9RMIN|aASPD
61	11116 22334	 * 	201.06	ACR|3ASPD|3DMG|1BEXP	134ASPD|2AAC|4BPWR|5RCR|6RMIN|789DMG|aBEXP
62	11126 22334	   	201.06	ACR|3ASPD|3DMG|1BEXP	134ASPD|2AAC|5RCR|6RMIN|789DMG|aBEXP
63	33531 52235	 * 	201.01	ACR|3VULN|2BASICY|1ASPD|1AART|1CDMG	1AART|239VULN|49LHND|5RCR|6CGEN|7CDMG|89BASICY|9BPWR|aASPD
64	33531 63235	   	200.91	ACR|3VULN|2BASICY|1ASPD|1AART|1CDMG	1AART|239VULN|49LHND|5RCR|6TLV|7CDMG|89BASICY|9BPWR|aASPD
65	15232 21223	   	200.48	ACR|1BASARM|2ASPD|2BEXP	19ASPD|2LWND|3BELT|4RCR|5MLV|6aBEXP|7RPLT|8BASARM
66	26451 34422	 * 	200.28	ACR|1BASARM|2DMG|2BEXP	1aERES|2aBEXP|3BASARM|4RCR|5MBVNT|6FEWX|7RMIN|8MDPS|9aDMG|aBPWR
67	26451 21134	   	200.18	ACR|1BASARM|2ASPD|2BEXP	1ERES|28BEXP|3BASARM|4RCR|5MBVNT|6AAC|7ZMB|9aASPD
68	26451 23422	   	200.18	ACR|1BASARM|2DMG|2BEXP	1aERES|2aBEXP|3BASARM|4RCR|5MBVNT|6AAC|7LHND|8MDPS|9aDMG|aBPWR
69	22235 63214	 * 	200.13	ACR|2BASARM|2DMG|1VULN	1aERES|2LHND|3BELT|4RCR|5aBASARM|6RPLT|7VULN|8FLTARM|9aDMG|aBPWR
70	33162 11533	 * 	199.99	ACR|2VULN|2AART|1ASPD|1DMG|1BEXP	18AART|29VULN|3MLV|4RCR|5LWND|6BEXP|7DMG|aASPD
71	33162 16532	   	199.99	ACR|2VULN|2AART|1ASPD|1DMG|1BEXP	18AART|29VULN|3MLV|4RCR|5LWND|6BEXP|7ASPD|aDMG
72	32614 22512	   	199.99	ACR|1BASARM|1VULN|2BEXP|1AART|1CDMG	1AART|29BEXP|3FLTFST|4VULN|5RCR|68LHND|7BASARM|aCDMG
73	33462 11533	   	199.89	ACR|2VULN|2AART|1ASPD|1DMG|1BEXP	18AART|29VULN|3TLV|4RCR|5LWND|6BEXP|7DMG|aASPD
74	32614 52242	   	199.89	ACR|1BASARM|1VULN|2BEXP|1AART|1CDMG	1AART|28BEXP|3FLTFST|4VULN|5RCR|6MBVNT|7BASARM|9DMSP|aCDMG
75	32614 22352	   	199.87	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP|1AAC	1AART|2BEXP|3FLTFST|4VULN|5RCR|6LHND|7BASARM|8FEWX|9AAC|aASPD
76	32165 12143	   	199.35	ACR|2BEXP|1VULN|1ASPD|1DMG|1CDMG|1AART	1AART|26BEXP|3MLV|4RCR|5DUR|7CDMG|8VULN|9DMG|aASPD
77	33162 11643	 * 	199.00	ACR|2VULN|2BEXP|1ASPD|1DMG|1AART	1AART|28VULN|3MLV|4RCR|5LWND|69BEXP|7DMG|aASPD
78	26451 11242	   	198.99	ACR|1BASARM|2ASPD|1VULN|1BEXP	1ERES|2BEXP|3BASARM|4RCR|5MBVNT|6VULN|7DUST|8CGEN|9aASPD
79	32614 22335	 * 	198.97	ACR|1BASARM|1VULN|2AART|1BEXP|1CDMG	1aAART|2BEXP|3FLTFST|4VULN|5RCR|6LHND|7BASARM|8FEWX|9CDMG
80	26451 22323	   	198.89	ACR|1BASARM|2DMG|1VULN|1BEXP	1ERES|2BEXP|3BASARM|4RCR|5MBVNT|6AAC|7aDMG|8VULN|9LSRREG
81	33165 11622	 * 	198.88	ACR|3DMG|1VULN|2BEXP|1AART	1AART|2VULN|3MLV|4RCR|5DUR|68BEXP|79aDMG
82	33164 12233	   	198.87	ACR|2VULN|2BEXP|2BASICY|1AART|1CDMG	1AART|29VULN|39MLV|4RCR|56BEXP|7CDMG|89BASICY|9BPWR|aLHND
83	33164 12234	   	198.87	ACR|2VULN|2BASICY|2BEXP|1AART|1CDMG	1AART|29VULN|39MLV|4RCR|56BEXP|7CDMG|89BASICY|9BPWR|aDMSP
84	33164 12236	   	198.87	ACR|2VULN|2BASICY|2BEXP|1AART|1CDMG	1AART|29VULN|39MLV|4RCR|56BEXP|7CDMG|89BASICY|9BPWR|aFEWX
85	33164 12231	   	198.77	ACR|2VULN|2BASICY|2BEXP|1AART|1CDMG	1AART|29VULN|39MLV|4RCR|56BEXP|7CDMG|89BASICY|9BPWR|aTLV
86	33464 13233	   	198.67	ACR|2VULN|2BEXP|2BASICY|1AART|1CDMG	1AART|29VULN|39TLV|4RCR|56BEXP|7CDMG|89BASICY|9BPWR|aZMB
87	33464 13231	   	198.57	ACR|2VULN|2BASICY|2BEXP|1AART|1CDMG	1AART|29VULN|39aTLV|4RCR|56BEXP|7CDMG|89BASICY|9BPWR
88	33165 11613	 * 	198.21	ACR|1VULN|2BEXP|2AART|1ASPD|1DMG	19AART|2VULN|3MLV|4RCR|5DUR|68BEXP|7DMG|aASPD
89	33162 11543	   	198.21	ACR|1VULN|2BEXP|2AART|1ASPD|1DMG	18AART|2VULN|3MLV|4RCR|5LWND|69BEXP|7DMG|aASPD
90	33164 24132	   	198.11	ACR|1VULN|2BEXP|2AART|1ASPD|1DMG	17AART|2VULN|3MLV|4RCR|59BEXP|6ASPD|8DUST|aDMG
91	33164 12211	 * 	198.07	ACR|1VULN|2BEXP|1DMG|1BASICY|1AART|1CDMG	1AART|2VULN|3MLV|4RCR|56BEXP|7CDMG|8BASICY|9LWND|aDMG
92	33164 12212	 * 	198.07	ACR|1VULN|2BEXP|1ASPD|1BASICY|1AART|1CDMG	1AART|2VULN|3MLV|4RCR|56BEXP|7CDMG|8BASICY|9LWND|aASPD
93	33164 12261	   	197.97	ACR|1VULN|2BEXP|1DMG|1BASICY|1AART|1CDMG	1AART|2VULN|3MLV|4RCR|56BEXP|7CDMG|8BASICY|9DUST|aDMG
94	33164 12262	   	197.97	ACR|1VULN|2BEXP|1ASPD|1BASICY|1AART|1CDMG	1AART|2VULN|3MLV|4RCR|56BEXP|7CDMG|8BASICY|9DUST|aASPD
95	33464 13211	   	197.97	ACR|1VULN|2BEXP|1DMG|1BASICY|1AART|1CDMG	1AART|2VULN|3TLV|4RCR|56BEXP|7CDMG|8BASICY|9LWND|aDMG
96	33464 13212	   	197.97	ACR|1VULN|2BEXP|1ASPD|1BASICY|1AART|1CDMG	1AART|2VULN|3TLV|4RCR|56BEXP|7CDMG|8BASICY|9LWND|aASPD
97	22235 12621	   	197.86	ACR|1BASARM|1ASPD|1VULN|1AART|1CDMG	1ERES|2LHND|3BELT|4RCR|5BASARM|6AART|7DUR|8CDMG|9ASPD|aVULN
98	22235 13621	   	197.86	ACR|1BASARM|1ASPD|1VULN|1AART|1CDMG	1ERES|2LHND|3BELT|4RCR|5BASARM|6AART|7LWND|8CDMG|9ASPD|aVULN
99	22235 14621	   	197.86	ACR|1BASARM|1ASPD|1VULN|1AART|1CDMG	1ERES|2LHND|3BELT|4RCR|5BASARM|6AART|7FEWX|8CDMG|9ASPD|aVULN
100	25235 12621	   	197.86	ACR|1BASARM|1ASPD|1VULN|1AART|1CDMG	1ERES|2LWND|3BELT|4RCR|5BASARM|6AART|7DUR|8CDMG|9ASPD|aVULN
101	33162 11362	 * 	197.71	ACR|2VULN|2DMG|2AART|1BEXP	1aAART|29VULN|39MLV|4RCR|5LWND|6BEXP|79DMG|8RPLT|9BPWR
102	33162 16362	 * 	197.71	ACR|2VULN|2ASPD|2AART|1BEXP	1aAART|29VULN|39MLV|4RCR|5LWND|6BEXP|79ASPD|8RPLT|9BPWR
103	32614 22341	 * 	197.58	ACR|1BASARM|2VULN|2BEXP|1AART	1AART|2aBEXP|3FLTFST|4aVULN|5RCR|6LHND|7BASARM|8aFEWX|9MDPS|aBPWR
104	33162 11532	   	197.51	ACR|2VULN|2DMG|2AART|1BEXP	18AART|29VULN|3MLV|4RCR|5LWND|6BEXP|7aDMG
105	33462 11362	   	197.51	ACR|2VULN|2DMG|2AART|1BEXP	1aAART|29VULN|39TLV|4RCR|5LWND|6BEXP|79DMG|8RPLT|9BPWR
106	33462 11532	   	197.41	ACR|2VULN|2DMG|2AART|1BEXP	18AART|29VULN|3TLV|4RCR|5LWND|6BEXP|7aDMG
107	33162 11633	 * 	197.39	ACR|3VULN|1ASPD|1DMG|1AART|1BEXP	1AART|289VULN|3MLV|4RCR|5LWND|6BEXP|7DMG|aASPD
108	33162 16632	   	197.39	ACR|3VULN|1ASPD|1DMG|1AART|1BEXP	1AART|289VULN|3MLV|4RCR|5LWND|6BEXP|7ASPD|aDMG
109	25453 22112	 * 	197.38	ACR|2BASARM|2BEXP|1DMG	1aERES|2LWND|3aBASARM|4RCR|5RMIN|6DUR|7DMG|8aBEXP|9MDPS|aBPWR
110	11116 23626	 * 	197.30	ACR|3ASPD|1BASARM|1VULN	134ASPD|2AAC|4BPWR|5RCR|6RMIN|7ERES|8BASARM|9MDPS|aVULN
111	11126 23626	   	197.30	ACR|3ASPD|1BASARM|1VULN	134ASPD|2AAC|5RCR|6RMIN|7ERES|8BASARM|9MDPS|aVULN
112	33462 11633	   	197.29	ACR|3VULN|1ASPD|1DMG|1AART|1BEXP	1AART|289VULN|3TLV|4RCR|5LWND|6BEXP|7DMG|aASPD
113	26451 14224	   	196.92	ACR|1BASARM|2BEXP|1VULN|1CDMG|1AAC	1ERES|28BEXP|3BASARM|4RCR|5MBVNT|6VULN|7RMIN|9AAC|aCDMG
114	32165 12343	 * 	196.87	ACR|2ASPD|2BEXP|1VULN|1AART|1CDMG	1AART|26BEXP|3MLV|4RCR|5DUR|7CDMG|8aASPD|9VULN
115	26451 13414	   	196.82	ACR|1BASARM|2BEXP|1VULN|1CDMG|1AAC	1ERES|2aBEXP|3BASARM|4RCR|5MBVNT|6VULN|7CDMG|8FLTFST|9AAC
116	26453 32133	   	196.77	ACR|1BASARM|2BEXP|1DMG|1CDMG	1ERES|28BEXP|3BASARM|4RCR|5CDMG|6RPLT|7DMG|9FEWX|aRCVC
117	33162 22254	   	196.66	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP	1AART|2VULN|3MLV|4RCR|5LWND|6RMIN|7BELT|8DMG|9BEXP|aBASARM
118	22235 45123	 * 	196.56	ACR|1BASARM|1VULN|1BASICY|1CDMG|1AART	1ERES|2LHND|3BELT|4RCR|5BASARM|6LIT|7CDMG|8VULN|9BASICY|aAART
119	12231 12554	   	196.56	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP	1ASPD|2LHND|3BELT|4RCR|5ERES|6AART|7RMIN|8VULN|9BEXP|aBASARM
120	33162 11642	 * 	196.52	ACR|2VULN|2DMG|2BEXP|1AART	1AART|28VULN|3MLV|4RCR|5LWND|69BEXP|7aDMG
121	22235 11616	   	196.44	ACR|1BASARM|2BEXP|1DMG|1AART	1ERES|2LHND|3BELT|4RCR|5BASARM|6AART|7RMIN|8aBEXP|9DMG
122	26453 32121	   	196.44	ACR|1BASARM|2BEXP|1DMG|1CDMG	1ERES|28BEXP|3BASARM|4RCR|5CDMG|69RPLT|7DMG|aDUR
123	26453 32122	   	196.44	ACR|1BASARM|2BEXP|1DMG|1CDMG	1ERES|28BEXP|3BASARM|4RCR|5CDMG|69RPLT|7DMG|aCGEN
124	26453 32123	   	196.44	ACR|1BASARM|2BEXP|1DMG|1CDMG	1ERES|28BEXP|3BASARM|4RCR|5CDMG|69RPLT|7DMG|aFEWX
125	26453 32132	   	196.44	ACR|1BASARM|2BEXP|1DMG|1CDMG	1ERES|28BEXP|3BASARM|4RCR|5CDMG|6RPLT|7DMG|9FEWX|aCGEN
126	12462 42221	   	196.43	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AAC	1ASPD|2LHND|3MLV|4RCR|5LWND|6BASARM|7DMG|8CGEN|9AAC|aBEXP
127	12462 42223	   	196.43	ACR|1BASARM|1ASPD|1DMG|1VULN|1AAC	1ASPD|2LHND|3MLV|4RCR|5LWND|6BASARM|7DMG|8CGEN|9AAC|aVULN
128	26451 22313	   	196.36	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP	1ERES|2BEXP|3BASARM|4RCR|5MBVNT|6AAC|7DMG|8VULN|9RMIN|aAART
129	25453 12133	   	196.34	ACR|1BASARM|2BEXP|1DMG|1AART	19ERES|2LWND|3BASARM|4RCR|5RMIN|68BEXP|7DMG|aAART
130	26452 22133	   	196.34	ACR|1BASARM|2BEXP|1DMG|1AART	19ERES|28BEXP|3BASARM|4RCR|5LWND|6ZMB|7DMG|aAART
131	26453 33211	   	196.34	ACR|1BASARM|2BEXP|1ASPD|1CDMG	1ERES|28BEXP|3BASARM|4RCR|5CDMG|6RPLT|7LHND|9DUST|aASPD
132	26453 33213	   	196.34	ACR|1BASARM|2BEXP|1DMG|1CDMG	1ERES|28BEXP|3BASARM|4RCR|5CDMG|6RPLT|7LHND|9DUST|aDMG
133	12562 42221	   	196.33	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AAC	1ASPD|2LHND|3ERES|4RCR|5LWND|6BASARM|7DMG|8CGEN|9AAC|aBEXP
134	12562 42223	   	196.33	ACR|1BASARM|1ASPD|1DMG|1VULN|1AAC	1ASPD|2LHND|3ERES|4RCR|5LWND|6BASARM|7DMG|8CGEN|9AAC|aVULN
135	12252 22661	 * 	196.33	ACR|3VULN|2ASPD|1DMG|1CDMG	17ASPD|2LHND|3BELT|47VENFST|5RCR|678VULN|7BPWR|9DMG|aCDMG
136	32614 52214	   	196.20	ACR|1BASARM|3BEXP|1VULN|1AART	1AART|289BEXP|3FLTFST|4VULN|5RCR|6MBVNT|7BASARM|aLIT
137	11116 23653	   	196.10	ACR|3ASPD|1BASARM|1CDMG	134ASPD|2AAC|4BPWR|5RCR|6RMIN|7ERES|8BASARM|9LWND|aCDMG
138	11116 23662	   	196.10	ACR|3ASPD|1BASARM|1AART	134ASPD|2AAC|4BPWR|5RCR|6RMIN|7ERES|8BASARM|9RPLT|aAART
139	11116 24621	   	196.10	ACR|3ASPD|1BASARM|1BEXP	134ASPD|2AAC|4BPWR|5RCR|6RMIN|7CGEN|8BASARM|9MDPS|aBEXP
140	11116 24633	   	196.10	ACR|3ASPD|1BASARM|1CDMG	134ASPD|2AAC|4BPWR|5RCR|6RMIN|7CGEN|8BASARM|9DUST|aCDMG
141	11126 23653	   	196.10	ACR|3ASPD|1BASARM|1CDMG	134ASPD|2AAC|5RCR|6RMIN|7ERES|8BASARM|9LWND|aCDMG
142	11126 23662	   	196.10	ACR|3ASPD|1BASARM|1AART	134ASPD|2AAC|5RCR|6RMIN|7ERES|8BASARM|9RPLT|aAART
143	11126 24621	   	196.10	ACR|3ASPD|1BASARM|1BEXP	134ASPD|2AAC|5RCR|6RMIN|7CGEN|8BASARM|9MDPS|aBEXP
144	11126 24633	   	196.10	ACR|3ASPD|1BASARM|1CDMG	134ASPD|2AAC|5RCR|6RMIN|7CGEN|8BASARM|9DUST|aCDMG
145	32614 52211	   	196.10	ACR|1BASARM|3BEXP|1VULN|1AART	1AART|289BEXP|3FLTFST|4VULN|5RCR|6MBVNT|7BASARM|aTLV
146	32614 52212	   	196.10	ACR|1BASARM|3BEXP|1VULN|1AART	1AART|289BEXP|3FLTFST|4VULN|5RCR|6MBVNT|7BASARM|aAIRHEL
147	11116 23621	   	196.00	ACR|3ASPD|1BASARM|1BEXP	134ASPD|2AAC|4BPWR|5RCR|6RMIN|7ERES|8BASARM|9MDPS|aBEXP
148	11116 23633	   	196.00	ACR|3ASPD|1BASARM|1CDMG	134ASPD|2AAC|4BPWR|5RCR|6RMIN|7ERES|8BASARM|9DUST|aCDMG
149	11116 23642	   	196.00	ACR|3ASPD|1BASARM|1BEXP	134ASPD|2AAC|4BPWR|5RCR|6RMIN|7ERES|8BASARM|9BEXP|aFLTFST
150	11116 26621	   	196.00	ACR|3ASPD|1BASARM|1BEXP	134ASPD|2AAC|4BPWR|5RCR|6RMIN|7AME|8BASARM|9MDPS|aBEXP
151	11116 26633	   	196.00	ACR|3ASPD|1BASARM|1CDMG	134ASPD|2AAC|4BPWR|5RCR|6RMIN|7AME|8BASARM|9DUST|aCDMG
152	11126 23621	   	196.00	ACR|3ASPD|1BASARM|1BEXP	134ASPD|2AAC|5RCR|6RMIN|7ERES|8BASARM|9MDPS|aBEXP
153	11126 23633	   	196.00	ACR|3ASPD|1BASARM|1CDMG	134ASPD|2AAC|5RCR|6RMIN|7ERES|8BASARM|9DUST|aCDMG
154	11126 23642	   	196.00	ACR|3ASPD|1BASARM|1BEXP	134ASPD|2AAC|5RCR|6RMIN|7ERES|8BASARM|9BEXP|aFLTFST
155	11126 26621	   	196.00	ACR|3ASPD|1BASARM|1BEXP	134ASPD|2AAC|5RCR|6RMIN|7AME|8BASARM|9MDPS|aBEXP
