0	Index      	 *	Score 	Summary	Detail	
1	63326 13113	 * 	216.20	ACR|3VULN|2DMG|1ASPD|1CDMG|1AART	136VULN|2CGEN|49DMG|5RCR|7AART|8ASPD|aCDMG
33	63326 13124	   	190.74	ACR|4VULN|1ASPD|1DMG|1AART	1369VULN|2CGEN|4DMG|5RCR|7AART|8ASPD|aTLV
34	16264 12123	 * 	189.93	DCR|2VULN|1BASARM|2BEXP|1ASPD|1AART	15BEXP|2RMIN|3ASPD|46VULN|7AAC|8BASARM|9AART|aRCR
35	62126 13112	   	189.36	ACR|2VULN|2DMG|1ASPD|1AART	16VULN|2aRCVC|3TLV|49DMG|5RCR|7AART|8ASPD
36	62126 13111	   	189.05	ACR|2VULN|2DMG|1ASPD|1AART	16VULN|2RCVC|3TLV|49DMG|5RCR|7AART|8ASPD|aFEWX
37	62126 13115	   	189.05	ACR|2VULN|2DMG|1ASPD|1AART	16VULN|2RCVC|3TLV|49DMG|5RCR|7AART|8ASPD|aDMSP
38	62126 13116	   	189.05	ACR|2VULN|2DMG|1ASPD|1AART	16VULN|2RCVC|3TLV|49DMG|5RCR|7AART|8ASPD|aZMB
39	62126 13114	   	188.95	ACR|2VULN|2DMG|1ASPD|1AART	16VULN|2RCVC|3aTLV|49DMG|5RCR|7AART|8ASPD
40	62126 13142	   	188.95	ACR|2VULN|2DMG|1ASPD|1AART	16VULN|2RCVC|3TLV|4aDMG|5RCR|7AART|8ASPD|9DUST
41	63266 13113	 * 	188.36	ACR|4VULN|2ASPD|1AART	146aVULN|2CGEN|38ASPD|5RCR|7AART|9FEWX
42	63266 13132	   	188.36	ACR|4VULN|2ASPD|1AART	1469VULN|2aCGEN|38ASPD|5RCR|7AART
43	63266 13133	   	188.36	ACR|4VULN|2ASPD|1AART	1469VULN|2CGEN|38ASPD|5RCR|7AART|aLHND
44	63266 13131	   	188.26	ACR|4VULN|2ASPD|1AART	1469VULN|2CGEN|38ASPD|5RCR|7AART|aLEGI
45	62126 12623	 * 	188.05	ACR|4VULN|2DMG|1CDMG	168aVULN|2RCVC|38TLV|48DMG|5RCR|7AAC|8BPWR|9CDMG
