0	Index      	 *	Score 	Summary	Detail	
1	36263 21273	 * 	302.05	DCR|4VULN|3DMG|1TLV|2ASPD	17ASPD|2MBVNT|3RMIN|4678VULN|567DMG|67BPWR|9TLV|aRCR
39	24135 34121	   	280.29	DCR|2VULN|2TLV|2MLV	1BBNT|28TLV|3BELT|48MLV|58VULN|6TBNT|7RCR|8BPWR|9AART|aDUR
40	24111 35121	   	279.53	DCR|DCR|1TLV|1VULN|2DUR|1CDMG	1BBNT|2TLV|3BELT|4CGEN|58DUR|6VULN|79RCR|aCDMG
41	31124 21434	   	278.80	DCR|2VULN|2TLV|1MLV|2DUR|1ASPD|1CDMG	1ASPD|29FEWX|3MLV|48VULN|59TLV|6CDMG|79DUR|9BPWR|aRCR
42	33236 51343	   	277.25	DCR|2VULN|2TLV|1LIT|2CDMG|1ASPD	1ASPD|2CGEN|3aCDMG|4aVULN|5FEWX|6aTLV|7DUR|8LIT|9RCR|aBPWR
43	24324 15332	   	276.72	DCR|DCR|1TLV|1VULN|1DMG	1BBNT|2TLV|3NUKE|4CGEN|5DMG|6VULN|7RPLT|8aRCR|9BELT
44	32434 33136	 * 	275.64	DCR|3VULN|1TLV|1LIT|1RPLT|1ASPD	1ASPD|2AART|3RPLT|459VULN|6LIT|7RCR|8BELT|aTLV
45	24532 31532	   	275.63	DCR|2VULN|2TLV|1LIT|1MLV	1BBNT|29TLV|38VULN|4MLV|5LWND|6RCR|7FEWX|aLIT
46	24536 23214	   	275.53	DCR|2VULN|2TLV|1LIT|1MLV	1BBNT|28TLV|39VULN|4MLV|5LIT|6FEWX|7MBVNT|aRCR
47	24536 23231	   	275.53	DCR|2VULN|2TLV|1LIT|1MLV	1BBNT|28TLV|3aVULN|4MLV|5LIT|6FEWX|7MBVNT|9RCR
48	24536 33214	   	275.43	DCR|2VULN|2TLV|1LIT|1MLV	1BBNT|28TLV|39VULN|4MLV|5LIT|6LEGI|7MBVNT|aRCR
49	24536 33231	   	275.43	DCR|2VULN|2TLV|1LIT|1MLV	1BBNT|28TLV|3aVULN|4MLV|5LIT|6LEGI|7MBVNT|9RCR
50	23323 61346	   	275.29	DCR|2TLV|2LIT|1VULN|1MLV	1BBNT|2TBNT|3FEWX|4MLV|58TLV|6aLIT|7VULN|9RCR
51	23323 61345	   	275.04	DCR|2TLV|1LIT|1VULN|1MLV|1DMG	1BBNT|2TBNT|3FEWX|4MLV|58TLV|6LIT|7VULN|9RCR|aDMG
52	24112 35422	   	274.56	DCR|DCR|2VULN|1TLV	1BBNT|2TLV|3BELT|4CGEN|5LWND|68VULN|79RCR|aDUST
53	36221 45733	 * 	274.02	DCR|2VULN|2DMG|1TLV|2ASPD|1MLV|1CDMG	19ASPD|2MBVNT|3RMIN|4TLV|59VULN|6CDMG|7MLV|89DMG|9BPWR|aRCR
54	32434 33412	 * 	273.71	DCR|2VULN|2LIT|1TLV|1RPLT|1ASPD	1ASPD|2AART|3RPLT|45VULN|69LIT|7RCR|8ERES|aTLV
55	32434 33621	   	273.33	DCR|3VULN|2LIT|3ASPD|1RPLT|2AART	18aASPD|29AART|3RPLT|45aVULN|6aLIT|7RCR|aBPWR
56	36732 24418	 * 	273.27	DCR|2VULN|2TLV|3ASPD|1DMG	13aASPD|2MBVNT|4DMG|5aTLV|6AART|7TBNT|8RCR|9aVULN|aBPWR
