0	Index      	 *	Score 	Summary	Detail	
1	11253 61115	 * 	222.80	紫3伤害1基础对甲3基地爆炸	17磁铁减费278伤害39金币生成489基地爆炸5核6789低血量敌人789序列升级a基础对甲
36	62121 63221	   	194.96	紫1基础对甲1伤害1攻速1基地爆炸	1平台2伤害3掉矿4核5易伤6随机矿7攻速8基地爆炸9低血量敌人a基础对甲
37	52363 33232	 * 	194.82	紫2基地爆炸2暴击1伤害1攻速1技能	1低血量敌人25基地爆炸3核45暴击5序列升级6易伤7技能8攻速9金币生成a伤害
38	42311 31354	   	194.79	紫2伤害2攻速2基地爆炸	1最后敌人2a基地爆炸3核4金币生成5时间6a伤害7额外掉落8等级9a攻速a序列升级
39	52311 31354	   	194.79	紫2伤害2攻速2基地爆炸	1低血量敌人2a基地爆炸3核4金币生成5时间6a伤害7额外掉落8等级9a攻速a序列升级
40	52363 33222	   	194.72	紫2基地爆炸2暴击1伤害1攻速1技能	1低血量敌人25基地爆炸3核45暴击5序列升级6易伤7技能8攻速9掉矿a伤害
41	13563 31263	 * 	194.47	紫1基础对甲1基础对冰1全技能1基地爆炸1技能1卖塔	15磁铁减费2卖塔3核4技能5序列升级6全技能7基地爆炸8基础对冰9防空对直升a基础对甲
42	42311 33331	   	193.65	紫1基础对甲1伤害1基地爆炸1暴击	1最后敌人2基地爆炸3核4金币生成5时间6伤害7暴击8低血量敌人9易伤a基础对甲
43	42311 33451	   	193.65	紫1基础对甲1伤害1基地爆炸1暴击	1最后敌人2基地爆炸3核4金币生成5时间6伤害7暴击8敌人爆炸9易伤a基础对甲
44	52311 33451	   	193.65	紫1基础对甲1伤害1基地爆炸1暴击	1低血量敌人2基地爆炸3核4金币生成5时间6伤害7暴击8敌人爆炸9易伤a基础对甲
45	42315 32141	   	193.55	紫1基础对甲1攻速1基地爆炸1暴击	1最后敌人2基地爆炸3核4金币生成5暴击6加一7易伤8时间9攻速a基础对甲
46	52322 33451	   	193.55	紫1基础对甲1伤害1基地爆炸1暴击	1低血量敌人2基地爆炸3核4最后敌人5等级6伤害7暴击8敌人爆炸9易伤a基础对甲
47	52322 33611	   	193.55	紫1基础对甲1伤害1基地爆炸1暴击	1低血量敌人2基地爆炸3核4最后敌人5等级6伤害7暴击8易伤9敌人爆炸a基础对甲
48	52322 33661	   	193.45	紫1基础对甲1伤害1基地爆炸1暴击	1低血量敌人2基地爆炸3核4最后敌人5等级6伤害7暴击8易伤9挖尘a基础对甲
49	52362 53331	   	193.45	紫1基础对甲1伤害1基地爆炸1暴击	1低血量敌人2基地爆炸3核4暴击5挖青6最后敌人7伤害8技能点9易伤a基础对甲
50	52365 32141	   	193.45	紫1基础对甲1攻速1基地爆炸1暴击	1低血量敌人2基地爆炸3核4暴击5技能点6加一7易伤8时间9攻速a基础对甲
51	42363 33163	   	193.13	紫2基地爆炸2暴击1伤害1攻速1全技能	1最后敌人25基地爆炸3核45暴击5序列升级6双倍秒伤7伤害8全技能9攻速a双倍矿
52	42363 33161	   	193.03	紫2基地爆炸2暴击1伤害1攻速1全技能	1最后敌人25基地爆炸3核45暴击5序列升级6双倍秒伤7伤害8全技能9攻速a挖尘
53	42363 33162	   	193.03	紫2基地爆炸2暴击1伤害1攻速1全技能	1最后敌人25基地爆炸3核45暴击5序列升级6双倍秒伤7伤害8全技能9攻速a掉矿
54	52331 34336	   	193.02	紫1基础对甲1伤害1攻速1基地爆炸	1低血量敌人2基地爆炸3核4策反5时间6伤害7磁铁减费8随机矿9基础对甲a攻速
55	52324 36132	   	192.92	紫1基础对甲1伤害1攻速1基地爆炸	18低血量敌人2基地爆炸3核4最后敌人5狙击对黄6攻速7基础对甲9双倍秒伤a伤害
