0	Index      	 *	Score 	Summary	Detail	
1	12153 23635	 * 	306.43	紫橙3易伤2矿等1伤害	1a低血量敌人2随机技能38a易伤49核5伤害6烈焰减费7a矿等a序列升级
19	63432 11124	   	280.93	橙橙1易伤1等级1伤害	1随机技能2等级3赏金邻近4雷电5易伤6时间7挖尘89核a伤害
20	63532 31224	   	280.93	橙橙1易伤1等级1伤害	1随机技能2等级3易伤4雷电5挖尘69核7赏金塔8时间a伤害
21	12156 23135	   	280.52	紫橙3易伤1矿等1伤害	1a低血量敌人2随机技能35a易伤49核6伤害7矿等8a风暴减费a序列升级
22	12156 23632	   	280.52	紫橙3易伤1矿等1伤害	1低血量敌人2随机技能358易伤49核6伤害7矿等a平台
23	12156 23633	   	280.52	紫橙3易伤1矿等1伤害	1低血量敌人2随机技能358易伤49核6伤害7矿等a敌人爆炸
24	11223 42436	 * 	280.35	橙3矿等1易伤1等级1伤害1攻速	16低血量敌人2易伤3等级4全技能569矿等6序列升级7核8伤害a攻速
25	11252 14265	 * 	279.93	橙橙2易伤1等级	1低血量敌人28易伤3等级4双倍秒伤5时间6加一7a核9激光对愈
26	63531 32116	   	278.86	橙橙2易伤1等级	1随机技能2等级39易伤4雷电5最后敌人6a核7策反8敌人爆炸
27	63432 32123	   	278.86	橙橙2易伤1等级	1随机技能2等级3赏金邻近4雷电5a易伤6最后敌人7敌人爆炸89核
28	63441 32123	   	278.86	橙橙2易伤1等级	1随机技能2等级3赏金邻近4a易伤5雷电6最后敌人7敌人爆炸89核
29	63632 42123	   	278.86	橙橙2易伤1等级	1随机技能2等级3最后敌人4雷电5赏金塔6a易伤7敌人爆炸89核
30	63432 21123	   	278.76	橙橙2易伤1等级	1随机技能2等级3赏金邻近4雷电5a易伤6敌人爆炸7挖尘89核
31	63432 31123	   	278.76	橙橙2易伤1等级	1随机技能2等级3赏金邻近4雷电5a易伤6最后敌人7挖尘89核
32	63441 21123	   	278.76	橙橙2易伤1等级	1随机技能2等级3赏金邻近4a易伤5雷电6敌人爆炸7挖尘89核
33	63441 31123	   	278.76	橙橙2易伤1等级	1随机技能2等级3赏金邻近4a易伤5雷电6最后敌人7挖尘89核
34	63632 41123	   	278.76	橙橙2易伤1等级	1随机技能2等级3最后敌人4雷电5赏金塔6a易伤7挖尘89核
35	63532 33423	   	278.66	橙橙2易伤1等级	1随机技能2等级3a易伤4雷电5挖尘69核7挖青8赏金塔
36	63432 12125	   	277.86	橙橙1易伤1等级1技能	1随机技能2等级3赏金邻近4雷电5易伤6时间7敌人爆炸89核a技能
37	63531 31225	   	277.86	橙橙1易伤1等级1技能	1随机技能2等级3易伤4雷电5最后敌人69核7赏金塔8时间a技能
38	63432 11125	   	277.76	橙橙1易伤1等级1技能	1随机技能2等级3赏金邻近4雷电5易伤6时间7挖尘89核a技能
39	63532 31225	   	277.76	橙橙1易伤1等级1技能	1随机技能2等级3易伤4雷电5挖尘69核7赏金塔8时间a技能
40	62321 42124	   	277.53	橙橙1易伤1矿等1伤害	1随机技能2赏金邻近3矿等4时间5雷电6易伤7敌人爆炸89核a伤害
41	62323 22124	   	277.53	橙橙1易伤1矿等1伤害	1随机技能2赏金邻近3矿等4时间5易伤6雷电7敌人爆炸89核a伤害
42	62332 12124	   	277.53	橙橙1易伤1矿等1伤害	1随机技能2赏金邻近3矿等4雷电5易伤6时间7敌人爆炸89核a伤害
43	62341 12124	   	277.53	橙橙1易伤1矿等1伤害	1随机技能2赏金邻近3矿等4易伤5雷电6时间7敌人爆炸89核a伤害
44	62321 41124	   	277.43	橙橙1易伤1矿等1伤害	1随机技能2赏金邻近3矿等4时间5雷电6易伤7挖尘89核a伤害
45	62323 21124	   	277.43	橙橙1易伤1矿等1伤害	1随机技能2赏金邻近3矿等4时间5易伤6雷电7挖尘89核a伤害
46	62332 11124	   	277.43	橙橙1易伤1矿等1伤害	1随机技能2赏金邻近3矿等4雷电5易伤6时间7挖尘89核a伤害
47	62341 11124	   	277.43	橙橙1易伤1矿等1伤害	1随机技能2赏金邻近3矿等4易伤5雷电6时间7挖尘89核a伤害
