0	Index      	 *	Score 	Summary	Detail	
1	66124 21323	 * 	269.84	DCR|DCR|2DMG|1VULN|1MLV|1DUR	1DUR|2ZMB|3aDMG|4MLV|5RAT|69RCR|7BEXP|8VULN
19	16124 21323	   	256.19	DCR|DCR|2DMG|1VULN|1MLV	1BEXP|2ZMB|3aDMG|4MLV|5RAT|69RCR|7FEWX|8VULN
20	25533 12336	   	256.14	DCR|DCR|3DMG|1VULN	1RMIN|245DMG|3MBVNT|6RCVC|78RCR|9LHND|aVULN
21	25533 12372	   	256.14	DCR|DCR|3DMG|1VULN	1RMIN|245DMG|3MBVNT|6RCVC|78RCR|9VULN|aLWND
22	25533 12374	   	256.14	DCR|DCR|3DMG|1VULN	1RMIN|245DMG|3MBVNT|6RCVC|78RCR|9VULN|aLIT
23	25533 12373	   	256.04	DCR|DCR|3DMG|1VULN	1RMIN|245DMG|3MBVNT|6RCVC|78RCR|9VULN|aSPLJET
24	61256 22331	 * 	252.73	ACR|DCR|2VULN|3DUR|1DMG	129DUR|3VENFST|4DMG|57RCR|6aVULN|8RPLT
25	66124 21321	   	252.25	DCR|DCR|1VULN|1DMG|1MLV|1DUR	1DUR|2ZMB|3DMG|4MLV|5RAT|69RCR|7BEXP|8VULN|aLWND
26	66124 21322	   	252.15	DCR|DCR|1VULN|1DMG|1MLV|1DUR	1DUR|2ZMB|3DMG|4MLV|5RAT|69RCR|7BEXP|8VULN|aFRZFST
27	31545 26323	 * 	250.70	DCR|DCR|1VULN|2MLV|1DMG	1RCVC|27MLV|3MBVNT|4VULN|5RAT|69RCR|8MDPS|aDMG
28	45331 13426	 * 	249.37	ACR|DCR|2DMG|1VULN|1MLV|1DUR|1CDMG	1aRCR|2CDMG|39DMG|4MBVNT|5DUR|6VULN|7MLV|8AETHUN
29	43611 25323	   	248.33	ACR|DCR|2VULN|1TLV|1DMG|1AAC	19RCR|2MDPS|3AAC|45VULN|6ASPD|7RAT|8TLV|aDMG
30	46331 62111	 * 	246.42	ACR|DCR|2VULN|2DMG|1DUR	17RCR|2LSRREG|36DMG|4aVULN|5DUR|8LWND|9FEWX
31	46351 22111	   	246.42	ACR|DCR|2VULN|2DMG|1DUR	17RCR|24LSRREG|34DMG|4BPWR|5DUR|6aVULN|8LWND|9FEWX
32	46332 62131	   	246.42	ACR|DCR|2VULN|2DMG|1DUR	17RCR|2LSRREG|36DMG|4aVULN|5FEWX|8LWND|9DUR
33	46331 62131	   	246.32	ACR|DCR|2VULN|2DMG|1DUR	17RCR|2LSRREG|36DMG|4aVULN|5DUR|8LWND|9DUST
34	46351 22131	   	246.32	ACR|DCR|2VULN|2DMG|1DUR	17RCR|24LSRREG|34DMG|4BPWR|5DUR|6aVULN|8LWND|9DUST
35	46331 62321	 * 	246.32	ACR|DCR|2DMG|1VULN|2DUR|1CDMG	17RCR|2LSRREG|36DMG|4VULN|5aDUR|8RPLT|9CDMG
36	46351 22321	   	246.32	ACR|DCR|2DMG|1VULN|2DUR|1CDMG	17RCR|24LSRREG|34DMG|4BPWR|5aDUR|6VULN|8RPLT|9CDMG
37	31513 36426	   	245.92	DCR|DCR|1TLV|1DMG|1MLV|1DUR|1SELL	1RCVC|2MLV|3MBVNT|4DUR|5SELL|6aRCR|7BBNT|8DMG|9TLV
38	31545 22326	   	244.44	DCR|DCR|1VULN|1TLV|1MLV	1RCVC|2MLV|3MBVNT|4VULN|5RAT|69RCR|7AEWIND|8MDPS|aTLV
39	31545 24326	   	244.44	DCR|DCR|1VULN|1TLV|1MLV	1RCVC|2MLV|3MBVNT|4VULN|5RAT|69RCR|7AEPOI|8MDPS|aTLV
40	45334 13126	   	244.44	ACR|DCR|2VULN|1DMG|1MLV|1CDMG	1aRCR|2CDMG|3DMG|4MBVNT|5BEXP|68VULN|7MLV|9LHND
41	45334 13136	   	244.44	ACR|DCR|2VULN|1DMG|1MLV|1CDMG	1aRCR|2CDMG|3DMG|4MBVNT|5BEXP|68VULN|7MLV|9FEWX
42	45334 13116	   	244.34	ACR|DCR|2VULN|1DMG|1MLV|1CDMG	1aRCR|2CDMG|3DMG|4MBVNT|5BEXP|68VULN|7MLV|9DUST
43	45334 13436	   	244.34	ACR|DCR|2VULN|1DMG|1MLV|1CDMG	1aRCR|2CDMG|3DMG|4MBVNT|5BEXP|69VULN|7MLV|8AETHUN
44	31545 26324	   	244.28	DCR|DCR|1VULN|2MLV|1DUR	1RCVC|27MLV|3MBVNT|4VULN|5RAT|69RCR|8MDPS|aDUR
45	61256 22213	 * 	244.02	ACR|DCR|3DUR|2DMG|1VULN	12aDUR|3VENFST|49DMG|57RCR|6VULN|8TBNT
46	26111 51611	   	242.59	DCR|DCR|2VULN|1AART	1RMIN|2AEFBLL|3RCVC|45VULN|6BBNT|7LWND|8aRCR|9AART
47	26111 53611	   	242.59	DCR|DCR|2VULN|1AART	1RMIN|2AEFBLL|3RCVC|45VULN|6BBNT|7LHND|8aRCR|9AART
48	35221 31611	   	242.59	DCR|DCR|2VULN|1AART	1RCVC|2AEFRZ|35VULN|4CGEN|6BBNT|7LWND|8aRCR|9AART
49	35221 34611	   	242.59	DCR|DCR|2VULN|1AART	1RCVC|2AEFRZ|35VULN|4CGEN|6BBNT|7LHND|8aRCR|9AART
50	55111 31611	   	242.59	DCR|DCR|2VULN|1AART	1CGEN|2AEFRZ|3RCVC|45VULN|6BBNT|7LWND|8aRCR|9AART
51	51132 46221	 * 	242.59	DCR|DCR|1VULN|2DUR|1AART	1CGEN|2AART|3ZMB|45DUR|6RMIN|7aRCR|8AIRHEA|9VULN
52	26311 51611	   	242.49	DCR|DCR|2VULN|1AART	1RMIN|2AEFBLL|3AEPOI|45VULN|6BBNT|7LWND|8aRCR|9AART
53	26311 53611	   	242.49	DCR|DCR|2VULN|1AART	1RMIN|2AEFBLL|3AEPOI|45VULN|6BBNT|7LHND|8aRCR|9AART
54	55311 31611	   	242.49	DCR|DCR|2VULN|1AART	1CGEN|2AEFRZ|3AEPOI|45VULN|6BBNT|7LWND|8aRCR|9AART
55	35225 35311	   	242.49	DCR|DCR|1VULN|1TLV|1AART	1RCVC|2AEFRZ|3VULN|4CGEN|5TLV|6aRCR|7AME|8BBNT|9AART
56	46331 22152	   	242.48	ACR|DCR|2VULN|1DMG|1DUR|1AAC	17RCR|2LSRREG|3DMG|49VULN|5DUR|6DMSP|8LWND|aAAC
57	61226 22152	   	241.81	ACR|DCR|2VULN|2DUR|1AAC	12DUR|3VENFST|4ASPD|57RCR|69VULN|8LWND|aAAC
58	31548 11244	 * 	241.56	DCR|3VULN|1TLV|1DMG|1MLV|1DUR	1RCVC|2MLV|3MBVNT|49aVULN|5TLV|6DUR|7RCR|8DMG
59	46311 12151	   	241.29	ACR|DCR|2VULN|1TLV|1DMG	17RCR|2LSRREG|3DMG|4TLV|5BEXP|6AME|8LWND|9aVULN
60	61256 22111	   	241.29	ACR|DCR|2VULN|2DUR|1DMG	12DUR|3VENFST|4DMG|57RCR|6aVULN|8LWND|9FEWX
61	46311 12251	   	241.19	ACR|DCR|2VULN|1TLV|1DMG	17RCR|2LSRREG|3DMG|4TLV|5BEXP|6AME|8BBNT|9aVULN
62	46313 12151	   	241.19	ACR|DCR|2VULN|1TLV|1DMG	17RCR|2LSRREG|3DMG|4TLV|5DUST|6AME|8LWND|9aVULN
63	61256 22131	   	241.19	ACR|DCR|2VULN|2DUR|1DMG	12DUR|3VENFST|4DMG|57RCR|6aVULN|8LWND|9DUST
64	46331 22253	   	241.19	ACR|DCR|2VULN|2DUR|1DMG	17RCR|2LSRREG|3DMG|49VULN|5aDUR|6DMSP|8TBNT
65	46313 12251	   	241.09	ACR|DCR|2VULN|1TLV|1DMG	17RCR|2LSRREG|3DMG|4TLV|5DUST|6AME|8BBNT|9aVULN
66	16123 34225	   	240.75	DCR|DCR|1DMG|1MLV|1DUR|1CDMG	1BEXP|2ZMB|3DMG|4MLV|5CDMG|6aRCR|7DUR|8ASPD|9LHND
67	16123 34235	   	240.75	DCR|DCR|1DMG|1MLV|1DUR|1CDMG	1BEXP|2ZMB|3DMG|4MLV|5CDMG|6aRCR|7DUR|8ASPD|9FEWX
68	16123 34215	   	240.65	DCR|DCR|1DMG|1MLV|1DUR|1CDMG	1BEXP|2ZMB|3DMG|4MLV|5CDMG|6aRCR|7DUR|8ASPD|9DUST
69	66123 32225	   	240.65	DCR|DCR|1DMG|1MLV|1DUR|1CDMG	1DUR|2ZMB|3DMG|4MLV|5CDMG|6aRCR|7DUST|8ASPD|9LHND
70	61256 22321	   	240.18	ACR|DCR|3DUR|1VULN|1DMG|1CDMG	12aDUR|3VENFST|4DMG|57RCR|6VULN|8RPLT|9CDMG
