0	Index      	 *	Score 	Summary	Detail	
1	23221 24245	 * 	241.66	DCR|3VULN|1TLV|1DMG|1MLV|1DUR	1FEWX|2BOSS|3TLV|4DUR|5DMG|679VULN|8MLV|aRCR
30	33136 31641	 * 	224.85	DCR|DCR|1DMG|1DUR|1CDMG	1AME|2BOSS|3MDPS|4BASARM|5ASPD|6aRCR|7DMG|8DUR|9CDMG
31	33136 32121	   	224.85	DCR|DCR|1DMG|1DUR|1CDMG	1AME|2BOSS|3MDPS|4BASARM|5ASPD|6aRCR|7CDMG|8DUR|9DMG
32	23321 24243	 * 	223.19	DCR|2VULN|2DMG|2MLV|1DUR	1FEWX|2BOSS|38MLV|4DUR|59DMG|67VULN|aRCR
33	63321 24243	   	223.19	DCR|2VULN|2DMG|2MLV|1DUR	1LHND|2BOSS|38MLV|4DUR|59DMG|67VULN|aRCR
34	23221 24143	 * 	221.40	DCR|2VULN|2DMG|1TLV|1DUR	1FEWX|2BOSS|3TLV|4DUR|59DMG|67VULN|8AEBURN|aRCR
35	63221 24143	   	221.40	DCR|2VULN|2DMG|1TLV|1DUR	1LHND|2BOSS|3TLV|4DUR|59DMG|67VULN|8AEBURN|aRCR
36	25611 13421	   	221.39	DCR|3VULN|1TLV|1MLV|1DUR	1FEWX|2MDPS|345VULN|6RCR|7AME|8MLV|9TLV|aDUR
37	25616 21121	   	221.39	DCR|3VULN|1TLV|1MLV|1DUR	1FEWX|2MDPS|348VULN|5AME|6MLV|7RCR|9TLV|aDUR
38	25612 21153	 * 	221.22	ACR|DCR|2VULN|1TLV	1FEWX|2MDPS|34VULN|5aRCR|6MBVNT|7TLV|8LHND|9RPLT
39	25612 21823	   	221.22	ACR|DCR|2VULN|1TLV	1FEWX|2MDPS|34VULN|5aRCR|6MBVNT|7TLV|8RPLT|9LWND
40	25612 21813	   	221.12	ACR|DCR|2VULN|1TLV	1FEWX|2MDPS|34VULN|5aRCR|6MBVNT|7TLV|8RPLT|9DUST
41	22622 12651	 * 	219.94	DCR|DCR|1TLV|1MSLTOX|1NUKE	1FEWX|2NUKE|3LIT|4ASPD|5AIRHEA|6DUST|7MSLTOX|89RCR|aTLV
42	22623 12651	   	219.94	DCR|DCR|1TLV|1MSLTOX|1NUKE	1FEWX|2NUKE|3LIT|4ASPD|5TSLFST|6DUST|7MSLTOX|89RCR|aTLV
43	33621 62162	 * 	219.81	DCR|3VULN|1DMG|2CDMG|1DUR|1AAC	19AME|2BOSS|39aVULN|4DUR|5DMG|69CDMG|7RCR|8AAC|9BPWR
44	23221 22245	   	219.52	DCR|2VULN|1TLV|1DMG|1MLV|1DUR	1FEWX|2BOSS|3TLV|4DUR|5DMG|69VULN|7RCVC|8MLV|aRCR
45	23221 23245	   	219.52	DCR|2VULN|1TLV|1DMG|1MLV|1DUR	17FEWX|2BOSS|3TLV|4DUR|5DMG|69VULN|8MLV|aRCR
46	63221 22245	   	219.52	DCR|2VULN|1TLV|1DMG|1MLV|1DUR	1LHND|2BOSS|3TLV|4DUR|5DMG|69VULN|7RCVC|8MLV|aRCR
47	33621 25223	 * 	218.91	DCR|4VULN|1DMG|1DUR	1AME|2BOSS|3679VULN|4DUR|5DMG|8BEXP|aRCR
48	25611 13533	   	218.24	DCR|3VULN|2DUR|1TLV	1FEWX|2MDPS|345VULN|6RCR|7AME|89DUR|aTLV
49	26132 63353	   	218.24	DCR|DCR|1VULN|1MLV	1FEWX|2MLV|3RPLT|4DMSP|5AEFBLL|6VULN|7aRCR|8MBVNT|9BBNT
50	26132 63373	   	218.24	DCR|DCR|1VULN|1MLV	1FEWX|2MLV|3RPLT|4DMSP|5AEFBLL|6VULN|7aRCR|8MBVNT|9TBNT
51	26133 63353	   	218.24	DCR|DCR|1VULN|1MLV	1FEWX|2MLV|3RPLT|4DMSP|5AEPOI|6VULN|7aRCR|8MBVNT|9BBNT
52	26133 63373	   	218.24	DCR|DCR|1VULN|1MLV	1FEWX|2MLV|3RPLT|4DMSP|5AEPOI|6VULN|7aRCR|8MBVNT|9TBNT
53	43313 12641	   	217.91	DCR|DCR|1DMG|1AART|1CDMG	1BBNT|2TBNT|3DMG|4CDMG|5RCVC|6AART|7LIT|8aRCR|9VENICY
54	23221 62242	   	217.56	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG	1FEWX|2BOSS|3TLV|4DUR|5DMG|6CDMG|7RCR|8LIT|9aVULN
55	63221 62242	   	217.56	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG	1LHND|2BOSS|3TLV|4DUR|5DMG|6CDMG|7RCR|8LIT|9aVULN
56	33621 25243	 * 	217.34	DCR|3VULN|2DMG|1DUR	1AME|2BOSS|367VULN|4DUR|59DMG|8BEXP|aRCR
57	33621 25623	   	217.34	DCR|3VULN|2DMG|1DUR	1AME|2BOSS|367VULN|4DUR|58DMG|9BEXP|aRCR
58	43315 62112	   	217.26	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG	1BBNT|2TBNT|3DMG|4CDMG|5MDPS|6TLV|7aVULN|8RCR|9DUR
59	21123 43621	   	216.49	DCR|DCR|1VULN|1DUR	16FEWX|2RMIN|3RPLT|4LIT|5VULN|7aRCR|8DUR|9LSRREG
60	21123 53621	   	216.49	DCR|DCR|1VULN|1DUR	1FEWX|2RMIN|3RPLT|4LIT|5VULN|6RCVC|7aRCR|8DUR|9LSRREG
61	21123 63621	   	216.39	DCR|DCR|1VULN|1DUR	1FEWX|2RMIN|3RPLT|4LIT|5VULN|6AEPOI|7aRCR|8DUR|9LSRREG
62	55131 35321	   	216.19	DCR|DCR|1VULN|1DUR	1SNITOX|2RAT|3BBNT|4DUR|5DUST|69RCR|7CGEN|8TBNT|aVULN
63	25611 31133	 * 	215.74	DCR|5VULN|1DUR	1FEWX|2MDPS|3458aVULN|6BEXP|7RCR|9DUR
64	25611 61133	   	215.74	DCR|5VULN|1DUR	1FEWX|2MDPS|3458aVULN|6LHND|7RCR|9DUR
65	25611 15133	   	215.64	DCR|5VULN|1DUR	1FEWX|2MDPS|3458aVULN|6RCR|7DUST|9DUR
66	23321 24323	   	215.45	DCR|3VULN|1DMG|1MLV|1DUR	18FEWX|2BOSS|3MLV|4DUR|5DMG|679VULN|aRCR
67	23321 24123	   	215.35	DCR|3VULN|1DMG|1MLV|1DUR	1FEWX|2BOSS|3MLV|4DUR|5DMG|679VULN|8AEBURN|aRCR
68	63321 24123	   	215.35	DCR|3VULN|1DMG|1MLV|1DUR	1LHND|2BOSS|3MLV|4DUR|5DMG|679VULN|8AEBURN|aRCR
69	43311 31441	 * 	215.30	DCR|3DMG|2TLV|2DUR|1CDMG	1BBNT|2TBNT|36aDMG|4CDMG|5aTLV|7aDUR|8BELT|9RCR|aBPWR
70	33221 24245	   	215.25	DCR|3VULN|1DMG|1MLV|1DUR	1AME|2BOSS|3DUST|4DUR|5DMG|679VULN|8MLV|aRCR
71	33621 22257	   	215.25	DCR|3VULN|1DMG|1MLV|1DUR	1AME|2BOSS|369VULN|4DUR|5DMG|7MBVNT|8MLV|aRCR
72	23323 24223	   	214.62	DCR|3VULN|2MLV|1DUR	1FEWX|2BOSS|38MLV|4DUR|5ASPD|679VULN|aRCR
73	63323 24223	   	214.62	DCR|3VULN|2MLV|1DUR	1LHND|2BOSS|38MLV|4DUR|5ASPD|679VULN|aRCR
74	25611 13433	   	214.35	DCR|4VULN|1MLV|1DUR	1FEWX|2MDPS|345aVULN|6RCR|7AME|8MLV|9DUR
75	25616 21133	   	214.35	DCR|4VULN|1MLV|1DUR	1FEWX|2MDPS|348aVULN|5AME|6MLV|7RCR|9DUR
76	33621 62242	   	213.40	DCR|3VULN|1DMG|1DUR|1CDMG	1AME|2BOSS|39aVULN|4DUR|5DMG|6CDMG|7RCR|8LIT
77	53222 53253	   	212.90	DCR|2VULN|1TLV|1MLV|1AART|1CDMG	1SNITOX|2FRZICY|3AART|48VULN|5MLV|6AIRARM|7TLV|9CDMG|aRCR
78	23223 24123	   	212.83	DCR|3VULN|1TLV|1DUR	1FEWX|2BOSS|3TLV|4DUR|5ASPD|679VULN|8AEBURN|aRCR
79	63223 24123	   	212.83	DCR|3VULN|1TLV|1DUR	1LHND|2BOSS|3TLV|4DUR|5ASPD|679VULN|8AEBURN|aRCR
80	23323 24245	   	212.54	DCR|2VULN|2MLV|1DMG|1DUR	1FEWX|2BOSS|38MLV|4DUR|5ASPD|67VULN|9DMG|aRCR
81	25611 12633	   	212.20	DCR|3VULN|1TLV|1DMG	19FEWX|2MDPS|345VULN|6RCR|7AEFRZ|8DMG|aTLV
82	33621 25123	 * 	212.20	DCR|3VULN|2DUR|1DMG	1AME|2BOSS|367VULN|48DUR|5DMG|9BEXP|aRCR
83	33621 25163	   	212.20	DCR|3VULN|2DUR|1DMG	1AME|2BOSS|367VULN|48DUR|5DMG|9FEWX|aRCR
