0	Index      	 *	Score 	Summary	Detail	
1	12243 32528	 * 	273.64	DCR|3VULN|3DMG|2MLV|1TLV	189DMG|2TLV|3RPLT|49aVULN|5MBVNT|6RCR|79MLV|9BPWR
48	31132 26362	 * 	251.82	ACR|DCR|2VULN|2TLV|1DMG	1AETHUN|2aVULN|36RCR|4LHND|5aZMB|7DMG|8BASICY|9aTLV|aBPWR
49	31131 21342	   	251.62	ACR|DCR|2VULN|2TLV|1DMG	1AETHUN|27VULN|36RCR|4LHND|5DMG|8BBNT|9aTLV
50	31156 21342	   	251.62	ACR|DCR|2VULN|2TLV|1DMG	1AETHUN|27VULN|36RCR|4DMG|5FEWX|8BBNT|9aTLV
51	12243 32521	   	251.50	DCR|2VULN|3DMG|2MLV|1TLV	189DMG|2TLV|3RPLT|49VULN|5MBVNT|6RCR|79MLV|9BPWR|aFEWX
52	12243 32524	   	251.50	DCR|2VULN|3DMG|2MLV|1TLV	189DMG|2TLV|3RPLT|49VULN|5MBVNT|6RCR|79MLV|9BPWR|aCGEN
53	12243 32525	   	251.50	DCR|2VULN|3DMG|2MLV|1TLV	189DMG|2TLV|3RPLT|49VULN|5MBVNT|6RCR|79MLV|9BPWR|aLHND
54	12243 32526	   	251.50	DCR|2VULN|3DMG|2MLV|1TLV	189DMG|2TLV|3RPLT|49VULN|5MBVNT|6RCR|79MLV|9BPWR|aLWND
55	12243 32522	   	251.40	DCR|2VULN|3DMG|2MLV|1TLV|1MSE	189DMG|2TLV|3RPLT|49VULN|5MBVNT|6RCR|79MLV|9BPWR|aMSE
56	12243 32527	   	251.40	DCR|2VULN|3DMG|2MLV|1TLV	189DMG|2TLV|3RPLT|49VULN|5MBVNT|6RCR|79MLV|9BPWR|aAEBURN
57	31131 21562	   	250.97	ACR|DCR|3VULN|1DMG|1DUR	1AETHUN|27aVULN|36RCR|4LHND|5DMG|8DUR|9RCVC
58	31131 21616	   	250.97	ACR|DCR|3VULN|1DMG|1DUR	1AETHUN|279VULN|36RCR|4LHND|5DMG|8BELT|aDUR
59	31131 21254	   	250.87	ACR|DCR|3VULN|1DMG|1DUR	1AETHUN|27aVULN|36RCR|4LHND|5DMG|8DUST|9DUR
60	31131 21532	   	250.87	ACR|DCR|3VULN|1DMG|1DUR	1AETHUN|27aVULN|36RCR|4LHND|5DMG|8DUR|9AEBURN
61	35112 13141	   	249.83	DCR|4VULN|2TLV|2MLV	1AETHUN|2aTLV|3aMLV|4ZMB|5RAT|6RCR|789aVULN|aBPWR
62	36131 22422	   	248.38	ACR|DCR|2DMG|1VULN|1TLV|1MLV	1AETHUN|2LWND|36RCR|4LHND|58DMG|7MLV|9TLV|aVULN
63	36131 22432	   	248.38	ACR|DCR|2DMG|1VULN|1TLV|1MLV	1AETHUN|2LWND|36RCR|4LHND|58DMG|7MLV|9VULN|aTLV
64	36131 26422	   	248.38	ACR|DCR|2DMG|1VULN|1TLV|1MLV	1AETHUN|2LWND|36RCR|4LHND|57DMG|8MLV|9TLV|aVULN
65	36131 26432	   	248.38	ACR|DCR|2DMG|1VULN|1TLV|1MLV	1AETHUN|2LWND|36RCR|4LHND|57DMG|8MLV|9VULN|aTLV
66	31131 26651	   	248.38	ACR|DCR|2DMG|1VULN|1TLV|1MLV	1AETHUN|2VULN|36RCR|4LHND|57DMG|8BELT|9MLV|aTLV
67	12511 42215	   	248.28	ACR|DCR|2DMG|1VULN|1TLV|1MLV	1aDMG|2TLV|39RCR|4SPLARM|5DUST|6MLV|7VULN|8LWND
68	12513 42215	   	248.28	ACR|DCR|2DMG|1VULN|1TLV|1MLV	1aDMG|2TLV|39RCR|4SPLARM|5LEGI|6MLV|7VULN|8LWND
69	33131 22461	   	248.28	ACR|DCR|2DMG|1VULN|2DUR|1MLV	1AETHUN|29DUR|36RCR|4LHND|58DMG|7MLV|aVULN
70	12511 41411	   	248.11	ACR|DCR|2DMG|3MLV|2TLV	18DMG|28TLV|39RCR|4SPLARM|5DUST|678MLV|8BPWR|aLIT
71	12511 41412	   	248.11	ACR|DCR|2DMG|3MLV|2TLV	18DMG|28TLV|39RCR|4SPLARM|5DUST|678MLV|8BPWR|aLWND
72	12511 41413	   	248.01	ACR|DCR|2DMG|3MLV|2TLV	18DMG|28TLV|39RCR|4SPLARM|5DUST|678MLV|8BPWR|aBBNT
73	31131 26562	   	246.42	ACR|DCR|2VULN|2DMG|1DUR	1AETHUN|2aVULN|36RCR|4LHND|57DMG|8DUR|9RCVC
74	31131 26616	   	246.42	ACR|DCR|2VULN|2DMG|1DUR	1AETHUN|29VULN|36RCR|4LHND|57DMG|8BELT|aDUR
75	12512 26115	   	246.42	ACR|DCR|2DMG|1VULN|1TLV|1DUR	1aDMG|2TLV|39RCR|4SPLARM|5DUR|6LWND|7VULN|8CGEN
76	33156 23313	   	246.42	ACR|DCR|2DMG|1VULN|1TLV|1DUR	1AETHUN|2DUR|36RCR|48DMG|5FEWX|7BELT|9VULN|aTLV
77	31131 26512	   	246.42	ACR|DCR|2DMG|1VULN|1TLV|1DUR|1AAC	1AETHUN|2VULN|36RCR|4LHND|57DMG|8DUR|9AAC|aTLV
78	31131 26623	   	246.42	ACR|DCR|2DMG|1VULN|1TLV|1DUR	1AETHUN|2VULN|36RCR|4LHND|57DMG|8BELT|9DUR|aTLV
79	31132 26462	   	246.42	ACR|DCR|2DMG|1VULN|1TLV|1DUR	1AETHUN|2VULN|36RCR|4LHND|5ZMB|78DMG|9DUR|aTLV
80	31131 26254	   	246.32	ACR|DCR|2VULN|2DMG|1DUR	1AETHUN|2aVULN|36RCR|4LHND|57DMG|8DUST|9DUR
81	31131 26532	   	246.32	ACR|DCR|2VULN|2DMG|1DUR	1AETHUN|2aVULN|36RCR|4LHND|57DMG|8DUR|9AEBURN
82	12512 26315	   	246.32	ACR|DCR|2DMG|1VULN|1TLV|1DUR	1aDMG|2TLV|39RCR|4SPLARM|5DUR|6LWND|7VULN|8ERES
83	12513 26115	   	246.32	ACR|DCR|2DMG|1VULN|1TLV|1DUR	1aDMG|2TLV|39RCR|4SPLARM|5LEGI|6DUR|7VULN|8CGEN
84	31131 26522	   	246.32	ACR|DCR|2DMG|1VULN|1TLV|1DUR	1AETHUN|2VULN|36RCR|4LHND|57DMG|8DUR|9AME|aTLV
85	12243 32324	   	246.18	DCR|2VULN|2DMG|2TLV|2MLV	19DMG|28TLV|3RPLT|49VULN|5MBVNT|6RCR|79MLV|9BPWR|aLWND
86	12243 32325	   	246.18	DCR|2VULN|2DMG|2TLV|2MLV	19DMG|28TLV|3RPLT|49VULN|5MBVNT|6RCR|79MLV|9BPWR|aBELT
87	12243 32328	   	246.18	DCR|2VULN|2DMG|2TLV|2MLV	19DMG|28TLV|3RPLT|49VULN|5MBVNT|6RCR|79MLV|9BPWR|aZMB
88	35121 51411	   	246.18	DCR|2VULN|2DMG|2TLV|2MLV	1AETHUN|2aTLV|3aMLV|47VULN|5LIT|6aDMG|8BOSS|9RCR|aBPWR
89	12243 32321	   	246.08	DCR|2VULN|2DMG|2TLV|2MLV|1MSE	19DMG|28TLV|3RPLT|49VULN|5MBVNT|6RCR|79MLV|9BPWR|aMSE
90	12243 32322	   	246.08	DCR|2VULN|2DMG|2TLV|2MLV	19DMG|28TLV|3RPLT|49VULN|5MBVNT|6RCR|79MLV|9BPWR|aTBNT
91	12243 32323	   	246.08	DCR|2VULN|2DMG|2TLV|2MLV	19DMG|28TLV|3RPLT|49VULN|5MBVNT|6RCR|79MLV|9BPWR|aAEBURN
92	12243 32326	   	246.08	DCR|2VULN|2DMG|2TLV|2MLV	19DMG|28TLV|3RPLT|49VULN|5MBVNT|6RCR|79MLV|9BPWR|aDUST
93	12243 32327	   	246.08	DCR|2VULN|2DMG|2TLV|2MLV	19DMG|28TLV|3RPLT|49VULN|5MBVNT|6RCR|79MLV|9BPWR|aSPLREG
94	11562 11142	   	245.54	DCR|3VULN|3DMG|1TLV	18aDMG|28DUST|3AEWIND|4BELT|5TLV|6RCR|789VULN|8BPWR
95	11125 24531	 * 	244.85	DCR|2VULN|2DMG|3MLV|1TLV	18DMG|2DUST|368MLV|48VULN|5TBNT|7RCR|8BPWR|9ZMB|aTLV
96	13323 33342	 * 	244.49	DCR|2VULN|2DMG|2TLV|1FLTARM	18DMG|2ZMB|38TLV|4RAT|5FLTARM|68VULN|7BBNT|8BPWR|9BEXP|aRCR
97	13323 33362	   	244.49	DCR|2VULN|2DMG|2TLV|1FLTARM	18DMG|2ZMB|38TLV|4RAT|5FLTARM|68VULN|7BBNT|8BPWR|9FEWX|aRCR
98	31131 21655	   	244.44	ACR|DCR|2VULN|1DMG|1MLV|1DUR	1AETHUN|27VULN|36RCR|4LHND|5DMG|8BELT|9MLV|aDUR
99	12512 42211	   	244.44	ACR|DCR|1VULN|1TLV|1DMG|1MLV|1DUR	1DMG|2TLV|39RCR|4SPLARM|5DUR|6MLV|7VULN|8LWND|aLIT
100	12512 42216	   	244.44	ACR|DCR|1VULN|1TLV|1DMG|1MLV|1DUR	1DMG|2TLV|39RCR|4SPLARM|5DUR|6MLV|7VULN|8LWND|aRAT
101	12512 42326	   	244.44	ACR|DCR|1VULN|1TLV|1DMG|1MLV|1DUR	1DMG|2TLV|3aRCR|4SPLARM|5DUR|6MLV|7VULN|8RMIN|9FEWX
102	33131 22162	   	244.44	ACR|DCR|1VULN|1TLV|1DMG|1MLV|1DUR	1AETHUN|2DUR|36RCR|4LHND|5DMG|7MLV|8TLV|9RCVC|aVULN
103	33131 22522	   	244.44	ACR|DCR|1VULN|1TLV|1DMG|1MLV|1DUR	1AETHUN|2DUR|36RCR|48LHND|5DMG|7MLV|9TLV|aVULN
104	33131 22532	   	244.44	ACR|DCR|1VULN|1TLV|1DMG|1MLV|1DUR	1AETHUN|2DUR|36RCR|48LHND|5DMG|7MLV|9VULN|aTLV
105	33131 25422	   	244.44	ACR|DCR|1VULN|1TLV|1DMG|1MLV|1DUR	1AETHUN|2DUR|36RCR|47LHND|5DMG|8MLV|9TLV|aVULN
106	33131 25432	   	244.44	ACR|DCR|1VULN|1TLV|1DMG|1MLV|1DUR	1AETHUN|2DUR|36RCR|47LHND|5DMG|8MLV|9VULN|aTLV
107	36131 22154	   	244.44	ACR|DCR|1VULN|1TLV|1DMG|1MLV|1DUR	1AETHUN|2LWND|36RCR|4LHND|5DMG|7MLV|8TLV|9DUR|aVULN
108	31132 26156	   	244.44	ACR|DCR|1VULN|1TLV|1DMG|1MLV|1DUR	1AETHUN|2VULN|36RCR|4LHND|5ZMB|7DMG|8TLV|9DUR|aMLV
109	13323 33352	   	244.39	DCR|2VULN|2DMG|2TLV|1FLTARM	18DMG|2ZMB|38TLV|4RAT|5FLTARM|68VULN|7BBNT|8BPWR|9DUST|aRCR
110	31131 21256	   	244.34	ACR|DCR|2VULN|1DMG|1MLV|1DUR	1AETHUN|27VULN|36RCR|4LHND|5DMG|8DUST|9DUR|aMLV
111	31131 21311	   	244.34	ACR|DCR|2VULN|1DMG|1MLV|1DUR	1AETHUN|27VULN|36RCR|4LHND|5DMG|8BBNT|9DUR|aMLV
112	31156 21311	   	244.34	ACR|DCR|2VULN|1DMG|1MLV|1DUR	1AETHUN|27VULN|36RCR|4DMG|5FEWX|8BBNT|9DUR|aMLV
113	12512 42212	   	244.34	ACR|DCR|1VULN|1TLV|1DMG|1MLV|1DUR	1DMG|2TLV|39RCR|4SPLARM|5DUR|6MLV|7VULN|8LWND|aLSRICY
114	12512 42213	   	244.34	ACR|DCR|1VULN|1TLV|1DMG|1MLV|1DUR	1DMG|2TLV|39RCR|4SPLARM|5DUR|6MLV|7VULN|8LWND|aERES
115	12512 42214	   	244.34	ACR|DCR|1VULN|1TLV|1DMG|1MLV|1DUR	1DMG|2TLV|39RCR|4SPLARM|5DUR|6MLV|7VULN|8LWND|aSPLREG
116	33131 21326	   	244.34	ACR|DCR|1VULN|1TLV|1DMG|1MLV|1DUR	1AETHUN|2DUR|36RCR|4LHND|5DMG|7VULN|8ERES|9TLV|aMLV
117	33131 21553	   	244.34	ACR|DCR|1VULN|1TLV|1DMG|1MLV|1DUR	1AETHUN|2DUR|36RCR|4LHND|5DMG|7VULN|8VENFST|9MLV|aTLV
118	33156 21326	   	244.34	ACR|DCR|1VULN|1TLV|1DMG|1MLV|1DUR	1AETHUN|2DUR|36RCR|4DMG|5FEWX|7VULN|8ERES|9TLV|aMLV
119	33131 22132	   	244.34	ACR|DCR|1VULN|1TLV|1DMG|1MLV|1DUR	1AETHUN|2DUR|36RCR|4LHND|5DMG|7MLV|8TLV|9AEPOI|aVULN
120	31156 21151	   	244.16	ACR|DCR|3VULN|1DMG	1AETHUN|27aVULN|36RCR|4DMG|5FEWX|8AEWIND|9ASPD
