0	Index      	 *	Score 	Summary	Detail	
1	54313 33253	 * 	272.49	DCR|DCR|1VULN|1TLV|1MSLTOX|1AART|1CDMG	1DUST|2AART|3LHND|4CDMG|5TLV|6MSLTOX|7VULN|8aRCR|9BLASTR
21	36513 21337	   	246.27	DCR|DCR|1TLV|1DMG|1MLV|1AART	1LHND|2BELT|3MLV|4TLV|5MBVNT|6BEXP|78RCR|9DMG|aAART
22	36513 21362	   	246.27	DCR|DCR|1TLV|1DMG|1MLV|1CDMG	1LHND|2BELT|3MLV|4TLV|5MBVNT|6BEXP|78RCR|9CDMG|aDMG
23	36513 71334	   	246.27	DCR|DCR|1TLV|1DMG|1MLV|1DUR	1LHND|2BELT|3MLV|4TLV|5MBVNT|6FEWX|78RCR|9DMG|aDUR
24	36544 21334	   	246.27	DCR|DCR|1TLV|1DMG|1MLV|1DUR	1LHND|2BELT|3MLV|4MBVNT|5TLV|6BEXP|78RCR|9DMG|aDUR
25	36511 11533	   	244.74	DCR|DCR|1VULN|1TLV|1MLV|1AAC	1LHND|2BELT|3MLV|4TLV|5AAC|68RCR|7VULN|9LWND|aCGEN
26	36143 41312	   	244.64	DCR|DCR|1VULN|1TLV|1MLV	1LHND|2BELT|3TLV|4MBVNT|5LWND|6MLV|78RCR|9BEXP|aVULN
27	36147 41312	   	244.64	DCR|DCR|1VULN|1TLV|1MLV	1LHND|2BELT|3TLV|4MBVNT|5BEXP|6MLV|78RCR|9FEWX|aVULN
28	36511 11531	   	244.64	DCR|DCR|1VULN|1TLV|1MLV|1AAC	1LHND|2BELT|3MLV|4TLV|5AAC|68RCR|7VULN|9LWND|aAEFRZ
29	36511 11532	   	244.64	DCR|DCR|1VULN|1TLV|1MLV|1AAC	1LHND|2BELT|3MLV|4TLV|5AAC|68RCR|7VULN|9LWND|aAIRHEA
30	36513 21312	   	244.64	DCR|DCR|1VULN|1TLV|1MLV	1LHND|2BELT|3MLV|4TLV|5MBVNT|6BEXP|78RCR|9FEWX|aVULN
31	36513 71312	   	244.64	DCR|DCR|1VULN|1TLV|1MLV	1LHND|2BELT|3MLV|4TLV|5MBVNT|6FEWX|78RCR|9BEXP|aVULN
32	36544 21312	   	244.64	DCR|DCR|1VULN|1TLV|1MLV	1LHND|2BELT|3MLV|4MBVNT|5TLV|6BEXP|78RCR|9FEWX|aVULN
33	36511 11511	   	244.54	DCR|DCR|1VULN|1TLV|1MLV|1AAC	1LHND|2BELT|3MLV|4TLV|5AAC|68RCR|7VULN|9AEWIND|aAEPOI
34	36511 11512	   	244.54	DCR|DCR|1VULN|1TLV|1MLV|1AAC	1LHND|2BELT|3MLV|4TLV|5AAC|68RCR|7VULN|9AEWIND|aDUST
35	36122 11543	   	242.79	DCR|DCR|1VULN|1TLV|1DUR|1AAC	19LHND|2BELT|3TLV|4AAC|5CGEN|68RCR|7VULN|aDUR
36	36122 11563	   	242.79	DCR|DCR|1VULN|1TLV|1DUR|1AAC	1LHND|2BELT|3TLV|4AAC|59CGEN|68RCR|7VULN|aDUR
37	36122 11513	   	242.69	DCR|DCR|1VULN|1TLV|1DUR|1AAC	1LHND|2BELT|3TLV|4AAC|5CGEN|68RCR|7VULN|9AEWIND|aDUR
38	36123 11543	   	242.69	DCR|DCR|1VULN|1TLV|1DUR|1AAC	19LHND|2BELT|3TLV|4AAC|5ERES|68RCR|7VULN|aDUR
39	36234 31363	 * 	242.62	DCR|DCR|1VULN|1DMG|2CDMG|1SELL	1LHND|2BELT|3SELL|4MDPS|5aCDMG|6DMG|78RCR|9VULN
40	36123 11513	   	242.59	DCR|DCR|1VULN|1TLV|1DUR|1AAC	1LHND|2BELT|3TLV|4AAC|5ERES|68RCR|7VULN|9AEWIND|aDUR
41	36123 11553	   	242.59	DCR|DCR|1VULN|1TLV|1DUR|1AAC	1LHND|2BELT|3TLV|4AAC|59ERES|68RCR|7VULN|aDUR
