0	Index      	 *	Score 	Summary	Detail	
1	21323 13546	 * 	244.31	DCR|DCR|1TLV|1DMG|1DUR|1AART	1ZMB|2RPLT|3AART|4TLV|5AEFRZ|6DUR|7DMG|8aRCR|9LHND
30	63143 23343	   	222.70	DCR|DCR|1VULN|1DMG	13ERES|2LWND|4AETHUN|5VULN|6aLIT|79RCR|8DMG
31	53532 23341	   	222.60	DCR|DCR|1VULN|1DMG|1MSE	12DUST|3BEXP|4ERES|5VULN|6LIT|79RCR|8DMG|aMSE
32	53532 23342	   	222.60	DCR|DCR|1VULN|1DMG	12DUST|3BEXP|4ERES|5VULN|6LIT|79RCR|8DMG|aFLTHEA
33	63143 23341	   	222.60	DCR|DCR|1VULN|1DMG|1MSE	13ERES|2LWND|4AETHUN|5VULN|6LIT|79RCR|8DMG|aMSE
34	31316 31436	   	222.15	DCR|DCR|2DMG|1AART	1BELT|2RCVC|3FEWX|4LHND|56DMG|7RAT|8aRCR|9AART
35	31336 31436	   	222.15	DCR|DCR|2DMG|1AART	1BELT|2RCVC|3FEWX|4BEXP|56DMG|7RAT|8aRCR|9AART
36	51321 24323	   	221.85	DCR|DCR|2DMG|1AART	1DUST|2BOSS|3AEPOI|49DMG|5VENICY|6AART|7BEXP|8aRCR
37	16246 32312	 * 	219.32	DCR|2VULN|1TLV|1DMG|1MLV|1DUR	1CGEN|2BBNT|39VULN|4DUR|5MLV|6RCR|7AME|8DMG|aTLV
38	34161 33352	 * 	219.24	DCR|3VULN|1TLV|1DMG	1BELT|2RAT|3ASPD|4TLV|57aVULN|6AEWIND|8RCR|9DMG
39	35525 12322	 * 	218.64	DCR|3VULN|2DUR|1TLV	1BELT|27BEXP|3FEWX|478VULN|5RMIN|67DUR|7BPWR|9TLV|aRCR
40	35225 12322	   	218.54	DCR|3VULN|2DUR|1TLV	1BELT|27BEXP|3DUST|478VULN|5RMIN|67DUR|7BPWR|9TLV|aRCR
41	52325 12322	   	218.44	DCR|3VULN|2DUR|1TLV	17DUST|2BEXP|3BELT|478VULN|5RMIN|67DUR|7BPWR|9TLV|aRCR
42	31633 31434	   	218.34	DCR|DCR|1VULN|1MLV	1BELT|2RCVC|3RPLT|4MBVNT|5MLV|6TBNT|7RMIN|8VULN|9aRCR
43	21333 13546	   	218.01	DCR|DCR|1DMG|1DUR|1AART	1ZMB|2RPLT|3AART|4AEBURN|5ERES|6DUR|7DMG|8aRCR|9LHND
44	21333 13526	   	217.91	DCR|DCR|1DMG|1DUR|1AART	1ZMB|2RPLT|3AART|4AEBURN|5ERES|6DUR|7DMG|8aRCR|9DUST
45	15111 13423	 * 	217.06	ACR|DCR|3VULN	1CGEN|29RCR|3BBNT|4DUST|5MDPS|6LWND|78aVULN
46	65111 13423	   	216.96	ACR|DCR|3VULN	1ERES|29RCR|3BBNT|4DUST|5MDPS|6LWND|78aVULN
47	52211 32521	   	216.39	DCR|DCR|1VULN|1CDMG	1DUST|2BEXP|3VULN|4BOSS|5FEWX|6CDMG|79RCR|8MDPS|aLWND
48	52211 32522	   	216.39	DCR|DCR|1VULN|1CDMG	1DUST|2BEXP|3VULN|4BOSS|5aFEWX|6CDMG|79RCR|8MDPS
49	52211 32523	   	216.39	DCR|DCR|1VULN|1CDMG	1DUST|2BEXP|3VULN|4BOSS|5FEWX|6CDMG|79RCR|8MDPS|aZMB
50	52213 32521	   	216.39	DCR|DCR|1VULN|1CDMG	1DUST|2BEXP|3VULN|4BOSS|5aLWND|6CDMG|79RCR|8MDPS
51	52213 32525	   	216.39	DCR|DCR|1VULN|1CDMG	1DUST|2BEXP|3VULN|4BOSS|5LWND|6CDMG|79RCR|8MDPS|aFEWX
52	52213 32526	   	216.39	DCR|DCR|1VULN|1CDMG	1DUST|2BEXP|3VULN|4BOSS|5LWND|6CDMG|79RCR|8MDPS|aBELT
53	52213 32522	   	216.29	DCR|DCR|1VULN|1CDMG	1aDUST|2BEXP|3VULN|4BOSS|5LWND|6CDMG|79RCR|8MDPS
54	53356 32331	   	216.09	DCR|DCR|1VULN|1AART	126DUST|3SPLARM|4AART|5DLOT|7FEWX|8aRCR|9VULN
55	53356 11331	   	215.99	DCR|DCR|1VULN|1AART	127DUST|3SPLARM|4AART|5DLOT|6AETHUN|8aRCR|9VULN
56	65312 11383	 * 	214.98	ACR|DCR|2VULN|2CDMG	17aERES|29RCR|3aCDMG|4BELT|5aVULN|6MBVNT|8RPLT|aBPWR
57	31533 22336	 * 	214.69	DCR|2VULN|2DMG|1TLV	1BELT|2RCVC|37DMG|46VULN|5TBNT|8ASPD|9TLV|aRCR
