0	Index      	 *	Score 	Summary	Detail	
1	22416 21132	 * 	253.32	DCR|4VULN|2MLV|1DMG|2CDMG	19MLV|2DMG|3MDPS|489aVULN|59CDMG|6RCR|7RPLT|9BPWR
52	63511 53321	   	228.84	DCR|DCR|1VULN|1TLV|1AAC	1ERES|2BEXP|3FEWX|4BBNT|5AAC|6VULN|79RCR|8FLTFST|aTLV
53	63531 53321	   	228.84	DCR|DCR|1VULN|1TLV|1AAC	1ERES|2BEXP|3FEWX|4TBNT|5AAC|6VULN|79RCR|8FLTFST|aTLV
54	25134 33332	 * 	228.51	DCR|3DMG|3MLV|2DUR|1TLV	156MLV|2ZMB|3LHND|456DMG|56BPWR|78DUR|9TLV|aRCR
55	25534 33332	   	228.51	DCR|3DMG|3MLV|2DUR|1TLV	156MLV|2ZMB|3BEXP|456DMG|56BPWR|78DUR|9TLV|aRCR
56	22436 11722	 * 	227.81	DCR|3VULN|1TLV|1DMG|1MLV	1MLV|2DMG|3MDPS|4TLV|5MBVNT|69aVULN|7RMIN|8RCR
57	22436 14732	   	227.81	DCR|3VULN|1TLV|1DMG|1MLV	1MLV|2DMG|3MDPS|4TLV|5MBVNT|69aVULN|7CGEN|8RCR
58	22533 62613	   	226.56	DCR|2VULN|3DMG|1MLV|1DUR	1MLV|248DMG|3BEXP|5aVULN|6BOSS|7RCR|9DUR
59	32416 21132	   	225.23	DCR|4VULN|1DMG|2CDMG	19AME|2DMG|3MDPS|489aVULN|59CDMG|6RCR|7RPLT|9BPWR
60	22413 25521	   	225.20	DCR|2VULN|3DMG|2MLV	15MLV|268DMG|3MDPS|46VULN|6BPWR|7RCVC|9RCR|aFEWX
61	22413 25523	   	225.20	DCR|2VULN|3DMG|2MLV	15MLV|268DMG|3MDPS|46VULN|6BPWR|7RCVC|9RCR|aBOSS
62	22226 64112	   	225.10	DCR|2VULN|3DMG|2MLV	1aMLV|289DMG|3aVENFST|4LWND|5MULARM|6RCR|7aVULN|aBPWR
63	22326 64112	   	225.10	DCR|2VULN|3DMG|2MLV	1aMLV|289DMG|3aFRZFST|4LWND|5MULARM|6RCR|7aVULN|aBPWR
64	22131 24346	   	223.46	DCR|2VULN|2DMG|1TLV|1MLV	1MLV|24DMG|35LHND|6RAT|7aVULN|8RCR|9TLV
65	22533 62132	   	223.46	DCR|2VULN|2DMG|1TLV|1MLV	1MLV|24DMG|3BEXP|58VULN|6BOSS|7RCR|9TLV|aRMIN
66	22533 62134	   	223.46	DCR|2VULN|2DMG|1TLV|1MLV	1MLV|24DMG|3BEXP|58VULN|6BOSS|7RCR|9TLV|aZMB
67	22533 62135	   	223.46	DCR|2VULN|2DMG|1TLV|1MLV	1MLV|24DMG|3BEXP|58VULN|6BOSS|7RCR|9TLV|aLHND
68	22533 62136	   	223.46	DCR|2VULN|2DMG|1TLV|1MLV	1MLV|24DMG|3BEXP|58VULN|6BOSS|7RCR|9TLV|aFEWX
69	22533 62133	   	223.36	DCR|2VULN|2DMG|1TLV|1MLV	1MLV|24DMG|3BEXP|58VULN|6BOSS|7RCR|9TLV|aTBNT
