0	Index      	 *	Score 	Summary	Detail	
1	41323 63353	 * 	280.09	DCR|4VULN|2DMG|2MSLTOX|2DUR	18MSLTOX|24DMG|348aVULN|48BPWR|5DUST|6RAT|78DUR|9RCR
25	41321 23366	   	267.94	DCR|2VULN|2DMG|2MSLTOX|1TLV|1MLV|1DUR	18MSLTOX|24DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|9ERES|aDUR
26	41324 23433	 * 	267.75	DCR|2VULN|3DMG|2MLV|1TLV|1MSLTOX	1MSLTOX|248DMG|34VULN|4BPWR|5RMIN|6aMLV|7RCR|9TLV
27	41321 23413	   	267.65	DCR|2VULN|3DMG|2MLV|1TLV|1MSLTOX	1MSLTOX|248DMG|34VULN|4BPWR|5TLV|6aMLV|7RCR|9ERES
28	41321 23433	   	267.65	DCR|2VULN|3DMG|2MLV|1TLV|1MSLTOX	1MSLTOX|248DMG|34VULN|4BPWR|5TLV|6aMLV|7RCR|9AME
29	41326 33531	   	266.93	DCR|3VULN|2DMG|1TLV|1MSLTOX|1DUR	1MSLTOX|24DMG|348VULN|4BPWR|5CGEN|6DUR|7RCR|9ASPD|aTLV
30	41321 33351	   	266.83	DCR|3VULN|2DMG|1TLV|1MSLTOX|1DUR	1MSLTOX|24DMG|34aVULN|4BPWR|5TLV|6DUR|7RCR|8TSLFST|9ASPD
31	26111 22581	 * 	266.59	DCR|DCR|2VULN|2DMG|1AAC	1BBNT|2aVULN|3AAC|4CGEN|5aDUST|69RCR|7aDMG|8MBVNT|aBPWR
32	31321 23446	 * 	265.21	DCR|2VULN|3DMG|2DUR|1TLV|1MLV	1FRZFST|248DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|9aDUR
33	41126 31274	 * 	265.15	DCR|DCR|1VULN|1TLV|1DMG|1MSLTOX	1MSLTOX|2DMG|3MBVNT|4LSRREG|5BBNT|69RCR|7VULN|8RAT|aTLV
34	41131 31274	   	265.15	DCR|DCR|1VULN|1TLV|1DMG|1MSLTOX	1MSLTOX|2DMG|3MBVNT|4TBNT|5FRZFST|69RCR|7VULN|8RAT|aTLV
35	41132 31274	   	265.15	DCR|DCR|1VULN|1TLV|1DMG|1MSLTOX	1MSLTOX|2DMG|3MBVNT|4TBNT|5CANARM|69RCR|7VULN|8RAT|aTLV
36	41321 33313	   	265.05	DCR|2VULN|2DMG|1TLV|1MSLTOX|1DUR|1AART|1CDMG	1MSLTOX|24DMG|34VULN|4BPWR|5TLV|6DUR|7RCR|8TSLFST|9CDMG|aAART
37	41326 23352	   	263.98	DCR|3VULN|2DMG|2MSLTOX|1MLV|1DUR	18MSLTOX|24DMG|34aVULN|4BPWR|5CGEN|6MLV|7RCR|9DUR
38	41321 63351	   	262.67	DCR|2VULN|2DMG|2TLV|2MSLTOX|1DUR	18MSLTOX|24DMG|34VULN|4BPWR|5aTLV|6AME|7RCR|9DUR
39	41321 23133	   	261.94	DCR|3VULN|2DMG|1TLV|1MSLTOX|1MLV	1MSLTOX|24DMG|34aVULN|4BPWR|5TLV|6MLV|7RCR|89BOSS
40	41321 23615	   	261.94	DCR|3VULN|2DMG|1TLV|1MSLTOX|1MLV	1MSLTOX|24DMG|34aVULN|4BPWR|5TLV|6MLV|7RCR|8RMIN|9LHND
41	41321 23625	   	261.94	DCR|3VULN|2DMG|1TLV|1MSLTOX|1MLV	1MSLTOX|24DMG|34aVULN|4BPWR|5TLV|6MLV|7RCR|8RMIN|9BEXP
42	31321 23311	   	261.84	DCR|3VULN|2DMG|1TLV|1MSLTOX|1MLV	1FRZFST|24DMG|34aVULN|4BPWR|5TLV|6MLV|7RCR|8MSLTOX|9FEWX
43	31321 23341	   	261.84	DCR|3VULN|2DMG|1TLV|1MSLTOX|1MLV	1FRZFST|24DMG|34aVULN|4BPWR|5TLV|6MLV|7RCR|8MSLTOX|9LHND
44	31321 23351	   	261.84	DCR|3VULN|2DMG|1TLV|1MSLTOX|1MLV	1FRZFST|24DMG|34aVULN|4BPWR|5TLV|6MLV|7RCR|8MSLTOX|9LWND
45	41321 22353	   	261.84	DCR|3VULN|2DMG|1TLV|1MSLTOX|1MLV	1MSLTOX|24DMG|34aVULN|4BPWR|5TLV|6MLV|7RAT|8DUST|9RCR
46	41321 23225	   	261.84	DCR|3VULN|2DMG|1TLV|1MSLTOX|1MLV|1AAC	1MSLTOX|24DMG|34aVULN|4BPWR|5TLV|6MLV|7RCR|8LEGI|9AAC
47	41321 23255	   	261.84	DCR|3VULN|2DMG|1TLV|1MSLTOX|1MLV	1MSLTOX|24DMG|34aVULN|4BPWR|5TLV|6MLV|7RCR|8LEGI|9ZMB
48	42313 31351	 * 	261.77	DCR|DCR|1VULN|2MSLTOX|2MLV	18MSLTOX|2LWND|38CGEN|4BOSS|5BBNT|68MLV|79RCR|8BPWR|aVULN
49	43313 31351	   	261.77	DCR|DCR|1VULN|2MSLTOX|2MLV	18MSLTOX|2CGEN|38LWND|4BOSS|5BBNT|68MLV|79RCR|8BPWR|aVULN
50	45313 31351	   	261.77	DCR|DCR|1VULN|2MSLTOX|2MLV	18MSLTOX|2LHND|38CGEN|4BOSS|5BBNT|68MLV|79RCR|8BPWR|aVULN
51	31321 23332	   	261.74	DCR|3VULN|2DMG|1TLV|1MSLTOX|1MLV	1FRZFST|24DMG|34aVULN|4BPWR|5TLV|6MLV|7RCR|8MSLTOX|9DLOT
52	41321 23211	   	261.74	DCR|3VULN|2DMG|1TLV|1MSLTOX|1MLV	1MSLTOX|24DMG|34aVULN|4BPWR|5TLV|6MLV|7RCR|8LEGI|9MULARM
53	41321 23265	   	261.74	DCR|3VULN|2DMG|1TLV|1MSLTOX|1MLV|1NUKE	1MSLTOX|24DMG|34aVULN|4BPWR|5TLV|6MLV|7RCR|8LEGI|9NUKE
54	31321 23464	 * 	261.25	DCR|3VULN|3DMG|1TLV|1MLV	1FRZFST|248DMG|34aVULN|4BPWR|5TLV|6MLV|7RCR|9BELT
55	41323 63352	   	260.92	DCR|3VULN|2DMG|2MSLTOX|2DUR	18MSLTOX|24DMG|348VULN|48BPWR|5DUST|6RAT|78DUR|9RCR|aLHND
56	41323 63351	   	260.82	DCR|3VULN|2DMG|2MSLTOX|2DUR	18MSLTOX|24DMG|348VULN|48BPWR|5DUST|6RAT|78DUR|9RCR|aAEWIND
57	23135 31151	 * 	260.79	DCR|DCR|1VULN|2DUR|1MSLTOX|1MLV	1BBNT|2CGEN|38DUR|4MSLTOX|5LIT|6MLV|79RCR|aVULN
58	11611 32312	   	260.07	ACR|DCR|2VULN|2DMG|1DUR|1AART	19AEPOI|29DMG|3RPLT|4AART|58RCR|6MBVNT|79VULN|9BPWR|aDUR
59	41321 33625	   	259.99	DCR|3VULN|2DMG|1TLV|1MSLTOX|1DUR|1AAC	1MSLTOX|24DMG|34aVULN|4BPWR|5TLV|6DUR|7RCR|8CGEN|9AAC
60	41321 53631	   	259.99	DCR|3VULN|2DMG|1TLV|1MSLTOX|1AAC	1MSLTOX|24DMG|349VULN|4BPWR|5TLV|68RMIN|7RCR|aAAC
61	41321 33323	   	259.89	DCR|3VULN|2DMG|1TLV|1MSLTOX|1DUR	1MSLTOX|24DMG|349VULN|4BPWR|5TLV|6DUR|7RCR|8TSLFST|aLWND
62	41321 33324	   	259.89	DCR|3VULN|2DMG|1TLV|1MSLTOX|1DUR	1MSLTOX|24DMG|349VULN|4BPWR|5TLV|6DUR|7RCR|8TSLFST|aLHND
63	41321 33525	   	259.89	DCR|3VULN|2DMG|1TLV|1MSLTOX|1DUR|1AAC	1MSLTOX|24DMG|34aVULN|4BPWR|5TLV|6DUR|7RCR|8ERES|9AAC
64	41321 33611	   	259.89	DCR|3VULN|2DMG|1TLV|1MSLTOX|1DUR	1MSLTOX|24DMG|34aVULN|4BPWR|5TLV|6DUR|7RCR|8CGEN|9MULARM
65	41326 33532	   	259.89	DCR|4VULN|2DMG|1MSLTOX|1DUR	1MSLTOX|24DMG|348aVULN|4BPWR|5CGEN|6DUR|7RCR|9ASPD
66	41321 33325	   	259.79	DCR|3VULN|2DMG|1TLV|1MSLTOX|1DUR	1MSLTOX|24DMG|349VULN|4BPWR|5TLV|6DUR|7RCR|8TSLFST|aMBVNT
67	41321 33326	   	259.79	DCR|3VULN|2DMG|1TLV|1MSLTOX|1DUR	1MSLTOX|24DMG|349VULN|4BPWR|5TLV|6DUR|7RCR|8TSLFST|aAEFRZ
68	41321 33511	   	259.79	DCR|3VULN|2DMG|1TLV|1MSLTOX|1DUR	1MSLTOX|24DMG|34aVULN|4BPWR|5TLV|6DUR|7RCR|8ERES|9MULARM
69	41321 33312	 * 	257.71	DCR|2VULN|2DMG|1TLV|2CDMG|1MSLTOX|1DUR	1MSLTOX|24DMG|34VULN|4BPWR|5TLV|6DUR|7RCR|8TSLFST|9aCDMG
70	41324 33331	   	257.24	DCR|2VULN|2DMG|2DUR|1TLV|1MSLTOX	1MSLTOX|24DMG|34VULN|4BPWR|5RMIN|68DUR|7RCR|9ASPD|aTLV
71	31321 33321	   	257.19	DCR|3VULN|2DMG|1TLV|1DUR|1AAC	1FRZFST|24DMG|349VULN|4BPWR|5TLV|6DUR|7RCR|8TSLFST|aAAC
72	31321 33322	   	257.19	DCR|3VULN|2DMG|1TLV|1DUR|1AART	1FRZFST|24DMG|349VULN|4BPWR|5TLV|6DUR|7RCR|8TSLFST|aAART
73	41321 23631	   	257.08	DCR|2VULN|2DMG|2TLV|1MSLTOX|1MLV	1MSLTOX|24DMG|34VULN|4BPWR|5aTLV|6MLV|7RCR|8RMIN|9ASPD
74	41321 13642	   	256.67	DCR|3VULN|2DMG|2TLV|1MSLTOX	1MSLTOX|24DMG|34aVULN|4BPWR|59TLV|6BEXP|7RCR|8CGEN
75	41321 13542	   	256.57	DCR|3VULN|2DMG|2TLV|1MSLTOX	1MSLTOX|24DMG|34aVULN|4BPWR|59TLV|6BEXP|7RCR|8ERES
76	41321 23241	 * 	256.50	DCR|2VULN|3TLV|2DMG|1MSLTOX|1MLV	1MSLTOX|24DMG|34VULN|4BPWR|59aTLV|6MLV|7RCR|8LEGI
77	41321 23462	   	255.46	DCR|2VULN|3DMG|1TLV|1MSLTOX|1MLV	1MSLTOX|248DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|9BELT|aBOSS
78	41324 23431	   	255.46	DCR|2VULN|3DMG|1TLV|1MSLTOX|1MLV	1MSLTOX|248DMG|34VULN|4BPWR|5RMIN|6MLV|7RCR|9TLV|aLWND
79	41324 23432	   	255.46	DCR|2VULN|3DMG|1TLV|1MSLTOX|1MLV	1MSLTOX|248DMG|34VULN|4BPWR|5RMIN|6MLV|7RCR|9TLV|aRCVC
80	41321 23234	   	255.36	DCR|2VULN|3DMG|1TLV|1MSLTOX|1MLV	1MSLTOX|24aDMG|34VULN|4BPWR|5TLV|6MLV|7RCR|8LEGI|9BEXP
81	41321 23411	   	255.36	DCR|2VULN|3DMG|1TLV|1MSLTOX|1MLV	1MSLTOX|248DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|9ERES|aLWND
82	41321 23412	   	255.36	DCR|2VULN|3DMG|1TLV|1MSLTOX|1MLV	1MSLTOX|248DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|9ERES|aRCVC
83	41321 23415	   	255.36	DCR|2VULN|3DMG|1TLV|1MSLTOX|1MLV	1MSLTOX|248DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|9ERES|aFEWX
84	41321 23421	   	255.36	DCR|2VULN|3DMG|1TLV|1MSLTOX|1MLV	1MSLTOX|248DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|9TBNT|aZMB
85	41321 23423	   	255.36	DCR|2VULN|3DMG|1TLV|1MSLTOX|1MLV	1MSLTOX|248DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|9TBNT|aBELT
86	41321 23425	   	255.36	DCR|2VULN|3DMG|1TLV|1MSLTOX|1MLV	1MSLTOX|248DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|9TBNT|aCGEN
87	41321 23431	   	255.36	DCR|2VULN|3DMG|1TLV|1MSLTOX|1MLV	1MSLTOX|248DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|9AME|aLWND
88	41321 23432	   	255.36	DCR|2VULN|3DMG|1TLV|1MSLTOX|1MLV	1MSLTOX|248DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|9AME|aRCVC
89	41321 23435	   	255.36	DCR|2VULN|3DMG|1TLV|1MSLTOX|1MLV	1MSLTOX|248DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|9AME|aFEWX
90	41321 23451	   	255.36	DCR|2VULN|3DMG|1TLV|1MSLTOX|1MLV	1MSLTOX|248DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|9LWND|aDUST
91	41321 23452	   	255.36	DCR|2VULN|3DMG|1TLV|1MSLTOX|1MLV	1MSLTOX|248DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|9LWND|aERES
92	41321 23453	   	255.36	DCR|2VULN|3DMG|1TLV|1MSLTOX|1MLV|1MSE	1MSLTOX|248DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|9LWND|aMSE
93	41321 23461	   	255.36	DCR|2VULN|3DMG|1TLV|1MSLTOX|1MLV	1MSLTOX|248DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|9BELT|aCANSTR
94	41321 53413	   	255.36	DCR|2VULN|3DMG|1TLV|1MSLTOX|1MLV	1MSLTOX|248DMG|34VULN|4BPWR|5TLV|6RMIN|7RCR|9ERES|aMLV
95	41321 53433	   	255.36	DCR|2VULN|3DMG|1TLV|1MSLTOX|1MLV	1MSLTOX|248DMG|34VULN|4BPWR|5TLV|6RMIN|7RCR|9AME|aMLV
96	41321 23424	   	255.26	DCR|2VULN|3DMG|1TLV|1MSLTOX|1MLV	1MSLTOX|248DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|9TBNT|aDUST
97	41321 23426	   	255.26	DCR|2VULN|3DMG|1TLV|1MSLTOX|1MLV	1MSLTOX|248DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|9TBNT|aMGNBOS
98	41321 63413	   	255.26	DCR|2VULN|3DMG|1TLV|1MSLTOX|1MLV	1MSLTOX|248DMG|34VULN|4BPWR|5TLV|6AME|7RCR|9ERES|aMLV
99	41323 23211	   	255.11	DCR|2VULN|3DMG|1TLV|1MSLTOX|1MLV|1SELL	1MSLTOX|24aDMG|34VULN|4BPWR|5DUST|6MLV|7RCR|8SELL|9TLV
100	16335 31353	 * 	254.94	DCR|DCR|2VULN|1TLV	18AEPOI|28DUST|3MULHEA|4BBNT|5LIT|68VULN|79RCR|8BPWR|aTLV
101	65213 81224	   	254.80	DCR|DCR|2VULN|1TLV|1SELL	1BEXP|2AME|3MBVNT|4TLV|58VULN|6SELL|7LEGI|9aRCR
102	41321 23322	   	254.39	DCR|2VULN|2DMG|2MSLTOX|1TLV|1MLV	18MSLTOX|24DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|9RMIN|aRPLT
103	41321 23312	   	254.29	DCR|2VULN|2DMG|2MSLTOX|1TLV|1MLV	18MSLTOX|24DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|9AME|aRPLT
104	41321 23324	   	254.29	DCR|2VULN|2DMG|2MSLTOX|1TLV|1MLV	18MSLTOX|24DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|9RMIN|aAEWIND
105	41321 23325	   	254.29	DCR|2VULN|2DMG|2MSLTOX|1TLV|1MLV	18MSLTOX|24DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|9RMIN|aERES
106	41321 23326	   	254.29	DCR|2VULN|2DMG|2MSLTOX|1TLV|1MLV|1SELL	18MSLTOX|24DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|9RMIN|aSELL
107	41321 23362	   	254.29	DCR|2VULN|2DMG|2MSLTOX|1TLV|1MLV	18MSLTOX|24DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|9ERES|aRPLT
108	41321 23314	   	254.19	DCR|2VULN|2DMG|2MSLTOX|1TLV|1MLV	18MSLTOX|24DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|9AME|aAEWIND
109	41321 23315	   	254.19	DCR|2VULN|2DMG|2MSLTOX|1TLV|1MLV	18MSLTOX|24DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|9AME|aERES
110	41321 23316	   	254.19	DCR|2VULN|2DMG|2MSLTOX|1TLV|1MLV|1SELL	18MSLTOX|24DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|9AME|aSELL
111	41321 23331	   	254.19	DCR|2VULN|2DMG|2TLV|2MSLTOX|1MLV|1MSE	18MSLTOX|24DMG|34VULN|4BPWR|5aTLV|6MLV|7RCR|9MSE
112	41321 23332	   	254.19	DCR|2VULN|2DMG|2MSLTOX|1TLV|1MLV|1MSE	18MSLTOX|24DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|9MSE|aBBNT
113	41321 23333	   	254.19	DCR|2VULN|2DMG|2MSLTOX|1TLV|1MLV|1MSE	18MSLTOX|24DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|9MSE|aLIT
114	41321 23334	   	254.19	DCR|2VULN|2DMG|2MSLTOX|1TLV|1MLV|1MSE	18MSLTOX|24DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|9MSE|aRPLT
115	41321 23335	   	254.19	DCR|2VULN|2DMG|2MSLTOX|1TLV|1MLV|1MSE	18MSLTOX|24DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|9MSE|aLWND
116	41321 23336	   	254.19	DCR|2VULN|2DMG|2MSLTOX|1TLV|1MLV|1MSE	18MSLTOX|24DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|9MSE|aFEWX
117	41321 23364	   	254.19	DCR|2VULN|2DMG|2MSLTOX|1TLV|1MLV	18MSLTOX|24DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|9ERES|aAEWIND
118	41321 23365	   	254.19	DCR|2VULN|2DMG|2MSLTOX|1TLV|1MLV	18MSLTOX|24DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|9aERES
119	31321 33642	   	253.97	DCR|3VULN|2DMG|2TLV|1DUR	1FRZFST|24DMG|34aVULN|4BPWR|59TLV|6DUR|7RCR|8CGEN
120	31321 34155	   	253.97	DCR|3VULN|2DMG|2TLV|1DUR	1FRZFST|24DMG|349VULN|4BPWR|57TLV|6DUR|8LIT|aRCR
121	31321 33542	   	253.87	DCR|3VULN|2DMG|2TLV|1DUR	1FRZFST|24DMG|34aVULN|4BPWR|59TLV|6DUR|7RCR|8ERES
122	41321 33634	   	253.51	DCR|2VULN|3DMG|1TLV|1MSLTOX|1DUR	1MSLTOX|24aDMG|34VULN|4BPWR|5TLV|6DUR|7RCR|8CGEN|9BEXP
123	41321 23135	   	253.46	DCR|2VULN|2DMG|1TLV|1MSLTOX|1MLV|1DUR	1MSLTOX|24DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|89BOSS|aDUR
124	41321 23531	   	253.46	DCR|2VULN|2DMG|1TLV|1MSLTOX|1MLV|1AAC	1MSLTOX|24DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|8LIT|9BOSS|aAAC
125	41321 23536	   	253.46	DCR|2VULN|2DMG|1TLV|1MSLTOX|1MLV|1DUR	1MSLTOX|24DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|8LIT|9BOSS|aDUR
126	41321 23541	   	253.46	DCR|2VULN|2DMG|1TLV|1MSLTOX|1MLV|1CDMG	1MSLTOX|24DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|8LIT|9RAT|aCDMG
127	41321 23616	   	253.46	DCR|2VULN|2DMG|1TLV|1MSLTOX|1MLV|1CDMG	1MSLTOX|24DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|8RMIN|9LHND|aCDMG
128	41321 23626	   	253.46	DCR|2VULN|2DMG|1TLV|1MSLTOX|1MLV|1CDMG	1MSLTOX|24DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|8RMIN|9BEXP|aCDMG
129	41321 23651	   	253.46	DCR|2VULN|2DMG|1TLV|1MSLTOX|1MLV|1AART	1MSLTOX|24DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|8RMIN|9RCVC|aAART
130	41321 23653	   	253.46	DCR|2VULN|2DMG|1TLV|1MSLTOX|1MLV|1AAC	1MSLTOX|24DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|8RMIN|9RCVC|aAAC
131	41321 33221	   	253.40	DCR|2VULN|3DMG|1TLV|1MSLTOX|1DUR	1MSLTOX|249DMG|34VULN|4BPWR|5TLV|6DUR|7RCR|8LEGI|aLHND
132	41321 33222	   	253.40	DCR|2VULN|3DMG|1TLV|1MSLTOX|1DUR	1MSLTOX|249DMG|34VULN|4BPWR|5TLV|6DUR|7RCR|8LEGI|aRPLT
133	41321 33225	   	253.40	DCR|2VULN|3DMG|1TLV|1MSLTOX|1DUR	1MSLTOX|249DMG|34VULN|4BPWR|5TLV|6DUR|7RCR|8LEGI|aFEWX
134	41321 33226	   	253.40	DCR|2VULN|3DMG|1TLV|1MSLTOX|1DUR	1MSLTOX|249DMG|34VULN|4BPWR|5TLV|6DUR|7RCR|8LEGI|aRCVC
135	41321 33254	   	253.40	DCR|2VULN|3DMG|1TLV|1MSLTOX|1DUR	1MSLTOX|24aDMG|34VULN|4BPWR|5TLV|6DUR|7RCR|8LEGI|9CGEN
136	41321 33264	   	253.40	DCR|2VULN|3DMG|1TLV|1MSLTOX|1DUR	1MSLTOX|24aDMG|34VULN|4BPWR|5TLV|6DUR|7RCR|8LEGI|9ZMB
137	41321 33343	   	253.40	DCR|2VULN|3DMG|1TLV|1MSLTOX|1DUR	1MSLTOX|24aDMG|34VULN|4BPWR|5TLV|6DUR|7RCR|8TSLFST|9LHND
138	41321 33534	   	253.40	DCR|2VULN|3DMG|1TLV|1MSLTOX|1DUR	1MSLTOX|24aDMG|34VULN|4BPWR|5TLV|6DUR|7RCR|8ERES|9BEXP
139	41321 53422	   	253.40	DCR|2VULN|3DMG|1TLV|1MSLTOX|1DUR	1MSLTOX|248DMG|34VULN|4BPWR|5TLV|6RMIN|7RCR|9TBNT|aDUR
140	11611 32313	   	253.36	ACR|DCR|2VULN|2DMG|1AART	19AEPOI|29DMG|3RPLT|4AART|58RCR|6MBVNT|79VULN|9BPWR|aASPD
141	31321 23361	   	253.36	DCR|2VULN|2DMG|1TLV|1MSLTOX|1MLV|1AAC	1FRZFST|24DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|8MSLTOX|9RMIN|aAAC
142	31321 23362	   	253.36	DCR|2VULN|2DMG|1TLV|1MSLTOX|1MLV|1AART	1FRZFST|24DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|8MSLTOX|9RMIN|aAART
143	41321 22354	   	253.36	DCR|2VULN|2DMG|1TLV|1MSLTOX|1MLV|1AART	1MSLTOX|24DMG|34VULN|4BPWR|5TLV|6MLV|7RAT|8DUST|9RCR|aAART
