0	Index      	 *	Score 	Summary	Detail	
1	23343 43421	 * 	269.69	DCR|DCR|2VULN|2CDMG|1DUR	1RCVC|2ASPD|3LWND|4DUR|56VULN|79RCR|8aCDMG
16	23221 41523	   	252.68	DCR|DCR|1VULN|1MLV|1DUR|1CDMG	1RCVC|2ASPD|3CDMG|4VULN|5MLV|6DUR|79RCR|8RMIN|aAME
17	23221 41524	   	252.68	DCR|DCR|1VULN|1MLV|1DUR|1CDMG	1RCVC|2ASPD|3CDMG|4VULN|5MLV|6DUR|79RCR|8RMIN|aDUST
18	23221 41526	   	252.68	DCR|DCR|1VULN|1MLV|1DUR|1CDMG	1RCVC|2ASPD|3CDMG|4VULN|5MLV|6DUR|79RCR|8RMIN|aBBNT
19	52221 41522	   	252.68	DCR|DCR|1VULN|1MLV|1DUR|1CDMG	1AEPOI|2ASPD|3CDMG|4VULN|5MLV|6DUR|79RCR|8RMIN|aLHND
20	23221 41423	   	252.58	DCR|DCR|1VULN|1MLV|1DUR|1CDMG	1RCVC|2ASPD|3CDMG|4VULN|5MLV|6DUR|79RCR|8ERES|aAME
21	23221 41424	   	252.58	DCR|DCR|1VULN|1MLV|1DUR|1CDMG	1RCVC|2ASPD|3CDMG|4VULN|5MLV|6DUR|79RCR|8ERES|aDUST
22	23221 41426	   	252.58	DCR|DCR|1VULN|1MLV|1DUR|1CDMG	1RCVC|2ASPD|3CDMG|4VULN|5MLV|6DUR|79RCR|8ERES|aBBNT
23	52221 41422	   	252.58	DCR|DCR|1VULN|1MLV|1DUR|1CDMG	1AEPOI|2ASPD|3CDMG|4VULN|5MLV|6DUR|79RCR|8ERES|aLHND
24	52221 41523	   	252.58	DCR|DCR|1VULN|1MLV|1DUR|1CDMG	1AEPOI|2ASPD|3CDMG|4VULN|5MLV|6DUR|79RCR|8RMIN|aAME
25	52221 41423	   	252.48	DCR|DCR|1VULN|1MLV|1DUR|1CDMG	1AEPOI|2ASPD|3CDMG|4VULN|5MLV|6DUR|79RCR|8ERES|aAME
26	23343 23421	   	250.10	DCR|DCR|1VULN|2CDMG|1DUR|2ASPD	1RCVC|26ASPD|3LWND|4DUR|5VULN|79RCR|8aCDMG
27	52343 23421	   	250.00	DCR|DCR|1VULN|2CDMG|1DUR|2ASPD	1AEPOI|26ASPD|3LWND|4DUR|5VULN|79RCR|8aCDMG
28	23313 43422	   	249.73	DCR|DCR|2VULN|1CDMG	1RCVC|2ASPD|3LWND|4BEXP|56VULN|79RCR|8CDMG|aLHND
29	23313 43425	   	249.73	DCR|DCR|2VULN|1CDMG	1RCVC|2ASPD|3LWND|4BEXP|56VULN|79RCR|8CDMG|aRAT
30	23333 43422	   	249.73	DCR|DCR|2VULN|1CDMG	1RCVC|2ASPD|3LWND|4FEWX|56VULN|79RCR|8CDMG|aLHND
31	23333 43425	   	249.73	DCR|DCR|2VULN|1CDMG	1RCVC|2ASPD|3LWND|4FEWX|56VULN|79RCR|8CDMG|aRAT
32	52313 43422	   	249.63	DCR|DCR|2VULN|1CDMG	1AEPOI|2ASPD|3LWND|4BEXP|56VULN|79RCR|8CDMG|aLHND
33	52333 43422	   	249.63	DCR|DCR|2VULN|1CDMG	1AEPOI|2ASPD|3LWND|4FEWX|56VULN|79RCR|8CDMG|aLHND
34	23223 21643	   	249.63	DCR|DCR|2VULN|1CDMG	1RCVC|2ASPD|3CDMG|49VULN|5DUST|6RMIN|7aRCR|8BEXP
35	23313 43423	   	249.63	DCR|DCR|2VULN|1CDMG	1RCVC|2ASPD|3LWND|4BEXP|56VULN|79RCR|8CDMG|aAME
36	23313 43424	   	249.63	DCR|DCR|2VULN|1CDMG	1RCVC|2ASPD|3LWND|4BEXP|56VULN|79RCR|8CDMG|aDUST
37	23313 43426	   	249.63	DCR|DCR|2VULN|1CDMG	1RCVC|2ASPD|3LWND|4BEXP|56VULN|79RCR|8CDMG|aBBNT
38	23333 43423	   	249.63	DCR|DCR|2VULN|1CDMG	1RCVC|2ASPD|3LWND|4FEWX|56VULN|79RCR|8CDMG|aAME
39	23333 43424	   	249.63	DCR|DCR|2VULN|1CDMG	1RCVC|2ASPD|3LWND|4FEWX|56VULN|79RCR|8CDMG|aDUST
40	23333 43426	   	249.63	DCR|DCR|2VULN|1CDMG	1RCVC|2ASPD|3LWND|4FEWX|56VULN|79RCR|8CDMG|aBBNT
41	23133 51243	 * 	249.63	DCR|DCR|1VULN|1TLV|1CDMG	18RCVC|2ASPD|3TLV|4CDMG|5DUST|6BEXP|7aRCR|9VULN
42	52313 43423	   	249.53	DCR|DCR|2VULN|1CDMG	1AEPOI|2ASPD|3LWND|4BEXP|56VULN|79RCR|8CDMG|aAME
43	52333 43423	   	249.53	DCR|DCR|2VULN|1CDMG	1AEPOI|2ASPD|3LWND|4FEWX|56VULN|79RCR|8CDMG|aAME
44	52223 21643	   	249.53	DCR|DCR|2VULN|1CDMG	1AEPOI|2ASPD|3CDMG|49VULN|5DUST|6RMIN|7aRCR|8BEXP
45	52133 51243	   	249.53	DCR|DCR|1VULN|1TLV|1CDMG	1AEPOI|2ASPD|3TLV|4CDMG|5DUST|6BEXP|7aRCR|8RCVC|9VULN
46	34161 51321	   	248.90	DCR|DCR|2VULN|2CDMG|1NUKE	1ERES|2aCDMG|3NUKE|45VULN|6BEXP|79RCR|8RMIN
47	23232 41323	   	246.89	DCR|DCR|1TLV|1MLV|1DUR|1CDMG	1RCVC|2ASPD|3CDMG|4MLV|5BEXP|6DUR|79RCR|8RMIN|aTLV
48	23233 41323	   	246.79	DCR|DCR|1TLV|1MLV|1DUR|1CDMG	1RCVC|2ASPD|3CDMG|4MLV|5DUST|6DUR|79RCR|8RMIN|aTLV
49	23235 41523	   	246.79	DCR|DCR|1TLV|1MLV|1DUR|1CDMG	1RCVC|2ASPD|3CDMG|4MLV|5LEGI|6DUR|79RCR|8RMIN|aTLV
50	52232 41323	   	246.79	DCR|DCR|1TLV|1MLV|1DUR|1CDMG	1AEPOI|2ASPD|3CDMG|4MLV|5BEXP|6DUR|79RCR|8RMIN|aTLV
51	23232 41423	   	246.79	DCR|DCR|1TLV|1MLV|1DUR|1CDMG	1RCVC|2ASPD|3CDMG|4MLV|5BEXP|6DUR|79RCR|8ERES|aTLV
52	23233 41423	   	246.69	DCR|DCR|1TLV|1MLV|1DUR|1CDMG	1RCVC|2ASPD|3CDMG|4MLV|5DUST|6DUR|79RCR|8ERES|aTLV
53	23235 41423	   	246.69	DCR|DCR|1TLV|1MLV|1DUR|1CDMG	1RCVC|2ASPD|3CDMG|4MLV|5LEGI|6DUR|79RCR|8ERES|aTLV
54	52232 41423	   	246.69	DCR|DCR|1TLV|1MLV|1DUR|1CDMG	1AEPOI|2ASPD|3CDMG|4MLV|5BEXP|6DUR|79RCR|8ERES|aTLV
55	52233 41323	   	246.69	DCR|DCR|1TLV|1MLV|1DUR|1CDMG	1AEPOI|2ASPD|3CDMG|4MLV|5DUST|6DUR|79RCR|8RMIN|aTLV
56	52233 41423	   	246.59	DCR|DCR|1TLV|1MLV|1DUR|1CDMG	1AEPOI|2ASPD|3CDMG|4MLV|5DUST|6DUR|79RCR|8ERES|aTLV
57	23221 51321	   	245.44	DCR|DCR|1VULN|2CDMG|1MLV	1RCVC|2ASPD|3aCDMG|4VULN|5MLV|6BEXP|79RCR|8RMIN
58	52221 51321	   	245.34	DCR|DCR|1VULN|2CDMG|1MLV	1AEPOI|2ASPD|3aCDMG|4VULN|5MLV|6BEXP|79RCR|8RMIN
59	23221 51421	   	245.34	DCR|DCR|1VULN|2CDMG|1MLV	1RCVC|2ASPD|3aCDMG|4VULN|5MLV|6BEXP|79RCR|8ERES
60	52221 51421	   	245.24	DCR|DCR|1VULN|2CDMG|1MLV	1AEPOI|2ASPD|3aCDMG|4VULN|5MLV|6BEXP|79RCR|8ERES
61	22232 41423	 * 	244.31	DCR|DCR|1TLV|1DMG|1DUR|1CDMG	1RCVC|2RMIN|3LWND|4DMG|5CDMG|6DUR|79RCR|8ERES|aTLV
62	35236 41323	   	244.31	DCR|DCR|1TLV|1DMG|1DUR|1CDMG	1ERES|2RCVC|3CDMG|4FEWX|5DMG|6DUR|79RCR|8RMIN|aTLV
63	35262 41323	   	244.31	DCR|DCR|1TLV|1DMG|1DUR|1CDMG	1ERES|2RCVC|3CDMG|4DMG|5BEXP|6DUR|79RCR|8RMIN|aTLV
64	35266 31322	   	244.31	DCR|DCR|1TLV|1DMG|1CDMG|1DUR	1ERES|2RCVC|3CDMG|4DMG|5LIT|6TLV|7BOSS|89RCR|aDUR
65	35263 41323	   	244.21	DCR|DCR|1TLV|1DMG|1DUR|1CDMG	1ERES|2RCVC|3CDMG|4DMG|5DUST|6DUR|79RCR|8RMIN|aTLV
66	23343 23422	   	243.79	DCR|DCR|1VULN|1DUR|2ASPD|1CDMG	1RCVC|26ASPD|3LWND|4DUR|5VULN|79RCR|8CDMG|aLHND
67	23343 23425	   	243.79	DCR|DCR|1VULN|1DUR|2ASPD|1CDMG	1RCVC|26ASPD|3LWND|4DUR|5VULN|79RCR|8CDMG|aRAT
68	23343 23423	   	243.69	DCR|DCR|1VULN|1DUR|2ASPD|1CDMG	1RCVC|26ASPD|3LWND|4DUR|5VULN|79RCR|8CDMG|aAME
69	23343 23424	   	243.69	DCR|DCR|1VULN|1DUR|2ASPD|1CDMG	1RCVC|26ASPD|3LWND|4DUR|5VULN|79RCR|8CDMG|aDUST
70	23343 23426	   	243.69	DCR|DCR|1VULN|1DUR|2ASPD|1CDMG	1RCVC|26ASPD|3LWND|4DUR|5VULN|79RCR|8CDMG|aBBNT
71	52343 23422	   	243.69	DCR|DCR|1VULN|1DUR|2ASPD|1CDMG	1AEPOI|26ASPD|3LWND|4DUR|5VULN|79RCR|8CDMG|aLHND
72	52343 23423	   	243.59	DCR|DCR|1VULN|1DUR|2ASPD|1CDMG	1AEPOI|26ASPD|3LWND|4DUR|5VULN|79RCR|8CDMG|aAME
73	23152 13423	 * 	243.57	DCR|DCR|2TLV|1MLV|1CDMG	1RCVC|2ASPD|3aTLV|4MLV|5LWND|6FEWX|79RCR|8CDMG
74	23152 53423	   	243.57	DCR|DCR|2TLV|1MLV|1CDMG	1RCVC|2ASPD|3aTLV|4MLV|5LWND|6BEXP|79RCR|8CDMG
75	11311 11321	 * 	243.50	DCR|DCR|2DUR|1TLV|1CDMG|1SELL	1FEWX|2SELL|36DUR|4ASPD|5TLV|79RCR|8RMIN|aCDMG
76	61311 11521	 * 	243.50	DCR|DCR|2DUR|1TLV|1CDMG|1SELL	1LHND|2SELL|36DUR|4ASPD|5TLV|79RCR|8RMIN|aCDMG
77	52152 13423	   	243.47	DCR|DCR|2TLV|1MLV|1CDMG	1AEPOI|2ASPD|3aTLV|4MLV|5LWND|6FEWX|79RCR|8CDMG
78	11311 11421	 * 	243.40	DCR|DCR|2DUR|1TLV|1CDMG|1SELL	1FEWX|2SELL|36DUR|4ASPD|5TLV|79RCR|8ERES|aCDMG
79	61311 11421	 * 	243.40	DCR|DCR|2DUR|1TLV|1CDMG|1SELL	1LHND|2SELL|36DUR|4ASPD|5TLV|79RCR|8ERES|aCDMG
80	22216 43423	   	242.79	DCR|DCR|2VULN|1CDMG|1AAC	1RCVC|2RMIN|3LWND|4BEXP|56VULN|7aRCR|8CDMG|9AAC
81	34342 21243	   	242.69	DCR|DCR|1VULN|1TLV|1AAC|1CDMG	1ERES|2CDMG|3TLV|4AAC|5BEXP|6RMIN|7aRCR|8RCVC|9VULN
82	34342 21343	   	242.69	DCR|DCR|1VULN|1TLV|1CDMG|1AAC	1ERES|2CDMG|3TLV|4AAC|5BEXP|68RMIN|7aRCR|9VULN
83	34161 51322	   	242.59	DCR|DCR|2VULN|1CDMG|1NUKE	1ERES|2CDMG|3NUKE|45VULN|6BEXP|79RCR|8RMIN|aLHND
84	34161 51333	   	242.59	DCR|DCR|2VULN|1CDMG|1NUKE	1ERES|2CDMG|3NUKE|45VULN|69BEXP|7aRCR|8RMIN
85	34343 21243	   	242.59	DCR|DCR|1VULN|1TLV|1AAC|1CDMG	1ERES|2CDMG|3TLV|4AAC|5DUST|6RMIN|7aRCR|8RCVC|9VULN
86	34343 21343	   	242.59	DCR|DCR|1VULN|1TLV|1CDMG|1AAC	1ERES|2CDMG|3TLV|4AAC|5DUST|68RMIN|7aRCR|9VULN
87	34161 51323	   	242.49	DCR|DCR|2VULN|1CDMG|1NUKE	1ERES|2CDMG|3NUKE|45VULN|6BEXP|79RCR|8RMIN|aAME
88	23132 41323	   	241.62	DCR|DCR|2TLV|1DUR|1CDMG	1RCVC|2ASPD|3aTLV|4CDMG|5BEXP|6DUR|79RCR|8RMIN
89	23142 41323	   	241.62	DCR|DCR|2TLV|1DUR|1CDMG	1RCVC|2ASPD|3aTLV|4BEXP|5CDMG|6DUR|79RCR|8RMIN
90	23133 41323	   	241.52	DCR|DCR|2TLV|1DUR|1CDMG	1RCVC|2ASPD|3aTLV|4CDMG|5DUST|6DUR|79RCR|8RMIN
91	23135 41523	   	241.52	DCR|DCR|2TLV|1DUR|1CDMG	1RCVC|2ASPD|3aTLV|4CDMG|5LEGI|6DUR|79RCR|8RMIN
92	52132 41323	   	241.52	DCR|DCR|2TLV|1DUR|1CDMG	1AEPOI|2ASPD|3aTLV|4CDMG|5BEXP|6DUR|79RCR|8RMIN
93	52142 41323	   	241.52	DCR|DCR|2TLV|1DUR|1CDMG	1AEPOI|2ASPD|3aTLV|4BEXP|5CDMG|6DUR|79RCR|8RMIN
94	52133 41323	   	241.42	DCR|DCR|2TLV|1DUR|1CDMG	1AEPOI|2ASPD|3aTLV|4CDMG|5DUST|6DUR|79RCR|8RMIN
95	11311 11323	 * 	240.18	DCR|DCR|2TLV|2DUR|1SELL	1FEWX|2SELL|36DUR|4ASPD|5aTLV|79RCR|8RMIN
96	61311 11523	 * 	240.18	DCR|DCR|2TLV|2DUR|1SELL	1LHND|2SELL|36DUR|4ASPD|5aTLV|79RCR|8RMIN
97	11311 11423	 * 	240.08	DCR|DCR|2TLV|2DUR|1SELL	1FEWX|2SELL|36DUR|4ASPD|5aTLV|79RCR|8ERES
98	61311 11423	 * 	240.08	DCR|DCR|2TLV|2DUR|1SELL	1LHND|2SELL|36DUR|4ASPD|5aTLV|79RCR|8ERES
99	34134 41223	   	239.75	DCR|DCR|1TLV|1MLV|1DUR|1CDMG|1NUKE	1ERES|2CDMG|3NUKE|4RMIN|5MLV|6DUR|7aRCR|8RCVC|9TLV
100	34134 41323	   	239.75	DCR|DCR|1TLV|1MLV|1DUR|1CDMG|1NUKE	1ERES|2CDMG|3NUKE|48RMIN|5MLV|6DUR|7aRCR|9TLV
