0	Index      	Bounty	 *	Score 	Summary	Detail	
1	46213 21116	1	 * 	261.67	DCR|2VULN|2DMG|2TLV|2DUR|1AART	15DUR|2TBNT|3AART|45TLV|5BPWR|68VULN|7RCR|9aDMG
16	43262 33111	10	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1DUR|2ERES|38aVULN|4BEXP|5CDMG|6TLV|7DMG|9RCR
17	43262 33116	9	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1DUR|2ERES|38aVULN|4BEXP|5CDMG|6TLV|7DMG|9RCR
18	43262 33126	8	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1DUR|2ERES|38aVULN|4BEXP|5CDMG|6TLV|7DMG|9RCR
19	34146 21131	7	 * 	247.65	DCR|4VULN|3DUR	178LHND|2BELT|3DLOT|4LIT|578DUR|678aVULN|78BPWR|9RCR
20	22452 31325	1	   	247.55	DCR|3VULN|2DMG|1TLV|1AART	19CGEN|2FEWX|39DMG|4AART|5TLV|6ERES|789VULN|9BPWR|aRCR
21	24432 31325	4	   	247.55	DCR|3VULN|2DMG|1TLV|1AART	19CGEN|2FEWX|3AART|49DMG|5TLV|6ERES|789VULN|9BPWR|aRCR
22	34323 32541	3	   	247.41	DCR|3VULN|2DMG|1TLV|1AART|1SELL	17LHND|2BELT|3SELL|47DMG|567VULN|7BPWR|8TLV|9AART|aRCR
23	25232 23131	1	   	247.35	DCR|3VULN|2DMG|1TLV|1AART	1CGEN|2AART|3aDMG|4TLV|5BBNT|689VULN|7RCR
24	62133 36332	10	   	247.31	DCR|2VULN|2DMG|1TLV|1DUR|1AART	1LIT|2TLV|3ZMB|4AART|58VULN|67DMG|9DUR|aRCR
25	62233 36333	9	 * 	246.72	DCR|2VULN|3DMG|1TLV|1AART	1LIT|2TLV|3CGEN|4AART|58VULN|679DMG|aRCR
26	46343 33322	9	   	246.37	DCR|3VULN|3DUR|1DMG	149DUR|2ASPD|39ERES|5DMG|6CGEN|789VULN|9BPWR|aRCR
27	13162 61113	8	   	246.30	DCR|3VULN|2DMG|1TLV	1DMSP|2aMLV|34aVULN|5LIT|6RCR|7RMIN|8TLV|9aDMG|aBPWR
28	14132 23134	1	   	246.01	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1DMSP|2AART|3DMG|4DUR|5BBNT|689VULN|7RCR|aTLV
29	12531 35124	10	   	246.01	DCR|2VULN|3DUR|2DMG|2LIT	1DMSP|28aDUR|3RMIN|4aDUST|58VULN|68LIT|7RCR|8aBPWR|9aDMG
30	16163 11521	10	   	245.83	DCR|2VULN|2DMG|2TLV|1DUR	1DMSP|2LIT|35TLV|45DMG|5BPWR|69VULN|7DUR|8RCR|aCGEN
31	16163 11522	10	   	245.83	DCR|2VULN|2DMG|2TLV|1DUR	1DMSP|2LIT|35TLV|45DMG|5BPWR|69VULN|7DUR|8RCR|aFEWX
32	16163 11523	9	   	245.83	DCR|2VULN|2DMG|2TLV|1DUR	1DMSP|2LIT|35TLV|45DMG|5BPWR|69VULN|7DUR|8RCR|aMLV
33	34323 32522	3	   	245.83	DCR|3VULN|2DMG|2TLV|1SELL	17LHND|2BELT|3SELL|47DMG|567VULN|7BPWR|8aTLV|9RCR
34	16163 11521	9	   	245.73	DCR|2VULN|2DMG|2TLV|1DUR	1DMSP|2LIT|35TLV|45DMG|5BPWR|69VULN|7DUR|8RCR|aDUST
35	43242 16211	5	 * 	245.16	ACR|5VULN|3DUR|2CDMG	167DUR|2ERES|3789aVULN|4RCR|57CDMG|7BPWR
36	46222 34331	10	 * 	244.66	DCR|3VULN|1TLV|2CDMG|1DUR	1DUR|2ASPD|378VULN|4LWND|59CDMG|6TLV|aRCR
37	62133 33663	10	   	244.31	DCR|2VULN|2DUR|1TLV|1DMG|1AART	1LIT|2TLV|3ZMB|4AART|59VULN|6DMG|7aDUR|8RCR
38	62233 33663	10	   	244.31	DCR|2VULN|2DUR|1TLV|1DMG|1AART	1LIT|2TLV|3CGEN|4AART|59VULN|6DMG|7aDUR|8RCR
39	42423 21113	1	   	244.21	DCR|2VULN|2DUR|1TLV|1DMG|1AART	12DUR|3TLV|4BBNT|5AART|68VULN|7RCR|9DMG|aLIT
40	46211 21113	1	   	244.21	DCR|2VULN|2DUR|1TLV|1DMG|1AART	15DUR|2TBNT|3AART|4TLV|68VULN|7RCR|9DMG|aLIT
41	62326 21151	2	   	244.10	DCR|2VULN|2DMG|1TLV|1DUR|2LIT	13LIT|2TLV|4TBNT|5DUR|68DMG|7RCR|9aVULN
42	46213 21111	1	   	244.08	DCR|2VULN|2TLV|2DUR|1DMG|1AART	15DUR|2TBNT|3AART|45TLV|5BPWR|68VULN|7RCR|9DMG|aFEWX
43	46213 21112	1	   	244.08	DCR|2VULN|2TLV|2DUR|1DMG|1AART	15DUR|2TBNT|3AART|45TLV|5BPWR|68VULN|7RCR|9DMG|aBEXP
44	46213 21125	1	   	244.08	DCR|2VULN|2TLV|2DUR|1DMG|1AART	15DUR|2TBNT|3AART|45TLV|5BPWR|68VULN|7RCR|9LWND|aDMG
45	46213 21141	1	   	244.08	DCR|2VULN|2TLV|2DUR|1DMG|1AART	15DUR|2TBNT|3AART|45TLV|5BPWR|68VULN|7RCR|9RCVC|aDMG
46	26112 12621	5	 * 	243.88	DCR|3VULN|1TLV|3ASPD|1DMG	1CGEN|2RPLT|358ASPD|459VULN|5BPWR|6RCR|7TLV|aDMG
47	46213 21115	1	   	243.84	DCR|2VULN|2TLV|2DUR|1DMG|1AART|1SELL	15DUR|2TBNT|3AART|45TLV|5BPWR|68VULN|7RCR|9DMG|aSELL
48	16161 21523	9	   	243.34	DCR|3VULN|2TLV|1DMG|2LIT	1DMSP|2aLIT|3aTLV|4DMG|5MLV|69aVULN|7RMIN|8RCR|aBPWR
49	16163 13522	9	   	243.23	DCR|2VULN|2DMG|2TLV|1CDMG	1DMSP|2LIT|35TLV|45DMG|5BPWR|69VULN|7LWND|8RCR|aCDMG
50	26112 62215	10	   	242.17	DCR|4VULN|2DUR|2ASPD	17CGEN|2RPLT|35ASPD|4578VULN|57BPWR|67DUR|9ERES|aRCR
51	44114 33323	3	 * 	241.87	DCR|3VULN|3DUR|3ASPD	19aDUR|2BELT|3DLOT|4RCVC|59aVULN|6RPLT|7RCR|89aASPD|9aBPWR
52	44153 13323	4	   	241.87	DCR|3VULN|3DUR|3ASPD	19aDUR|2BELT|3DLOT|4RPLT|5DMSP|69aVULN|7RCR|89aASPD|9aBPWR
53	16131 36263	3	 * 	241.35	DCR|4VULN|1TLV|3LIT	1DMSP|28aLIT|3TLV|489aVULN|58aMLV|6MBVNT|7RCR|8aBPWR
54	62231 36263	2	   	241.35	DCR|4VULN|1TLV|3LIT	18aLIT|2TLV|3RCVC|489aVULN|58aMLV|6MBVNT|7RCR|8aBPWR
55	22525 33131	10	 * 	241.25	DCR|4VULN|1TLV|1DMG	1CGEN|2BEXP|3RPLT|4TLV|568aVULN|7DMG|9RCR
56	26525 33131	10	   	241.25	DCR|4VULN|1TLV|1DMG	1CGEN|2RPLT|3BEXP|4TLV|568aVULN|7DMG|9RCR
57	62326 13251	2	   	241.10	DCR|2VULN|2DUR|1TLV|1DMG|2LIT	13LIT|2TLV|4TBNT|56DUR|7aVULN|8RCR|9DMG
58	62326 21341	2	   	241.10	DCR|2VULN|2DUR|1TLV|1DMG|2LIT	13LIT|2TLV|4TBNT|59DUR|6DMG|7RCR|8aVULN
59	43361 32521	4	 * 	240.43	DCR|3VULN|2DUR|1TLV|1AART	18DUR|236ERES|456VULN|6BPWR|7AART|9TLV|aRCR
60	62311 62263	2	   	240.27	DCR|2VULN|1TLV|1DMG|1DUR|2LIT|1CDMG	13LIT|2TLV|4RCVC|56VULN|7RCR|8CDMG|9DUR|aDMG
61	34214 21332	1	   	240.17	DCR|3VULN|1TLV|3LIT|1DMG	1LHND|256LIT|357VULN|4BELT|5BPWR|8TLV|9DMG|aRCR
62	43262 33115	10	   	239.89	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG	1aDUR|2ERES|38VULN|4BEXP|5CDMG|6TLV|7DMG|9RCR
63	43262 33311	10	   	239.89	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG	18DUR|2ERES|3aVULN|4BEXP|5CDMG|6TLV|7DMG|9RCR
64	43262 33316	9	   	239.89	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG	18DUR|2ERES|3aVULN|4BEXP|5CDMG|6TLV|7DMG|9RCR
65	43262 33326	8	   	239.89	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG	18DUR|2ERES|3aVULN|4BEXP|5CDMG|6TLV|7DMG|9RCR
66	44121 83441	1	 * 	239.57	DCR|2VULN|3DUR|1TLV|3LIT	179DUR|279LIT|3RMIN|4RPLT|5MBVNT|6RCR|79BPWR|89VULN|aTLV
67	66121 83441	2	   	239.57	DCR|2VULN|3DUR|1TLV|3LIT	179LIT|279DUR|3RMIN|4RPLT|5MBVNT|6RCR|79BPWR|89VULN|aTLV
68	62326 13222	2	   	239.47	DCR|2VULN|3DUR|1TLV|3LIT	13aLIT|2TLV|4TBNT|56aDUR|7aVULN|8RCR|9RPLT|aBPWR
69	62526 13222	3	   	239.47	DCR|2VULN|3DUR|1TLV|3LIT	13aLIT|2TLV|4TBNT|56aDUR|7aVULN|8RCR|9RPLT|aBPWR
70	66326 13222	1	   	239.47	DCR|2VULN|3DUR|1TLV|3LIT	13aLIT|2TLV|4TBNT|56aDUR|7aVULN|8RCR|9RPLT|aBPWR
71	63626 13222	1	   	239.47	DCR|2VULN|3DUR|1TLV|3LIT	12aLIT|3TLV|4TBNT|56aDUR|7aVULN|8RCR|9RPLT|aBPWR
72	12613 13312	8	   	239.46	DCR|2VULN|3DUR|2DMG	16DMSP|238DUR|38BPWR|4LWND|58DMG|78VULN|9ASPD|aRCR
73	41613 13312	8	   	239.46	DCR|2VULN|3DUR|2DMG	138DUR|2RCVC|38BPWR|4LWND|58DMG|6DMSP|78VULN|9ASPD|aRCR
74	62133 36353	9	   	239.37	DCR|2VULN|2DMG|1TLV|1AART	1LIT|2TLV|3ZMB|4AART|58VULN|67DMG|9ASPD|aRCR
75	62133 36363	8	   	239.37	DCR|2VULN|2DMG|1TLV|1AART	1LIT|2TLV|3ZMB|4AART|58VULN|67DMG|9ASPD|aRCR
76	12611 31452	2	   	239.28	DCR|3VULN|2DUR|1TLV	1DMSP|26DUR|3BELT|45aVULN|7TLV|8RCR|9LIT
77	46225 31113	5	   	239.28	DCR|3VULN|2DUR|1TLV	16DUR|2ASPD|359VULN|4LWND|7BELT|8TLV|aRCR
78	12423 21116	2	   	238.91	DCR|2VULN|2DMG|1TLV|1DUR|1AART	1DMSP|2DUR|3TLV|4BBNT|5AART|68VULN|7RCR|9aDMG
79	14132 23114	1	   	238.91	DCR|2VULN|2DMG|1TLV|1DUR|1AART	1DMSP|2AART|39DMG|4DUR|5BBNT|68VULN|7RCR|aTLV
80	14132 23126	1	   	238.91	DCR|2VULN|2DMG|1TLV|1DUR|1AART	1DMSP|2AART|3aDMG|4DUR|5BBNT|68VULN|7RCR|9TLV
81	14232 21116	1	   	238.91	DCR|2VULN|2DMG|1TLV|1DUR|1AART	1DMSP|2AART|3TLV|4DUR|5BBNT|68VULN|7RCR|9aDMG
82	41423 21116	2	   	238.91	DCR|2VULN|2DMG|1TLV|1DUR|1AART	1DUR|2RCVC|3TLV|4BBNT|5AART|68VULN|7RCR|9aDMG
83	26112 22531	6	   	238.83	DCR|4VULN|3ASPD|1DMG	1CGEN|2RPLT|356ASPD|456aVULN|56BPWR|7FEWX|8DMG|9RCR
84	26112 22631	8	   	238.83	DCR|4VULN|3ASPD|1DMG	1CGEN|2RPLT|356ASPD|456aVULN|56BPWR|7DMG|8FEWX|9RCR
85	26112 24331	8	   	238.83	DCR|4VULN|3ASPD|1DMG	1CGEN|2RPLT|356ASPD|456aVULN|56BPWR|7FEWX|8DMG|9RCR
86	26112 24531	7	   	238.83	DCR|4VULN|3ASPD|1DMG	1CGEN|2RPLT|356ASPD|456aVULN|56BPWR|7FEWX|8DMG|9RCR
87	26112 25433	6	   	238.83	DCR|4VULN|3ASPD|1DMG	1CGEN|2RPLT|356ASPD|4567VULN|56BPWR|8DMG|9RCR|aMLV
88	26112 25631	6	   	238.83	DCR|4VULN|3ASPD|1DMG	1CGEN|2RPLT|356ASPD|4567VULN|56BPWR|8ZMB|9RCR|aDMG
89	26112 25432	6	   	238.73	DCR|4VULN|3ASPD|1DMG	1CGEN|2RPLT|356ASPD|4567VULN|56BPWR|8DMG|9RCR|aERES
90	36262 34321	10	   	238.35	DCR|3VULN|1TLV|1DUR|1CDMG	19LHND|2ASPD|378VULN|4DUR|5CDMG|6TLV|aRCR
91	46212 34321	10	   	238.35	DCR|3VULN|1TLV|1DUR|1CDMG	1DUR|2ASPD|378VULN|49LHND|5CDMG|6TLV|aRCR
92	46222 34123	7	   	238.35	DCR|3VULN|1TLV|1DUR|1CDMG	1DUR|2ASPD|37aVULN|4LWND|5CDMG|6TLV|8ZMB|9RCR
93	13162 22262	6	   	238.35	DCR|3VULN|1TLV|1DUR|1CDMG	1DMSP|2MLV|346VULN|5LIT|7RCR|8CDMG|9DUR|aTLV
94	13162 62262	5	   	238.35	DCR|3VULN|1TLV|1DUR|1CDMG	1DMSP|2MLV|346VULN|5LIT|7RCR|8CDMG|9DUR|aTLV
95	25232 23111	1	   	238.31	DCR|2VULN|3DMG|1TLV|1AART	1CGEN|2AART|39aDMG|4TLV|5BBNT|68VULN|7RCR
96	16163 13531	8	   	238.28	DCR|3DMG|1VULN|2TLV|2ASPD|2LIT	1DMSP|2aLIT|35TLV|45aDMG|5aBPWR|6VULN|7LWND|8RCR|9aASPD
97	24432 11235	5	   	238.17	DCR|3VULN|1TLV|1DMG|1AART	1CGEN|2FEWX|3AART|4DMG|567VULN|8TLV|9ASPD|aRCR
98	24432 31235	6	   	238.17	DCR|3VULN|1TLV|1DMG|1AART	1CGEN|2FEWX|3AART|4DMG|567VULN|8TLV|9ASPD|aRCR
99	24432 33235	7	   	238.17	DCR|3VULN|1TLV|1DMG|1AART	1CGEN|2FEWX|3AART|4DMG|567VULN|8TLV|9ASPD|aRCR
100	25243 11235	1	   	238.17	DCR|3VULN|1TLV|1DMG|1AART	1CGEN|2AART|3DMG|467VULN|5FEWX|8TLV|9ASPD|aRCR
101	25232 23132	1	   	238.07	DCR|3VULN|1TLV|1DMG|1AART	1CGEN|2AART|3DMG|4TLV|5BBNT|689VULN|7RCR|aASPD
102	12622 31361	9	 * 	238.06	DCR|3VULN|3DUR|2CDMG	1DMSP|23aDUR|3aBPWR|4ERES|5RCVC|67aVULN|8aCDMG|9RCR
103	41622 31361	9	   	238.06	DCR|3VULN|3DUR|2CDMG	13aDUR|25RCVC|3aBPWR|4ERES|67aVULN|8aCDMG|9RCR
104	43143 33325	10	   	238.06	DCR|3VULN|3DUR|1DMG	149DUR|29ERES|3RMIN|5DMG|6CGEN|789VULN|9BPWR|aRCR
105	62133 33663	9	   	238.03	DCR|2VULN|1TLV|1DMG|1DUR|1AART	1LIT|2TLV|3ZMB|4AART|59VULN|6DMG|7DUR|8RCR|aASPD
106	12621 31361	9	   	237.96	DCR|3VULN|3DUR|2CDMG	1DMSP|23aDUR|3aBPWR|45ERES|67aVULN|8aCDMG|9RCR
107	41621 31361	9	   	237.96	DCR|3VULN|3DUR|2CDMG	13aDUR|2RCVC|3aBPWR|45ERES|67aVULN|8aCDMG|9RCR
108	43213 62251	8	 * 	237.86	DCR|3VULN|3DUR|3LIT	18aDUR|2ERES|36aVULN|4LEGI|57aLIT|9RCR|aBPWR
109	43215 32251	8	   	237.86	DCR|3VULN|3DUR|3LIT	18aDUR|2ERES|35aVULN|4LEGI|67aLIT|9RCR|aBPWR
110	62133 35332	10	   	237.81	DCR|2VULN|2TLV|1DMG|1DUR|1AART	1LIT|27TLV|3ZMB|4AART|58VULN|6DMG|9DUR|aRCR
111	62233 33634	9	   	237.81	DCR|2VULN|2TLV|1DMG|1DUR|1AART	1LIT|29TLV|3CGEN|4AART|5aVULN|6DMG|7DUR|8RCR
112	34323 32422	3	   	237.75	DCR|3VULN|2DMG|1TLV|1SELL	17LHND|2BELT|3SELL|47DMG|567VULN|7BPWR|8CGEN|9RCR|aTLV
113	34323 32521	3	   	237.75	DCR|3VULN|2DMG|1TLV|1SELL	17LHND|2aBELT|3SELL|47DMG|567VULN|7BPWR|8TLV|9RCR
114	34323 32523	3	   	237.75	DCR|3VULN|2DMG|1TLV|1SELL	17LHND|2BELT|3SELL|47DMG|567VULN|7BPWR|8TLV|9RCR|aLWND
115	34323 32525	3	   	237.75	DCR|3VULN|2DMG|1TLV|1SELL	17LHND|2BELT|3SELL|47DMG|567VULN|7BPWR|8TLV|9RCR|aFEWX
116	34323 32526	3	   	237.75	DCR|3VULN|2DMG|1TLV|1SELL	17LHND|2BELT|3SELL|47DMG|567VULN|7BPWR|8TLV|9RCR|aMLV
117	13163 13416	8	   	237.70	DCR|3VULN|2DMG|1DUR|1AART	1DMSP|29MLV|349VULN|59DMG|6AART|7RPLT|8RCR|9BPWR|aDUR
118	34323 32524	3	   	237.65	DCR|3VULN|2DMG|1TLV|1SELL	17LHND|2BELT|3SELL|47DMG|567VULN|7BPWR|8TLV|9RCR|aERES
119	14113 14531	1	   	237.60	DCR|3VULN|2DMG|2ASPD|1AART	1DMSP|2AART|3aDMG|4CGEN|5RMIN|67aVULN|8RCR|9aASPD|aBPWR
120	16126 21151	3	   	237.55	DCR|2VULN|2DMG|1TLV|1DUR	1DMSP|2LIT|3TLV|4TBNT|5DUR|68DMG|7RCR|9aVULN
121	62226 21151	2	   	237.55	DCR|2VULN|2DMG|1TLV|1DUR	1LIT|2TLV|3RCVC|4TBNT|5DUR|68DMG|7RCR|9aVULN
122	33523 12365	1	   	237.50	DCR|3VULN|2DMG|1DUR|1AART	14LHND|258VULN|35DMG|5BPWR|6BBNT|7DUR|9RCR|aAART
123	26112 12626	5	   	237.47	DCR|3VULN|1TLV|3ASPD|1CDMG	1CGEN|2RPLT|358ASPD|459VULN|5BPWR|6RCR|7TLV|aCDMG
124	26112 14263	5	   	237.44	DCR|4VULN|1TLV|2ASPD	1CGEN|2RPLT|35ASPD|458aVULN|5BPWR|6RCR|7LWND|9TLV
125	14132 23131	1	   	237.40	DCR|3VULN|2DMG|1DUR|1AART	1DMSP|2AART|3aDMG|4DUR|5BBNT|689VULN|7RCR
126	26112 12211	5	   	237.34	DCR|4VULN|1TLV|2ASPD	1CGEN|2RPLT|35ASPD|459aVULN|5BPWR|6RCR|7TLV|8BBNT
127	46213 21143	1	 * 	237.25	DCR|2VULN|3DUR|2TLV|1AART	15aDUR|2TBNT|3AART|45TLV|5BPWR|68VULN|7RCR|9RCVC
128	16163 11531	9	 * 	237.21	DCR|1VULN|2DMG|3TLV|2DUR|2LIT	1DMSP|2aLIT|35aTLV|45DMG|5aBPWR|6VULN|7aDUR|8RCR|9RMIN
129	14233 13364	10	   	236.55	DCR|3VULN|1TLV|1DMG|2ASPD	16DMSP|28LWND|38ASPD|4TLV|5DMG|78aVULN|8BPWR|9RCR
130	46222 32263	7	   	236.54	DCR|2VULN|2DUR|1TLV|1CDMG	19DUR|2ASPD|3aVULN|4LWND|5CDMG|6TLV|7LIT|8RCR
131	45321 63123	4	   	236.45	DCR|3VULN|1TLV|1DMG|1DUR	1DUR|29FEWX|3RPLT|4DMG|5TLV|6RCR|78aVULN
132	14611 36113	2	   	236.45	DCR|3VULN|1TLV|1DMG|1DUR	1DMSP|2LWND|3BELT|459VULN|6DUR|7DMG|8TLV|aRCR
133	22525 33135	10	   	236.45	DCR|3VULN|1TLV|1DMG|1DUR	1CGEN|2BEXP|3RPLT|4TLV|568VULN|7DMG|9RCR|aDUR
134	22525 33135	9	   	236.45	DCR|3VULN|1TLV|1DMG|1DUR	1CGEN|2BEXP|3RPLT|4TLV|568VULN|7DMG|9RCR|aDUR
135	44311 36113	2	   	236.45	DCR|3VULN|1TLV|1DMG|1DUR	1DUR|2BELT|34LWND|569VULN|7DMG|8TLV|aRCR
136	45311 36113	1	   	236.45	DCR|3VULN|1TLV|1DMG|1DUR	1DUR|2BELT|34LWND|569VULN|7DMG|8TLV|aRCR
137	11243 11264	10	   	236.35	DCR|3VULN|1TLV|1DMG|1DUR	16DMSP|2ERES|3TLV|4DUR|5DMG|78aVULN|9RCR
138	13163 63362	10	   	236.35	DCR|3VULN|1TLV|1DMG|1DUR	1DMSP|2MLV|348VULN|5DMG|6DUR|7MBVNT|9TLV|aRCR
139	44214 21322	1	   	236.35	DCR|3VULN|1TLV|3LIT|1DUR	1DUR|256LIT|357VULN|4BELT|5BPWR|8TLV|9ZMB|aRCR
140	62133 33562	10	   	236.28	DCR|2VULN|1TLV|1DMG|1DUR|2LIT|1AART	18LIT|2TLV|3ZMB|4AART|59VULN|6DMG|7DUR|aRCR
141	13162 23242	10	   	236.25	DCR|4VULN|1TLV|2LIT	1DMSP|28MLV|3468VULN|58LIT|7BELT|8BPWR|9RCR|aTLV
142	62121 13523	9	   	236.25	DCR|4VULN|1TLV|2LIT	1aLIT|2TLV|3aZMB|4MLV|5CGEN|679aVULN|8RCR|aBPWR
143	26122 32212	10	   	236.19	DCR|2VULN|2TLV|1DMG|2ASPD|1DUR	17CGEN|2RPLT|37ASPD|4DMG|5DUR|67TLV|7BPWR|8aVULN|9RCR
144	26122 32213	9	   	236.19	DCR|2VULN|2TLV|1DMG|2ASPD|1DUR	17CGEN|2RPLT|37ASPD|4DMG|5DUR|67TLV|7BPWR|8aVULN|9RCR
145	62563 13312	6	   	236.13	DCR|2VULN|2DMG|2TLV|2LIT	13LIT|25TLV|45DMG|5BPWR|6aVULN|7BELT|8RCR|9ZMB
146	16163 13213	6	   	236.13	DCR|2VULN|2DMG|2TLV|2LIT	1DMSP|28LIT|35TLV|45DMG|5BPWR|69VULN|7BELT|aRCR
147	16163 15213	7	   	236.13	DCR|2VULN|2DMG|2TLV|2LIT	1DMSP|28LIT|35TLV|45DMG|5BPWR|69VULN|7BELT|aRCR
148	36222 33143	6	   	236.12	DCR|3VULN|3DUR|1AART|1SELL	17aLHND|2ASPD|37aVULN|4BELT|57aDUR|6AART|7aBPWR|8RCR|9SELL
149	12615 13151	8	   	236.09	DCR|2VULN|3DUR|2TLV	1DMSP|23aDUR|3aBPWR|4aLWND|5LIT|67VULN|8aTLV|9RCR
150	12635 13151	8	   	236.09	DCR|2VULN|3DUR|2TLV	1DMSP|23aDUR|3aBPWR|4aLHND|5LIT|67VULN|8aTLV|9RCR
151	12334 36171	4	   	235.99	DCR|2VULN|3DUR|2TLV	14DMSP|29aDUR|3LIT|5aVULN|6MBVNT|7RCR|8aTLV|aBPWR
152	66131 23621	10	   	235.96	DCR|3VULN|3DUR|1AART	1LIT|267DUR|3AART|4ZMB|58aVULN|9RCR
153	66131 23622	9	   	235.96	DCR|3VULN|3DUR|1AART	1LIT|267DUR|3AART|4ZMB|58aVULN|9RCR
154	42423 21111	1	   	235.90	DCR|2VULN|2DUR|1TLV|1DMG|1AART	12DUR|3TLV|4BBNT|5AART|68VULN|7RCR|9DMG|aFEWX
155	42423 21112	1	   	235.90	DCR|2VULN|2DUR|1TLV|1DMG|1AART	12DUR|3TLV|4BBNT|5AART|68VULN|7RCR|9DMG|aBEXP
156	42423 21125	1	   	235.90	DCR|2VULN|2DUR|1TLV|1DMG|1AART	12DUR|3TLV|4BBNT|5AART|68VULN|7RCR|9LWND|aDMG
157	42423 21141	1	   	235.90	DCR|2VULN|2DUR|1TLV|1DMG|1AART	12DUR|3TLV|4BBNT|5AART|68VULN|7RCR|9RCVC|aDMG
158	46211 21111	1	   	235.90	DCR|2VULN|2DUR|1TLV|1DMG|1AART	15DUR|2TBNT|3AART|4TLV|68VULN|7RCR|9DMG|aFEWX
159	46211 21112	1	   	235.90	DCR|2VULN|2DUR|1TLV|1DMG|1AART	15DUR|2TBNT|3AART|4TLV|68VULN|7RCR|9DMG|aBEXP
160	46211 21125	1	   	235.90	DCR|2VULN|2DUR|1TLV|1DMG|1AART	15DUR|2TBNT|3AART|4TLV|68VULN|7RCR|9LWND|aDMG
161	46211 21141	1	   	235.90	DCR|2VULN|2DUR|1TLV|1DMG|1AART	15DUR|2TBNT|3AART|4TLV|68VULN|7RCR|9RCVC|aDMG
162	42423 21115	1	   	235.66	DCR|2VULN|2DUR|1TLV|1DMG|1AART|1SELL	12DUR|3TLV|4BBNT|5AART|68VULN|7RCR|9DMG|aSELL
163	46211 21115	1	   	235.66	DCR|2VULN|2DUR|1TLV|1DMG|1AART|1SELL	15DUR|2TBNT|3AART|4TLV|68VULN|7RCR|9DMG|aSELL
164	26112 21431	7	   	235.37	DCR|3VULN|2DMG|3ASPD	17CGEN|2RPLT|356ASPD|456VULN|56BPWR|8aDMG|9RCR
165	26112 22131	8	   	235.37	DCR|3VULN|2DMG|3ASPD	18CGEN|2RPLT|356ASPD|456VULN|56BPWR|7aDMG|9RCR
