0	Index      	Bounty	 *	Score 	Summary	Detail	
1	43631 53323	10	 * 	273.95	DCR|4VULN|2TLV|2DUR|1CDMG	19TLV|269aVULN|38DUR|4CDMG|59CGEN|7RCR|9BPWR
21	34615 32223	7	 * 	259.79	DCR|2VULN|3DMG|2DUR|1TLV	19BEXP|29VULN|3aDUR|4TLV|589DMG|6RCVC|7RCR|9BPWR
22	42352 33311	8	   	259.76	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1TLV|2CGEN|348VULN|5AART|6DMG|7RCR|9CDMG|aDUR
23	43152 63311	8	   	259.76	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1TLV|248VULN|3MLV|5AART|6DMG|7RCR|9CDMG|aDUR
24	42355 23113	9	   	259.72	DCR|3VULN|2DMG|2TLV|1CDMG	18TLV|2CGEN|348VULN|5RCVC|68DMG|7RMIN|8BPWR|9RCR|aCDMG
25	43352 63311	8	   	259.66	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1TLV|248VULN|3ERES|5AART|6DMG|7RCR|9CDMG|aDUR
26	42352 33313	10	   	259.22	DCR|4VULN|1TLV|1DMG|1AART	1TLV|2CGEN|3489VULN|5AART|6DMG|7RCR|aLIT
27	43152 63313	10	   	259.22	DCR|4VULN|1TLV|1DMG|1AART	1TLV|2489VULN|3MLV|5AART|6DMG|7RCR|aLIT
28	42132 55112	8	 * 	259.22	DCR|3VULN|3TLV|2DUR|1DMG	148TLV|23CGEN|578VULN|68DUR|8BPWR|9DMG|aRCR
29	42351 32532	5	   	259.22	DCR|3VULN|2TLV|2DUR|1DMG	19TLV|2CGEN|349VULN|5DUST|6DMG|79DUR|8RCR|9BPWR|aRMIN
30	43352 63313	10	   	259.12	DCR|4VULN|1TLV|1DMG|1AART	1TLV|2489VULN|3ERES|5AART|6DMG|7RCR|aLIT
31	42351 32533	5	   	259.12	DCR|3VULN|2TLV|2DUR|1DMG	19TLV|2CGEN|349VULN|5DUST|6DMG|79DUR|8RCR|9BPWR|aERES
32	42322 33312	10	   	258.99	DCR|4VULN|2TLV|1DMG|1AART	14TLV|2CGEN|389aVULN|5AART|6DMG|7RCR
33	42364 33312	10	   	258.99	DCR|4VULN|2TLV|1DMG|1AART	15TLV|2CGEN|389aVULN|4AART|6DMG|7RCR
34	43122 63312	10	   	258.99	DCR|4VULN|2TLV|1DMG|1AART	14TLV|289aVULN|3MLV|5AART|6DMG|7RCR
35	43152 63212	10	   	258.99	DCR|4VULN|2TLV|1DMG|1AART	18TLV|249aVULN|3MLV|5AART|6DMG|7RCR
36	43322 63312	10	   	258.89	DCR|4VULN|2TLV|1DMG|1AART	14TLV|289aVULN|3ERES|5AART|6DMG|7RCR
37	43352 63212	10	   	258.89	DCR|4VULN|2TLV|1DMG|1AART	18TLV|249aVULN|3ERES|5AART|6DMG|7RCR
38	42362 33312	10	   	258.68	DCR|4VULN|1TLV|1DMG|2AART	1TLV|2CGEN|389aVULN|45AART|6DMG|7RCR
39	43162 63312	10	   	258.68	DCR|4VULN|1TLV|1DMG|2AART	1TLV|289aVULN|3MLV|45AART|6DMG|7RCR
40	43362 63312	10	   	258.58	DCR|4VULN|1TLV|1DMG|2AART	1TLV|289aVULN|3ERES|45AART|6DMG|7RCR
41	32124 21352	2	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1BEXP|2ASPD|3DMG|4TLV|5CDMG|6RCR|79aVULN|8DUR
42	53623 41213	6	   	257.83	DCR|2VULN|2TLV|2DUR|1DMG|1CDMG|1AART	1DUST|2aDUR|3FEWX|4CDMG|5AART|6aVULN|7DMG|8RCR|9aTLV|aBPWR
43	53626 31213	4	   	257.83	DCR|2VULN|2TLV|2DUR|1DMG|1CDMG|1AART	1DUST|2aDUR|3FEWX|4CDMG|5aVULN|6AART|7DMG|8RCR|9aTLV|aBPWR
44	54126 11213	4	   	257.83	DCR|2VULN|2TLV|2DUR|1DMG|1CDMG|1AART	1DUST|2aVULN|3AART|4BEXP|5CDMG|6aDUR|7DMG|8RCR|9aTLV|aBPWR
45	63223 41213	6	   	257.83	DCR|2VULN|2TLV|2DUR|1DMG|1CDMG|1AART	1FEWX|2aDUR|3DUST|4CDMG|5AART|6aVULN|7DMG|8RCR|9aTLV|aBPWR
46	63226 31213	4	   	257.83	DCR|2VULN|2TLV|2DUR|1DMG|1CDMG|1AART	1FEWX|2aDUR|3DUST|4CDMG|5aVULN|6AART|7DMG|8RCR|9aTLV|aBPWR
47	22611 32524	3	 * 	257.74	ACR|3VULN|3DUR|2DMG|2TLV	1RCR|29TLV|359DUR|45aVULN|59BPWR|68DUST|79DMG
48	22631 32524	4	   	257.74	ACR|3VULN|3DUR|2DMG|2TLV	1RCR|29TLV|359DUR|45aVULN|59BPWR|68DUST|79DMG
49	43232 23153	7	   	257.50	DCR|4VULN|1TLV|1DMG|1DUR	1TLV|246aVULN|35LWND|7RCR|8DMG|9DUR
50	43511 23133	7	   	257.50	DCR|4VULN|1TLV|1DMG|1DUR	1TLV|246aVULN|3RCVC|5LHND|7RCR|8DMG|9DUR
51	43513 23153	7	   	257.50	DCR|4VULN|1TLV|1DMG|1DUR	1TLV|246aVULN|3RCVC|5LWND|7RCR|8DMG|9DUR
52	42352 13316	10	 * 	257.47	DCR|5VULN|2TLV|1AART	1aTLV|2CGEN|3489aVULN|5AART|6aMLV|7RCR|aBPWR
53	31623 21421	8	 * 	257.36	DCR|2VULN|3DUR|2DMG|1TLV	129BEXP|39DMG|4TLV|57aDUR|6RCR|89VULN|9BPWR
54	31623 42421	8	   	257.36	DCR|2VULN|3DUR|2DMG|1TLV	129BEXP|39DMG|4TLV|56aDUR|7RCR|89VULN|9BPWR
55	35623 21423	8	   	257.36	DCR|2VULN|3DUR|2DMG|1TLV	19BEXP|2RCVC|39DMG|4TLV|57aDUR|6RCR|89VULN|9BPWR
56	22611 23222	3	 * 	257.20	ACR|2VULN|3DMG|3DUR|2TLV	1RCR|29TLV|359DUR|45VULN|59BPWR|6FEWX|789DMG|aASPD
57	22611 23224	3	   	257.20	ACR|2VULN|3DMG|3DUR|2TLV	1RCR|29TLV|359DUR|45VULN|59BPWR|6FEWX|789DMG|aLIT
58	22631 23222	4	   	257.20	ACR|2VULN|3DMG|3DUR|2TLV	1RCR|29TLV|359DUR|45VULN|59BPWR|6FEWX|789DMG|aASPD
59	22631 23224	4	   	257.20	ACR|2VULN|3DMG|3DUR|2TLV	1RCR|29TLV|359DUR|45VULN|59BPWR|6FEWX|789DMG|aLIT
60	41125 61113	1	   	257.12	DCR|3VULN|2TLV|2DUR|1AART	1aTLV|2BBNT|37aVULN|4LIT|5AART|6LWND|8RCR|9aDUR|aBPWR
61	43613 31113	2	   	257.12	DCR|3VULN|2TLV|2DUR|1AART	1aTLV|27aVULN|3LHND|4BBNT|5AART|6LIT|8RCR|9aDUR|aBPWR
62	22611 32222	3	   	257.10	ACR|2VULN|3DMG|3DUR|2TLV	1RCR|29TLV|359DUR|45VULN|59BPWR|6DUST|789DMG|aASPD
63	22611 32224	3	   	257.10	ACR|2VULN|3DMG|3DUR|2TLV	1RCR|29TLV|359DUR|45VULN|59BPWR|6DUST|789DMG|aLIT
64	22631 32222	4	   	257.10	ACR|2VULN|3DMG|3DUR|2TLV	1RCR|29TLV|359DUR|45VULN|59BPWR|6DUST|789DMG|aASPD
65	22631 32224	4	   	257.10	ACR|2VULN|3DMG|3DUR|2TLV	1RCR|29TLV|359DUR|45VULN|59BPWR|6DUST|789DMG|aLIT
66	43425 31113	3	   	257.02	DCR|3VULN|2TLV|2DUR|1AART	1aTLV|27aVULN|3DUST|4AART|5LIT|6TBNT|8RCR|9aDUR|aBPWR
67	42353 35132	10	   	256.12	DCR|5VULN|2TLV	18TLV|2CGEN|34678VULN|58FEWX|8BPWR|9RCR|aASPD
68	33611 66333	3	 * 	255.95	DCR|3VULN|3DUR|2DMG	19BEXP|2RMIN|35aDUR|459VULN|59BPWR|6RCVC|79DMG|8RCR
69	63311 26331	2	   	255.95	DCR|3VULN|3DUR|2DMG	169FEWX|25aDUR|3RMIN|459VULN|59BPWR|79DMG|8RCR
70	63311 66333	2	   	255.95	DCR|3VULN|3DUR|2DMG	19FEWX|25aDUR|3RMIN|459VULN|59BPWR|6RCVC|79DMG|8RCR
71	42351 35132	10	   	255.92	DCR|5VULN|2TLV	18TLV|2CGEN|34678VULN|58DUST|8BPWR|9RCR|aASPD
72	43232 23442	7	   	255.78	DCR|5VULN|1TLV|1DUR	1TLV|2469aVULN|35LWND|7RCR|8DUR
73	53311 66333	2	   	255.75	DCR|3VULN|3DUR|2DMG	19DUST|25aDUR|3RMIN|459VULN|59BPWR|6RCVC|79DMG|8RCR
74	42315 32131	10	   	255.73	DCR|3VULN|2DMG|2TLV|1AART	17TLV|2CGEN|378VULN|4RPLT|5AART|67DMG|7BPWR|9BELT|aRCR
75	53311 36331	2	   	255.65	DCR|3VULN|3DUR|2DMG	169DUST|25aDUR|3RMIN|459VULN|59BPWR|79DMG|8RCR
76	42315 32241	7	   	255.59	DCR|2VULN|2DMG|2TLV|1DUR|1AART	17TLV|2CGEN|37VULN|4RPLT|5AART|67DMG|7BPWR|8ASPD|9DUR|aRCR
77	13312 62163	10	   	255.14	DCR|4VULN|2TLV|1DUR|1AART|1SELL	17LHND|2DUR|378aVULN|47TLV|5AART|6SELL|7BPWR|9RCR
78	42352 33363	8	   	254.42	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1TLV|2CGEN|348VULN|5AART|6DMG|7RCR|9DUR|aLIT
79	43115 33133	10	   	254.29	DCR|3VULN|2TLV|1DMG|2ASPD|1AART	1aTLV|28aVULN|3MLV|4RPLT|5AART|6DMG|7RCR|9aASPD|aBPWR
80	42351 22231	6	   	254.28	DCR|3VULN|2DMG|2TLV	19TLV|2CGEN|349VULN|5DUST|6RCR|7LHND|89DMG|9BPWR|aLIT
81	42351 22234	6	   	254.28	DCR|3VULN|2DMG|2TLV	19TLV|2CGEN|349VULN|5DUST|6RCR|7LHND|89DMG|9BPWR|aASPD
82	42351 23231	6	   	254.28	DCR|3VULN|2DMG|2TLV	19TLV|2CGEN|349VULN|5DUST|6RCR|7FEWX|89DMG|9BPWR|aLIT
83	42351 23234	6	   	254.28	DCR|3VULN|2DMG|2TLV	19TLV|2CGEN|349VULN|5DUST|6RCR|7FEWX|89DMG|9BPWR|aASPD
84	42353 26231	6	   	254.28	DCR|3VULN|2DMG|2TLV	19TLV|2CGEN|349VULN|5FEWX|6RCR|7DUST|89DMG|9BPWR|aLIT
85	22632 21531	10	   	254.27	ACR|3VULN|2DMG|2TLV|2DUR|1AART	1RCR|29TLV|39DUR|47aVULN|5AART|6FEWX|89DMG|9BPWR
86	22632 21534	9	   	254.27	ACR|3VULN|2DMG|2TLV|2DUR|1AART	1RCR|29TLV|39DUR|47aVULN|5AART|6FEWX|89DMG|9BPWR
87	22632 31531	10	   	254.27	ACR|3VULN|2DMG|2TLV|2DUR|1AART	1RCR|29TLV|39DUR|47aVULN|5AART|6BEXP|89DMG|9BPWR
88	22632 31534	9	   	254.27	ACR|3VULN|2DMG|2TLV|2DUR|1AART	1RCR|29TLV|39DUR|47aVULN|5AART|6BEXP|89DMG|9BPWR
89	41414 21231	7	   	254.04	DCR|2VULN|2DMG|2TLV|1DUR	19TLV|23DUST|49VULN|5ASPD|6RCR|7DUR|89DMG|9BPWR|aLIT
90	43631 53312	9	   	252.93	DCR|3VULN|2DUR|1TLV|1CDMG	1TLV|26aVULN|38DUR|4CDMG|5CGEN|7RCR|9LIT
91	43631 53321	10	   	252.90	DCR|3VULN|2TLV|2DUR|1CDMG	19TLV|269VULN|38DUR|4CDMG|59CGEN|7RCR|9BPWR|aZMB
92	43631 53322	9	   	252.90	DCR|3VULN|2TLV|2DUR|1CDMG	19TLV|269VULN|38DUR|4CDMG|59aCGEN|7RCR|9BPWR
93	43631 53323	9	   	252.90	DCR|3VULN|2TLV|2DUR|1CDMG	19TLV|269VULN|38DUR|4CDMG|59CGEN|7RCR|9BPWR|aBEXP
94	22631 23526	10	   	252.82	ACR|3VULN|2DMG|2TLV|2DUR	1RCR|2aTLV|36DUR|47aVULN|5LIT|8ERES|9aDMG|aBPWR
95	43631 53321	9	   	252.80	DCR|3VULN|2TLV|2DUR|1CDMG	19TLV|269VULN|38DUR|4CDMG|59CGEN|7RCR|9BPWR|aMBVNT
96	43631 53322	10	   	252.80	DCR|3VULN|2TLV|2DUR|1CDMG	19TLV|269VULN|38DUR|4CDMG|59CGEN|7RCR|9BPWR|aERES
97	14515 32233	7	   	252.66	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG|1AART	1LHND|2aVULN|3CDMG|4DUR|5AART|6aDMG|7TLV|8RCR|9aDUST|aBPWR
98	42352 33111	7	   	252.66	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG|1AART	1TLV|2CGEN|34VULN|5AART|68DMG|7RCR|9CDMG|aDUR
99	43152 63111	7	   	252.66	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG|1AART	1TLV|24VULN|3MLV|5AART|68DMG|7RCR|9CDMG|aDUR
100	43352 63111	7	   	252.56	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG|1AART	1TLV|24VULN|3ERES|5AART|68DMG|7RCR|9CDMG|aDUR
101	43622 42222	7	 * 	252.51	DCR|3VULN|3DUR|1TLV	1TLV|28aVULN|356DUR|4ASPD|7RCR|9RMIN
102	43622 11224	7	   	252.51	DCR|3VULN|3DUR|1TLV	1TLV|28aVULN|357DUR|4ASPD|6FEWX|9RCR
103	43622 21224	7	   	252.51	DCR|3VULN|3DUR|1TLV	1TLV|28aVULN|357DUR|4ASPD|6LHND|9RCR
104	43622 32312	9	   	252.51	DCR|3VULN|3DUR|1TLV	1TLV|28aVULN|359DUR|4ASPD|6DMSP|7RCR
105	43622 32332	8	   	252.51	DCR|3VULN|3DUR|1TLV	1TLV|28aVULN|359DUR|4ASPD|6DMSP|7RCR
106	31623 24421	8	   	252.21	DCR|2VULN|2DMG|2TLV|2DUR	129BEXP|39DMG|47TLV|5aDUR|6RCR|89VULN|9BPWR
107	46222 32632	4	   	252.11	DCR|2VULN|2DMG|2TLV|2DUR	19TLV|2RMIN|3LHND|49VULN|57DMG|6DUST|89DUR|9BPWR|aRCR
108	46222 32632	3	   	252.11	DCR|2VULN|2DMG|2TLV|2DUR	19TLV|2RMIN|3LHND|49VULN|57DMG|6DUST|89DUR|9BPWR|aRCR
109	42321 21233	7	   	252.01	DCR|2VULN|2DMG|3TLV|2DUR	149TLV|2CGEN|39VULN|5DUST|6RCR|7aDUR|89DMG|9BPWR
110	42352 33315	8	   	251.82	DCR|3VULN|1TLV|1DMG|1CDMG|1AART	1TLV|2CGEN|348VULN|5AART|6DMG|7RCR|9CDMG|aLIT
111	43152 22623	10	   	251.82	DCR|3VULN|1TLV|1DMG|1CDMG|1AART	1TLV|247VULN|3MLV|5AART|6LIT|8RCR|9DMG|aCDMG
112	42322 33316	9	   	251.59	DCR|3VULN|2TLV|1DMG|1CDMG|1AART	14TLV|2CGEN|389VULN|5AART|6DMG|7RCR|aCDMG
113	42352 32316	5	 * 	251.59	DCR|3VULN|2TLV|3LIT|1CDMG|1AART	18TLV|2CGEN|348VULN|5AART|678LIT|8BPWR|9RCR|aCDMG
114	42352 33316	8	   	251.59	DCR|3VULN|2TLV|1DMG|1CDMG|1AART	1aTLV|2CGEN|348VULN|5AART|6DMG|7RCR|9CDMG
115	43122 63316	9	   	251.59	DCR|3VULN|2TLV|1DMG|1CDMG|1AART	14TLV|289VULN|3MLV|5AART|6DMG|7RCR|aCDMG
116	13335 12221	1	   	251.54	DCR|2VULN|2DMG|2TLV|1CDMG	1LHND|2BBNT|3aVULN|4LIT|5ASPD|6RCR|7aTLV|8CDMG|9aDMG|aBPWR
117	43322 63316	9	   	251.49	DCR|3VULN|2TLV|1DMG|1CDMG|1AART	14TLV|289VULN|3ERES|5AART|6DMG|7RCR|aCDMG
118	32124 21142	2	   	251.30	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1BEXP|2ASPD|38DMG|4TLV|5CDMG|6RCR|7aVULN|9DUR
119	42362 33316	9	   	251.28	DCR|3VULN|1TLV|1DMG|2AART|1CDMG	1TLV|2CGEN|389VULN|45AART|6DMG|7RCR|aCDMG
120	43232 23145	8	   	251.09	DCR|4VULN|1TLV|1DUR|1CDMG	1TLV|246aVULN|35LWND|7RCR|8CDMG|9DUR
121	43516 33133	7	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	1TLV|245VULN|3RCVC|6BEXP|7RCR|8DMG|9aDUR
122	43232 23155	7	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	1TLV|246VULN|35LWND|7RCR|8DMG|9aDUR
123	43511 23135	7	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	1TLV|246VULN|3RCVC|5LHND|7RCR|8DMG|9aDUR
124	43512 53132	6	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	1TLV|24aVULN|3RCVC|5DMSP|6RCR|79DUR|8DMG
125	43632 31212	6	   	250.99	DCR|4VULN|1TLV|1DUR|1CDMG	1TLV|267aVULN|3DUR|4CDMG|5DUST|8BEXP|9RCR
126	43632 31212	5	   	250.99	DCR|4VULN|1TLV|1DUR|1CDMG	1TLV|267aVULN|3DUR|4CDMG|5DUST|8BEXP|9RCR
127	43516 13133	7	   	250.94	DCR|3VULN|2DUR|1TLV|1DMG	1TLV|245VULN|3RCVC|6DUST|7RCR|8DMG|9aDUR
128	42352 33112	10	   	250.91	DCR|4VULN|1TLV|1DMG|1AART	1TLV|28CGEN|349aVULN|5AART|6DMG|7RCR
129	42352 33312	9	   	250.91	DCR|4VULN|1TLV|1DMG|1AART	1TLV|2CGEN|3489VULN|5AART|6DMG|7RCR|aBEXP
130	42352 33313	9	   	250.91	DCR|4VULN|1TLV|1DMG|1AART	1TLV|2CGEN|3489VULN|5AART|6DMG|7RCR|aRMIN
131	42352 33314	10	   	250.91	DCR|4VULN|1TLV|1DMG|1AART	1TLV|2CGEN|3489VULN|5AART|6DMG|7RCR|aLWND
132	42352 33314	9	   	250.91	DCR|4VULN|1TLV|1DMG|1AART	1TLV|2CGEN|3489VULN|5AART|6DMG|7RCR|aBELT
133	42352 33315	10	   	250.91	DCR|4VULN|1TLV|1DMG|1AART	1TLV|2CGEN|3489VULN|5AART|6DMG|7RCR|aRCVC
134	42352 33316	10	   	250.91	DCR|4VULN|1TLV|1DMG|1AART	1TLV|2CGEN|3489VULN|5AART|6DMG|7RCR|aMLV
135	42352 33324	10	   	250.91	DCR|4VULN|1TLV|1DMG|1AART	1TLV|2CGEN|348aVULN|5AART|6DMG|7RCR|9LHND
136	42352 33332	10	   	250.91	DCR|4VULN|1TLV|1DMG|1AART	1TLV|29CGEN|348aVULN|5AART|6DMG|7RCR
137	43152 63312	9	   	250.91	DCR|4VULN|1TLV|1DMG|1AART	1TLV|2489VULN|3MLV|5AART|6DMG|7RCR|aBEXP
138	43152 63313	9	   	250.91	DCR|4VULN|1TLV|1DMG|1AART	1TLV|2489VULN|3MLV|5AART|6DMG|7RCR|aRMIN
139	42142 33312	10	   	250.91	DCR|4VULN|1TLV|1DMG|1AART	1TLV|23CGEN|489aVULN|5AART|6DMG|7RCR
140	42542 33312	10	   	250.91	DCR|4VULN|1TLV|1DMG|1AART	1TLV|2CGEN|3DMSP|489aVULN|5AART|6DMG|7RCR
141	42642 33312	10	   	250.91	DCR|4VULN|1TLV|1DMG|1AART	1TLV|2CGEN|3RCVC|489aVULN|5AART|6DMG|7RCR
142	42352 33311	9	   	250.81	DCR|4VULN|1TLV|1DMG|1AART	1TLV|2CGEN|3489VULN|5AART|6DMG|7RCR|aERES
143	43152 63311	9	   	250.81	DCR|4VULN|1TLV|1DMG|1AART	1TLV|2489VULN|3MLV|5AART|6DMG|7RCR|aERES
144	44151 13121	1	 * 	250.75	DCR|1VULN|2DMG|2DUR|1TLV|2CDMG	1TLV|2aDUR|3ASPD|4LIT|5aCDMG|6RCR|7VULN|8TBNT|9aDMG|aBPWR
145	43352 63311	9	   	250.71	DCR|4VULN|1TLV|1DMG|1AART	1TLV|2489VULN|3aERES|5AART|6DMG|7RCR
146	43352 63312	9	   	250.71	DCR|4VULN|1TLV|1DMG|1AART	1TLV|2489VULN|3ERES|5AART|6DMG|7RCR|aTBNT
147	43631 53132	8	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|269VULN|3DUR|4CDMG|5CGEN|7RCR|8LHND|aDMG
148	43134 21341	3	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|278VULN|3aMLV|4DMG|5CDMG|6RCR|9DUR
149	43134 21343	3	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|278VULN|3MLV|4DMG|5CDMG|6RCR|9DUR|aBEXP
150	43124 21316	2	   	250.00	DCR|3VULN|1TLV|1DMG|2ASPD|1CDMG	1TLV|278VULN|39ASPD|4MLV|5CDMG|6RCR|aDMG
151	43134 21316	4	   	250.00	DCR|3VULN|1TLV|1DMG|2ASPD|1CDMG	1TLV|278VULN|3MLV|49ASPD|5CDMG|6RCR|aDMG
152	43134 21342	3	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|278VULN|3MLV|4DMG|5CDMG|6RCR|9DUR|aBBNT
153	43334 21341	3	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|278VULN|3ERES|4DMG|5CDMG|6RCR|9DUR|aMLV
154	43334 21342	3	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|278VULN|3ERES|4DMG|5CDMG|6RCR|9DUR|aFEWX
155	43334 21343	3	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|278VULN|3ERES|4DMG|5CDMG|6RCR|9DUR|aCGEN
156	43334 21316	4	   	249.90	DCR|3VULN|1TLV|1DMG|2ASPD|1CDMG	1TLV|278VULN|3ERES|49ASPD|5CDMG|6RCR|aDMG
157	22611 23243	3	   	249.66	ACR|3VULN|3DUR|2DMG|1TLV	1RCR|2TLV|35aDUR|459VULN|5BPWR|6FEWX|78DMG
158	22611 23254	3	   	249.66	ACR|3VULN|3DUR|2DMG|1TLV	1RCR|2TLV|359DUR|45aVULN|5BPWR|6FEWX|78DMG
159	22631 23243	4	   	249.66	ACR|3VULN|3DUR|2DMG|1TLV	1RCR|2TLV|35aDUR|459VULN|5BPWR|6FEWX|78DMG
160	22631 23254	4	   	249.66	ACR|3VULN|3DUR|2DMG|1TLV	1RCR|2TLV|359DUR|45aVULN|5BPWR|6FEWX|78DMG
161	43512 51311	6	   	249.56	DCR|4VULN|1TLV|1DMG	1TLV|2489VULN|3RCVC|5DMSP|6RCR|7ASPD|aDMG
162	22611 32243	3	   	249.56	ACR|3VULN|3DUR|2DMG|1TLV	1RCR|2TLV|35aDUR|459VULN|5BPWR|6DUST|78DMG
163	22611 32254	3	   	249.56	ACR|3VULN|3DUR|2DMG|1TLV	1RCR|2TLV|359DUR|45aVULN|5BPWR|6DUST|78DMG
164	22631 32243	4	   	249.56	ACR|3VULN|3DUR|2DMG|1TLV	1RCR|2TLV|35aDUR|459VULN|5BPWR|6DUST|78DMG
165	22631 32254	4	   	249.56	ACR|3VULN|3DUR|2DMG|1TLV	1RCR|2TLV|359DUR|45aVULN|5BPWR|6DUST|78DMG
166	22611 23321	8	 * 	249.54	ACR|4VULN|3DUR|2TLV	1RCR|28TLV|368DUR|4LHND|5LIT|789aVULN|8BPWR
167	42323 35112	8	 * 	249.43	DCR|4VULN|3TLV|1DMG	148TLV|2CGEN|3678VULN|58FEWX|8BPWR|9DMG|aRCR
168	42323 35132	9	   	249.43	DCR|4VULN|3TLV|1DMG	148TLV|2CGEN|3678VULN|58FEWX|8BPWR|9DMG|aRCR
169	43511 23152	7	   	249.33	DCR|4VULN|2TLV|1DMG	19TLV|246aVULN|3RCVC|5LHND|7RCR|8DMG
170	42321 35112	8	   	249.23	DCR|4VULN|3TLV|1DMG	148TLV|2CGEN|3678VULN|58DUST|8BPWR|9DMG|aRCR
