0	Index      	Bounty	 *	Score 	Summary	Detail	
1	14263 12225	6	 * 	292.17	DCR|5VULN|3DUR|2TLV	137FEWX|2379aVULN|379BPWR|4BEXP|59TLV|679DUR|8RCR
15	14263 12226	6	   	273.83	DCR|4VULN|3DUR|2TLV	137FEWX|2379VULN|379BPWR|4BEXP|59TLV|679DUR|8RCR|aLWND
16	54263 12221	6	   	273.53	DCR|4VULN|3DUR|2TLV	137DUST|2379VULN|379BPWR|4BEXP|59TLV|679DUR|8RCR|aLHND
17	54263 12222	6	   	273.53	DCR|4VULN|3DUR|2TLV	137DUST|2379VULN|379BPWR|4BEXP|59TLV|679DUR|8RCR|aFEWX
18	54263 12223	6	   	273.43	DCR|4VULN|3DUR|2TLV	137DUST|2379VULN|379BPWR|4BEXP|59TLV|679DUR|8RCR|aMBVNT
19	14234 12223	5	   	270.87	DCR|5VULN|2DUR|1TLV	137FEWX|2379aVULN|379BPWR|4TLV|59DUR|679LHND|8RCR
20	34234 12223	5	   	270.87	DCR|5VULN|2DUR|1TLV	137BEXP|2379aVULN|379BPWR|4TLV|59DUR|679LHND|8RCR
21	54234 12223	5	   	270.57	DCR|5VULN|2DUR|1TLV	137DUST|2379aVULN|379BPWR|4TLV|59DUR|679LHND|8RCR
22	34234 33632	5	   	268.92	DCR|3VULN|2DMG|2DUR|1TLV	139BEXP|23aVULN|3aBPWR|4TLV|5aDUR|6RCR|7RCVC|8aDMG
23	14234 36312	5	   	268.47	DCR|4VULN|2DUR|1TLV|2ASPD	137FEWX|238aVULN|3aBPWR|4TLV|5aDUR|6RCR|9aASPD
24	34221 25632	7	   	267.12	DCR|4VULN|2DMG|2TLV	139BEXP|234aVULN|3aBPWR|5aTLV|6aDMG|7LEGI|8RCR
25	14253 14321	3	 * 	266.93	DCR|5VULN|3DMG	138FEWX|23568VULN|38BPWR|478DMG|9RCR|aDMSP
26	34253 14321	3	   	266.93	DCR|5VULN|3DMG	138BEXP|23568VULN|38BPWR|478DMG|9RCR|aDMSP
27	14253 14322	3	   	266.83	DCR|5VULN|3DMG	138FEWX|23568VULN|38BPWR|478DMG|9RCR|aDUST
28	14253 14323	3	   	266.83	DCR|5VULN|3DMG	138FEWX|23568VULN|38BPWR|478DMG|9RCR|aTBNT
29	34253 14322	3	   	266.83	DCR|5VULN|3DMG	138BEXP|23568VULN|38BPWR|478DMG|9RCR|aDUST
30	34253 14323	3	   	266.83	DCR|5VULN|3DMG	138BEXP|23568VULN|38BPWR|478DMG|9RCR|aTBNT
31	14234 12225	5	   	265.75	DCR|4VULN|3DUR|1TLV	137FEWX|2379VULN|379BPWR|4TLV|59aDUR|679LHND|8RCR
32	34233 12221	6	   	265.75	DCR|4VULN|3DUR|1TLV	137BEXP|2379VULN|379BPWR|4TLV|59FEWX|679DUR|8RCR|aLHND
33	34233 12222	6	   	265.75	DCR|4VULN|3DUR|1TLV	137BEXP|2379VULN|379BPWR|4TLV|59aFEWX|679DUR|8RCR
34	34233 12223	6	   	265.75	DCR|4VULN|3DUR|1TLV	137BEXP|2379VULN|379BPWR|4TLV|59FEWX|679DUR|8RCR|aCGEN
35	34233 12226	6	   	265.75	DCR|4VULN|3DUR|1TLV	137BEXP|2379VULN|379BPWR|4TLV|59FEWX|679DUR|8RCR|aLWND
36	34234 12225	5	   	265.75	DCR|4VULN|3DUR|1TLV	137BEXP|2379VULN|379BPWR|4TLV|59aDUR|679LHND|8RCR
37	54233 12221	6	   	265.45	DCR|4VULN|3DUR|1TLV	137DUST|2379VULN|379BPWR|4TLV|59FEWX|679DUR|8RCR|aLHND
38	54233 12222	6	   	265.45	DCR|4VULN|3DUR|1TLV	137DUST|2379VULN|379BPWR|4TLV|59aFEWX|679DUR|8RCR
39	54233 12223	6	   	265.45	DCR|4VULN|3DUR|1TLV	137DUST|2379VULN|379BPWR|4TLV|59FEWX|679DUR|8RCR|aCGEN
40	54233 12226	6	   	265.45	DCR|4VULN|3DUR|1TLV	137DUST|2379VULN|379BPWR|4TLV|59FEWX|679DUR|8RCR|aLWND
41	14213 12223	5	   	264.36	DCR|5VULN|2TLV|1DUR	137FEWX|2379aVULN|379BPWR|4DUR|59TLV|679LHND|8RCR
42	34213 12223	5	   	264.36	DCR|5VULN|2TLV|1DUR	137BEXP|2379aVULN|379BPWR|4DUR|59TLV|679LHND|8RCR
43	34213 62225	6	   	264.36	DCR|5VULN|2TLV|1DUR	137BEXP|2379aVULN|379BPWR|4DUR|59TLV|679FEWX|8RCR
44	14213 52225	5	   	264.06	DCR|5VULN|2TLV|1DUR	137FEWX|2379aVULN|379BPWR|4DUR|59TLV|679DUST|8RCR
45	34213 52225	5	   	264.06	DCR|5VULN|2TLV|1DUR	137BEXP|2379aVULN|379BPWR|4DUR|59TLV|679DUST|8RCR
46	54213 12223	5	   	264.06	DCR|5VULN|2TLV|1DUR	137DUST|2379aVULN|379BPWR|4DUR|59TLV|679LHND|8RCR
47	14213 32334	5	   	262.66	DCR|3VULN|2TLV|2DUR|1CDMG|1AART	137FEWX|238VULN|37BPWR|47DUR|57TLV|6RCR|9AART|aCDMG
48	14234 32334	5	   	262.66	DCR|3VULN|2TLV|2DUR|1CDMG|1AART	137FEWX|238VULN|37BPWR|47TLV|57DUR|6RCR|9AART|aCDMG
49	34213 32334	5	   	262.66	DCR|3VULN|2TLV|2DUR|1CDMG|1AART	137BEXP|238VULN|37BPWR|47DUR|57TLV|6RCR|9AART|aCDMG
50	34234 32334	5	   	262.66	DCR|3VULN|2TLV|2DUR|1CDMG|1AART	137BEXP|238VULN|37BPWR|47TLV|57DUR|6RCR|9AART|aCDMG
51	34213 33632	5	   	262.42	DCR|3VULN|2DMG|2TLV|1DUR	139BEXP|23aVULN|3aBPWR|4DUR|5aTLV|6RCR|7RCVC|8aDMG
52	34213 53632	7	   	262.42	DCR|3VULN|2DMG|2TLV|1DUR	139BEXP|23aVULN|3aBPWR|4DUR|5aTLV|6aDMG|7RCVC|8RCR
53	54213 32334	5	   	262.36	DCR|3VULN|2TLV|2DUR|1CDMG|1AART	137DUST|238VULN|37BPWR|47DUR|57TLV|6RCR|9AART|aCDMG
54	34221 24321	10	 * 	262.32	DCR|3VULN|2DMG|3TLV|1DUR	138BEXP|234VULN|38BPWR|578TLV|68DMG|9DUR|aRCR
