0	Index      	Bounty	 *	Score 	Summary	Detail	
1	23464 22233	3	 * 	290.53	DCR|5VULN|2DUR|1TLV|1DMG	1ZMB|2467aVULN|34DUR|4BPWR|5TLV|8DMG|9RCR
72	23432 22633	3	   	264.09	DCR|5VULN|1TLV|1DUR	1ZMB|2467aVULN|3DUR|5ASPD|8TLV|9RCR
73	61161 43132	7	   	264.04	DCR|3VULN|2DMG|2TLV|1AART	1AART|2DMSP|37TLV|47DMG|57aVULN|6RCR|7BPWR|8MLV|9ASPD
74	61161 43332	8	   	263.94	DCR|3VULN|2DMG|2TLV|1AART	1AART|2DMSP|37TLV|47DMG|57aVULN|6RCR|7BPWR|8ERES|9ASPD
75	23132 25153	5	   	263.80	DCR|4VULN|2DMG|1DUR|2LIT|1SELL	1aZMB|246aVULN|34LIT|4aBPWR|5DUR|7aDMG|8SELL|9RCR
76	23132 65153	6	   	263.80	DCR|4VULN|2DMG|1DUR|2LIT|1SELL	1aZMB|246aVULN|34LIT|4aBPWR|5DUR|7aDMG|8SELL|9RCR
77	61222 33623	10	   	263.51	DCR|3VULN|3DMG|1TLV|1AART	1AART|2DMSP|3RMIN|479VULN|579BEXP|679DMG|79BPWR|8RCR|aTLV
78	61361 43213	10	   	263.31	DCR|3VULN|3DMG|1TLV|1AART	1AART|2DMSP|37ZMB|478DMG|579VULN|6RCR|7BPWR|aTLV
79	23616 22532	6	   	263.29	DCR|5VULN|1DMG|1DUR|1CDMG	1ZMB|2357aVULN|4DMG|6RCR|8CDMG|9DUR
80	23643 26112	6	   	263.21	DCR|4VULN|1TLV|1DMG|1CDMG	1ZMB|234aVULN|5TLV|6RCR|7DMG|8ASPD|9CDMG
81	23616 22521	6	   	263.21	DCR|4VULN|1TLV|1DMG|1CDMG	1ZMB|2357VULN|4DMG|6RCR|8CDMG|9TLV|aASPD
82	23616 22523	6	   	263.21	DCR|4VULN|1TLV|1DMG|1CDMG	1ZMB|2357VULN|4DMG|6RCR|8CDMG|9TLV|aLIT
83	63232 26623	10	   	263.11	DCR|3VULN|3DMG|1TLV|1AART	1AART|259DUST|3RMIN|459DMG|59BPWR|679VULN|8RCR|aTLV
84	63235 23251	10	   	263.11	DCR|3VULN|3DMG|1TLV|1AART	1AART|27DUST|3RMIN|457DMG|67aVULN|7BPWR|8TLV|9RCR
85	61161 43231	9	   	262.94	DCR|2VULN|3DMG|2TLV|1DUR|1AART	1AART|2DMSP|37TLV|478DMG|57VULN|6RCR|7BPWR|9DUR|aZMB
86	61161 43232	10	   	262.94	DCR|2VULN|3DMG|2TLV|1DUR|1AART	1AART|2DMSP|37TLV|478DMG|57VULN|6RCR|7BPWR|9DUR|aCGEN
87	61161 43233	9	   	262.84	DCR|2VULN|3DMG|2TLV|1DUR|1AART	1AART|2DMSP|37TLV|478DMG|57VULN|6RCR|7BPWR|9DUR|aDUST
88	23462 62233	3	   	262.23	DCR|4VULN|2DUR|1DMG|2ASPD	16ZMB|247aVULN|34DUR|46BPWR|56ASPD|8DMG|9RCR
89	61161 43111	10	   	260.94	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG|1AART	1AART|2DMSP|37TLV|47DMG|57VULN|6RCR|7BPWR|8CDMG|9CGEN|aDUR
90	61161 43122	10	   	260.94	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG|1AART	1AART|2DMSP|37TLV|47DMG|57VULN|6RCR|7BPWR|8CDMG|9LWND|aDUR
91	61161 43131	10	   	260.94	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG|1AART	1AART|2DMSP|37TLV|47DMG|57VULN|6RCR|7BPWR|8CDMG|9MLV|aDUR
92	23431 21622	3	 * 	260.79	DCR|3VULN|3DUR|2TLV	18ZMB|248VULN|35aDUR|6LIT|78TLV|8BPWR|9RCR
93	22133 26662	8	   	260.70	DCR|3VULN|2DUR|1TLV|1DMG|1AART	1ZMB|2AART|35DUR|4DMG|67aVULN|8RCR|9TLV
94	23132 21621	5	   	260.67	DCR|4VULN|2TLV|1DUR|2LIT	18ZMB|2468VULN|34LIT|48BPWR|5DUR|78TLV|9RCR|aDMSP
95	23132 21626	5	   	260.67	DCR|4VULN|2TLV|1DUR|2LIT	18ZMB|2468VULN|34LIT|48BPWR|5DUR|78TLV|9RCR|aCGEN
96	23132 23621	7	   	260.67	DCR|4VULN|2TLV|1DUR|2LIT	18ZMB|2478VULN|34LIT|48BPWR|5DUR|68TLV|9RCR|aDMSP
97	23132 23626	7	   	260.67	DCR|4VULN|2TLV|1DUR|2LIT	18ZMB|2478VULN|34LIT|48BPWR|5DUR|68TLV|9RCR|aCGEN
98	23132 61621	6	   	260.67	DCR|4VULN|2TLV|1DUR|2LIT	18ZMB|2468VULN|34LIT|48BPWR|5DUR|78TLV|9RCR|aDMSP
99	23132 61626	6	   	260.67	DCR|4VULN|2TLV|1DUR|2LIT	18ZMB|2468VULN|34LIT|48BPWR|5DUR|78TLV|9RCR|aCGEN
100	23131 21622	4	   	260.67	DCR|4VULN|2TLV|1DUR|2LIT	18ZMB|2468VULN|34LIT|48BPWR|5BEXP|78TLV|9RCR|aDUR
101	22133 26622	10	   	260.59	DCR|3VULN|2DMG|2DUR|1AART	19ZMB|2AART|35DUR|49DMG|679VULN|8RCR|9BPWR|aASPD
102	23132 21623	5	   	260.57	DCR|4VULN|2TLV|1DUR|2LIT	18ZMB|2468VULN|34LIT|48BPWR|5DUR|78TLV|9RCR|aBBNT
103	23132 23623	7	   	260.57	DCR|4VULN|2TLV|1DUR|2LIT	18ZMB|2478VULN|34LIT|48BPWR|5DUR|68TLV|9RCR|aBBNT
104	23132 61623	6	   	260.57	DCR|4VULN|2TLV|1DUR|2LIT	18ZMB|2468VULN|34LIT|48BPWR|5DUR|78TLV|9RCR|aBBNT
105	23131 21622	5	   	260.57	DCR|4VULN|2TLV|1DUR|2LIT	18ZMB|2468VULN|34LIT|48BPWR|5DUST|78TLV|9RCR|aDUR
106	23131 23622	7	   	260.57	DCR|4VULN|2TLV|1DUR|2LIT	18ZMB|2478VULN|34LIT|48BPWR|5DUST|68TLV|9RCR|aDUR
107	23131 61622	6	   	260.57	DCR|4VULN|2TLV|1DUR|2LIT	18ZMB|2468VULN|34LIT|48BPWR|5DUST|78TLV|9RCR|aDUR
