0	Index      	Bounty	 *	Score 	Summary	Detail	
1	36634 12312	1	 * 	268.82	DCR|3VULN|2DMG|2DUR|1TLV	19FEWX|29DMG|3TLV|457VULN|69DUR|8BELT|9BPWR|aRCR
83	11226 43236	4	   	247.30	DCR|3VULN|3DMG|2CDMG	1RMIN|29CDMG|356DMG|45aVULN|5BPWR|7ZMB|8RCR
84	11226 42236	4	   	247.20	DCR|3VULN|3DMG|2CDMG|1NUKE	1RMIN|29CDMG|356DMG|45aVULN|5BPWR|7NUKE|8RCR
85	11226 41234	4	   	247.17	DCR|2VULN|3DMG|2CDMG|1DUR	1RMIN|29CDMG|356DMG|45VULN|5BPWR|7ASPD|8RCR|aDUR
86	22216 23255	3	 * 	247.05	DCR|4VULN|1TLV|3CDMG|1SELL	1LWND|2569VULN|345CDMG|5BPWR|7SELL|8RCR|aTLV
87	45233 33332	10	 * 	246.89	ACR|2VULN|3DUR|2DMG|3TLV|1CDMG	1RCR|278TLV|38aDUR|4aMLV|5CDMG|68VULN|8aBPWR|9aDMG
88	22621 31632	9	   	246.10	DCR|3VULN|2DMG|1TLV	1LWND|259VULN|36DMG|4FEWX|7TLV|8LIT|aRCR
89	22621 51613	9	   	246.10	DCR|3VULN|2DMG|1TLV	1LWND|256VULN|3aDMG|4FEWX|7TLV|8LIT|9RCR
90	22623 51632	9	   	246.10	DCR|3VULN|2DMG|1TLV	1LWND|269VULN|35DMG|4FEWX|7TLV|8LIT|aRCR
91	22621 31312	7	 * 	246.07	DCR|3VULN|2DMG|2TLV	19LWND|259VULN|36DMG|4FEWX|79TLV|8BELT|9BPWR|aRCR
92	22623 51312	7	   	246.07	DCR|3VULN|2DMG|2TLV	19LWND|269VULN|35DMG|4FEWX|79TLV|8BELT|9BPWR|aRCR
93	43426 32132	4	 * 	245.99	ACR|3VULN|2DMG|2DUR|1TLV|1AART	1RCR|2ERES|35DMG|45DUR|5BPWR|678VULN|9TLV|aAART
94	13516 31135	9	   	245.94	DCR|2VULN|2DUR|1TLV|2ASPD|1CDMG|1AART	1RMIN|27DUR|37ASPD|4CDMG|5FEWX|67VULN|7BPWR|8TLV|9AART|aRCR
95	13421 52362	7	 * 	245.91	DCR|2VULN|3DUR|2DMG|2LIT	1RMIN|249DUR|39DMG|5DUST|6RCR|7aLIT|89VULN|9BPWR
96	13421 52362	6	   	245.91	DCR|2VULN|3DUR|2DMG|2LIT	1RMIN|249DUR|39DMG|5DUST|6RCR|7aLIT|89VULN|9BPWR
97	22334 42113	3	   	245.65	DCR|4VULN|1TLV|1DUR	1LWND|2578VULN|3ASPD|4TLV|6MBVNT|9RCR|aDUR
98	46232 12315	10	 * 	245.62	ACR|3VULN|3DUR|1TLV|1DMG|1CDMG	1RCR|247VULN|3CDMG|568DUR|9DMG|aTLV
99	22611 12261	5	   	245.16	ACR|3VULN|2DMG|1TLV|1DUR|1CDMG|1AART	1LWND|256VULN|36DMG|4RCR|6BPWR|7DUR|8TLV|9AART|aCDMG
100	22611 12412	5	   	245.16	ACR|3VULN|2DMG|1TLV|1DUR|1CDMG|1AART	1LWND|256VULN|36DMG|4RCR|6BPWR|7DUR|8AART|9CDMG|aTLV
101	22611 13652	5	   	245.16	ACR|3VULN|2DMG|1TLV|1DUR|1CDMG|1AART	1LWND|256VULN|36DMG|4RCR|6BPWR|7CDMG|8AART|9DUR|aTLV
102	43412 31121	9	   	245.06	ACR|3VULN|2DMG|1TLV|1DUR|1CDMG|1AART	1RCR|27ERES|37DMG|4CDMG|5DUR|67aVULN|7BPWR|8TLV|9AART
103	22611 11135	5	 * 	244.99	ACR|5VULN|2DMG|1TLV	1LWND|2568aVULN|36DMG|4RCR|6BPWR|7CGEN|9TLV
104	45223 33512	9	 * 	244.89	ACR|3VULN|2TLV|2DUR|1DMG|1AART	1RCR|28TLV|38DUR|4LIT|5ERES|68aVULN|7AART|8BPWR|9DMG
105	22611 51126	7	   	244.89	ACR|5VULN|2DMG|1TLV	1LWND|25689VULN|3aDMG|4RCR|7TLV
106	22236 11131	10	   	244.82	DCR|3VULN|2DUR|1TLV|1CDMG	17LWND|247VULN|3CDMG|5FEWX|67DUR|7BPWR|8TLV|9RCR|aCGEN
107	22236 11134	9	   	244.82	DCR|3VULN|2DUR|1TLV|1CDMG	17LWND|247VULN|3CDMG|5FEWX|67DUR|7BPWR|8TLV|9RCR|aRCVC
108	22236 11136	9	   	244.82	DCR|3VULN|2DUR|1TLV|1CDMG	17LWND|247VULN|3CDMG|5FEWX|67DUR|7BPWR|8TLV|9RCR|aCGEN
109	22226 11134	10	   	244.82	DCR|3VULN|2DUR|1TLV|1CDMG	17LWND|27aVULN|3CDMG|4RCVC|5FEWX|67DUR|7BPWR|8TLV|9RCR
110	53316 31134	10	   	244.82	DCR|3VULN|2DUR|1TLV|1CDMG	17LHND|2DMSP|37DUR|4CDMG|5FEWX|67aVULN|7BPWR|8TLV|9RCR
111	11222 32134	7	 * 	244.80	DCR|3VULN|2DUR|1DMG|2CDMG	1RMIN|28CDMG|3DMG|467VULN|59DUR|aRCR
112	22611 12336	5	   	244.74	ACR|3VULN|2DMG|2DUR|1TLV	1LWND|256VULN|36DMG|4RCR|6BPWR|79DUR|8ASPD|aTLV
113	22236 11133	9	   	244.72	DCR|3VULN|2DUR|1TLV|1CDMG	17LWND|247VULN|3CDMG|5FEWX|67DUR|7BPWR|8TLV|9RCR|aERES
114	22236 11135	9	   	244.72	DCR|3VULN|2DUR|1TLV|1CDMG	17LWND|247VULN|3CDMG|5FEWX|67DUR|7BPWR|8TLV|9RCR|aBBNT
115	33222 31134	10	   	244.72	DCR|3VULN|2DUR|1TLV|1CDMG	17FEWX|2LEGI|3CDMG|4RCVC|57DUR|67aVULN|7BPWR|8TLV|9RCR
116	13251 22116	7	   	244.62	DCR|3VULN|2DUR|1TLV|1CDMG	1RMIN|23DUR|468VULN|5RPLT|7CDMG|9RCR|aTLV
117	13251 23116	6	   	244.62	DCR|3VULN|2DUR|1TLV|1CDMG	1RMIN|23DUR|468VULN|5RPLT|7CDMG|9RCR|aTLV
118	22236 26132	10	   	244.62	DCR|3VULN|2DUR|1TLV|1CDMG	1LWND|246VULN|3CDMG|5FEWX|7aDUR|8TLV|9RCR
119	22236 15134	10	   	244.62	DCR|3VULN|2DUR|1TLV|1CDMG	1LWND|24aVULN|3CDMG|5FEWX|67DUR|8TLV|9RCR
120	32353 62312	1	   	244.58	DCR|3VULN|2DUR|1TLV|1CDMG|1SELL	19FEWX|29DUR|3TLV|4CDMG|5SELL|679VULN|8BELT|9BPWR|aRCR
121	22634 43113	3	   	244.43	DCR|3VULN|2TLV|1DMG|1DUR	1LWND|258VULN|3DMG|47TLV|6MBVNT|9RCR|aDUR
122	45312 31153	8	   	244.19	ACR|3VULN|3TLV|2DUR|3ASPD|1CDMG	1RCR|278TLV|379ASPD|4CDMG|59DUR|679VULN|79BPWR|aDUST
123	36636 12312	1	   	244.13	DCR|2VULN|2DMG|2DUR|1TLV	19FEWX|29DMG|3TLV|47VULN|5RCVC|69DUR|8BELT|9BPWR|aRCR
124	11226 11135	9	 * 	243.90	DCR|1VULN|2DMG|2DUR|1TLV|2CDMG|1AART	1RMIN|27CDMG|37DMG|4VULN|5FEWX|67DUR|7BPWR|8TLV|9AART|aRCR
125	43412 31126	8	   	243.70	ACR|3VULN|2DMG|1TLV|1DUR|1CDMG	1RCR|27ERES|37DMG|4CDMG|5DUR|679VULN|7BPWR|8TLV|aASPD
126	45412 31333	10	   	243.68	ACR|3VULN|2DMG|2TLV|1DUR|1CDMG	1RCR|27TLV|37DMG|4CDMG|5DUR|67aVULN|7BPWR|8MLV|9RMIN
127	22611 51124	7	   	243.55	ACR|5VULN|1TLV|1DMG|1DUR	1LWND|25689VULN|3DMG|4RCR|7TLV|aDUR
128	42615 21121	9	   	243.53	ACR|3VULN|2DMG|1TLV|2CDMG|1AART	1RCR|2LEGI|37CDMG|4ASPD|57DMG|67aVULN|7BPWR|8TLV|9AART
129	41232 31351	8	 * 	243.52	ACR|3VULN|3DUR|2DMG|2CDMG	1RCR|27CDMG|37DMG|4ZMB|589DUR|67aVULN|7BPWR
130	41232 31551	7	   	243.52	ACR|3VULN|3DUR|2DMG|2CDMG	1RCR|27CDMG|37DMG|4ZMB|589DUR|67aVULN|7BPWR
131	46134 12123	2	   	243.45	ACR|5VULN|1TLV|1DMG|1DUR	1RCR|25789VULN|3ERES|4TLV|6DUR|aDMG
132	22432 35341	2	   	243.38	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1LWND|28VULN|3DUR|4DMG|5AART|6RCR|7LIT|9CDMG|aTLV
133	46216 22212	3	 * 	243.37	ACR|4VULN|1TLV|3CDMG|1DMG	1RCR|2567VULN|345CDMG|5BPWR|8DMG|9TLV|aLIT
134	46232 41121	9	   	243.24	ACR|4VULN|2DUR|1TLV|1CDMG|1AART	1RCR|247aVULN|3CDMG|57DUR|67LWND|7BPWR|8TLV|9AART
135	46236 11131	9	   	243.24	ACR|4VULN|2DUR|1TLV|1CDMG|1AART	1RCR|247aVULN|3CDMG|57FEWX|67DUR|7BPWR|8TLV|9AART
136	45412 31323	10	   	243.23	ACR|2VULN|2DMG|2TLV|2DUR|1CDMG|1AART	1RCR|27TLV|37DMG|4CDMG|5aDUR|67VULN|7BPWR|8MLV|9AART
137	22152 62114	6	   	243.15	DCR|4VULN|1TLV|1CDMG	1LWND|2678VULN|3RPLT|4TLV|5CDMG|9RCR|aLIT
138	22152 62124	6	   	243.15	DCR|4VULN|1TLV|1CDMG	1LWND|2678VULN|3RPLT|4TLV|5CDMG|9LIT|aRCR
139	22254 11633	7	   	243.02	DCR|2VULN|3DUR|1TLV|1CDMG|1AART	17LWND|27VULN|3CDMG|4RMIN|5TLV|67aDUR|7BPWR|8RCR|9AART
140	36623 32332	1	   	243.00	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1FEWX|24DMG|3TLV|5DUR|67VULN|8BELT|9RCR|aCDMG
141	22351 61613	9	   	242.96	DCR|2VULN|2DUR|1TLV|1DMG	1LWND|25VULN|3ASPD|46DUR|7TLV|8LIT|9RCR|aDMG
142	11236 21125	9	   	242.92	DCR|2VULN|2DMG|1TLV|2CDMG|1AART	1RMIN|27CDMG|37DMG|4LHND|5FEWX|67VULN|7BPWR|8TLV|9AART|aRCR
143	22152 62116	6	   	242.92	DCR|4VULN|2TLV|1CDMG	1LWND|2678VULN|3RPLT|4aTLV|5CDMG|9RCR
144	22611 12231	5	   	242.90	ACR|4VULN|2DMG|1TLV|1DUR	1LWND|256aVULN|36DMG|4RCR|6BPWR|7DUR|8TLV|9BEXP
145	13614 32522	9	   	242.83	DCR|2VULN|2TLV|2DUR|1DMG	1RMIN|26DUR|3LIT|4MLV|56TLV|6BPWR|78VULN|9DMG|aRCR
146	11214 21135	9	   	242.82	DCR|2VULN|2DMG|1TLV|2CDMG|1AART	1RMIN|27CDMG|37DMG|4DUST|5BEXP|67VULN|7BPWR|8TLV|9AART|aRCR
147	11216 21135	9	   	242.82	DCR|2VULN|2DMG|1TLV|2CDMG|1AART	1RMIN|27CDMG|37DMG|4DUST|5FEWX|67VULN|7BPWR|8TLV|9AART|aRCR
148	45423 32121	3	   	242.80	ACR|4VULN|2DMG|1TLV|1DUR	1RCR|2TLV|34DMG|5DUR|6789VULN|aCGEN
149	45423 32123	3	   	242.80	ACR|4VULN|2DMG|1TLV|1DUR	1RCR|2TLV|34DMG|5DUR|6789VULN|aLWND
150	22432 35112	2	   	242.74	DCR|3VULN|1DMG|2AART|1DUR|2LIT	18LWND|28aVULN|3DUR|4DMG|59AART|6RCR|78LIT|8BPWR
151	22652 35112	4	   	242.74	DCR|3VULN|1DMG|2AART|1DUR|2LIT	18LWND|28aVULN|3DMG|4DUR|59AART|6RCR|78LIT|8BPWR
152	36132 51632	1	   	242.73	DCR|2VULN|2TLV|2DUR|1DMG	1FEWX|2DMG|3LIT|49VULN|57DUR|68TLV|aRCR
153	45423 32122	3	   	242.70	ACR|4VULN|2DMG|1TLV|1DUR	1RCR|2TLV|34DMG|5DUR|6789VULN|aERES
154	36334 12312	1	   	242.62	DCR|3VULN|2DMG|2DUR	19FEWX|29DMG|3CGEN|457VULN|69DUR|8BELT|9BPWR|aRCR
155	13253 34548	5	   	242.61	DCR|3VULN|3DUR|2LIT|1AART	1RMIN|238DUR|489VULN|5AART|6MBVNT|78LIT|8BPWR|aRCR
156	13262 34548	6	   	242.61	DCR|3VULN|3DUR|2LIT|1AART	1RMIN|238DUR|4AART|5MBVNT|689VULN|78LIT|8BPWR|aRCR
157	13131 33125	2	 * 	242.54	DCR|2VULN|3DUR|2TLV|2LIT	1RMIN|257DUR|36LIT|46TLV|6BPWR|8aVULN|9RCR
158	13631 33125	3	   	242.54	DCR|2VULN|3DUR|2TLV|2LIT	1RMIN|257DUR|36LIT|46TLV|6BPWR|8aVULN|9RCR
159	22152 26253	6	   	242.16	DCR|3VULN|1TLV|1DMG|1CDMG	1LWND|289VULN|3RPLT|4TLV|5CDMG|6LIT|7RCR|aDMG
160	22323 42136	6	   	242.16	DCR|3VULN|1TLV|1DMG|1CDMG	1LWND|28aVULN|3ASPD|4FEWX|5DMG|6CDMG|7TLV|9RCR
161	22323 43136	7	   	242.16	DCR|3VULN|1TLV|1DMG|1CDMG	1LWND|28aVULN|3ASPD|4FEWX|5DMG|6CDMG|7TLV|9RCR
162	22323 46136	8	   	242.16	DCR|3VULN|1TLV|1DMG|1CDMG	1LWND|27aVULN|3ASPD|4FEWX|5DMG|6CDMG|8TLV|9RCR
163	24215 22136	6	   	242.16	DCR|3VULN|1TLV|1DMG|1CDMG	1LWND|2FEWX|3CDMG|4ASPD|5DMG|68aVULN|7TLV|9RCR
164	24215 23136	7	   	242.16	DCR|3VULN|1TLV|1DMG|1CDMG	1LWND|2FEWX|3CDMG|4ASPD|5DMG|68aVULN|7TLV|9RCR
