0	Index      	Bounty	 *	Score 	Summary	Detail	
1	13243 42261	9	 * 	305.94	DCR|4VULN|3DMG|3AART|2ASPD	139AART|257aVULN|47aDMG|6RCR|7aBPWR|8aASPD
24	11142 25326	3	   	287.32	DCR|4VULN|3DUR|2LIT|1ASPD	1AART|27LIT|3679VULN|457DUR|7BPWR|8ASPD|aRCR
25	11242 25326	2	   	287.32	DCR|4VULN|3DUR|2LIT|1ASPD	1AART|27LIT|3679VULN|457DUR|7BPWR|8ASPD|aRCR
26	12242 25326	1	   	287.32	DCR|4VULN|3DUR|2LIT|1ASPD	1AART|27LIT|3679VULN|457DUR|7BPWR|8ASPD|aRCR
27	13211 61631	5	 * 	286.67	DCR|3VULN|3DMG|3ASPD|2AART	13AART|27aVULN|47aASPD|57aDMG|6MBVNT|7aBPWR|8RCR|9RPLT
28	13521 61631	5	   	286.67	DCR|3VULN|3DMG|3ASPD|2AART	14AART|27aVULN|37aASPD|57aDMG|6MBVNT|7aBPWR|8RCR|9RPLT
29	13211 61621	5	   	286.57	DCR|3VULN|3DMG|3ASPD|2AART	13AART|27aVULN|47aASPD|57aDMG|6MBVNT|7aBPWR|8RCR|9DLOT
30	13521 61621	5	   	286.57	DCR|3VULN|3DMG|3ASPD|2AART	14AART|27aVULN|37aASPD|57aDMG|6MBVNT|7aBPWR|8RCR|9DLOT
31	13243 42142	7	 * 	286.57	DCR|3VULN|3DMG|2DUR|2AART	13AART|257VULN|479DMG|6RCR|7BPWR|8aDUR
32	13663 31236	5	 * 	286.09	DCR|4VULN|2DMG|2DUR	1AART|2679VULN|39DUR|47ZMB|57DMG|79BPWR|89LHND|aRCR
33	13532 63153	8	   	286.02	DCR|4VULN|2DMG|2CDMG|1ASPD	1AART|279aVULN|3ASPD|49CDMG|59DMG|6RCVC|8RCR|9BPWR
34	13662 11236	7	   	285.89	DCR|4VULN|2DMG|2DUR	1AART|2679VULN|39DUR|4ZMB|5LWND|89DMG|9BPWR|aRCR
35	33243 83211	3	   	285.79	DCR|4VULN|2DMG|2DUR	1RPLT|259aVULN|3MBVNT|49DUR|6RCR|79DMG|8AART|9BPWR
36	33272 83211	3	   	285.79	DCR|4VULN|2DMG|2DUR	1RPLT|249aVULN|3MBVNT|59DUR|6RCR|79DMG|8AART|9BPWR
37	31373 83211	1	   	285.79	DCR|4VULN|2DMG|2DUR	1RPLT|2MBVNT|39DUR|459aVULN|6RCR|79DMG|8AART|9BPWR
38	13243 42323	9	   	285.12	DCR|4VULN|2DMG|3AART|1TLV	139AART|2578VULN|47DMG|6RCR|7BPWR|aTLV
39	13243 45132	7	   	282.79	DCR|4VULN|2DMG|2CDMG|2AART	13AART|2589VULN|49DMG|6RCR|79CDMG|9BPWR|aLWND
40	34613 52322	1	   	282.75	DCR|4VULN|2DMG|2ASPD|1DUR	1RPLT|29DMG|3DUR|4TBNT|5679VULN|89ASPD|9BPWR|aRCR
41	13243 45131	7	   	282.69	DCR|4VULN|2DMG|2CDMG|2AART	13AART|2589VULN|49DMG|6RCR|79CDMG|9BPWR|aDUST
42	33365 35321	3	 * 	282.56	DCR|3VULN|3DMG|3DUR	1RPLT|269VULN|389DMG|49BEXP|567DUR|69BPWR|aRCR
43	33365 35321	4	   	282.56	DCR|3VULN|3DMG|3DUR	1RPLT|269VULN|389DMG|49BEXP|567DUR|69BPWR|aRCR
44	33366 35321	5	   	282.56	DCR|3VULN|3DMG|3DUR	1RPLT|269VULN|389DMG|49BEXP|567DUR|69BPWR|aRCR
45	13243 42322	10	   	282.52	DCR|4VULN|2DMG|3AART|1CDMG	139AART|2578VULN|47DMG|6RCR|7BPWR|aCDMG
46	33345 35321	4	   	282.36	DCR|3VULN|3DMG|3DUR	1RPLT|269VULN|389DMG|49DUST|567DUR|69BPWR|aRCR
47	33346 35321	5	   	282.36	DCR|3VULN|3DMG|3DUR	1RPLT|269VULN|389DMG|49DUST|567DUR|69BPWR|aRCR
48	33346 61221	8	   	282.36	DCR|3VULN|3DMG|3DUR	1RPLT|269VULN|379DMG|49DUST|568DUR|69BPWR|aRCR
49	13243 12351	8	   	282.36	DCR|5VULN|2DMG|2AART	13AART|25789VULN|47DMG|67FEWX|7BPWR|aRCR
50	13243 42341	10	   	282.26	DCR|5VULN|2DMG|2AART	13AART|2578aVULN|47DMG|6RCR|7BPWR|9CGEN
51	13243 42351	8	   	282.26	DCR|5VULN|2DMG|2AART	13AART|25789VULN|47DMG|6RCR|7BPWR|aRMIN
52	13243 42421	10	   	282.26	DCR|5VULN|2DMG|2AART	13AART|2579aVULN|47DMG|6RCR|7BPWR|8CGEN
53	13243 42521	10	   	282.16	DCR|5VULN|2DMG|2AART	13AART|2579aVULN|47DMG|6RCR|7BPWR|8ERES
54	13243 32351	8	   	282.16	DCR|5VULN|2DMG|2AART	13AART|25789VULN|47DMG|6LEGI|7BPWR|aRCR
55	13563 21226	6	   	281.71	DCR|4VULN|3DMG|1ASPD	1AART|2678VULN|3ASPD|47BEXP|567DMG|67BPWR|9TBNT|aRCR
56	13611 65133	4	   	281.42	DCR|4VULN|3DUR|2CDMG	1AART|2789VULN|369DUR|49CDMG|5RMIN|9BPWR|aRCR
57	13613 12133	6	   	281.42	DCR|4VULN|3DUR|2CDMG	1AART|2589VULN|369DUR|49CDMG|7RMIN|9BPWR|aRCR
58	13243 42222	8	   	280.98	DCR|3VULN|2DMG|2AART|1DUR|1CDMG|1ASPD	13AART|257VULN|47DMG|6RCR|7BPWR|8ASPD|9DUR|aCDMG
59	13243 42252	9	   	280.98	DCR|3VULN|2DMG|2AART|1DUR|1CDMG|1ASPD	13AART|257VULN|47DMG|6RCR|7BPWR|8ASPD|9DUR|aCDMG
60	13532 63152	8	   	279.63	DCR|3VULN|2DMG|2CDMG|1DUR|1ASPD	1AART|279VULN|3ASPD|49CDMG|59DMG|6RCVC|8RCR|9BPWR|aDUR
61	13243 42313	10	   	278.97	DCR|4VULN|2DMG|2AART|1TLV	13AART|2578VULN|47DMG|6RCR|7BPWR|9LWND|aTLV
62	13243 42321	8	   	278.97	DCR|4VULN|2DMG|2AART|1DUR	13AART|2578VULN|47DMG|6RCR|7BPWR|9DUR|aCGEN
63	13243 42322	8	   	278.97	DCR|4VULN|2DMG|2AART|1DUR	13AART|2578VULN|47DMG|6RCR|7BPWR|9DUR|aFEWX
64	13243 42324	8	   	278.97	DCR|4VULN|2DMG|2AART|1DUR	13AART|2578VULN|47DMG|6RCR|7BPWR|9DUR|aRCVC
65	13243 42326	8	   	278.97	DCR|4VULN|2DMG|2AART|1DUR	13AART|2578VULN|47DMG|6RCR|7BPWR|9DUR|aBELT
66	13243 42333	10	   	278.97	DCR|4VULN|2DMG|2AART|1TLV	13AART|2578VULN|47DMG|6RCR|7BPWR|9FEWX|aTLV
67	13243 42334	9	   	278.97	DCR|4VULN|2DMG|2AART|1DUR	13AART|2578VULN|47DMG|6RCR|7BPWR|9FEWX|aDUR
68	13243 42342	8	   	278.97	DCR|4VULN|2DMG|2AART|1TLV	13AART|2578VULN|47DMG|6RCR|7BPWR|9TLV|aFEWX
69	13243 42343	8	   	278.97	DCR|4VULN|2DMG|2AART|1TLV	13AART|2578VULN|47DMG|6RCR|7BPWR|9TLV|aBEXP
70	13243 42362	9	   	278.97	DCR|4VULN|2DMG|2AART|1TLV	13AART|2578VULN|47DMG|6RCR|7BPWR|9TLV|aFEWX
71	13243 42363	9	   	278.97	DCR|4VULN|2DMG|2AART|1TLV	13AART|2578VULN|47DMG|6RCR|7BPWR|9TLV|aBEXP
72	13243 42313	8	   	278.87	DCR|4VULN|2DMG|2AART|1TLV	13AART|2578VULN|47DMG|6RCR|7BPWR|9BBNT|aTLV
73	13243 42323	8	   	278.87	DCR|4VULN|2DMG|2AART|1DUR	13AART|2578VULN|47DMG|6RCR|7BPWR|9DUR|aTBNT
74	13243 42423	7	   	278.87	DCR|4VULN|2DMG|2AART|1TLV	13AART|2579VULN|47DMG|6RCR|7BPWR|8BBNT|aTLV
75	13243 44223	6	   	278.87	DCR|4VULN|2DMG|2AART|1TLV	13AART|2589VULN|48DMG|6RCR|7TBNT|8BPWR|aTLV
76	13243 45223	6	   	278.87	DCR|4VULN|2DMG|2AART|1TLV	13AART|2589VULN|48DMG|6RCR|7BBNT|8BPWR|aTLV
77	13243 24325	10	   	278.68	DCR|4VULN|3DMG|2AART	13AART|259aVULN|49aDMG|69aCGEN|7BELT|8RCR|9aBPWR
78	13241 42211	7	   	278.38	DCR|4VULN|3DMG|2AART	13AART|279aVULN|457DMG|6RCR|79BPWR|8RPLT
79	13243 42341	9	   	278.38	DCR|4VULN|3DMG|2AART	13AART|2578VULN|47aDMG|6RCR|7BPWR|9CGEN
80	13243 42421	9	   	278.38	DCR|4VULN|3DMG|2AART	13AART|2579VULN|47aDMG|6RCR|7BPWR|8CGEN
81	13243 42521	9	   	278.28	DCR|4VULN|3DMG|2AART	13AART|2579VULN|47aDMG|6RCR|7BPWR|8ERES
82	13532 16351	8	   	278.17	DCR|2VULN|2DUR|2ASPD|1DMG|1TLV|1CDMG	1AART|27VULN|37ASPD|4CDMG|5DMG|67DUR|7BPWR|8TLV|9LIT|aRCR
83	13241 42134	8	   	278.13	DCR|3VULN|3DMG|3AART|1TLV	138AART|279VULN|457DMG|6RCR|7BPWR|aTLV
84	63742 38111	9	 * 	278.08	DCR|5VULN|2DUR|2CDMG	1aZMB|2MBVNT|36CDMG|4567aVULN|6aBPWR|8aDUR|9RCR
85	13245 35331	6	   	277.68	DCR|4VULN|2DMG|2AART|2LIT	13AART|278aVULN|47DMG|57LIT|6RMIN|7BPWR|9RCR
86	13211 61618	5	   	277.54	DCR|3VULN|2DMG|2ASPD|2AART|1DUR	13AART|27aVULN|47ASPD|57DMG|6MBVNT|7BPWR|8RCR|9DUR
87	13211 61754	5	   	277.54	DCR|3VULN|2DMG|2ASPD|2AART|1TLV	13AART|278VULN|47ASPD|57DMG|6MBVNT|7BPWR|9RCR|aTLV
88	13211 21221	6	   	277.15	DCR|3VULN|3DMG|2ASPD|2AART	13AART|27aVULN|47ASPD|57aDMG|6RCR|7aBPWR|8aLHND|9DLOT
89	13211 21321	6	   	277.15	DCR|3VULN|3DMG|2ASPD|2AART	13AART|27aVULN|47ASPD|57aDMG|6RCR|7aBPWR|8aBEXP|9DLOT
90	13521 21221	6	   	277.15	DCR|3VULN|3DMG|2ASPD|2AART	14AART|27aVULN|37ASPD|57aDMG|6RCR|7aBPWR|8aLHND|9DLOT
91	13521 21321	6	   	277.15	DCR|3VULN|3DMG|2ASPD|2AART	14AART|27aVULN|37ASPD|57aDMG|6RCR|7aBPWR|8aBEXP|9DLOT
92	13211 21121	6	   	276.95	DCR|3VULN|3DMG|2ASPD|2AART	13AART|27aVULN|47ASPD|57aDMG|6RCR|7aBPWR|8aDUST|9DLOT
93	13521 21121	6	   	276.95	DCR|3VULN|3DMG|2ASPD|2AART	14AART|27aVULN|37ASPD|57aDMG|6RCR|7aBPWR|8aDUST|9DLOT
94	13653 31226	5	   	276.89	DCR|3VULN|2DMG|2DUR|1CDMG	1AART|267VULN|37DUR|4RMIN|57DMG|7BPWR|8LHND|9CDMG|aRCR
95	13652 16221	8	   	276.89	DCR|3VULN|2DMG|2DUR|1CDMG	1AART|26aVULN|3aDUR|4RMIN|5LWND|7CDMG|8RCR|9aDMG|aBPWR
96	33243 83215	3	   	276.79	DCR|3VULN|2DMG|2DUR|1CDMG	1RPLT|259VULN|3MBVNT|49DUR|6RCR|79DMG|8AART|9BPWR|aCDMG
97	33272 83215	3	   	276.79	DCR|3VULN|2DMG|2DUR|1CDMG	1RPLT|249VULN|3MBVNT|59DUR|6RCR|79DMG|8AART|9BPWR|aCDMG
98	31373 83215	1	   	276.79	DCR|3VULN|2DMG|2DUR|1CDMG	1RPLT|2MBVNT|39DUR|459VULN|6RCR|79DMG|8AART|9BPWR|aCDMG
99	13662 63111	3	   	276.47	DCR|3VULN|3DUR|2DMG	1AART|28aVULN|389DUR|4ZMB|5LWND|6RCR|78DMG|8BPWR
100	13662 63111	4	   	276.47	DCR|3VULN|3DUR|2DMG	1AART|28aVULN|389DUR|4ZMB|5LWND|6RCR|78DMG|8BPWR
101	13662 63111	5	   	276.47	DCR|3VULN|3DUR|2DMG	1AART|28aVULN|389DUR|4ZMB|5LWND|6RCR|78DMG|8BPWR
102	13243 42315	9	   	276.37	DCR|4VULN|2DMG|2AART|1CDMG	13AART|2578VULN|47DMG|6RCR|7BPWR|9LWND|aCDMG
103	31373 83216	1	   	276.37	DCR|3VULN|3DUR|2DMG	1RPLT|2MBVNT|39aDUR|459VULN|6RCR|79DMG|8AART|9BPWR
104	33243 83216	3	   	276.37	DCR|3VULN|3DUR|2DMG	1RPLT|259VULN|3MBVNT|49aDUR|6RCR|79DMG|8AART|9BPWR
105	33272 83216	3	   	276.37	DCR|3VULN|3DUR|2DMG	1RPLT|249VULN|3MBVNT|59aDUR|6RCR|79DMG|8AART|9BPWR
106	13243 42335	8	   	276.27	DCR|4VULN|2DMG|2AART|1CDMG	13AART|2578VULN|47DMG|6RCR|7BPWR|9LEGI|aCDMG
