0	Index      	Bounty	 *	Score 	Summary	Detail	
1	32242 14153	3	 * 	272.81	DCR|4VULN|3DUR|2ASPD	149ERES|2aASPD|389aVULN|5MBVNT|69aDUR|7RCR|9aBPWR
15	33513 34243	7	   	258.27	DCR|3VULN|3DMG|2CDMG	159ERES|2RMIN|3RPLT|4aCDMG|6RCR|79aVULN|89aDMG|9aBPWR
16	32212 55621	10	 * 	258.05	DCR|5VULN|2TLV|1ASPD	19ERES|2ASPD|34689VULN|5RMIN|79TLV|9BPWR|aRCR
17	32212 55622	9	   	258.05	DCR|5VULN|2TLV|1ASPD	19ERES|2ASPD|34689VULN|5RMIN|79TLV|9BPWR|aRCR
18	13236 62113	4	 * 	257.64	DCR|2VULN|2DMG|2DUR|2CDMG|1ASPD	1BEXP|2aCDMG|3CGEN|47DUR|5aVULN|6RCR|8ASPD|9aDMG|aBPWR
19	32212 14153	4	   	257.58	DCR|4VULN|2DUR|1ASPD	19ERES|2ASPD|3489VULN|5MBVNT|69DUR|7RCR|9BPWR|aLIT
20	13322 22445	2	   	257.42	DCR|3VULN|1DMG|2CDMG|1TLV|1DUR	1BEXP|25CDMG|358VULN|4TBNT|5BPWR|6RCR|7DUR|9TLV|aDMG
21	32222 14616	7	   	256.46	DCR|3VULN|2DUR|1DMG|1ASPD|1AART	18ERES|2ASPD|378VULN|4AART|58DUR|6RCR|8BPWR|9LWND|aDMG
22	32222 14631	7	   	256.46	DCR|3VULN|2DUR|1DMG|1ASPD|1AART	18ERES|2ASPD|378VULN|4AART|58DUR|6RCR|8BPWR|9DMG|aMLV
23	32222 14632	7	   	256.46	DCR|3VULN|2DUR|1DMG|1ASPD|1AART	18ERES|2ASPD|378VULN|4AART|58DUR|6RCR|8BPWR|9DMG|aZMB
24	32222 14633	7	   	256.36	DCR|3VULN|2DUR|1DMG|1ASPD|1AART	18ERES|2ASPD|378VULN|4AART|58DUR|6RCR|8BPWR|9DMG|aBBNT
25	32222 14636	7	   	256.36	DCR|3VULN|2DUR|1DMG|1ASPD|1AART	18aERES|2ASPD|378VULN|4AART|58DUR|6RCR|8BPWR|9DMG
26	32223 33161	5	   	255.43	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD|1AART	1ERES|2ASPD|356VULN|4AART|7DUR|8CDMG|9RCR|aDMG
27	32223 33161	6	   	255.43	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD|1AART	1ERES|2ASPD|356VULN|4AART|7DUR|8CDMG|9RCR|aDMG
28	13353 43163	2	   	255.29	DCR|3VULN|2DUR|1TLV|1CDMG|1AART	1BEXP|2CDMG|367VULN|45DUR|8AART|9RCR|aTLV
29	23353 43163	2	   	255.29	DCR|3VULN|2DUR|1TLV|1CDMG|1AART	1FEWX|2CDMG|367VULN|45DUR|8AART|9RCR|aTLV
30	32216 15121	7	 * 	254.76	DCR|4VULN|1DMG|1TLV|1ASPD	1ERES|2ASPD|345aVULN|6CGEN|7TLV|8DMG|9RCR
31	32216 22121	5	   	254.76	DCR|4VULN|1DMG|1TLV|1ASPD	1ERES|2ASPD|345aVULN|6TLV|7MLV|8DMG|9RCR
32	33212 14151	4	   	254.52	DCR|4VULN|2DUR|1TLV	19ERES|2RMIN|3489VULN|5MBVNT|69DUR|7RCR|9BPWR|aTLV
33	62215 26113	9	   	253.31	DCR|4VULN|2ASPD|1TLV	1aDUST|2LWND|359aVULN|4LIT|6TLV|7RCR|8aASPD|aBPWR
34	52124 23322	7	   	252.59	DCR|2VULN|2DMG|2DUR|1TLV|1AART	1RCVC|2RMIN|3BELT|4AART|59VULN|69DUR|79DMG|8RCR|9BPWR|aTLV
35	32222 14562	7	   	252.55	DCR|3VULN|2DUR|1TLV|1ASPD|1AART	1ERES|2ASPD|379VULN|4AART|5aDUR|6RCR|8TLV
36	32222 14561	7	 * 	251.98	DCR|3VULN|2ASPD|2TLV|1DUR|1AART	1aERES|2aASPD|379VULN|4AART|5DUR|6RCR|8aTLV|aBPWR
37	12562 22421	1	   	251.95	DCR|3VULN|2DUR|2CDMG|1TLV	1BEXP|258VULN|3TBNT|45CDMG|5BPWR|6RCR|79DUR|aTLV
38	13322 22421	2	   	251.95	DCR|3VULN|2DUR|2CDMG|1TLV	1BEXP|25CDMG|358VULN|4TBNT|5BPWR|6RCR|79DUR|aTLV
39	23322 62421	2	   	251.95	DCR|3VULN|2DUR|2CDMG|1TLV	1FEWX|25CDMG|358VULN|4TBNT|5BPWR|6RCR|79DUR|aTLV
40	63322 62421	2	   	251.85	DCR|3VULN|2DUR|2CDMG|1TLV	1DUST|25CDMG|358VULN|4TBNT|5BPWR|6RCR|79DUR|aTLV
41	32216 52221	7	   	251.63	DCR|5VULN|1CDMG|1ASPD	1ERES|2ASPD|3459aVULN|6RPLT|7CDMG|8RCR
42	32266 62221	7	   	251.63	DCR|5VULN|1CDMG|1ASPD	1ERES|2ASPD|3569aVULN|4RPLT|7CDMG|8RCR
43	32223 33163	6	   	251.61	DCR|3VULN|1TLV|1DUR|1CDMG|1ASPD|1AART	1ERES|2ASPD|356VULN|4AART|7DUR|8CDMG|9RCR|aTLV
44	32223 33163	5	   	251.61	DCR|3VULN|1TLV|1DUR|1CDMG|1ASPD|1AART	1ERES|2ASPD|356VULN|4AART|7DUR|8CDMG|9RCR|aTLV
45	33242 14153	3	   	251.50	DCR|4VULN|3DUR	149ERES|2RMIN|389aVULN|5MBVNT|69aDUR|7RCR|9aBPWR
46	34331 62113	3	   	251.23	DCR|2VULN|2DMG|2DUR|1CDMG|1ASPD	1ERES|2aVULN|34DUR|5CDMG|6RCR|7aLHND|8ASPD|9aDMG|aBPWR
47	32222 14635	6	   	251.08	DCR|2VULN|3DUR|1DMG|1ASPD|1AART	18ERES|2ASPD|38VULN|4AART|578DUR|6RCR|8BPWR|9DMG|aLIT
48	32213 41421	4	   	250.94	DCR|4VULN|1DUR|1TLV|1ASPD	1ERES|2ASPD|346aVULN|5DUR|7LHND|8TLV|9RCR
49	32213 46621	4	   	250.94	DCR|4VULN|1DUR|1TLV|1ASPD	1ERES|2ASPD|346aVULN|5DUR|7TLV|8LHND|9RCR
50	32216 56321	5	   	250.94	DCR|4VULN|1TLV|1DUR|1ASPD	1ERES|2ASPD|345aVULN|6LWND|7TLV|8DUR|9RCR
51	32235 46321	3	   	250.94	DCR|4VULN|1TLV|1DUR|1ASPD	1ERES|2ASPD|356aVULN|4LWND|7TLV|8DUR|9RCR
52	32213 42421	4	   	250.84	DCR|4VULN|1DUR|1TLV|1ASPD	1ERES|2ASPD|346aVULN|5DUR|7DUST|8TLV|9RCR
53	32216 66321	5	   	250.84	DCR|4VULN|1TLV|1DUR|1ASPD	1ERES|2ASPD|345aVULN|6LEGI|7TLV|8DUR|9RCR
54	34331 31123	3	   	250.82	DCR|3VULN|3DUR|1CDMG	1ERES|269VULN|347DUR|5CDMG|8LIT|aRCR
55	32223 33165	6	   	249.95	DCR|3VULN|2DUR|1CDMG|1ASPD|1AART	1ERES|2ASPD|356VULN|4AART|7aDUR|8CDMG|9RCR
56	32223 33165	5	   	249.95	DCR|3VULN|2DUR|1CDMG|1ASPD|1AART	1ERES|2ASPD|356VULN|4AART|7aDUR|8CDMG|9RCR
57	23562 26413	6	   	249.89	DCR|2VULN|2DUR|1DMG|1TLV|1CDMG|1ASPD	18FEWX|2CDMG|38DUR|4ASPD|5TLV|68VULN|7MBVNT|8BPWR|9DMG|aRCR
58	32222 14613	7	   	249.62	DCR|3VULN|3DUR|1ASPD|1AART	18ERES|2ASPD|378VULN|4AART|58aDUR|6RCR|8BPWR|9LWND
59	32222 14623	7	   	249.62	DCR|3VULN|3DUR|1ASPD|1AART	18ERES|2ASPD|378VULN|4AART|58aDUR|6RCR|8BPWR|9FEWX
60	32222 14642	7	   	249.62	DCR|3VULN|3DUR|1ASPD|1AART	18ERES|2ASPD|378VULN|4AART|58aDUR|6RCR|8BPWR|9MLV
61	32222 14663	7	   	249.62	DCR|3VULN|3DUR|1ASPD|1AART	18ERES|2ASPD|378VULN|4AART|58aDUR|6RCR|8BPWR|9BEXP
62	13333 22216	2	   	249.35	DCR|3VULN|2DUR|1DMG|1CDMG	1BEXP|2CDMG|38aVULN|4DUST|57DUR|6RCR|9DMG
63	13356 22216	2	   	249.35	DCR|3VULN|2DUR|1DMG|1CDMG	1BEXP|2CDMG|38aVULN|47DUR|5DUST|6RCR|9DMG
64	32212 14127	4	   	249.28	DCR|4VULN|2DUR|1ASPD	1aERES|2ASPD|348aVULN|5MBVNT|6aDUR|7RCR|9RPLT|aBPWR
65	32212 14156	4	   	249.28	DCR|4VULN|2DUR|1ASPD	19ERES|2ASPD|3489VULN|5MBVNT|69DUR|7RCR|9BPWR|aFEWX
66	32212 14158	4	   	249.28	DCR|4VULN|2DUR|1ASPD	19ERES|2ASPD|3489VULN|5MBVNT|69DUR|7RCR|9BPWR|aLWND
67	32212 14152	4	   	249.18	DCR|4VULN|2DUR|1ASPD	19aERES|2ASPD|3489VULN|5MBVNT|69DUR|7RCR|9BPWR
68	32212 14154	4	   	249.18	DCR|4VULN|2DUR|1ASPD	19ERES|2ASPD|3489VULN|5MBVNT|69DUR|7RCR|9BPWR|aBBNT
69	32212 14155	4	   	249.18	DCR|4VULN|2DUR|1ASPD	19ERES|2ASPD|3489VULN|5MBVNT|69DUR|7RCR|9BPWR|aTBNT
70	32242 14152	3	   	249.18	DCR|4VULN|2DUR|1ASPD	149ERES|2ASPD|389aVULN|5MBVNT|69DUR|7RCR|9BPWR
71	33263 33512	4	   	249.12	DCR|3VULN|3DUR|1DMG	18aERES|2RMIN|38aVULN|4RPLT|5DMG|6LWND|78aDUR|8aBPWR|9RCR
72	33263 33512	3	   	249.12	DCR|3VULN|3DUR|1DMG	18aERES|2RMIN|38aVULN|4RPLT|5DMG|6LWND|78aDUR|8aBPWR|9RCR
73	33263 42512	4	   	249.12	DCR|3VULN|3DUR|1DMG	18aERES|2RMIN|38aVULN|4RPLT|5DMG|6BEXP|78aDUR|8aBPWR|9RCR
74	33263 42512	3	   	249.12	DCR|3VULN|3DUR|1DMG	18aERES|2RMIN|38aVULN|4RPLT|5DMG|6BEXP|78aDUR|8aBPWR|9RCR
75	32212 14157	4	   	249.03	DCR|4VULN|2DUR|1ASPD|1SELL	19ERES|2ASPD|3489VULN|5MBVNT|69DUR|7RCR|9BPWR|aSELL
76	56223 43121	4	   	249.02	DCR|3VULN|3DUR|1DMG	1RCVC|2LHND|367VULN|459DUR|8DMG|aRCR
77	34331 31361	4	 * 	248.82	DCR|3VULN|3DUR|2CDMG	149ERES|26aVULN|379DUR|59CDMG|8RCR|9BPWR
78	34331 35361	3	   	248.82	DCR|3VULN|3DUR|2CDMG	179ERES|26aVULN|349DUR|59CDMG|8RCR|9BPWR
79	32212 53361	7	 * 	248.57	DCR|4VULN|2ASPD|1DMG|1SELL	19ERES|29ASPD|3469VULN|5RMIN|7SELL|8RCR|9BPWR|aDMG
80	33211 53361	7	 * 	248.57	DCR|4VULN|2ASPD|1DMG|1SELL	19ERES|2RMIN|3469VULN|59ASPD|7SELL|8RCR|9BPWR|aDMG
81	32212 56421	3	   	248.36	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1ERES|2ASPD|36aVULN|4RMIN|5DUR|7DMG|8TLV|9RCR
82	32213 36421	4	   	248.36	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1ERES|2ASPD|34aVULN|5DUR|6CGEN|7DMG|8TLV|9RCR
83	32213 41426	4	   	248.36	DCR|3VULN|1DMG|1DUR|1TLV|1ASPD	1ERES|2ASPD|346VULN|5DUR|7LHND|8TLV|9RCR|aDMG
84	32216 15123	7	   	248.36	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1ERES|2ASPD|345VULN|6CGEN|7TLV|8DMG|9RCR|aDUR
85	32216 22123	5	   	248.36	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1ERES|2ASPD|345VULN|6TLV|7MLV|8DMG|9RCR|aDUR
86	33213 56421	4	   	248.36	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1ERES|2RMIN|34aVULN|5DUR|6ASPD|7DMG|8TLV|9RCR
87	32216 52211	7	   	248.34	DCR|4VULN|1DUR|1CDMG|1ASPD	1ERES|2ASPD|345aVULN|6RPLT|7CDMG|8RCR|9DUR
88	32216 52223	7	   	248.34	DCR|4VULN|1DUR|1CDMG|1ASPD	1ERES|2ASPD|3459VULN|6RPLT|7CDMG|8RCR|aDUR
89	32266 62211	7	   	248.34	DCR|4VULN|1DUR|1CDMG|1ASPD	1ERES|2ASPD|356aVULN|4RPLT|7CDMG|8RCR|9DUR
90	32266 62223	7	   	248.34	DCR|4VULN|1DUR|1CDMG|1ASPD	1ERES|2ASPD|3569VULN|4RPLT|7CDMG|8RCR|aDUR
91	32213 42426	4	   	248.26	DCR|3VULN|1DMG|1DUR|1TLV|1ASPD	1ERES|2ASPD|346VULN|5DUR|7DUST|8TLV|9RCR|aDMG
92	32236 15122	8	 * 	247.89	DCR|2VULN|2DMG|2DUR|2ASPD	17ERES|2aASPD|37VULN|4MLV|5aDMG|67CGEN|7aBPWR|8aDUR|9RCR
93	32236 15322	7	   	247.89	DCR|2VULN|2DMG|2DUR|2ASPD	17ERES|2aASPD|37VULN|4MLV|5aDMG|67CGEN|7aBPWR|8aDUR|9RCR
94	32236 11122	8	   	247.79	DCR|2VULN|2DMG|2DUR|2ASPD	1ERES|2aASPD|37VULN|4MLV|5aDMG|6CGEN|8aDUR|9RCR|aBPWR
95	32236 11322	7	   	247.79	DCR|2VULN|2DMG|2DUR|2ASPD	1ERES|2aASPD|37VULN|4MLV|5aDMG|6CGEN|8aDUR|9RCR|aBPWR
96	32236 11322	6	   	247.79	DCR|2VULN|2DMG|2DUR|2ASPD	1ERES|2aASPD|37VULN|4MLV|5aDMG|6CGEN|8aDUR|9RCR|aBPWR
97	32236 43122	8	   	247.79	DCR|2VULN|2DMG|2DUR|2ASPD	1ERES|2aASPD|36VULN|4MLV|5aDMG|7CGEN|8aDUR|9RCR|aBPWR
98	32236 43322	7	   	247.79	DCR|2VULN|2DMG|2DUR|2ASPD	1ERES|2aASPD|36VULN|4MLV|5aDMG|7CGEN|8aDUR|9RCR|aBPWR
99	12553 13153	9	 * 	247.77	DCR|4VULN|2TLV|1DMG	18BEXP|2LWND|3BELT|4678VULN|58TLV|8BPWR|9DMG|aRCR
100	12553 13163	8	   	247.77	DCR|4VULN|2TLV|1DMG	18BEXP|2LWND|3BELT|4678VULN|58TLV|8BPWR|9DMG|aRCR
101	32223 34354	9	   	247.64	DCR|5VULN|1ASPD|1AART	1ERES|2ASPD|35689VULN|4AART|7LHND|aRCR
102	32223 35354	9	   	247.64	DCR|5VULN|1ASPD|1AART	1ERES|2ASPD|35689VULN|4AART|7LWND|aRCR
103	32223 36354	9	   	247.64	DCR|5VULN|1ASPD|1AART	1ERES|2ASPD|35689VULN|4AART|7FEWX|aRCR
104	11532 42312	1	   	246.85	DCR|2VULN|2DMG|2ASPD|1TLV|1CDMG	1BEXP|2aASPD|3TLV|4LWND|5aDMG|6LEGI|7CDMG|8aVULN|9RCR|aBPWR
105	32216 36114	8	   	246.82	DCR|3VULN|2ASPD|1TLV|1DUR	1ERES|27ASPD|345VULN|6LIT|8DUR|9RCR|aTLV
106	61332 42312	1	   	246.75	DCR|2VULN|2DMG|2ASPD|1TLV|1CDMG	1DUST|2aASPD|3TLV|4LWND|5aDMG|6LEGI|7CDMG|8aVULN|9RCR|aBPWR
107	32222 14641	7	   	246.71	DCR|3VULN|2DUR|2ASPD|1AART	18aERES|2aASPD|378VULN|4AART|58DUR|6RCR|8aBPWR|9aMLV
108	32242 14156	3	   	246.60	DCR|3VULN|2DUR|1DMG|1ASPD	149ERES|2ASPD|389VULN|5MBVNT|69DUR|7RCR|9BPWR|aDMG
109	33212 14153	4	   	246.58	DCR|4VULN|2DUR	19ERES|2RMIN|3489VULN|5MBVNT|69DUR|7RCR|9BPWR|aLIT
110	32222 16622	6	   	246.51	DCR|3VULN|2DUR|2ASPD|1AART	178ERES|29ASPD|38aVULN|4AART|58DUR|6RCR|8BPWR
111	23564 23233	7	   	245.86	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD	1FEWX|2CDMG|3DUR|4ASPD|5DMG|679VULN|8ZMB|aRCR
112	21231 24333	6	   	245.86	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD	1FEWX|2ZMB|3CDMG|4ASPD|5DUR|689VULN|7DMG|aRCR
113	21231 44333	5	   	245.86	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD	1FEWX|2ZMB|3CDMG|4ASPD|5DUR|689VULN|7DMG|aRCR
114	21234 44333	4	   	245.86	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD	1FEWX|2ZMB|3CDMG|4ASPD|5DUR|689VULN|7DMG|aRCR
115	13641 34123	10	   	245.75	DCR|4VULN|1DUR|1CDMG	1BEXP|2CDMG|3DUR|4LIT|5678VULN|9RMIN|aRCR
116	13641 34133	10	   	245.65	DCR|4VULN|1DUR|1CDMG	1BEXP|2CDMG|3DUR|4LIT|5678VULN|9ERES|aRCR
117	13641 34313	10	   	245.65	DCR|4VULN|1DUR|1CDMG	1BEXP|2CDMG|3DUR|4LIT|5679VULN|8ERES|aRCR
118	23541 34313	10	   	245.65	DCR|4VULN|1DUR|1CDMG	1FEWX|2CDMG|3DUR|4LIT|5679VULN|8ERES|aRCR
119	34331 65331	3	   	245.53	DCR|3VULN|2DUR|1TLV|1CDMG	1ERES|28aVULN|34DUR|5CDMG|6RCR|7TLV|9RPLT
120	52513 51331	6	 * 	245.46	DCR|3VULN|2DUR|2TLV|1AART	1RCVC|2RMIN|3aDUR|4ERES|5aTLV|67aVULN|8AART|9RCR|aBPWR
121	34331 65323	4	   	245.43	DCR|3VULN|2DUR|1TLV|1CDMG	14ERES|28aVULN|39DUR|5CDMG|6RCR|7TLV
122	34331 65313	3	   	245.43	DCR|3VULN|2DUR|1TLV|1CDMG	1ERES|28aVULN|34DUR|5CDMG|6RCR|7TLV|9TBNT
123	33213 46331	4	   	245.36	DCR|3VULN|2DUR|2TLV|1AART	1aERES|2RMIN|346VULN|5aDUR|7aTLV|8AART|9RCR|aBPWR
124	32212 53485	4	   	244.90	DCR|4VULN|2ASPD|1TLV	18ERES|28ASPD|3468VULN|5MBVNT|7RPLT|8BPWR|9TLV|aRCR
125	23564 22213	9	   	244.87	DCR|2VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD|1AART	1FEWX|2CDMG|3DUR|4ASPD|5DMG|69VULN|7TLV|8AART|aRCR
126	13511 41115	2	   	244.52	DCR|3VULN|1DMG|1DUR|1CDMG|1AART	1BEXP|2CDMG|3DUR|4AART|5RPLT|68aVULN|7DMG|9RCR
127	13611 41115	3	   	244.52	DCR|3VULN|1DMG|1DUR|1CDMG|1AART	1BEXP|2CDMG|3DUR|4AART|5RPLT|68aVULN|7DMG|9RCR
128	23511 41115	3	   	244.52	DCR|3VULN|1DMG|1DUR|1CDMG|1AART	1FEWX|2CDMG|3DUR|4AART|5RPLT|68aVULN|7DMG|9RCR
129	23511 41115	2	   	244.52	DCR|3VULN|1DMG|1DUR|1CDMG|1AART	1FEWX|2CDMG|3DUR|4AART|5RPLT|68aVULN|7DMG|9RCR
130	23351 43161	2	   	244.52	DCR|3VULN|1DMG|1DUR|1CDMG|1AART	15FEWX|2CDMG|367VULN|4DUR|8AART|9RCR|aDMG
131	32222 14366	10	   	244.35	DCR|4VULN|1DUR|1ASPD|1AART	1ERES|2ASPD|379aVULN|4AART|5DUR|6RCR|8CGEN
132	32222 15166	6	   	244.35	DCR|4VULN|1DUR|1ASPD|1AART	1ERES|2ASPD|389aVULN|4AART|5DUR|6RCR|7BEXP
133	32222 61355	10	   	244.07	DCR|3VULN|2DUR|2AART|1ASPD	1ERES|2ASPD|389VULN|46AART|57DUR|aRCR
134	13322 25461	2	   	243.95	DCR|4VULN|2CDMG|1TLV	19BEXP|25CDMG|3589VULN|4TBNT|59BPWR|6RCR|79LWND|aTLV
135	32211 36425	7	 * 	243.90	DCR|3VULN|3ASPD|1DMG	1ERES|257ASPD|349VULN|6LIT|8RCR|aDMG
136	11125 14252	9	   	243.85	DCR|4VULN|1DMG|1DUR	1BEXP|2ZMB|3BELT|458aVULN|6DUR|7RCR|9DMG
137	21125 14252	9	   	243.85	DCR|4VULN|1DMG|1DUR	1FEWX|2ZMB|3BELT|458aVULN|6DUR|7RCR|9DMG
138	13322 22434	2	   	243.75	DCR|4VULN|2CDMG|1DUR	1BEXP|25CDMG|358aVULN|4TBNT|5BPWR|6RCR|7DUR|9DMSP
139	23322 62434	2	   	243.75	DCR|4VULN|2CDMG|1DUR	1FEWX|25CDMG|358aVULN|4TBNT|5BPWR|6RCR|7DUR|9DMSP
140	33213 34121	7	   	243.75	DCR|4VULN|1DMG|1TLV	1ERES|2RMIN|347aVULN|5TLV|6MLV|8DMG|9RCR
141	33213 52121	6	   	243.75	DCR|4VULN|1DMG|1TLV	1ERES|2RMIN|346aVULN|5TLV|7MLV|8DMG|9RCR
142	33216 15121	7	   	243.75	DCR|4VULN|1DMG|1TLV	1ERES|2RMIN|345aVULN|6CGEN|7TLV|8DMG|9RCR
143	33216 22121	5	   	243.75	DCR|4VULN|1DMG|1TLV	1ERES|2RMIN|345aVULN|6TLV|7MLV|8DMG|9RCR
144	34112 31321	4	   	243.75	DCR|4VULN|1DMG|1DUR	1ERES|267aVULN|3FEWX|4CGEN|5DMG|8DUR|9RCR
145	34322 51321	3	   	243.75	DCR|4VULN|1DMG|1DUR	1ERES|267aVULN|3DUR|4ZMB|5DMG|8LHND|9RCR
146	34412 31321	4	   	243.75	DCR|4VULN|1DMG|1DUR	1ERES|267aVULN|3BEXP|4CGEN|5DMG|8DUR|9RCR
147	34532 31321	2	   	243.75	DCR|4VULN|1DMG|1DUR	1ERES|267aVULN|3MLV|4LHND|5DMG|8DUR|9RCR
148	34612 31321	4	   	243.75	DCR|4VULN|1DMG|1DUR	1ERES|267aVULN|3LHND|4CGEN|5DMG|8DUR|9RCR
149	34652 31321	3	   	243.75	DCR|4VULN|1DMG|1DUR	1ERES|267aVULN|3LHND|4CGEN|5DMG|8DUR|9RCR
150	32222 11151	7	   	243.67	DCR|3VULN|1DUR|1CDMG|1ASPD|1AART	1ERES|2ASPD|39aVULN|4AART|5DUR|6RCR|7CDMG|8LIT
151	32211 56713	8	 * 	243.66	DCR|3VULN|2DMG|2ASPD	1aERES|25ASPD|34aVULN|6RPLT|7MBVNT|8RCR|9aDMG|aBPWR
152	31353 31321	1	   	243.65	DCR|4VULN|1DMG|1DUR	1ERES|2CGEN|3DMG|467aVULN|5LEGI|8DUR|9RCR
153	33213 16121	8	   	243.65	DCR|4VULN|2TLV|1DUR	17ERES|2RMIN|347aVULN|57TLV|6MBVNT|7BPWR|8DUR|9RCR
154	36153 31321	1	   	243.65	DCR|4VULN|1DMG|1DUR	1ERES|2DMG|3CGEN|467aVULN|5LEGI|8DUR|9RCR
155	63246 14161	1	   	243.55	DCR|4VULN|1DMG|1DUR	13DUST|2MBVNT|3BPWR|458aVULN|6DUR|7RCR|9DMG
156	13322 22446	2	 * 	243.40	DCR|3VULN|3CDMG|1TLV|1DUR	1BEXP|25aCDMG|358VULN|4TBNT|5BPWR|6RCR|7DUR|9TLV
157	32223 11161	5	   	243.10	DCR|2VULN|2DUR|1DMG|1CDMG|1ASPD|1AART	1ERES|2ASPD|35VULN|4AART|67DUR|8CDMG|9RCR|aDMG
158	32222 11651	9	   	243.10	DCR|2VULN|2DUR|1DMG|1CDMG|1ASPD|1AART	1ERES|2ASPD|39VULN|4AART|58DUR|6RCR|7CDMG|aDMG
159	32222 21161	5	   	243.10	DCR|2VULN|2DUR|1DMG|1CDMG|1ASPD|1AART	1ERES|2ASPD|36VULN|4AART|57DUR|8CDMG|9RCR|aDMG
160	23651 21181	6	   	243.07	DCR|3VULN|1DMG|1TLV|1CDMG	1FEWX|2CDMG|3MBVNT|4LIT|589VULN|6TLV|7DMG|aRCR
161	13236 61113	4	   	243.06	DCR|2VULN|2DMG|2CDMG|1DUR|1ASPD	17BEXP|2aCDMG|3CGEN|4DUR|5aVULN|6RCR|8ASPD|9aDMG|aBPWR
162	13236 66113	4	   	243.06	DCR|2VULN|2DMG|2CDMG|1DUR|1ASPD	1BEXP|2aCDMG|3CGEN|4DUR|5aVULN|6RCR|7RCVC|8ASPD|9aDMG|aBPWR
163	54412 23222	8	 * 	243.06	DCR|2VULN|2DMG|2TLV|1DUR|1ASPD	1RCVC|2ASPD|3aDMG|4MLV|5DUR|6aTLV|7CGEN|8aVULN|9RCR|aBPWR
164	32213 41214	8	   	243.00	DCR|4VULN|1TLV|1ASPD	1ERES|2ASPD|3468VULN|5BEXP|7LIT|9RCR|aTLV
165	32212 36322	5	   	242.98	DCR|3VULN|2DUR|1TLV|1ASPD	1aERES|2ASPD|34aVULN|5RMIN|6CGEN|7TLV|8aDUR|9RCR|aBPWR
