0	Index      	Bounty	 *	Score 	Summary	Detail	
1	31333 22241	8	 * 	275.09	DCR|4VULN|2DMG|1TLV|1CDMG	1MLV|2678VULN|3CDMG|4TLV|56DMG|6BPWR|9BBNT|aRCR
19	31242 11164	2	   	264.83	DCR|5VULN|2DMG	1MLV|2478aVULN|34DMG|4BPWR|5BELT|6RCR|9BEXP
20	31242 11254	2	   	264.83	DCR|5VULN|2DMG	1MLV|2479aVULN|34DMG|4BPWR|5BELT|6RCR|8LHND
21	31242 31124	2	   	264.83	DCR|5VULN|2DMG	1MLV|2478aVULN|34DMG|4BPWR|5BELT|6LWND|9RCR
22	31242 41124	2	   	264.83	DCR|5VULN|2DMG	1MLV|2478aVULN|34DMG|4BPWR|5BELT|6LHND|9RCR
23	31243 41316	2	   	264.81	DCR|3VULN|2DMG|1TLV|1DUR|1AART	18MLV|24aVULN|34DMG|4BPWR|5TLV|6AART|7DUR|9RCR
24	31242 16213	2	   	264.41	DCR|3VULN|3DMG|1TLV|1AART	179MLV|247VULN|347DMG|47BPWR|5BELT|6RCR|8AART|aTLV
25	41431 21316	5	   	263.99	DCR|5VULN|1DUR|1ASPD|1AART	1LHND|2ASPD|3AART|4568aVULN|7DUR|9RCR
26	31333 25255	10	   	263.55	DCR|3VULN|2DMG|1TLV|1CDMG|1ASPD	1MLV|26aVULN|3CDMG|4TLV|56DMG|6BPWR|7ZMB|8ASPD|9RCR
27	11631 45311	2	   	263.15	DCR|5VULN|1DMG|1TLV|1SELL	1SELL|2348aVULN|5TLV|6DMG|7BELT|9RCR
28	11631 45311	1	   	263.15	DCR|5VULN|1DMG|1TLV|1SELL	1SELL|2348aVULN|5TLV|6DMG|7BELT|9RCR
29	12536 33161	2	   	262.62	DCR|3VULN|3DMG|1DUR|1SELL	1SELL|2BELT|37DUST|467DMG|567VULN|67BPWR|8DUR|9LIT|aRCR
30	31244 41313	2	   	262.11	DCR|3VULN|2DMG|1DUR|1CDMG|1AART	1MLV|248VULN|34DMG|4BPWR|5ERES|6AART|7DUR|9RCR|aCDMG
31	31246 34333	2	 * 	261.79	DCR|3VULN|2DMG|2DUR	1MLV|249VULN|34DMG|4BPWR|5aDUR|6LIT|7RCR|8LHND
32	31252 16121	2	   	261.64	DCR|4VULN|2DMG|1TLV	17MLV|2478VULN|37DMG|5BELT|6RCR|7BPWR|9RMIN|aTLV
33	31252 16141	2	   	261.64	DCR|4VULN|2DMG|1TLV	17MLV|2478VULN|37DMG|5BELT|6RCR|7BPWR|9ZMB|aTLV
34	31252 16152	2	   	261.64	DCR|4VULN|2DMG|1DUR	17MLV|2478VULN|37DMG|5BELT|6RCR|7BPWR|9FEWX|aDUR
35	31252 16162	2	   	261.64	DCR|4VULN|2DMG|1DUR	17MLV|2478VULN|37DMG|5BELT|6RCR|7BPWR|9BEXP|aDUR
36	31252 16252	2	   	261.64	DCR|4VULN|2DMG|1DUR	17MLV|2479VULN|37DMG|5BELT|6RCR|7BPWR|8LHND|aDUR
37	31242 11121	2	   	261.54	DCR|4VULN|2DMG|1TLV	1MLV|2478VULN|34DMG|4BPWR|5BELT|6RCR|9RMIN|aTLV
38	31242 11141	2	   	261.54	DCR|4VULN|2DMG|1TLV	1MLV|2478VULN|34DMG|4BPWR|5BELT|6RCR|9ZMB|aTLV
39	31242 11152	2	   	261.54	DCR|4VULN|2DMG|1DUR	1MLV|2478VULN|34DMG|4BPWR|5BELT|6RCR|9FEWX|aDUR
40	31242 11162	2	   	261.54	DCR|4VULN|2DMG|1DUR	1MLV|2478VULN|34DMG|4BPWR|5BELT|6RCR|9BEXP|aDUR
41	31242 11252	2	   	261.54	DCR|4VULN|2DMG|1DUR	1MLV|2479VULN|34DMG|4BPWR|5BELT|6RCR|8LHND|aDUR
42	31242 31122	2	   	261.54	DCR|4VULN|2DMG|1DUR	1MLV|2478VULN|34DMG|4BPWR|5BELT|6LWND|9RCR|aDUR
43	31242 41122	2	   	261.54	DCR|4VULN|2DMG|1DUR	1MLV|2478VULN|34DMG|4BPWR|5BELT|6LHND|9RCR|aDUR
44	31246 21143	2	   	261.54	DCR|4VULN|2DMG|1DUR	17MLV|247aVULN|34DMG|47BPWR|5DUR|67DUST|8FEWX|9RCR
45	11233 22241	8	   	261.20	DCR|4VULN|2DMG|1TLV|1SELL	1SELL|2678VULN|3CGEN|4TLV|56DMG|6BPWR|9BBNT|aRCR
46	11631 45211	2	   	261.20	DCR|4VULN|2DMG|1TLV|1SELL	1SELL|234aVULN|5TLV|68DMG|7BELT|9RCR
47	11631 45211	1	   	261.20	DCR|4VULN|2DMG|1TLV|1SELL	1SELL|234aVULN|5TLV|68DMG|7BELT|9RCR
48	11631 45313	2	   	261.20	DCR|4VULN|2DMG|1TLV|1SELL	1SELL|2348VULN|5TLV|6aDMG|7BELT|9RCR
49	11631 45313	1	   	261.20	DCR|4VULN|2DMG|1TLV|1SELL	1SELL|2348VULN|5TLV|6aDMG|7BELT|9RCR
50	31242 16136	2	   	261.14	DCR|4VULN|3DMG	17MLV|247aVULN|347DMG|47BPWR|5BELT|6RCR|8LHND|9LWND
51	31242 16336	2	   	261.14	DCR|4VULN|3DMG	17MLV|247aVULN|347DMG|47BPWR|5BELT|6RCR|8BEXP|9LWND
52	11233 21655	10	   	261.05	DCR|4VULN|2DMG|1TLV|2SELL	17SELL|268aVULN|3CGEN|4TLV|56DMG|6BPWR|9RCR
53	11233 22555	10	   	261.05	DCR|4VULN|2DMG|1TLV|2SELL	18SELL|267aVULN|3CGEN|4TLV|56DMG|6BPWR|9RCR
54	31242 16326	2	   	261.04	DCR|4VULN|3DMG	17MLV|247aVULN|347DMG|47BPWR|5BELT|6RCR|8BEXP|9BBNT
55	31242 16522	2	   	261.04	DCR|4VULN|3DMG	17MLV|2479VULN|347DMG|47BPWR|5BELT|6RCR|8ERES|aLWND
56	31242 16523	2	   	261.04	DCR|4VULN|3DMG	17MLV|2479VULN|347DMG|47BPWR|5BELT|6RCR|8ERES|aZMB
57	31333 22332	8	   	260.86	DCR|3VULN|2DMG|1TLV|1CDMG	1MLV|267VULN|3CDMG|4TLV|56DMG|6BPWR|8ZMB|9LIT|aRCR
58	31333 25532	8	   	260.86	DCR|3VULN|2DMG|1TLV|1CDMG	1MLV|268VULN|3CDMG|4TLV|56DMG|6BPWR|7ZMB|9LIT|aRCR
59	12636 33512	3	   	260.80	DCR|4VULN|3DMG|1SELL	1SELL|2BELT|37LWND|467DMG|5678VULN|67BPWR|9ERES|aRCR
60	31242 16241	2	   	260.80	DCR|4VULN|3DMG|1AART|1SELL	17MLV|247aVULN|347DMG|47BPWR|5BELT|6RCR|8AART|9SELL
61	31242 16521	2	   	260.80	DCR|4VULN|3DMG|1SELL	17MLV|2479VULN|347DMG|47BPWR|5BELT|6RCR|8ERES|aSELL
62	41431 21313	5	   	260.70	DCR|4VULN|1TLV|1DUR|1ASPD|1AART	1LHND|2ASPD|3AART|4568VULN|7DUR|9RCR|aTLV
63	41431 53313	7	   	260.70	DCR|4VULN|1TLV|1DUR|1ASPD|1AART	1LHND|2ASPD|3AART|4578VULN|6DUR|9RCR|aTLV
64	12536 33512	2	   	260.60	DCR|4VULN|3DMG|1SELL	1SELL|2BELT|37DUST|467DMG|5678VULN|67BPWR|9ERES|aRCR
65	11324 83661	8	   	259.90	DCR|4VULN|2DMG|2LIT|1SELL	1SELL|278aVULN|3RPLT|4MBVNT|5aLIT|6aDMG|9RCR|aBPWR
66	16232 45312	10	   	259.80	DCR|4VULN|2DMG|2LIT|1SELL	1SELL|26DMG|3DUST|4789VULN|56LIT|6BPWR|aRCR
67	31242 16211	2	   	259.17	DCR|3VULN|3DMG|1ASPD|1AART	179MLV|247VULN|347DMG|47BPWR|5BELT|6RCR|8AART|aASPD
68	31252 16151	2	   	259.04	DCR|4VULN|2DMG|1CDMG	17MLV|2478VULN|37DMG|5BELT|6RCR|7BPWR|9FEWX|aCDMG
69	31252 16161	2	   	259.04	DCR|4VULN|2DMG|1CDMG	17MLV|2478VULN|37DMG|5BELT|6RCR|7BPWR|9BEXP|aCDMG
70	31252 16251	2	   	259.04	DCR|4VULN|2DMG|1CDMG	17MLV|2479VULN|37DMG|5BELT|6RCR|7BPWR|8LHND|aCDMG
71	41411 33316	5	 * 	259.04	DCR|4VULN|2DUR|1ASPD|1AART	1LHND|2ASPD|3AART|47DUR|568aVULN|9RCR
72	41431 33316	4	   	259.04	DCR|4VULN|2DUR|1ASPD|1AART	1LHND|2ASPD|3AART|468aVULN|57DUR|9RCR
73	31242 11151	2	   	258.94	DCR|4VULN|2DMG|1CDMG	1MLV|2478VULN|34DMG|4BPWR|5BELT|6RCR|9FEWX|aCDMG
74	31242 11161	2	   	258.94	DCR|4VULN|2DMG|1CDMG	1MLV|2478VULN|34DMG|4BPWR|5BELT|6RCR|9BEXP|aCDMG
75	31242 11251	2	   	258.94	DCR|4VULN|2DMG|1CDMG	1MLV|2479VULN|34DMG|4BPWR|5BELT|6RCR|8LHND|aCDMG
76	31242 31121	2	   	258.94	DCR|4VULN|2DMG|1CDMG	1MLV|2478VULN|34DMG|4BPWR|5BELT|6LWND|9RCR|aCDMG
77	31242 41121	2	   	258.94	DCR|4VULN|2DMG|1CDMG	1MLV|2478VULN|34DMG|4BPWR|5BELT|6LHND|9RCR|aCDMG
78	31333 24241	8	 * 	258.76	DCR|3VULN|2DMG|2CDMG|1TLV	1MLV|268VULN|37CDMG|4TLV|56DMG|6BPWR|9BBNT|aRCR
79	11513 36311	1	   	258.72	DCR|3VULN|2DMG|2CDMG|1TLV|1SELL	1SELL|289VULN|38CDMG|4MLV|5TLV|6RCR|78DMG|8BPWR|aBEXP
80	11513 36311	2	   	258.72	DCR|3VULN|2DMG|2CDMG|1TLV|1SELL	1SELL|289VULN|38CDMG|4MLV|5TLV|6RCR|78DMG|8BPWR|aBEXP
81	11513 36312	2	   	258.72	DCR|3VULN|2DMG|2CDMG|1TLV|1SELL	1SELL|289VULN|38CDMG|4MLV|5TLV|6RCR|78DMG|8BPWR|aLHND
82	11513 36312	1	   	258.72	DCR|3VULN|2DMG|2CDMG|1TLV|1SELL	1SELL|289VULN|38CDMG|4MLV|5TLV|6RCR|78DMG|8BPWR|aLHND
83	11513 36313	1	   	258.72	DCR|3VULN|2DMG|2CDMG|1TLV|1SELL	1SELL|289VULN|38CDMG|4aMLV|5TLV|6RCR|78DMG|8BPWR
84	11513 36313	2	   	258.72	DCR|3VULN|2DMG|2CDMG|1TLV|1SELL	1SELL|289VULN|38CDMG|4aMLV|5TLV|6RCR|78DMG|8BPWR
85	11513 36316	1	   	258.62	DCR|3VULN|2DMG|2CDMG|1TLV|1SELL	1SELL|289VULN|38CDMG|4MLV|5TLV|6RCR|78DMG|8BPWR|aDLOT
86	11513 36316	2	   	258.62	DCR|3VULN|2DMG|2CDMG|1TLV|1SELL	1SELL|289VULN|38CDMG|4MLV|5TLV|6RCR|78DMG|8BPWR|aDLOT
87	11452 14333	8	 * 	258.49	DCR|4VULN|2DUR|2TLV|1SELL	1SELL|258aVULN|3aDUR|48FEWX|68TLV|7RCR|8aBPWR|9aZMB
88	31243 36135	2	 * 	258.37	DCR|3VULN|3DMG|2TLV	16MLV|249VULN|347DMG|46BPWR|56TLV|8ZMB|aRCR
89	11412 14335	10	 * 	258.29	DCR|4VULN|2DUR|2TLV|1SELL	1SELL|258aVULN|39DUR|48BEXP|68TLV|7RCR|8BPWR
90	31243 25135	2	   	258.27	DCR|3VULN|3DMG|2TLV	1MLV|249VULN|346DMG|4BPWR|57TLV|8ZMB|aRCR
91	11421 13616	10	 * 	257.87	DCR|5VULN|2DUR|1SELL	1SELL|2479aVULN|37DUR|5BELT|67CGEN|7BPWR|8RCR
92	16632 33353	9	 * 	257.61	DCR|2VULN|2DMG|2ASPD|1TLV|1DUR|1SELL	1SELL|29DMG|3LIT|49ASPD|5DUR|6LHND|79VULN|8RCR|9BPWR|aTLV
93	16633 23353	9	 * 	257.61	DCR|2VULN|2DMG|2ASPD|1TLV|1DUR|1SELL	1SELL|29DMG|3LIT|49ASPD|5LHND|6DUR|79VULN|8RCR|9BPWR|aTLV
94	11423 41124	7	   	257.26	DCR|4VULN|1DMG|1DUR|1CDMG|1SELL	1SELL|248aVULN|3DUR|5DMG|6BELT|7CDMG|9RCR
95	31244 41231	2	   	256.77	DCR|3VULN|2DMG|1DUR|1AART	1MLV|24aVULN|34DMG|4BPWR|5ERES|6AART|7DUR|8RCR|9LIT
96	31333 34262	9	   	256.57	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1MLV|2aVULN|3CDMG|4TLV|5aDMG|6LHND|7RMIN|8RCR|9aDUR|aBPWR
97	31242 16533	2	   	256.37	DCR|3VULN|3DMG|1AART	17MLV|247VULN|347DMG|47BPWR|5BELT|6RCR|8ERES|9LIT|aAART
98	12536 33222	2	   	256.03	DCR|3VULN|3DMG|1AART|1SELL	1SELL|2BELT|37DUST|467DMG|567VULN|67BPWR|8AART|9LIT|aRCR
99	31411 34325	7	   	256.01	DCR|4VULN|2DUR|2AART	17MLV|257aVULN|38AART|47DUR|6BELT|7BPWR|9RCR
100	31124 31315	5	 * 	255.96	DCR|3VULN|2DUR|2TLV|1DMG	18MLV|259VULN|3DMSP|48DUR|6RCR|78TLV|8BPWR|aDMG
101	16632 33351	10	 * 	255.95	DCR|2VULN|2DMG|2DUR|2ASPD|1SELL	1SELL|29DMG|3LIT|49ASPD|5aDUR|6LHND|79VULN|8RCR|9BPWR
102	16632 33352	9	 * 	255.95	DCR|2VULN|2DMG|2DUR|2ASPD|1SELL	1SELL|29DMG|3LIT|49ASPD|5aDUR|6LHND|79VULN|8RCR|9BPWR
103	16633 23351	10	 * 	255.95	DCR|2VULN|2DMG|2DUR|2ASPD|1SELL	1SELL|29DMG|3LIT|49ASPD|5LHND|6aDUR|79VULN|8RCR|9BPWR
104	16633 23352	9	 * 	255.95	DCR|2VULN|2DMG|2DUR|2ASPD|1SELL	1SELL|29DMG|3LIT|49ASPD|5LHND|6aDUR|79VULN|8RCR|9BPWR
105	11311 65135	10	 * 	255.81	DCR|2VULN|3DUR|2DMG|1TLV|1SELL	1SELL|28VULN|3RPLT|4ERES|578DUR|68DMG|8BPWR|9TLV|aRCR
106	16154 13332	3	 * 	255.31	DCR|2VULN|3DMG|3DUR|1SELL	1SELL|249DMG|34FEWX|49BPWR|579DUR|6DLOT|89VULN|aRCR
107	16154 13332	2	 * 	255.31	DCR|2VULN|3DMG|3DUR|1SELL	1SELL|249DMG|34BEXP|49BPWR|579DUR|6DLOT|89VULN|aRCR
108	16653 13332	2	 * 	255.31	DCR|2VULN|3DMG|3DUR|1SELL	1SELL|249DMG|34LHND|49BPWR|579DUR|6DLOT|89VULN|aRCR
109	31243 41113	2	   	255.26	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG|1AART	1MLV|24VULN|34DMG|4BPWR|58TLV|6AART|7DUR|9RCR|aCDMG
110	16164 13332	4	 * 	255.21	DCR|2VULN|3DMG|3DUR|1SELL	1SELL|259DMG|3FEWX|479DUR|6DLOT|89VULN|9BPWR|aRCR
111	16164 13332	3	 * 	255.21	DCR|2VULN|3DMG|3DUR|1SELL	1SELL|249DMG|3FEWX|579DUR|6DLOT|89VULN|9BPWR|aRCR
112	16164 13332	2	 * 	255.21	DCR|2VULN|3DMG|3DUR|1SELL	1SELL|249DMG|3BEXP|579DUR|6DLOT|89VULN|9BPWR|aRCR
113	16663 13332	2	 * 	255.21	DCR|2VULN|3DMG|3DUR|1SELL	1SELL|249DMG|3LHND|579DUR|6DLOT|89VULN|9BPWR|aRCR
114	31246 11143	2	   	255.05	DCR|3VULN|2DMG|1TLV|1DUR	1MLV|24aVULN|34DMG|4BPWR|5DUR|6ERES|7TLV|8BEXP|9RCR
115	31246 11343	2	   	255.05	DCR|3VULN|2DMG|1DUR|1TLV	1MLV|24aVULN|34DMG|4BPWR|5DUR|6ERES|7TLV|8LWND|9RCR
116	31252 16135	2	   	254.95	DCR|4VULN|2DMG|1AART	17MLV|2478VULN|37DMG|5BELT|6RCR|7BPWR|9ERES|aAART
117	31242 11255	2	   	254.95	DCR|4VULN|2DMG|1AART	1MLV|2479VULN|34DMG|4BPWR|5BELT|6RCR|8LHND|aAART
118	31242 31125	2	   	254.95	DCR|4VULN|2DMG|1AART	1MLV|2478VULN|34DMG|4BPWR|5BELT|6LWND|9RCR|aAART
119	31242 41125	2	   	254.95	DCR|4VULN|2DMG|1AART	1MLV|2478VULN|34DMG|4BPWR|5BELT|6LHND|9RCR|aAART
120	31246 11633	2	   	254.95	DCR|3VULN|2DMG|1DUR|1TLV	1MLV|249VULN|34DMG|4BPWR|5DUR|6ERES|7TLV|8MBVNT|aRCR
121	31242 11135	2	   	254.85	DCR|4VULN|2DMG|1AART	1MLV|2478VULN|34DMG|4BPWR|5BELT|6RCR|9ERES|aAART
122	11233 25625	10	   	254.80	DCR|3VULN|2DMG|1TLV|1DUR|1SELL	1SELL|268VULN|3CGEN|4TLV|56DMG|6BPWR|7DUR|9DUST|aRCR
123	51318 28433	3	   	254.76	DCR|4VULN|1DMG|1DUR|1ASPD	1LWND|2ASPD|3MBVNT|4DUR|5679VULN|8DMG|aRCR
124	31242 16113	2	   	254.75	DCR|3VULN|3DMG|1DUR	17MLV|247VULN|347DMG|47BPWR|5BELT|6RCR|8LHND|9FEWX|aDUR
125	31242 16133	2	   	254.75	DCR|3VULN|3DMG|1DUR	17MLV|247VULN|347DMG|47BPWR|5BELT|6RCR|8LHND|9LWND|aDUR
126	31242 16313	2	   	254.75	DCR|3VULN|3DMG|1DUR	17MLV|247VULN|347DMG|47BPWR|5BELT|6RCR|8BEXP|9FEWX|aDUR
127	31242 16333	2	   	254.75	DCR|3VULN|3DMG|1DUR	17MLV|247VULN|347DMG|47BPWR|5BELT|6RCR|8BEXP|9LWND|aDUR
128	41432 21316	4	 * 	254.66	DCR|4VULN|2ASPD|1DUR|1AART	1LHND|25ASPD|3AART|468aVULN|7DUR|9RCR
129	11233 21652	9	   	254.66	DCR|3VULN|2DMG|1TLV|1DUR|2SELL	17SELL|268VULN|3CGEN|4TLV|56DMG|6BPWR|9RCR|aDUR
130	11233 21656	10	   	254.66	DCR|3VULN|2DMG|1TLV|1DUR|2SELL	17SELL|268VULN|3CGEN|4TLV|56DMG|6BPWR|9RCR|aDUR
131	11233 22552	9	   	254.66	DCR|3VULN|2DMG|1TLV|1DUR|2SELL	18SELL|267VULN|3CGEN|4TLV|56DMG|6BPWR|9RCR|aDUR
132	11233 22556	10	   	254.66	DCR|3VULN|2DMG|1TLV|1DUR|2SELL	18SELL|267VULN|3CGEN|4TLV|56DMG|6BPWR|9RCR|aDUR
133	11452 14133	8	   	254.58	DCR|4VULN|2DUR|1TLV|1SELL	1SELL|258aVULN|3aDUR|4FEWX|6TLV|7RCR|9aZMB|aBPWR
134	11421 13611	9	   	254.58	DCR|4VULN|2DUR|1TLV|1SELL	1SELL|2479VULN|37DUR|5BELT|67CGEN|7BPWR|8RCR|aTLV
135	31243 22135	2	   	254.55	DCR|3VULN|3DMG|1TLV	1MLV|249VULN|346DMG|4BPWR|5TLV|7DMSP|8ZMB|aRCR
136	31242 11525	2	   	254.55	DCR|3VULN|3DMG|1TLV	1MLV|247VULN|348DMG|4BPWR|5BELT|6RCR|9RMIN|aTLV
137	31242 12625	2	   	254.55	DCR|3VULN|3DMG|1TLV	1MLV|249VULN|348DMG|4BPWR|5BELT|6RCR|7RMIN|aTLV
138	12636 33324	3	   	254.51	DCR|3VULN|3DMG|1TLV|1SELL	1SELL|2BELT|37LWND|467DMG|567VULN|67BPWR|8BEXP|9RCR|aTLV
139	12636 33326	3	   	254.51	DCR|3VULN|3DMG|1DUR|1SELL	1SELL|2BELT|37LWND|467DMG|567VULN|67BPWR|8BEXP|9RCR|aDUR
140	12636 33422	3	   	254.51	DCR|3VULN|3DMG|1TLV|1SELL	1SELL|2BELT|37LWND|467DMG|567VULN|67BPWR|8FEWX|9RCR|aTLV
141	12636 33423	3	   	254.51	DCR|3VULN|3DMG|1DUR|1SELL	1SELL|2BELT|37LWND|467DMG|567VULN|67BPWR|8FEWX|9RCR|aDUR
142	31242 11515	2	   	254.45	DCR|3VULN|3DMG|1TLV	1MLV|247VULN|348DMG|4BPWR|5BELT|6RCR|9BBNT|aTLV
143	31242 11535	2	   	254.45	DCR|3VULN|3DMG|1TLV	1MLV|247VULN|348DMG|4BPWR|5BELT|6RCR|9ERES|aTLV
144	31253 26135	2	   	254.45	DCR|3VULN|3DMG|1TLV	1MLV|249VULN|367DMG|5TLV|8ZMB|aRCR
145	11412 14135	10	   	254.38	DCR|4VULN|2DUR|1TLV|1SELL	1SELL|258aVULN|39DUR|4BEXP|6TLV|7RCR
146	31243 65442	2	   	254.35	DCR|3VULN|3DMG|1TLV	1MLV|24aVULN|348DMG|4BPWR|5TLV|6DUST|7MBVNT|9RCR
147	11412 52214	6	   	254.31	DCR|3VULN|3DMG|1DUR|1SELL	1SELL|258VULN|3DUR|48BEXP|678DMG|8BPWR|9BBNT|aRCR
148	11423 32214	6	   	254.31	DCR|3VULN|3DMG|1DUR|1SELL	1SELL|248VULN|3DUR|578DMG|68BEXP|8BPWR|9BBNT|aRCR
149	11423 52214	5	   	254.31	DCR|3VULN|3DMG|1DUR|1SELL	1SELL|248VULN|3DUR|578DMG|68BEXP|8BPWR|9BBNT|aRCR
150	11432 52214	6	   	254.31	DCR|3VULN|3DMG|1DUR|1SELL	1SELL|258VULN|3DUR|48LWND|678DMG|8BPWR|9BBNT|aRCR
151	12536 33121	2	   	254.31	DCR|3VULN|3DMG|1DUR|1SELL	1SELL|2BELT|37DUST|467DMG|567VULN|67BPWR|8DUR|9RCR|aFEWX
152	12536 33123	2	   	254.31	DCR|3VULN|3DMG|1DUR|1SELL	1SELL|2BELT|37DUST|467DMG|567VULN|67BPWR|8DUR|9RCR|aRCVC
153	12536 33422	2	   	254.31	DCR|3VULN|3DMG|1TLV|1SELL	1SELL|2BELT|37DUST|467DMG|567VULN|67BPWR|8FEWX|9RCR|aTLV
154	12536 33423	2	   	254.31	DCR|3VULN|3DMG|1DUR|1SELL	1SELL|2BELT|37DUST|467DMG|567VULN|67BPWR|8FEWX|9RCR|aDUR
155	12234 43351	2	   	254.31	DCR|3VULN|3DMG|1DUR|1SELL	1SELL|2BELT|378DMG|4RCVC|579VULN|6RCR|7BPWR|aDUR
156	11631 45213	2	   	254.21	DCR|3VULN|3DMG|1TLV|1SELL	1SELL|234VULN|5TLV|68aDMG|7BELT|9RCR
157	11631 45213	1	   	254.21	DCR|3VULN|3DMG|1TLV|1SELL	1SELL|234VULN|5TLV|68aDMG|7BELT|9RCR
158	62323 14133	10	   	253.69	DCR|4VULN|1TLV|1DUR|1CDMG	1BEXP|2LWND|348aVULN|5CDMG|6TLV|7RCR|9DUR
159	31242 11344	2	   	253.60	DCR|4VULN|2DMG	1MLV|247aVULN|34DMG|4BPWR|5BELT|6RCR|8RPLT|9LIT
160	31122 61313	6	   	253.58	DCR|3VULN|2DMG|2DUR	178MLV|29aVULN|3DMSP|47DUR|57DMG|6RCR|7BPWR
161	31214 61143	1	   	253.58	DCR|3VULN|2DMG|2DUR	17MLV|27DUR|35DMG|4BEXP|67aVULN|7BPWR|8FEWX|9RCR
162	31223 61143	1	   	253.58	DCR|3VULN|2DMG|2DUR	17MLV|27DUR|35DMG|4FEWX|67aVULN|7BPWR|8BEXP|9RCR
163	65323 42211	6	   	253.43	DCR|4VULN|2DUR|2LIT	1aBEXP|2aDUR|3467VULN|5FEWX|8aLIT|9RCR|aBPWR
164	11451 26321	4	   	253.24	DCR|3VULN|2DMG|2DUR|1SELL	1SELL|29aVULN|39DUR|4FEWX|5ZMB|6TBNT|7RCR|89DMG|9BPWR
165	11435 36121	9	   	253.24	DCR|3VULN|2DMG|2DUR|1SELL	1SELL|278VULN|37DUR|4LWND|5BEXP|67DMG|7BPWR|9DUST|aRCR
166	16232 15312	10	   	253.15	DCR|4VULN|2DMG|1SELL	1SELL|26DMG|3DUST|4789VULN|5LIT|aRCR
167	11423 26321	2	   	253.14	DCR|3VULN|2DMG|2DUR|1NUKE|1SELL	1SELL|29aVULN|3FEWX|49DUR|5NUKE|6TBNT|7RCR|89DMG|9BPWR
168	11423 26321	1	   	253.14	DCR|3VULN|2DMG|2DUR|1NUKE|1SELL	1SELL|29aVULN|3FEWX|49DUR|5NUKE|6TBNT|7RCR|89DMG|9BPWR
169	16111 61631	3	   	253.09	DCR|3VULN|2DMG|2DUR|2SELL	15SELL|27DMG|3FEWX|478VULN|67DUR|7BPWR|9RMIN|aRCR
