0	Index      	Bounty	 *	Score 	Summary	Detail	
1	55136 32321	8	 * 	315.24	DCR|4VULN|3DUR|3LIT|1DMG|1CDMG	189DUR|289LIT|3DMG|4CDMG|589aVULN|6AART|7RCR|89BPWR
22	21164 11142	10	   	291.88	DCR|4VULN|3DMG|2DUR	124aVULN|3CGEN|5aDUR|67aDMG|8RCR|9RCVC|aBPWR
23	24244 11112	10	   	291.78	DCR|4VULN|3DMG|2DUR	135aVULN|23DUR|3aBPWR|4aERES|67aDMG|8RCR|9DMSP
24	21564 11112	10	   	291.78	DCR|4VULN|3DMG|2DUR	124aVULN|3ERES|5aDUR|67aDMG|8RCR|9DMSP|aBPWR
25	24244 11132	10	   	291.68	DCR|4VULN|3DMG|2DUR	135aVULN|23DUR|3aBPWR|49aERES|67aDMG|8RCR
26	21564 11132	10	   	291.68	DCR|4VULN|3DMG|2DUR	124aVULN|39ERES|5aDUR|67aDMG|8RCR|aBPWR
27	24244 13133	7	   	291.63	DCR|5VULN|2DUR|1DMG|1CDMG	1358aVULN|23DUR|3BPWR|4ERES|6DMG|7CDMG|9RCR
28	24244 13333	8	   	291.63	DCR|5VULN|2DUR|1DMG|1CDMG	1358aVULN|23DUR|3BPWR|4ERES|6DMG|7CDMG|9RCR
29	51244 13133	7	   	291.63	DCR|5VULN|2DUR|1DMG|1CDMG	13DUR|2358aVULN|3BPWR|4ERES|6DMG|7CDMG|9RCR
30	51244 13333	8	   	291.63	DCR|5VULN|2DUR|1DMG|1CDMG	13DUR|2358aVULN|3BPWR|4ERES|6DMG|7CDMG|9RCR
31	24231 56311	3	   	291.40	DCR|5VULN|3DUR|1DMG	1346aVULN|234DUR|34BPWR|5BEXP|7CGEN|8DMG|9RCR
32	51231 56311	3	   	291.40	DCR|5VULN|3DUR|1DMG	134DUR|2346aVULN|34BPWR|5BEXP|7CGEN|8DMG|9RCR
33	24232 21352	3	   	291.40	DCR|5VULN|3DUR|1DMG	13479VULN|234DUR|34BPWR|5RMIN|6RCVC|8DMG|aRCR
34	51232 21352	3	   	291.40	DCR|5VULN|3DUR|1DMG	134DUR|23479VULN|34BPWR|5RMIN|6RCVC|8DMG|aRCR
35	24234 12253	8	   	291.33	DCR|3VULN|3DUR|2DMG|2LIT|1NUKE	138VULN|234DUR|38BPWR|58DMG|68LIT|7NUKE|9RCR|aAART
36	51234 12253	8	   	291.33	DCR|3VULN|3DUR|2DMG|2LIT|1NUKE	134DUR|238VULN|38BPWR|58DMG|68LIT|7NUKE|9RCR|aAART
37	24232 11352	4	   	291.30	DCR|5VULN|3DUR|1DMG	13679VULN|234DUR|3BPWR|5RMIN|8DMG|aRCR
38	24235 21352	5	   	291.30	DCR|5VULN|3DUR|1DMG	13579VULN|234DUR|3BPWR|6RMIN|8DMG|aRCR
39	24235 21352	6	   	291.30	DCR|5VULN|3DUR|1DMG	13579VULN|234DUR|3BPWR|6MLV|8DMG|aRCR
40	51232 11352	4	   	291.30	DCR|5VULN|3DUR|1DMG	134DUR|23679VULN|3BPWR|5RMIN|8DMG|aRCR
41	51235 21352	6	   	291.30	DCR|5VULN|3DUR|1DMG	134DUR|23579VULN|3BPWR|6MLV|8DMG|aRCR
42	51235 21352	5	   	291.30	DCR|5VULN|3DUR|1DMG	134DUR|23579VULN|3BPWR|6RMIN|8DMG|aRCR
43	24231 11352	5	   	291.20	DCR|5VULN|3DUR|1DMG	13679VULN|234DUR|3BPWR|5ERES|8DMG|aRCR
44	51231 11352	5	   	291.20	DCR|5VULN|3DUR|1DMG	134DUR|23679VULN|3BPWR|5ERES|8DMG|aRCR
45	23135 31145	6	   	290.45	DCR|3VULN|3DMG|2DUR|2ASPD	19aVULN|28ASPD|369DMG|49DUR|5RPLT|7RCR|9BPWR
46	23613 13516	10	   	290.11	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR|1CDMG	137VULN|27ASPD|4CGEN|5TLV|67DMG|7BPWR|8CDMG|9DUR|aRCR
47	21132 36152	1	   	289.80	DCR|3VULN|2DMG|2DUR|2CDMG|1TLV	178VULN|27CDMG|36DMG|4MLV|57DUR|7BPWR|9TLV|aRCR
48	51131 36152	1	   	289.80	DCR|3VULN|2DMG|2DUR|2CDMG|1TLV	17DUR|27CDMG|36DMG|4MLV|578VULN|7BPWR|9TLV|aRCR
49	61131 36152	2	   	289.80	DCR|3VULN|2DMG|2DUR|2CDMG|1TLV	17CDMG|27DUR|36DMG|4MLV|578VULN|7BPWR|9TLV|aRCR
50	63131 36152	1	   	289.80	DCR|3VULN|2DMG|2DUR|2CDMG|1TLV	17CDMG|27DUR|36DMG|4MLV|578VULN|7BPWR|9TLV|aRCR
51	61421 36131	5	   	289.70	DCR|3VULN|2DMG|2DUR|2CDMG|1TLV	17CDMG|27DUR|36DMG|4ERES|578VULN|7BPWR|9RCR|aTLV
52	61421 36131	4	   	289.70	DCR|3VULN|2DMG|2DUR|2CDMG|1TLV	17CDMG|27DUR|36DMG|4ERES|578VULN|7BPWR|9RCR|aTLV
53	24244 13333	7	   	289.67	DCR|4VULN|2DMG|2DUR|1CDMG	135aVULN|23DUR|3BPWR|4ERES|68DMG|7CDMG|9RCR
54	51244 13333	7	   	289.67	DCR|4VULN|2DMG|2DUR|1CDMG	13DUR|235aVULN|3BPWR|4ERES|68DMG|7CDMG|9RCR
55	21164 16112	10	   	289.45	DCR|4VULN|3DUR|2DMG	124aVULN|3CGEN|57aDUR|6aDMG|8RCR|9DMSP|aBPWR
56	24233 41236	9	   	289.45	DCR|4VULN|3DUR|2DMG	139aVULN|234DUR|39BPWR|5RPLT|6RCR|79DMG|8DMSP
57	24233 41336	9	   	289.45	DCR|4VULN|3DUR|2DMG	139aVULN|234DUR|39BPWR|5RPLT|6RCR|79DMG|8RCVC
58	51233 41236	9	   	289.45	DCR|4VULN|3DUR|2DMG	134DUR|239aVULN|39BPWR|5RPLT|6RCR|79DMG|8DMSP
59	51233 41336	9	   	289.45	DCR|4VULN|3DUR|2DMG	134DUR|239aVULN|39BPWR|5RPLT|6RCR|79DMG|8RCVC
60	24213 11112	10	   	289.30	DCR|3VULN|3DMG|2DUR|2TLV	13aVULN|23DUR|3aBPWR|49DMSP|5aTLV|67aDMG|8RCR
61	24213 11142	10	   	289.30	DCR|3VULN|3DMG|2DUR|2TLV	13aVULN|23DUR|3aBPWR|4DMSP|5aTLV|67aDMG|8RCR|9RCVC
62	21633 11112	10	   	289.20	DCR|3VULN|3DMG|2DUR|2TLV	12aVULN|34DUR|5aTLV|67aDMG|8RCR|9DMSP|aBPWR
63	21633 11142	10	   	289.20	DCR|3VULN|3DMG|2DUR|2TLV	12aVULN|34DUR|5aTLV|67aDMG|8RCR|9RCVC|aBPWR
64	24244 13131	7	   	288.34	DCR|4VULN|2DUR|1DMG|1TLV|1CDMG	1358VULN|23DUR|3BPWR|4ERES|6DMG|7CDMG|9RCR|aTLV
65	24244 13331	8	   	288.34	DCR|4VULN|2DUR|1DMG|1TLV|1CDMG	1358VULN|23DUR|3BPWR|4ERES|6DMG|7CDMG|9RCR|aTLV
66	51244 13131	7	   	288.34	DCR|4VULN|2DUR|1DMG|1TLV|1CDMG	13DUR|2358VULN|3BPWR|4ERES|6DMG|7CDMG|9RCR|aTLV
67	51244 13331	8	   	288.34	DCR|4VULN|2DUR|1DMG|1TLV|1CDMG	13DUR|2358VULN|3BPWR|4ERES|6DMG|7CDMG|9RCR|aTLV
68	24232 21433	3	   	287.59	DCR|5VULN|3DUR|1TLV	13478VULN|234DUR|348BPWR|5RMIN|6RCVC|9RCR|aTLV
69	51232 21433	3	   	287.59	DCR|5VULN|3DUR|1TLV	134DUR|23478VULN|348BPWR|5RMIN|6RCVC|9RCR|aTLV
70	24232 11433	4	   	287.49	DCR|5VULN|3DUR|1TLV	13678VULN|234DUR|38BPWR|5RMIN|9RCR|aTLV
71	24235 21433	5	   	287.49	DCR|5VULN|3DUR|1TLV	13578VULN|234DUR|38BPWR|6RMIN|9RCR|aTLV
72	51232 11433	4	   	287.49	DCR|5VULN|3DUR|1TLV	134DUR|23678VULN|38BPWR|5RMIN|9RCR|aTLV
73	51235 21433	5	   	287.49	DCR|5VULN|3DUR|1TLV	134DUR|23578VULN|38BPWR|6RMIN|9RCR|aTLV
74	24232 11452	4	   	287.49	DCR|5VULN|3DUR|1TLV	13678VULN|234DUR|38BPWR|5RMIN|9TLV|aRCR
75	51232 11452	4	   	287.49	DCR|5VULN|3DUR|1TLV	134DUR|23678VULN|38BPWR|5RMIN|9TLV|aRCR
76	36325 61112	5	 * 	287.46	DCR|4VULN|3DUR|3CDMG	1AART|2LEGI|379aVULN|467CDMG|567DUR|67BPWR|8RCR
77	24234 12251	8	   	286.67	DCR|3VULN|3DUR|2DMG|3LIT|1NUKE	138VULN|234DUR|38BPWR|58DMG|68aLIT|7NUKE|9RCR
78	51234 12251	8	   	286.67	DCR|3VULN|3DUR|2DMG|3LIT|1NUKE	134DUR|238VULN|38BPWR|58DMG|68aLIT|7NUKE|9RCR
79	23613 13322	10	   	285.39	DCR|3VULN|3DMG|3ASPD|1TLV	137VULN|279ASPD|4CGEN|5TLV|678DMG|7BPWR|aRCR
80	23264 13322	10	   	285.29	DCR|3VULN|3DMG|3ASPD|1TLV	157VULN|279ASPD|3ERES|4TLV|678DMG|7BPWR|aRCR
81	23663 13322	10	   	285.29	DCR|3VULN|3DMG|3ASPD|1TLV	137VULN|279ASPD|4ERES|5TLV|678DMG|7BPWR|aRCR
