0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12452 32352	3	 * 	310.99	DCR|5VULN|3DMG|3DUR	1678aVULN|2FEWX|347DMG|567DUR|67BPWR|9RCR
36	11443 11125	6	   	290.10	DCR|5VULN|3DMG|2LIT	1458aVULN|258DMG|3RMIN|58BPWR|6RCR|78LIT|9ASPD
37	13143 13144	6	 * 	289.77	DCR|4VULN|2DMG|2DUR|1TLV	1245VULN|35DUR|5BPWR|6RCR|7FEWX|89DMG|aTLV
38	13143 12144	7	   	289.67	DCR|4VULN|2DMG|2DUR|1TLV	1245VULN|35DUR|5BPWR|6RCR|7DUST|89DMG|aTLV
39	11443 11131	6	   	289.65	DCR|4VULN|3DMG|1TLV|2LIT	1458VULN|258DMG|3RMIN|58BPWR|6RCR|78LIT|9TLV|aFEWX
40	11443 11132	6	   	289.65	DCR|4VULN|3DMG|1TLV|2LIT	1458VULN|258DMG|3RMIN|58BPWR|6RCR|78LIT|9TLV|aLWND
41	11443 11134	6	   	289.65	DCR|4VULN|3DMG|1TLV|2LIT	1458VULN|258DMG|3RMIN|58BPWR|6RCR|78LIT|9TLV|aCGEN
42	11443 11136	6	   	289.65	DCR|4VULN|3DMG|1TLV|2LIT	1458VULN|258DMG|3aRMIN|58BPWR|6RCR|78LIT|9TLV
43	11553 81434	10	 * 	289.19	DCR|3VULN|3DUR|2DMG|3ASPD	19aVULN|2aDMG|39aDUR|489ASPD|5MBVNT|6AART|7RCR|9aBPWR
44	13141 11145	6	   	288.94	DCR|5VULN|2DUR|1DMG|2LIT	12458VULN|38DUR|6RCR|78LIT|8BPWR|9DMG|aAART
45	13143 11516	8	   	287.31	DCR|4VULN|3DUR|1TLV|1CDMG	1245VULN|358DUR|5BPWR|6RCR|7ASPD|9TLV|aCDMG
46	13143 11114	6	   	287.21	DCR|5VULN|3DUR|3LIT	12458VULN|358DUR|58BPWR|6RCR|78aLIT|9AART
47	13143 23154	7	   	287.08	DCR|5VULN|2DUR|1TLV	12458VULN|35DUR|5BPWR|6ASPD|7LIT|9RCR|aTLV
48	11443 11163	6	   	287.00	DCR|5VULN|3DMG|3LIT	1458aVULN|258DMG|3RMIN|58aBPWR|6RCR|78aLIT|9aBEXP
49	16143 11141	6	   	285.95	DCR|5VULN|3DUR|2LIT|1CDMG|1SELL	12458VULN|258BPWR|358DUR|6RCR|78LIT|9SELL|aCDMG
50	13143 11535	8	   	285.86	DCR|5VULN|3DUR|1DMG	1245aVULN|358DUR|5BPWR|6RCR|7ASPD|9DMG
51	11151 12161	6	 * 	285.46	DCR|5VULN|2DMG|2TLV	1359aVULN|2aDMG|4CGEN|6RCR|7MLV|8aTLV|aBPWR
52	13443 12122	6	   	285.46	DCR|5VULN|2DMG|2TLV	1245aVULN|35LHND|5aBPWR|6RCR|7aTLV|8TBNT|9aDMG
53	13141 11134	6	   	285.42	DCR|5VULN|2DUR|1TLV|2LIT	12458VULN|38DUR|6RCR|78LIT|8BPWR|9CGEN|aTLV
54	13141 11164	6	   	285.42	DCR|5VULN|2DUR|1TLV|2LIT	12458VULN|38DUR|6RCR|78LIT|8BPWR|9MLV|aTLV
55	16141 11134	6	   	285.42	DCR|5VULN|2DUR|1TLV|2LIT	12458VULN|28BPWR|38DUR|6RCR|78LIT|9CGEN|aTLV
56	13143 13354	10	   	285.41	DCR|4VULN|3DUR|1TLV|1DMG	1245VULN|358DUR|5BPWR|6RCR|7CGEN|9DMG|aTLV
57	13143 15511	8	   	285.41	DCR|4VULN|3DUR|1TLV|1DMG	1245VULN|358DUR|5BPWR|6RCR|7DMG|9TLV|aRPLT
58	13143 15512	8	   	285.41	DCR|4VULN|3DUR|1TLV|1DMG	1245VULN|358DUR|5BPWR|6RCR|7DMG|9TLV|aBEXP
59	13143 15513	8	   	285.41	DCR|4VULN|3DUR|1TLV|1DMG	1245VULN|358DUR|5BPWR|6RCR|7DMG|9TLV|aRCVC
60	11151 16161	7	   	285.36	DCR|5VULN|2DMG|2TLV	1359aVULN|2aDMG|4CGEN|6RCR|7ERES|8aTLV|aBPWR
61	13441 12122	6	   	285.36	DCR|5VULN|2DMG|2TLV	1245aVULN|3LHND|6RCR|7aTLV|8TBNT|9aDMG|aBPWR
62	16441 12122	6	   	285.36	DCR|5VULN|2DMG|2TLV	1245aVULN|2aBPWR|3LHND|6RCR|7aTLV|8TBNT|9aDMG
63	13141 11114	6	   	285.32	DCR|5VULN|2DUR|1TLV|2LIT	12458VULN|38DUR|6RCR|78LIT|8BPWR|9ERES|aTLV
64	16141 11114	6	   	285.32	DCR|5VULN|2DUR|1TLV|2LIT	12458VULN|28BPWR|38DUR|6RCR|78LIT|9ERES|aTLV
65	13146 11622	6	   	285.20	DCR|4VULN|3DUR|2DMG	124aVULN|35aDUR|6RCR|7LIT|8BEXP|9aDMG|aBPWR
66	13112 34612	5	   	285.20	DCR|4VULN|3DUR|2DMG	128aVULN|39aDUR|4LIT|5LWND|6aDMG|7RCR|aBPWR
67	15341 11622	6	   	285.20	DCR|4VULN|3DUR|2DMG	145aVULN|23aDUR|6RCR|7LIT|8BEXP|9aDMG|aBPWR
68	16112 34612	5	   	285.20	DCR|4VULN|3DUR|2DMG	128aVULN|2aBPWR|39aDUR|4LIT|5LWND|6aDMG|7RCR
69	13143 13162	7	   	284.12	DCR|5VULN|2DUR|1TLV|1CDMG	12459VULN|35DUR|5BPWR|6RCR|7CGEN|8TLV|aCDMG
70	16143 13162	7	   	284.12	DCR|5VULN|2DUR|1TLV|1CDMG	12459VULN|25BPWR|35DUR|6RCR|7CGEN|8TLV|aCDMG
71	13143 12262	6	   	284.02	DCR|5VULN|2DUR|1TLV|1CDMG	12459VULN|35DUR|5BPWR|6RCR|7TLV|8ERES|aCDMG
72	13143 15135	6	   	284.02	DCR|5VULN|2DUR|1TLV|1CDMG	12457VULN|35DUR|5BPWR|6RCR|8LEGI|9TLV|aCDMG
73	16143 12262	6	   	284.02	DCR|5VULN|2DUR|1TLV|1CDMG	12459VULN|25BPWR|35DUR|6RCR|7TLV|8ERES|aCDMG
74	13143 12561	6	   	283.89	DCR|5VULN|3DUR|1TLV	1245aVULN|35aDUR|5aBPWR|6RCR|7TLV|8LWND|9aCGEN
75	13143 13141	7	   	283.89	DCR|5VULN|3DUR|1TLV	1245aVULN|35aDUR|5aBPWR|6RCR|7CGEN|8TLV|9aLWND
76	16143 13141	7	   	283.89	DCR|5VULN|3DUR|1TLV	1245aVULN|25aBPWR|35aDUR|6RCR|7CGEN|8TLV|9aLWND
77	13143 12241	6	   	283.79	DCR|5VULN|3DUR|1TLV	1245aVULN|35aDUR|5aBPWR|6RCR|7TLV|8ERES|9aLWND
78	13143 12461	6	   	283.79	DCR|5VULN|3DUR|1TLV	1245aVULN|35aDUR|5aBPWR|6RCR|7TLV|8DUST|9aCGEN
79	16143 12241	6	   	283.79	DCR|5VULN|3DUR|1TLV	1245aVULN|25aBPWR|35aDUR|6RCR|7TLV|8ERES|9aLWND
80	11142 45221	5	   	283.76	DCR|3VULN|2DMG|1TLV|2CDMG|2ASPD	13aVULN|2aDMG|49ASPD|5TLV|6AART|7aCDMG|8RCR|aBPWR
81	13143 13315	8	   	283.69	DCR|5VULN|3DUR|1TLV	1245aVULN|358DUR|5BPWR|6RCR|7CGEN|9TLV
82	16143 13315	8	   	283.69	DCR|5VULN|3DUR|1TLV	1245aVULN|25BPWR|358DUR|6RCR|7CGEN|9TLV
83	13143 15215	6	   	283.59	DCR|5VULN|3DUR|1TLV	12457VULN|359DUR|5BPWR|6RCR|8DUST|aTLV
84	13143 12425	8	   	283.59	DCR|5VULN|3DUR|1TLV	12459VULN|358DUR|5BPWR|6RCR|7DUST|aTLV
85	11443 16132	6	   	283.44	DCR|3VULN|3DMG|1TLV|1DUR|1CDMG	145VULN|258DMG|3RMIN|5BPWR|6RCR|7DUR|9CDMG|aTLV
86	11441 13341	9	   	283.37	DCR|4VULN|2DMG|2TLV|1DUR	145aVULN|2aDMG|3RMIN|6RCR|7CGEN|8DUR|9aTLV|aBPWR
87	11153 12161	6	   	282.87	DCR|4VULN|3DMG|2TLV	139aVULN|25aDMG|45CGEN|5aBPWR|6RCR|7MLV|8aTLV
88	11443 13141	9	   	282.87	DCR|4VULN|3DMG|2TLV	145aVULN|25aDMG|3RMIN|5aBPWR|6RCR|7CGEN|8BEXP|9aTLV
89	11443 13241	9	   	282.87	DCR|4VULN|3DMG|2TLV	145aVULN|25aDMG|3RMIN|5aBPWR|6RCR|7CGEN|8FEWX|9aTLV
90	11153 16161	7	   	282.77	DCR|4VULN|3DMG|2TLV	139aVULN|25aDMG|45CGEN|5aBPWR|6RCR|7ERES|8aTLV
91	11151 15351	8	   	282.67	DCR|4VULN|3DMG|2TLV	135aVULN|27aDMG|4CGEN|6RCR|8ERES|9aTLV|aBPWR
92	11443 12341	9	   	282.67	DCR|4VULN|3DMG|2TLV	145aVULN|25aDMG|3RMIN|5aBPWR|6RCR|7DUST|8ERES|9aTLV
93	13143 11363	9	   	282.29	DCR|5VULN|2DUR|1DMG	12459VULN|35DUR|5BPWR|6RCR|7ASPD|8AART|aDMG
94	13143 15361	10	   	282.29	DCR|5VULN|2DUR|1DMG	12459VULN|35DUR|5BPWR|6RCR|7DMG|8AART|aLIT
95	16143 11363	9	   	282.29	DCR|5VULN|2DUR|1DMG	12459VULN|25BPWR|35DUR|6RCR|7ASPD|8AART|aDMG
96	13143 11113	6	   	282.21	DCR|5VULN|3DUR|2LIT	12458VULN|358DUR|58BPWR|6RCR|78LIT|9AART|aFEWX
97	13143 11115	6	   	282.21	DCR|5VULN|3DUR|2LIT	12458VULN|358DUR|58BPWR|6RCR|78LIT|9AART|aMLV
98	13143 11111	6	   	282.11	DCR|5VULN|3DUR|2LIT	12458VULN|358DUR|58BPWR|6RCR|78LIT|9AART|aDUST
99	11123 21451	5	   	282.01	DCR|5VULN|2DMG|2DUR	1358aVULN|28DMG|4RCVC|6RPLT|78DUR|8BPWR|9RCR
100	11123 41451	7	   	282.01	DCR|5VULN|2DMG|2DUR	1358aVULN|28DMG|4RCVC|6RPLT|78DUR|8BPWR|9RCR
101	11123 41451	6	   	282.01	DCR|5VULN|2DMG|2DUR	1358aVULN|28DMG|4RCVC|6RPLT|78DUR|8BPWR|9RCR
102	11151 16336	9	   	281.91	DCR|5VULN|2DMG|2DUR	1359aVULN|2aDMG|4CGEN|6RCR|7ERES|8aDUR|aBPWR
103	13143 15315	10	   	281.85	DCR|4VULN|2DUR|1TLV|1DMG	1245VULN|35DUR|5BPWR|6RCR|7DMG|8AART|9LWND|aTLV
104	13143 15352	10	   	281.85	DCR|4VULN|2DUR|1TLV|1DMG	1245VULN|35DUR|5BPWR|6RCR|7DMG|8AART|9RCVC|aTLV
105	13341 15341	9	   	281.83	DCR|4VULN|2TLV|1DMG|2ASPD|1DUR	125aVULN|3ERES|4aASPD|6RCR|7DMG|8DUR|9aTLV|aBPWR
106	13143 15122	7	   	281.81	DCR|5VULN|2DMG|2DUR	1245aVULN|35DUR|5aBPWR|6RCR|7aDMG|8TBNT|9aERES
107	13143 15212	7	   	281.81	DCR|5VULN|2DMG|2DUR	1245aVULN|35DUR|5aBPWR|6RCR|7aDMG|8aERES|9TBNT
108	16143 15122	7	   	281.81	DCR|5VULN|2DMG|2DUR	1245aVULN|25aBPWR|35DUR|6RCR|7aDMG|8TBNT|9aERES
109	16143 15212	7	   	281.81	DCR|5VULN|2DMG|2DUR	1245aVULN|25aBPWR|35DUR|6RCR|7aDMG|8aERES|9TBNT
110	11443 11115	6	   	281.79	DCR|5VULN|3DMG|2LIT	1458aVULN|258DMG|3RMIN|58BPWR|6RCR|78LIT|9ZMB
111	11443 11153	6	   	281.79	DCR|5VULN|3DMG|2LIT	1458aVULN|258DMG|3RMIN|58BPWR|6RCR|78LIT|9FEWX
112	11443 11141	6	   	281.69	DCR|5VULN|3DMG|2LIT	1458aVULN|258DMG|3RMIN|58BPWR|6RCR|78LIT|9BBNT
113	13143 11524	10	   	281.50	DCR|4VULN|3DUR|1TLV|2ASPD	1245VULN|358DUR|5BPWR|6RCR|79ASPD|aTLV
114	13143 33354	10	   	281.50	DCR|4VULN|3DUR|1TLV|2ASPD	1245VULN|356DUR|5BPWR|78ASPD|9RCR|aTLV
115	16153 32233	3	 * 	281.38	DCR|4VULN|1TLV|3ASPD|1DMG|1DUR	1267VULN|267BPWR|3DUR|47FEWX|567ASPD|8TLV|9DMG|aRCR
116	12266 32352	2	 * 	281.27	DCR|5VULN|3DUR|3ASPD	1678aVULN|2FEWX|357DUR|467ASPD|67BPWR|9RCR
117	12363 32352	4	   	281.27	DCR|5VULN|3DUR|3ASPD	1678aVULN|2FEWX|347DUR|567ASPD|67BPWR|9RCR
118	12366 32352	3	   	281.27	DCR|5VULN|3DUR|3ASPD	1678aVULN|2FEWX|357DUR|467ASPD|67BPWR|9RCR
119	13143 11536	8	   	281.17	DCR|4VULN|3DUR|1DMG|1CDMG	1245VULN|358DUR|5BPWR|6RCR|7ASPD|9DMG|aCDMG
120	54342 12352	10	   	281.16	DCR|3VULN|3DMG|3DUR	1BELT|259DMG|3MBVNT|459VULN|59BPWR|6RCR|789DUR|aAART
121	11163 41111	1	 * 	281.05	DCR|5VULN|3TLV|3ASPD	1589aVULN|2ERES|389ASPD|4AART|689TLV|7RCR|89BPWR
122	13342 41111	5	   	281.05	DCR|5VULN|3TLV|3ASPD	1289aVULN|3ERES|489ASPD|589TLV|6AART|7RCR|89BPWR
