0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12663 33231	4	 * 	284.38	DCR|3VULN|3DMG|2DUR|1TLV	149VULN|289DMG|39DUR|5TBNT|6DMSP|7RCR|9BPWR|aTLV
37	12666 32213	10	   	265.58	DCR|4VULN|2TLV|1DMG|1DUR	1458VULN|2DMG|3DUR|67TLV|9RCR|aRMIN
38	12366 32211	10	   	265.48	DCR|4VULN|2TLV|1DMG|1DUR	1458VULN|2DMG|3LEGI|67TLV|9RCR|aDUR
39	12366 32214	9	   	265.48	DCR|4VULN|2TLV|1DMG|1DUR	1458VULN|2DMG|3LEGI|67TLV|9RCR|aDUR
40	13311 61211	10	 * 	265.44	DCR|4VULN|2TLV|2CDMG|1DUR|1SELL	148aVULN|2SELL|3aTLV|5DUR|6CGEN|7RCR|9aCDMG|aBPWR
41	13112 33141	3	 * 	265.34	DCR|4VULN|2TLV|2CDMG|1DUR|1SELL	159aVULN|2SELL|3DUR|4TBNT|69CDMG|7RCR|89TLV|9BPWR
42	13311 31211	10	 * 	265.34	DCR|4VULN|2TLV|2CDMG|1DUR|1SELL	148aVULN|2SELL|3aTLV|5DUR|6ERES|7RCR|9aCDMG|aBPWR
43	13432 33141	1	 * 	265.34	DCR|4VULN|2TLV|2CDMG|1DUR|1SELL	159aVULN|2SELL|3TBNT|4DUR|69CDMG|7RCR|89TLV|9BPWR
44	13432 33141	2	 * 	265.34	DCR|4VULN|2TLV|2CDMG|1DUR|1SELL	159aVULN|2SELL|3TBNT|4DUR|69CDMG|7RCR|89TLV|9BPWR
45	13311 61242	8	 * 	265.21	DCR|4VULN|3DUR|1TLV|1SELL	1489VULN|2SELL|3TLV|59aDUR|69CGEN|7RCR|9BPWR
46	13311 13155	7	 * 	265.21	DCR|4VULN|3DUR|1TLV|1SELL	147aVULN|2SELL|3TLV|579DUR|67LWND|7BPWR|8RCR
47	13311 31242	8	 * 	265.01	DCR|4VULN|3DUR|1TLV|1SELL	1489VULN|2SELL|3TLV|59aDUR|69ERES|7RCR|9BPWR
48	12663 11141	9	   	264.69	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	14aVULN|2DMG|35DUR|6CDMG|7MLV|8TLV|9RCR
49	21312 41341	8	   	264.59	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	1ERES|2CDMG|35DUR|49aVULN|6TLV|7RCR|8DMG
50	21312 41611	8	   	264.59	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	1ERES|2CDMG|35DUR|48aVULN|6TLV|7RCR|9DMG
51	21312 41641	7	   	264.59	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	1ERES|2CDMG|35DUR|49aVULN|6TLV|7RCR|8DMG
52	21312 41651	9	   	264.59	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	1ERES|2CDMG|35DUR|48aVULN|6TLV|7RCR|9DMG
53	13112 33144	3	 * 	264.35	DCR|3VULN|2TLV|1DMG|2CDMG|1DUR|1SELL	159VULN|2SELL|3DUR|4TBNT|69CDMG|7RCR|89TLV|9BPWR|aDMG
54	13432 33144	1	 * 	264.35	DCR|3VULN|2TLV|1DMG|2CDMG|1DUR|1SELL	159VULN|2SELL|3TBNT|4DUR|69CDMG|7RCR|89TLV|9BPWR|aDMG
55	13432 33144	2	 * 	264.35	DCR|3VULN|2TLV|1DMG|2CDMG|1DUR|1SELL	159VULN|2SELL|3TBNT|4DUR|69CDMG|7RCR|89TLV|9BPWR|aDMG
56	13122 41211	10	 * 	264.12	DCR|3VULN|3DUR|1TLV|2CDMG|1SELL	18aVULN|2SELL|35aDUR|4CGEN|6TLV|7RCR|9aCDMG|aBPWR
57	13134 41211	10	 * 	264.12	DCR|3VULN|3DUR|1TLV|2CDMG|1SELL	18aVULN|2SELL|34aDUR|5CGEN|6TLV|7RCR|9aCDMG|aBPWR
58	13133 41211	10	 * 	264.02	DCR|3VULN|3DUR|1TLV|2CDMG|1SELL	18aVULN|2SELL|34aDUR|5ERES|6TLV|7RCR|9aCDMG|aBPWR
59	63333 23148	6	 * 	263.89	DCR|2VULN|2DMG|2DUR|1TLV|3LIT	148LIT|2MBVNT|35VULN|68DUR|78DMG|8BPWR|9RCR|aTLV
60	63341 33148	4	   	263.89	DCR|2VULN|2DMG|2DUR|1TLV|3LIT	168LIT|2MBVNT|35VULN|48DUR|78DMG|8BPWR|9RCR|aTLV
61	12664 33112	10	 * 	263.67	DCR|4VULN|2DMG|2DUR	146aVULN|2aDMG|3aDUR|578LWND|9RCR|aBPWR
62	12215 11266	9	   	263.31	DCR|3VULN|3DMG|1TLV|1AART	148VULN|278DMG|3RPLT|5AART|68LWND|8BPWR|9TLV|aRCR
63	12366 13141	9	   	263.11	DCR|4VULN|1TLV|1DMG|1CDMG	145aVULN|2DMG|3LEGI|6CDMG|7ASPD|8TLV|9RCR
64	22411 53233	1	   	262.97	DCR|2VULN|3DMG|1TLV|1DUR|1AART	17ERES|2ASPD|37VULN|457DMG|6AART|7BPWR|8RCR|9DUR|aTLV
65	63751 33141	2	 * 	262.38	DCR|3VULN|2DMG|2DUR|3LIT	168LIT|2MBVNT|3aDUR|458VULN|78DMG|8BPWR|9RCR
66	12213 61313	10	   	262.35	DCR|3VULN|2DMG|1TLV|1DUR	148VULN|25DMG|3RPLT|6LIT|7DUR|9RCR|aTLV
67	21312 63432	10	   	261.53	DCR|2VULN|3DUR|1TLV|1DMG|1CDMG	17ERES|2CDMG|357DUR|47VULN|6RCR|7BPWR|8TLV|9LIT|aDMG
68	22411 53235	1	   	261.46	DCR|3VULN|3DMG|1DUR|1AART	17ERES|2ASPD|37aVULN|457DMG|6AART|7BPWR|8RCR|9DUR
69	63352 32118	3	   	261.05	DCR|3VULN|2DMG|1TLV|2LIT	18LIT|2MBVNT|348VULN|58DMG|6RCR|7RCVC|8BPWR|9ASPD|aTLV
70	63352 32184	3	   	261.05	DCR|3VULN|2DMG|1TLV|2LIT	18LIT|2MBVNT|348VULN|58DMG|6RCR|7RCVC|8BPWR|9TLV|aASPD
71	11635 63223	3	   	260.90	DCR|3VULN|2DUR|1TLV|1DMG|1AART	167VULN|27ZMB|37DUR|4RCVC|5AART|7BPWR|8DMG|9RCR|aTLV
72	11635 63223	4	   	260.90	DCR|3VULN|2DUR|1TLV|1DMG|1AART	167VULN|27ZMB|37DUR|4RCVC|5AART|7BPWR|8DMG|9RCR|aTLV
73	11636 53223	5	   	260.90	DCR|3VULN|2DUR|1TLV|1DMG|1AART	157VULN|27ZMB|37DUR|4RCVC|6AART|7BPWR|8DMG|9RCR|aTLV
74	11665 13223	4	   	260.90	DCR|3VULN|2DUR|1TLV|1DMG|1AART	147VULN|27ZMB|37DUR|5AART|6DMSP|7BPWR|8DMG|9RCR|aTLV
75	52262 53223	5	   	260.80	DCR|3VULN|2DUR|1TLV|1DMG|1AART	1RMIN|2RCVC|347VULN|57DUR|6AART|7BPWR|8DMG|9RCR|aTLV
76	13311 13142	7	   	260.29	DCR|4VULN|2DUR|1TLV|1SELL	1479VULN|2SELL|3TLV|57DUR|67LWND|7BPWR|8RCR|aLIT
77	11663 33141	4	   	260.20	DCR|4VULN|2TLV|2DUR	149aVULN|2ZMB|39DUR|5TBNT|6DMSP|7RCR|89TLV|9BPWR
78	14635 11224	5	   	260.20	DCR|4VULN|2TLV|2DUR	158aVULN|2MLV|3aDUR|4BELT|6RCR|7MBVNT|9aTLV|aBPWR
79	13311 13161	7	   	260.06	DCR|4VULN|2TLV|2DUR|1SELL	147aVULN|2SELL|39TLV|57DUR|67LWND|7BPWR|8RCR
80	13112 12143	3	   	259.96	DCR|4VULN|2TLV|2DUR|1SELL	1569VULN|2SELL|39DUR|4TBNT|7RPLT|89TLV|9BPWR|aRCR
81	13313 26543	4	   	259.96	DCR|4VULN|2TLV|2DUR|1SELL	1479VULN|2SELL|39TLV|5BBNT|6RPLT|89DUR|9BPWR|aRCR
82	13432 12143	1	   	259.96	DCR|4VULN|2TLV|2DUR|1SELL	1569VULN|2SELL|3TBNT|49DUR|7RPLT|89TLV|9BPWR|aRCR
83	13432 12143	2	   	259.96	DCR|4VULN|2TLV|2DUR|1SELL	1569VULN|2SELL|3TBNT|49DUR|7RPLT|89TLV|9BPWR|aRCR
84	12165 21151	4	   	259.76	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1AART	147VULN|2DMG|3LHND|5AART|6TLV|8RCR|9DUR|aCDMG
85	16315 31151	2	   	259.76	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1AART	137VULN|2FEWX|4DMG|5AART|6TLV|8RCR|9DUR|aCDMG
86	12633 33231	3	   	259.69	DCR|2VULN|3DMG|2DUR|1TLV	19VULN|289DMG|39DUR|4RCVC|5TBNT|6DMSP|7RCR|9BPWR|aTLV
87	12643 33231	3	   	259.69	DCR|2VULN|3DMG|2DUR|1TLV	19VULN|289DMG|39DUR|46DMSP|5TBNT|7RCR|9BPWR|aTLV
88	12365 21151	4	   	259.66	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1AART	147VULN|2DMG|3LEGI|5AART|6TLV|8RCR|9DUR|aCDMG
89	12212 54313	10	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	148VULN|2DMG|3RPLT|57DUR|6LIT|9RCR|aTLV
90	12633 33141	3	   	259.22	DCR|3VULN|2TLV|2DUR|1DMG	19aVULN|2DMG|39DUR|4RCVC|5TBNT|6DMSP|7RCR|89TLV|9BPWR
91	12643 33141	3	   	259.22	DCR|3VULN|2TLV|2DUR|1DMG	19aVULN|2DMG|39DUR|46DMSP|5TBNT|7RCR|89TLV|9BPWR
92	12663 33143	4	   	259.22	DCR|3VULN|2TLV|2DUR|1DMG	149VULN|2DMG|39DUR|5TBNT|6DMSP|7RCR|89TLV|9BPWR|aZMB
93	12231 32332	7	   	259.13	DCR|3VULN|2DMG|2DUR	19aVULN|2aDMG|3RPLT|4ASPD|5LIT|6aDUR|7RCR|8BBNT|aBPWR
94	12663 32211	9	   	259.12	DCR|3VULN|2TLV|2DUR|1DMG	148VULN|2DMG|35DUR|67TLV|9RCR|aCGEN
95	12663 32212	10	   	259.12	DCR|3VULN|2TLV|2DUR|1DMG	148VULN|2DMG|35DUR|67TLV|9RCR|aDMSP
96	12663 32212	9	   	259.12	DCR|3VULN|2TLV|2DUR|1DMG	148VULN|2DMG|35DUR|67TLV|9RCR|aBELT
97	12663 32213	10	   	259.12	DCR|3VULN|2TLV|2DUR|1DMG	148VULN|2DMG|35DUR|67TLV|9RCR|aRMIN
98	12663 32214	10	   	259.12	DCR|3VULN|2TLV|2DUR|1DMG	148VULN|2DMG|35DUR|67TLV|9RCR|aRCVC
99	12663 32215	10	   	259.12	DCR|3VULN|2TLV|2DUR|1DMG	148VULN|2DMG|35DUR|67TLV|9RCR|aBEXP
100	12663 32216	9	   	259.12	DCR|3VULN|2TLV|2DUR|1DMG	148VULN|2DMG|35DUR|67TLV|9RCR|aLWND
101	12663 33142	4	   	259.12	DCR|3VULN|2TLV|2DUR|1DMG	149VULN|2DMG|39DUR|5TBNT|6DMSP|7RCR|89TLV|9BPWR|aDUST
102	12663 32215	9	   	259.02	DCR|3VULN|2TLV|2DUR|1DMG	148VULN|2DMG|35DUR|67TLV|9RCR|aTBNT
103	12165 21124	4	   	258.99	DCR|4VULN|2TLV|1DMG|1AART	147aVULN|2DMG|3LHND|5AART|69TLV|8RCR
104	12165 21163	4	   	258.99	DCR|4VULN|2TLV|1DMG|1AART	1479VULN|2DMG|3LHND|5AART|6aTLV|8RCR
105	16315 31124	2	   	258.99	DCR|4VULN|2TLV|1DMG|1AART	137aVULN|2FEWX|4DMG|5AART|69TLV|8RCR
106	16315 31163	2	   	258.99	DCR|4VULN|2TLV|1DMG|1AART	1379VULN|2FEWX|4DMG|5AART|6aTLV|8RCR
107	12365 21124	4	   	258.89	DCR|4VULN|2TLV|1DMG|1AART	147aVULN|2DMG|3LEGI|5AART|69TLV|8RCR
108	12365 21163	4	   	258.89	DCR|4VULN|2TLV|1DMG|1AART	1479VULN|2DMG|3LEGI|5AART|6aTLV|8RCR
109	12465 31122	4	   	258.89	DCR|4VULN|2TLV|1DMG|1AART	147aVULN|2DMG|3DUST|5AART|69TLV|8RCR
110	13133 33141	4	 * 	258.87	DCR|3VULN|2TLV|2DUR|2CDMG|1SELL	19aVULN|2SELL|34DUR|5TBNT|69CDMG|7RCR|89TLV|9BPWR
111	11215 25222	8	   	258.65	DCR|4VULN|2DMG|2ASPD|1AART	148aVULN|2ZMB|3RPLT|5AART|68ASPD|78DMG|8BPWR|9RCR
112	12364 34232	10	   	258.65	DCR|4VULN|2DMG|1DUR|1AART	1469VULN|29DMG|3LEGI|59LWND|7AART|8RCR|9BPWR|aDUR
113	63352 32122	3	   	258.45	DCR|3VULN|3DMG|1DUR|2LIT	18LIT|2MBVNT|348VULN|58aDMG|6RCR|7RCVC|8BPWR|9DUR
114	12366 13143	10	   	258.31	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	145VULN|2DMG|3LEGI|6CDMG|7ASPD|8TLV|9RCR|aDUR
115	12663 33233	4	   	258.17	DCR|3VULN|3DMG|2DUR	149VULN|289DMG|39DUR|5TBNT|6DMSP|7RCR|9BPWR|aRMIN
116	12663 33234	4	   	258.17	DCR|3VULN|3DMG|2DUR	149VULN|289DMG|39DUR|5TBNT|6DMSP|7RCR|9BPWR|aMLV
117	12663 33236	4	   	258.17	DCR|3VULN|3DMG|2DUR	149VULN|289DMG|39DUR|5TBNT|6DMSP|7RCR|9BPWR|aBEXP
118	12212 36443	5	   	258.07	DCR|3VULN|3DMG|2DUR	149VULN|268DMG|3RPLT|59DUR|7BBNT|9BPWR|aRCR
119	12663 33232	4	   	258.07	DCR|3VULN|3DMG|2DUR	149VULN|289DMG|39DUR|5TBNT|6DMSP|7RCR|9BPWR|aDUST
120	21312 63365	7	   	257.85	DCR|3VULN|3DUR|1TLV|1CDMG	17ERES|2CDMG|357DUR|47aVULN|6RCR|7BPWR|8BEXP|9TLV
121	21312 63415	8	   	257.85	DCR|3VULN|3DUR|1TLV|1CDMG	17ERES|2CDMG|357DUR|47aVULN|6RCR|7BPWR|8TLV|9LWND
122	21312 63435	8	   	257.85	DCR|3VULN|3DUR|1TLV|1CDMG	17ERES|2CDMG|357DUR|47aVULN|6RCR|7BPWR|8TLV|9BEXP
123	21312 41632	8	   	257.75	DCR|3VULN|3DUR|1TLV|1CDMG	1ERES|2CDMG|35aDUR|489VULN|6TLV|7RCR
124	21312 63165	8	   	257.75	DCR|3VULN|3DUR|1TLV|1CDMG	17ERES|2CDMG|357DUR|47aVULN|6RCR|7BPWR|8LEGI|9TLV
125	21312 63365	8	   	257.75	DCR|3VULN|3DUR|1TLV|1CDMG	17ERES|2CDMG|357DUR|47aVULN|6RCR|7BPWR|8DUST|9TLV
126	21312 63425	8	   	257.75	DCR|3VULN|3DUR|1TLV|1CDMG	17ERES|2CDMG|357DUR|47aVULN|6RCR|7BPWR|8TLV|9DUST
127	12166 32215	9	   	257.64	DCR|4VULN|2TLV|1DMG	1458VULN|2DMG|3LHND|67TLV|9RCR|aLIT
128	12366 32215	9	   	257.54	DCR|4VULN|2TLV|1DMG	1458VULN|2DMG|3LEGI|67TLV|9RCR|aLIT
129	21312 41351	9	   	257.48	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1ERES|2CDMG|35DUR|4aVULN|6TLV|7RCR|89DMG
130	13311 61211	8	   	257.26	DCR|4VULN|1TLV|1DMG|1DUR|1SELL	148aVULN|2SELL|3TLV|5DUR|6CGEN|7RCR|9DMG
131	13311 61251	9	   	257.26	DCR|4VULN|1TLV|1DMG|1DUR|1SELL	148aVULN|2SELL|3TLV|5DUR|6CGEN|7RCR|9DMG
132	12663 61311	10	 * 	257.26	DCR|2VULN|3DUR|2DMG|1TLV	14VULN|26DMG|356DUR|6BPWR|7TLV|8CGEN|9RCR|aZMB
133	12663 61312	10	   	257.26	DCR|2VULN|3DUR|2DMG|1TLV	14VULN|26DMG|356DUR|6BPWR|7TLV|8CGEN|9RCR|aLWND
134	12663 61312	9	   	257.26	DCR|2VULN|3DUR|2DMG|1TLV	14VULN|26DMG|356DUR|6BPWR|7TLV|8CGEN|9RCR|aRMIN
135	12166 26122	6	   	257.19	DCR|4VULN|2DMG|1DUR	1457VULN|2aDMG|3LHND|6LIT|8RCR|9DUR
136	13311 31211	8	   	257.16	DCR|4VULN|1TLV|1DMG|1DUR|1SELL	148aVULN|2SELL|3TLV|5DUR|6ERES|7RCR|9DMG
137	13311 31251	9	   	257.16	DCR|4VULN|1TLV|1DMG|1DUR|1SELL	148aVULN|2SELL|3TLV|5DUR|6ERES|7RCR|9DMG
138	12663 61311	9	   	257.16	DCR|2VULN|3DUR|2DMG|1TLV	14VULN|26DMG|356DUR|6BPWR|7TLV|8CGEN|9RCR|aTBNT
139	12663 61313	10	   	257.16	DCR|2VULN|3DUR|2DMG|1TLV	14VULN|26DMG|356DUR|6BPWR|7TLV|8CGEN|9RCR|aERES
140	11241 52134	1	   	257.16	DCR|2VULN|3DUR|2DMG|1TLV	17VULN|2RCVC|37DMG|49ERES|5TLV|678DUR|7BPWR|aRCR
141	12212 35211	5	   	257.14	DCR|3VULN|3DMG|1DUR|1CDMG	14aVULN|268DMG|3RPLT|5DUR|7CDMG|9RCR
142	12213 65211	5	   	257.14	DCR|3VULN|3DMG|1DUR|1CDMG	14aVULN|258DMG|3RPLT|6DUR|7CDMG|9RCR
143	12366 26122	6	   	257.09	DCR|4VULN|2DMG|1DUR	1457VULN|2aDMG|3LEGI|6LIT|8RCR|9DUR
144	12663 13142	9	   	256.61	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG	14VULN|2DMG|35DUR|6CDMG|7ASPD|8TLV|9RCR|aLIT
145	12366 61221	10	   	256.60	DCR|4VULN|3DMG	1456VULN|268DMG|3LEGI|6BPWR|7RCVC|9RCR|aLIT
146	12663 13143	10	   	256.38	DCR|2VULN|2TLV|2DUR|1DMG|1CDMG	14VULN|2DMG|35DUR|6CDMG|7ASPD|8aTLV|9RCR
147	12633 23146	3	   	256.06	DCR|2VULN|3DUR|2TLV|1DMG	19VULN|2DMG|369DUR|4RCVC|5TBNT|7RCR|89TLV|9BPWR|aLIT
148	63333 45227	7	   	256.01	DCR|4VULN|1TLV|1DMG|2LIT	14LIT|2MBVNT|358aVULN|6TLV|7DMG|9RCR
149	63333 45327	8	   	256.01	DCR|4VULN|1TLV|1DMG|2LIT	14LIT|2MBVNT|358aVULN|6TLV|7DMG|9RCR
150	13145 13223	3	 * 	255.92	DCR|2VULN|2DUR|1TLV|1DMG|2CDMG|1AART|1SELL	17VULN|2SELL|37DUR|47CDMG|5AART|6DMSP|7BPWR|8DMG|9RCR|aTLV
151	63352 32117	3	   	255.90	DCR|4VULN|2DMG|2LIT	18LIT|2MBVNT|348aVULN|58DMG|6RCR|7RCVC|8BPWR|9ASPD
152	13132 21454	4	   	255.40	DCR|3VULN|3DUR|2DMG|1SELL	19aVULN|2SELL|345DUR|6DLOT|79DMG|8RCR|9BPWR
153	12166 11141	9	   	254.90	DCR|4VULN|1TLV|1DMG|1CDMG	145aVULN|2DMG|3LHND|6CDMG|7MLV|8TLV|9RCR
154	12166 13141	9	   	254.90	DCR|4VULN|1TLV|1DMG|1CDMG	145aVULN|2DMG|3LHND|6CDMG|7CGEN|8TLV|9RCR
155	12366 11141	9	   	254.80	DCR|4VULN|1TLV|1DMG|1CDMG	145aVULN|2DMG|3LEGI|6CDMG|7MLV|8TLV|9RCR
156	12665 31133	4	   	254.42	DCR|3VULN|1TLV|1DMG|1DUR|1AART	147VULN|2DMG|3DUR|5AART|6TLV|8RCR|9RMIN|aASPD
157	12165 21153	4	   	254.42	DCR|3VULN|1TLV|1DMG|1DUR|1AART	147VULN|2DMG|3LHND|5AART|6TLV|8RCR|9DUR|aLIT
158	16315 31153	2	   	254.42	DCR|3VULN|1TLV|1DMG|1DUR|1AART	137VULN|2FEWX|4DMG|5AART|6TLV|8RCR|9DUR|aLIT
159	13145 13224	3	 * 	254.41	DCR|3VULN|2DUR|1DMG|2CDMG|1AART|1SELL	17aVULN|2SELL|37DUR|47CDMG|5AART|6DMSP|7BPWR|8DMG|9RCR
160	12111 66116	2	   	254.40	DCR|3VULN|2DMG|1TLV	17aVULN|24DMG|3CGEN|5TLV|6LIT|8RCR|9ASPD
