0	Index      	Bounty	 *	Score 	Summary	Detail	
1	61221 22366	10	 * 	281.40	DCR|4VULN|2DMG|3LIT|1TLV	14aLIT|236aVULN|5TLV|7DUST|8RCR|9aDMG|aBPWR
49	43321 33164	1	 * 	258.57	DCR|3VULN|3DMG|3TLV	19aTLV|2RPLT|36aVULN|469BEXP|5RMIN|69aBPWR|7RCR|89aDMG
50	32114 42151	10	 * 	258.54	DCR|4VULN|2DUR|2TLV	19MLV|23TLV|4RPLT|569aVULN|7RCR|89DUR|9BPWR
51	61242 25113	3	 * 	258.54	DCR|4VULN|2DUR|3LIT	147LIT|2347VULN|47BPWR|5RCVC|67DUR|89ZMB|aRCR
52	13143 51136	1	   	258.54	DCR|4VULN|2DUR|1DMG	16DUR|245BEXP|345aVULN|45BPWR|7MBVNT|8DMG|9RCR
53	13146 41131	1	   	258.54	DCR|4VULN|2DUR|1DMG	1aDUR|246BEXP|3456VULN|46BPWR|7MBVNT|8DMG|9RCR
54	13153 41131	1	   	258.54	DCR|4VULN|2DUR|1DMG	1aDUR|256BEXP|3456VULN|56BPWR|7MBVNT|8DMG|9RCR
55	61222 25153	4	   	258.44	DCR|4VULN|2DUR|3LIT	147LIT|2379VULN|5RCVC|67DUR|7BPWR|8ZMB|aRCR
56	65413 31322	3	   	258.17	DCR|3VULN|2DMG|2LIT|1ASPD|1AART	19LIT|2CGEN|3DLOT|479VULN|59DMG|6RCR|8AART|9BPWR|aASPD
57	65413 31322	4	   	258.17	DCR|3VULN|2DMG|2LIT|1ASPD|1AART	19LIT|2CGEN|3DLOT|479VULN|59DMG|6RCR|8AART|9BPWR|aASPD
58	32325 45223	8	   	257.50	DCR|4VULN|1DMG|1TLV|1CDMG	1MLV|2TLV|3CDMG|4789VULN|5ZMB|6RCR|aDMG
59	32325 45223	7	   	257.50	DCR|4VULN|1DMG|1TLV|1CDMG	1MLV|2TLV|3CDMG|4789VULN|5ZMB|6RCR|aDMG
60	33336 53331	1	   	257.50	DCR|4VULN|1DMG|1TLV|1CDMG	1MLV|2RPLT|3589VULN|4CDMG|6DMG|7RCR|aTLV
61	33336 53332	1	   	257.50	DCR|4VULN|1DMG|1DUR|1CDMG	1MLV|2RPLT|3589VULN|4CDMG|6DMG|7RCR|aDUR
62	43336 53331	1	   	257.50	DCR|4VULN|1DMG|1TLV|1CDMG	1TLV|2RPLT|3589VULN|4CDMG|6DMG|7RCR|aMLV
63	61233 12643	2	   	257.42	DCR|3VULN|3LIT|1DMG|1TLV|1DUR	145LIT|245VULN|3BBNT|45BPWR|6CGEN|7TLV|8DMG|9RCR|aDUR
64	61233 45223	2	   	257.40	DCR|4VULN|3LIT|1DUR|1CDMG	145LIT|2456VULN|3BBNT|45BPWR|7BEXP|8CDMG|9DUR|aRCR
65	61233 66213	2	   	257.40	DCR|4VULN|3LIT|1DUR|1CDMG	145LIT|2457VULN|3BBNT|45BPWR|6DUR|8CDMG|9LWND|aRCR
66	43336 53333	1	   	257.40	DCR|4VULN|1DMG|1TLV|1CDMG	1TLV|2RPLT|3589VULN|4CDMG|6DMG|7RCR|aDUST
67	61233 32643	2	   	257.32	DCR|3VULN|3LIT|1DMG|1TLV|1DUR	145LIT|245VULN|3BBNT|45BPWR|6ERES|7TLV|8DMG|9RCR|aDUR
68	61233 42223	2	   	257.30	DCR|4VULN|3LIT|1DUR|1CDMG	145LIT|2456VULN|3BBNT|45BPWR|7DUST|8CDMG|9DUR|aRCR
69	61433 42223	2	   	257.30	DCR|4VULN|3LIT|1DUR|1CDMG	145LIT|2456VULN|3TBNT|45BPWR|7DUST|8CDMG|9DUR|aRCR
70	12313 21254	2	   	257.21	DCR|3VULN|2DUR|2ASPD|1DMG	1aDUR|2LHND|3aASPD|4LWND|5DMG|6RCVC|7RCR|89aVULN|aBPWR
71	12313 41254	2	   	257.21	DCR|3VULN|2DUR|2ASPD|1DMG	1aDUR|2LHND|3aASPD|46LWND|5DMG|7RCR|89aVULN|aBPWR
72	61221 23361	7	   	257.13	DCR|4VULN|3LIT|2TLV|1AART	147LIT|2367VULN|57TLV|7BPWR|8TBNT|9RCR|aAART
73	61513 21331	10	 * 	257.01	DCR|3VULN|2DUR|2ASPD|3LIT	17aLIT|246VULN|3RMIN|5aDUR|8RCR|9aASPD|aBPWR
74	43336 33335	1	   	256.64	DCR|3VULN|2DUR|1TLV|1CDMG|1ASPD	1TLV|2RPLT|35aVULN|4CDMG|6ASPD|7RCR|89DUR
75	61241 11532	1	   	256.44	DCR|4VULN|2DUR|1AART	1LIT|24DUR|347aVULN|4BPWR|59LWND|6AART|8RCR
76	61341 11532	3	   	256.44	DCR|4VULN|2DUR|1AART	1LIT|247aVULN|34DUR|4BPWR|59LWND|6AART|8RCR
77	61213 34432	9	   	256.34	DCR|4VULN|2DUR|1AART	1LIT|238aVULN|4LWND|5AART|6RCR|79DUR
78	61213 54212	9	   	256.34	DCR|4VULN|2DUR|1AART	1LIT|239aVULN|4LWND|5AART|67DUR|8RCR
79	11641 21741	10	   	255.95	DCR|2VULN|3DUR|2DMG|1TLV	12aDUR|2aBPWR|3RCVC|4MBVNT|5aVULN|6RCR|7TLV|8DUST|9aDMG
80	11162 16232	3	   	255.85	DCR|2VULN|3DUR|2DMG|1TLV	12aDUR|2BPWR|3TLV|48DMG|5ERES|6RCR|79VULN
81	11252 48224	6	   	255.85	DCR|2VULN|3DUR|2DMG|1TLV	129DUR|2aBPWR|3aDUST|4TLV|5MBVNT|6aDMG|7RCR|8aVULN
82	16242 35212	6	   	255.55	DCR|2VULN|3DMG|3DUR	168DUR|29RPLT|3BELT|456DMG|68BPWR|78VULN|aRCR
83	11163 41632	2	   	255.55	DCR|2VULN|3DMG|3DUR	127DUR|258BPWR|358CGEN|458DMG|68VULN|9RCR|aERES
84	11363 41632	3	   	255.55	DCR|2VULN|3DMG|3DUR	127DUR|258BPWR|358CGEN|458DMG|68VULN|9RCR|aERES
85	61213 34313	10	   	255.43	DCR|3VULN|1DMG|1TLV|1DUR|1AART	1LIT|239VULN|4LWND|5AART|6RCR|7DUR|8TLV|aDMG
86	61213 34313	9	   	255.43	DCR|3VULN|1DMG|1TLV|1DUR|1AART	1LIT|239VULN|4LWND|5AART|6RCR|7DUR|8TLV|aDMG
87	61254 22321	3	   	255.41	DCR|4VULN|1DUR|1CDMG|1AART	1LIT|2359VULN|4BELT|6AART|7RCR|8DUR|aCDMG
88	11522 42145	7	   	255.35	DCR|2VULN|3DMG|3DUR	12aDUR|2aBPWR|3RMIN|4LEGI|5MBVNT|69aDMG|7aVULN|8RCR
89	11522 42645	8	   	255.35	DCR|2VULN|3DMG|3DUR	12aDUR|2aBPWR|3RMIN|4LEGI|5MBVNT|69aDMG|7aVULN|8RCR
90	62111 63152	8	   	255.10	DCR|3VULN|2DUR|1DMG|1ASPD	1LIT|2LHND|3ASPD|49aVULN|57DUR|6RCR|8DMG
91	21141 21345	7	   	254.95	DCR|3VULN|2DMG|1TLV|1DUR	1ZMB|2DUST|3DUR|45DMG|6RCR|7TLV|89aVULN
92	11251 34236	2	 * 	254.92	DCR|3VULN|3DUR|3CDMG|1SELL	12aDUR|2aBPWR|36aCDMG|4RPLT|5SELL|78aVULN|9RCR
93	11331 34236	2	 * 	254.92	DCR|3VULN|3DUR|3CDMG|1SELL	12aDUR|2aBPWR|3RPLT|46aCDMG|5SELL|78aVULN|9RCR
94	11521 34236	1	 * 	254.92	DCR|3VULN|3DUR|3CDMG|1SELL	14aDUR|26aCDMG|3RPLT|5SELL|78aVULN|9RCR|aBPWR
95	61221 25331	9	   	254.89	DCR|4VULN|1DUR|1TLV|2LIT	14LIT|2369VULN|5TLV|7BEXP|8RCR|aDUR
96	61221 25332	10	   	254.89	DCR|4VULN|1DUR|1TLV|2LIT	14LIT|2369VULN|5TLV|7BEXP|8RCR|aDUR
97	11641 22338	7	   	254.52	DCR|4VULN|2DUR|1TLV	12DUR|2BPWR|3RCVC|4MBVNT|579aVULN|6RCR|8TLV
98	61241 11513	1	   	253.86	DCR|3VULN|2DUR|1DMG|1AART	1LIT|24DUR|347VULN|4BPWR|5LWND|6AART|8RCR|9RMIN|aDMG
99	61341 11513	3	   	253.86	DCR|3VULN|2DUR|1DMG|1AART	1LIT|247VULN|34DUR|4BPWR|5LWND|6AART|8RCR|9RMIN|aDMG
100	32323 66135	4	   	253.79	DCR|4VULN|1TLV|1DUR|1CDMG	16MLV|2TLV|3CDMG|4567VULN|6BPWR|8RPLT|9DUR|aRCR
101	15632 43464	10	   	253.74	DCR|2VULN|2DUR|1DMG|1TLV|2LIT|1CDMG	19DUR|2LWND|39LIT|4TLV|5MBVNT|6RCR|7CDMG|89VULN|9BPWR|aDMG
102	11614 22234	6	   	253.55	DCR|2VULN|3DUR|2DMG|1CDMG	12aDUR|2aBPWR|3RCVC|4RPLT|5aVULN|6CDMG|7LWND|8aDMG|9RCR
103	61513 31124	5	   	253.51	DCR|3VULN|3DUR|1TLV	1LIT|247VULN|3RMIN|569DUR|8TLV|aRCR
104	16321 12225	7	   	253.48	DCR|3VULN|2DMG|2DUR	19DUR|2RPLT|3CGEN|49aVULN|5DUST|6BEXP|79DMG|8RCR|9BPWR
105	61213 31411	10	   	253.47	DCR|4VULN|2ASPD|2LIT|1AART	1aLIT|239aVULN|4LWND|5AART|6RCR|7CGEN|8aASPD|aBPWR
106	61213 33411	10	   	253.37	DCR|4VULN|2ASPD|2LIT|1AART	1aLIT|239aVULN|4LWND|5AART|6RCR|7ERES|8aASPD|aBPWR
107	61233 66123	2	   	253.31	DCR|4VULN|3LIT|1DUR|1AART	145LIT|2457VULN|3BBNT|45BPWR|6DUR|8MBVNT|9RCR|aAART
108	43151 33161	2	   	252.47	DCR|3VULN|2DMG|2TLV|1AART	19TLV|26BEXP|3RPLT|469VULN|5RMIN|69BPWR|7RCR|89DMG|aAART
109	43151 33161	1	   	252.47	DCR|3VULN|2DMG|2TLV|1AART	19TLV|2RPLT|36BEXP|469VULN|5RMIN|69BPWR|7RCR|89DMG|aAART
110	43221 33161	4	   	252.47	DCR|3VULN|2DMG|2TLV|1AART	19TLV|26BEXP|3RPLT|469VULN|5RMIN|69BPWR|7RCR|89DMG|aAART
111	43226 33161	5	   	252.47	DCR|3VULN|2DMG|2TLV|1AART	19TLV|26BEXP|3RPLT|469VULN|5RMIN|69BPWR|7RCR|89DMG|aAART
112	43251 33161	3	   	252.47	DCR|3VULN|2DMG|2TLV|1AART	19TLV|26BEXP|3RPLT|469VULN|5RMIN|69BPWR|7RCR|89DMG|aAART
113	45221 33161	4	   	252.47	DCR|3VULN|2DMG|2TLV|1AART	19TLV|26LHND|3RPLT|469VULN|5RMIN|69BPWR|7RCR|89DMG|aAART
114	43336 53231	1	   	252.45	DCR|3VULN|2DMG|1TLV|1CDMG	1TLV|2RPLT|359VULN|4CDMG|68DMG|7RCR|aMLV
115	33336 53231	1	   	252.45	DCR|3VULN|2DMG|1TLV|1CDMG	1MLV|2RPLT|359VULN|4CDMG|68DMG|7RCR|aTLV
116	33336 53232	1	   	252.45	DCR|3VULN|2DMG|1DUR|1CDMG	1MLV|2RPLT|359VULN|4CDMG|68DMG|7RCR|aDUR
117	43336 53233	1	   	252.35	DCR|3VULN|2DMG|1TLV|1CDMG	1TLV|2RPLT|359VULN|4CDMG|68DMG|7RCR|aDUST
118	61513 21333	8	   	252.32	DCR|3VULN|1DMG|1TLV|1DUR|2LIT	17LIT|246VULN|3RMIN|5DUR|8RCR|9DMG|aTLV
119	41151 33161	1	   	252.27	DCR|3VULN|2DMG|2TLV|1AART	19TLV|26DUST|3RPLT|469VULN|5RMIN|69BPWR|7RCR|89DMG|aAART
120	41151 33161	2	   	252.27	DCR|3VULN|2DMG|2TLV|1AART	19TLV|26DUST|3RPLT|469VULN|5RMIN|69BPWR|7RCR|89DMG|aAART
121	41221 33161	4	   	252.27	DCR|3VULN|2DMG|2TLV|1AART	19TLV|26DUST|3RPLT|469VULN|5RMIN|69BPWR|7RCR|89DMG|aAART
122	41226 33161	5	   	252.27	DCR|3VULN|2DMG|2TLV|1AART	19TLV|26DUST|3RPLT|469VULN|5RMIN|69BPWR|7RCR|89DMG|aAART
123	41251 33161	3	   	252.27	DCR|3VULN|2DMG|2TLV|1AART	19TLV|26DUST|3RPLT|469VULN|5RMIN|69BPWR|7RCR|89DMG|aAART
124	61154 22132	2	   	252.27	DCR|3VULN|2DMG|3LIT|1AART	139LIT|259VULN|4BELT|6AART|7RCR|89DMG|9BPWR|aRPLT
125	61154 22133	2	   	252.27	DCR|3VULN|2DMG|3LIT|1AART	139LIT|259VULN|4BELT|6AART|7RCR|89DMG|9BPWR|aRMIN
126	64234 22132	2	   	252.27	DCR|3VULN|2DMG|3LIT|1AART	129LIT|3BELT|459VULN|6AART|7RCR|89DMG|9BPWR|aRPLT
127	64234 22133	2	   	252.27	DCR|3VULN|2DMG|3LIT|1AART	129LIT|3BELT|459VULN|6AART|7RCR|89DMG|9BPWR|aRMIN
128	16325 35231	8	   	252.22	DCR|4VULN|2DUR|1CDMG	18DUR|2RPLT|368CGEN|4578VULN|8BPWR|9RCR|aCDMG
129	61221 22365	10	   	252.22	DCR|3VULN|1DMG|1TLV|1DUR|2LIT	14LIT|236VULN|5TLV|7DUST|8RCR|9DMG|aDUR
130	61221 22365	9	   	252.22	DCR|3VULN|1DMG|1TLV|1DUR|2LIT	14LIT|236VULN|5TLV|7DUST|8RCR|9DMG|aDUR
131	61233 12642	2	   	252.18	DCR|3VULN|3LIT|1DMG|1TLV|1ASPD	145LIT|245VULN|3BBNT|45BPWR|6CGEN|7TLV|8DMG|9RCR|aASPD
132	61233 41125	2	   	252.16	DCR|4VULN|3LIT|1CDMG|1ASPD	145LIT|2456VULN|3BBNT|45BPWR|7RMIN|8CDMG|9ASPD|aRCR
133	32324 14335	4	   	252.15	DCR|3VULN|2DUR|2CDMG|1TLV	17MLV|2TLV|37CDMG|47aVULN|5RPLT|6RCR|7BPWR|89DUR
134	61213 24361	10	   	252.12	DCR|4VULN|1DMG|2LIT|1AART	17LIT|238aVULN|4LWND|5AART|6DMG|9RCR
135	61233 32642	2	   	252.08	DCR|3VULN|3LIT|1DMG|1TLV|1ASPD	145LIT|245VULN|3BBNT|45BPWR|6ERES|7TLV|8DMG|9RCR|aASPD
136	61213 15151	3	   	252.06	DCR|4VULN|3LIT|1CDMG|1ASPD	157LIT|235aVULN|4BBNT|5BPWR|6ASPD|8CDMG|9RCR
137	33336 41235	1	   	252.05	DCR|3VULN|2DUR|2CDMG|1TLV	1MLV|2RPLT|356VULN|46CDMG|6BPWR|78DUR|9TLV|aRCR
138	11162 12345	3	   	251.95	DCR|3VULN|2DUR|1DMG|1TLV	12DUR|2BPWR|3TLV|4DMG|5ERES|6RCR|7LWND|89aVULN
139	11162 16331	3	   	251.95	DCR|3VULN|2DUR|1DMG|1TLV	12DUR|2BPWR|3TLV|4DMG|5ERES|6RCR|789VULN|aMLV
140	11162 16333	3	   	251.95	DCR|3VULN|2DUR|1DMG|1TLV	12DUR|2BPWR|3TLV|4DMG|5ERES|6RCR|789VULN|aRPLT
141	11162 16335	3	   	251.95	DCR|3VULN|2DUR|1DMG|1TLV	12DUR|2BPWR|3TLV|4DMG|5ERES|6RCR|789VULN|aZMB
142	11162 16336	3	   	251.95	DCR|3VULN|2DUR|1DMG|1TLV	12DUR|2BPWR|3TLV|4DMG|5ERES|6RCR|789VULN|aRCVC
143	11263 21345	7	   	251.95	DCR|3VULN|2DUR|1DMG|1TLV	12DUR|2BPWR|3DUST|4ZMB|5DMG|6RCR|7TLV|89aVULN
144	21163 21345	7	   	251.95	DCR|3VULN|2DUR|1DMG|1TLV	1ZMB|2DUST|34DUR|5DMG|6RCR|7TLV|89aVULN
145	11641 22731	7	   	251.95	DCR|3VULN|2DUR|1DMG|1TLV	12DUR|2BPWR|3RCVC|4MBVNT|579VULN|6RCR|8DMG|aTLV
146	11641 63331	5	   	251.95	DCR|3VULN|2DUR|1DMG|1TLV	12DUR|2BPWR|3RCVC|4MBVNT|589VULN|6DMG|7RCR|aTLV
147	11631 52531	7	 * 	251.94	DCR|2VULN|3DUR|1DMG|2CDMG|1AART	129DUR|29BPWR|3RCVC|4AART|5RPLT|69VULN|79CDMG|8RCR|aDMG
148	11122 48262	6	   	251.85	DCR|3VULN|2DUR|1DMG|1TLV	12DUR|2BPWR|3TLV|4DUST|5MBVNT|6DMG|7RCR|89aVULN
149	11162 16315	3	   	251.85	DCR|3VULN|2DUR|1DMG|1TLV	12DUR|2BPWR|3TLV|4DMG|5ERES|6RCR|78aVULN|9DUST
150	11252 48262	6	   	251.85	DCR|3VULN|2DUR|1DMG|1TLV	12DUR|2BPWR|3DUST|4TLV|5MBVNT|6DMG|7RCR|89aVULN
151	11324 11511	5	   	251.80	DCR|4VULN|3DUR	129DUR|29BPWR|39CGEN|47DMSP|589aVULN|6RCR
152	11324 11511	4	   	251.80	DCR|4VULN|3DUR	129DUR|29BPWR|39CGEN|47DMSP|589aVULN|6RCR
153	11624 11511	2	   	251.80	DCR|4VULN|3DUR	129DUR|29BPWR|3RCVC|49MLV|589aVULN|6RCR|7DMSP
154	11624 11511	3	   	251.80	DCR|4VULN|3DUR	129DUR|29BPWR|3RCVC|49MLV|589aVULN|6RCR|7DMSP
155	11142 24232	1	   	251.45	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG|1AART	1DUR|2CDMG|36DMG|48VULN|5ZMB|7TLV|9RCR|aAART
156	22263 64232	2	   	251.45	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG|1AART	1ZMB|2TLV|3CDMG|46DMG|5DUR|78VULN|9RCR|aAART
157	22363 64232	3	   	251.45	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG|1AART	1ZMB|2TLV|3CDMG|46DMG|5DUR|78VULN|9RCR|aAART
